player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Mathew Ryan,au AUS,GK,27.0,38.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1217.0,1482.0,82.1,31353.0,21007.0,263.0,265.0,99.2,597.0,607.0,98.4,350.0,592.0,59.1,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,1482.0,1145.0,330.0,56.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1217.0,7.0,4.0,4.0,0.11,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,25.0,3.0,0.0,0.0,0.0,2.0,3.0,13.0,2.0,1563.0,1258.0,1557.0,6.0,0.0,0.0,1563.0,0.0,0.0,,0.0,,907.0,4733.0,2872.0,0.0,0.0,0.0,2.0,0.0,852.0,0.0,38,3420.0,90.0,100.0,38.0,38,90.0,38.0,0,,0,1.08,39.0,54.0,-15.0,-0.39,,45.4,55.0,-9.5,-0.25,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,20.0,10.0,0.0,100.0
Lewis Dunk,eng ENG,DF,27.0,35.9,3.0,31.0,10.0,32.3,0.86,0.28,0.1,0.3,11.8,5.0,0.0,0.0,4.5,4.5,0.15,-1.5,-1.5,1991.0,2298.0,86.6,41568.0,14759.0,569.0,624.0,91.2,1157.0,1214.0,95.3,255.0,427.0,59.7,3.0,1.5,0.6,1.5,14.0,127.0,4.0,0.0,110.0,2298.0,2172.0,117.0,80.0,1.0,45.0,1.0,37.0,0.0,0.0,0.0,0.0,1991.0,9.0,4.0,34.0,0.95,28.0,2.0,0.0,2.0,1.0,1.0,3.0,0.08,3.0,0.0,0.0,0.0,0.0,0.0,40.0,24.0,23.0,17.0,0.0,15.0,34.0,44.1,19.0,55.0,33.0,22.0,55.0,95.0,125.0,2.0,2655.0,408.0,1487.0,1086.0,99.0,48.0,2655.0,7.0,5.0,71.4,2.0,28.6,1506.0,8106.0,4367.0,18.0,16.0,1.0,15.0,8.0,1760.0,5.0,36,3230.0,90.0,94.4,35.9,36,90.0,35.0,0,,0,1.14,38.0,50.0,-12.0,-0.33,1.09,43.8,50.4,-6.6,-0.18,1.21,9.0,0.0,0.0,19.0,19.0,1.0,1.0,55.0,24.0,0.0,0.0,0.0,250.0,97.0,51.0,65.5
Dan Burn,eng ENG,DF,27.0,32.0,0.0,12.0,0.0,0.0,0.37,0.0,0.0,,13.4,0.0,0.0,0.0,1.2,1.2,0.1,-1.2,-1.2,1392.0,1884.0,73.9,22347.0,7699.0,736.0,873.0,84.3,562.0,709.0,79.3,78.0,214.0,36.4,0.0,1.3,1.7,-1.3,19.0,114.0,18.0,7.0,135.0,1884.0,1609.0,271.0,11.0,3.0,4.0,51.0,260.0,0.0,0.0,0.0,0.0,1392.0,4.0,46.0,38.0,1.19,31.0,4.0,1.0,1.0,0.0,1.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,67.0,42.0,35.0,27.0,5.0,25.0,53.0,47.2,28.0,44.0,20.0,24.0,42.0,109.0,130.0,0.0,2290.0,165.0,718.0,1144.0,441.0,26.0,2290.0,40.0,19.0,47.5,21.0,52.5,1025.0,5257.0,2959.0,52.0,39.0,1.0,37.0,25.0,1342.0,93.0,34,2880.0,85.0,84.2,32.0,33,87.0,31.0,1,13.0,0,1.15,32.0,42.0,-10.0,-0.31,0.52,37.6,45.5,-7.9,-0.25,0.04,5.0,0.0,0.0,32.0,15.0,3.0,51.0,42.0,42.0,0.0,0.0,0.0,156.0,138.0,52.0,72.6
Davy Pröpper,nl NED,MF,27.0,31.4,1.0,29.0,8.0,27.6,0.92,0.25,0.03,0.13,21.4,0.0,0.0,0.0,1.6,1.6,0.06,-0.6,-0.6,1511.0,1833.0,82.4,26475.0,8360.0,643.0,757.0,84.9,730.0,824.0,88.6,113.0,169.0,66.9,2.0,2.5,2.1,-0.5,29.0,184.0,24.0,5.0,265.0,1833.0,1808.0,19.0,12.0,3.0,13.0,39.0,4.0,0.0,0.0,0.0,0.0,1511.0,6.0,32.0,67.0,2.13,61.0,0.0,1.0,3.0,2.0,0.0,4.0,0.13,4.0,0.0,0.0,0.0,0.0,0.0,64.0,35.0,28.0,28.0,8.0,23.0,74.0,31.1,51.0,27.0,8.0,19.0,38.0,102.0,36.0,4.0,2159.0,67.0,457.0,1321.0,411.0,29.0,2159.0,64.0,46.0,71.9,18.0,28.1,1200.0,7176.0,3405.0,55.0,49.0,7.0,61.0,24.0,1519.0,43.0,35,2829.0,81.0,82.7,31.4,32,86.0,28.0,3,23.0,1,1.09,33.0,46.0,-13.0,-0.41,-0.11,37.4,44.6,-7.2,-0.23,0.13,4.0,0.0,0.0,31.0,18.0,0.0,39.0,38.0,35.0,0.0,0.0,0.0,236.0,28.0,22.0,56.0
Adam Webster,eng ENG,DF,24.0,29.6,3.0,16.0,7.0,43.8,0.54,0.24,0.19,0.43,13.6,0.0,0.0,0.0,1.3,1.3,0.08,1.7,1.7,1587.0,1923.0,82.5,31102.0,12129.0,540.0,628.0,86.0,862.0,969.0,89.0,175.0,283.0,61.8,1.0,1.3,0.8,-0.3,11.0,85.0,5.0,0.0,119.0,1923.0,1837.0,80.0,49.0,1.0,20.0,6.0,31.0,0.0,0.0,0.0,0.0,1587.0,6.0,14.0,30.0,1.01,23.0,3.0,1.0,1.0,1.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,30.0,17.0,21.0,8.0,1.0,14.0,32.0,43.8,18.0,43.0,26.0,17.0,45.0,75.0,110.0,2.0,2223.0,284.0,1166.0,973.0,97.0,29.0,2223.0,18.0,14.0,77.8,4.0,22.2,1264.0,7893.0,5013.0,29.0,23.0,3.0,19.0,5.0,1444.0,4.0,31,2668.0,86.0,78.0,29.6,31,86.0,29.0,0,,5,1.06,29.0,44.0,-15.0,-0.51,-0.51,36.3,45.7,-9.3,-0.32,-0.29,4.0,0.0,0.0,13.0,19.0,0.0,6.0,45.0,17.0,0.0,2.0,1.0,177.0,107.0,64.0,62.6
Neal Maupay,fr FRA,FW,22.0,30.7,10.0,94.0,36.0,38.3,3.06,1.17,0.1,0.25,15.5,0.0,1.0,2.0,13.4,11.8,0.13,-3.4,-2.8,543.0,699.0,77.7,7725.0,1302.0,314.0,364.0,86.3,174.0,212.0,82.1,27.0,36.0,75.0,3.0,2.1,1.9,0.9,25.0,35.0,23.0,1.0,66.0,699.0,618.0,74.0,7.0,4.0,4.0,12.0,12.0,0.0,0.0,0.0,0.0,543.0,7.0,26.0,73.0,2.38,53.0,0.0,5.0,11.0,4.0,0.0,7.0,0.23,6.0,0.0,1.0,0.0,0.0,0.0,20.0,12.0,1.0,13.0,6.0,9.0,29.0,31.0,20.0,24.0,0.0,24.0,4.0,24.0,10.0,0.0,1044.0,15.0,70.0,429.0,556.0,163.0,1042.0,68.0,24.0,35.3,44.0,64.7,604.0,3646.0,1414.0,63.0,37.0,34.0,79.0,56.0,747.0,255.0,37,2766.0,75.0,80.9,30.7,30,86.0,20.0,7,29.0,1,1.08,33.0,36.0,-3.0,-0.1,1.55,39.5,45.1,-5.6,-0.18,0.36,3.0,0.0,0.0,38.0,46.0,15.0,12.0,4.0,12.0,0.0,0.0,0.0,98.0,25.0,87.0,22.3
Dale Stephens,eng ENG,MF,30.0,28.1,0.0,19.0,2.0,10.5,0.68,0.07,0.0,0.0,25.6,0.0,0.0,0.0,0.6,0.6,0.03,-0.6,-0.6,1440.0,1687.0,85.4,27512.0,7212.0,530.0,595.0,89.1,720.0,793.0,90.8,170.0,240.0,70.8,1.0,1.3,1.7,-0.3,20.0,140.0,19.0,0.0,160.0,1687.0,1672.0,11.0,7.0,3.0,25.0,4.0,4.0,0.0,0.0,0.0,0.0,1440.0,4.0,16.0,50.0,1.78,46.0,0.0,0.0,2.0,0.0,2.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,73.0,44.0,30.0,37.0,6.0,25.0,75.0,33.3,50.0,31.0,11.0,20.0,58.0,131.0,42.0,2.0,1969.0,102.0,530.0,1199.0,250.0,7.0,1969.0,12.0,10.0,83.3,2.0,16.7,987.0,4706.0,1834.0,9.0,30.0,2.0,19.0,13.0,1336.0,14.0,33,2530.0,77.0,74.0,28.1,28,88.0,24.0,5,11.0,2,1.12,31.0,42.0,-11.0,-0.39,0.01,33.9,40.7,-6.9,-0.24,0.03,8.0,0.0,0.0,42.0,6.0,0.0,4.0,58.0,44.0,0.0,0.0,0.0,230.0,19.0,22.0,46.3
Aaron Mooy,au AUS,"MF,FW",28.0,23.2,2.0,33.0,8.0,24.2,1.42,0.35,0.06,0.25,20.9,0.0,0.0,0.0,2.3,2.3,0.07,-0.3,-0.3,818.0,1092.0,74.9,12922.0,3701.0,459.0,513.0,89.5,245.0,311.0,78.8,81.0,169.0,47.9,2.0,4.5,3.2,-2.5,39.0,87.0,26.0,5.0,158.0,1092.0,1003.0,81.0,23.0,4.0,12.0,109.0,5.0,53.0,23.0,25.0,0.0,818.0,8.0,39.0,78.0,3.37,56.0,13.0,4.0,3.0,2.0,0.0,7.0,0.3,4.0,1.0,2.0,0.0,0.0,0.0,37.0,24.0,9.0,18.0,10.0,6.0,40.0,15.0,34.0,36.0,7.0,29.0,23.0,60.0,32.0,1.0,1362.0,42.0,170.0,624.0,583.0,38.0,1362.0,56.0,38.0,67.9,18.0,32.1,765.0,4655.0,2277.0,71.0,50.0,12.0,44.0,42.0,929.0,135.0,31,2085.0,67.0,61.0,23.2,25,80.0,14.0,6,16.0,5,1.03,19.0,31.0,-12.0,-0.52,-0.32,25.0,33.4,-8.3,-0.36,-0.28,3.0,1.0,1.0,13.0,11.0,0.0,109.0,23.0,24.0,0.0,0.0,0.0,134.0,15.0,25.0,37.5
Martín Montoya,es ESP,"DF,MF",28.0,21.1,0.0,8.0,3.0,37.5,0.38,0.14,0.0,0.0,16.1,0.0,0.0,0.0,1.5,1.5,0.18,-1.5,-1.5,992.0,1278.0,77.6,16221.0,5125.0,540.0,636.0,84.9,370.0,458.0,80.8,75.0,125.0,60.0,1.0,1.8,1.8,-0.8,21.0,51.0,33.0,12.0,91.0,1278.0,1034.0,241.0,14.0,1.0,12.0,44.0,227.0,0.0,0.0,0.0,0.0,992.0,3.0,30.0,42.0,1.99,38.0,0.0,1.0,1.0,2.0,0.0,2.0,0.09,1.0,0.0,0.0,0.0,1.0,0.0,57.0,29.0,31.0,20.0,6.0,30.0,56.0,53.6,26.0,19.0,5.0,14.0,24.0,81.0,40.0,0.0,1512.0,64.0,412.0,669.0,447.0,35.0,1512.0,29.0,10.0,34.5,19.0,65.5,709.0,3945.0,2410.0,57.0,43.0,7.0,34.0,11.0,913.0,117.0,27,1896.0,70.0,55.4,21.1,23,79.0,13.0,4,20.0,7,1.07,19.0,32.0,-13.0,-0.62,-0.5,25.3,31.9,-6.6,-0.31,-0.14,5.0,0.0,0.0,27.0,15.0,4.0,44.0,24.0,29.0,0.0,0.0,0.0,87.0,21.0,19.0,52.5
Leandro Trossard,be BEL,"FW,MF",24.0,22.3,5.0,41.0,11.0,26.8,1.83,0.49,0.12,0.45,16.0,0.0,0.0,0.0,5.0,5.0,0.12,0.0,0.0,562.0,802.0,70.1,9853.0,2867.0,265.0,337.0,78.6,214.0,290.0,73.8,65.0,105.0,61.9,3.0,3.9,3.0,-0.9,42.0,51.0,30.0,4.0,95.0,802.0,754.0,45.0,17.0,2.0,14.0,75.0,14.0,12.0,4.0,7.0,0.0,562.0,3.0,24.0,90.0,4.03,65.0,11.0,7.0,4.0,3.0,0.0,9.0,0.4,5.0,2.0,1.0,1.0,0.0,0.0,22.0,17.0,7.0,12.0,3.0,6.0,38.0,15.8,32.0,16.0,1.0,15.0,9.0,31.0,8.0,0.0,1026.0,15.0,108.0,392.0,543.0,94.0,1026.0,53.0,29.0,54.7,24.0,45.3,690.0,4417.0,2044.0,68.0,39.0,26.0,51.0,33.0,753.0,228.0,31,2011.0,65.0,58.8,22.3,22,81.0,10.0,9,26.0,3,0.97,23.0,34.0,-11.0,-0.49,-0.24,27.4,32.9,-5.5,-0.25,0.01,0.0,0.0,0.0,14.0,11.0,4.0,75.0,9.0,17.0,0.0,0.0,0.0,100.0,2.0,17.0,10.5
