player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Kasper Schmeichel,dk DEN,GK,32.0,38.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,,56.1,1.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,934.0,1198.0,78.0,25910.0,17114.0,134.0,136.0,98.5,475.0,481.0,98.8,324.0,572.0,56.6,0.0,0.5,0.0,-0.5,3.0,5.0,0.0,0.0,1.0,1198.0,823.0,369.0,128.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,934.0,6.0,1.0,5.0,0.13,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,1264.0,1054.0,1246.0,18.0,0.0,0.0,1264.0,1.0,0.0,0.0,1.0,100.0,693.0,3306.0,2092.0,0.0,0.0,0.0,1.0,0.0,561.0,0.0,38,3420.0,90.0,100.0,38.0,38,90.0,38.0,0,,0,1.63,67.0,41.0,26.0,0.68,,62.2,45.5,16.7,0.44,,2.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,43.0,6.0,2.0,75.0
Jonny Evans,nir NIR,DF,31.0,37.6,1.0,23.0,8.0,34.8,0.61,0.21,0.04,0.13,8.4,0.0,0.0,0.0,3.7,3.7,0.16,-2.7,-2.7,2178.0,2518.0,86.5,43936.0,15190.0,618.0,680.0,90.9,1333.0,1454.0,91.7,219.0,354.0,61.9,1.0,0.7,0.7,0.3,8.0,131.0,3.0,1.0,157.0,2518.0,2430.0,85.0,69.0,1.0,17.0,8.0,16.0,0.0,0.0,0.0,0.0,2178.0,3.0,7.0,35.0,0.93,28.0,0.0,1.0,4.0,2.0,0.0,6.0,0.16,4.0,0.0,0.0,1.0,1.0,0.0,48.0,34.0,33.0,14.0,1.0,28.0,39.0,71.8,11.0,33.0,18.0,15.0,57.0,105.0,174.0,4.0,2899.0,340.0,1443.0,1361.0,106.0,47.0,2899.0,8.0,6.0,75.0,2.0,25.0,1810.0,8583.0,4971.0,31.0,13.0,0.0,12.0,3.0,1926.0,4.0,38,3383.0,89.0,98.9,37.6,38,89.0,35.0,0,,0,1.63,64.0,40.0,24.0,0.64,-4.23,59.7,45.0,14.7,0.39,-4.54,8.0,1.0,0.0,35.0,27.0,2.0,8.0,57.0,34.0,1.0,1.0,1.0,230.0,126.0,70.0,64.3
Çağlar Söyüncü,tr TUR,DF,23.0,33.7,1.0,17.0,5.0,29.4,0.5,0.15,0.06,0.2,10.3,0.0,0.0,0.0,2.1,2.1,0.12,-1.1,-1.1,2086.0,2342.0,89.1,38202.0,13194.0,798.0,856.0,93.2,1094.0,1188.0,92.1,169.0,235.0,71.9,1.0,0.8,0.3,0.2,4.0,112.0,3.0,0.0,125.0,2342.0,2277.0,56.0,46.0,0.0,13.0,4.0,10.0,0.0,0.0,0.0,0.0,2086.0,9.0,10.0,21.0,0.62,17.0,1.0,0.0,2.0,1.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,60.0,40.0,41.0,18.0,1.0,27.0,46.0,58.7,19.0,35.0,19.0,16.0,43.0,103.0,156.0,1.0,2700.0,263.0,1343.0,1303.0,65.0,33.0,2700.0,22.0,17.0,77.3,5.0,22.7,1779.0,8996.0,4279.0,22.0,10.0,0.0,17.0,2.0,1864.0,5.0,34,3036.0,89.0,88.8,33.7,34,89.0,33.0,0,,1,1.65,63.0,33.0,30.0,0.89,1.83,54.6,40.3,14.2,0.42,-0.16,4.0,1.0,0.0,30.0,20.0,1.0,4.0,43.0,40.0,0.0,2.0,0.0,195.0,105.0,62.0,62.9
Jamie Vardy,eng ENG,FW,32.0,33.7,23.0,84.0,37.0,44.0,2.49,1.1,0.23,0.51,13.1,0.0,4.0,5.0,19.2,15.3,0.19,3.8,3.7,323.0,478.0,67.6,4236.0,742.0,198.0,255.0,77.6,83.0,123.0,67.5,14.0,29.0,48.3,5.0,5.9,3.8,-0.9,31.0,12.0,24.0,4.0,44.0,478.0,419.0,59.0,0.0,3.0,2.0,31.0,5.0,0.0,0.0,0.0,0.0,323.0,0.0,12.0,70.0,2.08,47.0,0.0,12.0,6.0,4.0,1.0,12.0,0.36,7.0,0.0,3.0,0.0,2.0,0.0,15.0,12.0,0.0,9.0,6.0,2.0,4.0,50.0,2.0,22.0,4.0,18.0,2.0,17.0,22.0,0.0,740.0,28.0,39.0,282.0,424.0,168.0,735.0,47.0,23.0,48.9,24.0,51.1,390.0,2358.0,1198.0,61.0,21.0,38.0,51.0,16.0,487.0,200.0,35,3033.0,87.0,88.7,33.7,34,88.0,32.0,1,32.0,0,1.6,58.0,38.0,20.0,0.59,-0.8,53.3,41.2,12.2,0.36,-0.69,2.0,0.0,0.0,20.0,12.0,28.0,31.0,2.0,12.0,1.0,0.0,0.0,44.0,54.0,96.0,36.0
Youri Tielemans,be BEL,MF,22.0,31.4,3.0,56.0,13.0,23.2,1.78,0.41,0.05,0.23,23.8,0.0,0.0,0.0,2.7,2.7,0.05,0.3,0.3,1504.0,1885.0,79.8,25455.0,6845.0,705.0,804.0,87.7,569.0,679.0,83.8,155.0,258.0,60.1,6.0,4.5,3.8,1.5,52.0,170.0,40.0,6.0,215.0,1885.0,1772.0,102.0,47.0,13.0,24.0,81.0,13.0,40.0,10.0,19.0,1.0,1504.0,11.0,35.0,110.0,3.5,92.0,6.0,3.0,3.0,5.0,1.0,10.0,0.32,10.0,0.0,0.0,0.0,0.0,0.0,52.0,29.0,17.0,30.0,5.0,24.0,74.0,32.4,50.0,43.0,4.0,39.0,22.0,74.0,18.0,0.0,2177.0,27.0,320.0,1183.0,690.0,52.0,2177.0,48.0,29.0,60.4,19.0,39.6,1312.0,4999.0,2517.0,46.0,44.0,12.0,47.0,27.0,1615.0,123.0,37,2828.0,76.0,82.7,31.4,32,86.0,21.0,5,17.0,1,1.59,57.0,35.0,22.0,0.7,0.09,52.0,38.8,13.2,0.42,-0.11,2.0,0.0,0.0,32.0,49.0,1.0,81.0,22.0,29.0,0.0,0.0,0.0,188.0,25.0,30.0,45.5
Wilfred Ndidi,ng NGA,MF,22.0,29.7,2.0,26.0,3.0,11.5,0.88,0.1,0.08,0.67,19.2,0.0,0.0,0.0,1.6,1.6,0.06,0.4,0.4,1421.0,1674.0,84.9,23571.0,5950.0,670.0,768.0,87.2,575.0,639.0,90.0,121.0,166.0,72.9,1.0,0.6,0.6,0.4,15.0,145.0,3.0,0.0,109.0,1674.0,1649.0,23.0,23.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,1421.0,2.0,22.0,46.0,1.55,40.0,0.0,2.0,2.0,1.0,1.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,128.0,67.0,56.0,61.0,11.0,45.0,91.0,49.5,46.0,52.0,6.0,46.0,80.0,208.0,69.0,3.0,2110.0,97.0,558.0,1310.0,262.0,23.0,2110.0,32.0,22.0,68.8,10.0,31.3,1146.0,4500.0,1518.0,13.0,15.0,0.0,33.0,26.0,1227.0,19.0,32,2674.0,84.0,78.2,29.7,29,89.0,26.0,3,34.0,0,1.78,56.0,32.0,24.0,0.81,0.57,49.8,36.4,13.4,0.45,0.05,6.0,0.0,0.0,56.0,27.0,1.0,3.0,80.0,67.0,0.0,3.0,0.0,271.0,83.0,68.0,55.0
James Maddison,eng ENG,MF,22.0,29.2,6.0,74.0,18.0,24.3,2.54,0.62,0.08,0.33,22.0,14.0,0.0,0.0,5.3,5.3,0.07,0.7,0.7,1288.0,1709.0,75.4,23620.0,7098.0,561.0,640.0,87.7,512.0,611.0,83.8,170.0,346.0,49.1,3.0,6.4,6.5,-3.4,78.0,157.0,43.0,6.0,192.0,1709.0,1443.0,258.0,85.0,19.0,9.0,221.0,7.0,157.0,54.0,71.0,5.0,1288.0,8.0,29.0,170.0,5.83,84.0,46.0,14.0,8.0,18.0,0.0,10.0,0.34,7.0,2.0,1.0,0.0,0.0,0.0,59.0,30.0,13.0,31.0,15.0,23.0,68.0,33.8,45.0,16.0,0.0,16.0,9.0,68.0,7.0,1.0,1995.0,16.0,174.0,1003.0,838.0,72.0,1995.0,80.0,51.0,63.8,29.0,36.3,1333.0,6211.0,2608.0,53.0,58.0,19.0,56.0,29.0,1438.0,138.0,31,2624.0,85.0,76.7,29.2,29,88.0,23.0,2,36.0,0,1.68,51.0,26.0,25.0,0.86,0.74,46.9,35.0,11.9,0.41,-0.14,4.0,0.0,0.0,36.0,88.0,4.0,221.0,9.0,30.0,0.0,0.0,0.0,162.0,7.0,24.0,22.6
Ricardo Pereira,pt POR,DF,25.0,28.0,3.0,18.0,5.0,27.8,0.64,0.18,0.17,0.6,18.4,0.0,0.0,0.0,1.2,1.2,0.06,1.8,1.8,1533.0,1948.0,78.7,23216.0,8673.0,829.0,936.0,88.6,587.0,733.0,80.1,79.0,154.0,51.3,2.0,3.8,3.0,-1.8,27.0,100.0,34.0,7.0,177.0,1948.0,1620.0,323.0,12.0,4.0,3.0,60.0,311.0,0.0,0.0,0.0,0.0,1533.0,5.0,44.0,74.0,2.64,57.0,3.0,10.0,1.0,3.0,0.0,7.0,0.25,6.0,0.0,0.0,1.0,0.0,0.0,119.0,68.0,65.0,36.0,18.0,53.0,106.0,50.0,53.0,38.0,6.0,32.0,49.0,168.0,86.0,0.0,2401.0,102.0,595.0,1125.0,701.0,56.0,2401.0,101.0,60.0,59.4,41.0,40.6,1338.0,6824.0,4433.0,116.0,94.0,20.0,44.0,31.0,1471.0,138.0,28,2520.0,90.0,73.7,28.0,28,90.0,28.0,0,,0,1.79,56.0,27.0,29.0,1.04,1.34,45.9,33.8,12.2,0.43,-0.02,1.0,0.0,0.0,45.0,37.0,0.0,60.0,49.0,68.0,0.0,1.0,0.0,171.0,41.0,48.0,46.1
Ben Chilwell,eng ENG,DF,22.0,26.4,3.0,16.0,6.0,37.5,0.61,0.23,0.19,0.5,19.1,0.0,0.0,0.0,1.0,1.0,0.06,2.0,2.0,1544.0,2021.0,76.4,23939.0,7050.0,852.0,953.0,89.4,573.0,724.0,79.1,86.0,227.0,37.9,3.0,3.9,3.2,-0.9,34.0,109.0,22.0,10.0,126.0,2021.0,1715.0,302.0,34.0,3.0,12.0,103.0,260.0,8.0,1.0,3.0,0.0,1544.0,4.0,45.0,72.0,2.73,58.0,7.0,2.0,2.0,2.0,1.0,8.0,0.3,8.0,0.0,0.0,0.0,0.0,0.0,43.0,26.0,28.0,13.0,2.0,23.0,52.0,44.2,29.0,30.0,6.0,24.0,28.0,71.0,68.0,2.0,2329.0,73.0,592.0,1076.0,683.0,48.0,2329.0,50.0,19.0,38.0,31.0,62.0,1427.0,8189.0,4644.0,109.0,77.0,16.0,50.0,22.0,1537.0,180.0,27,2373.0,88.0,69.4,26.4,27,88.0,25.0,0,,1,1.67,48.0,26.0,22.0,0.83,0.49,41.4,33.7,7.7,0.29,-0.49,3.0,0.0,0.0,29.0,30.0,1.0,103.0,28.0,26.0,0.0,0.0,0.0,161.0,55.0,38.0,59.1
Ayoze Pérez,es ESP,"MF,FW",26.0,22.3,8.0,46.0,21.0,45.7,2.07,0.94,0.15,0.33,14.5,0.0,1.0,1.0,6.5,5.7,0.13,1.5,1.3,597.0,770.0,77.5,7574.0,1749.0,394.0,453.0,87.0,140.0,180.0,77.8,20.0,33.0,60.6,4.0,4.0,3.2,0.0,28.0,44.0,28.0,5.0,62.0,770.0,750.0,16.0,4.0,9.0,2.0,27.0,5.0,0.0,0.0,0.0,0.0,597.0,4.0,33.0,75.0,3.37,58.0,1.0,8.0,2.0,5.0,1.0,15.0,0.67,11.0,1.0,2.0,0.0,0.0,1.0,45.0,28.0,14.0,26.0,5.0,8.0,54.0,14.8,46.0,33.0,1.0,32.0,14.0,59.0,9.0,1.0,1086.0,13.0,126.0,472.0,497.0,115.0,1085.0,68.0,36.0,52.9,32.0,47.1,694.0,2975.0,1475.0,47.0,34.0,28.0,63.0,58.0,791.0,159.0,33,2004.0,61.0,58.6,22.3,26,72.0,4.0,7,19.0,5,1.55,36.0,25.0,11.0,0.49,-0.46,36.3,22.9,13.4,0.6,0.39,0.0,0.0,0.0,30.0,30.0,6.0,27.0,14.0,28.0,0.0,0.0,0.0,103.0,24.0,45.0,34.8
