player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Max Aarons,eng ENG,DF,19.0,36.0,0.0,14.0,4.0,28.6,0.39,0.11,0.0,0.0,17.2,0.0,0.0,0.0,0.6,0.6,0.04,-0.6,-0.6,1332.0,1711.0,77.8,17879.0,5691.0,880.0,982.0,89.6,351.0,469.0,74.8,49.0,121.0,40.5,1.0,3.9,2.8,-2.9,23.0,55.0,28.0,12.0,78.0,1711.0,1389.0,322.0,23.0,0.0,4.0,73.0,299.0,0.0,0.0,0.0,0.0,1332.0,0.0,65.0,64.0,1.78,47.0,2.0,6.0,3.0,4.0,2.0,3.0,0.08,2.0,0.0,0.0,0.0,1.0,0.0,48.0,30.0,33.0,9.0,6.0,18.0,36.0,50.0,18.0,46.0,29.0,17.0,37.0,85.0,97.0,1.0,2144.0,159.0,763.0,868.0,536.0,43.0,2144.0,99.0,48.0,48.5,51.0,51.5,1259.0,7858.0,4066.0,92.0,61.0,21.0,54.0,31.0,1253.0,151.0,36,3240.0,90.0,94.7,36.0,36,90.0,36.0,0,,0,0.5,23.0,71.0,-48.0,-1.33,-0.83,34.6,62.1,-27.5,-0.76,0.23,7.0,0.0,0.0,29.0,49.0,3.0,73.0,37.0,30.0,1.0,0.0,0.0,178.0,22.0,49.0,31.0
Tim Krul,nl NED,GK,31.0,36.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1084.0,1583.0,68.5,29495.0,20355.0,168.0,170.0,98.8,564.0,578.0,97.6,352.0,828.0,42.5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1583.0,1134.0,446.0,114.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1084.0,3.0,2.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,13.0,1.0,1677.0,1362.0,1647.0,31.0,0.0,0.0,1677.0,1.0,0.0,0.0,1.0,100.0,942.0,4997.0,3275.0,0.0,0.0,0.0,1.0,1.0,840.0,0.0,36,3240.0,90.0,94.7,36.0,36,90.0,36.0,0,,0,0.58,25.0,68.0,-43.0,-1.19,1.81,33.7,62.0,-28.3,-0.79,-0.18,4.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,30.0,14.0,1.0,93.3
Teemu Pukki,fi FIN,FW,29.0,32.1,11.0,78.0,33.0,42.3,2.43,1.03,0.12,0.27,15.5,0.0,2.0,2.0,11.2,9.7,0.12,-0.2,-0.7,424.0,539.0,78.7,5017.0,546.0,278.0,318.0,87.4,105.0,134.0,78.4,4.0,10.0,40.0,3.0,3.8,2.8,-0.8,30.0,11.0,4.0,0.0,22.0,539.0,472.0,67.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,424.0,0.0,25.0,63.0,1.96,44.0,0.0,7.0,9.0,2.0,1.0,4.0,0.12,4.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,3.0,5.0,4.0,1.0,23.0,4.3,22.0,13.0,0.0,13.0,6.0,18.0,7.0,0.0,792.0,16.0,59.0,298.0,442.0,156.0,790.0,43.0,24.0,55.8,19.0,44.2,447.0,2669.0,1213.0,46.0,24.0,35.0,58.0,34.0,527.0,194.0,36,2886.0,80.0,84.4,32.1,33,86.0,22.0,3,19.0,1,0.58,24.0,59.0,-35.0,-1.09,1.27,32.7,54.7,-21.9,-0.68,0.59,3.0,0.0,0.0,23.0,15.0,17.0,8.0,6.0,6.0,0.0,0.0,0.0,62.0,5.0,44.0,10.2
Kenny McLean,sct SCO,MF,27.0,33.0,1.0,30.0,10.0,33.3,0.91,0.3,0.03,0.1,21.6,2.0,0.0,0.0,1.4,1.4,0.05,-0.4,-0.4,1362.0,1760.0,77.4,21339.0,7602.0,736.0,850.0,86.6,443.0,542.0,81.7,117.0,228.0,51.3,1.0,2.6,2.1,-1.6,24.0,158.0,16.0,3.0,173.0,1760.0,1664.0,88.0,48.0,9.0,24.0,53.0,19.0,19.0,8.0,10.0,1.0,1362.0,8.0,31.0,69.0,2.09,57.0,6.0,0.0,2.0,4.0,0.0,4.0,0.12,4.0,0.0,0.0,0.0,0.0,0.0,44.0,29.0,20.0,18.0,6.0,14.0,42.0,33.3,28.0,32.0,7.0,25.0,38.0,82.0,67.0,2.0,2107.0,116.0,554.0,1180.0,387.0,27.0,2107.0,44.0,31.0,70.5,13.0,29.5,1271.0,6189.0,3022.0,46.0,31.0,5.0,51.0,38.0,1444.0,73.0,37,2968.0,80.0,86.8,33.0,32,90.0,29.0,5,19.0,1,0.49,17.0,63.0,-46.0,-1.39,-0.8,31.8,57.5,-25.6,-0.78,-0.01,5.0,0.0,0.0,24.0,58.0,1.0,53.0,38.0,29.0,0.0,1.0,0.0,191.0,92.0,95.0,49.2
Ben Godfrey,eng ENG,DF,21.0,29.4,0.0,15.0,6.0,40.0,0.51,0.2,0.0,0.0,18.2,0.0,0.0,0.0,0.7,0.7,0.05,-0.7,-0.7,1470.0,1675.0,87.8,27514.0,8885.0,577.0,614.0,94.0,726.0,786.0,92.4,151.0,234.0,64.5,0.0,0.1,0.5,-0.1,3.0,64.0,2.0,0.0,76.0,1675.0,1634.0,40.0,29.0,1.0,28.0,3.0,11.0,0.0,0.0,0.0,0.0,1470.0,1.0,16.0,13.0,0.44,10.0,0.0,0.0,3.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,22.0,14.0,18.0,3.0,1.0,10.0,18.0,55.6,8.0,41.0,37.0,4.0,25.0,47.0,152.0,3.0,1974.0,365.0,1242.0,687.0,65.0,12.0,1974.0,12.0,8.0,66.7,4.0,33.3,1309.0,6661.0,3619.0,23.0,19.0,6.0,13.0,4.0,1362.0,2.0,30,2644.0,88.0,77.3,29.4,30,88.0,28.0,0,,1,0.6,21.0,62.0,-41.0,-1.4,-0.47,28.2,52.9,-24.7,-0.84,-0.29,3.0,1.0,0.0,15.0,9.0,0.0,3.0,25.0,14.0,0.0,1.0,1.0,162.0,66.0,40.0,62.3
Todd Cantwell,eng ENG,"FW,MF",21.0,27.7,6.0,42.0,16.0,38.1,1.52,0.58,0.14,0.38,16.1,0.0,0.0,0.0,5.4,5.4,0.13,0.6,0.6,886.0,1110.0,79.8,11726.0,2625.0,560.0,627.0,89.3,206.0,263.0,78.3,45.0,84.0,53.6,2.0,1.9,1.1,0.1,35.0,76.0,21.0,0.0,99.0,1110.0,1066.0,38.0,13.0,3.0,12.0,24.0,15.0,4.0,0.0,1.0,0.0,886.0,6.0,27.0,75.0,2.71,59.0,1.0,3.0,5.0,6.0,1.0,5.0,0.18,5.0,0.0,0.0,0.0,0.0,0.0,51.0,31.0,19.0,27.0,5.0,26.0,73.0,35.6,47.0,38.0,2.0,36.0,18.0,69.0,35.0,1.0,1480.0,34.0,259.0,723.0,523.0,79.0,1480.0,78.0,49.0,62.8,29.0,37.2,991.0,5587.0,2520.0,75.0,49.0,24.0,77.0,48.0,1099.0,138.0,37,2489.0,67.0,72.8,27.7,30,79.0,9.0,7,16.0,0,0.57,18.0,54.0,-36.0,-1.3,-0.05,26.2,49.2,-23.1,-0.83,-0.21,6.0,0.0,0.0,33.0,67.0,3.0,24.0,18.0,31.0,0.0,1.0,0.0,148.0,15.0,38.0,28.3
Emi Buendía,ar ARG,"FW,MF",22.0,27.4,1.0,40.0,11.0,27.5,1.46,0.4,0.03,0.09,22.8,10.0,0.0,0.0,2.2,2.2,0.06,-1.2,-1.2,1188.0,1604.0,74.1,18941.0,6656.0,662.0,772.0,85.8,307.0,401.0,76.6,154.0,284.0,54.2,7.0,6.8,6.2,0.2,83.0,155.0,56.0,4.0,194.0,1604.0,1393.0,202.0,69.0,17.0,17.0,164.0,24.0,109.0,56.0,50.0,1.0,1188.0,9.0,37.0,152.0,5.55,95.0,33.0,10.0,3.0,8.0,3.0,11.0,0.4,6.0,2.0,0.0,1.0,0.0,2.0,82.0,39.0,57.0,21.0,4.0,38.0,118.0,32.2,80.0,58.0,5.0,53.0,23.0,105.0,32.0,2.0,2023.0,61.0,354.0,965.0,745.0,52.0,2023.0,142.0,102.0,71.8,39.0,27.5,1302.0,6925.0,3605.0,68.0,80.0,15.0,82.0,80.0,1344.0,106.0,36,2464.0,68.0,72.0,27.4,28,83.0,19.0,8,16.0,0,0.58,21.0,52.0,-31.0,-1.13,0.56,28.6,45.6,-17.0,-0.62,0.56,6.0,1.0,0.0,36.0,54.0,2.0,164.0,23.0,39.0,0.0,0.0,0.0,187.0,29.0,50.0,36.7
Alexander Tettey,no NOR,"MF,DF",33.0,26.0,1.0,23.0,3.0,13.0,0.89,0.12,0.04,0.33,24.7,0.0,0.0,0.0,0.8,0.8,0.04,0.2,0.2,1142.0,1299.0,87.9,17374.0,4412.0,603.0,658.0,91.6,439.0,476.0,92.2,58.0,94.0,61.7,1.0,0.5,0.6,0.5,5.0,63.0,4.0,1.0,54.0,1299.0,1280.0,19.0,16.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,1142.0,0.0,18.0,24.0,0.92,20.0,0.0,1.0,2.0,0.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,23.0,18.0,7.0,16.0,0.0,11.0,39.0,28.2,28.0,20.0,9.0,11.0,43.0,66.0,72.0,1.0,1537.0,119.0,534.0,871.0,142.0,11.0,1537.0,20.0,15.0,75.0,5.0,25.0,924.0,4306.0,1928.0,19.0,17.0,1.0,18.0,8.0,957.0,12.0,30,2338.0,78.0,68.4,26.0,28,82.0,13.0,2,25.0,3,0.67,17.0,44.0,-27.0,-1.04,0.79,22.0,43.6,-21.5,-0.83,-0.17,5.0,0.0,0.0,21.0,7.0,0.0,4.0,43.0,18.0,0.0,0.0,0.0,165.0,35.0,29.0,54.7
Jamal Lewis,nir NIR,DF,21.0,25.6,1.0,9.0,4.0,44.4,0.35,0.16,0.11,0.25,21.8,0.0,0.0,0.0,0.4,0.4,0.04,0.6,0.6,1052.0,1333.0,78.9,15449.0,5416.0,614.0,701.0,87.6,369.0,442.0,83.5,44.0,104.0,42.3,0.0,1.0,1.2,-1.0,15.0,51.0,20.0,7.0,74.0,1333.0,1078.0,252.0,10.0,1.0,6.0,44.0,242.0,0.0,0.0,0.0,0.0,1052.0,3.0,41.0,36.0,1.41,30.0,2.0,3.0,0.0,1.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,51.0,35.0,42.0,6.0,3.0,22.0,36.0,61.1,14.0,27.0,12.0,15.0,25.0,76.0,68.0,0.0,1626.0,117.0,638.0,638.0,357.0,23.0,1626.0,65.0,34.0,52.3,31.0,47.7,931.0,5940.0,3418.0,100.0,65.0,12.0,36.0,21.0,937.0,106.0,28,2304.0,82.0,67.4,25.6,25,88.0,21.0,3,31.0,9,0.39,14.0,56.0,-42.0,-1.64,-1.08,22.0,49.3,-27.2,-1.06,-0.88,4.0,0.0,0.0,15.0,23.0,2.0,44.0,25.0,35.0,0.0,0.0,0.0,141.0,7.0,22.0,24.1
Christoph Zimmermann,de GER,DF,26.0,15.9,0.0,6.0,1.0,16.7,0.38,0.06,0.0,0.0,16.8,0.0,0.0,0.0,0.4,0.4,0.06,-0.4,-0.4,525.0,664.0,79.1,10202.0,4094.0,187.0,204.0,91.7,263.0,297.0,88.6,66.0,137.0,48.2,1.0,0.1,0.1,0.9,2.0,25.0,1.0,0.0,33.0,664.0,642.0,22.0,19.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,525.0,0.0,8.0,7.0,0.44,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,21.0,26.0,6.0,0.0,21.0,30.0,70.0,9.0,22.0,18.0,4.0,19.0,51.0,87.0,2.0,850.0,164.0,534.0,306.0,15.0,8.0,850.0,7.0,5.0,71.4,2.0,28.6,462.0,2931.0,1825.0,8.0,2.0,0.0,6.0,4.0,479.0,0.0,17,1430.0,84.0,41.8,15.9,16,87.0,15.0,1,45.0,1,0.65,13.0,27.0,-14.0,-0.88,0.7,17.1,25.5,-8.4,-0.53,0.42,3.0,0.0,0.0,9.0,9.0,0.0,0.0,19.0,21.0,0.0,2.0,0.0,79.0,27.0,22.0,55.1
