player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
George Baldock,gr GRE,DF,26.0,38.0,2.0,13.0,4.0,30.8,0.34,0.11,0.15,0.5,16.9,0.0,0.0,0.0,0.6,0.6,0.05,1.4,1.4,1143.0,1522.0,75.1,15916.0,5444.0,719.0,795.0,90.4,323.0,417.0,77.5,55.0,162.0,34.0,3.0,1.7,2.3,1.3,23.0,66.0,46.0,30.0,103.0,1522.0,1241.0,276.0,5.0,0.0,1.0,128.0,271.0,0.0,0.0,0.0,0.0,1143.0,5.0,70.0,71.0,1.87,54.0,5.0,6.0,0.0,6.0,0.0,6.0,0.16,4.0,0.0,1.0,0.0,1.0,0.0,62.0,43.0,35.0,17.0,10.0,27.0,47.0,57.4,20.0,26.0,3.0,23.0,34.0,96.0,83.0,3.0,1908.0,102.0,405.0,623.0,887.0,56.0,1908.0,70.0,42.0,60.0,28.0,40.0,884.0,5340.0,2565.0,97.0,63.0,22.0,43.0,22.0,1036.0,197.0,38,3420.0,90.0,100.0,38.0,38,90.0,38.0,0,,0,1.42,39.0,39.0,0.0,0.0,,43.0,51.0,-7.9,-0.21,,7.0,0.0,0.0,47.0,44.0,11.0,128.0,34.0,43.0,1.0,0.0,0.0,167.0,38.0,57.0,40.0
Enda Stevens,ie IRL,DF,29.0,37.2,2.0,22.0,4.0,18.2,0.59,0.11,0.09,0.5,17.8,0.0,0.0,0.0,1.3,1.3,0.06,0.7,0.7,1383.0,1902.0,72.7,21879.0,8369.0,785.0,905.0,86.7,465.0,626.0,74.3,107.0,246.0,43.5,4.0,5.3,4.2,-1.3,34.0,110.0,46.0,12.0,174.0,1902.0,1581.0,315.0,11.0,2.0,5.0,123.0,304.0,0.0,0.0,0.0,0.0,1383.0,6.0,66.0,77.0,2.07,63.0,5.0,5.0,2.0,2.0,0.0,9.0,0.24,8.0,0.0,1.0,0.0,0.0,0.0,81.0,46.0,48.0,26.0,7.0,42.0,96.0,43.8,54.0,27.0,8.0,19.0,35.0,116.0,71.0,3.0,2290.0,83.0,502.0,960.0,852.0,73.0,2290.0,84.0,61.0,72.6,22.0,26.2,1136.0,5912.0,3177.0,92.0,63.0,20.0,55.0,43.0,1336.0,197.0,38,3345.0,88.0,97.8,37.2,38,88.0,36.0,0,,0,1.42,39.0,39.0,0.0,0.0,0.0,41.7,48.7,-7.0,-0.19,0.89,7.0,0.0,0.0,39.0,19.0,2.0,123.0,35.0,46.0,0.0,0.0,0.0,226.0,31.0,31.0,50.0
Chris Basham,eng ENG,DF,31.0,36.0,0.0,6.0,0.0,0.0,0.17,0.0,0.0,,13.5,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,1091.0,1546.0,70.6,18241.0,6389.0,531.0,614.0,86.5,434.0,638.0,68.0,91.0,198.0,46.0,1.0,1.3,1.3,-0.3,12.0,83.0,8.0,4.0,82.0,1546.0,1349.0,190.0,18.0,0.0,10.0,51.0,172.0,0.0,0.0,0.0,0.0,1091.0,7.0,25.0,27.0,0.75,24.0,1.0,2.0,0.0,0.0,0.0,3.0,0.08,3.0,0.0,0.0,0.0,0.0,0.0,85.0,48.0,58.0,20.0,7.0,48.0,81.0,59.3,33.0,38.0,15.0,23.0,77.0,162.0,173.0,1.0,2030.0,243.0,818.0,882.0,352.0,41.0,2030.0,37.0,24.0,64.9,13.0,35.1,716.0,3683.0,2048.0,32.0,34.0,7.0,33.0,8.0,894.0,70.0,38,3242.0,85.0,94.8,36.0,38,85.0,25.0,0,,0,1.42,33.0,37.0,-4.0,-0.11,-2.13,39.1,47.2,-8.1,-0.22,-0.29,4.0,0.0,0.0,26.0,31.0,5.0,51.0,77.0,48.0,0.0,1.0,0.0,188.0,107.0,62.0,63.3
Oliver Norwood,nir NIR,MF,28.0,34.3,1.0,16.0,5.0,31.3,0.47,0.15,0.0,0.0,27.8,4.0,1.0,1.0,1.5,0.7,0.04,-0.5,-0.7,1710.0,2222.0,77.0,36359.0,11716.0,591.0,666.0,88.7,744.0,864.0,86.1,346.0,605.0,57.2,1.0,4.3,4.7,-3.3,48.0,231.0,29.0,12.0,258.0,2222.0,1987.0,225.0,99.0,1.0,70.0,198.0,7.0,119.0,86.0,14.0,8.0,1710.0,10.0,23.0,83.0,2.42,48.0,29.0,0.0,4.0,1.0,1.0,6.0,0.17,4.0,2.0,0.0,0.0,0.0,0.0,66.0,37.0,35.0,24.0,7.0,28.0,97.0,28.9,69.0,34.0,12.0,22.0,47.0,113.0,40.0,1.0,2465.0,77.0,505.0,1449.0,532.0,2.0,2464.0,9.0,9.0,100.0,0.0,0.0,1023.0,3408.0,1387.0,7.0,14.0,0.0,20.0,4.0,1487.0,26.0,38,3090.0,81.0,90.4,34.3,37,83.0,25.0,1,11.0,0,1.42,35.0,36.0,-1.0,-0.03,-0.3,37.8,46.4,-8.6,-0.25,-0.44,8.0,0.0,0.0,32.0,16.0,1.0,198.0,47.0,37.0,0.0,1.0,0.0,275.0,44.0,29.0,60.3
Dean Henderson,eng ENG,GK,22.0,36.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,,9.5,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1,448.0,1045.0,42.9,20541.0,18372.0,32.0,32.0,100.0,106.0,109.0,97.2,309.0,898.0,34.4,0.0,0.0,0.1,0.0,1.0,49.0,1.0,0.0,0.0,1045.0,657.0,383.0,122.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,448.0,5.0,0.0,5.0,0.14,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,13.0,1.0,1120.0,948.0,1109.0,10.0,1.0,1.0,1120.0,0.0,0.0,,0.0,,544.0,4443.0,2726.0,0.0,0.0,0.0,2.0,0.0,363.0,0.0,36,3240.0,90.0,94.7,36.0,36,90.0,36.0,0,,0,1.47,36.0,33.0,3.0,0.08,1.58,41.6,47.3,-5.7,-0.16,0.97,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,16.0,0.0,100.0
John Egan,ie IRL,DF,26.0,35.4,2.0,27.0,4.0,14.8,0.76,0.11,0.07,0.5,9.4,0.0,0.0,0.0,2.7,2.7,0.1,-0.7,-0.7,1040.0,1302.0,79.9,22170.0,7127.0,298.0,349.0,85.4,556.0,644.0,86.3,177.0,279.0,63.4,0.0,0.4,0.5,-0.4,1.0,56.0,1.0,0.0,66.0,1302.0,1270.0,28.0,22.0,0.0,20.0,2.0,6.0,0.0,0.0,0.0,0.0,1040.0,4.0,3.0,11.0,0.31,6.0,0.0,0.0,5.0,0.0,0.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,44.0,27.0,34.0,10.0,0.0,25.0,45.0,55.6,20.0,39.0,27.0,12.0,58.0,102.0,171.0,4.0,1682.0,228.0,843.0,782.0,65.0,50.0,1682.0,2.0,1.0,50.0,1.0,50.0,688.0,3495.0,1958.0,6.0,1.0,0.0,14.0,0.0,821.0,5.0,36,3187.0,89.0,93.2,35.4,36,89.0,34.0,0,,0,1.47,36.0,30.0,6.0,0.17,2.49,40.8,45.8,-5.0,-0.14,0.98,5.0,1.0,1.0,34.0,20.0,1.0,2.0,58.0,27.0,0.0,1.0,0.0,177.0,133.0,77.0,63.3
Jack O'Connell,eng ENG,DF,25.0,32.4,0.0,14.0,2.0,14.3,0.43,0.06,0.0,0.0,10.9,0.0,0.0,0.0,1.0,1.0,0.07,-1.0,-1.0,1214.0,1683.0,72.1,22777.0,9736.0,540.0,617.0,87.5,499.0,637.0,78.3,152.0,348.0,43.7,1.0,3.1,2.4,-2.1,16.0,113.0,25.0,7.0,131.0,1683.0,1578.0,101.0,30.0,1.0,36.0,51.0,71.0,0.0,0.0,0.0,0.0,1214.0,4.0,24.0,29.0,0.9,26.0,0.0,0.0,2.0,1.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,23.0,14.0,15.0,6.0,2.0,10.0,20.0,50.0,10.0,38.0,17.0,21.0,42.0,65.0,154.0,1.0,2037.0,170.0,830.0,936.0,280.0,48.0,2037.0,16.0,9.0,56.3,7.0,43.8,858.0,3092.0,1514.0,12.0,21.0,2.0,20.0,10.0,1153.0,59.0,33,2916.0,88.0,85.3,32.4,32,90.0,32.0,1,36.0,0,1.52,35.0,28.0,7.0,0.22,1.47,37.9,41.5,-3.6,-0.11,0.67,4.0,0.0,0.0,22.0,17.0,2.0,51.0,42.0,14.0,0.0,0.0,0.0,184.0,133.0,63.0,67.9
John Fleck,sct SCO,MF,27.0,28.0,5.0,31.0,11.0,35.5,1.11,0.39,0.16,0.45,20.1,0.0,0.0,0.0,3.1,3.1,0.1,1.9,1.9,842.0,1164.0,72.3,13437.0,4460.0,427.0,494.0,86.4,268.0,342.0,78.4,89.0,198.0,44.9,2.0,3.4,3.4,-1.4,39.0,105.0,35.0,7.0,139.0,1164.0,1021.0,134.0,29.0,3.0,5.0,149.0,7.0,80.0,55.0,3.0,10.0,842.0,9.0,33.0,84.0,3.0,56.0,16.0,8.0,2.0,1.0,1.0,6.0,0.21,5.0,0.0,1.0,0.0,0.0,0.0,36.0,25.0,13.0,14.0,9.0,22.0,64.0,34.4,42.0,25.0,3.0,22.0,24.0,60.0,26.0,0.0,1414.0,36.0,205.0,608.0,619.0,37.0,1414.0,60.0,44.0,73.3,16.0,26.7,607.0,3286.0,1753.0,48.0,43.0,13.0,45.0,17.0,866.0,90.0,30,2516.0,84.0,73.6,28.0,28,87.0,26.0,2,38.0,0,1.3,26.0,30.0,-4.0,-0.14,-0.54,32.0,40.6,-8.6,-0.31,-0.37,8.0,0.0,0.0,25.0,22.0,1.0,149.0,24.0,25.0,0.0,0.0,0.0,169.0,13.0,23.0,36.1
John Lundstram,eng ENG,MF,25.0,27.3,5.0,43.0,10.0,23.3,1.57,0.37,0.12,0.5,17.6,0.0,0.0,0.0,5.3,5.3,0.12,-0.3,-0.3,987.0,1245.0,79.3,17119.0,3711.0,515.0,604.0,85.3,329.0,383.0,85.9,119.0,179.0,66.5,3.0,3.4,2.2,-0.4,21.0,70.0,31.0,8.0,122.0,1245.0,1209.0,27.0,9.0,3.0,33.0,55.0,5.0,3.0,3.0,0.0,0.0,987.0,9.0,17.0,58.0,2.12,48.0,1.0,0.0,5.0,2.0,2.0,7.0,0.26,6.0,0.0,0.0,1.0,0.0,0.0,46.0,30.0,18.0,21.0,7.0,21.0,65.0,32.3,44.0,18.0,4.0,14.0,33.0,79.0,46.0,1.0,1525.0,59.0,244.0,715.0,579.0,51.0,1525.0,37.0,18.0,48.6,18.0,48.6,759.0,3955.0,1496.0,36.0,27.0,4.0,41.0,14.0,1067.0,111.0,34,2458.0,72.0,71.9,27.3,26,87.0,21.0,8,25.0,1,1.38,27.0,29.0,-2.0,-0.07,-0.26,31.1,38.8,-7.6,-0.28,-0.25,5.0,0.0,0.0,27.0,12.0,7.0,55.0,33.0,30.0,0.0,0.0,0.0,157.0,23.0,33.0,41.1
Oliver McBurnie,sct SCO,FW,23.0,23.5,6.0,50.0,24.0,48.0,2.13,1.02,0.12,0.25,10.3,0.0,0.0,0.0,7.7,7.7,0.15,-1.7,-1.7,376.0,633.0,59.4,4833.0,1277.0,245.0,376.0,65.2,99.0,157.0,63.1,9.0,16.0,56.3,0.0,1.1,1.8,-1.1,10.0,38.0,10.0,1.0,58.0,633.0,626.0,2.0,0.0,1.0,2.0,9.0,2.0,0.0,0.0,0.0,0.0,376.0,5.0,13.0,31.0,1.32,21.0,0.0,2.0,7.0,1.0,0.0,2.0,0.09,0.0,0.0,0.0,2.0,0.0,0.0,37.0,22.0,6.0,27.0,4.0,11.0,40.0,27.5,29.0,25.0,3.0,22.0,15.0,52.0,43.0,0.0,935.0,46.0,108.0,397.0,440.0,107.0,935.0,44.0,22.0,50.0,22.0,50.0,365.0,1712.0,694.0,26.0,23.0,8.0,43.0,34.0,634.0,109.0,36,2113.0,59.0,61.8,23.5,24,76.0,7.0,12,24.0,2,1.44,22.0,25.0,-3.0,-0.13,-0.33,27.5,32.3,-4.8,-0.2,0.01,4.0,0.0,0.0,28.0,28.0,5.0,9.0,15.0,22.0,0.0,0.0,0.0,91.0,197.0,193.0,50.5
