player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Ben Foster,eng ENG,GK,36.0,38.0,0.0,1.0,1.0,100.0,0.03,0.03,0.0,0.0,10.0,0.0,0.0,0.0,0.1,0.1,0.1,-0.1,-0.1,552.0,1221.0,45.2,22850.0,20464.0,44.0,46.0,95.7,147.0,152.0,96.7,361.0,1009.0,35.8,0.0,0.0,0.1,0.0,1.0,30.0,1.0,0.0,0.0,1221.0,735.0,472.0,177.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,14.0,0.0,4.0,0.11,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,1.0,0.0,1.0,0.0,1.0,16.0,2.0,1320.0,998.0,1285.0,34.0,1.0,1.0,1320.0,2.0,2.0,100.0,0.0,0.0,623.0,4891.0,3465.0,0.0,0.0,0.0,0.0,0.0,386.0,0.0,38,3420.0,90.0,100.0,38.0,38,90.0,38.0,0,,0,0.89,36.0,64.0,-28.0,-0.74,,48.9,58.1,-9.3,-0.24,,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,54.0,9.0,0.0,100.0
Abdoulaye Doucouré,ml MLI,MF,26.0,35.1,4.0,61.0,12.0,19.7,1.74,0.34,0.07,0.33,18.3,0.0,0.0,0.0,5.2,5.2,0.08,-1.2,-1.2,1320.0,1712.0,77.1,19007.0,4672.0,714.0,862.0,82.8,456.0,548.0,83.2,61.0,101.0,60.4,2.0,3.9,2.8,-1.9,38.0,120.0,27.0,2.0,161.0,1712.0,1693.0,14.0,8.0,0.0,4.0,29.0,0.0,2.0,0.0,0.0,0.0,1320.0,5.0,47.0,95.0,2.71,69.0,1.0,11.0,9.0,2.0,3.0,8.0,0.23,6.0,0.0,0.0,2.0,0.0,0.0,64.0,30.0,29.0,29.0,6.0,16.0,57.0,28.1,41.0,46.0,8.0,38.0,31.0,95.0,32.0,0.0,2090.0,68.0,387.0,1100.0,646.0,100.0,2090.0,67.0,40.0,59.7,27.0,40.3,1241.0,5965.0,3130.0,69.0,68.0,16.0,58.0,31.0,1353.0,96.0,37,3156.0,85.0,92.3,35.1,36,86.0,25.0,1,45.0,0,0.89,33.0,61.0,-28.0,-0.8,-0.8,45.3,52.0,-6.7,-0.19,0.68,9.0,0.0,0.0,51.0,15.0,6.0,29.0,31.0,30.0,0.0,1.0,1.0,270.0,55.0,56.0,49.5
Étienne Capoue,fr FRA,MF,31.0,29.2,0.0,19.0,1.0,5.3,0.65,0.03,0.0,0.0,26.9,2.0,0.0,0.0,0.8,0.8,0.04,-0.8,-0.8,1180.0,1465.0,80.5,21643.0,6104.0,536.0,612.0,87.6,453.0,520.0,87.1,154.0,249.0,61.8,3.0,3.3,2.7,-0.3,20.0,117.0,10.0,1.0,132.0,1465.0,1356.0,106.0,42.0,3.0,44.0,23.0,5.0,6.0,6.0,0.0,0.0,1180.0,3.0,16.0,47.0,1.61,36.0,6.0,0.0,0.0,4.0,1.0,5.0,0.17,3.0,1.0,0.0,0.0,0.0,1.0,75.0,40.0,38.0,30.0,7.0,37.0,85.0,43.5,48.0,30.0,11.0,19.0,68.0,143.0,61.0,0.0,1797.0,94.0,422.0,1174.0,217.0,12.0,1797.0,40.0,23.0,57.5,17.0,42.5,912.0,3593.0,1554.0,16.0,16.0,3.0,18.0,26.0,999.0,23.0,30,2627.0,88.0,76.8,29.2,30,88.0,25.0,0,,0,1.0,29.0,48.0,-19.0,-0.65,0.37,37.4,43.7,-6.3,-0.22,0.12,8.0,0.0,0.0,57.0,39.0,0.0,23.0,68.0,40.0,0.0,1.0,0.0,219.0,49.0,19.0,72.1
Craig Cathcart,nir NIR,DF,30.0,27.6,0.0,2.0,1.0,50.0,0.07,0.04,0.0,0.0,10.8,0.0,0.0,0.0,0.2,0.2,0.1,-0.2,-0.2,742.0,922.0,80.5,13808.0,4884.0,277.0,314.0,88.2,364.0,421.0,86.5,79.0,146.0,54.1,0.0,0.1,0.1,-0.1,2.0,33.0,3.0,1.0,61.0,922.0,899.0,20.0,16.0,1.0,7.0,1.0,4.0,0.0,0.0,0.0,0.0,742.0,3.0,4.0,9.0,0.33,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,41.0,26.0,25.0,15.0,1.0,10.0,24.0,41.7,14.0,19.0,16.0,3.0,25.0,66.0,136.0,1.0,1194.0,156.0,601.0,572.0,23.0,12.0,1194.0,7.0,4.0,57.1,3.0,42.9,583.0,2439.0,1037.0,2.0,3.0,1.0,9.0,3.0,591.0,3.0,29,2488.0,86.0,72.7,27.6,28,87.0,26.0,1,45.0,7,0.9,25.0,37.0,-12.0,-0.43,1.11,32.7,36.9,-4.2,-0.15,0.33,7.0,0.0,0.0,13.0,2.0,0.0,1.0,25.0,26.0,0.0,0.0,0.0,128.0,67.0,52.0,56.3
Will Hughes,eng ENG,MF,24.0,25.0,1.0,27.0,3.0,11.1,1.08,0.12,0.04,0.33,19.3,0.0,0.0,0.0,2.3,2.3,0.08,-1.3,-1.3,679.0,916.0,74.1,9200.0,3365.0,414.0,479.0,86.4,182.0,246.0,74.0,34.0,88.0,38.6,1.0,2.1,2.6,-1.1,25.0,69.0,23.0,2.0,87.0,916.0,849.0,61.0,24.0,1.0,2.0,69.0,1.0,36.0,28.0,4.0,0.0,679.0,6.0,26.0,60.0,2.4,33.0,16.0,1.0,1.0,7.0,2.0,5.0,0.2,4.0,1.0,0.0,0.0,0.0,0.0,75.0,47.0,24.0,41.0,10.0,25.0,67.0,37.3,42.0,48.0,8.0,40.0,37.0,112.0,28.0,0.0,1254.0,44.0,235.0,612.0,420.0,47.0,1254.0,33.0,24.0,72.7,9.0,27.3,632.0,3123.0,1642.0,40.0,33.0,5.0,46.0,32.0,688.0,60.0,30,2252.0,75.0,65.8,25.0,27,79.0,13.0,3,37.0,3,0.83,23.0,46.0,-23.0,-0.92,-0.53,29.7,39.7,-10.0,-0.4,-0.45,9.0,0.0,0.0,53.0,46.0,1.0,69.0,37.0,47.0,0.0,2.0,0.0,127.0,25.0,32.0,43.9
Craig Dawson,eng ENG,DF,29.0,26.2,2.0,26.0,7.0,26.9,0.99,0.27,0.08,0.29,10.6,0.0,0.0,0.0,3.0,3.0,0.12,-1.0,-1.0,741.0,962.0,77.0,15418.0,5835.0,235.0,276.0,85.1,376.0,433.0,86.8,118.0,216.0,54.6,0.0,0.5,0.4,-0.5,5.0,51.0,2.0,0.0,63.0,962.0,928.0,29.0,13.0,1.0,22.0,4.0,16.0,0.0,0.0,0.0,0.0,741.0,5.0,10.0,13.0,0.5,8.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,18.0,16.0,13.0,0.0,17.0,31.0,54.8,14.0,41.0,32.0,9.0,34.0,63.0,116.0,0.0,1252.0,162.0,610.0,568.0,81.0,49.0,1252.0,4.0,3.0,75.0,1.0,25.0,622.0,2801.0,1289.0,4.0,0.0,0.0,15.0,3.0,665.0,7.0,29,2361.0,81.0,69.0,26.2,26,88.0,25.0,3,22.0,5,0.9,25.0,49.0,-24.0,-0.91,-0.57,36.3,40.9,-4.6,-0.18,0.22,6.0,0.0,0.0,31.0,12.0,0.0,4.0,34.0,18.0,0.0,1.0,0.0,123.0,100.0,42.0,70.4
Christian Kabasele,be BEL,DF,28.0,25.0,0.0,9.0,1.0,11.1,0.36,0.04,0.0,0.0,10.4,0.0,0.0,0.0,0.9,0.9,0.1,-0.9,-0.9,488.0,671.0,72.7,9649.0,4109.0,175.0,219.0,79.9,227.0,279.0,81.4,74.0,150.0,49.3,2.0,0.9,0.1,1.1,6.0,33.0,1.0,0.0,36.0,671.0,661.0,10.0,9.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,488.0,0.0,4.0,10.0,0.4,8.0,0.0,0.0,0.0,2.0,0.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,37.0,24.0,26.0,11.0,0.0,17.0,32.0,53.1,15.0,31.0,23.0,8.0,36.0,73.0,127.0,0.0,954.0,185.0,546.0,390.0,23.0,18.0,954.0,10.0,9.0,90.0,1.0,10.0,433.0,1896.0,776.0,1.0,1.0,0.0,12.0,5.0,437.0,0.0,27,2250.0,83.0,65.8,25.0,26,87.0,23.0,1,1.0,7,1.11,29.0,35.0,-6.0,-0.24,1.45,33.4,33.9,-0.5,-0.02,0.66,3.0,2.0,1.0,22.0,14.0,0.0,0.0,36.0,24.0,0.0,0.0,0.0,96.0,61.0,47.0,56.5
Kiko Femenía,es ESP,DF,28.0,24.9,0.0,5.0,1.0,20.0,0.2,0.04,0.0,0.0,27.2,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,988.0,1290.0,76.6,14191.0,5743.0,605.0,686.0,88.2,290.0,407.0,71.3,58.0,127.0,45.7,0.0,1.4,1.8,-1.4,18.0,52.0,27.0,15.0,85.0,1290.0,1008.0,281.0,13.0,0.0,10.0,69.0,267.0,1.0,0.0,1.0,0.0,988.0,1.0,25.0,37.0,1.49,29.0,5.0,2.0,0.0,1.0,0.0,4.0,0.16,0.0,2.0,1.0,0.0,1.0,0.0,68.0,38.0,49.0,17.0,2.0,43.0,80.0,53.8,37.0,16.0,2.0,14.0,36.0,104.0,49.0,0.0,1510.0,55.0,421.0,681.0,427.0,17.0,1510.0,32.0,19.0,59.4,13.0,40.6,743.0,3754.0,1993.0,49.0,36.0,4.0,21.0,11.0,754.0,81.0,28,2237.0,80.0,65.4,24.9,26,85.0,20.0,2,18.0,3,0.86,23.0,46.0,-23.0,-0.93,-0.54,32.4,40.7,-8.3,-0.33,-0.26,5.0,0.0,0.0,26.0,12.0,1.0,69.0,36.0,38.0,1.0,0.0,0.0,150.0,13.0,13.0,50.0
Troy Deeney,eng ENG,FW,31.0,24.7,10.0,39.0,16.0,41.0,1.58,0.65,0.13,0.31,16.0,0.0,5.0,6.0,10.5,5.8,0.15,-0.5,-0.8,386.0,727.0,53.1,5100.0,1807.0,231.0,381.0,60.6,104.0,208.0,50.0,15.0,36.0,41.7,2.0,3.5,1.8,-1.5,29.0,51.0,20.0,1.0,81.0,727.0,714.0,6.0,0.0,1.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,386.0,7.0,19.0,64.0,2.59,49.0,0.0,0.0,4.0,10.0,1.0,4.0,0.16,3.0,0.0,0.0,0.0,1.0,0.0,19.0,12.0,6.0,10.0,3.0,6.0,29.0,20.7,23.0,13.0,1.0,12.0,11.0,30.0,27.0,0.0,961.0,28.0,82.0,459.0,430.0,103.0,955.0,20.0,10.0,50.0,10.0,50.0,402.0,1384.0,522.0,12.0,15.0,3.0,51.0,26.0,717.0,104.0,27,2225.0,82.0,65.1,24.7,26,84.0,16.0,1,35.0,2,0.96,27.0,39.0,-12.0,-0.49,0.72,32.7,34.3,-1.6,-0.06,0.52,3.0,0.0,0.0,37.0,36.0,12.0,10.0,11.0,12.0,1.0,0.0,0.0,62.0,195.0,275.0,41.5
Gerard Deulofeu,es ESP,FW,25.0,23.3,4.0,63.0,20.0,31.7,2.7,0.86,0.05,0.15,18.8,8.0,1.0,1.0,6.3,5.5,0.09,-2.3,-2.5,598.0,829.0,72.1,8395.0,2071.0,348.0,401.0,86.8,166.0,228.0,72.8,40.0,86.0,46.5,5.0,4.1,4.1,0.9,44.0,26.0,28.0,1.0,63.0,829.0,736.0,88.0,30.0,3.0,1.0,96.0,7.0,34.0,18.0,12.0,0.0,598.0,5.0,27.0,104.0,4.46,57.0,11.0,18.0,8.0,7.0,3.0,10.0,0.43,5.0,0.0,2.0,0.0,1.0,2.0,33.0,16.0,18.0,9.0,6.0,12.0,59.0,20.3,47.0,10.0,0.0,10.0,25.0,58.0,6.0,0.0,1112.0,11.0,134.0,361.0,647.0,133.0,1111.0,105.0,62.0,59.0,43.0,41.0,751.0,6112.0,3408.0,123.0,80.0,62.0,67.0,52.0,749.0,170.0,28,2098.0,75.0,61.3,23.3,25,79.0,11.0,3,43.0,0,0.96,22.0,33.0,-11.0,-0.47,0.69,27.7,35.5,-7.8,-0.34,-0.24,3.0,0.0,0.0,27.0,22.0,18.0,96.0,25.0,16.0,1.0,0.0,0.0,126.0,1.0,16.0,5.9
