player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Vicente Guaita,es ESP,GK,33.0,37.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,610.0,1081.0,56.4,20832.0,16995.0,97.0,98.0,99.0,208.0,215.0,96.7,300.0,759.0,39.5,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1081.0,654.0,423.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610.0,4.0,0.0,2.0,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,1.0,1152.0,986.0,1150.0,2.0,0.0,0.0,1152.0,0.0,0.0,,0.0,,548.0,3364.0,2288.0,0.0,0.0,0.0,0.0,0.0,388.0,0.0,37,3330.0,90.0,97.4,37.0,37,90.0,37.0,0,,1,1.11,38.0,64.0,-26.0,-0.7,-1.7,32.2,56.9,-24.7,-0.67,-1.17,2.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,26.0,9.0,1.0,90.0
Cheikhou Kouyaté,sn SEN,DF,30.0,34.7,1.0,7.0,2.0,28.6,0.2,0.06,0.14,0.5,11.2,0.0,0.0,0.0,0.7,0.7,0.1,0.3,0.3,992.0,1287.0,77.1,17952.0,6675.0,400.0,457.0,87.5,462.0,547.0,84.5,106.0,221.0,48.0,0.0,1.0,0.3,-1.0,8.0,39.0,3.0,1.0,32.0,1287.0,1221.0,64.0,61.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,992.0,2.0,18.0,15.0,0.43,13.0,0.0,0.0,1.0,1.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,58.0,37.0,44.0,12.0,2.0,25.0,43.0,58.1,18.0,42.0,26.0,16.0,32.0,90.0,125.0,2.0,1625.0,215.0,938.0,633.0,64.0,24.0,1625.0,12.0,10.0,83.3,2.0,16.7,787.0,3288.0,1485.0,6.0,2.0,0.0,17.0,8.0,860.0,11.0,36,3121.0,87.0,91.3,34.7,35,89.0,33.0,1,1.0,1,1.22,39.0,56.0,-17.0,-0.49,1.92,32.8,53.4,-20.5,-0.59,0.5,4.0,0.0,0.0,36.0,15.0,0.0,3.0,32.0,37.0,0.0,0.0,0.0,177.0,82.0,54.0,60.3
Wilfried Zaha,ci CIV,FW,27.0,29.0,11.0,58.0,18.0,31.0,2.0,0.62,0.16,0.5,16.9,0.0,2.0,2.0,8.1,6.5,0.11,2.9,2.5,586.0,784.0,74.7,7821.0,1763.0,359.0,434.0,82.7,157.0,198.0,79.3,28.0,51.0,54.9,2.0,3.1,3.9,-1.1,30.0,35.0,33.0,2.0,72.0,784.0,768.0,12.0,2.0,2.0,2.0,41.0,5.0,1.0,0.0,0.0,0.0,586.0,4.0,34.0,96.0,3.31,52.0,0.0,21.0,4.0,18.0,1.0,10.0,0.34,6.0,0.0,2.0,0.0,2.0,0.0,26.0,18.0,8.0,15.0,3.0,11.0,30.0,36.7,19.0,21.0,0.0,21.0,9.0,35.0,4.0,0.0,1167.0,2.0,83.0,471.0,633.0,146.0,1165.0,117.0,55.0,47.0,62.0,53.0,851.0,5803.0,2845.0,103.0,66.0,62.0,108.0,77.0,954.0,259.0,30,2612.0,87.0,76.4,29.0,29,89.0,27.0,1,45.0,0,1.3,37.0,52.0,-15.0,-0.52,0.6,29.0,45.1,-16.1,-0.55,0.35,6.0,0.0,0.0,32.0,88.0,22.0,41.0,9.0,18.0,1.0,0.0,0.0,102.0,9.0,26.0,25.7
Eberechi Eze,eng ENG,MF,22.0,28.4,4.0,37.0,13.0,35.1,1.3,0.46,0.11,0.31,21.7,4.0,0.0,0.0,2.2,2.2,0.06,1.8,1.8,945.0,1188.0,79.5,13623.0,3996.0,538.0,596.0,90.3,286.0,351.0,81.5,62.0,131.0,47.3,6.0,3.9,2.8,2.1,43.0,70.0,32.0,3.0,127.0,1188.0,1046.0,134.0,36.0,1.0,4.0,86.0,6.0,63.0,26.0,13.0,9.0,945.0,8.0,25.0,95.0,3.34,60.0,15.0,11.0,2.0,6.0,1.0,12.0,0.42,5.0,2.0,3.0,1.0,1.0,0.0,27.0,14.0,11.0,13.0,3.0,16.0,35.0,45.7,19.0,19.0,3.0,16.0,24.0,51.0,9.0,1.0,1473.0,22.0,215.0,708.0,591.0,42.0,1473.0,118.0,64.0,54.2,54.0,45.8,967.0,6917.0,3318.0,79.0,70.0,18.0,57.0,37.0,1042.0,126.0,34,2559.0,75.0,74.8,28.4,29,84.0,19.0,5,24.0,2,1.24,30.0,51.0,-21.0,-0.74,-0.32,25.3,43.8,-18.5,-0.65,-0.06,3.0,0.0,0.0,18.0,72.0,1.0,86.0,24.0,14.0,0.0,0.0,0.0,178.0,12.0,29.0,29.3
Luka Milivojević,rs SRB,MF,29.0,26.2,1.0,17.0,5.0,29.4,0.65,0.19,0.0,0.0,28.4,7.0,1.0,2.0,2.4,0.8,0.05,-1.4,-0.8,1091.0,1341.0,81.4,19143.0,6716.0,485.0,553.0,87.7,453.0,521.0,86.9,115.0,187.0,61.5,1.0,1.7,1.6,-0.7,21.0,117.0,10.0,1.0,120.0,1341.0,1237.0,99.0,66.0,2.0,10.0,38.0,4.0,23.0,10.0,9.0,2.0,1091.0,5.0,16.0,49.0,1.87,31.0,14.0,1.0,2.0,1.0,0.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,65.0,34.0,25.0,31.0,9.0,42.0,77.0,54.5,35.0,29.0,6.0,23.0,35.0,100.0,47.0,2.0,1589.0,87.0,443.0,961.0,204.0,9.0,1587.0,14.0,8.0,57.1,6.0,42.9,798.0,3981.0,1678.0,12.0,13.0,2.0,13.0,19.0,947.0,11.0,31,2359.0,76.0,69.0,26.2,27,85.0,18.0,4,13.0,1,1.23,25.0,47.0,-22.0,-0.84,-0.58,22.5,42.6,-20.1,-0.77,-0.43,8.0,1.0,0.0,38.0,33.0,0.0,38.0,35.0,34.0,0.0,0.0,0.0,157.0,33.0,19.0,63.5
Andros Townsend,eng ENG,"MF,FW",29.0,25.1,1.0,36.0,11.0,30.6,1.43,0.44,0.03,0.09,22.6,4.0,0.0,0.0,2.3,2.3,0.06,-1.3,-1.3,578.0,871.0,66.4,9075.0,3523.0,327.0,374.0,87.4,141.0,222.0,63.5,71.0,170.0,41.8,5.0,4.0,3.9,1.0,40.0,42.0,41.0,22.0,75.0,871.0,761.0,103.0,36.0,2.0,3.0,155.0,6.0,56.0,29.0,5.0,12.0,578.0,7.0,36.0,76.0,3.03,42.0,19.0,6.0,1.0,5.0,3.0,9.0,0.36,7.0,2.0,0.0,0.0,0.0,0.0,78.0,41.0,45.0,20.0,13.0,30.0,79.0,38.0,49.0,48.0,2.0,46.0,41.0,119.0,19.0,0.0,1213.0,29.0,259.0,502.0,493.0,33.0,1213.0,73.0,44.0,60.3,29.0,39.7,679.0,4920.0,2351.0,72.0,55.0,9.0,47.0,56.0,706.0,112.0,34,2258.0,66.0,66.0,25.1,25,84.0,16.0,9,18.0,4,1.18,25.0,37.0,-12.0,-0.48,0.53,21.8,36.0,-14.2,-0.57,0.2,0.0,0.0,0.0,28.0,54.0,2.0,155.0,41.0,41.0,0.0,0.0,0.0,177.0,2.0,19.0,9.5
Joel Ward,eng ENG,DF,30.0,25.1,0.0,2.0,1.0,50.0,0.08,0.04,0.0,0.0,26.2,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,793.0,1104.0,71.8,11724.0,5878.0,463.0,541.0,85.6,249.0,348.0,71.6,54.0,140.0,38.6,1.0,0.6,0.5,0.4,7.0,66.0,9.0,2.0,83.0,1104.0,837.0,264.0,9.0,0.0,3.0,27.0,255.0,0.0,0.0,0.0,0.0,793.0,3.0,35.0,19.0,0.76,18.0,1.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,43.0,25.0,29.0,14.0,0.0,24.0,42.0,57.1,18.0,27.0,8.0,19.0,41.0,84.0,87.0,2.0,1379.0,114.0,542.0,589.0,256.0,10.0,1379.0,16.0,12.0,75.0,4.0,25.0,484.0,2236.0,1154.0,20.0,23.0,3.0,24.0,8.0,560.0,35.0,26,2256.0,87.0,66.0,25.1,25,90.0,25.0,1,6.0,7,1.15,25.0,43.0,-18.0,-0.72,-0.18,20.9,40.7,-19.7,-0.79,-0.44,5.0,0.0,0.0,32.0,12.0,1.0,27.0,41.0,25.0,0.0,1.0,0.0,134.0,48.0,42.0,53.3
Jordan Ayew,gh GHA,"FW,MF",28.0,23.3,1.0,26.0,11.0,42.3,1.12,0.47,0.04,0.09,17.6,0.0,0.0,0.0,2.2,2.2,0.08,-1.2,-1.2,519.0,667.0,77.8,6434.0,1218.0,323.0,368.0,87.8,136.0,177.0,76.8,13.0,25.0,52.0,3.0,0.7,1.4,2.3,13.0,23.0,12.0,2.0,35.0,667.0,656.0,10.0,3.0,1.0,3.0,31.0,2.0,0.0,0.0,0.0,0.0,519.0,1.0,30.0,39.0,1.67,26.0,0.0,2.0,5.0,6.0,0.0,7.0,0.3,5.0,0.0,0.0,1.0,1.0,0.0,38.0,26.0,8.0,16.0,14.0,16.0,44.0,36.4,28.0,28.0,2.0,26.0,16.0,54.0,12.0,0.0,973.0,17.0,137.0,476.0,381.0,57.0,973.0,89.0,52.0,58.4,37.0,41.6,585.0,3988.0,1762.0,58.0,32.0,14.0,82.0,60.0,711.0,109.0,33,2096.0,64.0,61.3,23.3,23,84.0,12.0,10,17.0,3,1.09,21.0,42.0,-21.0,-0.9,-0.63,16.5,36.8,-20.3,-0.87,-0.61,4.0,0.0,0.0,45.0,63.0,5.0,31.0,16.0,26.0,0.0,0.0,0.0,108.0,29.0,94.0,23.6
Christian Benteke,be BEL,FW,29.0,20.2,10.0,71.0,33.0,46.5,3.52,1.64,0.14,0.3,12.5,0.0,0.0,0.0,8.3,8.3,0.12,1.7,1.7,339.0,583.0,58.1,4059.0,800.0,229.0,359.0,63.8,63.0,124.0,50.8,14.0,19.0,73.7,1.0,0.9,1.0,0.1,15.0,27.0,11.0,1.0,36.0,583.0,567.0,12.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,339.0,4.0,9.0,40.0,1.98,31.0,0.0,4.0,2.0,1.0,2.0,4.0,0.2,2.0,0.0,1.0,0.0,0.0,1.0,15.0,7.0,1.0,7.0,7.0,2.0,9.0,22.2,7.0,17.0,6.0,11.0,4.0,19.0,39.0,0.0,837.0,53.0,82.0,411.0,350.0,118.0,837.0,27.0,16.0,59.3,11.0,40.7,351.0,1499.0,464.0,14.0,10.0,9.0,59.0,27.0,661.0,124.0,30,1816.0,61.0,53.1,20.2,21,81.0,11.0,9,13.0,4,1.07,23.0,34.0,-11.0,-0.55,0.24,20.4,31.5,-11.1,-0.55,0.18,3.0,1.0,1.0,35.0,20.0,14.0,3.0,4.0,7.0,0.0,0.0,0.0,45.0,204.0,154.0,57.0
Gary Cahill,eng ENG,DF,34.0,20.0,1.0,11.0,3.0,27.3,0.55,0.15,0.09,0.33,12.5,0.0,0.0,0.0,0.7,0.7,0.07,0.3,0.3,615.0,748.0,82.2,11797.0,4658.0,230.0,272.0,84.6,310.0,340.0,91.2,64.0,116.0,55.2,1.0,0.6,1.0,0.4,8.0,35.0,2.0,0.0,46.0,748.0,720.0,27.0,26.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,615.0,1.0,3.0,15.0,0.75,14.0,0.0,0.0,1.0,0.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,10.0,3.0,0.0,7.0,11.0,63.6,4.0,27.0,22.0,5.0,13.0,26.0,88.0,0.0,938.0,145.0,564.0,334.0,41.0,27.0,938.0,1.0,1.0,100.0,0.0,0.0,449.0,2207.0,997.0,3.0,0.0,0.0,7.0,1.0,529.0,0.0,20,1800.0,90.0,52.6,20.0,20,90.0,20.0,0,,7,1.15,23.0,39.0,-16.0,-0.8,-0.3,16.4,33.6,-17.3,-0.86,-0.48,3.0,0.0,0.0,12.0,3.0,3.0,0.0,13.0,9.0,0.0,0.0,0.0,64.0,69.0,36.0,65.7
