player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Alphonse Areola,fr FRA,GK,27.0,36.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,746.0,1014.0,73.6,18222.0,12486.0,272.0,274.0,99.3,254.0,256.0,99.2,204.0,465.0,43.9,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,1014.0,663.0,348.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.0,3.0,0.0,2.0,0.06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,20.0,4.0,0.0,0.0,0.0,1.0,2.0,13.0,3.0,1101.0,972.0,1096.0,5.0,0.0,0.0,1101.0,0.0,0.0,,0.0,,574.0,2982.0,1600.0,0.0,0.0,0.0,1.0,0.0,414.0,0.0,36,3240.0,90.0,94.7,36.0,36,90.0,36.0,0,,2,0.78,27.0,48.0,-21.0,-0.58,1.92,39.4,49.4,-10.0,-0.28,0.75,2.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36.0,13.0,1.0,92.9
Tosin Adarabioyo,eng ENG,DF,22.0,32.8,0.0,18.0,5.0,27.8,0.55,0.15,0.0,0.0,10.5,0.0,0.0,0.0,1.1,1.1,0.06,-1.1,-1.1,1647.0,1918.0,85.9,33255.0,12650.0,484.0,551.0,87.8,949.0,1008.0,94.1,196.0,318.0,61.6,0.0,0.3,0.4,-0.3,5.0,71.0,5.0,0.0,75.0,1918.0,1872.0,42.0,35.0,0.0,8.0,2.0,7.0,0.0,0.0,0.0,0.0,1647.0,4.0,11.0,18.0,0.55,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,37.0,19.0,30.0,6.0,1.0,19.0,40.0,47.5,21.0,26.0,20.0,6.0,42.0,79.0,197.0,2.0,2272.0,398.0,1310.0,900.0,67.0,35.0,2272.0,14.0,11.0,78.6,3.0,21.4,1337.0,5844.0,3132.0,5.0,5.0,0.0,12.0,5.0,1522.0,3.0,33,2953.0,89.0,86.3,32.8,33,89.0,32.0,0,,1,0.85,24.0,41.0,-17.0,-0.52,1.22,35.8,46.2,-10.4,-0.32,0.01,1.0,0.0,0.0,16.0,6.0,2.0,2.0,42.0,19.0,0.0,1.0,1.0,143.0,82.0,38.0,68.3
Ademola Lookman,ng NGA,"FW,MF",22.0,30.5,4.0,68.0,22.0,32.4,2.23,0.72,0.06,0.18,17.8,4.0,0.0,1.0,6.3,5.5,0.08,-2.3,-1.5,892.0,1199.0,74.4,13128.0,3607.0,497.0,577.0,86.1,295.0,378.0,78.0,56.0,128.0,43.8,4.0,5.2,4.2,-1.2,61.0,51.0,41.0,5.0,110.0,1199.0,1035.0,160.0,37.0,6.0,3.0,134.0,12.0,84.0,33.0,29.0,8.0,892.0,4.0,36.0,127.0,4.16,82.0,24.0,6.0,9.0,6.0,0.0,9.0,0.29,5.0,2.0,1.0,1.0,0.0,0.0,35.0,11.0,18.0,9.0,8.0,13.0,44.0,29.5,31.0,31.0,1.0,30.0,20.0,55.0,9.0,0.0,1576.0,12.0,145.0,650.0,810.0,132.0,1575.0,128.0,82.0,64.1,46.0,35.9,962.0,6839.0,3071.0,110.0,67.0,52.0,107.0,73.0,1075.0,236.0,34,2747.0,81.0,80.3,30.5,31,86.0,19.0,3,25.0,0,0.82,23.0,33.0,-10.0,-0.33,1.81,34.7,39.0,-4.4,-0.14,0.89,5.0,0.0,0.0,46.0,59.0,12.0,134.0,20.0,11.0,0.0,0.0,0.0,168.0,7.0,22.0,24.1
Ola Aina,ng NGA,DF,23.0,29.6,2.0,14.0,4.0,28.6,0.47,0.14,0.14,0.5,24.6,1.0,0.0,0.0,1.2,1.2,0.09,0.8,0.8,1352.0,1769.0,76.4,22797.0,9159.0,642.0,717.0,89.5,565.0,704.0,80.3,112.0,257.0,43.6,1.0,1.5,1.2,-0.5,15.0,92.0,15.0,9.0,106.0,1769.0,1486.0,282.0,28.0,0.0,13.0,52.0,254.0,0.0,0.0,0.0,0.0,1352.0,1.0,34.0,27.0,0.91,23.0,3.0,0.0,0.0,1.0,0.0,4.0,0.14,4.0,0.0,0.0,0.0,0.0,0.0,37.0,20.0,22.0,7.0,8.0,21.0,43.0,48.8,22.0,22.0,6.0,16.0,45.0,82.0,94.0,2.0,2052.0,105.0,781.0,957.0,330.0,17.0,2052.0,33.0,21.0,63.6,12.0,36.4,1070.0,5595.0,3024.0,63.0,40.0,5.0,27.0,10.0,1254.0,50.0,31,2664.0,86.0,77.9,29.6,31,86.0,24.0,0,,4,0.84,22.0,36.0,-14.0,-0.47,0.96,30.4,42.0,-11.6,-0.39,-0.33,3.0,0.0,0.0,32.0,25.0,2.0,52.0,45.0,20.0,0.0,0.0,0.0,147.0,31.0,36.0,46.3
Joachim Andersen,dk DEN,DF,24.0,30.3,1.0,13.0,3.0,23.1,0.43,0.1,0.08,0.33,16.4,1.0,0.0,0.0,1.2,1.2,0.09,-0.2,-0.2,1609.0,1993.0,80.7,34882.0,12812.0,427.0,491.0,87.0,912.0,1007.0,90.6,252.0,442.0,57.0,1.0,0.4,0.9,0.6,8.0,130.0,6.0,1.0,95.0,1993.0,1902.0,83.0,68.0,0.0,35.0,12.0,15.0,0.0,0.0,0.0,0.0,1609.0,8.0,13.0,30.0,0.99,28.0,0.0,0.0,1.0,1.0,0.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,33.0,19.0,18.0,11.0,4.0,15.0,28.0,53.6,13.0,24.0,13.0,11.0,44.0,77.0,151.0,1.0,2275.0,309.0,1259.0,944.0,90.0,25.0,2275.0,11.0,9.0,81.8,2.0,18.2,1304.0,7345.0,4043.0,20.0,13.0,1.0,10.0,3.0,1456.0,7.0,31,2730.0,88.0,79.8,30.3,30,89.0,29.0,1,59.0,0,0.87,22.0,35.0,-13.0,-0.43,1.27,33.4,39.9,-6.5,-0.21,0.52,7.0,1.0,0.0,39.0,15.0,1.0,12.0,44.0,19.0,0.0,2.0,0.0,172.0,98.0,44.0,69.0
Andre-Frank Zambo Anguissa,cm CMR,MF,24.0,28.7,0.0,34.0,8.0,23.5,1.18,0.28,0.0,0.0,21.6,0.0,0.0,0.0,1.6,1.6,0.05,-1.6,-1.6,1201.0,1434.0,83.8,17714.0,4593.0,669.0,761.0,87.9,428.0,477.0,89.7,57.0,94.0,60.6,3.0,2.5,2.0,0.5,27.0,123.0,20.0,4.0,156.0,1434.0,1417.0,17.0,12.0,2.0,5.0,13.0,5.0,0.0,0.0,0.0,0.0,1201.0,0.0,22.0,63.0,2.19,49.0,0.0,9.0,2.0,2.0,1.0,6.0,0.21,4.0,0.0,2.0,0.0,0.0,0.0,78.0,37.0,27.0,38.0,13.0,27.0,68.0,39.7,41.0,35.0,6.0,29.0,56.0,134.0,17.0,2.0,1827.0,38.0,367.0,1059.0,448.0,38.0,1827.0,143.0,96.0,67.1,47.0,32.9,1087.0,6846.0,3329.0,81.0,64.0,8.0,72.0,50.0,1201.0,68.0,36,2587.0,72.0,75.6,28.7,29,84.0,22.0,7,22.0,2,0.69,19.0,40.0,-21.0,-0.73,-0.19,29.0,41.4,-12.5,-0.43,-0.47,6.0,0.0,0.0,44.0,27.0,0.0,13.0,56.0,37.0,0.0,0.0,0.0,220.0,63.0,39.0,61.8
Bobby Reid,jm JAM,"MF,FW",27.0,26.4,5.0,34.0,8.0,23.5,1.29,0.3,0.15,0.63,16.9,1.0,0.0,0.0,3.8,3.8,0.11,1.2,1.2,615.0,830.0,74.1,9138.0,2549.0,325.0,388.0,83.8,216.0,279.0,77.4,38.0,86.0,44.2,2.0,1.1,1.8,0.9,14.0,37.0,21.0,4.0,67.0,830.0,771.0,56.0,6.0,2.0,5.0,41.0,26.0,1.0,1.0,0.0,0.0,615.0,3.0,22.0,42.0,1.59,29.0,0.0,4.0,3.0,6.0,0.0,5.0,0.19,4.0,0.0,0.0,0.0,1.0,0.0,31.0,15.0,17.0,10.0,4.0,18.0,39.0,46.2,21.0,19.0,5.0,14.0,21.0,52.0,39.0,0.0,1095.0,49.0,212.0,466.0,429.0,81.0,1095.0,52.0,27.0,51.9,25.0,48.1,585.0,2918.0,1384.0,44.0,32.0,17.0,50.0,24.0,726.0,138.0,33,2372.0,72.0,69.4,26.4,28,82.0,14.0,5,17.0,2,0.82,20.0,32.0,-12.0,-0.46,0.75,26.3,35.1,-8.8,-0.34,-0.06,7.0,0.0,0.0,38.0,20.0,3.0,41.0,21.0,15.0,1.0,0.0,0.0,102.0,16.0,40.0,28.6
Ivan Cavaleiro,pt POR,FW,26.0,27.5,3.0,45.0,15.0,33.3,1.64,0.55,0.04,0.13,18.1,1.0,1.0,2.0,6.4,4.8,0.11,-3.4,-2.8,589.0,857.0,68.7,8802.0,2103.0,317.0,395.0,80.3,179.0,257.0,69.6,46.0,100.0,46.0,0.0,2.7,2.4,-2.7,43.0,26.0,32.0,12.0,63.0,857.0,770.0,85.0,26.0,0.0,4.0,122.0,9.0,42.0,15.0,24.0,2.0,589.0,2.0,26.0,85.0,3.1,57.0,17.0,3.0,3.0,5.0,0.0,2.0,0.07,1.0,0.0,0.0,0.0,1.0,0.0,23.0,14.0,9.0,11.0,3.0,12.0,34.0,35.3,22.0,25.0,1.0,24.0,19.0,42.0,14.0,0.0,1201.0,25.0,145.0,473.0,597.0,73.0,1199.0,98.0,53.0,54.1,45.0,45.9,714.0,4723.0,1870.0,68.0,41.0,23.0,100.0,50.0,834.0,230.0,36,2472.0,69.0,72.3,27.5,27,85.0,15.0,9,21.0,0,0.75,19.0,43.0,-24.0,-0.87,-0.68,28.4,39.4,-11.0,-0.4,-0.3,2.0,0.0,0.0,30.0,28.0,9.0,122.0,19.0,14.0,0.0,0.0,0.0,123.0,48.0,88.0,35.3
Harrison Reed,eng ENG,MF,25.0,25.0,0.0,13.0,4.0,30.8,0.52,0.16,0.0,0.0,26.1,0.0,0.0,0.0,0.4,0.4,0.03,-0.4,-0.4,1288.0,1516.0,85.0,21403.0,5739.0,610.0,672.0,90.8,551.0,609.0,90.5,89.0,157.0,56.7,2.0,1.7,1.8,0.3,21.0,102.0,16.0,3.0,127.0,1516.0,1418.0,96.0,71.0,0.0,2.0,27.0,10.0,12.0,2.0,4.0,3.0,1288.0,2.0,19.0,44.0,1.76,36.0,6.0,0.0,2.0,0.0,0.0,3.0,0.12,2.0,0.0,0.0,1.0,0.0,0.0,63.0,38.0,28.0,28.0,7.0,29.0,73.0,39.7,44.0,34.0,11.0,23.0,50.0,113.0,31.0,1.0,1756.0,66.0,475.0,986.0,311.0,10.0,1756.0,24.0,15.0,62.5,9.0,37.5,896.0,3892.0,1689.0,24.0,21.0,2.0,20.0,10.0,1061.0,16.0,31,2247.0,72.0,65.7,25.0,26,82.0,19.0,5,22.0,1,0.84,19.0,35.0,-16.0,-0.64,0.13,25.8,33.8,-8.0,-0.32,0.0,5.0,0.0,0.0,40.0,25.0,0.0,27.0,50.0,38.0,0.0,0.0,0.0,180.0,20.0,28.0,41.7
Antonee Robinson,us USA,DF,22.0,24.0,0.0,10.0,4.0,40.0,0.42,0.17,0.0,0.0,20.0,0.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4,974.0,1385.0,70.3,15751.0,5884.0,489.0,567.0,86.2,381.0,540.0,70.6,77.0,174.0,44.3,0.0,1.9,2.0,-1.9,29.0,48.0,41.0,22.0,82.0,1385.0,1139.0,243.0,9.0,0.0,2.0,101.0,234.0,0.0,0.0,0.0,0.0,974.0,3.0,36.0,60.0,2.5,51.0,3.0,3.0,0.0,3.0,0.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,45.0,28.0,24.0,16.0,5.0,27.0,44.0,61.4,17.0,21.0,4.0,17.0,37.0,82.0,68.0,0.0,1670.0,83.0,465.0,689.0,541.0,32.0,1670.0,73.0,51.0,69.9,22.0,30.1,827.0,5886.0,3401.0,98.0,78.0,11.0,44.0,22.0,939.0,145.0,28,2162.0,77.0,63.2,24.0,24,87.0,21.0,4,19.0,3,0.82,16.0,27.0,-11.0,-0.46,0.62,27.7,33.1,-5.4,-0.23,0.25,4.0,1.0,0.0,20.0,8.0,1.0,101.0,37.0,28.0,0.0,0.0,0.0,135.0,36.0,18.0,66.7
