player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Bruno Fernandes,pt POR,MF,25.0,34.4,18.0,111.0,40.0,36.0,3.22,1.16,0.08,0.23,22.9,16.0,9.0,10.0,16.1,8.2,0.07,1.9,0.8,1734.0,2339.0,74.1,29654.0,8587.0,872.0,1009.0,86.4,560.0,728.0,76.9,218.0,366.0,59.6,12.0,11.4,9.7,0.6,95.0,193.0,90.0,8.0,285.0,2339.0,2098.0,220.0,63.0,12.0,43.0,166.0,40.0,59.0,27.0,21.0,2.0,1734.0,21.0,68.0,184.0,5.34,136.0,21.0,3.0,14.0,9.0,1.0,25.0,0.73,22.0,1.0,0.0,2.0,0.0,0.0,57.0,30.0,16.0,29.0,12.0,26.0,100.0,26.0,74.0,38.0,0.0,38.0,26.0,83.0,29.0,0.0,2710.0,40.0,284.0,1165.0,1279.0,124.0,2700.0,45.0,23.0,51.1,22.0,48.9,1497.0,6477.0,3529.0,80.0,76.0,10.0,56.0,37.0,2064.0,263.0,37,3099.0,84.0,90.6,34.4,35,87.0,23.0,2,29.0,0,1.92,68.0,36.0,32.0,0.93,1.77,55.6,35.0,20.5,0.6,1.15,6.0,0.0,0.0,43.0,52.0,3.0,166.0,26.0,30.0,0.0,1.0,0.0,162.0,15.0,41.0,26.8
Aaron Wan-Bissaka,eng ENG,DF,22.0,34.0,2.0,7.0,4.0,57.1,0.21,0.12,0.29,0.5,15.2,0.0,0.0,0.0,0.9,0.9,0.14,1.1,1.1,1806.0,2148.0,84.1,24042.0,8317.0,1180.0,1282.0,92.0,516.0,618.0,83.5,43.0,90.0,47.8,4.0,2.3,2.1,1.7,31.0,93.0,32.0,13.0,145.0,2148.0,1855.0,288.0,11.0,0.0,2.0,60.0,277.0,0.0,0.0,0.0,0.0,1806.0,5.0,46.0,57.0,1.68,54.0,1.0,1.0,0.0,0.0,1.0,8.0,0.24,8.0,0.0,0.0,0.0,0.0,0.0,88.0,54.0,53.0,29.0,6.0,32.0,45.0,71.1,13.0,65.0,17.0,48.0,62.0,150.0,84.0,2.0,2547.0,116.0,807.0,1085.0,677.0,32.0,2547.0,60.0,34.0,56.7,25.0,41.7,1295.0,7567.0,3799.0,89.0,65.0,5.0,34.0,21.0,1551.0,176.0,34,3060.0,90.0,89.5,34.0,34,90.0,34.0,0,,3,2.06,67.0,36.0,31.0,0.91,1.41,54.9,37.2,17.7,0.52,0.29,3.0,0.0,0.0,31.0,14.0,1.0,60.0,62.0,54.0,0.0,0.0,0.0,182.0,38.0,37.0,50.7
Harry Maguire,eng ENG,DF,27.0,33.9,2.0,36.0,9.0,25.0,1.06,0.27,0.06,0.22,12.8,0.0,0.0,0.0,2.3,2.2,0.06,-0.3,-0.2,1958.0,2250.0,87.0,38694.0,13018.0,634.0,711.0,89.2,1052.0,1144.0,92.0,232.0,325.0,71.4,1.0,0.3,0.6,0.7,7.0,175.0,8.0,1.0,194.0,2250.0,2169.0,74.0,61.0,0.0,31.0,3.0,13.0,0.0,0.0,0.0,0.0,1958.0,7.0,9.0,38.0,1.12,30.0,0.0,0.0,6.0,0.0,2.0,7.0,0.21,5.0,0.0,0.0,1.0,0.0,1.0,29.0,17.0,19.0,10.0,0.0,18.0,29.0,62.1,11.0,28.0,23.0,5.0,60.0,89.0,122.0,4.0,2568.0,349.0,1188.0,1206.0,193.0,52.0,2568.0,14.0,8.0,57.1,6.0,42.9,1534.0,9872.0,5795.0,42.0,41.0,5.0,10.0,6.0,1743.0,14.0,34,3047.0,90.0,89.1,33.9,34,90.0,33.0,0,,0,2.06,66.0,36.0,30.0,0.89,1.13,54.6,35.8,18.8,0.56,0.61,11.0,0.0,0.0,40.0,31.0,1.0,3.0,60.0,17.0,0.0,0.0,0.0,199.0,135.0,43.0,75.8
Marcus Rashford,eng ENG,FW,22.0,32.4,11.0,79.0,36.0,45.6,2.43,1.11,0.14,0.31,18.9,5.0,0.0,0.0,8.9,8.9,0.11,2.1,2.1,1001.0,1248.0,80.2,14132.0,2775.0,579.0,663.0,87.3,303.0,367.0,82.6,54.0,84.0,64.3,9.0,3.8,3.1,5.2,43.0,44.0,54.0,5.0,117.0,1248.0,1216.0,28.0,3.0,1.0,13.0,36.0,19.0,1.0,0.0,1.0,0.0,1001.0,4.0,37.0,116.0,3.58,87.0,0.0,17.0,5.0,7.0,0.0,20.0,0.62,16.0,0.0,3.0,0.0,1.0,0.0,18.0,9.0,2.0,8.0,8.0,7.0,27.0,25.9,20.0,22.0,2.0,20.0,8.0,26.0,10.0,0.0,1614.0,18.0,105.0,548.0,988.0,165.0,1614.0,163.0,82.0,50.3,79.0,48.5,1008.0,6984.0,3560.0,134.0,100.0,78.0,77.0,50.0,1341.0,330.0,37,2920.0,79.0,85.4,32.4,33,85.0,22.0,4,26.0,1,1.92,57.0,39.0,18.0,0.55,-1.43,47.8,34.5,13.3,0.41,-0.54,4.0,0.0,0.0,25.0,42.0,27.0,36.0,8.0,9.0,2.0,0.0,0.0,111.0,25.0,19.0,56.8
Luke Shaw,eng ENG,DF,25.0,29.5,1.0,11.0,6.0,54.5,0.37,0.2,0.09,0.17,17.3,0.0,0.0,0.0,0.6,0.6,0.05,0.4,0.4,1650.0,2068.0,79.8,23339.0,9202.0,989.0,1082.0,91.4,483.0,588.0,82.1,99.0,212.0,46.7,5.0,6.4,6.0,-1.4,72.0,103.0,42.0,14.0,147.0,2068.0,1674.0,386.0,27.0,0.0,2.0,189.0,262.0,97.0,49.0,42.0,0.0,1650.0,8.0,54.0,115.0,3.9,75.0,33.0,2.0,1.0,4.0,0.0,9.0,0.31,6.0,2.0,0.0,0.0,1.0,0.0,44.0,28.0,21.0,16.0,7.0,21.0,36.0,58.3,15.0,34.0,9.0,25.0,20.0,64.0,44.0,2.0,2310.0,84.0,541.0,926.0,877.0,62.0,2310.0,56.0,36.0,64.3,20.0,35.7,1249.0,7878.0,4699.0,110.0,87.0,17.0,25.0,21.0,1430.0,209.0,32,2654.0,83.0,77.6,29.5,30,87.0,27.0,2,27.0,2,1.84,51.0,33.0,18.0,0.61,-0.68,41.3,32.8,8.5,0.29,-0.89,8.0,0.0,0.0,42.0,28.0,3.0,189.0,20.0,28.0,0.0,0.0,1.0,187.0,38.0,28.0,57.6
Victor Lindelöf,se SWE,DF,26.0,28.7,1.0,4.0,1.0,25.0,0.14,0.03,0.25,1.0,6.4,0.0,0.0,0.0,0.6,0.6,0.15,0.4,0.4,1686.0,1882.0,89.6,29559.0,11270.0,698.0,751.0,92.9,862.0,909.0,94.8,108.0,181.0,59.7,1.0,0.3,0.7,0.7,6.0,92.0,5.0,0.0,92.0,1882.0,1832.0,49.0,34.0,1.0,6.0,1.0,15.0,0.0,0.0,0.0,0.0,1686.0,1.0,9.0,15.0,0.52,15.0,0.0,0.0,0.0,0.0,0.0,4.0,0.14,4.0,0.0,0.0,0.0,0.0,0.0,22.0,10.0,12.0,10.0,0.0,12.0,24.0,50.0,12.0,22.0,14.0,8.0,30.0,52.0,95.0,1.0,2095.0,263.0,1061.0,961.0,81.0,8.0,2095.0,4.0,2.0,50.0,2.0,50.0,1281.0,8460.0,4626.0,18.0,18.0,0.0,9.0,3.0,1488.0,2.0,29,2585.0,89.0,75.6,28.7,29,89.0,28.0,0,,5,2.0,61.0,30.0,31.0,1.08,1.29,47.8,30.3,17.5,0.61,0.5,0.0,0.0,0.0,24.0,8.0,1.0,1.0,30.0,10.0,0.0,1.0,0.0,145.0,64.0,33.0,66.0
Fred,br BRA,MF,27.0,26.6,1.0,25.0,7.0,28.0,0.94,0.26,0.04,0.14,24.1,0.0,0.0,0.0,1.8,1.8,0.07,-0.8,-0.8,1590.0,1828.0,87.0,27917.0,7883.0,699.0,760.0,92.0,674.0,737.0,91.5,167.0,213.0,78.4,0.0,1.9,2.1,-1.9,25.0,189.0,20.0,0.0,189.0,1828.0,1765.0,58.0,50.0,5.0,15.0,9.0,8.0,0.0,0.0,0.0,0.0,1590.0,5.0,41.0,78.0,2.94,71.0,1.0,2.0,1.0,2.0,1.0,7.0,0.26,7.0,0.0,0.0,0.0,0.0,0.0,81.0,39.0,39.0,38.0,4.0,29.0,89.0,32.6,60.0,49.0,9.0,40.0,45.0,126.0,26.0,1.0,2123.0,67.0,501.0,1256.0,391.0,15.0,2123.0,30.0,24.0,80.0,6.0,20.0,1226.0,5786.0,2711.0,31.0,33.0,1.0,29.0,30.0,1496.0,33.0,30,2390.0,80.0,69.9,26.6,27,84.0,18.0,3,41.0,5,1.97,49.0,25.0,24.0,0.9,0.47,42.2,26.2,16.1,0.61,0.39,5.0,0.0,0.0,45.0,30.0,1.0,9.0,45.0,39.0,0.0,0.0,0.0,228.0,9.0,14.0,39.1
David de Gea,es ESP,GK,29.0,25.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,464.0,592.0,78.4,10858.0,7535.0,143.0,144.0,99.3,203.0,211.0,96.2,112.0,228.0,49.1,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,592.0,382.0,207.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0,3.0,0.0,2.0,0.08,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,639.0,580.0,638.0,1.0,0.0,0.0,639.0,1.0,1.0,100.0,0.0,0.0,284.0,1437.0,829.0,0.0,0.0,0.0,0.0,0.0,265.0,0.0,26,2295.0,88.0,67.1,25.5,26,88.0,25.0,0,,7,1.73,46.0,32.0,14.0,0.55,-0.65,38.1,27.9,10.3,0.4,-0.26,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,1.0,80.0
Scott McTominay,sct SCO,MF,23.0,23.7,4.0,26.0,7.0,26.9,1.1,0.3,0.15,0.57,17.6,0.0,0.0,0.0,2.1,2.1,0.08,1.9,1.9,1139.0,1320.0,86.3,19571.0,5540.0,529.0,585.0,90.4,480.0,525.0,91.4,96.0,137.0,70.1,1.0,1.7,0.7,-0.7,17.0,115.0,9.0,2.0,118.0,1320.0,1278.0,40.0,32.0,0.0,23.0,12.0,8.0,0.0,0.0,0.0,0.0,1139.0,2.0,18.0,33.0,1.4,24.0,0.0,2.0,2.0,3.0,2.0,3.0,0.13,1.0,0.0,1.0,0.0,0.0,1.0,51.0,24.0,23.0,25.0,3.0,23.0,36.0,63.9,13.0,35.0,10.0,25.0,29.0,80.0,46.0,0.0,1603.0,82.0,420.0,906.0,298.0,33.0,1603.0,35.0,26.0,74.3,9.0,25.7,942.0,5379.0,2890.0,57.0,37.0,8.0,41.0,17.0,1127.0,26.0,32,2129.0,67.0,62.3,23.7,24,85.0,20.0,8,11.0,4,1.94,49.0,25.0,24.0,1.01,0.67,37.4,26.7,10.8,0.45,-0.09,3.0,0.0,0.0,47.0,42.0,1.0,12.0,29.0,24.0,0.0,0.0,0.0,154.0,48.0,30.0,61.5
Paul Pogba,fr FRA,"MF,FW",27.0,21.1,3.0,31.0,11.0,35.5,1.47,0.52,0.1,0.27,17.0,0.0,0.0,0.0,2.8,2.8,0.09,0.2,0.2,1112.0,1367.0,81.3,19406.0,4987.0,541.0,617.0,87.7,399.0,468.0,85.3,131.0,187.0,70.1,3.0,2.4,1.8,0.6,26.0,132.0,26.0,1.0,139.0,1367.0,1328.0,31.0,27.0,4.0,41.0,22.0,4.0,0.0,0.0,0.0,0.0,1112.0,8.0,23.0,72.0,3.41,57.0,1.0,2.0,5.0,5.0,2.0,7.0,0.33,2.0,0.0,2.0,1.0,2.0,0.0,36.0,26.0,15.0,16.0,5.0,11.0,33.0,33.3,22.0,24.0,2.0,22.0,26.0,62.0,37.0,0.0,1640.0,54.0,324.0,885.0,453.0,58.0,1640.0,65.0,44.0,67.7,21.0,32.3,1015.0,4978.0,2442.0,46.0,33.0,6.0,54.0,50.0,1258.0,101.0,26,1897.0,73.0,55.5,21.1,21,85.0,17.0,5,23.0,3,1.81,36.0,26.0,10.0,0.47,-0.65,30.8,25.7,5.1,0.24,-0.55,3.0,0.0,0.0,41.0,38.0,4.0,22.0,26.0,26.0,2.0,2.0,0.0,148.0,55.0,33.0,62.5
