player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Jonjo Shelvey,eng ENG,MF,28.0,29.1,1.0,42.0,9.0,21.4,1.44,0.31,0.02,0.11,24.3,11.0,0.0,0.0,2.5,2.5,0.06,-1.5,-1.5,1092.0,1499.0,72.8,23397.0,7464.0,389.0,457.0,85.1,450.0,552.0,81.5,227.0,416.0,54.6,3.0,3.0,2.3,0.0,37.0,143.0,21.0,4.0,132.0,1499.0,1345.0,150.0,88.0,1.0,48.0,94.0,0.0,48.0,16.0,12.0,12.0,1092.0,4.0,21.0,72.0,2.48,39.0,25.0,1.0,6.0,1.0,0.0,8.0,0.28,4.0,4.0,0.0,0.0,0.0,0.0,39.0,14.0,18.0,19.0,2.0,10.0,37.0,27.0,27.0,26.0,14.0,12.0,36.0,75.0,42.0,0.0,1728.0,78.0,469.0,995.0,284.0,22.0,1728.0,26.0,20.0,76.9,6.0,23.1,932.0,4464.0,1918.0,20.0,22.0,0.0,19.0,5.0,1087.0,24.0,30,2617.0,87.0,76.5,29.1,29,89.0,28.0,1,26.0,3,1.33,41.0,46.0,-5.0,-0.17,1.06,36.4,44.4,-7.9,-0.27,0.51,7.0,0.0,0.0,31.0,10.0,0.0,94.0,36.0,14.0,0.0,0.0,0.0,181.0,27.0,22.0,55.1
Miguel Almirón,py PAR,"MF,FW",26.0,27.0,4.0,33.0,14.0,42.4,1.22,0.52,0.12,0.29,19.2,1.0,0.0,0.0,3.2,3.2,0.1,0.8,0.8,708.0,895.0,79.1,10715.0,2430.0,369.0,422.0,87.4,245.0,289.0,84.8,51.0,92.0,55.4,1.0,2.9,2.2,-1.9,31.0,64.0,23.0,7.0,90.0,895.0,866.0,26.0,6.0,3.0,5.0,39.0,3.0,5.0,0.0,0.0,0.0,708.0,3.0,33.0,76.0,2.82,54.0,3.0,8.0,4.0,5.0,2.0,6.0,0.22,4.0,0.0,0.0,1.0,0.0,1.0,49.0,29.0,21.0,25.0,3.0,14.0,56.0,25.0,42.0,23.0,4.0,19.0,25.0,74.0,20.0,1.0,1179.0,33.0,230.0,557.0,421.0,40.0,1179.0,73.0,39.0,53.4,34.0,46.6,773.0,5516.0,2516.0,70.0,48.0,14.0,48.0,34.0,792.0,109.0,34,2429.0,71.0,71.0,27.0,28,82.0,12.0,6,20.0,2,1.18,30.0,48.0,-18.0,-0.67,-0.85,29.1,40.8,-11.7,-0.43,-0.14,3.0,0.0,0.0,18.0,39.0,6.0,39.0,25.0,29.0,0.0,0.0,0.0,163.0,8.0,17.0,32.0
Karl Darlow,eng ENG,GK,29.0,25.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,376.0,728.0,51.6,14566.0,12022.0,24.0,25.0,96.0,134.0,136.0,98.5,217.0,558.0,38.9,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,728.0,395.0,325.0,109.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,8.0,0.0,3.0,0.12,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,808.0,697.0,802.0,7.0,0.0,0.0,808.0,0.0,0.0,,0.0,,336.0,2189.0,1341.0,0.0,0.0,0.0,1.0,0.0,226.0,0.0,25,2250.0,90.0,65.8,25.0,25,90.0,25.0,0,,6,1.0,26.0,43.0,-17.0,-0.68,-0.76,23.8,36.9,-13.1,-0.53,-0.39,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,15.0,0.0,100.0
Federico Fernández,ar ARG,DF,31.0,23.1,0.0,4.0,2.0,50.0,0.17,0.09,0.0,0.0,14.0,0.0,0.0,0.0,0.3,0.3,0.06,-0.3,-0.3,715.0,894.0,80.0,13956.0,5356.0,244.0,277.0,88.1,368.0,412.0,89.3,91.0,166.0,54.8,0.0,0.6,0.4,-0.6,7.0,25.0,3.0,3.0,32.0,894.0,814.0,76.0,33.0,0.0,13.0,13.0,43.0,0.0,0.0,0.0,0.0,715.0,4.0,9.0,15.0,0.65,11.0,4.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,29.0,22.0,23.0,5.0,1.0,17.0,21.0,81.0,4.0,41.0,31.0,10.0,17.0,46.0,147.0,0.0,1169.0,268.0,719.0,377.0,76.0,14.0,1169.0,1.0,0.0,0.0,1.0,100.0,553.0,2133.0,858.0,1.0,0.0,0.0,8.0,2.0,619.0,7.0,24,2079.0,87.0,60.8,23.1,24,87.0,20.0,0,,3,1.33,31.0,38.0,-7.0,-0.3,0.3,26.9,37.7,-10.8,-0.47,-0.2,4.0,0.0,0.0,15.0,15.0,0.0,13.0,17.0,22.0,0.0,1.0,1.0,91.0,48.0,29.0,62.3
Callum Wilson,eng ENG,FW,28.0,23.2,12.0,45.0,16.0,35.6,1.94,0.69,0.18,0.5,13.4,0.0,4.0,4.0,12.4,9.3,0.21,-0.4,-1.3,242.0,359.0,67.4,2900.0,595.0,148.0,197.0,75.1,62.0,90.0,68.9,5.0,8.0,62.5,5.0,2.8,1.3,2.2,17.0,14.0,13.0,0.0,32.0,359.0,340.0,19.0,1.0,2.0,0.0,12.0,6.0,1.0,0.0,0.0,0.0,242.0,0.0,17.0,51.0,2.2,30.0,0.0,3.0,3.0,15.0,0.0,11.0,0.48,5.0,0.0,0.0,3.0,3.0,0.0,12.0,5.0,1.0,6.0,5.0,2.0,12.0,16.7,10.0,10.0,3.0,7.0,7.0,19.0,14.0,0.0,596.0,17.0,45.0,263.0,302.0,89.0,592.0,43.0,26.0,60.5,17.0,39.5,361.0,2248.0,985.0,42.0,29.0,24.0,73.0,39.0,452.0,116.0,26,2084.0,80.0,60.9,23.2,23,87.0,19.0,3,31.0,1,1.35,31.0,37.0,-6.0,-0.26,0.41,26.2,33.6,-7.4,-0.32,0.19,2.0,0.0,0.0,40.0,41.0,22.0,12.0,7.0,5.0,2.0,0.0,0.0,55.0,43.0,93.0,31.6
Joelinton,br BRA,"FW,MF",23.0,22.0,4.0,43.0,19.0,44.2,1.95,0.86,0.07,0.16,15.4,0.0,1.0,1.0,5.4,4.6,0.11,-1.4,-1.6,427.0,598.0,71.4,5385.0,1019.0,257.0,331.0,77.6,115.0,152.0,75.7,14.0,23.0,60.9,2.0,2.4,1.0,-0.4,17.0,24.0,9.0,1.0,39.0,598.0,587.0,8.0,3.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,427.0,3.0,24.0,54.0,2.45,33.0,0.0,6.0,4.0,9.0,2.0,7.0,0.32,3.0,0.0,2.0,1.0,1.0,0.0,33.0,21.0,7.0,21.0,5.0,14.0,37.0,37.8,23.0,30.0,2.0,28.0,9.0,42.0,24.0,0.0,934.0,33.0,124.0,502.0,324.0,74.0,933.0,67.0,37.0,55.2,30.0,44.8,513.0,2672.0,1033.0,34.0,21.0,13.0,80.0,42.0,650.0,104.0,31,1983.0,64.0,58.0,22.0,23,79.0,10.0,8,21.0,6,1.16,27.0,36.0,-9.0,-0.41,0.03,25.3,33.3,-8.0,-0.36,0.07,3.0,0.0,0.0,24.0,36.0,6.0,12.0,9.0,21.0,1.0,0.0,0.0,105.0,81.0,118.0,40.7
Isaac Hayden,eng ENG,"MF,DF",25.0,21.6,0.0,16.0,2.0,12.5,0.74,0.09,0.0,0.0,20.4,0.0,0.0,0.0,0.7,0.7,0.04,-0.7,-0.7,657.0,834.0,78.8,11000.0,2618.0,288.0,334.0,86.2,301.0,348.0,86.5,42.0,79.0,53.2,0.0,0.3,0.2,-0.3,7.0,44.0,4.0,2.0,47.0,834.0,761.0,71.0,28.0,1.0,6.0,19.0,25.0,0.0,0.0,0.0,0.0,657.0,2.0,34.0,21.0,0.97,17.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,29.0,23.0,22.0,7.0,14.0,35.0,40.0,21.0,32.0,9.0,23.0,43.0,95.0,47.0,0.0,1070.0,68.0,333.0,584.0,161.0,15.0,1070.0,10.0,7.0,70.0,3.0,30.0,465.0,1597.0,578.0,7.0,12.0,0.0,20.0,14.0,532.0,20.0,24,1942.0,81.0,56.8,21.6,22,86.0,19.0,2,27.0,3,1.0,22.0,33.0,-11.0,-0.51,-0.21,20.9,33.1,-12.2,-0.56,-0.4,8.0,0.0,0.0,38.0,17.0,1.0,19.0,43.0,29.0,0.0,0.0,0.0,116.0,56.0,34.0,62.2
Ciaran Clark,ie IRL,DF,30.0,21.0,1.0,8.0,2.0,25.0,0.38,0.1,0.13,0.5,11.1,0.0,0.0,0.0,0.7,0.7,0.08,0.3,0.3,657.0,808.0,81.3,11712.0,4531.0,269.0,307.0,87.6,316.0,365.0,86.6,57.0,107.0,53.3,0.0,0.1,0.2,-0.1,2.0,36.0,3.0,0.0,35.0,808.0,786.0,21.0,4.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,657.0,1.0,4.0,7.0,0.33,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,24.0,14.0,15.0,6.0,3.0,6.0,13.0,46.2,7.0,27.0,20.0,7.0,29.0,53.0,104.0,1.0,1026.0,179.0,610.0,374.0,48.0,16.0,1026.0,8.0,4.0,50.0,4.0,50.0,520.0,2406.0,1090.0,9.0,4.0,0.0,11.0,1.0,568.0,4.0,22,1891.0,86.0,55.3,21.0,21,88.0,18.0,1,37.0,8,0.95,19.0,35.0,-16.0,-0.76,-0.76,18.9,33.1,-14.2,-0.68,-0.64,3.0,0.0,0.0,16.0,11.0,1.0,0.0,29.0,14.0,0.0,1.0,1.0,105.0,69.0,40.0,63.3
Jamal Lewis,nir NIR,DF,22.0,20.4,0.0,3.0,1.0,33.3,0.15,0.05,0.0,0.0,18.6,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,637.0,852.0,74.8,9885.0,3861.0,340.0,390.0,87.2,228.0,288.0,79.2,44.0,108.0,40.7,1.0,1.0,1.1,0.0,14.0,31.0,14.0,10.0,41.0,852.0,686.0,163.0,8.0,0.0,0.0,44.0,155.0,0.0,0.0,0.0,0.0,637.0,3.0,22.0,29.0,1.42,25.0,3.0,0.0,0.0,1.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,37.0,20.0,23.0,13.0,1.0,16.0,38.0,42.1,22.0,21.0,7.0,14.0,11.0,48.0,44.0,1.0,1028.0,61.0,389.0,436.0,214.0,8.0,1028.0,24.0,12.0,50.0,12.0,50.0,535.0,2731.0,1351.0,27.0,20.0,2.0,17.0,13.0,553.0,56.0,24,1837.0,77.0,53.7,20.4,20,89.0,19.0,4,15.0,12,1.04,24.0,37.0,-13.0,-0.64,-0.47,21.7,28.3,-6.6,-0.32,0.15,4.0,0.0,0.0,18.0,16.0,1.0,44.0,11.0,20.0,0.0,1.0,0.0,109.0,10.0,15.0,40.0
Jamaal Lascelles,eng ENG,DF,26.0,18.1,2.0,15.0,3.0,20.0,0.83,0.17,0.13,0.67,10.6,0.0,0.0,0.0,1.3,1.3,0.09,0.7,0.7,498.0,626.0,79.6,9640.0,3636.0,161.0,190.0,84.7,271.0,301.0,90.0,54.0,106.0,50.9,0.0,0.1,0.2,-0.1,3.0,22.0,4.0,0.0,22.0,626.0,616.0,8.0,8.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,498.0,2.0,4.0,9.0,0.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,5.0,9.0,0.0,3.0,6.0,50.0,3.0,27.0,17.0,10.0,12.0,26.0,86.0,0.0,806.0,158.0,500.0,272.0,39.0,18.0,806.0,4.0,4.0,100.0,0.0,0.0,396.0,1700.0,799.0,4.0,0.0,0.0,6.0,1.0,451.0,2.0,19,1625.0,86.0,47.5,18.1,19,86.0,16.0,0,,0,0.79,12.0,32.0,-20.0,-1.11,-1.31,18.3,28.8,-10.5,-0.58,-0.36,4.0,0.0,0.0,17.0,9.0,0.0,3.0,12.0,7.0,0.0,0.0,0.0,65.0,46.0,24.0,65.7
