player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Tomáš Souček,cz CZE,MF,25.0,38.0,10.0,64.0,23.0,35.9,1.68,0.61,0.16,0.43,12.3,0.0,0.0,0.0,8.4,8.4,0.13,1.6,1.6,1218.0,1623.0,75.0,20258.0,5713.0,586.0,774.0,75.7,450.0,583.0,77.2,121.0,151.0,80.1,1.0,2.0,2.4,-1.0,18.0,127.0,7.0,1.0,165.0,1623.0,1594.0,26.0,22.0,0.0,13.0,9.0,4.0,0.0,0.0,0.0,0.0,1218.0,3.0,18.0,58.0,1.53,44.0,1.0,1.0,6.0,5.0,1.0,8.0,0.21,7.0,0.0,0.0,1.0,0.0,0.0,78.0,41.0,37.0,36.0,5.0,28.0,77.0,36.4,49.0,43.0,18.0,25.0,62.0,140.0,107.0,0.0,2083.0,157.0,577.0,1134.0,388.0,102.0,2083.0,29.0,16.0,55.2,13.0,44.8,886.0,4201.0,1719.0,27.0,34.0,4.0,42.0,21.0,1166.0,47.0,38,3419.0,90.0,100.0,38.0,38,90.0,37.0,0,,0,1.71,62.0,47.0,15.0,0.39,0.39,55.4,48.7,6.7,0.18,0.18,7.0,1.0,0.0,69.0,43.0,2.0,9.0,62.0,41.0,0.0,1.0,1.0,246.0,227.0,160.0,58.7
Aaron Cresswell,eng ENG,DF,30.0,35.2,0.0,19.0,4.0,21.1,0.54,0.11,0.0,0.0,25.4,11.0,0.0,0.0,1.0,1.0,0.05,-1.0,-1.0,1586.0,2141.0,74.1,28632.0,13845.0,754.0,847.0,89.0,606.0,755.0,80.3,198.0,429.0,46.2,8.0,6.5,5.0,1.5,58.0,174.0,26.0,18.0,162.0,2141.0,1671.0,447.0,101.0,2.0,20.0,207.0,259.0,87.0,27.0,56.0,0.0,1586.0,23.0,44.0,103.0,2.92,51.0,44.0,1.0,5.0,2.0,0.0,14.0,0.4,6.0,5.0,0.0,2.0,1.0,0.0,32.0,13.0,15.0,15.0,2.0,18.0,32.0,56.3,14.0,29.0,14.0,15.0,32.0,64.0,79.0,2.0,2366.0,169.0,758.0,1071.0,555.0,14.0,2366.0,10.0,4.0,40.0,6.0,60.0,1148.0,5201.0,2524.0,35.0,31.0,0.0,13.0,9.0,1349.0,96.0,36,3170.0,88.0,92.7,35.2,36,88.0,34.0,0,,0,1.81,60.0,41.0,19.0,0.54,1.98,52.2,42.5,9.7,0.28,1.35,3.0,0.0,0.0,13.0,18.0,0.0,207.0,32.0,13.0,0.0,0.0,0.0,195.0,35.0,29.0,54.7
Łukasz Fabiański,pl POL,GK,35.0,35.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,622.0,1015.0,61.3,21886.0,17885.0,77.0,77.0,100.0,214.0,217.0,98.6,328.0,713.0,46.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1015.0,633.0,377.0,105.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,622.0,5.0,0.0,4.0,0.11,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,1.0,2.0,12.0,3.0,1077.0,934.0,1075.0,2.0,0.0,0.0,1077.0,0.0,0.0,,0.0,,560.0,3883.0,2240.0,0.0,0.0,0.0,1.0,0.0,356.0,0.0,35,3150.0,90.0,92.1,35.0,35,90.0,35.0,0,,0,1.69,57.0,44.0,13.0,0.37,-0.3,49.2,46.7,2.5,0.07,-1.36,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,28.0,3.0,0.0,100.0
Vladimír Coufal,cz CZE,DF,27.0,33.9,0.0,15.0,5.0,33.3,0.44,0.15,0.0,0.0,16.5,0.0,0.0,0.0,1.3,1.3,0.08,-1.3,-1.3,1196.0,1746.0,68.5,18589.0,9100.0,654.0,749.0,87.3,414.0,619.0,66.9,93.0,236.0,39.4,7.0,5.5,3.9,1.5,45.0,90.0,37.0,23.0,128.0,1746.0,1384.0,356.0,27.0,0.0,1.0,132.0,329.0,0.0,0.0,0.0,0.0,1196.0,6.0,73.0,83.0,2.45,62.0,13.0,1.0,2.0,3.0,2.0,10.0,0.29,10.0,0.0,0.0,0.0,0.0,0.0,73.0,36.0,50.0,15.0,8.0,52.0,89.0,58.4,37.0,41.0,7.0,34.0,41.0,114.0,102.0,1.0,2096.0,162.0,629.0,897.0,588.0,42.0,2096.0,24.0,15.0,62.5,9.0,37.5,897.0,4638.0,2079.0,70.0,38.0,9.0,36.0,16.0,1057.0,159.0,34,3054.0,90.0,89.3,33.9,34,90.0,33.0,0,,1,1.79,57.0,43.0,14.0,0.41,0.17,48.8,44.7,4.0,0.12,-0.55,3.0,0.0,0.0,29.0,34.0,0.0,132.0,41.0,36.0,0.0,0.0,0.0,169.0,50.0,42.0,54.3
Declan Rice,eng ENG,MF,21.0,32.0,2.0,25.0,7.0,28.0,0.78,0.22,0.04,0.14,20.8,3.0,1.0,2.0,3.2,1.6,0.06,-1.2,-0.6,1352.0,1561.0,86.6,23571.0,6640.0,613.0,674.0,90.9,565.0,620.0,91.1,138.0,191.0,72.3,1.0,1.8,1.5,-0.8,22.0,125.0,18.0,6.0,169.0,1561.0,1539.0,18.0,16.0,1.0,24.0,30.0,1.0,0.0,0.0,0.0,0.0,1352.0,4.0,26.0,59.0,1.84,50.0,1.0,3.0,3.0,1.0,1.0,6.0,0.19,5.0,0.0,0.0,1.0,0.0,0.0,59.0,35.0,33.0,25.0,1.0,21.0,51.0,41.2,30.0,39.0,11.0,28.0,59.0,118.0,41.0,0.0,1850.0,82.0,465.0,1110.0,305.0,41.0,1848.0,34.0,29.0,85.3,5.0,14.7,1066.0,7330.0,3950.0,74.0,58.0,8.0,34.0,19.0,1209.0,37.0,32,2879.0,90.0,84.2,32.0,32,90.0,31.0,0,,0,1.75,52.0,37.0,15.0,0.47,0.47,47.4,37.3,10.1,0.31,0.87,2.0,0.0,0.0,21.0,13.0,2.0,30.0,59.0,35.0,0.0,1.0,0.0,233.0,43.0,30.0,58.9
Pablo Fornals,es ESP,"FW,MF",24.0,28.6,5.0,50.0,15.0,30.0,1.75,0.52,0.1,0.33,16.3,0.0,0.0,0.0,6.0,6.0,0.12,-1.0,-1.0,853.0,1118.0,76.3,12592.0,3756.0,481.0,556.0,86.5,282.0,362.0,77.9,45.0,86.0,52.3,4.0,2.3,1.8,1.7,31.0,84.0,30.0,6.0,134.0,1118.0,1083.0,28.0,5.0,1.0,5.0,45.0,7.0,2.0,0.0,1.0,0.0,853.0,7.0,38.0,81.0,2.84,68.0,3.0,2.0,7.0,1.0,0.0,11.0,0.39,7.0,1.0,0.0,3.0,0.0,0.0,44.0,26.0,14.0,24.0,6.0,11.0,73.0,15.1,62.0,43.0,1.0,42.0,36.0,80.0,9.0,0.0,1407.0,22.0,229.0,690.0,511.0,66.0,1407.0,60.0,29.0,48.3,31.0,51.7,821.0,4358.0,2061.0,59.0,41.0,11.0,37.0,21.0,963.0,142.0,33,2572.0,78.0,75.2,28.6,31,82.0,16.0,2,18.0,3,1.79,43.0,33.0,10.0,0.35,-0.18,42.5,35.5,7.0,0.24,0.27,3.0,0.0,0.0,26.0,17.0,7.0,45.0,36.0,26.0,0.0,0.0,0.0,163.0,23.0,38.0,37.7
Jarrod Bowen,eng ENG,"FW,MF",23.0,28.5,8.0,55.0,16.0,29.1,1.93,0.56,0.15,0.5,16.4,0.0,0.0,0.0,7.1,7.1,0.13,0.9,0.9,493.0,752.0,65.6,8489.0,1874.0,237.0,301.0,78.7,162.0,226.0,71.7,63.0,128.0,49.2,5.0,5.0,4.1,0.0,29.0,22.0,21.0,6.0,44.0,752.0,666.0,80.0,5.0,5.0,9.0,122.0,4.0,59.0,54.0,0.0,1.0,493.0,6.0,36.0,79.0,2.78,42.0,12.0,6.0,10.0,8.0,1.0,12.0,0.42,7.0,3.0,0.0,2.0,0.0,0.0,26.0,15.0,12.0,7.0,7.0,10.0,29.0,34.5,19.0,19.0,1.0,18.0,22.0,48.0,10.0,0.0,1038.0,12.0,142.0,391.0,528.0,103.0,1038.0,67.0,36.0,53.7,31.0,46.3,611.0,5080.0,1881.0,83.0,44.0,40.0,63.0,50.0,692.0,165.0,38,2562.0,67.0,74.9,28.5,30,79.0,6.0,8,23.0,0,1.71,43.0,33.0,10.0,0.35,-0.17,39.7,35.1,4.6,0.16,-0.06,0.0,0.0,0.0,15.0,54.0,15.0,122.0,22.0,15.0,0.0,0.0,0.0,134.0,23.0,51.0,31.1
Angelo Ogbonna,it ITA,DF,32.0,27.7,3.0,13.0,4.0,30.8,0.47,0.14,0.23,0.75,7.3,0.0,0.0,0.0,1.7,1.7,0.13,1.3,1.3,830.0,1022.0,81.2,16253.0,5523.0,240.0,271.0,88.6,495.0,560.0,88.4,87.0,163.0,53.4,0.0,0.8,0.6,-0.8,4.0,27.0,0.0,0.0,36.0,1022.0,1009.0,13.0,12.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,830.0,0.0,6.0,12.0,0.43,9.0,1.0,0.0,1.0,0.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,26.0,13.0,20.0,5.0,1.0,9.0,17.0,52.9,8.0,25.0,11.0,14.0,30.0,56.0,119.0,0.0,1272.0,184.0,674.0,552.0,53.0,33.0,1272.0,4.0,3.0,75.0,1.0,25.0,691.0,4189.0,1833.0,7.0,4.0,1.0,4.0,5.0,723.0,3.0,28,2492.0,89.0,72.9,27.7,28,89.0,27.0,0,,1,1.64,42.0,34.0,8.0,0.29,-0.39,40.1,34.6,5.5,0.2,0.08,5.0,0.0,0.0,28.0,9.0,1.0,3.0,30.0,13.0,0.0,0.0,0.0,125.0,63.0,46.0,57.8
Michail Antonio,jm JAM,FW,30.0,21.9,10.0,63.0,22.0,34.9,2.87,1.0,0.16,0.45,13.4,0.0,0.0,0.0,12.9,12.9,0.22,-2.9,-2.9,316.0,494.0,64.0,4273.0,796.0,192.0,266.0,72.2,78.0,122.0,63.9,18.0,30.0,60.0,5.0,3.0,1.8,2.0,27.0,24.0,13.0,2.0,36.0,494.0,481.0,11.0,1.0,0.0,3.0,31.0,8.0,0.0,0.0,0.0,0.0,316.0,2.0,20.0,76.0,3.47,41.0,1.0,10.0,8.0,16.0,0.0,11.0,0.5,5.0,1.0,0.0,2.0,3.0,0.0,7.0,4.0,1.0,5.0,1.0,1.0,7.0,14.3,6.0,20.0,3.0,17.0,7.0,14.0,7.0,0.0,783.0,11.0,34.0,299.0,460.0,120.0,783.0,87.0,43.0,49.4,44.0,50.6,473.0,2817.0,1365.0,59.0,31.0,25.0,78.0,49.0,638.0,177.0,26,1974.0,76.0,57.7,21.9,24,80.0,12.0,2,23.0,0,1.85,37.0,25.0,12.0,0.55,0.36,38.5,23.2,15.3,0.7,1.23,3.0,0.0,0.0,29.0,40.0,15.0,31.0,7.0,4.0,1.0,0.0,0.0,51.0,71.0,88.0,44.7
Craig Dawson,eng ENG,DF,30.0,21.4,3.0,16.0,5.0,31.3,0.75,0.23,0.19,0.6,10.1,0.0,0.0,0.0,1.9,1.9,0.12,1.1,1.1,611.0,767.0,79.7,12760.0,4408.0,171.0,193.0,88.6,336.0,368.0,91.3,96.0,185.0,51.9,0.0,0.1,0.1,-0.1,2.0,37.0,0.0,0.0,39.0,767.0,741.0,25.0,22.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,611.0,1.0,6.0,7.0,0.33,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,7.0,4.0,0.0,5.0,12.0,41.7,7.0,26.0,22.0,4.0,32.0,43.0,88.0,3.0,961.0,164.0,540.0,396.0,32.0,21.0,961.0,0.0,0.0,,0.0,,522.0,2266.0,1078.0,2.0,3.0,0.0,5.0,0.0,537.0,1.0,22,1925.0,88.0,56.3,21.4,22,88.0,21.0,0,,4,1.95,37.0,23.0,14.0,0.65,0.59,34.2,24.1,10.2,0.48,0.68,5.0,1.0,1.0,14.0,12.0,2.0,0.0,32.0,8.0,0.0,0.0,2.0,92.0,56.0,25.0,69.1
