player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Rui Patrício,pt POR,GK,32.0,37.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,559.0,810.0,69.0,16021.0,11909.0,126.0,127.0,99.2,191.0,195.0,97.9,229.0,472.0,48.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,810.0,458.0,350.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.0,2.0,0.0,2.0,0.05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,870.0,808.0,870.0,0.0,0.0,0.0,870.0,0.0,0.0,,0.0,,380.0,2652.0,1647.0,0.0,0.0,0.0,1.0,0.0,212.0,0.0,37,3329.0,90.0,97.3,37.0,37,90.0,36.0,0,,1,1.22,36.0,51.0,-15.0,-0.41,0.58,35.6,48.7,-13.1,-0.35,-0.43,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,8.0,1.0,88.9
Conor Coady,eng ENG,DF,27.0,36.7,1.0,7.0,2.0,28.6,0.19,0.05,0.14,0.5,11.6,0.0,0.0,0.0,1.0,1.0,0.15,0.0,0.0,1638.0,1865.0,87.8,37496.0,16459.0,390.0,414.0,94.2,892.0,933.0,95.6,343.0,486.0,70.6,0.0,0.2,0.2,-0.2,3.0,81.0,1.0,0.0,67.0,1865.0,1799.0,62.0,56.0,0.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0,1638.0,4.0,7.0,13.0,0.35,12.0,0.0,0.0,1.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,35.0,23.0,25.0,10.0,0.0,19.0,35.0,54.3,16.0,40.0,32.0,8.0,27.0,62.0,134.0,2.0,2137.0,402.0,1320.0,809.0,17.0,12.0,2137.0,8.0,6.0,75.0,2.0,25.0,1282.0,5200.0,2411.0,4.0,5.0,0.0,9.0,3.0,1494.0,2.0,37,3303.0,89.0,96.6,36.7,37,89.0,36.0,0,,0,1.19,35.0,51.0,-16.0,-0.44,-0.44,34.4,48.5,-14.2,-0.39,-1.28,5.0,0.0,0.0,22.0,10.0,0.0,0.0,27.0,23.0,0.0,1.0,0.0,155.0,40.0,28.0,58.8
Nélson Semedo,pt POR,"DF,MF",26.0,33.1,1.0,23.0,11.0,47.8,0.69,0.33,0.04,0.09,21.2,0.0,0.0,0.0,1.3,1.3,0.06,-0.3,-0.3,1586.0,1976.0,80.3,22838.0,6783.0,985.0,1082.0,91.0,459.0,581.0,79.0,92.0,167.0,55.1,1.0,1.3,2.8,-0.3,21.0,117.0,20.0,10.0,138.0,1976.0,1620.0,353.0,18.0,1.0,0.0,75.0,331.0,4.0,0.0,3.0,0.0,1586.0,3.0,57.0,70.0,2.11,56.0,7.0,2.0,3.0,1.0,1.0,7.0,0.21,6.0,0.0,0.0,1.0,0.0,0.0,85.0,48.0,53.0,23.0,9.0,42.0,72.0,58.3,30.0,30.0,10.0,20.0,41.0,126.0,78.0,2.0,2372.0,130.0,606.0,1120.0,673.0,46.0,2372.0,103.0,62.0,60.2,41.0,39.8,1288.0,7892.0,4424.0,111.0,78.0,11.0,53.0,27.0,1419.0,155.0,34,2983.0,88.0,87.2,33.1,34,88.0,29.0,0,,2,1.15,31.0,45.0,-14.0,-0.42,-0.01,31.8,44.1,-12.4,-0.37,-0.24,5.0,0.0,0.0,41.0,35.0,2.0,75.0,41.0,48.0,0.0,1.0,1.0,179.0,41.0,44.0,48.2
Rúben Neves,pt POR,MF,23.0,29.7,5.0,64.0,13.0,20.3,2.15,0.44,0.03,0.15,26.9,12.0,3.0,3.0,5.1,2.7,0.04,-0.1,-0.7,1678.0,2007.0,83.6,34730.0,9155.0,563.0,627.0,89.8,798.0,907.0,88.0,296.0,407.0,72.7,1.0,1.9,2.0,-0.9,33.0,214.0,25.0,3.0,212.0,2007.0,1946.0,59.0,56.0,1.0,40.0,23.0,3.0,0.0,0.0,0.0,0.0,1678.0,2.0,30.0,78.0,2.62,63.0,3.0,2.0,4.0,1.0,5.0,4.0,0.13,4.0,0.0,0.0,0.0,0.0,0.0,86.0,46.0,42.0,38.0,6.0,36.0,88.0,40.9,52.0,55.0,11.0,44.0,65.0,151.0,46.0,2.0,2378.0,85.0,523.0,1536.0,337.0,21.0,2375.0,15.0,10.0,66.7,5.0,33.3,1384.0,5582.0,2584.0,22.0,34.0,2.0,26.0,16.0,1636.0,25.0,36,2675.0,74.0,78.2,29.7,31,84.0,21.0,5,15.0,1,1.17,26.0,42.0,-16.0,-0.54,-0.54,25.3,39.4,-14.1,-0.47,-0.6,8.0,0.0,0.0,46.0,17.0,0.0,23.0,65.0,46.0,0.0,0.0,0.0,223.0,25.0,24.0,51.0
Pedro Neto,pt POR,"FW,MF",20.0,28.3,5.0,61.0,21.0,34.4,2.15,0.74,0.08,0.24,19.6,3.0,0.0,0.0,5.1,5.1,0.08,-0.1,-0.1,962.0,1229.0,78.3,13726.0,2855.0,590.0,634.0,93.1,257.0,345.0,74.5,60.0,138.0,43.5,6.0,5.4,5.1,0.6,61.0,46.0,37.0,24.0,54.0,1229.0,1071.0,157.0,39.0,2.0,3.0,205.0,4.0,80.0,32.0,20.0,0.0,962.0,1.0,31.0,123.0,4.34,66.0,28.0,13.0,5.0,10.0,1.0,10.0,0.35,4.0,2.0,1.0,1.0,1.0,1.0,16.0,9.0,4.0,6.0,6.0,6.0,28.0,21.4,22.0,18.0,2.0,16.0,31.0,47.0,8.0,0.0,1545.0,17.0,136.0,653.0,787.0,100.0,1545.0,129.0,64.0,49.6,65.0,50.4,965.0,8006.0,4176.0,154.0,109.0,48.0,77.0,41.0,1144.0,255.0,31,2550.0,82.0,74.6,28.3,30,84.0,19.0,1,21.0,0,1.23,29.0,38.0,-9.0,-0.32,0.41,28.2,36.3,-8.0,-0.28,0.23,4.0,0.0,0.0,24.0,42.0,4.0,205.0,31.0,9.0,0.0,0.0,0.0,128.0,19.0,32.0,37.3
Adama Traoré,es ESP,"FW,MF",24.0,29.4,2.0,43.0,13.0,30.2,1.46,0.44,0.05,0.15,19.7,0.0,0.0,0.0,2.0,2.0,0.05,0.0,0.0,572.0,873.0,65.5,8290.0,1985.0,338.0,418.0,80.9,175.0,277.0,63.2,35.0,75.0,46.7,2.0,4.8,3.8,-2.8,55.0,36.0,30.0,18.0,70.0,873.0,848.0,23.0,1.0,1.0,2.0,150.0,21.0,0.0,0.0,0.0,0.0,572.0,2.0,47.0,115.0,3.91,74.0,0.0,25.0,3.0,13.0,0.0,5.0,0.17,3.0,0.0,1.0,0.0,1.0,0.0,28.0,16.0,11.0,13.0,4.0,13.0,21.0,61.9,8.0,23.0,1.0,22.0,7.0,35.0,12.0,1.0,1267.0,20.0,118.0,565.0,626.0,106.0,1267.0,216.0,153.0,70.8,63.0,29.2,845.0,9040.0,5204.0,219.0,111.0,58.0,112.0,65.0,987.0,220.0,37,2649.0,72.0,77.5,29.4,28,87.0,25.0,9,25.0,0,1.22,31.0,41.0,-10.0,-0.34,0.36,30.8,39.6,-8.8,-0.3,0.19,4.0,0.0,0.0,47.0,86.0,7.0,150.0,7.0,16.0,1.0,0.0,0.0,104.0,73.0,76.0,49.0
João Moutinho,pt POR,MF,33.0,28.1,1.0,14.0,4.0,28.6,0.5,0.14,0.07,0.25,23.7,1.0,0.0,0.0,0.6,0.6,0.04,0.4,0.4,1553.0,1846.0,84.1,27362.0,7149.0,647.0,705.0,91.8,708.0,786.0,90.1,155.0,263.0,58.9,1.0,2.4,2.8,-1.4,46.0,131.0,19.0,7.0,169.0,1846.0,1641.0,200.0,93.0,5.0,15.0,116.0,4.0,101.0,29.0,32.0,2.0,1553.0,5.0,19.0,96.0,3.42,62.0,27.0,0.0,2.0,2.0,3.0,6.0,0.21,3.0,2.0,0.0,0.0,1.0,0.0,75.0,40.0,34.0,35.0,6.0,35.0,91.0,38.5,56.0,18.0,3.0,15.0,47.0,122.0,28.0,0.0,2062.0,47.0,394.0,1179.0,503.0,8.0,2062.0,18.0,13.0,72.2,5.0,27.8,1136.0,5321.0,2697.0,32.0,38.0,2.0,15.0,11.0,1354.0,37.0,33,2528.0,77.0,73.9,28.1,28,87.0,18.0,5,21.0,1,1.24,25.0,40.0,-15.0,-0.53,-0.43,26.8,39.7,-12.9,-0.46,-0.44,5.0,1.0,1.0,44.0,23.0,0.0,116.0,47.0,40.0,0.0,1.0,0.0,182.0,18.0,19.0,48.6
Leander Dendoncker,be BEL,"MF,DF",25.0,27.8,1.0,31.0,8.0,25.8,1.11,0.29,0.03,0.13,15.0,0.0,0.0,0.0,3.1,3.1,0.1,-2.1,-2.1,1032.0,1212.0,85.1,17020.0,4193.0,476.0,541.0,88.0,442.0,492.0,89.8,74.0,97.0,76.3,0.0,0.7,0.9,-0.7,17.0,68.0,8.0,1.0,88.0,1212.0,1194.0,18.0,17.0,1.0,15.0,8.0,1.0,0.0,0.0,0.0,0.0,1032.0,0.0,16.0,46.0,1.65,39.0,0.0,0.0,4.0,1.0,2.0,6.0,0.22,4.0,0.0,0.0,2.0,0.0,0.0,54.0,29.0,29.0,22.0,3.0,31.0,60.0,51.7,29.0,38.0,15.0,23.0,27.0,81.0,52.0,2.0,1488.0,95.0,435.0,834.0,227.0,59.0,1488.0,13.0,7.0,53.8,6.0,46.2,727.0,3396.0,1628.0,15.0,12.0,4.0,30.0,11.0,967.0,31.0,33,2503.0,76.0,73.2,27.8,28,87.0,25.0,5,14.0,1,1.3,26.0,33.0,-7.0,-0.25,0.63,28.2,36.2,-8.0,-0.29,0.21,4.0,0.0,0.0,31.0,12.0,4.0,8.0,27.0,29.0,0.0,0.0,1.0,136.0,85.0,62.0,57.8
Romain Saïss,ma MAR,DF,30.0,26.7,3.0,28.0,11.0,39.3,1.05,0.41,0.11,0.27,13.4,2.0,0.0,0.0,3.0,3.0,0.11,0.0,0.0,1199.0,1495.0,80.2,23216.0,10367.0,430.0,477.0,90.1,622.0,711.0,87.5,140.0,262.0,53.4,0.0,0.2,0.5,-0.2,5.0,113.0,5.0,4.0,100.0,1495.0,1421.0,67.0,24.0,0.0,18.0,17.0,43.0,0.0,0.0,0.0,0.0,1199.0,7.0,17.0,19.0,0.71,16.0,1.0,1.0,1.0,0.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,35.0,24.0,23.0,12.0,0.0,19.0,33.0,57.6,14.0,28.0,13.0,15.0,52.0,87.0,115.0,1.0,1786.0,187.0,881.0,773.0,140.0,35.0,1786.0,15.0,9.0,60.0,6.0,40.0,1003.0,4495.0,2550.0,12.0,10.0,1.0,11.0,2.0,1152.0,24.0,27,2407.0,89.0,70.4,26.7,27,89.0,26.0,0,,7,1.11,26.0,40.0,-14.0,-0.52,-0.35,25.5,38.5,-12.9,-0.48,-0.48,2.0,0.0,0.0,29.0,11.0,1.0,17.0,52.0,24.0,0.0,2.0,0.0,142.0,71.0,59.0,54.6
Daniel Podence,pt POR,"MF,FW",24.0,18.5,3.0,32.0,14.0,43.8,1.73,0.76,0.09,0.21,17.5,0.0,0.0,0.0,2.5,2.5,0.08,0.5,0.5,483.0,643.0,75.1,7867.0,2039.0,269.0,316.0,85.1,129.0,180.0,71.7,59.0,84.0,70.2,2.0,1.7,1.7,0.3,21.0,47.0,20.0,5.0,72.0,643.0,617.0,25.0,1.0,4.0,8.0,32.0,9.0,6.0,2.0,1.0,1.0,483.0,1.0,17.0,60.0,3.25,42.0,1.0,9.0,1.0,7.0,0.0,6.0,0.32,2.0,0.0,4.0,0.0,0.0,0.0,12.0,6.0,5.0,5.0,2.0,2.0,19.0,10.5,17.0,5.0,1.0,4.0,13.0,25.0,2.0,0.0,803.0,11.0,90.0,366.0,362.0,56.0,803.0,64.0,38.0,59.4,26.0,40.6,557.0,3059.0,1558.0,47.0,31.0,18.0,35.0,24.0,621.0,117.0,24,1661.0,69.0,48.6,18.5,22,73.0,3.0,2,28.0,0,1.46,16.0,24.0,-8.0,-0.43,-0.02,16.9,20.0,-3.1,-0.17,0.34,3.0,0.0,0.0,14.0,27.0,4.0,32.0,13.0,6.0,0.0,0.0,0.0,81.0,7.0,15.0,31.8
Willy Boly,ci CIV,DF,29.0,20.9,1.0,15.0,3.0,20.0,0.72,0.14,0.07,0.33,13.3,0.0,0.0,0.0,1.1,1.1,0.07,-0.1,-0.1,855.0,1037.0,82.4,14746.0,5591.0,339.0,389.0,87.1,430.0,479.0,89.8,58.0,125.0,46.4,1.0,0.3,0.3,0.7,3.0,49.0,1.0,0.0,44.0,1037.0,1019.0,17.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,855.0,1.0,9.0,12.0,0.57,10.0,0.0,0.0,2.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,33.0,20.0,26.0,7.0,0.0,13.0,24.0,54.2,11.0,18.0,12.0,6.0,32.0,65.0,84.0,1.0,1243.0,126.0,599.0,603.0,47.0,23.0,1243.0,4.0,4.0,100.0,0.0,0.0,687.0,2742.0,1284.0,5.0,8.0,2.0,10.0,3.0,826.0,1.0,21,1879.0,89.0,54.9,20.9,21,89.0,20.0,0,,5,1.29,19.0,29.0,-10.0,-0.48,-0.13,18.7,26.1,-7.4,-0.35,-0.03,2.0,0.0,0.0,15.0,8.0,0.0,0.0,32.0,20.0,0.0,1.0,0.0,88.0,55.0,25.0,68.8
Rayan Aït Nouri,dz ALG,DF,19.0,15.6,1.0,15.0,6.0,40.0,0.96,0.38,0.07,0.17,19.8,0.0,0.0,0.0,0.6,0.6,0.04,0.4,0.4,662.0,805.0,82.2,9828.0,2664.0,362.0,392.0,92.3,248.0,296.0,83.8,25.0,57.0,43.9,1.0,0.6,0.8,0.4,14.0,35.0,16.0,6.0,54.0,805.0,675.0,129.0,6.0,0.0,3.0,61.0,116.0,7.0,1.0,6.0,0.0,662.0,1.0,20.0,32.0,2.05,21.0,4.0,6.0,0.0,1.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,29.0,16.0,18.0,10.0,1.0,13.0,27.0,48.1,14.0,14.0,1.0,13.0,15.0,44.0,25.0,0.0,996.0,42.0,267.0,430.0,309.0,26.0,996.0,54.0,26.0,48.1,28.0,51.9,573.0,2959.0,1702.0,47.0,34.0,9.0,30.0,19.0,622.0,85.0,21,1404.0,67.0,41.1,15.6,16,83.0,10.0,5,15.0,8,1.0,16.0,23.0,-7.0,-0.45,-0.05,15.1,18.5,-3.5,-0.22,0.2,1.0,0.0,0.0,15.0,19.0,1.0,61.0,15.0,16.0,0.0,1.0,0.0,86.0,5.0,23.0,17.9
Max Kilman,eng ENG,DF,23.0,14.6,0.0,7.0,2.0,28.6,0.48,0.14,0.0,0.0,12.2,0.0,0.0,0.0,0.8,0.8,0.11,-0.8,-0.8,664.0,757.0,87.7,11110.0,4141.0,292.0,314.0,93.0,330.0,355.0,93.0,31.0,71.0,43.7,1.0,0.5,0.3,0.5,5.0,45.0,2.0,0.0,46.0,757.0,735.0,21.0,10.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,664.0,1.0,3.0,8.0,0.55,6.0,0.0,0.0,1.0,0.0,1.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,21.0,14.0,13.0,4.0,4.0,8.0,14.0,57.1,6.0,17.0,8.0,9.0,19.0,40.0,46.0,0.0,877.0,77.0,386.0,453.0,41.0,9.0,877.0,8.0,7.0,87.5,1.0,12.5,550.0,2671.0,1676.0,11.0,7.0,0.0,4.0,2.0,628.0,2.0,18,1310.0,73.0,38.3,14.6,14,90.0,14.0,4,13.0,19,1.5,11.0,11.0,0.0,0.0,0.68,13.3,14.9,-1.6,-0.11,0.38,4.0,0.0,0.0,20.0,4.0,0.0,0.0,19.0,14.0,0.0,1.0,0.0,64.0,20.0,25.0,44.4
Willian José,br BRA,FW,28.0,12.3,1.0,19.0,7.0,36.8,1.54,0.57,0.05,0.14,15.1,0.0,0.0,0.0,1.6,1.6,0.08,-0.6,-0.6,244.0,306.0,79.7,3814.0,519.0,132.0,148.0,89.2,65.0,85.0,76.5,29.0,38.0,76.3,0.0,1.2,0.7,-1.2,12.0,14.0,3.0,0.0,15.0,306.0,290.0,15.0,0.0,1.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,244.0,1.0,6.0,27.0,2.19,18.0,0.0,2.0,6.0,1.0,0.0,1.0,0.08,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,4.0,25.0,3.0,6.0,1.0,5.0,1.0,3.0,12.0,0.0,387.0,14.0,36.0,222.0,132.0,32.0,387.0,11.0,8.0,72.7,3.0,27.3,205.0,885.0,297.0,12.0,7.0,0.0,29.0,13.0,291.0,55.0,17,1110.0,65.0,32.5,12.3,12,80.0,2.0,5,31.0,2,1.29,12.0,13.0,-1.0,-0.08,0.5,12.2,13.8,-1.7,-0.14,0.31,0.0,0.0,0.0,8.0,10.0,2.0,6.0,1.0,1.0,1.0,0.0,0.0,40.0,26.0,34.0,43.3
