player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Matty Cash,pl POL,DF,23.0,37.5,4.0,37.0,13.0,35.1,0.99,0.35,0.11,0.31,17.9,0.0,0.0,0.0,2.7,2.7,0.07,1.3,1.3,1113.0,1627.0,68.4,18719.0,7079.0,547.0,631.0,86.7,435.0,606.0,71.8,101.0,291.0,34.7,3.0,2.8,2.4,0.2,28.0,71.0,32.0,16.0,96.0,1627.0,1286.0,336.0,30.0,2.0,12.0,98.0,305.0,1.0,0.0,0.0,0.0,1113.0,5.0,49.0,65.0,1.73,45.0,7.0,6.0,2.0,5.0,0.0,7.0,0.19,4.0,2.0,1.0,0.0,0.0,0.0,89.0,50.0,52.0,34.0,3.0,47.0,78.0,60.3,31.0,54.0,16.0,38.0,49.0,138.0,100.0,2.0,2093.0,140.0,713.0,868.0,538.0,92.0,2093.0,59.0,33.0,55.9,26.0,44.1,1007.0,5923.0,2897.0,89.0,54.0,20.0,56.0,31.0,1030.0,174.0,38,3377.0,89.0,98.7,37.5,38,89.0,35,0,,0,1.18,52.0,50.0,2.0,0.05,8.43,43.6,46.6,-3.0,-0.08,4.08,8.0,0.0,0.0,38.0,38.0,2.0,98.0,49.0,50.0,0.0,1.0,0.0,190.0,42.0,45.0,48.3
Emiliano Martínez,ar ARG,GK,28.0,36.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,816.0,1103.0,74.0,21013.0,14329.0,202.0,203.0,99.5,383.0,390.0,98.2,227.0,502.0,45.2,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1103.0,722.0,377.0,102.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,816.0,4.0,0.0,5.0,0.14,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,1158.0,987.0,1140.0,19.0,0.0,0.0,1158.0,0.0,0.0,,0.0,,642.0,3642.0,2252.0,0.0,0.0,0.0,0.0,0.0,454.0,0.0,36,3240.0,90.0,94.7,36.0,36,90.0,36,0,,0,1.25,50.0,48.0,2.0,0.06,2.06,42.6,44.3,-1.8,-0.05,1.55,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,8.0,1.0,88.9
Tyrone Mings,eng ENG,DF,28.0,35.4,1.0,21.0,5.0,23.8,0.59,0.14,0.05,0.2,12.3,0.0,0.0,0.0,1.6,1.6,0.08,-0.6,-0.6,1336.0,1684.0,79.3,26051.0,10825.0,446.0,513.0,86.9,744.0,820.0,90.7,130.0,302.0,43.0,3.0,1.6,1.1,1.4,10.0,85.0,5.0,0.0,91.0,1684.0,1615.0,66.0,47.0,3.0,8.0,4.0,18.0,0.0,0.0,0.0,0.0,1336.0,3.0,12.0,30.0,0.85,23.0,0.0,1.0,3.0,2.0,1.0,5.0,0.14,4.0,0.0,0.0,1.0,0.0,0.0,23.0,12.0,17.0,3.0,3.0,14.0,22.0,63.6,8.0,47.0,30.0,17.0,46.0,69.0,153.0,2.0,2031.0,321.0,1168.0,774.0,108.0,51.0,2031.0,12.0,11.0,91.7,1.0,8.3,1212.0,6651.0,3776.0,23.0,17.0,2.0,17.0,4.0,1242.0,17.0,36,3189.0,89.0,93.2,35.4,35,90.0,35,1,39.0,0,1.22,49.0,49.0,0.0,0.0,0.78,42.0,46.8,-4.9,-0.14,-0.1,11.0,0.0,0.0,27.0,24.0,1.0,4.0,46.0,12.0,0.0,1.0,0.0,191.0,81.0,47.0,63.3
John McGinn,sct SCO,MF,26.0,34.3,3.0,43.0,16.0,37.2,1.25,0.47,0.07,0.19,25.1,0.0,0.0,0.0,1.5,1.5,0.04,1.5,1.5,1023.0,1365.0,74.9,20891.0,8296.0,394.0,464.0,84.9,416.0,515.0,80.8,187.0,318.0,58.8,4.0,5.3,5.3,-1.3,51.0,163.0,48.0,12.0,196.0,1365.0,1220.0,137.0,76.0,15.0,23.0,110.0,6.0,52.0,40.0,8.0,1.0,1023.0,8.0,18.0,103.0,3.0,72.0,21.0,4.0,2.0,3.0,1.0,6.0,0.17,4.0,1.0,1.0,0.0,0.0,0.0,106.0,64.0,35.0,55.0,16.0,54.0,104.0,51.9,50.0,53.0,6.0,47.0,35.0,141.0,34.0,0.0,1754.0,70.0,346.0,962.0,466.0,26.0,1754.0,68.0,44.0,64.7,24.0,35.3,991.0,4882.0,2410.0,52.0,32.0,7.0,48.0,28.0,1075.0,67.0,35,3090.0,88.0,90.4,34.3,35,88.0,32,0,,0,1.23,45.0,48.0,-3.0,-0.09,-0.36,40.3,43.8,-3.5,-0.1,0.28,8.0,0.0,0.0,57.0,81.0,0.0,110.0,35.0,64.0,0.0,0.0,0.0,200.0,22.0,17.0,56.4
Ollie Watkins,eng ENG,FW,25.0,32.8,11.0,76.0,31.0,40.8,2.32,0.95,0.13,0.32,13.6,0.0,1.0,1.0,11.6,11.0,0.14,-0.6,-1.0,484.0,699.0,69.2,5923.0,1163.0,315.0,403.0,78.2,115.0,173.0,66.5,10.0,24.0,41.7,2.0,3.4,2.6,-1.4,34.0,29.0,17.0,0.0,60.0,699.0,671.0,25.0,2.0,4.0,2.0,15.0,7.0,0.0,0.0,0.0,0.0,484.0,3.0,16.0,82.0,2.5,56.0,0.0,10.0,8.0,6.0,2.0,9.0,0.27,4.0,0.0,2.0,2.0,1.0,0.0,17.0,13.0,2.0,7.0,8.0,2.0,15.0,13.3,13.0,25.0,3.0,22.0,12.0,29.0,27.0,0.0,1046.0,30.0,61.0,423.0,575.0,173.0,1045.0,68.0,37.0,54.4,31.0,45.6,630.0,3174.0,1581.0,74.0,32.0,49.0,86.0,53.0,820.0,226.0,35,2952.0,84.0,86.3,32.8,33,88.0,28,2,23.0,0,1.2,46.0,48.0,-2.0,-0.06,-0.06,37.9,44.5,-6.5,-0.2,-0.51,7.0,0.0,0.0,33.0,39.0,16.0,15.0,12.0,13.0,1.0,0.0,0.0,66.0,65.0,95.0,40.6
Douglas Luiz,br BRA,MF,23.0,30.2,2.0,23.0,8.0,34.8,0.76,0.27,0.09,0.25,25.3,8.0,0.0,0.0,2.0,2.0,0.09,0.0,0.0,1290.0,1550.0,83.2,21991.0,7065.0,567.0,644.0,88.0,559.0,629.0,88.9,121.0,210.0,57.6,3.0,2.5,2.2,0.5,37.0,107.0,19.0,2.0,105.0,1550.0,1346.0,200.0,130.0,7.0,3.0,83.0,11.0,57.0,33.0,12.0,1.0,1290.0,4.0,10.0,89.0,2.95,60.0,21.0,1.0,2.0,5.0,0.0,9.0,0.3,6.0,2.0,0.0,1.0,0.0,0.0,59.0,39.0,30.0,24.0,5.0,21.0,72.0,29.2,51.0,30.0,7.0,23.0,34.0,93.0,28.0,1.0,1823.0,84.0,459.0,1060.0,319.0,8.0,1823.0,43.0,24.0,55.8,19.0,44.2,1006.0,5053.0,2345.0,28.0,16.0,1.0,50.0,17.0,1116.0,44.0,34,2715.0,80.0,79.4,30.2,31,86.0,22,3,20.0,0,1.24,43.0,38.0,5.0,0.17,1.06,37.1,39.2,-2.1,-0.07,0.3,7.0,0.0,0.0,37.0,41.0,0.0,83.0,34.0,39.0,0.0,0.0,0.0,183.0,26.0,32.0,44.8
Ezri Konsa,eng ENG,DF,23.0,27.5,2.0,15.0,6.0,40.0,0.55,0.22,0.13,0.33,8.1,0.0,0.0,0.0,1.6,1.6,0.11,0.4,0.4,875.0,1013.0,86.4,15392.0,5885.0,345.0,381.0,90.6,470.0,505.0,93.1,46.0,94.0,48.9,0.0,0.3,0.5,-0.3,4.0,30.0,0.0,0.0,45.0,1013.0,975.0,38.0,30.0,0.0,3.0,1.0,7.0,0.0,0.0,0.0,0.0,875.0,0.0,8.0,13.0,0.47,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,13.0,11.0,1.0,10.0,13.0,76.9,3.0,31.0,22.0,9.0,15.0,40.0,86.0,2.0,1237.0,201.0,713.0,463.0,70.0,37.0,1237.0,9.0,6.0,66.7,3.0,33.3,714.0,2992.0,1722.0,8.0,5.0,1.0,10.0,6.0,789.0,7.0,29,2477.0,85.0,72.4,27.5,29,85.0,24,0,,3,1.21,36.0,41.0,-5.0,-0.18,-0.47,30.3,35.3,-5.0,-0.18,-0.19,6.0,2.0,1.0,18.0,36.0,1.0,1.0,15.0,15.0,0.0,1.0,0.0,105.0,58.0,42.0,58.0
Jacob Ramsey,eng ENG,MF,20.0,27.4,6.0,34.0,11.0,32.4,1.24,0.4,0.18,0.55,18.3,0.0,0.0,0.0,4.0,4.0,0.12,2.0,2.0,889.0,1045.0,85.1,13297.0,3505.0,484.0,548.0,88.3,323.0,359.0,90.0,48.0,64.0,75.0,1.0,1.9,2.3,-0.9,21.0,92.0,21.0,4.0,132.0,1045.0,1030.0,13.0,7.0,3.0,1.0,26.0,3.0,0.0,0.0,0.0,0.0,889.0,2.0,22.0,75.0,2.74,55.0,0.0,7.0,2.0,9.0,2.0,6.0,0.22,5.0,0.0,0.0,1.0,0.0,0.0,67.0,44.0,31.0,28.0,8.0,30.0,69.0,43.5,39.0,36.0,7.0,29.0,24.0,91.0,28.0,0.0,1361.0,49.0,243.0,725.0,406.0,59.0,1361.0,48.0,30.0,62.5,18.0,37.5,905.0,6506.0,3090.0,91.0,63.0,22.0,58.0,36.0,993.0,92.0,34,2467.0,73.0,72.1,27.4,29,80.0,14,5,28.0,1,1.21,39.0,35.0,4.0,0.15,0.71,32.9,32.2,0.7,0.02,0.56,6.0,0.0,0.0,32.0,44.0,1.0,26.0,24.0,44.0,0.0,0.0,0.0,126.0,16.0,34.0,32.0
Emi Buendía,ar ARG,"MF,FW",24.0,21.1,4.0,44.0,13.0,29.5,2.09,0.62,0.09,0.31,17.9,0.0,0.0,0.0,3.4,3.4,0.08,0.6,0.6,711.0,902.0,78.8,10017.0,2688.0,418.0,482.0,86.7,199.0,248.0,80.2,42.0,79.0,53.2,6.0,5.8,4.2,0.2,48.0,71.0,43.0,3.0,117.0,902.0,834.0,63.0,18.0,21.0,3.0,34.0,12.0,17.0,8.0,4.0,1.0,711.0,5.0,19.0,83.0,3.93,65.0,3.0,7.0,3.0,5.0,0.0,10.0,0.47,7.0,0.0,2.0,1.0,0.0,0.0,38.0,18.0,16.0,13.0,9.0,21.0,51.0,41.2,30.0,21.0,3.0,18.0,9.0,47.0,11.0,0.0,1146.0,27.0,134.0,548.0,476.0,69.0,1146.0,64.0,40.0,62.5,24.0,37.5,673.0,3378.0,1622.0,40.0,41.0,7.0,42.0,41.0,806.0,84.0,35,1899.0,54.0,55.5,21.1,22,77.0,5,13,16.0,2,1.11,30.0,32.0,-2.0,-0.09,-0.09,23.8,27.4,-3.6,-0.17,-0.09,1.0,0.0,0.0,17.0,44.0,3.0,34.0,9.0,18.0,0.0,1.0,0.0,110.0,19.0,35.0,35.2
Danny Ings,eng ENG,FW,29.0,21.1,7.0,48.0,17.0,35.4,2.28,0.81,0.13,0.35,13.6,0.0,1.0,1.0,7.1,6.3,0.13,-0.1,-0.3,251.0,378.0,66.4,3233.0,781.0,147.0,189.0,77.8,60.0,90.0,66.7,13.0,28.0,46.4,6.0,1.6,0.9,4.4,15.0,19.0,13.0,0.0,39.0,378.0,354.0,21.0,1.0,3.0,6.0,13.0,1.0,0.0,0.0,0.0,0.0,251.0,3.0,17.0,32.0,1.52,25.0,0.0,2.0,4.0,1.0,0.0,9.0,0.43,9.0,0.0,0.0,0.0,0.0,0.0,23.0,16.0,2.0,16.0,5.0,13.0,37.0,35.1,24.0,31.0,2.0,29.0,6.0,29.0,22.0,0.0,617.0,21.0,63.0,246.0,314.0,112.0,616.0,31.0,10.0,32.3,21.0,67.7,321.0,1568.0,625.0,24.0,15.0,8.0,50.0,21.0,394.0,117.0,30,1898.0,63.0,55.5,21.1,22,79.0,7,8,20.0,3,1.23,29.0,26.0,3.0,0.14,0.44,26.3,24.3,2.0,0.09,0.5,4.0,0.0,0.0,16.0,12.0,11.0,13.0,6.0,16.0,0.0,0.0,0.0,47.0,27.0,40.0,40.3
