player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Marc Guéhi,eng ENG,DF,21.0,35.8,2.0,19.0,5.0,26.3,0.53,0.14,0.11,0.4,11.1,0.0,0.0,0.0,2.5,2.5,0.13,-0.5,-0.5,2057.0,2360.0,87.2,40390.0,14502.0,664.0,722.0,92.0,1162.0,1261.0,92.1,214.0,342.0,62.6,1.0,1.3,1.0,-0.3,6.0,116.0,3.0,0.0,111.0,2360.0,2290.0,65.0,59.0,1.0,32.0,3.0,6.0,0.0,0.0,0.0,0.0,2057.0,5.0,5.0,25.0,0.7,20.0,0.0,1.0,2.0,2.0,0.0,3.0,0.08,1.0,0.0,0.0,1.0,1.0,0.0,35.0,17.0,24.0,10.0,1.0,15.0,16.0,93.8,1.0,34.0,26.0,8.0,30.0,65.0,127.0,0.0,2654.0,376.0,1512.0,1070.0,82.0,32.0,2654.0,13.0,12.0,92.3,1.0,7.7,1663.0,7932.0,4727.0,17.0,15.0,0.0,14.0,7.0,1925.0,7.0,36,3222.0,90.0,94.2,35.8,36,90.0,35,0,,1,1.25,49.0,43.0,6.0,0.17,1.08,44.8,37.6,7.2,0.2,0.9,4.0,0.0,0.0,14.0,34.0,0.0,3.0,30.0,17.0,0.0,1.0,0.0,192.0,68.0,54.0,55.7
Tyrick Mitchell,eng ENG,DF,21.0,34.5,0.0,4.0,0.0,0.0,0.12,0.0,0.0,,17.3,0.0,0.0,0.0,0.2,0.2,0.06,-0.2,-0.2,1393.0,1930.0,72.2,21564.0,10421.0,745.0,864.0,86.2,526.0,700.0,75.1,84.0,236.0,35.6,2.0,1.7,1.7,0.3,21.0,103.0,33.0,15.0,134.0,1930.0,1522.0,400.0,29.0,1.0,0.0,62.0,367.0,4.0,2.0,2.0,0.0,1393.0,8.0,54.0,51.0,1.48,42.0,5.0,1.0,0.0,1.0,2.0,7.0,0.2,6.0,1.0,0.0,0.0,0.0,0.0,104.0,57.0,67.0,26.0,11.0,46.0,67.0,68.7,21.0,47.0,5.0,42.0,41.0,145.0,101.0,0.0,2320.0,137.0,905.0,945.0,490.0,26.0,2320.0,29.0,16.0,55.2,13.0,44.8,1074.0,4380.0,2208.0,41.0,37.0,4.0,45.0,26.0,1188.0,116.0,36,3101.0,86.0,90.7,34.5,35,88.0,32,1,18.0,1,1.22,45.0,43.0,2.0,0.06,-0.51,40.7,37.9,2.7,0.08,-0.74,1.0,0.0,0.0,15.0,14.0,2.0,62.0,41.0,57.0,1.0,0.0,0.0,237.0,29.0,32.0,47.5
Conor Gallagher,eng ENG,MF,21.0,31.6,8.0,52.0,22.0,42.3,1.64,0.7,0.15,0.36,17.5,4.0,0.0,0.0,6.3,6.3,0.12,1.7,1.7,890.0,1188.0,74.9,14543.0,3809.0,443.0,517.0,85.7,305.0,386.0,79.0,88.0,173.0,50.9,3.0,3.1,3.1,-0.1,38.0,86.0,20.0,9.0,94.0,1188.0,1030.0,151.0,70.0,2.0,8.0,128.0,4.0,62.0,26.0,16.0,4.0,890.0,7.0,27.0,91.0,2.88,48.0,24.0,3.0,8.0,7.0,1.0,10.0,0.32,7.0,0.0,2.0,0.0,1.0,0.0,69.0,38.0,35.0,20.0,14.0,21.0,69.0,30.4,48.0,58.0,9.0,49.0,29.0,98.0,26.0,0.0,1578.0,45.0,285.0,737.0,579.0,80.0,1578.0,75.0,42.0,56.0,33.0,44.0,829.0,3922.0,1514.0,42.0,23.0,12.0,62.0,50.0,933.0,118.0,34,2845.0,84.0,83.2,31.6,33,86.0,26,1,17.0,0,1.32,41.0,38.0,3.0,0.09,-0.06,37.6,34.0,3.6,0.11,-0.21,10.0,0.0,0.0,65.0,65.0,2.0,128.0,29.0,38.0,1.0,0.0,0.0,187.0,23.0,37.0,38.3
Joachim Andersen,dk DEN,DF,25.0,32.4,0.0,8.0,3.0,37.5,0.25,0.09,0.0,0.0,15.3,1.0,0.0,0.0,0.7,0.7,0.08,-0.7,-0.7,1911.0,2351.0,81.3,44144.0,15836.0,410.0,480.0,85.4,1138.0,1224.0,93.0,349.0,604.0,57.8,3.0,1.7,1.9,1.3,20.0,151.0,11.0,2.0,100.0,2351.0,2252.0,95.0,86.0,3.0,32.0,8.0,5.0,0.0,0.0,0.0,0.0,1911.0,4.0,11.0,33.0,1.02,30.0,1.0,0.0,1.0,0.0,1.0,4.0,0.12,3.0,0.0,0.0,1.0,0.0,0.0,30.0,23.0,21.0,9.0,0.0,16.0,27.0,59.3,11.0,29.0,19.0,10.0,37.0,67.0,125.0,3.0,2614.0,425.0,1538.0,1005.0,80.0,32.0,2614.0,9.0,7.0,77.8,2.0,22.2,1604.0,8191.0,4478.0,14.0,5.0,2.0,8.0,8.0,1865.0,4.0,34,2916.0,86.0,85.3,32.4,32,90.0,31,2,22.0,0,1.32,44.0,37.0,7.0,0.22,0.75,40.4,35.8,4.6,0.14,-0.04,4.0,0.0,0.0,19.0,8.0,1.0,8.0,37.0,23.0,0.0,0.0,1.0,152.0,56.0,48.0,53.8
Wilfried Zaha,ci CIV,FW,28.0,30.7,14.0,62.0,26.0,41.9,2.02,0.85,0.15,0.35,18.8,0.0,5.0,7.0,9.5,3.9,0.06,4.5,5.1,753.0,974.0,77.3,10942.0,2907.0,432.0,509.0,84.9,252.0,311.0,81.0,36.0,63.0,57.1,1.0,5.1,5.4,-4.1,46.0,38.0,66.0,12.0,121.0,974.0,943.0,28.0,5.0,10.0,1.0,48.0,14.0,4.0,2.0,0.0,0.0,753.0,3.0,28.0,111.0,3.62,76.0,1.0,15.0,10.0,7.0,2.0,12.0,0.39,5.0,0.0,3.0,2.0,2.0,0.0,40.0,20.0,14.0,15.0,11.0,10.0,31.0,32.3,21.0,28.0,0.0,28.0,5.0,45.0,5.0,0.0,1443.0,11.0,155.0,594.0,720.0,129.0,1436.0,152.0,75.0,49.3,77.0,50.7,1058.0,6768.0,3179.0,113.0,75.0,47.0,124.0,110.0,1128.0,265.0,33,2760.0,84.0,80.7,30.7,31,87.0,28,2,26.0,0,1.3,38.0,33.0,5.0,0.16,0.3,35.4,30.3,5.1,0.17,0.09,6.0,1.0,1.0,37.0,101.0,24.0,48.0,5.0,20.0,1.0,0.0,0.0,166.0,12.0,35.0,25.5
Vicente Guaita,es ESP,GK,34.0,29.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,776.0,982.0,79.0,17570.0,10060.0,241.0,242.0,99.6,345.0,348.0,99.1,171.0,369.0,46.3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,982.0,725.0,254.0,53.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,776.0,3.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,1.0,1033.0,912.0,1030.0,3.0,0.0,0.0,1033.0,0.0,0.0,,0.0,,622.0,3147.0,1886.0,0.0,0.0,0.0,1.0,0.0,485.0,0.0,30,2655.0,89.0,77.6,29.5,30,89.0,29,0,,5,1.27,38.0,33.0,5.0,0.17,0.29,37.7,31.9,5.9,0.2,0.22,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,22.0,8.0,1.0,88.9
Joel Ward,eng ENG,DF,31.0,27.6,0.0,10.0,1.0,10.0,0.36,0.04,0.0,0.0,20.4,0.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3,1372.0,1741.0,78.8,22621.0,8364.0,675.0,746.0,90.5,574.0,683.0,84.0,99.0,234.0,42.3,0.0,0.5,1.3,-0.5,6.0,104.0,12.0,4.0,119.0,1741.0,1460.0,277.0,28.0,0.0,10.0,43.0,249.0,0.0,0.0,0.0,0.0,1372.0,4.0,35.0,18.0,0.65,16.0,2.0,0.0,0.0,0.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,44.0,26.0,30.0,11.0,3.0,30.0,57.0,52.6,27.0,24.0,11.0,13.0,32.0,76.0,107.0,1.0,2038.0,150.0,783.0,938.0,330.0,12.0,2038.0,26.0,20.0,76.9,6.0,23.1,1028.0,4386.0,2409.0,27.0,24.0,0.0,29.0,18.0,1212.0,37.0,28,2487.0,89.0,72.7,27.6,27,90.0,27,1,57.0,5,1.29,37.0,37.0,0.0,0.0,-0.39,35.1,30.2,5.0,0.18,0.11,8.0,0.0,0.0,22.0,21.0,1.0,43.0,32.0,26.0,0.0,0.0,0.0,140.0,58.0,39.0,59.8
Jordan Ayew,gh GHA,FW,29.0,22.4,3.0,35.0,8.0,22.9,1.56,0.36,0.09,0.38,16.8,1.0,0.0,0.0,3.1,3.1,0.09,-0.1,-0.1,576.0,754.0,76.4,7894.0,1509.0,346.0,389.0,88.9,180.0,228.0,78.9,17.0,54.0,31.5,3.0,2.8,2.9,0.2,23.0,31.0,16.0,6.0,51.0,754.0,738.0,14.0,3.0,8.0,2.0,74.0,9.0,2.0,0.0,0.0,0.0,576.0,2.0,30.0,61.0,2.72,41.0,1.0,2.0,3.0,13.0,1.0,6.0,0.27,5.0,0.0,0.0,0.0,1.0,0.0,47.0,30.0,20.0,20.0,7.0,17.0,31.0,54.8,14.0,33.0,3.0,30.0,15.0,62.0,15.0,0.0,1087.0,15.0,149.0,514.0,450.0,67.0,1087.0,71.0,34.0,47.9,37.0,52.1,696.0,4590.0,2316.0,98.0,49.0,24.0,84.0,77.0,779.0,151.0,31,2019.0,65.0,59.0,22.4,23,81.0,10,8,20.0,6,1.13,31.0,31.0,0.0,0.0,-0.26,27.1,25.4,1.7,0.07,-0.18,2.0,0.0,0.0,38.0,66.0,2.0,74.0,15.0,30.0,1.0,0.0,0.0,132.0,32.0,58.0,35.6
Cheikhou Kouyaté,sn SEN,MF,31.0,21.9,0.0,7.0,0.0,0.0,0.32,0.0,0.0,,21.6,0.0,0.0,0.0,0.5,0.5,0.08,-0.5,-0.5,656.0,804.0,81.6,10088.0,2834.0,338.0,390.0,86.7,253.0,308.0,82.1,36.0,58.0,62.1,1.0,0.8,1.0,0.2,5.0,44.0,3.0,1.0,54.0,804.0,786.0,18.0,17.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,656.0,0.0,9.0,15.0,0.68,13.0,0.0,1.0,0.0,0.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,52.0,38.0,28.0,22.0,2.0,18.0,39.0,46.2,21.0,40.0,14.0,26.0,38.0,90.0,39.0,0.0,1058.0,72.0,389.0,581.0,100.0,7.0,1058.0,17.0,13.0,76.5,4.0,23.5,477.0,1839.0,778.0,7.0,7.0,0.0,30.0,11.0,529.0,9.0,27,1974.0,73.0,57.7,21.9,23,83.0,14,4,19.0,6,1.33,27.0,28.0,-1.0,-0.05,-0.36,24.2,25.8,-1.6,-0.07,-0.53,3.0,0.0,0.0,30.0,21.0,0.0,4.0,38.0,38.0,0.0,0.0,0.0,136.0,50.0,29.0,63.3
Jeffrey Schlupp,gh GHA,"MF,FW",28.0,20.6,4.0,33.0,9.0,27.3,1.6,0.44,0.12,0.44,14.3,0.0,0.0,0.0,3.4,3.4,0.1,0.6,0.6,493.0,668.0,73.8,7971.0,2386.0,249.0,302.0,82.5,201.0,253.0,79.4,29.0,55.0,52.7,1.0,1.6,1.2,-0.6,18.0,46.0,12.0,2.0,70.0,668.0,654.0,8.0,6.0,3.0,5.0,20.0,1.0,0.0,0.0,0.0,0.0,493.0,6.0,18.0,46.0,2.24,33.0,0.0,6.0,4.0,3.0,0.0,7.0,0.34,3.0,0.0,1.0,1.0,2.0,0.0,46.0,25.0,16.0,23.0,7.0,24.0,50.0,48.0,26.0,39.0,9.0,30.0,18.0,64.0,32.0,0.0,971.0,46.0,235.0,509.0,243.0,59.0,971.0,58.0,35.0,60.3,23.0,39.7,520.0,2680.0,1218.0,31.0,25.0,11.0,42.0,33.0,565.0,60.0,32,1851.0,58.0,54.1,20.6,20,84.0,13,12,14.0,4,1.25,23.0,19.0,4.0,0.19,0.19,25.3,23.6,1.7,0.08,-0.14,1.0,0.0,0.0,26.0,22.0,0.0,20.0,18.0,25.0,1.0,0.0,0.0,115.0,31.0,39.0,44.3
