player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Jordan Pickford,eng ENG,GK,27.0,35.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,608.0,1147.0,53.0,23302.0,19151.0,83.0,83.0,100.0,204.0,208.0,98.1,321.0,848.0,37.9,0.0,0.1,0.2,-0.1,4.0,64.0,3.0,0.0,0.0,1147.0,739.0,401.0,134.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,608.0,7.0,0.0,13.0,0.37,9.0,4.0,0.0,0.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,14.0,1.0,1230.0,951.0,1189.0,41.0,0.0,0.0,1230.0,1.0,1.0,100.0,0.0,0.0,640.0,4569.0,2602.0,0.0,0.0,0.0,0.0,0.0,470.0,0.0,35,3150.0,90.0,92.1,35.0,35,90.0,35,0,,0,1.03,41.0,58.0,-17.0,-0.49,1.51,38.7,49.5,-10.8,-0.31,0.82,2.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,18.0,10.0,1.0,90.9
Michael Keane,eng ENG,DF,28.0,31.0,3.0,20.0,6.0,30.0,0.64,0.19,0.15,0.5,12.7,0.0,0.0,0.0,1.2,1.2,0.06,1.8,1.8,927.0,1214.0,76.4,19535.0,8021.0,299.0,364.0,82.1,457.0,535.0,85.4,154.0,276.0,55.8,2.0,1.6,0.5,0.4,8.0,83.0,5.0,0.0,79.0,1214.0,1180.0,32.0,32.0,1.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,927.0,2.0,9.0,19.0,0.61,13.0,1.0,0.0,4.0,0.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,46.0,25.0,32.0,13.0,1.0,28.0,45.0,62.2,17.0,33.0,28.0,5.0,62.0,108.0,128.0,2.0,1541.0,232.0,776.0,717.0,59.0,32.0,1541.0,8.0,7.0,87.5,1.0,12.5,726.0,3617.0,1751.0,9.0,6.0,1.0,7.0,2.0,822.0,4.0,32,2792.0,87.0,81.6,31.0,31,88.0,29,1,73.0,4,1.09,36.0,54.0,-18.0,-0.58,0.14,31.5,46.5,-15.0,-0.49,-0.61,4.0,1.0,1.0,16.0,7.0,1.0,1.0,62.0,25.0,0.0,0.0,2.0,149.0,96.0,59.0,61.9
Séamus Coleman,ie IRL,DF,32.0,29.5,1.0,8.0,1.0,12.5,0.27,0.03,0.13,1.0,18.3,0.0,0.0,0.0,1.2,1.2,0.15,-0.2,-0.2,914.0,1255.0,72.8,14739.0,6578.0,497.0,569.0,87.3,316.0,447.0,70.7,76.0,168.0,45.2,0.0,0.8,1.5,-0.8,13.0,86.0,26.0,13.0,96.0,1255.0,981.0,269.0,11.0,0.0,5.0,41.0,258.0,0.0,0.0,0.0,0.0,914.0,5.0,23.0,47.0,1.59,37.0,3.0,2.0,2.0,3.0,0.0,5.0,0.17,3.0,0.0,0.0,0.0,2.0,0.0,61.0,36.0,35.0,16.0,10.0,33.0,51.0,64.7,18.0,30.0,11.0,19.0,32.0,93.0,80.0,2.0,1549.0,123.0,501.0,733.0,335.0,32.0,1549.0,49.0,34.0,69.4,15.0,30.6,697.0,3773.0,1872.0,40.0,30.0,4.0,30.0,20.0,713.0,77.0,30,2656.0,89.0,77.7,29.5,30,89.0,28,0,,4,1.13,34.0,50.0,-16.0,-0.54,0.28,30.7,41.7,-11.0,-0.37,0.0,4.0,0.0,0.0,14.0,17.0,2.0,41.0,32.0,36.0,1.0,0.0,1.0,188.0,25.0,23.0,52.1
Abdoulaye Doucouré,ml MLI,MF,28.0,28.2,2.0,34.0,11.0,32.4,1.21,0.39,0.06,0.18,17.9,0.0,0.0,0.0,2.2,2.2,0.06,-0.2,-0.2,864.0,1097.0,78.8,12771.0,3058.0,490.0,581.0,84.3,296.0,351.0,84.3,45.0,72.0,62.5,4.0,2.0,1.3,2.0,19.0,81.0,19.0,0.0,113.0,1097.0,1078.0,17.0,11.0,3.0,3.0,11.0,1.0,0.0,0.0,0.0,0.0,864.0,2.0,32.0,57.0,2.02,50.0,0.0,3.0,3.0,0.0,1.0,7.0,0.25,5.0,0.0,1.0,1.0,0.0,0.0,75.0,43.0,30.0,37.0,8.0,32.0,71.0,45.1,39.0,33.0,8.0,25.0,28.0,103.0,32.0,0.0,1390.0,63.0,329.0,745.0,339.0,44.0,1390.0,41.0,21.0,51.2,20.0,48.8,694.0,3500.0,1770.0,33.0,28.0,6.0,43.0,22.0,764.0,54.0,30,2537.0,85.0,74.2,28.2,29,87.0,27,1,7.0,1,1.13,33.0,47.0,-14.0,-0.5,0.42,29.6,39.3,-9.7,-0.34,0.11,6.0,0.0,0.0,39.0,16.0,1.0,11.0,28.0,43.0,0.0,0.0,0.0,213.0,35.0,37.0,48.6
Richarlison,br BRA,FW,24.0,28.0,10.0,69.0,20.0,29.0,2.46,0.71,0.1,0.35,16.4,2.0,3.0,3.0,9.2,6.8,0.1,0.8,0.2,339.0,568.0,59.7,4539.0,967.0,192.0,278.0,69.1,96.0,141.0,68.1,15.0,41.0,36.6,5.0,3.6,2.1,1.4,29.0,21.0,13.0,1.0,42.0,568.0,556.0,8.0,1.0,3.0,3.0,38.0,2.0,0.0,0.0,0.0,0.0,339.0,4.0,29.0,69.0,2.46,45.0,0.0,3.0,9.0,11.0,1.0,9.0,0.32,5.0,0.0,0.0,3.0,1.0,0.0,40.0,23.0,18.0,15.0,7.0,15.0,31.0,48.4,16.0,42.0,4.0,38.0,12.0,52.0,34.0,0.0,999.0,37.0,137.0,347.0,536.0,135.0,996.0,82.0,40.0,48.8,41.0,50.0,576.0,3374.0,1271.0,44.0,26.0,16.0,93.0,54.0,658.0,146.0,30,2523.0,84.0,73.8,28.0,28,88.0,21,2,34.0,0,1.13,33.0,46.0,-13.0,-0.46,0.54,29.6,38.5,-8.9,-0.32,0.21,9.0,0.0,0.0,36.0,68.0,21.0,38.0,12.0,23.0,1.0,0.0,0.0,114.0,66.0,155.0,29.9
Demarai Gray,eng ENG,"MF,FW",25.0,26.0,5.0,65.0,17.0,26.2,2.5,0.65,0.08,0.29,20.5,4.0,0.0,0.0,4.0,4.0,0.06,1.0,1.0,555.0,769.0,72.2,9290.0,2076.0,277.0,315.0,87.9,182.0,246.0,74.0,65.0,129.0,50.4,4.0,3.6,3.5,0.4,41.0,23.0,23.0,7.0,59.0,769.0,662.0,106.0,31.0,3.0,5.0,129.0,6.0,56.0,29.0,24.0,0.0,555.0,1.0,31.0,88.0,3.39,50.0,15.0,11.0,7.0,5.0,0.0,5.0,0.19,3.0,1.0,0.0,1.0,0.0,0.0,30.0,19.0,13.0,10.0,7.0,10.0,22.0,45.5,12.0,30.0,2.0,28.0,15.0,45.0,21.0,1.0,1093.0,18.0,117.0,377.0,624.0,87.0,1093.0,106.0,55.0,51.9,50.0,47.2,655.0,5185.0,2405.0,93.0,59.0,38.0,70.0,36.0,717.0,169.0,34,2338.0,69.0,68.4,26.0,28,79.0,9,6,20.0,0,1.03,30.0,39.0,-9.0,-0.35,0.82,27.9,32.1,-4.2,-0.16,0.67,3.0,0.0,0.0,12.0,32.0,3.0,129.0,15.0,19.0,0.0,0.0,0.0,100.0,4.0,31.0,11.4
Anthony Gordon,eng ENG,"MF,FW",20.0,25.4,4.0,44.0,18.0,40.9,1.73,0.71,0.09,0.22,18.8,5.0,0.0,0.0,3.5,3.5,0.08,0.5,0.5,482.0,743.0,64.9,6816.0,1929.0,265.0,340.0,77.9,151.0,224.0,67.4,28.0,92.0,30.4,2.0,3.8,3.1,-1.8,35.0,27.0,21.0,8.0,51.0,743.0,649.0,89.0,25.0,2.0,3.0,119.0,6.0,50.0,26.0,18.0,0.0,482.0,5.0,28.0,77.0,3.03,38.0,14.0,6.0,3.0,14.0,2.0,5.0,0.2,1.0,2.0,0.0,0.0,2.0,0.0,54.0,32.0,20.0,30.0,4.0,21.0,59.0,35.6,38.0,49.0,3.0,46.0,22.0,76.0,17.0,0.0,1116.0,21.0,163.0,386.0,592.0,78.0,1116.0,80.0,38.0,47.5,42.0,52.5,602.0,4905.0,2291.0,74.0,53.0,31.0,74.0,37.0,674.0,137.0,35,2285.0,65.0,66.8,25.4,25,83.0,14,10,20.0,2,0.91,24.0,40.0,-16.0,-0.63,-0.08,26.5,33.8,-7.4,-0.29,0.25,4.0,0.0,0.0,25.0,64.0,8.0,119.0,22.0,32.0,2.0,0.0,0.0,116.0,17.0,38.0,30.9
Allan,br BRA,MF,30.0,24.3,0.0,7.0,3.0,42.9,0.29,0.12,0.0,0.0,24.5,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,778.0,982.0,79.2,12868.0,4192.0,356.0,405.0,87.9,337.0,402.0,83.8,57.0,102.0,55.9,2.0,0.8,1.0,1.2,15.0,103.0,20.0,3.0,130.0,982.0,912.0,66.0,19.0,1.0,2.0,10.0,10.0,0.0,0.0,0.0,0.0,778.0,4.0,26.0,38.0,1.57,35.0,0.0,1.0,0.0,1.0,1.0,7.0,0.29,5.0,0.0,1.0,0.0,1.0,0.0,74.0,44.0,28.0,39.0,7.0,34.0,105.0,32.4,71.0,40.0,9.0,31.0,23.0,97.0,39.0,1.0,1259.0,77.0,324.0,763.0,191.0,7.0,1259.0,31.0,21.0,67.7,10.0,32.3,650.0,3118.0,1603.0,26.0,24.0,4.0,38.0,24.0,672.0,18.0,28,2183.0,78.0,63.8,24.3,25,85.0,17,3,23.0,5,1.14,26.0,38.0,-12.0,-0.49,0.31,27.5,32.8,-5.4,-0.22,0.42,7.0,1.0,0.0,30.0,22.0,0.0,10.0,23.0,44.0,1.0,0.0,0.0,191.0,11.0,15.0,42.3
Mason Holgate,eng ENG,DF,24.0,23.7,2.0,7.0,2.0,28.6,0.3,0.08,0.29,1.0,9.8,0.0,0.0,0.0,1.3,1.3,0.19,0.7,0.7,584.0,876.0,66.7,12159.0,4600.0,192.0,260.0,73.8,289.0,368.0,78.5,94.0,213.0,44.1,1.0,0.1,0.3,0.9,3.0,43.0,2.0,0.0,40.0,876.0,805.0,68.0,42.0,0.0,16.0,4.0,26.0,0.0,0.0,0.0,0.0,584.0,3.0,11.0,5.0,0.21,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,35.0,18.0,26.0,9.0,0.0,11.0,26.0,42.3,15.0,25.0,17.0,8.0,26.0,61.0,95.0,1.0,1091.0,156.0,546.0,495.0,58.0,14.0,1091.0,4.0,2.0,50.0,2.0,50.0,477.0,2469.0,1334.0,4.0,7.0,1.0,3.0,7.0,507.0,2.0,25,2134.0,85.0,62.4,23.7,23,90.0,22,2,34.0,10,1.08,29.0,42.0,-13.0,-0.55,0.15,26.2,36.4,-10.2,-0.43,-0.15,7.0,1.0,0.0,26.0,15.0,0.0,4.0,26.0,18.0,0.0,0.0,1.0,105.0,61.0,31.0,66.3
Ben Godfrey,eng ENG,DF,23.0,22.5,0.0,18.0,6.0,33.3,0.8,0.27,0.0,0.0,17.2,0.0,0.0,0.0,1.4,1.4,0.08,-1.4,-1.4,611.0,808.0,75.6,10370.0,3667.0,277.0,335.0,82.7,285.0,354.0,80.5,36.0,79.0,45.6,0.0,0.8,0.7,-0.8,12.0,47.0,13.0,4.0,67.0,808.0,705.0,102.0,12.0,0.0,0.0,12.0,90.0,0.0,0.0,0.0,0.0,611.0,1.0,18.0,32.0,1.42,25.0,2.0,1.0,2.0,0.0,2.0,2.0,0.09,1.0,0.0,0.0,1.0,0.0,0.0,47.0,32.0,29.0,14.0,4.0,24.0,39.0,61.5,15.0,41.0,19.0,22.0,15.0,62.0,100.0,2.0,1080.0,141.0,499.0,443.0,148.0,23.0,1080.0,12.0,9.0,75.0,3.0,25.0,456.0,2466.0,1280.0,23.0,24.0,0.0,24.0,4.0,521.0,26.0,23,2029.0,88.0,59.3,22.5,23,88.0,21,0,,1,0.83,21.0,39.0,-18.0,-0.8,-0.47,23.2,32.4,-9.1,-0.41,-0.08,6.0,0.0,0.0,17.0,12.0,0.0,12.0,15.0,32.0,0.0,0.0,0.0,94.0,36.0,43.0,45.6
