player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Teemu Pukki,fi FIN,FW,31.0,36.1,11.0,68.0,24.0,35.3,1.88,0.66,0.12,0.33,15.2,0.0,3.0,3.0,11.4,9.1,0.13,-0.4,-1.1,399.0,540.0,73.9,5175.0,838.0,257.0,308.0,83.4,94.0,124.0,75.8,19.0,27.0,70.4,3.0,3.8,2.9,-0.8,27.0,21.0,6.0,1.0,34.0,540.0,444.0,95.0,0.0,2.0,2.0,13.0,2.0,0.0,0.0,0.0,0.0,399.0,1.0,22.0,63.0,1.74,40.0,0.0,8.0,3.0,12.0,0.0,4.0,0.11,3.0,0.0,0.0,0.0,1.0,0.0,23.0,11.0,2.0,14.0,7.0,6.0,29.0,20.7,23.0,21.0,1.0,20.0,4.0,27.0,3.0,0.0,816.0,8.0,42.0,370.0,416.0,149.0,813.0,60.0,27.0,45.0,33.0,55.0,429.0,2777.0,1282.0,62.0,27.0,35.0,71.0,42.0,511.0,186.0,37,3253.0,88.0,95.1,36.1,37,88.0,29,0,,0,0.59,22.0,79.0,-57.0,-1.58,0.58,29.8,72.1,-42.4,-1.17,-0.76,4.0,0.0,0.0,31.0,25.0,12.0,13.0,4.0,11.0,1.0,0.0,0.0,76.0,15.0,73.0,17.0
Grant Hanley,sct SCO,DF,29.0,32.2,1.0,20.0,4.0,20.0,0.62,0.12,0.05,0.25,9.2,0.0,0.0,0.0,2.1,2.1,0.11,-1.1,-1.1,1089.0,1310.0,83.1,20556.0,6269.0,381.0,445.0,85.6,590.0,650.0,90.8,101.0,183.0,55.2,0.0,0.9,0.4,-0.9,6.0,23.0,3.0,0.0,27.0,1310.0,1250.0,60.0,60.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1089.0,0.0,6.0,14.0,0.43,9.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,25.0,28.0,14.0,2.0,18.0,35.0,51.4,17.0,56.0,45.0,11.0,56.0,100.0,176.0,2.0,1702.0,369.0,1104.0,552.0,53.0,35.0,1702.0,3.0,1.0,33.3,2.0,66.7,850.0,3128.0,1390.0,2.0,5.0,0.0,9.0,1.0,942.0,3.0,33,2897.0,88.0,84.7,32.2,33,88.0,31,0,,0,0.58,20.0,70.0,-50.0,-1.55,0.34,26.9,62.1,-35.2,-1.09,0.28,2.0,0.0,0.0,22.0,22.0,2.0,0.0,56.0,25.0,0.0,0.0,0.0,121.0,102.0,33.0,75.6
Max Aarons,eng ENG,DF,21.0,32.0,0.0,13.0,2.0,15.4,0.41,0.06,0.0,0.0,19.9,0.0,0.0,0.0,0.8,0.8,0.06,-0.8,-0.8,1107.0,1469.0,75.4,16588.0,6133.0,645.0,713.0,90.5,383.0,511.0,75.0,57.0,160.0,35.6,2.0,1.7,1.7,0.3,20.0,50.0,37.0,9.0,117.0,1469.0,1130.0,332.0,17.0,5.0,4.0,50.0,315.0,0.0,0.0,0.0,0.0,1107.0,7.0,40.0,46.0,1.44,34.0,3.0,2.0,3.0,3.0,1.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,64.0,44.0,49.0,15.0,0.0,37.0,55.0,67.3,18.0,39.0,19.0,20.0,28.0,92.0,96.0,1.0,1841.0,160.0,721.0,703.0,440.0,23.0,1841.0,68.0,34.0,50.0,34.0,50.0,953.0,6454.0,3377.0,78.0,47.0,12.0,38.0,23.0,1030.0,85.0,34,2881.0,85.0,84.2,32.0,32,89.0,29,2,22.0,2,0.53,18.0,69.0,-51.0,-1.59,0.08,25.5,60.0,-34.6,-1.08,0.35,8.0,0.0,0.0,27.0,52.0,1.0,50.0,28.0,44.0,0.0,2.0,1.0,154.0,13.0,50.0,20.6
Kenny McLean,sct SCO,MF,29.0,30.1,1.0,33.0,6.0,18.2,1.1,0.2,0.03,0.17,20.4,0.0,0.0,0.0,1.8,1.8,0.05,-0.8,-0.8,786.0,1090.0,72.1,13086.0,4130.0,390.0,488.0,79.9,301.0,386.0,78.0,71.0,143.0,49.7,0.0,0.8,1.0,-0.8,10.0,73.0,21.0,0.0,99.0,1090.0,1054.0,31.0,15.0,4.0,11.0,37.0,13.0,1.0,1.0,0.0,0.0,786.0,5.0,25.0,41.0,1.36,34.0,3.0,0.0,3.0,0.0,1.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,42.0,22.0,18.0,20.0,4.0,17.0,59.0,28.8,42.0,29.0,7.0,22.0,34.0,76.0,54.0,0.0,1387.0,71.0,363.0,715.0,328.0,44.0,1387.0,30.0,19.0,63.3,11.0,36.7,776.0,3976.0,1631.0,32.0,25.0,4.0,41.0,14.0,903.0,61.0,31,2706.0,87.0,79.1,30.1,29,89.0,27,2,58.0,1,0.58,20.0,62.0,-42.0,-1.4,1.0,25.9,61.3,-35.5,-1.18,-0.21,3.0,0.0,0.0,16.0,38.0,3.0,37.0,34.0,22.0,0.0,1.0,0.0,149.0,68.0,72.0,48.6
Tim Krul,nl NED,GK,33.0,29.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,759.0,1073.0,70.7,21441.0,14060.0,104.0,105.0,99.0,370.0,382.0,96.9,284.0,583.0,48.7,0.0,0.6,0.5,-0.6,1.0,7.0,1.0,0.0,1.0,1073.0,741.0,330.0,106.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,759.0,2.0,0.0,6.0,0.21,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,25.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0,4.0,1149.0,953.0,1128.0,21.0,1.0,0.0,1149.0,0.0,0.0,,0.0,,621.0,3149.0,2036.0,0.0,0.0,0.0,1.0,0.0,506.0,0.0,29,2610.0,90.0,76.3,29.0,29,90.0,29,0,,3,0.59,17.0,62.0,-45.0,-1.55,0.23,26.1,55.0,-28.8,-0.99,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,19.0,7.0,3.0,70.0
Ben Gibson,eng ENG,DF,28.0,27.7,0.0,8.0,4.0,50.0,0.29,0.14,0.0,0.0,10.6,0.0,0.0,0.0,1.4,1.4,0.17,-1.4,-1.4,1117.0,1382.0,80.8,22279.0,9598.0,361.0,400.0,90.3,627.0,688.0,91.1,121.0,268.0,45.1,0.0,0.2,0.3,-0.2,3.0,74.0,5.0,0.0,68.0,1382.0,1319.0,57.0,47.0,0.0,10.0,1.0,9.0,0.0,0.0,0.0,0.0,1117.0,6.0,11.0,14.0,0.51,13.0,0.0,0.0,1.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,23.0,16.0,17.0,6.0,0.0,7.0,12.0,58.3,5.0,36.0,30.0,6.0,27.0,50.0,139.0,2.0,1640.0,336.0,1009.0,591.0,46.0,22.0,1640.0,7.0,5.0,71.4,2.0,28.6,966.0,4380.0,2686.0,11.0,8.0,0.0,6.0,2.0,1071.0,0.0,28,2494.0,89.0,72.9,27.7,28,89.0,27,0,,7,0.79,20.0,55.0,-35.0,-1.26,1.26,24.2,52.2,-28.0,-1.01,0.46,5.0,1.0,1.0,12.0,9.0,0.0,1.0,27.0,16.0,0.0,3.0,0.0,108.0,52.0,39.0,57.1
Pierre Lees-Melou,fr FRA,MF,28.0,25.2,1.0,33.0,9.0,27.3,1.31,0.36,0.03,0.11,24.5,0.0,0.0,0.0,1.6,1.6,0.05,-0.6,-0.6,807.0,1033.0,78.1,13876.0,4105.0,413.0,483.0,85.5,252.0,299.0,84.3,107.0,169.0,63.3,0.0,1.9,2.4,-1.9,25.0,81.0,26.0,9.0,114.0,1033.0,1012.0,20.0,8.0,7.0,28.0,33.0,9.0,1.0,1.0,0.0,0.0,807.0,1.0,24.0,55.0,2.18,48.0,1.0,1.0,1.0,1.0,3.0,2.0,0.08,1.0,0.0,0.0,0.0,1.0,0.0,58.0,36.0,23.0,29.0,6.0,25.0,92.0,27.2,67.0,37.0,11.0,26.0,25.0,83.0,23.0,0.0,1265.0,76.0,360.0,616.0,308.0,23.0,1265.0,30.0,19.0,63.3,11.0,36.7,742.0,3433.0,1533.0,33.0,26.0,6.0,27.0,17.0,822.0,60.0,33,2265.0,69.0,66.2,25.2,27,79.0,15,6,21.0,4,0.55,17.0,55.0,-38.0,-1.51,0.28,21.9,51.5,-29.6,-1.18,-0.12,5.0,0.0,0.0,35.0,23.0,2.0,33.0,25.0,36.0,1.0,0.0,0.0,181.0,14.0,15.0,48.3
Milot Rashica,xk KVX,"FW,MF",25.0,24.8,1.0,44.0,17.0,38.6,1.78,0.69,0.02,0.06,22.3,7.0,0.0,0.0,2.6,2.6,0.06,-1.6,-1.6,363.0,602.0,60.3,6213.0,1883.0,190.0,240.0,79.2,117.0,207.0,56.5,45.0,105.0,42.9,2.0,2.1,2.4,-0.1,36.0,33.0,20.0,8.0,46.0,602.0,521.0,78.0,23.0,3.0,6.0,128.0,12.0,43.0,22.0,15.0,0.0,363.0,3.0,15.0,68.0,2.74,37.0,14.0,5.0,4.0,6.0,2.0,5.0,0.2,4.0,1.0,0.0,0.0,0.0,0.0,31.0,19.0,12.0,12.0,7.0,11.0,30.0,36.7,19.0,22.0,3.0,19.0,15.0,46.0,23.0,0.0,911.0,38.0,178.0,318.0,434.0,59.0,911.0,73.0,16.0,21.9,57.0,78.1,526.0,3977.0,2046.0,76.0,44.0,21.0,68.0,38.0,558.0,138.0,31,2229.0,72.0,65.2,24.8,25,83.0,11,6,27.0,1,0.65,21.0,56.0,-35.0,-1.41,0.55,21.3,52.1,-30.8,-1.24,-0.31,0.0,0.0,0.0,23.0,47.0,13.0,128.0,15.0,19.0,0.0,0.0,0.0,110.0,12.0,28.0,30.0
Brandon Williams,eng ENG,DF,20.0,23.6,0.0,4.0,1.0,25.0,0.17,0.04,0.0,0.0,21.2,0.0,0.0,0.0,0.2,0.2,0.06,-0.2,-0.2,899.0,1130.0,79.6,14660.0,5198.0,454.0,524.0,86.6,371.0,460.0,80.7,62.0,106.0,58.5,1.0,1.9,1.4,-0.9,21.0,48.0,19.0,3.0,90.0,1130.0,927.0,197.0,21.0,4.0,7.0,14.0,176.0,0.0,0.0,0.0,0.0,899.0,6.0,14.0,44.0,1.87,35.0,1.0,1.0,0.0,5.0,2.0,2.0,0.08,1.0,0.0,0.0,0.0,0.0,1.0,55.0,37.0,35.0,18.0,2.0,36.0,64.0,56.3,28.0,26.0,6.0,20.0,44.0,99.0,50.0,0.0,1415.0,110.0,524.0,594.0,318.0,30.0,1415.0,39.0,20.0,51.3,19.0,48.7,784.0,5226.0,2711.0,57.0,47.0,9.0,39.0,17.0,781.0,58.0,26,2120.0,82.0,62.0,23.6,23,88.0,19,3,32.0,6,0.69,16.0,52.0,-36.0,-1.53,0.2,19.4,49.3,-29.9,-1.27,-0.35,8.0,0.0,0.0,23.0,44.0,0.0,14.0,44.0,37.0,0.0,0.0,0.0,158.0,14.0,17.0,45.2
Billy Gilmour,sct SCO,MF,20.0,20.6,0.0,18.0,3.0,16.7,0.87,0.15,0.0,0.0,23.3,2.0,0.0,0.0,0.9,0.9,0.05,-0.9,-0.9,991.0,1243.0,79.7,18498.0,5588.0,456.0,514.0,88.7,357.0,419.0,85.2,152.0,258.0,58.9,1.0,1.4,1.9,-0.4,25.0,94.0,17.0,3.0,112.0,1243.0,1110.0,130.0,41.0,2.0,22.0,98.0,6.0,64.0,25.0,36.0,2.0,991.0,3.0,15.0,55.0,2.67,30.0,23.0,0.0,2.0,0.0,0.0,2.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,41.0,21.0,16.0,21.0,4.0,14.0,52.0,26.9,38.0,21.0,4.0,17.0,17.0,58.0,29.0,0.0,1423.0,44.0,359.0,778.0,301.0,5.0,1423.0,22.0,15.0,68.2,7.0,31.8,841.0,4409.0,1888.0,30.0,23.0,0.0,29.0,11.0,958.0,17.0,24,1855.0,77.0,54.2,20.6,21,86.0,15,3,16.0,7,0.33,8.0,52.0,-44.0,-2.13,-1.16,17.8,44.5,-26.6,-1.29,-0.34,2.0,0.0,0.0,28.0,21.0,1.0,98.0,17.0,21.0,0.0,1.0,0.0,124.0,13.0,20.0,39.4
