player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
James Ward-Prowse,eng ENG,MF,26.0,35.7,10.0,51.0,20.0,39.2,1.43,0.56,0.12,0.3,27.9,23.0,4.0,4.0,5.4,2.2,0.04,4.6,3.8,1657.0,2137.0,77.5,27629.0,9209.0,813.0,880.0,92.4,635.0,760.0,83.6,156.0,390.0,40.0,5.0,6.5,6.3,-1.5,71.0,169.0,16.0,10.0,189.0,2137.0,1802.0,330.0,103.0,5.0,15.0,302.0,3.0,212.0,101.0,95.0,4.0,1657.0,5.0,25.0,132.0,3.7,71.0,53.0,0.0,5.0,0.0,3.0,7.0,0.2,3.0,4.0,0.0,0.0,0.0,0.0,41.0,24.0,12.0,24.0,5.0,19.0,70.0,27.1,51.0,43.0,15.0,28.0,40.0,81.0,45.0,1.0,2438.0,77.0,415.0,1288.0,748.0,20.0,2434.0,20.0,12.0,60.0,8.0,40.0,1070.0,3992.0,1726.0,21.0,29.0,3.0,20.0,25.0,1362.0,42.0,36,3215.0,89.0,94.0,35.7,36,89.0,34,0,,0,1.0,40.0,63.0,-23.0,-0.64,-0.2,41.3,57.0,-15.7,-0.44,-0.65,3.0,1.0,0.0,22.0,15.0,0.0,302.0,40.0,24.0,0.0,0.0,0.0,259.0,27.0,34.0,44.3
Oriol Romeu,es ESP,MF,29.0,32.1,2.0,24.0,4.0,16.7,0.75,0.12,0.08,0.5,22.4,0.0,0.0,0.0,1.4,1.4,0.06,0.6,0.6,1377.0,1691.0,81.4,23235.0,6190.0,676.0,787.0,85.9,535.0,614.0,87.1,133.0,198.0,67.2,2.0,2.9,2.5,-0.9,37.0,148.0,23.0,3.0,156.0,1691.0,1657.0,29.0,29.0,7.0,20.0,13.0,0.0,0.0,0.0,0.0,0.0,1377.0,5.0,23.0,74.0,2.31,70.0,0.0,2.0,0.0,0.0,2.0,4.0,0.12,4.0,0.0,0.0,0.0,0.0,0.0,77.0,39.0,25.0,45.0,7.0,28.0,73.0,38.4,45.0,39.0,8.0,31.0,51.0,128.0,43.0,0.0,2016.0,82.0,431.0,1224.0,382.0,51.0,2016.0,40.0,30.0,75.0,10.0,25.0,1036.0,5261.0,2652.0,38.0,45.0,7.0,41.0,16.0,1243.0,29.0,36,2889.0,80.0,84.5,32.1,34,84.0,21,2,14.0,1,1.08,40.0,52.0,-12.0,-0.37,1.66,39.4,47.5,-8.1,-0.25,0.96,9.0,0.0,0.0,46.0,24.0,0.0,13.0,51.0,39.0,0.0,0.0,0.0,259.0,67.0,47.0,58.8
Mohammed Salisu,gh GHA,DF,22.0,33.0,0.0,24.0,9.0,37.5,0.73,0.27,0.0,0.0,12.2,0.0,0.0,0.0,2.0,2.0,0.08,-2.0,-2.0,1388.0,1851.0,75.0,24582.0,11429.0,582.0,672.0,86.6,664.0,829.0,80.1,116.0,280.0,41.4,0.0,0.8,0.7,-0.8,9.0,150.0,5.0,2.0,136.0,1851.0,1707.0,142.0,44.0,0.0,10.0,13.0,94.0,0.0,0.0,0.0,0.0,1388.0,2.0,22.0,34.0,1.03,29.0,1.0,0.0,3.0,0.0,1.0,5.0,0.15,3.0,0.0,0.0,1.0,0.0,1.0,80.0,47.0,54.0,22.0,4.0,40.0,65.0,61.5,25.0,49.0,26.0,23.0,78.0,158.0,158.0,4.0,2285.0,277.0,1038.0,1069.0,194.0,35.0,2285.0,16.0,13.0,81.3,3.0,18.8,1135.0,6254.0,3429.0,31.0,20.0,0.0,16.0,10.0,1216.0,7.0,34,2972.0,87.0,86.9,33.0,33,88.0,32,1,54.0,2,1.09,42.0,57.0,-15.0,-0.45,1.35,41.2,49.8,-8.6,-0.26,1.06,10.0,1.0,1.0,38.0,7.0,2.0,13.0,78.0,47.0,0.0,1.0,1.0,244.0,101.0,60.0,62.7
Jan Bednarek,pl POL,DF,25.0,29.2,4.0,19.0,7.0,36.8,0.65,0.24,0.21,0.57,8.9,0.0,0.0,0.0,2.2,2.2,0.12,1.8,1.8,1201.0,1490.0,80.6,22224.0,8000.0,462.0,523.0,88.3,597.0,693.0,86.1,117.0,231.0,50.6,0.0,0.4,0.7,-0.4,6.0,81.0,1.0,1.0,61.0,1490.0,1399.0,90.0,45.0,0.0,6.0,1.0,43.0,0.0,0.0,0.0,0.0,1201.0,1.0,5.0,22.0,0.75,16.0,3.0,0.0,1.0,0.0,2.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,32.0,15.0,18.0,13.0,1.0,19.0,33.0,57.6,14.0,48.0,27.0,21.0,72.0,104.0,141.0,0.0,1828.0,206.0,865.0,904.0,72.0,33.0,1828.0,1.0,1.0,100.0,0.0,0.0,873.0,3515.0,1642.0,0.0,8.0,0.0,7.0,4.0,993.0,5.0,31,2629.0,85.0,76.9,29.2,30,86.0,26,1,45.0,6,1.16,33.0,52.0,-19.0,-0.65,-0.08,34.8,45.0,-10.2,-0.35,0.22,10.0,0.0,0.0,30.0,15.0,1.0,1.0,72.0,15.0,0.0,1.0,1.0,177.0,91.0,38.0,70.5
Kyle Walker-Peters,eng ENG,DF,24.0,29.3,1.0,26.0,7.0,26.9,0.89,0.24,0.04,0.14,18.6,0.0,0.0,0.0,1.1,1.1,0.04,-0.1,-0.1,1071.0,1368.0,78.3,16094.0,5790.0,606.0,686.0,88.3,368.0,470.0,78.3,65.0,113.0,57.5,2.0,2.7,3.4,-0.7,24.0,64.0,36.0,1.0,147.0,1368.0,1125.0,240.0,13.0,2.0,3.0,50.0,227.0,0.0,0.0,0.0,0.0,1071.0,3.0,42.0,70.0,2.39,49.0,0.0,9.0,3.0,7.0,2.0,9.0,0.31,5.0,0.0,1.0,0.0,2.0,1.0,57.0,33.0,28.0,21.0,8.0,26.0,38.0,68.4,12.0,29.0,8.0,21.0,37.0,94.0,53.0,1.0,1715.0,86.0,427.0,714.0,608.0,76.0,1715.0,95.0,64.0,67.4,31.0,32.6,941.0,6571.0,3883.0,134.0,92.0,33.0,42.0,43.0,981.0,165.0,32,2633.0,82.0,77.0,29.3,29,89.0,27,3,16.0,5,1.0,33.0,49.0,-16.0,-0.55,0.37,34.7,45.5,-10.7,-0.37,0.15,5.0,0.0,0.0,27.0,47.0,3.0,50.0,37.0,33.0,0.0,0.0,0.0,187.0,27.0,28.0,49.1
Valentino Livramento,eng ENG,DF,18.0,24.5,1.0,12.0,3.0,25.0,0.49,0.12,0.08,0.33,15.9,0.0,0.0,0.0,1.4,1.4,0.12,-0.4,-0.4,864.0,1166.0,74.1,12649.0,4429.0,507.0,587.0,86.4,281.0,388.0,72.4,43.0,106.0,40.6,1.0,2.7,2.7,-1.7,20.0,44.0,27.0,8.0,80.0,1166.0,952.0,213.0,16.0,2.0,3.0,62.0,197.0,0.0,0.0,0.0,0.0,864.0,1.0,26.0,44.0,1.8,37.0,0.0,2.0,1.0,3.0,1.0,3.0,0.12,1.0,0.0,1.0,0.0,1.0,0.0,54.0,28.0,30.0,18.0,6.0,27.0,45.0,60.0,18.0,23.0,9.0,14.0,47.0,101.0,50.0,1.0,1486.0,74.0,407.0,675.0,441.0,47.0,1486.0,55.0,30.0,54.5,25.0,45.5,742.0,5095.0,2722.0,79.0,54.0,16.0,52.0,19.0,763.0,118.0,28,2202.0,79.0,64.4,24.5,25,87.0,22,3,10.0,0,1.14,25.0,42.0,-17.0,-0.69,-0.18,31.6,35.1,-3.5,-0.14,0.73,2.0,0.0,0.0,12.0,36.0,1.0,62.0,47.0,28.0,1.0,0.0,0.0,176.0,24.0,25.0,49.0
Mohamed Elyounoussi,no NOR,"MF,FW",26.0,22.7,4.0,43.0,17.0,39.5,1.9,0.75,0.09,0.24,14.7,0.0,0.0,0.0,5.5,5.5,0.14,-1.5,-1.5,432.0,638.0,67.7,5864.0,1378.0,279.0,367.0,76.0,118.0,168.0,70.2,15.0,38.0,39.5,2.0,2.3,2.1,-0.3,28.0,39.0,19.0,3.0,81.0,638.0,629.0,6.0,1.0,5.0,1.0,29.0,2.0,1.0,0.0,0.0,0.0,432.0,3.0,24.0,57.0,2.51,42.0,0.0,5.0,6.0,3.0,1.0,6.0,0.26,3.0,0.0,0.0,3.0,0.0,0.0,36.0,17.0,14.0,15.0,7.0,11.0,39.0,28.2,28.0,23.0,2.0,21.0,12.0,48.0,28.0,0.0,933.0,37.0,133.0,370.0,443.0,84.0,933.0,45.0,28.0,62.2,17.0,37.8,485.0,3240.0,1513.0,59.0,52.0,13.0,63.0,38.0,594.0,124.0,30,2042.0,68.0,59.7,22.7,23,82.0,12,7,23.0,5,1.1,24.0,35.0,-11.0,-0.48,0.36,29.7,32.7,-3.0,-0.13,0.67,4.0,0.0,0.0,28.0,18.0,1.0,29.0,12.0,17.0,0.0,0.0,0.0,82.0,38.0,46.0,45.2
Che Adams,sct SCO,FW,25.0,22.7,7.0,49.0,24.0,49.0,2.16,1.06,0.14,0.29,13.3,0.0,0.0,0.0,7.1,7.1,0.15,-0.1,-0.1,304.0,472.0,64.4,4188.0,1017.0,188.0,256.0,73.4,73.0,106.0,68.9,18.0,34.0,52.9,3.0,3.0,1.7,0.0,26.0,24.0,10.0,0.0,33.0,472.0,468.0,2.0,0.0,4.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,304.0,2.0,22.0,51.0,2.25,32.0,0.0,2.0,4.0,11.0,2.0,5.0,0.22,3.0,0.0,1.0,0.0,0.0,1.0,13.0,6.0,5.0,5.0,3.0,2.0,16.0,12.5,14.0,18.0,2.0,16.0,8.0,21.0,18.0,0.0,712.0,22.0,81.0,293.0,344.0,94.0,712.0,35.0,20.0,57.1,15.0,42.9,394.0,1804.0,651.0,19.0,13.0,13.0,59.0,34.0,537.0,153.0,30,2039.0,68.0,59.6,22.7,23,82.0,13,7,22.0,4,1.03,25.0,40.0,-15.0,-0.66,-0.08,28.5,36.1,-7.7,-0.34,0.16,0.0,0.0,0.0,29.0,40.0,7.0,8.0,8.0,6.0,0.0,0.0,0.0,70.0,61.0,91.0,40.1
Armando Broja,al ALB,FW,19.0,21.9,6.0,45.0,19.0,42.2,2.05,0.87,0.13,0.32,13.0,0.0,0.0,0.0,5.9,5.9,0.13,0.1,0.1,243.0,404.0,60.1,2594.0,572.0,167.0,249.0,67.1,48.0,87.0,55.2,1.0,7.0,14.3,0.0,1.0,0.3,-1.0,10.0,13.0,2.0,0.0,29.0,404.0,402.0,2.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,13.0,38.0,1.73,19.0,0.0,7.0,7.0,4.0,1.0,4.0,0.18,0.0,0.0,2.0,0.0,2.0,0.0,12.0,5.0,2.0,7.0,3.0,2.0,9.0,22.2,7.0,17.0,1.0,16.0,3.0,15.0,11.0,0.0,673.0,15.0,51.0,278.0,360.0,101.0,673.0,70.0,33.0,47.1,37.0,52.9,364.0,2447.0,1247.0,56.0,28.0,33.0,68.0,50.0,488.0,114.0,32,1975.0,62.0,57.7,21.9,21,82.0,6,11,24.0,0,1.13,26.0,37.0,-11.0,-0.5,0.31,28.6,31.5,-3.0,-0.14,0.63,2.0,0.0,0.0,29.0,26.0,13.0,8.0,3.0,5.0,1.0,0.0,0.0,81.0,88.0,166.0,34.6
Nathan Redmond,eng ENG,"MF,FW",27.0,20.4,1.0,26.0,9.0,34.6,1.28,0.44,0.04,0.11,21.2,1.0,0.0,0.0,1.7,1.7,0.07,-0.7,-0.7,510.0,735.0,69.4,7900.0,2509.0,277.0,338.0,82.0,172.0,247.0,69.6,37.0,92.0,40.2,5.0,3.9,3.1,1.1,34.0,38.0,44.0,13.0,95.0,735.0,699.0,34.0,1.0,7.0,4.0,60.0,3.0,13.0,5.0,7.0,0.0,510.0,2.0,18.0,73.0,3.58,62.0,4.0,0.0,5.0,2.0,0.0,8.0,0.39,6.0,1.0,0.0,0.0,1.0,0.0,22.0,14.0,9.0,9.0,4.0,7.0,30.0,23.3,23.0,21.0,2.0,19.0,8.0,30.0,16.0,0.0,925.0,24.0,136.0,353.0,450.0,46.0,925.0,39.0,21.0,53.8,18.0,46.2,524.0,3452.0,1745.0,71.0,46.0,17.0,28.0,15.0,602.0,131.0,27,1833.0,68.0,53.6,20.4,20,84.0,14,7,21.0,3,0.93,25.0,33.0,-8.0,-0.39,0.51,23.3,30.9,-7.6,-0.37,0.06,0.0,0.0,0.0,16.0,15.0,3.0,60.0,8.0,14.0,0.0,0.0,0.0,102.0,13.0,32.0,28.9
