player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Hugo Lloris,fr FRA,GK,34.0,38.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,767.0,957.0,80.1,18629.0,12234.0,247.0,252.0,98.0,295.0,299.0,98.7,211.0,388.0,54.4,0.0,0.2,0.1,-0.2,2.0,15.0,1.0,0.0,0.0,957.0,629.0,325.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,767.0,3.0,1.0,6.0,0.16,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.08,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,1.0,2.0,24.0,3.0,1046.0,951.0,1043.0,3.0,0.0,0.0,1046.0,0.0,0.0,,0.0,,544.0,3199.0,1979.0,0.0,0.0,0.0,2.0,0.0,377.0,0.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.87,69.0,40.0,29.0,0.76,,61.2,39.3,21.9,0.58,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,28.0,12.0,2.0,85.7
Harry Kane,eng ENG,FW,28.0,35.9,17.0,129.0,49.0,38.0,3.59,1.36,0.1,0.27,17.3,8.0,4.0,4.0,18.6,15.4,0.12,-1.6,-2.4,637.0,945.0,67.4,11124.0,3759.0,305.0,397.0,76.8,197.0,283.0,69.6,91.0,140.0,65.0,9.0,9.1,5.5,-0.1,49.0,89.0,42.0,6.0,143.0,945.0,887.0,47.0,10.0,22.0,13.0,42.0,18.0,0.0,0.0,0.0,0.0,637.0,11.0,43.0,128.0,3.56,94.0,2.0,10.0,16.0,6.0,0.0,21.0,0.58,17.0,0.0,1.0,3.0,0.0,0.0,15.0,5.0,2.0,10.0,3.0,7.0,18.0,38.9,11.0,26.0,8.0,18.0,3.0,18.0,39.0,0.0,1387.0,51.0,137.0,632.0,639.0,170.0,1383.0,100.0,54.0,54.0,46.0,46.0,891.0,5061.0,2208.0,87.0,57.0,31.0,97.0,61.0,1095.0,212.0,37,3232.0,87.0,94.5,35.9,36,89.0,35,1,19.0,0,1.84,66.0,40.0,26.0,0.72,-0.71,58.2,36.2,22.0,0.61,0.63,5.0,0.0,0.0,42.0,54.0,16.0,42.0,3.0,5.0,0.0,0.0,0.0,92.0,75.0,81.0,48.1
Pierre Højbjerg,dk DEN,MF,25.0,35.5,2.0,31.0,10.0,32.3,0.87,0.28,0.06,0.2,22.2,1.0,0.0,0.0,1.9,1.9,0.06,0.1,0.1,2287.0,2570.0,89.0,37884.0,10800.0,1115.0,1199.0,93.0,877.0,961.0,91.3,194.0,269.0,72.1,2.0,2.3,2.9,-0.3,25.0,229.0,36.0,3.0,242.0,2570.0,2448.0,114.0,95.0,8.0,28.0,18.0,13.0,2.0,0.0,0.0,0.0,2287.0,8.0,10.0,86.0,2.42,71.0,3.0,6.0,1.0,1.0,4.0,7.0,0.2,7.0,0.0,0.0,0.0,0.0,0.0,78.0,45.0,31.0,38.0,9.0,38.0,85.0,44.7,47.0,61.0,13.0,48.0,48.0,126.0,54.0,0.0,2903.0,115.0,714.0,1776.0,444.0,30.0,2903.0,60.0,42.0,70.0,18.0,30.0,1765.0,8364.0,4032.0,46.0,42.0,7.0,32.0,22.0,2102.0,47.0,36,3196.0,89.0,93.5,35.5,36,89.0,33,0,,1,1.94,66.0,34.0,32.0,0.9,2.11,55.9,36.6,19.2,0.54,-0.55,3.0,0.0,0.0,28.0,39.0,0.0,18.0,48.0,45.0,0.0,0.0,0.0,281.0,23.0,19.0,54.8
Eric Dier,eng ENG,DF,27.0,34.1,0.0,13.0,4.0,30.8,0.38,0.12,0.0,0.0,14.4,4.0,0.0,0.0,1.2,1.2,0.09,-1.2,-1.2,2056.0,2341.0,87.8,39774.0,16697.0,680.0,719.0,94.6,1138.0,1216.0,93.6,211.0,351.0,60.1,0.0,1.1,1.1,-1.1,7.0,98.0,9.0,1.0,103.0,2341.0,2270.0,62.0,52.0,5.0,14.0,1.0,6.0,0.0,0.0,0.0,0.0,2056.0,9.0,7.0,30.0,0.88,25.0,0.0,0.0,4.0,0.0,1.0,5.0,0.15,3.0,0.0,0.0,2.0,0.0,0.0,15.0,9.0,6.0,8.0,1.0,7.0,14.0,50.0,7.0,37.0,32.0,5.0,27.0,42.0,142.0,1.0,2610.0,421.0,1452.0,1111.0,57.0,23.0,2610.0,2.0,1.0,50.0,1.0,50.0,1737.0,9384.0,5011.0,13.0,13.0,3.0,5.0,2.0,1971.0,6.0,35,3071.0,88.0,89.8,34.1,35,88.0,34,0,,0,1.94,64.0,30.0,34.0,1.0,2.29,55.6,32.6,22.9,0.67,0.93,1.0,0.0,0.0,12.0,9.0,0.0,1.0,27.0,9.0,0.0,0.0,1.0,131.0,70.0,54.0,56.5
Son Heung-min,kr KOR,"MF,FW",29.0,33.4,23.0,86.0,48.0,55.8,2.57,1.44,0.27,0.48,15.7,2.0,0.0,0.0,15.9,15.9,0.19,7.1,7.1,928.0,1219.0,76.1,12453.0,3148.0,569.0,623.0,91.3,239.0,316.0,75.6,48.0,151.0,31.8,7.0,7.5,5.6,-0.5,72.0,33.0,42.0,4.0,90.0,1219.0,1007.0,207.0,37.0,2.0,3.0,192.0,7.0,157.0,66.0,53.0,0.0,928.0,5.0,33.0,135.0,4.04,82.0,35.0,2.0,9.0,6.0,1.0,13.0,0.39,7.0,3.0,0.0,0.0,3.0,0.0,15.0,6.0,5.0,7.0,3.0,5.0,23.0,21.7,18.0,27.0,6.0,21.0,13.0,28.0,8.0,0.0,1545.0,15.0,146.0,564.0,867.0,146.0,1545.0,92.0,51.0,55.4,40.0,43.5,912.0,6351.0,3123.0,116.0,68.0,50.0,75.0,46.0,1078.0,242.0,35,3006.0,86.0,87.9,33.4,35,86.0,20,0,,0,1.94,65.0,30.0,35.0,1.05,2.35,54.7,32.4,22.3,0.67,0.74,2.0,0.0,0.0,14.0,36.0,17.0,192.0,13.0,6.0,2.0,0.0,0.0,144.0,16.0,35.0,31.4
Ben Davies,wls WAL,DF,28.0,28.2,1.0,18.0,7.0,38.9,0.64,0.25,0.06,0.14,17.1,0.0,0.0,0.0,2.3,2.3,0.13,-1.3,-1.3,1391.0,1648.0,84.4,22461.0,7504.0,696.0,757.0,91.9,602.0,681.0,88.4,68.0,137.0,49.6,1.0,0.5,0.9,0.5,11.0,112.0,14.0,3.0,137.0,1648.0,1567.0,80.0,34.0,1.0,19.0,19.0,46.0,0.0,0.0,0.0,0.0,1391.0,1.0,28.0,30.0,1.06,28.0,1.0,0.0,1.0,0.0,0.0,3.0,0.11,2.0,0.0,0.0,1.0,0.0,0.0,36.0,21.0,20.0,12.0,4.0,13.0,26.0,50.0,13.0,32.0,19.0,13.0,30.0,66.0,75.0,1.0,1888.0,140.0,727.0,906.0,266.0,31.0,1888.0,11.0,7.0,63.6,4.0,36.4,1211.0,7055.0,4295.0,62.0,61.0,0.0,22.0,10.0,1344.0,60.0,29,2538.0,88.0,74.2,28.2,28,90.0,26,1,31.0,8,1.83,57.0,30.0,27.0,0.96,0.75,50.0,27.9,22.1,0.78,0.8,6.0,0.0,0.0,31.0,18.0,5.0,19.0,30.0,21.0,0.0,1.0,0.0,106.0,67.0,52.0,56.3
Emerson,br BRA,"DF,MF",22.0,25.4,1.0,15.0,4.0,26.7,0.59,0.16,0.07,0.25,14.6,0.0,0.0,0.0,1.5,1.5,0.1,-0.5,-0.5,1170.0,1450.0,80.7,16330.0,4045.0,686.0,762.0,90.0,368.0,459.0,80.2,52.0,94.0,55.3,1.0,2.2,3.0,-1.2,28.0,32.0,28.0,14.0,68.0,1450.0,1194.0,254.0,16.0,1.0,2.0,74.0,238.0,0.0,0.0,0.0,0.0,1170.0,2.0,47.0,50.0,1.97,42.0,0.0,4.0,2.0,2.0,0.0,4.0,0.16,4.0,0.0,0.0,0.0,0.0,0.0,72.0,47.0,50.0,16.0,6.0,36.0,67.0,53.7,31.0,25.0,2.0,23.0,22.0,94.0,92.0,1.0,1765.0,98.0,579.0,666.0,530.0,56.0,1765.0,34.0,17.0,50.0,17.0,50.0,911.0,4344.0,2277.0,68.0,28.0,8.0,27.0,18.0,1019.0,175.0,31,2286.0,74.0,66.8,25.4,26,85.0,17,5,16.0,3,1.81,44.0,26.0,18.0,0.71,-0.16,41.2,24.2,17.0,0.67,0.28,5.0,0.0,0.0,28.0,45.0,2.0,74.0,22.0,47.0,0.0,0.0,0.0,152.0,33.0,42.0,44.0
Sergio Reguilón,es ESP,"DF,MF",24.0,21.3,2.0,21.0,9.0,42.9,0.99,0.42,0.1,0.22,15.2,0.0,0.0,0.0,3.0,3.0,0.14,-1.0,-1.0,750.0,994.0,75.5,11784.0,3362.0,394.0,453.0,87.0,271.0,355.0,76.3,54.0,99.0,54.5,3.0,3.3,3.8,-0.3,29.0,35.0,31.0,21.0,50.0,994.0,831.0,159.0,14.0,1.0,10.0,84.0,135.0,10.0,6.0,1.0,0.0,750.0,4.0,22.0,58.0,2.72,44.0,2.0,4.0,4.0,3.0,1.0,5.0,0.23,5.0,0.0,0.0,0.0,0.0,0.0,40.0,24.0,15.0,18.0,7.0,22.0,43.0,51.2,21.0,20.0,8.0,12.0,31.0,71.0,45.0,1.0,1239.0,67.0,341.0,480.0,430.0,48.0,1239.0,46.0,19.0,41.3,27.0,58.7,647.0,3546.0,1793.0,63.0,36.0,18.0,30.0,13.0,753.0,144.0,25,1916.0,77.0,56.0,21.3,22,82.0,13,3,40.0,6,1.92,32.0,25.0,7.0,0.33,-0.99,31.1,22.9,8.2,0.38,-0.44,4.0,0.0,0.0,22.0,24.0,1.0,84.0,31.0,24.0,0.0,0.0,0.0,99.0,31.0,22.0,58.5
Cristian Romero,ar ARG,DF,23.0,20.5,1.0,6.0,2.0,33.3,0.29,0.1,0.17,0.5,13.9,0.0,0.0,0.0,0.5,0.5,0.08,0.5,0.5,1149.0,1325.0,86.7,20261.0,7099.0,473.0,517.0,91.5,551.0,590.0,93.4,93.0,159.0,58.5,0.0,0.3,0.5,-0.3,6.0,57.0,7.0,0.0,65.0,1325.0,1281.0,43.0,35.0,2.0,13.0,0.0,8.0,0.0,0.0,0.0,0.0,1149.0,1.0,14.0,19.0,0.93,16.0,1.0,0.0,0.0,1.0,1.0,2.0,0.1,1.0,0.0,0.0,0.0,0.0,1.0,62.0,39.0,39.0,21.0,2.0,22.0,34.0,64.7,12.0,46.0,21.0,25.0,33.0,95.0,74.0,1.0,1581.0,231.0,811.0,688.0,100.0,22.0,1581.0,14.0,9.0,64.3,5.0,35.7,997.0,5247.0,3167.0,23.0,22.0,1.0,14.0,5.0,1044.0,9.0,22,1844.0,84.0,53.9,20.5,21,88.0,19,1,1.0,2,1.64,38.0,25.0,13.0,0.63,-0.28,28.1,22.1,6.1,0.3,-0.61,8.0,0.0,0.0,28.0,15.0,2.0,0.0,33.0,39.0,0.0,1.0,0.0,148.0,43.0,30.0,58.9
Lucas Moura,br BRA,"FW,MF",28.0,19.7,2.0,37.0,11.0,29.7,1.88,0.56,0.05,0.18,16.7,0.0,0.0,0.0,2.7,2.7,0.07,-0.7,-0.7,567.0,774.0,73.3,7667.0,2267.0,340.0,413.0,82.3,180.0,243.0,74.1,17.0,38.0,44.7,6.0,5.0,2.8,1.0,34.0,59.0,27.0,4.0,99.0,774.0,745.0,20.0,8.0,8.0,0.0,33.0,7.0,1.0,0.0,0.0,0.0,567.0,9.0,24.0,67.0,3.4,52.0,0.0,7.0,2.0,6.0,0.0,12.0,0.61,10.0,0.0,1.0,0.0,1.0,0.0,25.0,10.0,7.0,14.0,4.0,8.0,35.0,22.9,27.0,19.0,0.0,19.0,18.0,43.0,19.0,0.0,1021.0,21.0,103.0,510.0,428.0,62.0,1021.0,92.0,56.0,60.9,36.0,39.1,649.0,3811.0,1802.0,48.0,61.0,9.0,59.0,33.0,772.0,87.0,34,1775.0,52.0,51.9,19.7,19,80.0,6,15,17.0,2,1.88,29.0,21.0,8.0,0.41,-0.74,30.3,21.5,8.9,0.45,-0.27,4.0,0.0,0.0,20.0,37.0,3.0,33.0,18.0,10.0,0.0,0.0,0.0,95.0,48.0,32.0,60.0
