player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Jefferson Lerma,co COL,MF,27.0,36.1,5.0,35.0,10.0,28.6,0.97,0.28,0.14,0.5,17.6,0.0,0.0,0.0,2.6,2.6,0.07,2.4,2.4,1317.0,1611.0,81.8,20458.0,7229.0,695.0,793.0,87.6,502.0,581.0,86.4,77.0,146.0,52.7,0.0,2.3,3.1,-2.3,18.0,126.0,23.0,2.0,142.0,1611.0,1551.0,59.0,46.0,7.0,7.0,11.0,11.0,0.0,0.0,0.0,0.0,1317.0,1.0,24.0,47.0,1.3,42.0,2.0,0.0,2.0,1.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,50.0,30.0,23.0,23.0,4.0,20.0,45.0,44.4,25.0,32.0,15.0,17.0,47.0,97.0,91.0,1.0,1934.0,165.0,587.0,1030.0,338.0,44.0,1934.0,23.0,13.0,56.5,9.0,39.1,946.0,3761.0,1861.0,22.0,32.0,1.0,24.0,17.0,1162.0,30.0,37,3252.0,88.0,95.1,36.1,37,88.0,33,0,,0,1.05,34.0,67.0,-33.0,-0.91,-0.38,35.7,60.5,-24.8,-0.69,-0.43,7.0,0.0,0.0,37.0,33.0,2.0,11.0,47.0,30.0,0.0,2.0,1.0,260.0,62.0,40.0,60.8
Adam Smith,eng ENG,DF,31.0,32.7,0.0,5.0,1.0,20.0,0.15,0.03,0.0,0.0,16.2,0.0,0.0,0.0,0.5,0.5,0.1,-0.5,-0.5,953.0,1264.0,75.4,16233.0,6898.0,450.0,513.0,87.7,398.0,501.0,79.4,88.0,194.0,45.4,1.0,1.3,1.5,-0.3,16.0,70.0,28.0,19.0,83.0,1264.0,987.0,276.0,22.0,0.0,2.0,48.0,254.0,0.0,0.0,0.0,0.0,953.0,1.0,29.0,29.0,0.89,25.0,1.0,0.0,2.0,0.0,1.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,49.0,29.0,27.0,19.0,3.0,29.0,60.0,48.3,31.0,30.0,13.0,17.0,25.0,74.0,81.0,1.0,1527.0,112.0,602.0,650.0,296.0,17.0,1527.0,30.0,6.0,20.0,17.0,56.7,647.0,2762.0,1368.0,28.0,21.0,3.0,21.0,4.0,771.0,54.0,37,2943.0,80.0,86.1,32.7,34,84.0,25,3,29.0,0,1.05,34.0,58.0,-24.0,-0.73,1.15,33.5,53.2,-19.8,-0.6,0.44,11.0,0.0,0.0,29.0,27.0,0.0,48.0,25.0,29.0,0.0,1.0,0.0,128.0,29.0,38.0,43.3
Philip Billing,dk DEN,"MF,FW",26.0,30.7,7.0,38.0,18.0,47.4,1.24,0.59,0.18,0.39,18.3,5.0,0.0,0.0,4.9,4.9,0.13,2.1,2.1,813.0,1055.0,77.1,11823.0,3165.0,460.0,542.0,84.9,257.0,317.0,81.1,45.0,94.0,47.9,1.0,3.2,2.6,-2.2,26.0,49.0,9.0,3.0,80.0,1055.0,1009.0,43.0,20.0,5.0,10.0,38.0,6.0,10.0,5.0,1.0,0.0,813.0,3.0,32.0,54.0,1.76,41.0,2.0,5.0,5.0,1.0,0.0,6.0,0.2,4.0,0.0,0.0,2.0,0.0,0.0,63.0,36.0,21.0,33.0,9.0,11.0,40.0,27.5,29.0,48.0,8.0,40.0,31.0,94.0,58.0,1.0,1410.0,76.0,334.0,666.0,428.0,71.0,1410.0,47.0,26.0,55.3,15.0,31.9,727.0,3695.0,1690.0,37.0,31.0,6.0,42.0,35.0,900.0,101.0,36,2764.0,77.0,80.8,30.7,34,79.0,11,2,36.0,0,1.06,32.0,54.0,-22.0,-0.72,0.93,31.5,48.9,-17.3,-0.56,0.52,5.0,0.0,0.0,30.0,35.0,3.0,38.0,31.0,36.0,0.0,0.0,0.0,146.0,52.0,35.0,59.8
Dominic Solanke,eng ENG,"FW,MF",24.0,31.8,6.0,76.0,28.0,36.8,2.39,0.88,0.08,0.21,12.8,0.0,0.0,0.0,9.1,9.1,0.12,-3.1,-3.1,363.0,533.0,68.1,4673.0,1106.0,225.0,294.0,76.5,101.0,135.0,74.8,14.0,24.0,58.3,7.0,3.9,2.4,3.1,21.0,22.0,17.0,1.0,47.0,533.0,479.0,52.0,0.0,3.0,1.0,13.0,4.0,0.0,0.0,0.0,0.0,363.0,2.0,34.0,61.0,1.92,36.0,1.0,11.0,10.0,2.0,1.0,13.0,0.41,10.0,1.0,0.0,2.0,0.0,0.0,15.0,9.0,8.0,3.0,4.0,5.0,22.0,22.7,17.0,26.0,7.0,19.0,6.0,21.0,46.0,0.0,1012.0,54.0,157.0,423.0,454.0,159.0,1012.0,110.0,45.0,40.9,54.0,49.1,637.0,4479.0,1723.0,70.0,40.0,36.0,134.0,74.0,730.0,167.0,33,2860.0,87.0,83.6,31.8,32,88.0,19,1,45.0,0,1.15,35.0,52.0,-17.0,-0.53,2.2,34.5,51.4,-16.9,-0.53,0.82,2.0,0.0,0.0,40.0,53.0,11.0,13.0,6.0,9.0,0.0,0.0,0.0,87.0,52.0,98.0,34.7
Marcos Senesi,ar ARG,DF,25.0,27.7,2.0,8.0,2.0,25.0,0.29,0.07,0.25,1.0,9.1,0.0,0.0,0.0,1.6,1.6,0.2,0.4,0.4,1064.0,1322.0,80.5,21380.0,9358.0,360.0,399.0,90.2,551.0,625.0,88.2,137.0,245.0,55.9,0.0,0.5,0.4,-0.5,5.0,86.0,4.0,1.0,66.0,1322.0,1257.0,56.0,40.0,1.0,15.0,8.0,14.0,0.0,0.0,0.0,0.0,1064.0,9.0,18.0,16.0,0.58,14.0,1.0,0.0,1.0,0.0,0.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,50.0,35.0,28.0,22.0,0.0,23.0,43.0,53.5,20.0,38.0,20.0,18.0,43.0,93.0,146.0,2.0,1647.0,340.0,1037.0,568.0,57.0,16.0,1647.0,13.0,8.0,61.5,4.0,30.8,929.0,4383.0,2386.0,9.0,12.0,1.0,15.0,4.0,983.0,3.0,31,2491.0,80.0,72.8,27.7,29,85.0,22,2,12.0,5,0.9,28.0,55.0,-27.0,-0.98,-0.3,29.6,46.9,-17.3,-0.62,0.15,7.0,0.0,0.0,29.0,13.0,0.0,8.0,43.0,35.0,0.0,2.0,0.0,168.0,26.0,22.0,54.2
Neto,br BRA,GK,33.0,26.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,521.0,833.0,62.5,15893.0,12592.0,109.0,111.0,98.2,194.0,201.0,96.5,211.0,513.0,41.1,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,833.0,513.0,319.0,88.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,1.0,0.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,3.0,895.0,768.0,890.0,6.0,0.0,0.0,895.0,1.0,1.0,100.0,0.0,0.0,446.0,2814.0,2029.0,0.0,0.0,0.0,1.0,0.0,271.0,0.0,27,2385.0,88.0,69.7,26.5,27,88.0,26,0,,3,1.22,27.0,39.0,-12.0,-0.45,1.46,30.7,44.0,-13.4,-0.51,0.53,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,4.0,3.0,57.1
Chris Mepham,wls WAL,DF,24.0,24.4,0.0,8.0,4.0,50.0,0.33,0.16,0.0,0.0,9.8,0.0,0.0,0.0,0.7,0.7,0.09,-0.7,-0.7,870.0,1041.0,83.6,16273.0,5694.0,309.0,346.0,89.3,478.0,525.0,91.0,75.0,142.0,52.8,0.0,0.2,0.6,-0.2,4.0,42.0,2.0,0.0,42.0,1041.0,1001.0,37.0,21.0,0.0,4.0,0.0,16.0,0.0,0.0,0.0,0.0,870.0,3.0,7.0,8.0,0.33,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,22.0,37.0,8.0,0.0,19.0,30.0,63.3,11.0,40.0,27.0,13.0,30.0,75.0,152.0,0.0,1336.0,285.0,852.0,455.0,36.0,14.0,1336.0,7.0,3.0,42.9,3.0,42.9,650.0,3099.0,1628.0,2.0,6.0,2.0,4.0,3.0,788.0,1.0,26,2199.0,85.0,64.3,24.4,24,90.0,23,2,24.0,7,1.0,23.0,52.0,-29.0,-1.19,-0.82,20.5,41.5,-21.0,-0.86,-0.55,7.0,0.0,0.0,16.0,7.0,0.0,0.0,30.0,22.0,0.0,0.0,2.0,85.0,53.0,31.0,63.1
Lloyd Kelly,eng ENG,DF,23.0,22.7,0.0,3.0,0.0,0.0,0.13,0.0,0.0,,8.9,0.0,0.0,0.0,0.2,0.2,0.07,-0.2,-0.2,934.0,1164.0,80.2,17585.0,7174.0,352.0,387.0,91.0,461.0,510.0,90.4,104.0,227.0,45.8,2.0,0.5,0.8,1.5,7.0,73.0,9.0,3.0,47.0,1164.0,1020.0,140.0,29.0,2.0,11.0,14.0,109.0,0.0,0.0,0.0,0.0,934.0,4.0,12.0,16.0,0.71,13.0,1.0,0.0,1.0,1.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,33.0,18.0,23.0,9.0,1.0,13.0,19.0,68.4,6.0,26.0,15.0,11.0,26.0,59.0,101.0,1.0,1394.0,185.0,752.0,526.0,124.0,9.0,1394.0,7.0,1.0,14.3,5.0,71.4,705.0,3316.0,1879.0,14.0,4.0,0.0,16.0,4.0,806.0,10.0,23,2040.0,89.0,59.6,22.7,23,89.0,22,0,,0,1.13,19.0,38.0,-19.0,-0.84,0.14,22.2,36.2,-14.1,-0.62,0.11,3.0,0.0,0.0,17.0,5.0,0.0,14.0,26.0,18.0,0.0,1.0,0.0,131.0,36.0,20.0,64.3
Ryan Christie,sct SCO,"MF,FW",27.0,20.4,1.0,33.0,9.0,27.3,1.62,0.44,0.03,0.11,14.0,0.0,0.0,0.0,2.8,2.8,0.08,-1.8,-1.8,521.0,651.0,80.0,8356.0,2028.0,279.0,327.0,85.3,175.0,196.0,89.3,47.0,81.0,58.0,1.0,2.4,2.0,-1.4,30.0,43.0,19.0,2.0,71.0,651.0,621.0,28.0,3.0,6.0,7.0,32.0,4.0,20.0,11.0,5.0,0.0,521.0,2.0,16.0,66.0,3.24,48.0,5.0,5.0,5.0,3.0,0.0,4.0,0.2,3.0,0.0,0.0,1.0,0.0,0.0,34.0,22.0,10.0,23.0,1.0,14.0,49.0,28.6,35.0,16.0,4.0,12.0,26.0,60.0,20.0,0.0,940.0,39.0,187.0,421.0,350.0,61.0,940.0,86.0,37.0,43.0,42.0,48.8,559.0,3396.0,1462.0,39.0,34.0,13.0,49.0,33.0,592.0,71.0,32,1834.0,57.0,53.6,20.4,22,74.0,5,10,20.0,6,1.09,19.0,35.0,-16.0,-0.79,0.24,21.2,30.8,-9.6,-0.47,0.42,2.0,0.0,0.0,36.0,45.0,1.0,32.0,26.0,22.0,0.0,0.0,0.0,132.0,16.0,23.0,41.0
Marcus Tavernier,eng ENG,"MF,FW",23.0,19.4,5.0,37.0,14.0,37.8,1.91,0.72,0.14,0.36,17.3,2.0,0.0,0.0,3.1,3.1,0.09,1.9,1.9,510.0,724.0,70.4,8048.0,2431.0,285.0,339.0,84.1,165.0,225.0,73.3,40.0,100.0,40.0,4.0,2.9,1.3,1.1,19.0,34.0,16.0,5.0,56.0,724.0,623.0,100.0,21.0,5.0,7.0,93.0,34.0,42.0,22.0,11.0,3.0,510.0,1.0,28.0,48.0,2.48,31.0,7.0,5.0,3.0,2.0,0.0,8.0,0.41,3.0,2.0,1.0,2.0,0.0,0.0,33.0,22.0,19.0,11.0,3.0,11.0,32.0,34.4,21.0,25.0,4.0,21.0,9.0,42.0,23.0,0.0,1008.0,37.0,200.0,390.0,450.0,59.0,1008.0,96.0,45.0,46.9,45.0,46.9,592.0,4060.0,2028.0,67.0,43.0,21.0,46.0,40.0,636.0,137.0,23,1743.0,76.0,51.0,19.4,19,83.0,10,4,40.0,0,1.39,25.0,37.0,-12.0,-0.62,0.56,19.7,31.8,-12.1,-0.63,0.08,1.0,0.0,0.0,21.0,28.0,4.0,93.0,9.0,22.0,0.0,0.0,0.0,124.0,17.0,32.0,34.7
