player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Kai Havertz,de GER,"FW,MF",23.0,28.5,7.0,70.0,31.0,44.3,2.45,1.09,0.09,0.19,12.7,1.0,1.0,1.0,11.6,10.8,0.15,-4.6,-4.8,727.0,894.0,81.3,9347.0,1882.0,458.0,540.0,84.8,195.0,221.0,88.2,23.0,32.0,71.9,1.0,3.7,2.8,-2.7,38.0,49.0,26.0,2.0,89.0,894.0,850.0,41.0,5.0,2.0,4.0,14.0,9.0,1.0,0.0,0.0,0.0,727.0,3.0,24.0,63.0,2.21,54.0,2.0,1.0,5.0,1.0,0.0,4.0,0.14,3.0,0.0,0.0,1.0,0.0,0.0,34.0,16.0,4.0,20.0,10.0,10.0,30.0,33.3,20.0,28.0,0.0,28.0,7.0,41.0,41.0,0.0,1258.0,46.0,108.0,519.0,640.0,165.0,1257.0,60.0,17.0,28.3,38.0,63.3,728.0,3741.0,1483.0,59.0,33.0,30.0,79.0,36.0,946.0,218.0,35,2569.0,73.0,75.1,28.5,30,81.0,15,5,25.0,1,1.23,29.0,31.0,-2.0,-0.07,0.67,40.3,38.2,2.2,0.08,0.63,5.0,0.0,0.0,60.0,25.0,28.0,14.0,7.0,16.0,0.0,0.0,0.0,81.0,79.0,59.0,57.2
Kepa Arrizabalaga,es ESP,GK,27.0,28.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,871.0,1046.0,83.3,19299.0,11448.0,287.0,289.0,99.3,390.0,395.0,98.7,190.0,357.0,53.2,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1046.0,805.0,241.0,59.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,871.0,0.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,3.0,66.7,1.0,0.0,0.0,0.0,1.0,3.0,16.0,2.0,1119.0,892.0,1103.0,16.0,0.0,0.0,1119.0,1.0,1.0,100.0,0.0,0.0,654.0,2898.0,1683.0,0.0,0.0,0.0,1.0,0.0,604.0,0.0,29,2565.0,88.0,75.0,28.5,29,88.0,28,0,,7,1.14,27.0,33.0,-6.0,-0.21,0.11,39.2,39.1,0.1,0.0,0.34,1.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,42.0,11.0,1.0,91.7
Thiago Silva,br BRA,DF,37.0,26.1,0.0,15.0,2.0,13.3,0.57,0.08,0.0,0.0,13.0,0.0,0.0,0.0,1.5,1.5,0.1,-1.5,-1.5,1856.0,2042.0,90.9,34995.0,13939.0,678.0,718.0,94.4,993.0,1035.0,95.9,172.0,258.0,66.7,2.0,0.5,1.0,1.5,5.0,115.0,13.0,0.0,104.0,2042.0,1976.0,59.0,54.0,1.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0,1856.0,7.0,8.0,18.0,0.69,16.0,1.0,0.0,1.0,0.0,0.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,41.0,27.0,24.0,17.0,0.0,21.0,31.0,67.7,10.0,38.0,29.0,9.0,34.0,75.0,111.0,2.0,2302.0,348.0,1167.0,1081.0,58.0,24.0,2302.0,4.0,3.0,75.0,0.0,0.0,1460.0,6611.0,3891.0,8.0,14.0,0.0,6.0,1.0,1674.0,2.0,27,2352.0,87.0,68.8,26.1,26,87.0,25,1,84.0,2,1.19,27.0,32.0,-5.0,-0.19,0.15,31.6,34.2,-2.6,-0.1,-0.06,2.0,0.0,0.0,10.0,13.0,0.0,2.0,34.0,27.0,0.0,0.0,0.0,148.0,61.0,23.0,72.6
Raheem Sterling,eng ENG,"FW,MF",27.0,21.0,6.0,42.0,16.0,38.1,2.0,0.76,0.14,0.38,13.6,0.0,0.0,0.0,6.2,6.2,0.15,-0.2,-0.2,514.0,685.0,75.0,6522.0,1357.0,326.0,386.0,84.5,136.0,179.0,76.0,18.0,33.0,54.5,3.0,4.6,3.2,-1.6,34.0,26.0,31.0,9.0,59.0,685.0,662.0,21.0,0.0,6.0,0.0,46.0,7.0,7.0,7.0,0.0,0.0,514.0,2.0,33.0,68.0,3.23,53.0,0.0,7.0,3.0,4.0,1.0,4.0,0.19,3.0,0.0,1.0,0.0,0.0,0.0,18.0,10.0,5.0,4.0,9.0,8.0,14.0,57.1,6.0,17.0,0.0,17.0,2.0,20.0,5.0,0.0,910.0,8.0,63.0,278.0,583.0,121.0,910.0,93.0,39.0,41.9,46.0,49.5,651.0,4002.0,2153.0,81.0,56.0,39.0,46.0,50.0,749.0,186.0,28,1891.0,68.0,55.3,21.0,23,76.0,7,5,28.0,1,1.14,24.0,27.0,-3.0,-0.14,0.21,25.7,27.0,-1.3,-0.06,0.04,4.0,0.0,0.0,21.0,32.0,11.0,46.0,2.0,10.0,0.0,0.0,0.0,66.0,5.0,13.0,27.8
Marc Cucurella,es ESP,DF,24.0,18.6,0.0,7.0,0.0,0.0,0.38,0.0,0.0,,19.7,0.0,0.0,0.0,0.4,0.4,0.06,-0.4,-0.4,1090.0,1293.0,84.3,16587.0,5116.0,600.0,647.0,92.7,396.0,453.0,87.4,59.0,110.0,53.6,2.0,0.6,0.9,1.4,11.0,77.0,12.0,6.0,73.0,1293.0,1093.0,192.0,28.0,0.0,2.0,44.0,151.0,13.0,8.0,3.0,0.0,1090.0,8.0,26.0,27.0,1.46,21.0,6.0,0.0,0.0,0.0,0.0,3.0,0.16,2.0,1.0,0.0,0.0,0.0,0.0,66.0,33.0,40.0,15.0,11.0,30.0,60.0,50.0,30.0,28.0,8.0,20.0,16.0,82.0,48.0,1.0,1490.0,63.0,470.0,672.0,358.0,12.0,1490.0,14.0,5.0,35.7,6.0,42.9,787.0,3205.0,1797.0,30.0,20.0,2.0,14.0,6.0,906.0,65.0,24,1671.0,70.0,48.9,18.6,21,77.0,10,3,15.0,3,1.21,17.0,20.0,-3.0,-0.16,0.15,23.6,26.0,-2.4,-0.13,-0.1,4.0,0.0,0.0,16.0,21.0,1.0,44.0,16.0,33.0,0.0,0.0,0.0,120.0,16.0,13.0,55.2
Kalidou Koulibaly,sn SEN,DF,31.0,20.0,2.0,11.0,4.0,36.4,0.55,0.2,0.18,0.5,12.0,0.0,0.0,0.0,0.9,0.9,0.09,1.1,1.1,1275.0,1471.0,86.7,22422.0,9023.0,564.0,598.0,94.3,595.0,653.0,91.1,96.0,175.0,54.9,1.0,0.4,0.4,0.6,7.0,83.0,9.0,1.0,81.0,1471.0,1421.0,45.0,33.0,0.0,15.0,4.0,12.0,0.0,0.0,0.0,0.0,1275.0,5.0,12.0,21.0,1.05,17.0,0.0,0.0,2.0,0.0,2.0,3.0,0.15,3.0,0.0,0.0,0.0,0.0,0.0,45.0,31.0,34.0,8.0,3.0,26.0,40.0,65.0,14.0,30.0,13.0,17.0,29.0,74.0,77.0,0.0,1687.0,174.0,793.0,838.0,63.0,19.0,1687.0,6.0,4.0,66.7,2.0,33.3,1083.0,4728.0,2459.0,10.0,8.0,0.0,10.0,2.0,1209.0,4.0,23,1800.0,78.0,52.6,20.0,20,87.0,17,3,23.0,6,1.26,20.0,22.0,-2.0,-0.1,0.29,26.8,22.6,4.1,0.21,0.61,7.0,1.0,1.0,22.0,9.0,0.0,4.0,29.0,31.0,0.0,0.0,0.0,126.0,33.0,28.0,54.1
Mason Mount,eng ENG,"MF,FW",23.0,18.3,3.0,33.0,9.0,27.3,1.8,0.49,0.09,0.33,19.7,2.0,0.0,0.0,2.0,2.0,0.06,1.0,1.0,585.0,778.0,75.2,8688.0,2236.0,350.0,409.0,85.6,165.0,216.0,76.4,44.0,84.0,52.4,2.0,3.0,2.8,-1.0,30.0,55.0,27.0,5.0,98.0,778.0,706.0,68.0,17.0,6.0,8.0,64.0,5.0,34.0,11.0,19.0,1.0,585.0,4.0,23.0,57.0,3.11,42.0,9.0,2.0,2.0,2.0,0.0,7.0,0.38,5.0,0.0,0.0,1.0,1.0,0.0,33.0,19.0,6.0,16.0,11.0,14.0,27.0,51.9,13.0,24.0,6.0,18.0,8.0,41.0,9.0,0.0,969.0,17.0,110.0,415.0,455.0,56.0,969.0,31.0,15.0,48.4,13.0,41.9,530.0,2745.0,1429.0,48.0,34.0,11.0,36.0,29.0,678.0,114.0,24,1648.0,69.0,48.2,18.3,20,77.0,7,4,25.0,2,1.29,18.0,21.0,-3.0,-0.16,0.14,22.3,23.4,-1.1,-0.06,0.04,4.0,0.0,0.0,28.0,27.0,1.0,64.0,8.0,19.0,0.0,0.0,0.0,85.0,9.0,14.0,39.1
Ruben Loftus-Cheek,eng ENG,"MF,DF",26.0,17.1,0.0,9.0,2.0,22.2,0.53,0.12,0.0,0.0,18.6,0.0,0.0,0.0,0.8,0.8,0.09,-0.8,-0.8,782.0,907.0,86.2,11417.0,2878.0,475.0,530.0,89.6,263.0,291.0,90.4,29.0,37.0,78.4,1.0,1.5,1.8,-0.5,16.0,78.0,18.0,1.0,90.0,907.0,858.0,44.0,11.0,1.0,6.0,19.0,32.0,0.0,0.0,0.0,0.0,782.0,5.0,20.0,36.0,2.11,31.0,0.0,3.0,1.0,1.0,0.0,4.0,0.23,4.0,0.0,0.0,0.0,0.0,0.0,25.0,14.0,8.0,14.0,3.0,12.0,21.0,57.1,9.0,15.0,2.0,13.0,12.0,37.0,23.0,0.0,1068.0,40.0,185.0,576.0,322.0,42.0,1068.0,60.0,30.0,50.0,22.0,36.7,651.0,3753.0,2210.0,56.0,29.0,10.0,22.0,23.0,774.0,86.0,25,1536.0,61.0,44.9,17.1,19,73.0,6,6,26.0,6,1.36,22.0,23.0,-1.0,-0.06,0.32,21.7,27.2,-5.5,-0.32,-0.44,1.0,0.0,0.0,10.0,34.0,1.0,19.0,12.0,14.0,0.0,0.0,1.0,101.0,22.0,26.0,45.8
Conor Gallagher,eng ENG,MF,22.0,18.0,3.0,28.0,11.0,39.3,1.55,0.61,0.11,0.27,17.9,0.0,0.0,0.0,2.5,2.5,0.09,0.5,0.5,706.0,871.0,81.1,10444.0,2483.0,399.0,447.0,89.3,243.0,290.0,83.8,32.0,58.0,55.2,1.0,2.3,1.7,-1.3,21.0,67.0,20.0,5.0,105.0,871.0,818.0,50.0,13.0,1.0,6.0,49.0,10.0,21.0,9.0,7.0,0.0,706.0,3.0,29.0,47.0,2.61,34.0,4.0,4.0,2.0,2.0,1.0,3.0,0.17,2.0,0.0,1.0,0.0,0.0,0.0,46.0,33.0,17.0,19.0,10.0,10.0,37.0,27.0,27.0,41.0,10.0,31.0,23.0,69.0,18.0,1.0,1134.0,32.0,198.0,529.0,421.0,59.0,1134.0,54.0,23.0,42.6,23.0,42.6,699.0,3519.0,1391.0,40.0,40.0,12.0,36.0,36.0,778.0,104.0,35,1621.0,46.0,47.4,18.0,18,73.0,8,17,18.0,2,1.23,15.0,22.0,-7.0,-0.39,-0.29,21.2,26.1,-4.9,-0.27,-0.36,11.0,1.0,1.0,35.0,35.0,2.0,49.0,23.0,33.0,0.0,0.0,0.0,93.0,19.0,28.0,40.4
Trevoh Chalobah,eng ENG,DF,23.0,17.9,0.0,9.0,2.0,22.2,0.5,0.11,0.0,0.0,9.6,0.0,0.0,0.0,0.9,0.9,0.1,-0.9,-0.9,1051.0,1200.0,87.6,18603.0,5316.0,419.0,467.0,89.7,551.0,594.0,92.8,70.0,107.0,65.4,0.0,0.3,0.3,-0.3,4.0,64.0,3.0,1.0,71.0,1200.0,1132.0,66.0,23.0,0.0,4.0,13.0,43.0,0.0,0.0,0.0,0.0,1051.0,2.0,11.0,16.0,0.9,11.0,0.0,1.0,2.0,2.0,0.0,3.0,0.17,3.0,0.0,0.0,0.0,0.0,0.0,31.0,20.0,22.0,6.0,3.0,24.0,34.0,70.6,10.0,17.0,7.0,10.0,24.0,55.0,56.0,1.0,1369.0,135.0,602.0,604.0,167.0,23.0,1369.0,10.0,8.0,80.0,1.0,10.0,784.0,2679.0,1393.0,17.0,13.0,1.0,6.0,5.0,973.0,27.0,25,1608.0,64.0,47.0,17.9,18,86.0,15,7,8.0,10,1.2,20.0,24.0,-4.0,-0.22,0.02,23.1,31.6,-8.5,-0.48,-0.75,4.0,0.0,0.0,11.0,8.0,0.0,13.0,24.0,20.0,0.0,0.0,1.0,86.0,31.0,32.0,49.2
