player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
James Tarkowski,eng ENG,DF,29.0,38.0,1.0,32.0,9.0,28.1,0.84,0.24,0.03,0.11,9.0,0.0,0.0,0.0,3.1,3.1,0.1,-2.1,-2.1,1322.0,1633.0,81.0,26359.0,10115.0,448.0,512.0,87.5,693.0,794.0,87.3,167.0,297.0,56.2,1.0,2.9,1.9,-1.9,15.0,98.0,3.0,0.0,106.0,1633.0,1578.0,48.0,41.0,3.0,18.0,0.0,6.0,0.0,0.0,0.0,0.0,1322.0,7.0,4.0,23.0,0.61,17.0,0.0,0.0,5.0,0.0,1.0,2.0,0.05,1.0,0.0,0.0,1.0,0.0,0.0,51.0,26.0,36.0,13.0,2.0,20.0,38.0,52.6,18.0,99.0,78.0,21.0,51.0,102.0,201.0,3.0,2119.0,369.0,1090.0,926.0,113.0,81.0,2119.0,10.0,9.0,90.0,1.0,10.0,982.0,4413.0,2295.0,13.0,3.0,1.0,22.0,5.0,1209.0,11.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,0.95,34.0,57.0,-23.0,-0.61,,45.2,65.7,-20.5,-0.54,,6.0,0.0,0.0,40.0,23.0,2.0,0.0,51.0,26.0,0.0,1.0,0.0,173.0,120.0,48.0,71.4
Alex Iwobi,ng NGA,"MF,FW",26.0,37.5,2.0,42.0,15.0,35.7,1.12,0.4,0.05,0.13,21.0,0.0,0.0,0.0,2.5,2.5,0.06,-0.5,-0.5,1154.0,1536.0,75.1,20102.0,6570.0,547.0,648.0,84.4,435.0,555.0,78.4,132.0,220.0,60.0,7.0,6.1,4.3,0.9,64.0,134.0,63.0,17.0,194.0,1536.0,1469.0,58.0,3.0,14.0,13.0,104.0,31.0,17.0,14.0,1.0,0.0,1154.0,9.0,46.0,120.0,3.2,91.0,9.0,8.0,7.0,3.0,2.0,9.0,0.24,8.0,0.0,0.0,0.0,1.0,0.0,69.0,37.0,37.0,28.0,4.0,33.0,65.0,50.8,32.0,41.0,2.0,39.0,25.0,94.0,29.0,0.0,1912.0,52.0,359.0,892.0,709.0,59.0,1912.0,110.0,55.0,50.0,50.0,45.5,1169.0,6913.0,3434.0,90.0,79.0,15.0,68.0,42.0,1285.0,145.0,38,3378.0,89.0,98.8,37.5,38,89.0,34,0,,0,0.95,34.0,56.0,-22.0,-0.59,1.56,44.8,64.7,-19.9,-0.53,0.92,2.0,0.0,0.0,19.0,15.0,4.0,104.0,25.0,37.0,1.0,0.0,0.0,259.0,10.0,28.0,26.3
Jordan Pickford,eng ENG,GK,28.0,37.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,749.0,1312.0,57.1,25114.0,19603.0,158.0,159.0,99.4,242.0,247.0,98.0,342.0,892.0,38.3,1.0,0.1,0.4,0.9,2.0,57.0,1.0,0.0,2.0,1312.0,823.0,484.0,169.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,749.0,5.0,1.0,10.0,0.27,4.0,6.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,15.0,3.0,1413.0,1030.0,1359.0,57.0,0.0,0.0,1413.0,0.0,0.0,,0.0,,732.0,4810.0,3221.0,0.0,0.0,0.0,1.0,1.0,548.0,0.0,37,3330.0,90.0,97.4,37.0,37,90.0,37,0,,0,0.89,33.0,57.0,-24.0,-0.65,-1.65,44.8,64.7,-19.9,-0.54,0.14,6.0,0.0,0.0,1.0,5.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,36.0,8.0,3.0,72.7
Idrissa Gana Gueye,sn SEN,MF,32.0,28.6,0.0,15.0,6.0,40.0,0.52,0.21,0.0,0.0,25.1,1.0,0.0,0.0,0.7,0.7,0.05,-0.7,-0.7,1025.0,1226.0,83.6,16238.0,4278.0,525.0,583.0,90.1,419.0,476.0,88.0,57.0,105.0,54.3,1.0,1.1,0.8,-0.1,12.0,111.0,5.0,0.0,98.0,1226.0,1205.0,17.0,13.0,1.0,4.0,10.0,3.0,0.0,0.0,0.0,0.0,1025.0,4.0,23.0,51.0,1.78,36.0,0.0,1.0,2.0,7.0,5.0,3.0,0.1,2.0,0.0,0.0,0.0,0.0,1.0,97.0,57.0,49.0,35.0,13.0,31.0,60.0,51.7,29.0,50.0,12.0,38.0,56.0,153.0,34.0,3.0,1563.0,77.0,451.0,893.0,237.0,11.0,1563.0,35.0,19.0,54.3,9.0,25.7,821.0,3942.0,1829.0,27.0,26.0,3.0,31.0,18.0,845.0,19.0,33,2577.0,78.0,75.4,28.6,32,80.0,14,1,29.0,0,1.0,25.0,45.0,-20.0,-0.7,-0.38,32.7,49.0,-16.3,-0.57,-0.11,7.0,0.0,0.0,43.0,50.0,0.0,10.0,56.0,57.0,0.0,1.0,0.0,266.0,27.0,22.0,55.1
Vitaliy Mykolenko,ua UKR,DF,23.0,29.5,0.0,10.0,3.0,30.0,0.34,0.1,0.0,0.0,20.3,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,966.0,1292.0,74.8,15199.0,5874.0,509.0,585.0,87.0,365.0,477.0,76.5,63.0,147.0,42.9,0.0,1.2,0.9,-1.2,19.0,84.0,21.0,11.0,100.0,1292.0,1045.0,239.0,10.0,1.0,3.0,57.0,227.0,2.0,1.0,1.0,0.0,966.0,8.0,30.0,46.0,1.56,41.0,1.0,0.0,2.0,2.0,0.0,3.0,0.1,2.0,0.0,0.0,1.0,0.0,0.0,58.0,34.0,36.0,19.0,3.0,28.0,51.0,54.9,23.0,50.0,16.0,34.0,46.0,104.0,99.0,0.0,1625.0,124.0,576.0,693.0,370.0,26.0,1625.0,25.0,11.0,44.0,14.0,56.0,701.0,3103.0,1491.0,31.0,33.0,7.0,32.0,8.0,798.0,72.0,34,2655.0,78.0,77.6,29.5,30,86.0,27,4,17.0,0,0.91,28.0,46.0,-18.0,-0.61,-0.02,34.6,52.2,-17.6,-0.6,-0.25,4.0,0.0,0.0,29.0,21.0,0.0,57.0,46.0,34.0,0.0,0.0,0.0,150.0,25.0,34.0,42.4
Amadou Onana,be BEL,MF,20.0,27.6,1.0,34.0,6.0,17.6,1.23,0.22,0.03,0.17,16.8,0.0,0.0,0.0,3.0,3.0,0.09,-2.0,-2.0,816.0,980.0,83.3,13145.0,3007.0,420.0,481.0,87.3,310.0,354.0,87.6,60.0,86.0,69.8,2.0,2.6,1.7,-0.6,22.0,77.0,11.0,0.0,79.0,980.0,970.0,6.0,4.0,5.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,816.0,4.0,6.0,45.0,1.63,35.0,0.0,1.0,2.0,5.0,2.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,72.0,43.0,24.0,42.0,6.0,30.0,42.0,71.4,12.0,25.0,6.0,19.0,37.0,109.0,39.0,0.0,1310.0,58.0,287.0,745.0,295.0,52.0,1310.0,52.0,18.0,34.6,23.0,44.2,684.0,3563.0,1436.0,27.0,30.0,4.0,49.0,17.0,871.0,49.0,33,2488.0,75.0,72.7,27.6,29,83.0,16,4,21.0,1,1.03,22.0,37.0,-15.0,-0.54,0.23,32.0,46.6,-14.6,-0.53,0.04,9.0,0.0,0.0,44.0,49.0,2.0,5.0,37.0,43.0,0.0,0.0,0.0,150.0,60.0,55.0,52.2
Dwight McNeil,eng ENG,"FW,MF",22.0,27.8,7.0,46.0,15.0,32.6,1.66,0.54,0.15,0.47,20.5,1.0,0.0,0.0,3.5,3.5,0.08,3.5,3.5,656.0,987.0,66.5,11288.0,3797.0,335.0,391.0,85.7,208.0,278.0,74.8,87.0,212.0,41.0,3.0,6.1,5.4,-3.1,49.0,45.0,27.0,14.0,69.0,987.0,838.0,142.0,50.0,3.0,6.0,194.0,31.0,61.0,53.0,4.0,0.0,656.0,7.0,49.0,108.0,3.89,53.0,36.0,9.0,6.0,2.0,2.0,12.0,0.43,4.0,3.0,3.0,0.0,1.0,1.0,64.0,41.0,35.0,14.0,15.0,27.0,62.0,43.5,35.0,46.0,7.0,39.0,31.0,95.0,41.0,0.0,1358.0,52.0,266.0,505.0,614.0,61.0,1357.0,108.0,54.0,50.0,51.0,47.2,738.0,5432.0,2144.0,76.0,44.0,16.0,53.0,45.0,762.0,128.0,36,2498.0,69.0,73.0,27.8,28,83.0,19,8,22.0,2,0.97,26.0,46.0,-20.0,-0.72,-0.43,35.1,50.2,-15.1,-0.54,-0.01,5.0,0.0,0.0,22.0,21.0,1.0,194.0,31.0,41.0,1.0,0.0,0.0,175.0,14.0,18.0,43.8
Demarai Gray,eng ENG,"FW,MF",26.0,27.9,4.0,57.0,22.0,38.6,2.05,0.79,0.04,0.09,19.5,8.0,2.0,2.0,6.2,4.7,0.08,-2.2,-2.7,579.0,838.0,69.1,9843.0,2215.0,289.0,328.0,88.1,191.0,252.0,75.8,72.0,179.0,40.2,1.0,3.8,3.8,-2.8,37.0,30.0,18.0,7.0,46.0,838.0,666.0,172.0,57.0,2.0,8.0,173.0,7.0,74.0,53.0,20.0,0.0,579.0,0.0,38.0,94.0,3.37,41.0,25.0,4.0,11.0,10.0,3.0,5.0,0.18,3.0,2.0,0.0,0.0,0.0,0.0,33.0,24.0,9.0,14.0,10.0,17.0,31.0,54.8,14.0,23.0,3.0,20.0,13.0,46.0,18.0,0.0,1181.0,22.0,110.0,441.0,652.0,104.0,1179.0,92.0,33.0,35.9,42.0,45.7,720.0,5100.0,2465.0,94.0,62.0,48.0,86.0,66.0,781.0,199.0,33,2507.0,76.0,73.3,27.9,27,86.0,16,6,30.0,5,0.79,20.0,39.0,-19.0,-0.68,-0.29,28.7,44.9,-16.2,-0.58,-0.15,3.0,0.0,0.0,24.0,51.0,13.0,173.0,13.0,24.0,0.0,0.0,0.0,98.0,13.0,45.0,22.4
Conor Coady,eng ENG,DF,29.0,23.3,1.0,4.0,2.0,50.0,0.17,0.09,0.25,0.5,8.5,0.0,0.0,0.0,0.8,0.8,0.21,0.2,0.2,1025.0,1209.0,84.8,21731.0,8337.0,284.0,302.0,94.0,578.0,622.0,92.9,155.0,267.0,58.1,1.0,0.3,0.5,0.7,4.0,73.0,3.0,1.0,43.0,1209.0,1169.0,35.0,31.0,1.0,10.0,1.0,3.0,0.0,0.0,0.0,0.0,1025.0,5.0,1.0,17.0,0.73,15.0,0.0,0.0,1.0,1.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,8.0,6.0,0.0,7.0,15.0,46.7,8.0,21.0,17.0,4.0,14.0,28.0,88.0,3.0,1363.0,238.0,795.0,547.0,29.0,10.0,1363.0,3.0,0.0,0.0,2.0,66.7,882.0,4154.0,2414.0,4.0,4.0,0.0,6.0,2.0,984.0,1.0,24,2096.0,87.0,61.3,23.3,23,90.0,22,1,36.0,11,1.0,16.0,28.0,-12.0,-0.52,0.23,24.2,36.0,-11.8,-0.51,0.09,2.0,0.0,0.0,11.0,13.0,2.0,1.0,14.0,9.0,0.0,0.0,0.0,92.0,25.0,24.0,51.0
Séamus Coleman,ie IRL,DF,33.0,18.4,1.0,7.0,2.0,28.6,0.38,0.11,0.14,0.5,21.9,0.0,0.0,0.0,0.4,0.4,0.05,0.6,0.6,597.0,789.0,75.7,9624.0,3826.0,306.0,350.0,87.4,237.0,299.0,79.3,42.0,99.0,42.4,0.0,0.9,0.9,-0.9,4.0,35.0,18.0,7.0,61.0,789.0,615.0,174.0,10.0,0.0,3.0,22.0,164.0,0.0,0.0,0.0,0.0,597.0,0.0,20.0,21.0,1.14,15.0,1.0,1.0,1.0,3.0,0.0,2.0,0.11,2.0,0.0,0.0,0.0,0.0,0.0,35.0,26.0,21.0,10.0,4.0,19.0,29.0,65.5,10.0,14.0,7.0,7.0,22.0,57.0,58.0,2.0,990.0,81.0,334.0,416.0,246.0,21.0,990.0,36.0,16.0,44.4,15.0,41.7,457.0,2049.0,925.0,13.0,10.0,3.0,30.0,6.0,481.0,37.0,23,1656.0,72.0,48.4,18.4,20,77.0,9,3,37.0,7,0.91,15.0,25.0,-10.0,-0.54,0.12,22.6,32.6,-10.0,-0.54,0.0,1.0,0.0,0.0,10.0,21.0,2.0,22.0,22.0,26.0,0.0,0.0,0.0,100.0,18.0,16.0,52.9
