player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Robin Koch,de GER,DF,26.0,35.3,0.0,17.0,4.0,23.5,0.48,0.11,0.0,0.0,11.1,0.0,0.0,0.0,1.5,1.5,0.09,-1.5,-1.5,1229.0,1594.0,77.1,23945.0,10673.0,409.0,485.0,84.3,665.0,772.0,86.1,141.0,285.0,49.5,0.0,0.4,0.5,-0.4,6.0,121.0,7.0,0.0,114.0,1594.0,1544.0,46.0,46.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1229.0,4.0,25.0,15.0,0.43,11.0,2.0,0.0,2.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,53.0,30.0,32.0,16.0,5.0,24.0,56.0,42.9,32.0,44.0,21.0,23.0,43.0,96.0,152.0,1.0,1963.0,263.0,1051.0,820.0,106.0,32.0,1963.0,3.0,1.0,33.3,2.0,66.7,1013.0,4700.0,2583.0,11.0,8.0,0.0,15.0,1.0,1102.0,11.0,36,3175.0,88.0,92.8,35.3,36,88.0,33,0,,1,0.86,46.0,74.0,-28.0,-0.79,-0.06,45.0,63.7,-18.7,-0.53,-0.13,7.0,0.0,0.0,35.0,17.0,1.0,1.0,43.0,30.0,0.0,0.0,1.0,193.0,111.0,69.0,61.7
Illan Meslier,fr FRA,GK,22.0,34.0,0.0,1.0,1.0,100.0,0.03,0.03,0.0,0.0,9.0,0.0,0.0,0.0,0.1,0.1,0.12,-0.1,-0.1,664.0,1039.0,63.9,16770.0,10937.0,144.0,148.0,97.3,354.0,359.0,98.6,162.0,523.0,31.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,1039.0,705.0,331.0,89.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,664.0,3.0,2.0,4.0,0.12,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,4.0,50.0,2.0,0.0,0.0,0.0,1.0,3.0,30.0,3.0,1122.0,903.0,1116.0,5.0,2.0,1.0,1122.0,0.0,0.0,,0.0,,596.0,3396.0,1969.0,0.0,0.0,0.0,1.0,1.0,424.0,0.0,34,3060.0,90.0,89.5,34.0,34,90.0,34,0,,4,0.88,43.0,67.0,-24.0,-0.71,0.79,42.7,57.9,-15.2,-0.45,0.72,3.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,34.0,10.0,3.0,76.9
Jack Harrison,eng ENG,"FW,MF",25.0,30.1,5.0,39.0,14.0,35.9,1.3,0.47,0.13,0.36,17.8,3.0,0.0,0.0,4.7,4.7,0.12,0.3,0.3,732.0,1150.0,63.7,10776.0,4115.0,443.0,544.0,81.4,189.0,316.0,59.8,60.0,165.0,36.4,7.0,5.1,5.1,1.9,53.0,57.0,51.0,21.0,103.0,1150.0,1012.0,131.0,38.0,4.0,11.0,186.0,24.0,68.0,34.0,21.0,3.0,732.0,7.0,55.0,114.0,3.79,68.0,27.0,7.0,5.0,5.0,2.0,9.0,0.3,6.0,1.0,1.0,1.0,0.0,0.0,41.0,17.0,5.0,15.0,21.0,12.0,52.0,23.1,40.0,47.0,2.0,45.0,22.0,63.0,25.0,0.0,1556.0,31.0,192.0,549.0,836.0,81.0,1556.0,118.0,48.0,40.7,59.0,50.0,959.0,5271.0,2584.0,103.0,56.0,24.0,92.0,61.0,1037.0,255.0,36,2708.0,75.0,79.2,30.1,34,78.0,11,2,27.0,1,0.86,35.0,55.0,-20.0,-0.66,0.6,37.4,50.5,-13.1,-0.43,0.42,2.0,0.0,0.0,38.0,37.0,3.0,186.0,22.0,17.0,0.0,0.0,0.0,174.0,5.0,42.0,10.6
Marc Roca,es ESP,MF,25.0,25.7,1.0,35.0,13.0,37.1,1.36,0.51,0.03,0.08,22.3,4.0,0.0,0.0,2.1,2.1,0.06,-1.1,-1.1,978.0,1295.0,75.5,16572.0,6565.0,495.0,575.0,86.1,359.0,450.0,79.8,94.0,201.0,46.8,2.0,2.9,2.6,-0.9,33.0,157.0,17.0,2.0,172.0,1295.0,1188.0,102.0,55.0,7.0,10.0,76.0,3.0,40.0,20.0,16.0,0.0,978.0,5.0,17.0,52.0,2.02,34.0,10.0,2.0,3.0,2.0,1.0,4.0,0.16,1.0,1.0,0.0,1.0,1.0,0.0,66.0,40.0,27.0,34.0,5.0,20.0,65.0,30.8,45.0,34.0,10.0,24.0,23.0,89.0,24.0,2.0,1571.0,47.0,333.0,914.0,333.0,26.0,1571.0,30.0,17.0,56.7,10.0,33.3,822.0,3627.0,1914.0,25.0,18.0,6.0,26.0,26.0,948.0,28.0,32,2315.0,72.0,67.7,25.7,29,78.0,12,3,19.0,3,0.91,33.0,60.0,-27.0,-1.05,-0.81,31.4,48.1,-16.7,-0.65,-0.39,7.0,0.0,0.0,40.0,29.0,0.0,76.0,23.0,40.0,0.0,0.0,0.0,169.0,18.0,13.0,58.1
Brenden Aaronson,us USA,"MF,FW",21.0,26.4,1.0,41.0,9.0,22.0,1.56,0.34,0.02,0.11,18.4,2.0,0.0,0.0,3.9,3.9,0.09,-2.9,-2.9,592.0,797.0,74.3,7577.0,2182.0,346.0,423.0,81.8,150.0,195.0,76.9,25.0,65.0,38.5,3.0,4.2,2.6,-1.2,46.0,47.0,16.0,4.0,86.0,797.0,711.0,85.0,26.0,8.0,2.0,72.0,5.0,38.0,17.0,14.0,1.0,592.0,1.0,27.0,95.0,3.6,57.0,17.0,7.0,5.0,8.0,1.0,7.0,0.27,3.0,1.0,0.0,1.0,1.0,1.0,45.0,18.0,16.0,22.0,7.0,15.0,46.0,32.6,31.0,43.0,3.0,40.0,5.0,50.0,6.0,1.0,1143.0,12.0,116.0,495.0,554.0,72.0,1143.0,100.0,34.0,34.0,48.0,48.0,686.0,3646.0,1532.0,43.0,34.0,13.0,71.0,82.0,767.0,151.0,36,2372.0,66.0,69.4,26.4,28,78.0,8,8,22.0,2,0.86,35.0,58.0,-23.0,-0.87,-0.27,33.3,49.8,-16.5,-0.63,-0.35,2.0,0.0,0.0,16.0,55.0,6.0,72.0,5.0,18.0,0.0,0.0,0.0,128.0,8.0,39.0,17.0
Pascal Struijk,nl NED,DF,22.0,24.4,2.0,16.0,7.0,43.8,0.65,0.29,0.13,0.29,13.4,0.0,0.0,0.0,1.4,1.4,0.09,0.6,0.6,1046.0,1320.0,79.2,15839.0,6757.0,571.0,655.0,87.2,396.0,485.0,81.6,51.0,104.0,49.0,1.0,2.4,1.2,-1.4,14.0,90.0,13.0,4.0,119.0,1320.0,1065.0,250.0,28.0,0.0,3.0,21.0,222.0,0.0,0.0,0.0,0.0,1046.0,5.0,26.0,35.0,1.43,25.0,4.0,0.0,5.0,0.0,1.0,2.0,0.08,0.0,0.0,0.0,2.0,0.0,0.0,84.0,57.0,43.0,31.0,10.0,49.0,75.0,65.3,26.0,32.0,12.0,20.0,32.0,116.0,70.0,1.0,1619.0,92.0,538.0,708.0,379.0,31.0,1619.0,18.0,9.0,50.0,7.0,38.9,700.0,2806.0,1465.0,24.0,25.0,1.0,25.0,12.0,803.0,53.0,29,2200.0,76.0,64.3,24.4,26,84.0,20,3,7.0,5,0.9,33.0,52.0,-19.0,-0.78,0.03,31.7,42.7,-11.0,-0.45,0.2,5.0,0.0,0.0,29.0,12.0,0.0,21.0,32.0,57.0,0.0,2.0,0.0,139.0,60.0,43.0,58.3
Tyler Adams,us USA,MF,23.0,24.0,0.0,4.0,0.0,0.0,0.17,0.0,0.0,,27.5,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,1108.0,1343.0,82.5,16592.0,5061.0,607.0,686.0,88.5,390.0,460.0,84.8,63.0,107.0,58.9,0.0,1.4,1.0,-1.4,24.0,110.0,13.0,0.0,136.0,1343.0,1271.0,72.0,58.0,1.0,2.0,2.0,14.0,0.0,0.0,0.0,0.0,1108.0,0.0,24.0,43.0,1.79,42.0,0.0,0.0,0.0,1.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,89.0,46.0,44.0,35.0,10.0,50.0,77.0,64.9,27.0,48.0,8.0,40.0,35.0,124.0,29.0,0.0,1628.0,44.0,376.0,1010.0,254.0,5.0,1628.0,22.0,7.0,31.8,12.0,54.5,818.0,3342.0,1555.0,19.0,21.0,0.0,28.0,18.0,919.0,20.0,24,2156.0,90.0,63.0,24.0,24,90.0,23,0,,0,0.96,28.0,36.0,-8.0,-0.33,1.23,30.2,33.0,-2.9,-0.12,1.09,6.0,1.0,1.0,37.0,21.0,1.0,2.0,35.0,46.0,0.0,0.0,0.0,199.0,25.0,15.0,62.5
Rodrigo,es ESP,"FW,MF",31.0,21.5,13.0,66.0,25.0,37.9,3.07,1.16,0.18,0.48,15.8,2.0,1.0,1.0,8.1,7.3,0.11,4.9,4.7,389.0,550.0,70.7,5651.0,1138.0,219.0,277.0,79.1,110.0,158.0,69.6,32.0,56.0,57.1,1.0,1.8,1.3,-0.8,16.0,23.0,17.0,5.0,44.0,550.0,492.0,53.0,0.0,4.0,10.0,21.0,7.0,2.0,0.0,0.0,0.0,389.0,5.0,9.0,45.0,2.09,30.0,0.0,4.0,8.0,2.0,1.0,4.0,0.19,2.0,0.0,0.0,2.0,0.0,0.0,24.0,10.0,2.0,15.0,7.0,8.0,19.0,42.1,11.0,16.0,4.0,12.0,6.0,30.0,21.0,1.0,804.0,26.0,94.0,372.0,341.0,110.0,803.0,29.0,12.0,41.4,15.0,51.7,451.0,2217.0,825.0,40.0,17.0,24.0,57.0,24.0,547.0,143.0,31,1935.0,62.0,56.6,21.5,23,74.0,7,8,28.0,0,0.87,28.0,43.0,-15.0,-0.7,0.21,26.4,37.5,-11.1,-0.52,0.01,6.0,0.0,0.0,29.0,11.0,10.0,21.0,6.0,10.0,0.0,0.0,0.0,66.0,34.0,66.0,34.0
Luke Ayling,eng ENG,DF,30.0,22.8,2.0,24.0,5.0,20.8,1.05,0.22,0.08,0.4,15.1,0.0,0.0,0.0,3.2,3.2,0.13,-1.2,-1.2,786.0,1132.0,69.4,12523.0,6236.0,439.0,508.0,86.4,267.0,374.0,71.4,62.0,155.0,40.0,1.0,2.0,2.2,-1.0,12.0,61.0,18.0,10.0,77.0,1132.0,912.0,212.0,22.0,0.0,11.0,62.0,190.0,0.0,0.0,0.0,0.0,786.0,8.0,46.0,40.0,1.75,33.0,0.0,0.0,3.0,2.0,2.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,66.0,37.0,42.0,15.0,9.0,42.0,85.0,49.4,43.0,34.0,11.0,23.0,26.0,92.0,52.0,2.0,1413.0,79.0,466.0,578.0,390.0,56.0,1413.0,33.0,13.0,39.4,17.0,51.5,648.0,2963.0,1480.0,28.0,20.0,4.0,23.0,12.0,700.0,100.0,29,2054.0,71.0,60.1,22.8,22,89.0,21,7,14.0,4,0.79,27.0,48.0,-21.0,-0.92,-0.33,27.7,43.5,-15.8,-0.69,-0.43,3.0,0.0,0.0,15.0,35.0,1.0,62.0,26.0,37.0,0.0,1.0,0.0,152.0,47.0,57.0,45.2
Rasmus Nissen,dk DEN,DF,25.0,21.8,3.0,13.0,5.0,38.5,0.6,0.23,0.23,0.6,15.2,0.0,0.0,0.0,0.8,0.8,0.06,2.2,2.2,740.0,1044.0,70.9,12326.0,5355.0,364.0,435.0,83.7,310.0,410.0,75.6,52.0,134.0,38.8,1.0,1.0,0.9,0.0,9.0,63.0,16.0,2.0,89.0,1044.0,861.0,181.0,7.0,0.0,3.0,35.0,174.0,0.0,0.0,0.0,0.0,740.0,2.0,38.0,35.0,1.61,30.0,1.0,2.0,1.0,0.0,1.0,3.0,0.14,2.0,0.0,1.0,0.0,0.0,0.0,62.0,35.0,35.0,21.0,6.0,42.0,76.0,55.3,34.0,32.0,14.0,18.0,35.0,97.0,61.0,0.0,1276.0,90.0,470.0,529.0,282.0,23.0,1276.0,15.0,7.0,46.7,7.0,46.7,548.0,1725.0,833.0,15.0,10.0,4.0,6.0,5.0,633.0,70.0,26,1960.0,75.0,57.3,21.8,21,87.0,17,5,26.0,11,0.88,29.0,53.0,-24.0,-1.1,-0.73,26.9,40.9,-14.0,-0.64,-0.29,4.0,0.0,0.0,19.0,6.0,1.0,35.0,35.0,35.0,0.0,0.0,0.0,119.0,34.0,27.0,55.7
