player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Alisson,br BRA,GK,29.0,37.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1241.0,1453.0,85.4,29043.0,18696.0,307.0,309.0,99.4,657.0,666.0,98.6,273.0,469.0,58.2,1.0,0.3,0.0,0.7,1.0,16.0,0.0,0.0,3.0,1453.0,1199.0,250.0,57.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1241.0,4.0,1.0,3.0,0.08,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,20.0,0.0,1536.0,1124.0,1498.0,39.0,0.0,0.0,1536.0,2.0,2.0,100.0,0.0,0.0,985.0,4654.0,2962.0,0.0,0.0,0.0,1.0,0.0,901.0,0.0,37,3330.0,90.0,97.4,37.0,37,90.0,37,0,,0,1.78,71.0,43.0,28.0,0.76,0.76,68.6,49.1,19.5,0.53,-1.64,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,11.0,1.0,91.7
Mohamed Salah,eg EGY,FW,30.0,36.6,19.0,121.0,45.0,37.2,3.31,1.23,0.14,0.38,15.1,2.0,2.0,4.0,21.7,18.5,0.15,-2.7,-1.5,902.0,1185.0,76.1,12538.0,3403.0,533.0,648.0,82.3,283.0,352.0,80.4,38.0,66.0,57.6,12.0,7.7,7.2,4.3,65.0,53.0,80.0,7.0,149.0,1185.0,1146.0,29.0,4.0,14.0,3.0,38.0,17.0,0.0,0.0,0.0,0.0,902.0,10.0,40.0,140.0,3.83,106.0,2.0,12.0,12.0,6.0,2.0,24.0,0.66,17.0,1.0,0.0,2.0,3.0,1.0,21.0,12.0,4.0,5.0,12.0,10.0,26.0,38.5,16.0,21.0,0.0,21.0,6.0,27.0,4.0,0.0,1634.0,4.0,83.0,539.0,1028.0,301.0,1630.0,134.0,50.0,37.3,72.0,53.7,1107.0,6382.0,3036.0,120.0,66.0,87.0,110.0,79.0,1305.0,421.0,38,3290.0,87.0,96.2,36.6,37,88.0,29,1,26.0,0,1.76,74.0,45.0,29.0,0.79,1.49,70.6,46.8,23.8,0.65,2.12,2.0,0.0,0.0,20.0,33.0,22.0,38.0,6.0,12.0,0.0,0.0,0.0,100.0,8.0,30.0,21.1
Trent Alexander-Arnold,eng ENG,DF,23.0,32.5,2.0,40.0,8.0,20.0,1.23,0.25,0.05,0.25,23.8,5.0,0.0,0.0,2.4,2.4,0.06,-0.4,-0.4,2188.0,2912.0,75.1,41590.0,16323.0,1000.0,1123.0,89.0,822.0,1045.0,78.7,331.0,642.0,51.6,9.0,11.5,9.1,-2.5,71.0,239.0,82.0,28.0,235.0,2912.0,2393.0,509.0,70.0,26.0,59.0,252.0,341.0,98.0,16.0,74.0,1.0,2188.0,10.0,37.0,124.0,3.82,81.0,34.0,3.0,5.0,1.0,0.0,17.0,0.52,14.0,2.0,1.0,0.0,0.0,0.0,57.0,40.0,32.0,16.0,9.0,42.0,79.0,53.2,37.0,25.0,7.0,18.0,43.0,100.0,41.0,2.0,3180.0,89.0,737.0,1631.0,837.0,44.0,3180.0,45.0,30.0,66.7,13.0,28.9,1778.0,6848.0,3312.0,43.0,39.0,8.0,35.0,21.0,2042.0,139.0,37,2923.0,79.0,85.5,32.5,34,85.0,23,3,16.0,1,1.78,70.0,44.0,26.0,0.8,0.44,64.2,42.6,21.6,0.66,0.65,5.0,0.0,0.0,22.0,6.0,5.0,252.0,43.0,40.0,0.0,0.0,0.0,239.0,20.0,13.0,60.6
Virgil van Dijk,nl NED,DF,31.0,31.5,3.0,30.0,9.0,30.0,0.95,0.29,0.1,0.33,12.8,0.0,0.0,0.0,2.6,2.6,0.09,0.4,0.4,2345.0,2592.0,90.5,45523.0,16670.0,843.0,900.0,93.7,1236.0,1306.0,94.6,244.0,344.0,70.9,1.0,1.2,1.1,-0.2,7.0,156.0,6.0,0.0,127.0,2592.0,2492.0,99.0,73.0,1.0,31.0,1.0,9.0,0.0,0.0,0.0,0.0,2345.0,1.0,9.0,22.0,0.7,17.0,0.0,0.0,4.0,0.0,1.0,3.0,0.1,2.0,0.0,0.0,1.0,0.0,0.0,27.0,14.0,13.0,11.0,3.0,8.0,19.0,42.1,11.0,24.0,16.0,8.0,31.0,58.0,138.0,2.0,2876.0,361.0,1327.0,1427.0,128.0,66.0,2876.0,1.0,1.0,100.0,0.0,0.0,1760.0,6644.0,3152.0,10.0,14.0,2.0,7.0,0.0,2085.0,8.0,32,2835.0,89.0,82.9,31.5,32,89.0,31,0,,1,1.91,68.0,36.0,32.0,1.02,1.63,60.9,40.5,20.4,0.65,0.45,3.0,0.0,0.0,13.0,3.0,3.0,1.0,31.0,14.0,0.0,1.0,0.0,168.0,98.0,34.0,74.2
Fabinho,br BRA,MF,28.0,29.7,0.0,18.0,4.0,22.2,0.61,0.13,0.0,0.0,22.0,0.0,0.0,0.0,0.7,0.7,0.04,-0.7,-0.7,1617.0,1832.0,88.3,26192.0,6163.0,817.0,882.0,92.6,627.0,680.0,92.2,125.0,180.0,69.4,2.0,2.1,1.9,-0.1,17.0,131.0,17.0,0.0,161.0,1832.0,1789.0,38.0,31.0,5.0,6.0,5.0,7.0,0.0,0.0,0.0,0.0,1617.0,5.0,18.0,55.0,1.85,49.0,0.0,0.0,1.0,2.0,3.0,8.0,0.27,7.0,0.0,0.0,0.0,1.0,0.0,65.0,38.0,18.0,40.0,7.0,24.0,62.0,38.7,38.0,38.0,11.0,27.0,37.0,102.0,40.0,0.0,2092.0,83.0,456.0,1314.0,325.0,21.0,2092.0,15.0,7.0,46.7,4.0,26.7,1184.0,4669.0,1913.0,15.0,28.0,1.0,17.0,12.0,1493.0,39.0,36,2671.0,74.0,78.1,29.7,31,82.0,20,5,23.0,0,1.78,59.0,34.0,25.0,0.84,0.48,52.7,38.4,14.3,0.48,-0.4,11.0,0.0,0.0,53.0,24.0,0.0,5.0,37.0,38.0,0.0,0.0,0.0,180.0,30.0,21.0,58.8
Andrew Robertson,sct SCO,DF,28.0,28.7,0.0,13.0,2.0,15.4,0.45,0.07,0.0,0.0,14.5,0.0,0.0,0.0,1.3,1.3,0.11,-1.3,-1.3,1803.0,2265.0,79.6,30554.0,9527.0,855.0,943.0,90.7,786.0,938.0,83.8,137.0,286.0,47.9,8.0,6.1,6.5,1.9,52.0,121.0,33.0,14.0,166.0,2265.0,1883.0,375.0,65.0,2.0,12.0,195.0,229.0,81.0,23.0,49.0,0.0,1803.0,7.0,41.0,95.0,3.31,59.0,27.0,1.0,4.0,1.0,3.0,13.0,0.45,9.0,4.0,0.0,0.0,0.0,0.0,38.0,21.0,12.0,16.0,10.0,21.0,41.0,51.2,20.0,32.0,5.0,27.0,18.0,56.0,50.0,3.0,2483.0,79.0,691.0,1084.0,727.0,59.0,2483.0,42.0,17.0,40.5,23.0,54.8,1385.0,6702.0,3934.0,80.0,60.0,10.0,31.0,7.0,1637.0,194.0,34,2583.0,76.0,75.5,28.7,29,84.0,19,5,27.0,1,1.82,58.0,34.0,24.0,0.84,0.41,54.9,36.4,18.5,0.65,0.31,3.0,0.0,0.0,22.0,10.0,7.0,195.0,18.0,21.0,0.0,0.0,0.0,174.0,22.0,24.0,47.8
Jordan Henderson,eng ENG,MF,32.0,23.0,0.0,23.0,5.0,21.7,1.0,0.22,0.0,0.0,22.8,0.0,0.0,0.0,1.4,1.4,0.06,-1.4,-1.4,1341.0,1615.0,83.0,22431.0,5954.0,666.0,734.0,90.7,513.0,594.0,86.4,122.0,193.0,63.2,2.0,3.2,3.6,-1.2,31.0,158.0,47.0,12.0,189.0,1615.0,1554.0,53.0,12.0,9.0,11.0,45.0,17.0,0.0,0.0,0.0,0.0,1341.0,8.0,32.0,72.0,3.13,65.0,1.0,0.0,3.0,1.0,2.0,7.0,0.3,5.0,0.0,0.0,1.0,1.0,0.0,32.0,23.0,10.0,18.0,4.0,15.0,36.0,41.7,21.0,21.0,3.0,18.0,21.0,53.0,16.0,1.0,1782.0,34.0,277.0,1013.0,505.0,45.0,1782.0,23.0,12.0,52.2,8.0,34.8,1060.0,4836.0,2046.0,37.0,49.0,1.0,18.0,9.0,1319.0,90.0,35,2074.0,59.0,60.6,23.0,23,78.0,10,12,23.0,0,1.8,48.0,30.0,18.0,0.78,0.11,44.0,31.6,12.4,0.54,-0.08,2.0,0.0,0.0,18.0,9.0,3.0,45.0,21.0,23.0,0.0,0.0,0.0,163.0,11.0,10.0,52.4
Darwin Núñez,uy URU,FW,23.0,18.8,9.0,84.0,35.0,41.7,4.46,1.86,0.11,0.26,15.1,0.0,0.0,0.0,12.1,12.1,0.14,-3.1,-3.1,258.0,401.0,64.3,3922.0,852.0,130.0,184.0,70.7,80.0,117.0,68.4,21.0,30.0,70.0,3.0,5.4,2.8,-2.4,28.0,11.0,12.0,1.0,29.0,401.0,386.0,11.0,0.0,2.0,8.0,18.0,8.0,1.0,0.0,0.0,0.0,258.0,4.0,22.0,54.0,2.87,35.0,1.0,4.0,7.0,7.0,0.0,3.0,0.16,2.0,0.0,0.0,0.0,1.0,0.0,11.0,5.0,2.0,4.0,5.0,4.0,17.0,23.5,13.0,10.0,0.0,10.0,3.0,14.0,13.0,0.0,633.0,12.0,51.0,179.0,412.0,154.0,633.0,44.0,18.0,40.9,19.0,43.2,387.0,2795.0,1408.0,61.0,33.0,31.0,41.0,27.0,491.0,181.0,29,1695.0,58.0,49.6,18.8,19,78.0,5,10,21.0,0,1.9,35.0,22.0,13.0,0.69,-0.09,37.3,27.2,10.1,0.54,-0.07,1.0,1.0,0.0,25.0,17.0,17.0,18.0,3.0,5.0,1.0,0.0,0.0,44.0,36.0,51.0,41.4
Harvey Elliott,eng ENG,"MF,FW",19.0,17.9,1.0,36.0,12.0,33.3,2.01,0.67,0.03,0.08,19.3,0.0,0.0,0.0,2.1,2.1,0.06,-1.1,-1.1,809.0,1009.0,80.2,12346.0,3197.0,442.0,494.0,89.5,296.0,363.0,81.5,45.0,85.0,52.9,2.0,3.6,4.3,-1.6,26.0,68.0,41.0,6.0,142.0,1009.0,962.0,39.0,0.0,8.0,4.0,34.0,10.0,2.0,1.0,0.0,0.0,809.0,8.0,24.0,75.0,4.19,62.0,1.0,5.0,5.0,1.0,1.0,10.0,0.56,10.0,0.0,0.0,0.0,0.0,0.0,27.0,18.0,6.0,12.0,9.0,9.0,36.0,25.0,27.0,26.0,1.0,25.0,15.0,42.0,8.0,0.0,1194.0,14.0,147.0,566.0,491.0,50.0,1194.0,42.0,19.0,45.2,15.0,35.7,759.0,3981.0,1943.0,54.0,40.0,10.0,26.0,23.0,867.0,129.0,32,1613.0,50.0,47.2,17.9,18,72.0,4,14,22.0,5,1.66,36.0,20.0,16.0,0.89,0.3,33.7,25.4,8.3,0.46,-0.2,2.0,0.0,0.0,14.0,25.0,2.0,34.0,15.0,18.0,0.0,0.0,0.0,122.0,4.0,16.0,20.0
Ibrahima Konaté,fr FRA,DF,23.0,17.2,0.0,11.0,3.0,27.3,0.64,0.17,0.0,0.0,9.7,0.0,0.0,0.0,1.2,1.2,0.11,-1.2,-1.2,988.0,1135.0,87.0,17712.0,6925.0,374.0,413.0,90.6,539.0,588.0,91.7,59.0,109.0,54.1,0.0,0.1,0.8,-0.1,1.0,56.0,2.0,0.0,56.0,1135.0,1115.0,19.0,16.0,2.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,988.0,1.0,5.0,17.0,0.99,12.0,0.0,1.0,2.0,1.0,1.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,38.0,26.0,25.0,13.0,0.0,16.0,27.0,59.3,11.0,12.0,5.0,7.0,26.0,64.0,61.0,4.0,1317.0,107.0,589.0,691.0,43.0,22.0,1317.0,14.0,10.0,71.4,2.0,14.3,829.0,3627.0,1871.0,7.0,7.0,0.0,12.0,4.0,918.0,5.0,18,1552.0,86.0,45.4,17.2,17,90.0,17,1,22.0,3,1.72,34.0,22.0,12.0,0.7,-0.08,31.9,23.3,8.6,0.5,-0.13,5.0,0.0,0.0,29.0,15.0,1.0,1.0,26.0,26.0,0.0,1.0,1.0,107.0,46.0,14.0,76.7
