player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Ederson,br BRA,GK,28.0,35.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1079.0,1257.0,85.8,26248.0,17275.0,237.0,239.0,99.2,563.0,572.0,98.4,278.0,442.0,62.9,1.0,0.2,0.2,0.8,1.0,13.0,0.0,0.0,0.0,1257.0,1049.0,207.0,55.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1079.0,1.0,1.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,1.0,4.0,10.0,2.0,1302.0,1049.0,1295.0,9.0,0.0,0.0,1302.0,0.0,0.0,,0.0,,869.0,4059.0,2429.0,0.0,0.0,0.0,0.0,0.0,833.0,0.0,35,3150.0,90.0,92.1,35.0,35,90.0,35,0,,3,2.34,89.0,32.0,57.0,1.63,0.3,73.4,28.3,45.1,1.29,0.81,3.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,35.0,8.0,1.0,88.9
Rodri,es ESP,MF,26.0,32.3,2.0,50.0,14.0,28.0,1.55,0.43,0.04,0.14,17.1,0.0,0.0,0.0,4.6,4.6,0.09,-2.6,-2.6,2723.0,2987.0,91.2,49949.0,11936.0,1103.0,1187.0,92.9,1278.0,1369.0,93.4,300.0,354.0,84.7,6.0,4.1,3.5,1.9,32.0,265.0,33.0,3.0,260.0,2987.0,2943.0,43.0,37.0,2.0,26.0,6.0,3.0,0.0,0.0,0.0,0.0,2723.0,1.0,21.0,92.0,2.84,80.0,0.0,4.0,6.0,1.0,1.0,10.0,0.31,10.0,0.0,0.0,0.0,0.0,0.0,67.0,41.0,28.0,28.0,11.0,26.0,52.0,50.0,26.0,40.0,14.0,26.0,33.0,100.0,43.0,1.0,3272.0,119.0,706.0,1993.0,592.0,62.0,3272.0,37.0,25.0,67.6,8.0,21.6,2004.0,10293.0,5622.0,76.0,72.0,3.0,21.0,19.0,2511.0,37.0,36,2911.0,81.0,85.1,32.3,34,85.0,23,2,7.0,1,2.39,83.0,26.0,57.0,1.76,1.06,67.5,24.4,43.1,1.33,0.71,5.0,0.0,0.0,47.0,20.0,3.0,6.0,33.0,41.0,0.0,0.0,0.0,301.0,72.0,32.0,69.2
Erling Haaland,no NOR,FW,22.0,30.8,36.0,116.0,53.0,45.7,3.77,1.72,0.25,0.55,12.6,0.0,7.0,7.0,28.4,23.1,0.2,7.6,5.9,360.0,500.0,72.0,4403.0,947.0,218.0,276.0,79.0,100.0,132.0,75.8,7.0,9.0,77.8,8.0,5.3,3.1,2.7,29.0,14.0,23.0,0.0,58.0,500.0,449.0,45.0,0.0,4.0,0.0,12.0,2.0,1.0,0.0,0.0,0.0,360.0,6.0,21.0,72.0,2.34,48.0,0.0,5.0,10.0,8.0,1.0,17.0,0.55,14.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,2.0,1.0,1.0,5.0,20.0,4.0,12.0,4.0,8.0,3.0,6.0,14.0,0.0,763.0,18.0,39.0,290.0,435.0,217.0,756.0,32.0,11.0,34.4,18.0,56.3,405.0,2020.0,761.0,35.0,10.0,25.0,51.0,26.0,583.0,151.0,35,2769.0,79.0,81.0,30.8,33,83.0,21,2,22.0,1,2.37,84.0,26.0,58.0,1.89,1.47,67.0,24.3,42.6,1.39,0.84,5.0,0.0,0.0,31.0,24.0,8.0,12.0,3.0,2.0,1.0,0.0,0.0,37.0,50.0,50.0,50.0
Kevin De Bruyne,be BEL,MF,31.0,26.9,7.0,65.0,21.0,32.3,2.42,0.78,0.11,0.33,23.0,7.0,0.0,0.0,5.6,5.6,0.09,1.4,1.4,1192.0,1626.0,73.3,22165.0,6516.0,538.0,633.0,85.0,477.0,629.0,75.8,160.0,275.0,58.2,16.0,13.7,14.1,2.3,96.0,124.0,96.0,21.0,246.0,1626.0,1454.0,160.0,53.0,28.0,27.0,226.0,31.0,72.0,20.0,32.0,6.0,1192.0,12.0,41.0,176.0,6.55,120.0,33.0,8.0,7.0,5.0,3.0,31.0,1.15,24.0,3.0,1.0,1.0,2.0,0.0,28.0,12.0,3.0,12.0,13.0,14.0,39.0,35.9,25.0,27.0,2.0,25.0,9.0,37.0,10.0,0.0,1860.0,13.0,100.0,743.0,1041.0,100.0,1860.0,61.0,32.0,52.5,19.0,31.1,1129.0,5721.0,3415.0,100.0,81.0,16.0,42.0,29.0,1445.0,245.0,32,2417.0,76.0,70.7,26.9,28,84.0,16,4,20.0,3,2.31,69.0,23.0,46.0,1.71,0.37,58.7,19.4,39.3,1.46,0.81,1.0,0.0,0.0,20.0,29.0,5.0,226.0,9.0,12.0,2.0,0.0,0.0,97.0,13.0,13.0,50.0
İlkay Gündoğan,de GER,MF,31.0,26.1,8.0,53.0,20.0,37.7,2.03,0.76,0.15,0.4,18.1,5.0,0.0,1.0,7.5,6.7,0.13,0.5,1.3,1374.0,1578.0,87.1,21396.0,4941.0,746.0,819.0,91.1,492.0,543.0,90.6,99.0,130.0,76.2,4.0,3.3,4.4,0.7,37.0,143.0,35.0,1.0,170.0,1578.0,1519.0,56.0,24.0,18.0,6.0,30.0,5.0,21.0,7.0,4.0,1.0,1374.0,3.0,27.0,90.0,3.44,71.0,7.0,2.0,4.0,4.0,2.0,17.0,0.65,13.0,1.0,0.0,1.0,2.0,0.0,30.0,18.0,7.0,13.0,10.0,12.0,33.0,36.4,21.0,18.0,3.0,15.0,20.0,50.0,13.0,0.0,1806.0,31.0,243.0,975.0,596.0,88.0,1805.0,42.0,16.0,38.1,18.0,42.9,1072.0,5457.0,2628.0,53.0,44.0,7.0,28.0,27.0,1425.0,124.0,31,2353.0,76.0,68.8,26.1,27,85.0,17,4,15.0,7,2.39,71.0,20.0,51.0,1.95,1.11,61.4,19.4,41.9,1.6,1.21,0.0,0.0,0.0,23.0,25.0,6.0,30.0,20.0,18.0,2.0,0.0,0.0,155.0,19.0,12.0,61.3
Manuel Akanji,ch SUI,DF,27.0,25.4,0.0,15.0,2.0,13.3,0.59,0.08,0.0,0.0,15.9,0.0,0.0,0.0,1.3,1.3,0.09,-1.3,-1.3,1912.0,2056.0,93.0,32634.0,10258.0,867.0,902.0,96.1,903.0,945.0,95.6,117.0,166.0,70.5,1.0,0.4,1.0,0.6,7.0,140.0,3.0,1.0,116.0,2056.0,1999.0,55.0,28.0,0.0,8.0,6.0,27.0,0.0,0.0,0.0,0.0,1912.0,2.0,8.0,23.0,0.91,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,25.0,15.0,18.0,3.0,23.0,36.0,63.9,13.0,27.0,9.0,18.0,16.0,52.0,33.0,0.0,2231.0,121.0,815.0,1248.0,176.0,34.0,2231.0,12.0,6.0,50.0,3.0,25.0,1544.0,8443.0,5039.0,24.0,40.0,1.0,12.0,3.0,1734.0,17.0,29,2287.0,79.0,66.9,25.4,24,88.0,22,5,36.0,1,2.52,63.0,23.0,40.0,1.57,-0.09,51.6,21.1,30.5,1.2,-0.07,2.0,0.0,0.0,24.0,12.0,0.0,6.0,16.0,25.0,0.0,0.0,0.0,136.0,23.0,34.0,40.4
Bernardo Silva,pt POR,"MF,FW",27.0,24.5,4.0,25.0,9.0,36.0,1.02,0.37,0.16,0.44,18.1,0.0,0.0,0.0,2.2,2.2,0.09,1.8,1.8,1317.0,1543.0,85.4,20840.0,3604.0,717.0,771.0,93.0,462.0,529.0,87.3,92.0,149.0,61.7,5.0,3.3,4.0,1.7,31.0,76.0,35.0,11.0,130.0,1543.0,1468.0,73.0,15.0,3.0,10.0,75.0,48.0,7.0,0.0,2.0,0.0,1317.0,2.0,27.0,75.0,3.06,65.0,1.0,4.0,1.0,3.0,1.0,12.0,0.49,11.0,0.0,0.0,0.0,1.0,0.0,44.0,23.0,11.0,25.0,8.0,18.0,44.0,40.9,26.0,23.0,6.0,17.0,16.0,60.0,6.0,0.0,1772.0,31.0,281.0,797.0,707.0,92.0,1772.0,64.0,28.0,43.8,29.0,45.3,1115.0,7092.0,3523.0,90.0,73.0,29.0,30.0,31.0,1324.0,188.0,34,2205.0,65.0,64.5,24.5,24,85.0,16,10,16.0,4,2.35,61.0,24.0,37.0,1.51,-0.27,48.1,22.9,25.1,1.03,-0.56,5.0,0.0,0.0,31.0,15.0,2.0,75.0,16.0,23.0,1.0,0.0,0.0,122.0,4.0,13.0,23.5
Jack Grealish,eng ENG,FW,26.0,22.8,5.0,41.0,15.0,36.6,1.8,0.66,0.12,0.33,15.4,0.0,0.0,0.0,4.6,4.6,0.11,0.4,0.4,902.0,1072.0,84.1,13270.0,2584.0,539.0,588.0,91.7,295.0,337.0,87.5,41.0,66.0,62.1,7.0,7.0,6.7,0.0,50.0,28.0,48.0,2.0,100.0,1072.0,1011.0,56.0,7.0,6.0,8.0,53.0,25.0,24.0,12.0,0.0,1.0,902.0,5.0,35.0,104.0,4.55,71.0,7.0,6.0,6.0,13.0,1.0,20.0,0.88,14.0,1.0,0.0,1.0,3.0,1.0,25.0,16.0,10.0,12.0,3.0,13.0,22.0,59.1,9.0,17.0,3.0,14.0,7.0,32.0,9.0,0.0,1308.0,20.0,141.0,421.0,772.0,136.0,1308.0,110.0,45.0,40.9,28.0,25.5,957.0,8506.0,3982.0,143.0,83.0,63.0,36.0,29.0,1065.0,310.0,28,2055.0,73.0,60.1,22.8,23,83.0,11,5,31.0,5,2.64,63.0,16.0,47.0,2.06,1.14,50.6,14.0,36.6,1.6,0.94,4.0,0.0,0.0,27.0,78.0,3.0,53.0,7.0,16.0,1.0,0.0,0.0,110.0,14.0,17.0,45.2
Rúben Dias,pt POR,DF,25.0,22.2,0.0,10.0,2.0,20.0,0.45,0.09,0.0,0.0,9.1,0.0,0.0,0.0,1.3,1.3,0.13,-1.3,-1.3,1928.0,2080.0,92.7,35553.0,12572.0,696.0,726.0,95.9,1074.0,1122.0,95.7,143.0,203.0,70.4,0.0,0.6,0.3,-0.6,3.0,135.0,0.0,0.0,98.0,2080.0,2029.0,51.0,38.0,1.0,6.0,1.0,7.0,0.0,0.0,0.0,0.0,1928.0,0.0,7.0,15.0,0.68,11.0,1.0,0.0,3.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,21.0,13.0,10.0,10.0,1.0,11.0,18.0,61.1,7.0,21.0,13.0,8.0,18.0,39.0,56.0,1.0,2237.0,176.0,881.0,1280.0,83.0,22.0,2237.0,10.0,8.0,80.0,1.0,10.0,1497.0,8194.0,5025.0,14.0,22.0,1.0,1.0,4.0,1791.0,2.0,26,1998.0,77.0,58.4,22.2,22,87.0,19,4,23.0,6,2.65,65.0,16.0,49.0,2.21,1.45,47.0,17.0,30.0,1.35,0.31,3.0,0.0,0.0,19.0,7.0,0.0,1.0,18.0,13.0,0.0,0.0,0.0,99.0,44.0,28.0,61.1
Kyle Walker,eng ENG,DF,32.0,21.8,0.0,5.0,1.0,20.0,0.23,0.05,0.0,0.0,24.8,0.0,0.0,0.0,0.4,0.4,0.08,-0.4,-0.4,1661.0,1892.0,87.8,29177.0,8283.0,744.0,795.0,93.6,753.0,826.0,91.2,144.0,216.0,66.7,0.0,0.2,0.9,-0.2,6.0,189.0,10.0,4.0,162.0,1892.0,1732.0,158.0,25.0,4.0,21.0,28.0,133.0,0.0,0.0,0.0,0.0,1661.0,2.0,18.0,25.0,1.15,22.0,2.0,0.0,0.0,0.0,1.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,8.0,5.0,0.0,4.0,24.0,16.7,20.0,12.0,2.0,10.0,18.0,31.0,22.0,0.0,1996.0,57.0,438.0,1198.0,370.0,15.0,1996.0,19.0,13.0,68.4,4.0,21.1,1189.0,5455.0,2900.0,50.0,40.0,2.0,14.0,6.0,1542.0,75.0,27,1958.0,73.0,57.3,21.8,22,85.0,18,5,19.0,5,2.37,54.0,20.0,34.0,1.56,-0.1,44.9,20.4,24.5,1.13,-0.23,3.0,0.0,0.0,15.0,10.0,0.0,28.0,18.0,9.0,0.0,0.0,0.0,124.0,23.0,11.0,67.6
