player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Kieran Trippier,eng ENG,DF,31.0,37.1,1.0,14.0,4.0,28.6,0.38,0.11,0.07,0.25,27.1,12.0,0.0,0.0,0.9,0.9,0.06,0.1,0.1,1995.0,2788.0,71.6,38118.0,16809.0,877.0,992.0,88.4,745.0,980.0,76.0,333.0,674.0,49.4,7.0,12.4,11.8,-5.4,110.0,182.0,97.0,26.0,260.0,2788.0,2061.0,714.0,180.0,16.0,16.0,393.0,318.0,216.0,93.0,82.0,15.0,1995.0,13.0,50.0,178.0,4.79,79.0,94.0,1.0,1.0,2.0,1.0,10.0,0.27,6.0,4.0,0.0,0.0,0.0,0.0,71.0,49.0,36.0,27.0,8.0,46.0,90.0,51.1,44.0,45.0,15.0,30.0,43.0,114.0,84.0,2.0,3102.0,124.0,774.0,1282.0,1066.0,26.0,3102.0,35.0,19.0,54.3,12.0,34.3,1300.0,4599.0,2393.0,45.0,46.0,1.0,27.0,9.0,1593.0,151.0,38,3341.0,88.0,97.7,37.1,38,88.0,31,0,,0,1.87,65.0,31.0,34.0,0.92,-0.22,70.5,37.6,32.8,0.88,1.37,5.0,0.0,0.0,48.0,29.0,7.0,393.0,43.0,49.0,0.0,1.0,1.0,264.0,49.0,35.0,58.3
Nick Pope,eng ENG,GK,30.0,36.2,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,614.0,890.0,69.0,17068.0,11723.0,121.0,122.0,99.2,275.0,283.0,97.2,212.0,478.0,44.4,0.0,0.1,0.0,-0.1,2.0,13.0,0.0,0.0,1.0,890.0,612.0,278.0,71.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,614.0,0.0,1.0,5.0,0.14,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,0.0,1.0,27.0,2.0,974.0,821.0,967.0,7.0,0.0,0.0,974.0,0.0,0.0,,0.0,,502.0,2949.0,1724.0,0.0,0.0,0.0,2.0,0.0,344.0,0.0,37,3261.0,88.0,95.4,36.2,37,88.0,36,0,,0,1.89,67.0,32.0,35.0,0.97,0.97,68.5,36.4,32.1,0.89,0.71,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,4.0,1.0,80.0
Fabian Schär,ch SUI,DF,30.0,35.6,1.0,56.0,14.0,25.0,1.57,0.39,0.02,0.07,14.4,3.0,0.0,0.0,4.9,4.9,0.09,-3.9,-3.9,1423.0,1846.0,77.1,29289.0,11775.0,480.0,560.0,85.7,734.0,851.0,86.3,199.0,386.0,51.6,3.0,3.3,2.1,-0.3,19.0,142.0,23.0,4.0,139.0,1846.0,1770.0,73.0,62.0,7.0,34.0,18.0,10.0,0.0,0.0,0.0,0.0,1423.0,3.0,19.0,59.0,1.66,43.0,0.0,2.0,9.0,2.0,3.0,8.0,0.22,5.0,0.0,0.0,0.0,1.0,2.0,47.0,22.0,31.0,13.0,3.0,24.0,39.0,61.5,15.0,34.0,19.0,15.0,52.0,99.0,139.0,0.0,2235.0,248.0,1101.0,938.0,213.0,73.0,2235.0,13.0,4.0,30.8,7.0,53.8,1214.0,6337.0,4115.0,27.0,26.0,3.0,20.0,7.0,1341.0,32.0,36,3206.0,89.0,93.7,35.6,36,89.0,32,0,,1,1.97,67.0,28.0,39.0,1.09,2.78,69.8,35.7,34.2,0.96,1.7,7.0,0.0,0.0,20.0,27.0,6.0,18.0,52.0,22.0,0.0,0.0,1.0,209.0,112.0,55.0,67.1
Sven Botman,nl NED,DF,22.0,34.7,0.0,22.0,7.0,31.8,0.63,0.2,0.0,0.0,10.2,0.0,0.0,0.0,2.5,2.5,0.11,-2.5,-2.5,1527.0,1765.0,86.5,30660.0,11233.0,480.0,543.0,88.4,855.0,929.0,92.0,178.0,258.0,69.0,0.0,1.0,1.1,-1.0,9.0,59.0,4.0,1.0,87.0,1765.0,1717.0,42.0,32.0,0.0,30.0,1.0,4.0,0.0,0.0,0.0,0.0,1527.0,6.0,7.0,24.0,0.69,18.0,1.0,0.0,5.0,0.0,0.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,38.0,24.0,31.0,7.0,0.0,22.0,28.0,78.6,6.0,44.0,24.0,20.0,34.0,72.0,126.0,2.0,2074.0,338.0,1188.0,801.0,95.0,53.0,2074.0,1.0,1.0,100.0,0.0,0.0,1171.0,5259.0,2810.0,8.0,5.0,2.0,10.0,2.0,1347.0,5.0,36,3127.0,87.0,91.4,34.7,35,89.0,33,1,1.0,2,1.94,64.0,30.0,34.0,0.98,0.67,66.8,37.1,29.7,0.86,0.03,2.0,0.0,0.0,15.0,12.0,2.0,1.0,34.0,24.0,0.0,1.0,0.0,182.0,75.0,40.0,65.2
Dan Burn,eng ENG,DF,30.0,34.6,1.0,21.0,4.0,19.0,0.61,0.12,0.05,0.25,12.2,0.0,0.0,0.0,2.1,2.1,0.1,-1.1,-1.1,1361.0,1715.0,79.4,22235.0,8853.0,673.0,765.0,88.0,566.0,682.0,83.0,94.0,183.0,51.4,0.0,1.3,1.3,-1.3,16.0,102.0,11.0,2.0,118.0,1715.0,1437.0,275.0,17.0,0.0,7.0,17.0,257.0,0.0,0.0,0.0,0.0,1361.0,3.0,29.0,40.0,1.16,35.0,2.0,0.0,3.0,0.0,0.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,60.0,38.0,29.0,23.0,8.0,34.0,67.0,50.7,33.0,42.0,16.0,26.0,32.0,92.0,120.0,2.0,2073.0,158.0,786.0,940.0,358.0,62.0,2073.0,25.0,11.0,44.0,12.0,48.0,926.0,4329.0,2196.0,29.0,22.0,5.0,34.0,9.0,1116.0,46.0,38,3111.0,82.0,91.0,34.6,35,87.0,27,3,17.0,0,1.87,64.0,30.0,34.0,0.98,0.69,66.2,35.2,31.0,0.9,0.48,5.0,0.0,0.0,35.0,4.0,7.0,17.0,32.0,38.0,0.0,1.0,0.0,166.0,84.0,37.0,69.4
Bruno Guimarães,br BRA,MF,24.0,30.3,4.0,28.0,8.0,28.6,0.92,0.26,0.14,0.5,19.7,0.0,0.0,0.0,2.8,2.8,0.1,1.2,1.2,1387.0,1668.0,83.2,24038.0,6632.0,659.0,741.0,88.9,539.0,614.0,87.8,149.0,216.0,69.0,5.0,4.0,3.9,1.0,42.0,147.0,54.0,2.0,222.0,1668.0,1617.0,42.0,34.0,25.0,20.0,22.0,5.0,3.0,0.0,0.0,0.0,1387.0,9.0,29.0,110.0,3.63,92.0,1.0,3.0,1.0,11.0,2.0,12.0,0.4,11.0,0.0,0.0,0.0,0.0,1.0,78.0,40.0,27.0,46.0,5.0,38.0,65.0,58.5,27.0,28.0,4.0,24.0,36.0,114.0,22.0,1.0,2014.0,59.0,392.0,1076.0,575.0,50.0,2014.0,92.0,45.0,48.9,26.0,28.3,1321.0,7248.0,2911.0,41.0,47.0,5.0,46.0,60.0,1503.0,42.0,32,2726.0,85.0,79.7,30.3,32,85.0,23,0,,0,2.09,61.0,25.0,36.0,1.19,1.32,59.3,29.8,29.4,0.97,0.59,7.0,0.0,0.0,45.0,83.0,1.0,22.0,36.0,40.0,0.0,0.0,0.0,233.0,19.0,13.0,59.4
Joe Willock,eng ENG,MF,22.0,28.4,3.0,58.0,16.0,27.6,2.04,0.56,0.05,0.19,16.9,0.0,0.0,0.0,7.0,7.0,0.12,-4.0,-4.0,777.0,951.0,81.7,12123.0,3082.0,434.0,485.0,89.5,266.0,310.0,85.8,55.0,86.0,64.0,6.0,6.0,4.4,0.0,39.0,91.0,34.0,8.0,121.0,951.0,922.0,25.0,3.0,4.0,3.0,51.0,8.0,0.0,0.0,0.0,0.0,777.0,4.0,18.0,85.0,2.99,67.0,0.0,7.0,7.0,3.0,1.0,9.0,0.32,6.0,0.0,1.0,1.0,1.0,0.0,51.0,30.0,13.0,26.0,12.0,25.0,58.0,43.1,33.0,54.0,8.0,46.0,25.0,76.0,17.0,0.0,1324.0,37.0,202.0,586.0,556.0,114.0,1324.0,93.0,37.0,39.8,43.0,46.2,784.0,5213.0,2866.0,97.0,62.0,33.0,65.0,27.0,896.0,152.0,35,2558.0,73.0,74.8,28.4,31,79.0,8,4,28.0,0,1.97,56.0,26.0,30.0,1.06,0.53,53.4,29.1,24.3,0.85,0.01,1.0,0.0,0.0,35.0,23.0,3.0,51.0,25.0,30.0,0.0,0.0,0.0,136.0,16.0,16.0,50.0
Joelinton,br BRA,"MF,FW",25.0,29.6,6.0,51.0,19.0,37.3,1.72,0.64,0.12,0.32,14.6,0.0,0.0,0.0,7.1,7.1,0.14,-1.1,-1.1,1035.0,1268.0,81.6,15180.0,4014.0,581.0,668.0,87.0,338.0,390.0,86.7,59.0,75.0,78.7,1.0,2.4,1.9,-1.4,26.0,78.0,21.0,3.0,130.0,1268.0,1227.0,38.0,14.0,3.0,4.0,16.0,19.0,4.0,0.0,0.0,0.0,1035.0,3.0,40.0,80.0,2.71,54.0,1.0,9.0,8.0,7.0,1.0,10.0,0.34,4.0,1.0,2.0,2.0,1.0,0.0,70.0,49.0,36.0,26.0,8.0,26.0,62.0,41.9,36.0,52.0,7.0,45.0,48.0,118.0,39.0,0.0,1703.0,71.0,312.0,852.0,562.0,96.0,1703.0,111.0,53.0,47.7,42.0,37.8,897.0,4853.0,2286.0,64.0,45.0,13.0,72.0,51.0,1115.0,150.0,32,2661.0,83.0,77.8,29.6,30,87.0,25,2,24.0,1,1.78,51.0,26.0,25.0,0.85,-0.34,55.2,31.6,23.6,0.8,-0.24,12.0,0.0,0.0,65.0,34.0,1.0,16.0,48.0,49.0,1.0,1.0,0.0,198.0,66.0,59.0,52.8
Miguel Almirón,py PAR,FW,28.0,27.7,11.0,69.0,20.0,29.0,2.49,0.72,0.16,0.55,16.4,0.0,0.0,0.0,8.0,8.0,0.12,3.0,3.0,811.0,982.0,82.6,10752.0,2657.0,513.0,567.0,90.5,223.0,276.0,80.8,29.0,40.0,72.5,2.0,3.2,3.0,-1.2,26.0,45.0,36.0,4.0,124.0,982.0,946.0,30.0,0.0,3.0,4.0,26.0,18.0,11.0,0.0,0.0,0.0,811.0,6.0,29.0,87.0,3.14,63.0,2.0,10.0,9.0,3.0,0.0,13.0,0.47,5.0,1.0,5.0,2.0,0.0,0.0,46.0,30.0,16.0,19.0,11.0,18.0,42.0,42.9,24.0,25.0,2.0,23.0,10.0,56.0,17.0,0.0,1300.0,25.0,147.0,417.0,760.0,138.0,1300.0,79.0,34.0,43.0,33.0,41.8,841.0,5389.0,2341.0,77.0,46.0,25.0,51.0,28.0,924.0,264.0,34,2491.0,73.0,72.8,27.7,29,81.0,6,5,26.0,0,1.74,43.0,22.0,21.0,0.76,-0.6,45.9,27.5,18.3,0.66,-0.7,2.0,0.0,0.0,22.0,33.0,9.0,26.0,10.0,30.0,0.0,0.0,0.0,139.0,6.0,10.0,37.5
Sean Longstaff,eng ENG,MF,24.0,28.0,1.0,33.0,7.0,21.2,1.18,0.25,0.03,0.14,16.0,0.0,0.0,0.0,3.6,3.6,0.11,-2.6,-2.6,943.0,1163.0,81.1,15457.0,4299.0,470.0,538.0,87.4,362.0,415.0,87.2,78.0,129.0,60.5,4.0,3.3,2.6,0.7,23.0,80.0,21.0,5.0,116.0,1163.0,1118.0,41.0,7.0,7.0,6.0,30.0,4.0,3.0,0.0,0.0,0.0,943.0,4.0,31.0,62.0,2.22,46.0,1.0,2.0,7.0,6.0,0.0,6.0,0.21,4.0,0.0,0.0,1.0,1.0,0.0,42.0,21.0,16.0,20.0,6.0,20.0,52.0,38.5,32.0,35.0,8.0,27.0,16.0,58.0,23.0,0.0,1433.0,45.0,278.0,742.0,420.0,76.0,1433.0,27.0,8.0,29.6,18.0,66.7,752.0,2989.0,1191.0,21.0,16.0,8.0,37.0,29.0,951.0,115.0,33,2518.0,76.0,73.6,28.0,28,87.0,24,5,18.0,0,1.91,48.0,18.0,30.0,1.07,0.57,50.6,26.6,24.0,0.86,0.02,2.0,0.0,0.0,29.0,39.0,5.0,30.0,16.0,21.0,0.0,0.0,0.0,141.0,23.0,28.0,45.1
