player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Morgan Gibbs-White,eng ENG,"MF,FW",22.0,33.0,5.0,57.0,19.0,33.3,1.73,0.58,0.05,0.16,20.0,3.0,2.0,2.0,6.0,4.4,0.08,-1.0,-1.4,659.0,1078.0,61.1,10717.0,3931.0,351.0,466.0,75.3,195.0,279.0,69.9,84.0,229.0,36.7,8.0,8.2,6.2,-0.2,66.0,70.0,40.0,5.0,131.0,1078.0,891.0,171.0,62.0,16.0,8.0,161.0,5.0,94.0,43.0,44.0,1.0,659.0,16.0,30.0,119.0,3.6,72.0,27.0,9.0,6.0,2.0,3.0,12.0,0.36,6.0,3.0,1.0,2.0,0.0,0.0,26.0,14.0,7.0,7.0,12.0,11.0,32.0,34.4,21.0,23.0,4.0,19.0,14.0,40.0,15.0,0.0,1447.0,20.0,169.0,626.0,680.0,76.0,1445.0,96.0,47.0,49.0,43.0,44.8,764.0,4463.0,2187.0,69.0,62.0,19.0,91.0,44.0,902.0,157.0,35,2971.0,85.0,86.9,33.0,34,87.0,26,1,30.0,0,1.0,37.0,59.0,-22.0,-0.67,0.94,36.0,54.7,-18.7,-0.57,0.69,5.0,0.0,0.0,32.0,28.0,6.0,161.0,14.0,14.0,0.0,0.0,0.0,147.0,56.0,109.0,33.9
Brennan Johnson,wls WAL,"FW,MF",21.0,32.6,8.0,52.0,24.0,46.2,1.6,0.74,0.13,0.29,16.6,0.0,1.0,3.0,8.6,6.2,0.12,-0.6,0.8,291.0,505.0,57.6,4220.0,809.0,155.0,223.0,69.5,103.0,177.0,58.2,15.0,34.0,44.1,3.0,3.2,1.9,-0.2,28.0,12.0,18.0,6.0,30.0,505.0,480.0,23.0,0.0,0.0,2.0,58.0,4.0,1.0,1.0,0.0,0.0,291.0,2.0,27.0,55.0,1.69,36.0,0.0,6.0,7.0,5.0,1.0,11.0,0.34,5.0,0.0,1.0,3.0,2.0,0.0,34.0,20.0,18.0,8.0,8.0,8.0,28.0,28.6,20.0,30.0,1.0,29.0,5.0,39.0,7.0,1.0,806.0,9.0,90.0,309.0,434.0,116.0,803.0,88.0,33.0,37.5,41.0,46.6,450.0,3848.0,2111.0,88.0,46.0,42.0,76.0,25.0,507.0,155.0,38,2934.0,77.0,85.8,32.6,33,86.0,21,5,20.0,0,1.0,30.0,54.0,-24.0,-0.74,0.37,31.8,52.8,-20.9,-0.64,0.1,6.0,0.0,0.0,37.0,21.0,18.0,58.0,5.0,20.0,1.0,0.0,0.0,89.0,18.0,48.0,27.3
Renan Lodi,br BRA,DF,24.0,24.6,0.0,15.0,0.0,0.0,0.61,0.0,0.0,,19.9,2.0,0.0,0.0,1.0,1.0,0.06,-1.0,-1.0,583.0,877.0,66.5,10215.0,3529.0,272.0,323.0,84.2,242.0,339.0,71.4,57.0,162.0,35.2,1.0,1.2,1.3,-0.2,13.0,25.0,14.0,8.0,31.0,877.0,684.0,189.0,44.0,0.0,3.0,75.0,130.0,15.0,12.0,2.0,0.0,583.0,4.0,29.0,30.0,1.22,22.0,6.0,0.0,1.0,1.0,0.0,4.0,0.16,3.0,0.0,0.0,1.0,0.0,0.0,52.0,39.0,38.0,8.0,6.0,33.0,66.0,50.0,33.0,25.0,6.0,19.0,33.0,85.0,74.0,0.0,1143.0,96.0,478.0,418.0,263.0,21.0,1143.0,39.0,16.0,41.0,14.0,35.9,546.0,2834.0,1379.0,24.0,15.0,2.0,18.0,13.0,535.0,70.0,28,2214.0,79.0,64.7,24.6,26,83.0,16,2,25.0,2,1.11,29.0,48.0,-19.0,-0.77,0.05,27.0,41.1,-14.1,-0.57,0.23,7.0,0.0,0.0,29.0,42.0,2.0,75.0,33.0,39.0,0.0,0.0,0.0,153.0,18.0,19.0,48.6
Remo Freuler,ch SUI,MF,30.0,24.0,0.0,8.0,1.0,12.5,0.33,0.04,0.0,0.0,20.0,0.0,0.0,0.0,0.4,0.4,0.05,-0.4,-0.4,664.0,836.0,79.4,9828.0,3216.0,371.0,429.0,86.5,238.0,285.0,83.5,30.0,66.0,45.5,0.0,0.8,0.7,-0.8,12.0,47.0,6.0,3.0,54.0,836.0,812.0,23.0,20.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,664.0,1.0,17.0,29.0,1.21,27.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,23.0,23.0,15.0,5.0,19.0,43.0,44.2,24.0,36.0,9.0,27.0,29.0,72.0,45.0,0.0,1058.0,71.0,360.0,537.0,167.0,13.0,1058.0,12.0,6.0,50.0,4.0,33.3,491.0,2192.0,959.0,7.0,11.0,0.0,20.0,8.0,557.0,11.0,28,2161.0,77.0,63.2,24.0,24,84.0,16,4,38.0,8,0.82,17.0,47.0,-30.0,-1.25,-1.25,22.9,41.5,-18.5,-0.77,-0.31,4.0,0.0,0.0,24.0,12.0,0.0,5.0,29.0,23.0,0.0,0.0,0.0,137.0,26.0,20.0,56.5
Serge Aurier,ci CIV,DF,29.0,21.6,1.0,9.0,3.0,33.3,0.42,0.14,0.11,0.33,16.2,0.0,0.0,0.0,0.8,0.8,0.09,0.2,0.2,667.0,943.0,70.7,10182.0,4393.0,373.0,454.0,82.2,236.0,333.0,70.9,41.0,94.0,43.6,0.0,1.0,0.9,-1.0,10.0,44.0,13.0,6.0,71.0,943.0,758.0,183.0,16.0,1.0,0.0,40.0,167.0,0.0,0.0,0.0,0.0,667.0,2.0,28.0,26.0,1.2,21.0,2.0,0.0,0.0,2.0,1.0,1.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,64.0,41.0,41.0,18.0,5.0,23.0,33.0,69.7,10.0,34.0,11.0,23.0,29.0,93.0,75.0,0.0,1238.0,107.0,484.0,505.0,263.0,13.0,1238.0,32.0,16.0,50.0,11.0,34.4,520.0,2394.0,1398.0,37.0,26.0,2.0,31.0,18.0,574.0,50.0,24,1943.0,81.0,56.8,21.6,22,84.0,16,2,45.0,0,1.38,24.0,31.0,-7.0,-0.32,1.08,22.7,32.7,-10.0,-0.46,0.45,2.0,0.0,0.0,18.0,19.0,0.0,40.0,29.0,41.0,0.0,0.0,0.0,126.0,46.0,32.0,59.0
Joe Worrall,eng ENG,DF,25.0,24.7,1.0,7.0,2.0,28.6,0.28,0.08,0.14,0.5,12.2,0.0,0.0,0.0,0.8,0.8,0.11,0.2,0.2,891.0,1157.0,77.0,18605.0,7188.0,265.0,322.0,82.3,475.0,560.0,84.8,143.0,250.0,57.2,0.0,0.8,0.6,-0.8,5.0,75.0,6.0,0.0,67.0,1157.0,1058.0,97.0,33.0,0.0,8.0,3.0,58.0,0.0,0.0,0.0,0.0,891.0,2.0,9.0,16.0,0.65,14.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,25.0,39.0,12.0,2.0,25.0,35.0,71.4,10.0,33.0,23.0,10.0,26.0,79.0,111.0,1.0,1408.0,213.0,813.0,524.0,75.0,29.0,1408.0,4.0,3.0,75.0,1.0,25.0,684.0,2948.0,1604.0,5.0,5.0,1.0,6.0,4.0,796.0,1.0,30,2224.0,74.0,65.0,24.7,21,89.0,20,9,40.0,8,1.1,26.0,44.0,-18.0,-0.73,0.17,26.6,43.6,-16.9,-0.69,-0.08,6.0,0.0,0.0,27.0,4.0,0.0,3.0,26.0,25.0,0.0,2.0,0.0,123.0,55.0,33.0,62.5
Ryan Yates,eng ENG,MF,24.0,20.4,0.0,26.0,5.0,19.2,1.27,0.24,0.0,0.0,16.8,0.0,0.0,0.0,2.3,2.3,0.09,-2.3,-2.3,455.0,592.0,76.9,7587.0,1812.0,204.0,248.0,82.3,205.0,237.0,86.5,32.0,61.0,52.5,2.0,1.2,0.4,0.8,7.0,26.0,4.0,1.0,43.0,592.0,526.0,62.0,12.0,0.0,6.0,8.0,3.0,0.0,0.0,0.0,0.0,455.0,4.0,17.0,24.0,1.18,18.0,0.0,0.0,4.0,2.0,0.0,3.0,0.15,1.0,0.0,0.0,2.0,0.0,0.0,38.0,19.0,19.0,16.0,3.0,14.0,22.0,63.6,8.0,26.0,8.0,18.0,10.0,48.0,44.0,0.0,790.0,66.0,235.0,418.0,143.0,34.0,790.0,9.0,4.0,44.4,3.0,33.3,303.0,1260.0,577.0,11.0,4.0,3.0,18.0,15.0,384.0,27.0,26,1837.0,71.0,53.7,20.4,21,81.0,14,5,27.0,0,1.04,22.0,36.0,-14.0,-0.69,0.22,22.1,29.0,-6.9,-0.34,0.69,5.0,0.0,0.0,50.0,53.0,1.0,8.0,10.0,19.0,1.0,0.0,0.0,111.0,29.0,21.0,58.0
Neco Williams,wls WAL,DF,21.0,20.9,1.0,25.0,7.0,28.0,1.2,0.33,0.04,0.14,21.2,2.0,0.0,0.0,1.3,1.3,0.05,-0.3,-0.3,533.0,840.0,63.5,9565.0,3461.0,254.0,307.0,82.7,196.0,286.0,68.5,68.0,177.0,38.4,0.0,1.4,1.2,-1.4,15.0,29.0,14.0,9.0,33.0,840.0,651.0,182.0,28.0,3.0,7.0,89.0,141.0,13.0,7.0,6.0,0.0,533.0,7.0,38.0,39.0,1.86,23.0,4.0,4.0,2.0,3.0,3.0,2.0,0.1,1.0,0.0,0.0,1.0,0.0,0.0,72.0,47.0,49.0,17.0,6.0,38.0,71.0,53.5,33.0,33.0,8.0,25.0,33.0,105.0,48.0,0.0,1153.0,82.0,445.0,422.0,309.0,23.0,1153.0,55.0,19.0,34.5,31.0,56.4,555.0,3620.0,2064.0,51.0,33.0,5.0,31.0,17.0,532.0,67.0,31,1882.0,61.0,55.0,20.9,20,85.0,15,11,16.0,2,0.94,18.0,41.0,-23.0,-1.1,-0.69,22.6,38.8,-16.2,-0.77,-0.26,7.0,0.0,0.0,33.0,27.0,2.0,89.0,33.0,47.0,1.0,0.0,0.0,127.0,17.0,27.0,38.6
Orel Mangala,be BEL,MF,24.0,17.2,1.0,9.0,3.0,33.3,0.52,0.17,0.11,0.33,20.7,0.0,0.0,0.0,0.6,0.6,0.06,0.4,0.4,411.0,514.0,80.0,6178.0,1807.0,223.0,256.0,87.1,153.0,183.0,83.6,22.0,42.0,52.4,1.0,0.4,0.5,0.6,3.0,35.0,3.0,0.0,43.0,514.0,508.0,4.0,3.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,411.0,2.0,11.0,13.0,0.76,11.0,0.0,0.0,0.0,2.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,28.0,20.0,16.0,10.0,2.0,12.0,29.0,41.4,17.0,21.0,7.0,14.0,23.0,51.0,15.0,0.0,655.0,31.0,183.0,380.0,99.0,8.0,655.0,34.0,16.0,47.1,12.0,35.3,334.0,1742.0,808.0,14.0,6.0,2.0,11.0,9.0,383.0,8.0,27,1550.0,57.0,45.3,17.2,20,70.0,5,7,20.0,5,1.19,22.0,24.0,-2.0,-0.12,1.23,19.6,28.9,-9.3,-0.54,0.21,3.0,0.0,0.0,22.0,23.0,0.0,6.0,23.0,20.0,0.0,0.0,0.0,88.0,11.0,9.0,55.0
Scott McKenna,sct SCO,DF,25.0,17.5,0.0,2.0,0.0,0.0,0.11,0.0,0.0,,8.2,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,569.0,727.0,78.3,11331.0,4319.0,163.0,195.0,83.6,334.0,394.0,84.8,66.0,122.0,54.1,0.0,1.0,0.4,-1.0,8.0,35.0,3.0,1.0,35.0,727.0,691.0,32.0,11.0,0.0,3.0,2.0,21.0,0.0,0.0,0.0,0.0,569.0,4.0,2.0,10.0,0.57,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,7.0,3.0,2.0,6.0,10.0,60.0,4.0,20.0,14.0,6.0,12.0,24.0,85.0,1.0,877.0,151.0,501.0,333.0,45.0,21.0,877.0,7.0,5.0,71.4,1.0,14.3,430.0,1885.0,929.0,5.0,1.0,0.0,2.0,2.0,508.0,2.0,20,1571.0,79.0,45.9,17.5,19,82.0,16,1,16.0,5,0.85,14.0,32.0,-18.0,-1.03,-0.45,18.8,28.5,-9.7,-0.56,0.18,4.0,0.0,0.0,8.0,4.0,0.0,2.0,12.0,7.0,0.0,1.0,0.0,68.0,36.0,23.0,61.0
