player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Harry Kane,eng ENG,FW,29.0,37.8,30.0,124.0,54.0,43.5,3.28,1.43,0.2,0.46,16.0,3.0,5.0,6.0,21.5,16.7,0.13,8.5,8.3,642.0,921.0,69.7,12295.0,4345.0,286.0,368.0,77.7,236.0,302.0,78.1,103.0,164.0,62.8,3.0,7.0,4.0,-4.0,57.0,100.0,47.0,6.0,180.0,921.0,853.0,60.0,14.0,20.0,18.0,37.0,25.0,0.0,0.0,0.0,0.0,642.0,8.0,39.0,131.0,3.46,89.0,2.0,13.0,12.0,12.0,3.0,18.0,0.48,10.0,0.0,2.0,3.0,3.0,0.0,15.0,12.0,1.0,6.0,8.0,7.0,21.0,33.3,14.0,27.0,7.0,20.0,2.0,17.0,18.0,0.0,1328.0,28.0,106.0,646.0,599.0,167.0,1322.0,108.0,40.0,37.0,53.0,49.1,834.0,4546.0,1842.0,60.0,50.0,21.0,74.0,58.0,1031.0,193.0,38,3405.0,90.0,99.6,37.8,38,90.0,35,0,,0,1.58,70.0,62.0,8.0,0.21,6.21,56.9,49.4,7.5,0.2,0.5,6.0,0.0,0.0,31.0,56.0,16.0,37.0,2.0,12.0,2.0,0.0,0.0,96.0,66.0,81.0,44.9
Pierre Højbjerg,dk DEN,MF,26.0,34.8,4.0,33.0,9.0,27.3,0.95,0.26,0.12,0.44,21.2,0.0,0.0,0.0,2.0,2.0,0.06,2.0,2.0,2021.0,2292.0,88.2,36323.0,9705.0,897.0,970.0,92.5,814.0,895.0,90.9,242.0,314.0,77.1,5.0,3.1,3.2,1.9,30.0,207.0,35.0,5.0,235.0,2292.0,2206.0,81.0,56.0,10.0,39.0,15.0,16.0,1.0,0.0,0.0,0.0,2021.0,5.0,28.0,97.0,2.79,89.0,0.0,2.0,2.0,1.0,3.0,14.0,0.4,14.0,0.0,0.0,0.0,0.0,0.0,56.0,30.0,28.0,22.0,6.0,26.0,67.0,38.8,41.0,46.0,17.0,29.0,49.0,105.0,64.0,1.0,2633.0,122.0,670.0,1537.0,449.0,33.0,2633.0,45.0,30.0,66.7,12.0,26.7,1507.0,6846.0,3215.0,46.0,41.0,8.0,39.0,35.0,1925.0,66.0,35,3131.0,89.0,91.5,34.8,35,89.0,33,0,,0,1.63,64.0,57.0,7.0,0.2,0.2,51.5,45.4,6.1,0.18,-0.23,5.0,0.0,0.0,38.0,36.0,1.0,15.0,49.0,30.0,0.0,0.0,0.0,245.0,27.0,7.0,79.4
Son Heung-min,kr KOR,"MF,FW",30.0,32.1,10.0,81.0,38.0,46.9,2.52,1.18,0.12,0.26,18.3,5.0,0.0,0.0,10.1,10.1,0.12,-0.1,-0.1,680.0,909.0,74.8,9315.0,2506.0,410.0,477.0,86.0,191.0,249.0,76.7,36.0,90.0,40.0,6.0,6.5,4.5,-0.5,61.0,32.0,32.0,6.0,79.0,909.0,780.0,123.0,23.0,5.0,0.0,113.0,5.0,83.0,36.0,30.0,0.0,680.0,6.0,28.0,122.0,3.8,74.0,27.0,7.0,10.0,4.0,0.0,13.0,0.4,8.0,3.0,2.0,0.0,0.0,0.0,24.0,12.0,7.0,8.0,9.0,9.0,30.0,30.0,21.0,23.0,2.0,21.0,13.0,37.0,6.0,0.0,1217.0,12.0,143.0,457.0,643.0,106.0,1217.0,83.0,33.0,39.8,40.0,48.2,727.0,4927.0,2357.0,82.0,60.0,31.0,64.0,55.0,860.0,196.0,36,2888.0,80.0,84.4,32.1,33,85.0,19,3,22.0,0,1.58,57.0,55.0,2.0,0.06,-0.78,48.9,43.0,6.0,0.19,-0.06,2.0,0.0,0.0,13.0,36.0,18.0,113.0,13.0,12.0,0.0,0.0,0.0,109.0,9.0,28.0,24.3
Eric Dier,eng ENG,DF,28.0,31.3,2.0,17.0,4.0,23.5,0.54,0.13,0.12,0.5,11.8,2.0,0.0,0.0,1.6,1.6,0.1,0.4,0.4,1708.0,2001.0,85.4,32594.0,12717.0,636.0,688.0,92.4,866.0,934.0,92.7,179.0,317.0,56.5,1.0,1.2,0.6,-0.2,7.0,76.0,8.0,3.0,87.0,2001.0,1929.0,68.0,58.0,2.0,17.0,11.0,8.0,0.0,0.0,0.0,0.0,1708.0,4.0,15.0,29.0,0.93,24.0,1.0,0.0,4.0,0.0,0.0,2.0,0.06,1.0,0.0,0.0,1.0,0.0,0.0,30.0,19.0,16.0,12.0,2.0,9.0,19.0,47.4,10.0,41.0,24.0,17.0,35.0,65.0,112.0,2.0,2274.0,370.0,1333.0,866.0,84.0,25.0,2274.0,6.0,3.0,50.0,2.0,33.3,1368.0,6183.0,2851.0,9.0,9.0,1.0,10.0,3.0,1600.0,14.0,33,2818.0,85.0,82.4,31.3,31,90.0,30,2,19.0,3,1.73,62.0,52.0,10.0,0.32,0.77,48.4,43.3,5.1,0.16,-0.18,3.0,0.0,0.0,25.0,10.0,1.0,11.0,35.0,19.0,0.0,0.0,0.0,140.0,80.0,35.0,69.6
Cristian Romero,ar ARG,DF,24.0,26.3,0.0,11.0,2.0,18.2,0.42,0.08,0.0,0.0,12.3,0.0,0.0,0.0,1.5,1.5,0.13,-1.5,-1.5,1407.0,1606.0,87.6,25378.0,9085.0,562.0,618.0,90.9,698.0,746.0,93.6,119.0,176.0,67.6,1.0,1.2,1.0,-0.2,8.0,87.0,8.0,0.0,92.0,1606.0,1523.0,80.0,60.0,4.0,20.0,0.0,19.0,0.0,0.0,0.0,0.0,1407.0,3.0,24.0,24.0,0.91,22.0,0.0,0.0,0.0,1.0,1.0,4.0,0.15,3.0,0.0,0.0,0.0,1.0,0.0,68.0,36.0,42.0,24.0,2.0,29.0,46.0,63.0,17.0,40.0,18.0,22.0,44.0,112.0,102.0,3.0,1923.0,299.0,976.0,849.0,111.0,17.0,1923.0,22.0,13.0,59.1,8.0,36.4,1150.0,5216.0,2993.0,19.0,25.0,1.0,19.0,10.0,1226.0,9.0,27,2364.0,88.0,69.1,26.3,26,90.0,24,1,32.0,0,1.59,46.0,41.0,5.0,0.19,0.02,38.1,34.5,3.6,0.14,-0.19,11.0,1.0,1.0,42.0,12.0,0.0,0.0,44.0,36.0,1.0,1.0,0.0,173.0,57.0,26.0,68.7
Ben Davies,wls WAL,DF,29.0,25.4,2.0,14.0,5.0,35.7,0.55,0.2,0.14,0.4,16.7,0.0,0.0,0.0,1.0,1.0,0.07,1.0,1.0,1040.0,1281.0,81.2,17332.0,5962.0,500.0,559.0,89.4,445.0,514.0,86.6,69.0,136.0,50.7,2.0,2.5,1.5,-0.5,20.0,79.0,9.0,6.0,107.0,1281.0,1190.0,87.0,27.0,1.0,8.0,35.0,60.0,0.0,0.0,0.0,0.0,1040.0,4.0,22.0,37.0,1.46,33.0,1.0,0.0,3.0,0.0,0.0,7.0,0.28,5.0,0.0,0.0,2.0,0.0,0.0,28.0,11.0,13.0,13.0,2.0,14.0,26.0,53.8,12.0,17.0,8.0,9.0,18.0,46.0,72.0,0.0,1482.0,95.0,514.0,749.0,223.0,29.0,1482.0,15.0,5.0,33.3,7.0,46.7,835.0,4386.0,2692.0,39.0,33.0,4.0,11.0,5.0,1012.0,69.0,31,2288.0,74.0,66.9,25.4,26,87.0,20,5,7.0,2,1.61,44.0,33.0,11.0,0.43,0.75,35.4,26.4,9.0,0.35,0.48,4.0,0.0,0.0,30.0,17.0,1.0,35.0,18.0,11.0,0.0,0.0,0.0,84.0,70.0,53.0,56.9
Hugo Lloris,fr FRA,GK,35.0,24.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,561.0,728.0,77.1,13442.0,8398.0,174.0,177.0,98.3,241.0,242.0,99.6,146.0,305.0,47.9,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,728.0,513.0,212.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561.0,3.0,1.0,5.0,0.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,1.0,2.0,13.0,4.0,794.0,723.0,792.0,2.0,0.0,0.0,794.0,0.0,0.0,,0.0,,430.0,2401.0,1498.0,0.0,0.0,0.0,2.0,0.0,353.0,0.0,25,2205.0,88.0,64.5,24.5,25,88.0,24,0,,1,1.68,44.0,39.0,5.0,0.2,0.06,35.7,30.8,4.8,0.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,30.0,9.0,3.0,75.0
Clément Lenglet,fr FRA,DF,27.0,22.4,0.0,13.0,2.0,15.4,0.58,0.09,0.0,0.0,15.5,0.0,0.0,0.0,1.0,1.0,0.07,-1.0,-1.0,1270.0,1465.0,86.7,23668.0,8588.0,484.0,501.0,96.6,637.0,701.0,90.9,129.0,219.0,58.9,2.0,0.6,0.8,1.4,6.0,80.0,11.0,5.0,85.0,1465.0,1431.0,29.0,22.0,5.0,20.0,16.0,6.0,0.0,0.0,0.0,0.0,1270.0,5.0,11.0,23.0,1.03,20.0,1.0,0.0,0.0,1.0,1.0,5.0,0.22,5.0,0.0,0.0,0.0,0.0,0.0,38.0,23.0,18.0,15.0,5.0,16.0,34.0,47.1,18.0,26.0,11.0,15.0,18.0,56.0,68.0,2.0,1666.0,178.0,805.0,761.0,107.0,17.0,1666.0,12.0,7.0,58.3,4.0,33.3,1142.0,5666.0,3561.0,33.0,27.0,1.0,12.0,8.0,1256.0,7.0,26,2019.0,78.0,59.0,22.4,24,83.0,14,2,9.0,11,1.54,45.0,35.0,10.0,0.45,0.64,36.8,28.7,8.1,0.36,0.41,4.0,0.0,0.0,23.0,17.0,0.0,16.0,18.0,23.0,0.0,0.0,0.0,119.0,43.0,28.0,60.6
Ivan Perišić,hr CRO,"DF,MF",33.0,23.4,1.0,29.0,8.0,27.6,1.24,0.34,0.03,0.13,15.3,2.0,0.0,0.0,2.6,2.6,0.09,-1.6,-1.6,713.0,1121.0,63.6,12565.0,3575.0,357.0,443.0,80.6,249.0,389.0,64.0,91.0,210.0,43.3,8.0,6.1,5.2,1.9,48.0,29.0,36.0,24.0,61.0,1121.0,895.0,221.0,16.0,0.0,13.0,196.0,138.0,67.0,57.0,6.0,0.0,713.0,5.0,43.0,75.0,3.2,55.0,16.0,1.0,2.0,1.0,0.0,11.0,0.47,7.0,3.0,1.0,0.0,0.0,0.0,42.0,24.0,25.0,10.0,7.0,27.0,47.0,57.4,20.0,29.0,7.0,22.0,22.0,64.0,49.0,1.0,1370.0,73.0,357.0,443.0,583.0,94.0,1370.0,40.0,18.0,45.0,19.0,47.5,611.0,3704.0,2075.0,87.0,29.0,35.0,33.0,14.0,733.0,181.0,34,2108.0,62.0,61.6,23.4,23,83.0,10,11,18.0,3,1.41,40.0,44.0,-4.0,-0.17,-0.93,34.7,34.0,0.7,0.03,-0.43,6.0,0.0,0.0,30.0,8.0,6.0,196.0,22.0,24.0,0.0,0.0,0.0,117.0,33.0,32.0,50.8
Dejan Kulusevski,se SWE,"MF,FW",22.0,23.0,2.0,43.0,10.0,23.3,1.87,0.44,0.05,0.2,17.6,0.0,0.0,0.0,2.6,2.6,0.06,-0.6,-0.6,582.0,746.0,78.0,8120.0,2005.0,355.0,410.0,86.6,179.0,226.0,79.2,25.0,51.0,49.0,7.0,4.7,4.8,2.3,47.0,14.0,38.0,11.0,67.0,746.0,684.0,61.0,1.0,5.0,3.0,62.0,7.0,23.0,6.0,3.0,0.0,582.0,1.0,26.0,97.0,4.22,71.0,5.0,15.0,5.0,0.0,1.0,11.0,0.48,9.0,1.0,1.0,0.0,0.0,0.0,38.0,15.0,23.0,7.0,8.0,16.0,44.0,36.4,28.0,19.0,0.0,19.0,13.0,51.0,7.0,0.0,1048.0,26.0,156.0,394.0,528.0,107.0,1048.0,110.0,50.0,45.5,52.0,47.3,675.0,4897.0,2507.0,87.0,46.0,48.0,78.0,52.0,711.0,195.0,30,2067.0,69.0,60.4,23.0,23,81.0,5,7,28.0,0,1.6,42.0,40.0,2.0,0.09,-0.25,32.8,30.6,2.2,0.09,-0.26,2.0,0.0,0.0,36.0,25.0,3.0,62.0,13.0,15.0,0.0,1.0,0.0,145.0,3.0,7.0,30.0
