player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Berat Djimsiti,al ALB,DF,24.0,30.0,0.0,9.0,2.0,22.2,0.3,0.07,0.0,0.0,9.9,0.0,0.0,0.0,1.0,1.0,0.12,-1.0,-1.0,1423.0,1618.0,87.9,27772.0,10280.0,470.0,513.0,91.6,768.0,830.0,92.5,168.0,233.0,72.1,1.0,0.6,0.5,0.4,3.0,64.0,2.0,0.0,90.0,1618.0,1542.0,73.0,62.0,0.0,17.0,1.0,11.0,0.0,0.0,0.0,0.0,1423.0,3.0,8.0,22.0,0.73,17.0,1.0,1.0,2.0,1.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,32.0,17.0,28.0,4.0,0.0,12.0,30.0,40.0,18.0,37.0,23.0,14.0,62.0,94.0,178.0,1.0,1953.0,293.0,1162.0,758.0,46.0,22.0,1953.0,10.0,8.0,80.0,2.0,20.0,1063.0,7610.0,4677.0,26.0,13.0,0.0,8.0,2.0,1247.0,1.0,30,2700.0,90.0,78.9,30.0,30,,30.0,0,,5,0.7,30.0,61.0,-31.0,-1.03,1.47,30.9,54.1,-23.3,-0.78,0.68,2.0,0.0,0.0,24.0,22.0,0.0,1.0,62.0,17.0,0.0,3.0,0.0,164.0,60.0,32.0,65.2
Lorenzo Venuti,it ITA,DF,22.0,26.6,0.0,5.0,1.0,20.0,0.19,0.04,0.0,0.0,12.0,0.0,0.0,0.0,0.5,0.5,0.1,-0.5,-0.5,971.0,1197.0,81.1,15880.0,5632.0,513.0,570.0,90.0,351.0,408.0,86.0,85.0,157.0,54.1,1.0,2.0,1.6,-1.0,20.0,48.0,17.0,12.0,74.0,1197.0,983.0,209.0,25.0,1.0,7.0,45.0,183.0,1.0,0.0,0.0,0.0,971.0,5.0,32.0,40.0,1.51,31.0,3.0,1.0,1.0,3.0,1.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,44.0,34.0,26.0,12.0,6.0,16.0,37.0,43.2,21.0,40.0,16.0,24.0,40.0,84.0,105.0,3.0,1494.0,147.0,632.0,618.0,260.0,14.0,1494.0,30.0,17.0,56.7,13.0,43.3,704.0,3921.0,2182.0,47.0,33.0,4.0,21.0,11.0,833.0,46.0,31,2390.0,77.0,69.9,26.6,25,,23.0,6,,6,0.55,22.0,65.0,-43.0,-1.62,-0.92,26.5,57.3,-30.9,-1.16,-0.81,4.0,0.0,0.0,20.0,49.0,2.0,45.0,40.0,34.0,0.0,0.0,1.0,116.0,23.0,35.0,39.7
Danilo Cataldi,it ITA,MF,22.0,25.4,1.0,36.0,6.0,16.7,1.42,0.24,0.03,0.17,25.3,5.0,0.0,0.0,1.5,1.5,0.04,-0.5,-0.5,1124.0,1369.0,82.1,19121.0,5343.0,537.0,600.0,89.5,412.0,475.0,86.7,128.0,209.0,61.2,4.0,2.3,2.1,1.7,37.0,98.0,18.0,6.0,135.0,1369.0,1272.0,92.0,46.0,5.0,19.0,62.0,12.0,33.0,11.0,14.0,0.0,1124.0,5.0,19.0,79.0,3.12,60.0,8.0,2.0,3.0,2.0,4.0,7.0,0.28,5.0,1.0,0.0,0.0,0.0,1.0,33.0,25.0,12.0,19.0,2.0,5.0,28.0,17.9,23.0,18.0,5.0,13.0,37.0,70.0,20.0,1.0,1558.0,41.0,320.0,889.0,374.0,26.0,1558.0,31.0,23.0,74.2,8.0,25.8,856.0,5618.0,2269.0,49.0,25.0,6.0,29.0,22.0,1086.0,66.0,29,2282.0,79.0,66.7,25.4,25,,20.0,4,,4,0.31,15.0,57.0,-42.0,-1.66,-0.94,21.4,50.0,-28.6,-1.13,-0.64,10.0,2.0,1.0,35.0,28.0,0.0,62.0,37.0,25.0,0.0,0.0,0.0,180.0,2.0,10.0,16.7
Gaetano Letizia,it ITA,DF,27.0,23.8,1.0,22.0,5.0,22.7,0.92,0.21,0.05,0.2,27.1,1.0,0.0,0.0,0.8,0.8,0.04,0.2,0.2,999.0,1298.0,77.0,18067.0,5598.0,477.0,549.0,86.9,362.0,455.0,79.6,135.0,229.0,59.0,0.0,1.0,0.9,-1.0,21.0,82.0,20.0,10.0,100.0,1298.0,1083.0,207.0,33.0,2.0,28.0,104.0,172.0,2.0,1.0,0.0,0.0,999.0,8.0,32.0,52.0,2.18,33.0,6.0,6.0,2.0,3.0,2.0,3.0,0.13,2.0,0.0,0.0,1.0,0.0,0.0,36.0,26.0,21.0,14.0,1.0,19.0,49.0,38.8,30.0,24.0,3.0,21.0,33.0,69.0,47.0,3.0,1526.0,74.0,490.0,684.0,380.0,16.0,1526.0,63.0,38.0,60.3,25.0,39.7,790.0,5944.0,3948.0,94.0,59.0,7.0,39.0,23.0,903.0,109.0,29,2141.0,74.0,62.6,23.8,25,,16.0,4,,7,0.48,18.0,45.0,-27.0,-1.13,0.55,23.3,38.2,-14.9,-0.63,0.78,6.0,2.0,1.0,29.0,34.0,1.0,104.0,33.0,26.0,0.0,1.0,0.0,176.0,20.0,26.0,43.5
Nicolas Viola,it ITA,MF,27.0,20.6,2.0,33.0,13.0,39.4,1.61,0.63,0.06,0.15,30.2,7.0,0.0,1.0,2.3,1.5,0.04,-0.3,0.5,999.0,1295.0,77.1,18429.0,5322.0,433.0,483.0,89.6,390.0,467.0,83.5,141.0,263.0,53.6,6.0,3.8,2.9,2.2,43.0,105.0,16.0,2.0,109.0,1295.0,1148.0,133.0,66.0,4.0,25.0,98.0,2.0,64.0,33.0,27.0,1.0,999.0,14.0,20.0,92.0,4.48,47.0,25.0,7.0,4.0,7.0,2.0,11.0,0.54,4.0,4.0,2.0,0.0,0.0,1.0,37.0,27.0,20.0,14.0,3.0,15.0,39.0,38.5,24.0,29.0,8.0,21.0,24.0,61.0,23.0,2.0,1487.0,34.0,328.0,877.0,313.0,8.0,1486.0,50.0,37.0,74.0,13.0,26.0,870.0,4686.0,2353.0,43.0,36.0,1.0,26.0,33.0,1051.0,35.0,24,1850.0,77.0,54.1,20.6,20,,17.0,4,,11,0.79,25.0,49.0,-24.0,-1.17,0.38,24.4,41.7,-17.2,-0.84,0.17,2.0,2.0,1.0,37.0,40.0,1.0,98.0,24.0,27.0,0.0,1.0,0.0,143.0,12.0,11.0,52.2
Andrea Costa,it ITA,DF,31.0,15.3,0.0,9.0,0.0,0.0,0.59,0.0,0.0,,8.8,0.0,0.0,0.0,1.3,1.3,0.15,-1.3,-1.3,539.0,702.0,76.8,9926.0,4757.0,233.0,260.0,89.6,233.0,287.0,81.2,61.0,131.0,46.6,0.0,0.1,0.4,-0.1,2.0,37.0,6.0,3.0,51.0,702.0,658.0,42.0,27.0,1.0,10.0,6.0,15.0,0.0,0.0,0.0,0.0,539.0,2.0,4.0,9.0,0.59,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14.0,13.0,6.0,0.0,9.0,19.0,47.4,10.0,21.0,15.0,6.0,37.0,56.0,78.0,2.0,869.0,91.0,456.0,395.0,25.0,11.0,869.0,3.0,3.0,100.0,0.0,0.0,470.0,2848.0,1961.0,15.0,7.0,0.0,4.0,1.0,528.0,2.0,16,1375.0,86.0,40.2,15.3,16,,13.0,0,,5,0.44,11.0,34.0,-23.0,-1.51,-0.27,15.5,30.7,-15.2,-1.0,-0.13,5.0,0.0,0.0,22.0,11.0,0.0,6.0,37.0,14.0,0.0,1.0,0.0,62.0,26.0,22.0,54.2
Enrico Brignola,it ITA,"MF,FW",18.0,15.0,3.0,32.0,9.0,28.1,2.14,0.6,0.09,0.33,19.7,0.0,0.0,0.0,2.7,2.7,0.09,0.3,0.3,383.0,480.0,79.8,5665.0,1225.0,206.0,235.0,87.7,137.0,162.0,84.6,21.0,35.0,60.0,2.0,1.3,1.0,0.7,19.0,19.0,9.0,1.0,42.0,480.0,471.0,8.0,0.0,2.0,1.0,16.0,5.0,2.0,1.0,0.0,0.0,383.0,1.0,23.0,49.0,3.27,31.0,2.0,7.0,6.0,2.0,1.0,3.0,0.2,2.0,0.0,1.0,0.0,0.0,0.0,28.0,21.0,17.0,10.0,1.0,12.0,38.0,31.6,26.0,13.0,0.0,13.0,6.0,34.0,7.0,0.0,654.0,7.0,111.0,306.0,246.0,47.0,654.0,48.0,24.0,50.0,24.0,50.0,456.0,3664.0,1415.0,45.0,32.0,28.0,33.0,42.0,520.0,74.0,18,1347.0,75.0,39.4,15.0,16,,8.0,2,,9,1.17,22.0,26.0,-4.0,-0.27,1.77,19.1,22.5,-3.4,-0.23,1.15,5.0,0.0,0.0,36.0,13.0,7.0,16.0,6.0,21.0,0.0,0.0,0.0,49.0,5.0,14.0,26.3
Ledian Memushaj,al ALB,MF,30.0,14.0,0.0,18.0,2.0,11.1,1.29,0.14,0.0,0.0,23.4,1.0,0.0,0.0,0.7,0.7,0.04,-0.7,-0.7,542.0,682.0,79.5,8230.0,3131.0,296.0,325.0,91.1,173.0,217.0,79.7,42.0,79.0,53.2,0.0,1.1,1.1,-1.1,19.0,59.0,8.0,2.0,78.0,682.0,625.0,50.0,26.0,2.0,5.0,29.0,9.0,15.0,3.0,10.0,0.0,542.0,7.0,13.0,40.0,2.86,34.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,18.0,11.0,13.0,4.0,7.0,30.0,23.3,23.0,24.0,5.0,19.0,10.0,38.0,10.0,1.0,828.0,19.0,167.0,463.0,212.0,17.0,828.0,40.0,23.0,57.5,17.0,42.5,505.0,3379.0,1711.0,37.0,26.0,5.0,23.0,26.0,586.0,43.0,17,1258.0,74.0,36.8,14.0,15,,10.0,2,,9,0.41,7.0,31.0,-24.0,-1.72,-0.59,13.1,23.3,-10.3,-0.73,0.29,3.0,0.0,0.0,19.0,25.0,0.0,29.0,10.0,18.0,0.0,0.0,0.0,96.0,7.0,5.0,58.3
Massimo Coda,it ITA,FW,28.0,15.7,4.0,59.0,19.0,32.2,3.75,1.21,0.05,0.16,17.8,2.0,1.0,1.0,5.6,4.8,0.08,-1.6,-1.8,243.0,352.0,69.0,3630.0,669.0,142.0,188.0,75.5,68.0,101.0,67.3,22.0,27.0,81.5,1.0,1.3,1.4,-0.3,21.0,14.0,10.0,1.0,35.0,352.0,311.0,37.0,0.0,3.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,243.0,4.0,11.0,49.0,3.12,40.0,1.0,5.0,2.0,1.0,0.0,3.0,0.19,2.0,0.0,0.0,0.0,1.0,0.0,12.0,9.0,3.0,4.0,5.0,2.0,13.0,15.4,11.0,7.0,2.0,5.0,6.0,18.0,11.0,0.0,534.0,17.0,38.0,240.0,269.0,65.0,533.0,31.0,15.0,48.4,16.0,51.6,332.0,1994.0,892.0,26.0,24.0,7.0,49.0,26.0,397.0,114.0,24,1417.0,59.0,41.4,15.7,14,,9.0,10,,14,0.58,14.0,37.0,-23.0,-1.46,-0.2,17.0,29.7,-12.7,-0.81,0.19,1.0,0.0,0.0,18.0,8.0,23.0,7.0,6.0,9.0,1.0,0.0,0.0,45.0,38.0,56.0,40.4
Christian Puggioni,it ITA,GK,36.0,13.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,358.0,480.0,74.6,10523.0,7682.0,48.0,48.0,100.0,167.0,171.0,97.7,143.0,260.0,55.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,480.0,316.0,163.0,43.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,517.0,460.0,517.0,0.0,0.0,0.0,517.0,0.0,0.0,,0.0,,239.0,1276.0,1008.0,0.0,0.0,0.0,0.0,0.0,189.0,0.0,14,1179.0,84.0,34.5,13.1,14,,13.0,0,,1,0.71,12.0,26.0,-14.0,-1.07,0.42,13.6,22.8,-9.2,-0.7,0.33,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,100.0
