player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Simone Verdi,it ITA,"FW,MF",25.0,31.4,10.0,90.0,27.0,30.0,2.87,0.86,0.09,0.3,23.2,26.0,2.0,2.0,7.8,6.3,0.07,2.2,1.7,916.0,1345.0,68.1,16967.0,4618.0,416.0,491.0,84.7,330.0,463.0,71.3,132.0,310.0,42.6,8.0,6.5,5.8,1.5,52.0,88.0,49.0,16.0,114.0,1345.0,1079.0,264.0,60.0,7.0,35.0,233.0,35.0,122.0,108.0,8.0,0.0,916.0,2.0,36.0,121.0,3.85,67.0,21.0,13.0,8.0,9.0,3.0,15.0,0.48,8.0,4.0,0.0,0.0,3.0,0.0,33.0,24.0,17.0,13.0,3.0,11.0,43.0,25.6,32.0,20.0,1.0,19.0,36.0,69.0,12.0,0.0,1693.0,11.0,185.0,819.0,728.0,69.0,1691.0,119.0,78.0,65.5,37.0,31.1,1091.0,7321.0,2862.0,93.0,76.0,21.0,80.0,78.0,1172.0,208.0,34,2827.0,83.0,82.7,31.4,34,,24.0,0,,1,0.97,31.0,41.0,-10.0,-0.32,-0.01,29.1,40.9,-11.8,-0.38,0.08,2.0,0.0,0.0,22.0,61.0,6.0,233.0,36.0,24.0,1.0,0.0,0.0,156.0,4.0,26.0,13.3
Antonio Mirante,it ITA,GK,34.0,33.0,0.0,1.0,1.0,100.0,0.03,0.03,0.0,0.0,12.0,0.0,0.0,0.0,0.1,0.1,0.09,-0.1,-0.1,886.0,1264.0,70.1,31229.0,26108.0,63.0,63.0,100.0,347.0,354.0,98.0,472.0,838.0,56.3,0.0,0.0,0.1,0.0,1.0,22.0,0.0,0.0,3.0,1264.0,782.0,478.0,157.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,886.0,4.0,1.0,5.0,0.15,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,11.0,5.0,1336.0,1073.0,1323.0,16.0,1.0,1.0,1336.0,2.0,2.0,100.0,0.0,0.0,660.0,3908.0,2780.0,0.0,0.0,0.0,0.0,0.0,456.0,0.0,33,2970.0,90.0,86.8,33.0,33,,33.0,0,,0,1.06,36.0,46.0,-10.0,-0.3,0.1,32.5,44.8,-12.3,-0.37,0.14,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,73.0,11.0,1.0,91.7
Adam Masina,ma MAR,DF,23.0,31.4,0.0,17.0,3.0,17.6,0.54,0.1,0.0,0.0,16.9,0.0,0.0,0.0,1.9,1.9,0.11,-1.9,-1.9,1276.0,1662.0,76.8,21096.0,9195.0,648.0,771.0,84.0,512.0,642.0,79.8,93.0,171.0,54.4,1.0,1.8,1.9,-0.8,25.0,143.0,21.0,10.0,162.0,1662.0,1350.0,306.0,22.0,0.0,12.0,46.0,284.0,0.0,0.0,0.0,0.0,1276.0,6.0,38.0,61.0,1.94,52.0,1.0,1.0,5.0,1.0,1.0,5.0,0.16,2.0,0.0,0.0,3.0,0.0,0.0,82.0,57.0,49.0,26.0,7.0,36.0,84.0,42.9,48.0,46.0,7.0,39.0,51.0,133.0,127.0,0.0,2047.0,128.0,615.0,1037.0,415.0,40.0,2047.0,36.0,20.0,55.6,16.0,44.4,1035.0,5229.0,2852.0,57.0,43.0,3.0,43.0,27.0,1160.0,108.0,34,2830.0,83.0,82.7,31.4,33,,22.0,1,,2,0.97,31.0,43.0,-12.0,-0.38,-0.38,28.4,39.5,-11.1,-0.35,0.21,8.0,1.0,0.0,56.0,23.0,5.0,46.0,51.0,57.0,0.0,2.0,0.0,163.0,115.0,48.0,70.6
Andrea Poli,it ITA,MF,27.0,28.3,2.0,12.0,4.0,33.3,0.42,0.14,0.17,0.5,15.3,0.0,0.0,0.0,2.5,2.5,0.21,-0.5,-0.5,1127.0,1270.0,88.7,18037.0,4250.0,567.0,616.0,92.0,455.0,489.0,93.0,74.0,90.0,82.2,0.0,0.6,1.3,-0.6,14.0,97.0,19.0,3.0,113.0,1270.0,1230.0,35.0,14.0,2.0,1.0,14.0,16.0,0.0,0.0,0.0,0.0,1127.0,5.0,26.0,47.0,1.66,35.0,0.0,3.0,0.0,6.0,3.0,5.0,0.18,5.0,0.0,0.0,0.0,0.0,0.0,66.0,53.0,33.0,27.0,6.0,18.0,64.0,28.1,46.0,55.0,3.0,52.0,43.0,109.0,27.0,0.0,1540.0,55.0,352.0,919.0,291.0,27.0,1540.0,29.0,20.0,69.0,9.0,31.0,1060.0,4228.0,1691.0,19.0,31.0,2.0,37.0,33.0,1069.0,79.0,32,2543.0,79.0,74.4,28.3,32,,13.0,0,,2,1.19,30.0,39.0,-9.0,-0.32,-0.01,26.4,38.9,-12.5,-0.44,-0.2,9.0,2.0,1.0,31.0,54.0,1.0,14.0,43.0,53.0,0.0,0.0,0.0,183.0,10.0,45.0,18.2
Erick Pulgar,cl CHI,MF,23.0,30.8,3.0,33.0,11.0,33.3,1.07,0.36,0.09,0.27,28.4,5.0,0.0,1.0,2.2,1.4,0.04,0.8,1.6,1429.0,1748.0,81.8,27057.0,8968.0,569.0,642.0,88.6,637.0,736.0,86.5,190.0,284.0,66.9,0.0,3.1,3.2,-3.1,25.0,155.0,19.0,1.0,169.0,1748.0,1655.0,89.0,60.0,6.0,27.0,33.0,6.0,22.0,13.0,5.0,0.0,1429.0,4.0,37.0,53.0,1.72,35.0,10.0,1.0,2.0,4.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,70.0,48.0,41.0,29.0,0.0,24.0,75.0,32.0,51.0,49.0,13.0,36.0,46.0,116.0,83.0,1.0,2082.0,118.0,613.0,1285.0,209.0,14.0,2080.0,21.0,19.0,90.5,2.0,9.5,1222.0,5386.0,2760.0,25.0,26.0,2.0,36.0,18.0,1340.0,23.0,32,2770.0,87.0,81.0,30.8,31,,30.0,1,,0,1.09,33.0,44.0,-11.0,-0.36,-0.22,29.3,41.1,-11.9,-0.39,0.02,9.0,0.0,0.0,44.0,31.0,1.0,33.0,46.0,48.0,0.0,0.0,0.0,218.0,32.0,20.0,61.5
Filip Helander,se SWE,DF,24.0,27.8,0.0,4.0,1.0,25.0,0.14,0.04,0.0,0.0,13.9,0.0,0.0,0.0,0.3,0.3,0.07,-0.3,-0.3,1007.0,1242.0,81.1,20541.0,7490.0,303.0,338.0,89.6,572.0,638.0,89.7,123.0,224.0,54.9,0.0,0.0,0.4,0.0,1.0,65.0,2.0,0.0,87.0,1242.0,1177.0,60.0,35.0,0.0,7.0,0.0,25.0,0.0,0.0,0.0,0.0,1007.0,5.0,25.0,10.0,0.36,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,32.0,33.0,15.0,0.0,15.0,29.0,51.7,14.0,47.0,25.0,22.0,37.0,85.0,160.0,2.0,1567.0,207.0,784.0,760.0,31.0,12.0,1567.0,6.0,6.0,100.0,0.0,0.0,902.0,4907.0,2982.0,24.0,5.0,0.0,14.0,6.0,933.0,3.0,29,2499.0,86.0,73.1,27.8,27,,26.0,2,,5,1.03,28.0,40.0,-12.0,-0.43,-0.43,26.2,36.2,-10.0,-0.36,0.11,6.0,0.0,0.0,29.0,12.0,0.0,0.0,37.0,32.0,0.0,0.0,0.0,94.0,61.0,45.0,57.5
Rodrigo Palacio,ar ARG,"FW,MF",35.0,22.9,4.0,32.0,11.0,34.4,1.39,0.48,0.13,0.36,13.8,0.0,0.0,0.0,5.1,5.1,0.16,-1.1,-1.1,486.0,700.0,69.4,7485.0,1118.0,268.0,341.0,78.6,155.0,221.0,70.1,39.0,64.0,60.9,2.0,3.2,3.0,-1.2,34.0,24.0,22.0,8.0,42.0,700.0,678.0,21.0,1.0,3.0,6.0,58.0,10.0,0.0,0.0,0.0,0.0,486.0,1.0,38.0,65.0,2.83,48.0,0.0,4.0,5.0,7.0,1.0,6.0,0.26,4.0,0.0,1.0,1.0,0.0,0.0,25.0,18.0,6.0,12.0,7.0,10.0,28.0,35.7,18.0,16.0,2.0,14.0,12.0,37.0,14.0,0.0,961.0,17.0,60.0,371.0,539.0,95.0,961.0,56.0,34.0,60.7,22.0,39.3,699.0,4649.0,1770.0,81.0,40.0,27.0,89.0,63.0,799.0,235.0,28,2065.0,74.0,60.4,22.9,23,,16.0,5,,2,0.96,26.0,32.0,-6.0,-0.26,0.14,22.0,30.7,-8.6,-0.38,0.03,9.0,0.0,0.0,42.0,52.0,18.0,58.0,12.0,18.0,0.0,0.0,0.0,68.0,51.0,76.0,40.2
Sebastien De Maio,fr FRA,DF,30.0,22.8,2.0,6.0,2.0,33.3,0.26,0.09,0.33,1.0,11.7,0.0,0.0,0.0,1.2,1.2,0.2,0.8,0.8,921.0,1135.0,81.1,19737.0,7366.0,262.0,302.0,86.8,497.0,555.0,89.5,160.0,260.0,61.5,0.0,0.4,0.4,-0.4,5.0,63.0,4.0,0.0,71.0,1135.0,1045.0,89.0,42.0,0.0,23.0,2.0,47.0,0.0,0.0,0.0,0.0,921.0,1.0,14.0,13.0,0.57,12.0,1.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,26.0,17.0,15.0,11.0,0.0,10.0,25.0,40.0,15.0,35.0,18.0,17.0,36.0,62.0,147.0,0.0,1403.0,159.0,676.0,687.0,50.0,14.0,1403.0,6.0,4.0,66.7,2.0,33.3,777.0,3944.0,2099.0,19.0,5.0,0.0,12.0,12.0,820.0,7.0,26,2053.0,79.0,60.0,22.8,22,,20.0,4,,10,1.12,22.0,30.0,-8.0,-0.35,-0.09,21.9,32.5,-10.6,-0.47,-0.19,7.0,0.0,0.0,31.0,6.0,2.0,2.0,36.0,17.0,0.0,0.0,1.0,87.0,36.0,30.0,54.5
Giancarlo González,cr CRC,DF,29.0,20.6,0.0,1.0,0.0,0.0,0.05,0.0,0.0,,6.0,0.0,0.0,0.0,0.1,0.1,0.12,-0.1,-0.1,797.0,995.0,80.1,17741.0,7662.0,206.0,229.0,90.0,438.0,486.0,90.1,151.0,259.0,58.3,0.0,0.0,0.1,0.0,0.0,46.0,0.0,0.0,37.0,995.0,927.0,63.0,43.0,0.0,15.0,0.0,20.0,0.0,0.0,0.0,0.0,797.0,5.0,9.0,3.0,0.15,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,14.0,5.0,1.0,9.0,13.0,69.2,4.0,26.0,18.0,8.0,33.0,53.0,152.0,1.0,1246.0,154.0,759.0,477.0,15.0,7.0,1246.0,0.0,0.0,,0.0,,661.0,3826.0,1970.0,11.0,4.0,0.0,5.0,4.0,720.0,1.0,22,1857.0,84.0,54.3,20.6,22,,19.0,0,,8,1.09,22.0,30.0,-8.0,-0.39,-0.16,19.4,28.0,-8.6,-0.42,-0.06,5.0,3.0,1.0,16.0,5.0,0.0,0.0,33.0,15.0,0.0,0.0,0.0,76.0,52.0,37.0,58.4
Godfred Donsah,gh GHA,MF,21.0,19.9,2.0,24.0,6.0,25.0,1.2,0.3,0.08,0.33,22.3,0.0,0.0,0.0,1.3,1.3,0.05,0.7,0.7,475.0,639.0,74.3,7568.0,2299.0,269.0,309.0,87.1,160.0,212.0,75.5,33.0,65.0,50.8,1.0,1.5,0.9,-0.5,13.0,50.0,14.0,0.0,70.0,639.0,622.0,12.0,3.0,1.0,8.0,5.0,7.0,0.0,0.0,0.0,0.0,475.0,5.0,26.0,36.0,1.81,24.0,0.0,8.0,2.0,2.0,0.0,4.0,0.2,2.0,0.0,2.0,0.0,0.0,0.0,29.0,20.0,11.0,14.0,4.0,10.0,17.0,58.8,7.0,25.0,0.0,25.0,22.0,51.0,43.0,0.0,850.0,41.0,167.0,487.0,213.0,24.0,850.0,34.0,30.0,88.2,4.0,11.8,519.0,3083.0,1731.0,49.0,41.0,11.0,43.0,31.0,527.0,51.0,28,1794.0,64.0,52.5,19.9,20,,13.0,8,,5,1.14,24.0,27.0,-3.0,-0.15,0.35,19.9,25.3,-5.4,-0.27,0.25,3.0,0.0,0.0,19.0,12.0,3.0,5.0,22.0,20.0,0.0,0.0,0.0,110.0,17.0,33.0,34.0
