player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Stefano Sorrentino,it ITA,GK,38.0,38.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,777.0,1196.0,65.0,25138.0,20220.0,63.0,63.0,100.0,328.0,331.0,99.1,384.0,797.0,48.2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1196.0,657.0,536.0,142.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,777.0,3.0,0.0,3.0,0.08,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,1305.0,1164.0,1291.0,14.0,0.0,0.0,1305.0,0.0,0.0,,0.0,,484.0,3376.0,2319.0,0.0,0.0,0.0,0.0,0.0,364.0,0.0,38,3420.0,90.0,100.0,38.0,38,,38.0,0,,0,1.05,36.0,59.0,-23.0,-0.61,,34.1,55.2,-21.2,-0.56,,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,5.0,1.0,83.3
Ivan Radovanović,rs SRB,MF,28.0,34.9,1.0,33.0,9.0,27.3,0.95,0.26,0.03,0.11,30.5,4.0,0.0,0.0,0.9,0.9,0.03,0.1,0.1,1472.0,1850.0,79.6,30386.0,9591.0,546.0,610.0,89.5,629.0,733.0,85.8,267.0,437.0,61.1,1.0,0.8,1.4,0.2,15.0,155.0,22.0,5.0,179.0,1850.0,1698.0,139.0,120.0,2.0,62.0,30.0,5.0,14.0,13.0,1.0,0.0,1472.0,13.0,18.0,54.0,1.55,48.0,2.0,0.0,3.0,0.0,1.0,8.0,0.23,7.0,0.0,0.0,1.0,0.0,0.0,55.0,35.0,30.0,22.0,3.0,18.0,48.0,37.5,30.0,39.0,16.0,23.0,47.0,102.0,107.0,1.0,2149.0,126.0,629.0,1336.0,207.0,5.0,2149.0,11.0,8.0,72.7,3.0,27.3,1173.0,4989.0,2548.0,17.0,21.0,0.0,17.0,20.0,1279.0,12.0,35,3140.0,90.0,91.8,34.9,35,,33.0,0,,0,0.97,32.0,51.0,-19.0,-0.54,0.74,29.6,49.6,-20.0,-0.57,-0.18,6.0,1.0,0.0,33.0,39.0,0.0,30.0,47.0,35.0,0.0,0.0,0.0,247.0,60.0,34.0,63.8
Roberto Inglese,it ITA,FW,25.0,30.9,12.0,74.0,35.0,47.3,2.39,1.13,0.15,0.31,13.8,0.0,1.0,2.0,8.8,7.3,0.1,3.2,3.7,366.0,566.0,64.7,4799.0,855.0,221.0,294.0,75.2,98.0,166.0,59.0,16.0,33.0,48.5,1.0,2.4,2.0,-1.4,26.0,19.0,14.0,3.0,44.0,566.0,552.0,9.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,366.0,5.0,21.0,64.0,2.07,47.0,0.0,9.0,3.0,4.0,1.0,4.0,0.13,3.0,0.0,1.0,0.0,0.0,0.0,31.0,21.0,13.0,9.0,9.0,7.0,30.0,23.3,23.0,21.0,2.0,19.0,8.0,39.0,17.0,1.0,875.0,19.0,88.0,357.0,447.0,142.0,873.0,39.0,31.0,79.5,8.0,20.5,547.0,2981.0,931.0,46.0,19.0,28.0,97.0,71.0,692.0,211.0,34,2782.0,82.0,81.3,30.9,33,,21.0,1,,1,1.15,32.0,40.0,-8.0,-0.26,1.86,31.0,45.0,-13.9,-0.45,0.57,3.0,0.0,0.0,39.0,36.0,49.0,19.0,8.0,21.0,1.0,0.0,0.0,70.0,91.0,101.0,47.4
Fabrizio Cacciatore,it ITA,DF,30.0,31.9,2.0,21.0,10.0,47.6,0.66,0.31,0.1,0.2,18.6,0.0,0.0,0.0,1.2,1.2,0.06,0.8,0.8,1513.0,2001.0,75.6,26204.0,11008.0,707.0,804.0,87.9,618.0,778.0,79.4,158.0,329.0,48.0,2.0,2.8,3.9,-0.8,35.0,115.0,61.0,26.0,153.0,2001.0,1657.0,337.0,28.0,2.0,12.0,132.0,306.0,3.0,0.0,3.0,0.0,1513.0,7.0,42.0,78.0,2.45,61.0,8.0,2.0,2.0,3.0,2.0,8.0,0.25,7.0,1.0,0.0,0.0,0.0,0.0,34.0,27.0,20.0,9.0,5.0,15.0,30.0,50.0,15.0,33.0,11.0,22.0,38.0,72.0,99.0,3.0,2282.0,140.0,719.0,952.0,621.0,37.0,2282.0,21.0,10.0,47.6,11.0,52.4,1141.0,4944.0,2619.0,49.0,41.0,4.0,25.0,16.0,1395.0,140.0,33,2871.0,87.0,83.9,31.9,32,,30.0,1,,1,1.03,31.0,51.0,-20.0,-0.63,-0.14,30.3,44.7,-14.4,-0.45,0.65,5.0,1.0,0.0,15.0,22.0,3.0,132.0,38.0,27.0,0.0,0.0,0.0,167.0,51.0,35.0,59.3
Valter Birsa,si SVN,"MF,FW",30.0,27.8,3.0,48.0,17.0,35.4,1.73,0.61,0.06,0.18,23.7,5.0,0.0,0.0,2.3,2.3,0.05,0.7,0.7,1095.0,1513.0,72.4,18368.0,5084.0,554.0,649.0,85.4,376.0,493.0,76.3,122.0,257.0,47.5,6.0,6.4,6.0,-0.4,66.0,133.0,38.0,17.0,157.0,1513.0,1268.0,233.0,61.0,5.0,14.0,222.0,8.0,107.0,59.0,42.0,1.0,1095.0,12.0,45.0,124.0,4.45,84.0,31.0,5.0,1.0,1.0,2.0,14.0,0.5,9.0,5.0,0.0,0.0,0.0,0.0,28.0,14.0,7.0,18.0,3.0,7.0,54.0,13.0,47.0,22.0,2.0,20.0,24.0,52.0,20.0,1.0,1767.0,18.0,142.0,884.0,773.0,31.0,1767.0,60.0,29.0,48.3,31.0,51.7,1041.0,5627.0,2693.0,77.0,78.0,5.0,57.0,46.0,1238.0,145.0,35,2504.0,72.0,73.2,27.8,29,,13.0,6,,1,1.11,29.0,41.0,-12.0,-0.43,0.65,27.5,37.5,-10.0,-0.36,0.74,3.0,0.0,0.0,24.0,31.0,1.0,222.0,24.0,14.0,0.0,0.0,0.0,138.0,26.0,37.0,41.3
Përparim Hetemaj,fi FIN,MF,30.0,26.8,3.0,33.0,9.0,27.3,1.23,0.34,0.09,0.33,21.3,0.0,0.0,0.0,3.5,3.5,0.1,-0.5,-0.5,921.0,1169.0,78.8,14294.0,3971.0,523.0,581.0,90.0,294.0,367.0,80.1,68.0,136.0,50.0,2.0,1.1,2.0,0.9,24.0,74.0,29.0,19.0,100.0,1169.0,1144.0,23.0,8.0,3.0,5.0,82.0,11.0,0.0,0.0,0.0,0.0,921.0,2.0,34.0,59.0,2.2,47.0,0.0,4.0,2.0,5.0,1.0,5.0,0.19,2.0,0.0,0.0,1.0,2.0,0.0,74.0,48.0,34.0,25.0,15.0,29.0,78.0,37.2,49.0,39.0,6.0,33.0,39.0,113.0,47.0,1.0,1516.0,52.0,311.0,807.0,422.0,38.0,1516.0,46.0,27.0,58.7,19.0,41.3,937.0,5050.0,2453.0,60.0,44.0,8.0,51.0,36.0,1045.0,107.0,32,2415.0,75.0,70.6,26.8,27,,20.0,5,,2,1.19,29.0,39.0,-10.0,-0.37,0.79,26.6,32.8,-6.3,-0.23,1.1,9.0,0.0,0.0,63.0,86.0,0.0,82.0,39.0,48.0,1.0,1.0,1.0,197.0,18.0,33.0,35.3
Nenad Tomović,rs SRB,DF,29.0,25.6,0.0,15.0,2.0,13.3,0.59,0.08,0.0,0.0,9.8,0.0,0.0,0.0,2.1,2.1,0.14,-2.1,-2.1,864.0,1063.0,81.3,15991.0,6317.0,363.0,390.0,93.1,377.0,442.0,85.3,104.0,185.0,56.2,0.0,0.2,0.4,-0.2,1.0,43.0,5.0,2.0,65.0,1063.0,968.0,87.0,30.0,0.0,16.0,12.0,57.0,0.0,0.0,0.0,0.0,864.0,8.0,12.0,8.0,0.31,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,17.0,17.0,6.0,0.0,10.0,17.0,58.8,7.0,29.0,21.0,8.0,50.0,73.0,146.0,0.0,1345.0,192.0,683.0,565.0,103.0,25.0,1345.0,6.0,3.0,50.0,3.0,50.0,670.0,3706.0,2138.0,18.0,7.0,2.0,8.0,6.0,722.0,21.0,27,2301.0,85.0,67.3,25.6,26,,24.0,1,,5,1.11,27.0,38.0,-11.0,-0.43,0.53,25.5,39.2,-13.7,-0.54,0.06,4.0,0.0,0.0,35.0,18.0,0.0,12.0,50.0,17.0,0.0,2.0,1.0,107.0,51.0,37.0,58.0
Massimo Gobbi,it ITA,DF,36.0,22.8,0.0,6.0,0.0,0.0,0.26,0.0,0.0,,21.9,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,929.0,1284.0,72.4,15923.0,7737.0,433.0,481.0,90.0,374.0,502.0,74.5,95.0,227.0,41.9,2.0,3.0,1.3,-1.0,25.0,89.0,32.0,17.0,134.0,1284.0,1034.0,236.0,21.0,1.0,3.0,73.0,215.0,0.0,0.0,0.0,0.0,929.0,14.0,28.0,41.0,1.8,37.0,2.0,0.0,0.0,2.0,0.0,6.0,0.26,5.0,1.0,0.0,0.0,0.0,0.0,24.0,18.0,13.0,9.0,2.0,11.0,26.0,42.3,15.0,20.0,5.0,15.0,22.0,46.0,90.0,1.0,1490.0,89.0,414.0,691.0,395.0,13.0,1490.0,16.0,4.0,25.0,12.0,75.0,705.0,4063.0,2362.0,63.0,57.0,2.0,18.0,15.0,872.0,100.0,24,2048.0,85.0,59.9,22.8,23,,21.0,1,,8,1.21,24.0,35.0,-11.0,-0.48,0.3,21.0,30.9,-9.9,-0.43,0.3,3.0,0.0,0.0,26.0,9.0,3.0,73.0,22.0,18.0,0.0,2.0,0.0,104.0,18.0,19.0,48.6
Lucas Castro,ar ARG,MF,28.0,22.1,3.0,39.0,15.0,38.5,1.77,0.68,0.08,0.2,16.4,0.0,0.0,0.0,3.4,3.4,0.09,-0.4,-0.4,766.0,1038.0,73.8,12208.0,3709.0,385.0,477.0,80.7,284.0,362.0,78.5,61.0,124.0,49.2,4.0,2.6,1.6,1.4,26.0,81.0,23.0,6.0,126.0,1038.0,1031.0,3.0,1.0,4.0,8.0,55.0,1.0,1.0,0.0,0.0,0.0,766.0,4.0,26.0,72.0,3.26,57.0,1.0,3.0,4.0,3.0,4.0,6.0,0.27,6.0,0.0,0.0,0.0,0.0,0.0,54.0,40.0,14.0,29.0,11.0,16.0,43.0,37.2,27.0,39.0,7.0,32.0,38.0,92.0,35.0,0.0,1340.0,48.0,214.0,744.0,410.0,57.0,1340.0,59.0,33.0,55.9,26.0,44.1,776.0,4188.0,2347.0,63.0,62.0,4.0,43.0,34.0,921.0,103.0,25,1985.0,79.0,58.0,22.1,23,,16.0,2,,3,1.24,26.0,34.0,-8.0,-0.36,0.58,21.5,28.0,-6.6,-0.3,0.62,3.0,0.0,0.0,40.0,40.0,1.0,55.0,38.0,40.0,0.0,0.0,0.0,176.0,40.0,33.0,54.8
Alessandro Gamberini,it ITA,DF,35.0,20.2,0.0,4.0,1.0,25.0,0.2,0.05,0.0,0.0,6.4,0.0,0.0,0.0,1.0,1.0,0.26,-1.0,-1.0,591.0,687.0,86.0,11240.0,3740.0,193.0,211.0,91.5,327.0,375.0,87.2,59.0,82.0,72.0,0.0,0.0,0.1,0.0,0.0,17.0,0.0,0.0,23.0,687.0,663.0,22.0,13.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,591.0,2.0,2.0,7.0,0.35,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,11.0,2.0,0.0,8.0,12.0,66.7,4.0,32.0,25.0,7.0,16.0,29.0,117.0,1.0,882.0,145.0,486.0,382.0,16.0,6.0,882.0,0.0,0.0,,0.0,,431.0,1777.0,838.0,0.0,1.0,1.0,0.0,2.0,489.0,1.0,23,1815.0,79.0,53.1,20.2,20,,15.0,3,,8,0.96,18.0,32.0,-14.0,-0.69,-0.19,17.7,28.7,-11.0,-0.54,0.03,2.0,0.0,0.0,10.0,9.0,0.0,0.0,16.0,8.0,0.0,1.0,0.0,67.0,48.0,32.0,60.0
