player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Alex Cordaz,it ITA,GK,34.0,38.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,553.0,1184.0,46.7,23348.0,20777.0,41.0,42.0,97.6,151.0,158.0,95.6,360.0,978.0,36.8,0.0,0.2,0.2,-0.2,2.0,51.0,1.0,0.0,1.0,1184.0,650.0,529.0,174.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,5.0,0.0,10.0,0.26,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,16.0,4.0,1284.0,999.0,1274.0,12.0,0.0,0.0,1284.0,0.0,0.0,,0.0,,532.0,4171.0,3126.0,2.0,0.0,0.0,1.0,0.0,316.0,0.0,38,3420.0,90.0,100.0,38.0,38,,38.0,0,,0,0.92,40.0,66.0,-26.0,-0.68,,34.6,58.6,-24.0,-0.63,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,44.0,6.0,1.0,85.7
Federico Ceccherini,it ITA,DF,25.0,35.9,1.0,16.0,4.0,25.0,0.45,0.11,0.06,0.25,15.5,0.0,0.0,0.0,1.6,1.6,0.1,-0.6,-0.6,1023.0,1266.0,80.8,21333.0,8180.0,260.0,301.0,86.4,619.0,693.0,89.3,132.0,240.0,55.0,0.0,0.6,0.8,-0.6,10.0,66.0,6.0,1.0,98.0,1266.0,1204.0,54.0,48.0,0.0,17.0,4.0,6.0,0.0,0.0,0.0,0.0,1023.0,8.0,12.0,22.0,0.61,15.0,1.0,1.0,1.0,2.0,2.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,35.0,21.0,28.0,4.0,3.0,13.0,25.0,52.0,12.0,39.0,21.0,18.0,83.0,118.0,276.0,1.0,1766.0,304.0,959.0,745.0,81.0,34.0,1766.0,21.0,17.0,81.0,4.0,19.0,839.0,4666.0,2728.0,26.0,16.0,0.0,31.0,7.0,835.0,4.0,37,3229.0,87.0,94.4,35.9,37,,34.0,0,,0,0.92,39.0,62.0,-23.0,-0.64,0.77,33.3,56.3,-23.0,-0.64,-0.18,4.0,1.0,0.0,42.0,36.0,6.0,4.0,83.0,21.0,0.0,3.0,0.0,184.0,74.0,58.0,56.1
Rolando Mandragora,it ITA,MF,20.0,36.0,2.0,34.0,9.0,26.5,0.94,0.25,0.06,0.22,26.1,1.0,0.0,0.0,1.9,1.9,0.06,0.1,0.1,1084.0,1377.0,78.7,18783.0,5949.0,472.0,563.0,83.8,463.0,560.0,82.7,99.0,160.0,61.9,0.0,1.6,2.4,-1.6,24.0,109.0,13.0,3.0,159.0,1377.0,1287.0,82.0,60.0,3.0,9.0,42.0,2.0,20.0,15.0,1.0,0.0,1084.0,8.0,22.0,56.0,1.56,44.0,6.0,1.0,1.0,3.0,1.0,8.0,0.22,8.0,0.0,0.0,0.0,0.0,0.0,91.0,60.0,48.0,34.0,9.0,26.0,69.0,37.7,43.0,41.0,13.0,28.0,86.0,177.0,75.0,0.0,1753.0,86.0,432.0,1079.0,265.0,18.0,1753.0,17.0,11.0,64.7,6.0,35.3,783.0,3214.0,1558.0,17.0,30.0,2.0,34.0,12.0,874.0,28.0,36,3240.0,90.0,94.7,36.0,36,,36.0,0,,1,0.97,38.0,57.0,-19.0,-0.53,2.97,32.5,54.1,-21.6,-0.6,0.61,8.0,0.0,0.0,54.0,58.0,2.0,42.0,86.0,60.0,0.0,1.0,0.0,213.0,64.0,70.0,47.8
Andrea Barberis,it ITA,MF,23.0,33.7,2.0,23.0,8.0,34.8,0.68,0.24,0.09,0.25,24.5,9.0,0.0,0.0,1.5,1.5,0.07,0.5,0.5,813.0,1148.0,70.8,13858.0,4950.0,376.0,458.0,82.1,326.0,437.0,74.6,81.0,172.0,47.1,1.0,3.1,2.3,-2.1,34.0,79.0,16.0,6.0,116.0,1148.0,1009.0,130.0,49.0,0.0,5.0,88.0,8.0,57.0,30.0,19.0,0.0,813.0,9.0,32.0,68.0,2.03,41.0,18.0,1.0,3.0,2.0,3.0,5.0,0.15,2.0,1.0,0.0,1.0,1.0,0.0,80.0,44.0,33.0,42.0,5.0,16.0,68.0,23.5,52.0,52.0,5.0,47.0,58.0,138.0,67.0,1.0,1500.0,77.0,358.0,826.0,337.0,17.0,1500.0,24.0,18.0,75.0,6.0,25.0,628.0,2598.0,1104.0,16.0,25.0,1.0,58.0,37.0,682.0,56.0,38,3029.0,80.0,88.6,33.7,34,,22.0,4,,0,0.92,32.0,60.0,-28.0,-0.83,-1.29,28.2,50.1,-21.9,-0.65,-0.19,1.0,0.0,0.0,30.0,21.0,1.0,88.0,58.0,44.0,0.0,0.0,0.0,199.0,40.0,51.0,44.0
Bruno Martella,it ITA,DF,24.0,29.1,1.0,24.0,6.0,25.0,0.83,0.21,0.04,0.17,28.2,0.0,0.0,0.0,1.1,1.1,0.05,-0.1,-0.1,946.0,1378.0,68.7,16347.0,8793.0,462.0,567.0,81.5,367.0,517.0,71.0,102.0,228.0,44.7,3.0,2.1,2.0,0.9,18.0,105.0,28.0,18.0,126.0,1378.0,1042.0,324.0,11.0,0.0,7.0,117.0,312.0,1.0,1.0,0.0,0.0,946.0,12.0,53.0,50.0,1.72,37.0,7.0,4.0,1.0,0.0,1.0,6.0,0.21,5.0,0.0,1.0,0.0,0.0,0.0,30.0,21.0,19.0,7.0,4.0,12.0,30.0,40.0,18.0,22.0,9.0,13.0,48.0,78.0,151.0,1.0,1713.0,154.0,589.0,720.0,424.0,17.0,1713.0,50.0,33.0,66.0,17.0,34.0,771.0,4475.0,2490.0,50.0,46.0,6.0,30.0,22.0,800.0,93.0,30,2616.0,87.0,76.5,29.1,30,,27.0,0,,5,0.97,32.0,42.0,-10.0,-0.34,1.45,27.3,42.6,-15.3,-0.53,0.45,3.0,0.0,0.0,7.0,7.0,1.0,117.0,48.0,21.0,0.0,0.0,0.0,170.0,46.0,40.0,53.5
Marcello Trotta,it ITA,FW,24.0,25.1,7.0,62.0,23.0,37.1,2.47,0.92,0.08,0.22,19.5,0.0,2.0,3.0,6.9,4.6,0.07,0.1,0.4,513.0,741.0,69.2,7790.0,1622.0,300.0,389.0,77.1,146.0,206.0,70.9,42.0,64.0,65.6,2.0,1.6,1.6,0.4,27.0,30.0,9.0,3.0,55.0,741.0,707.0,31.0,1.0,0.0,10.0,17.0,7.0,0.0,0.0,0.0,0.0,513.0,3.0,43.0,70.0,2.79,42.0,0.0,6.0,10.0,9.0,3.0,9.0,0.36,4.0,0.0,0.0,3.0,1.0,1.0,39.0,21.0,12.0,18.0,9.0,10.0,55.0,18.2,45.0,22.0,2.0,20.0,14.0,53.0,20.0,0.0,1024.0,26.0,143.0,443.0,454.0,89.0,1021.0,44.0,26.0,59.1,18.0,40.9,651.0,3561.0,1265.0,36.0,33.0,10.0,74.0,42.0,707.0,180.0,34,2258.0,66.0,66.0,25.1,27,,11.0,7,,4,1.0,27.0,39.0,-12.0,-0.48,0.61,23.4,36.5,-13.1,-0.52,0.32,2.0,0.0,0.0,29.0,45.0,12.0,17.0,14.0,21.0,0.0,0.0,0.0,128.0,21.0,42.0,33.3
Adrian Stoian,ro ROU,"MF,FW",26.0,23.7,2.0,20.0,6.0,30.0,0.84,0.25,0.1,0.33,21.7,0.0,0.0,0.0,1.6,1.0,0.05,0.4,1.0,644.0,1055.0,61.0,12046.0,5242.0,280.0,375.0,74.7,258.0,411.0,62.8,97.0,203.0,47.8,4.0,2.4,2.6,1.6,19.0,112.0,37.0,10.0,139.0,1055.0,1004.0,44.0,18.0,7.0,4.0,68.0,15.0,9.0,6.0,1.0,1.0,644.0,7.0,45.0,57.0,2.4,43.0,4.0,4.0,0.0,6.0,0.0,6.0,0.25,6.0,0.0,0.0,0.0,0.0,0.0,23.0,19.0,12.0,10.0,1.0,11.0,44.0,25.0,33.0,29.0,0.0,29.0,25.0,48.0,26.0,0.0,1274.0,24.0,227.0,689.0,402.0,24.0,1274.0,53.0,33.0,62.3,20.0,37.7,841.0,5115.0,2572.0,65.0,55.0,9.0,53.0,53.0,937.0,140.0,32,2133.0,67.0,62.4,23.7,26,,8.0,6,,3,0.97,24.0,34.0,-10.0,-0.42,0.7,19.5,34.5,-15.0,-0.63,0.0,5.0,0.0,0.0,26.0,49.0,3.0,68.0,25.0,19.0,0.0,0.0,0.0,159.0,6.0,30.0,16.7
Mario Sampirisi,it ITA,DF,24.0,24.4,0.0,3.0,0.0,0.0,0.12,0.0,0.0,,22.6,0.0,0.0,0.0,0.3,0.3,0.1,-0.3,-0.3,820.0,1096.0,74.8,15716.0,7724.0,286.0,335.0,85.4,429.0,514.0,83.5,94.0,220.0,42.7,0.0,0.8,0.7,-0.8,8.0,95.0,16.0,9.0,109.0,1096.0,878.0,215.0,21.0,0.0,4.0,35.0,194.0,0.0,0.0,0.0,0.0,820.0,3.0,12.0,19.0,0.78,18.0,1.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,44.0,32.0,29.0,12.0,3.0,13.0,22.0,59.1,9.0,27.0,14.0,13.0,43.0,87.0,116.0,2.0,1335.0,125.0,576.0,636.0,138.0,7.0,1335.0,12.0,7.0,58.3,5.0,41.7,634.0,3042.0,1653.0,24.0,24.0,1.0,13.0,5.0,658.0,33.0,31,2194.0,71.0,64.2,24.4,24,,19.0,7,,5,1.06,24.0,43.0,-19.0,-0.78,-0.27,21.4,41.1,-19.6,-0.81,-0.49,2.0,0.0,0.0,22.0,10.0,2.0,35.0,43.0,32.0,0.0,1.0,0.0,139.0,28.0,21.0,57.1
Marcus Rohdén,se SWE,MF,26.0,18.1,2.0,21.0,7.0,33.3,1.16,0.39,0.1,0.29,22.8,0.0,0.0,0.0,1.6,1.6,0.08,0.4,0.4,345.0,520.0,66.3,5209.0,1901.0,196.0,253.0,77.5,107.0,171.0,62.6,25.0,55.0,45.5,0.0,0.7,0.8,-0.7,12.0,33.0,4.0,3.0,44.0,520.0,509.0,8.0,1.0,2.0,2.0,15.0,5.0,0.0,0.0,0.0,0.0,345.0,3.0,20.0,26.0,1.43,19.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,19.0,21.0,10.0,2.0,14.0,50.0,28.0,36.0,14.0,1.0,13.0,18.0,51.0,30.0,0.0,702.0,24.0,171.0,327.0,213.0,24.0,702.0,23.0,12.0,52.2,11.0,47.8,399.0,2084.0,858.0,23.0,23.0,8.0,38.0,19.0,431.0,67.0,26,1632.0,63.0,47.7,18.1,20,,8.0,6,,8,0.96,16.0,36.0,-20.0,-1.1,-0.8,13.0,31.5,-18.5,-1.02,-0.74,2.0,0.0,0.0,19.0,26.0,2.0,15.0,18.0,19.0,0.0,0.0,0.0,82.0,18.0,34.0,34.6
Andrea Nalini,it ITA,"FW,MF",27.0,18.2,0.0,20.0,9.0,45.0,1.1,0.49,0.0,0.0,19.3,0.0,0.0,0.0,1.1,1.1,0.05,-1.1,-1.1,352.0,559.0,63.0,5628.0,1773.0,196.0,262.0,74.8,94.0,158.0,59.5,41.0,81.0,50.6,2.0,2.6,1.7,-0.6,18.0,35.0,18.0,14.0,39.0,559.0,549.0,8.0,0.0,0.0,8.0,47.0,4.0,1.0,1.0,0.0,0.0,352.0,2.0,22.0,43.0,2.36,30.0,0.0,5.0,3.0,2.0,3.0,6.0,0.33,5.0,0.0,0.0,0.0,1.0,0.0,43.0,32.0,22.0,16.0,5.0,16.0,25.0,64.0,9.0,25.0,2.0,23.0,15.0,58.0,19.0,1.0,749.0,24.0,147.0,322.0,297.0,48.0,749.0,32.0,20.0,62.5,12.0,37.5,429.0,2778.0,1227.0,45.0,18.0,16.0,43.0,23.0,520.0,148.0,23,1638.0,71.0,47.9,18.2,19,,9.0,4,,2,1.04,23.0,32.0,-9.0,-0.49,0.36,17.9,27.5,-9.6,-0.53,0.2,2.0,0.0,0.0,47.0,30.0,20.0,47.0,15.0,32.0,2.0,0.0,0.0,88.0,52.0,77.0,40.3
