player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Nícolas Andrade,br BRA,GK,29.0,36.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,868.0,1444.0,60.1,32575.0,25840.0,45.0,48.0,93.8,304.0,314.0,96.8,517.0,1073.0,48.2,0.0,0.1,0.1,-0.1,1.0,10.0,0.0,0.0,1.0,1444.0,909.0,528.0,129.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,868.0,7.0,0.0,11.0,0.31,7.0,4.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,4.0,25.0,3.0,2.0,0.0,2.0,2.0,4.0,16.0,7.0,1561.0,1396.0,1558.0,3.0,0.0,0.0,1561.0,0.0,0.0,,0.0,,624.0,3971.0,2690.0,0.0,0.0,0.0,2.0,0.0,516.0,0.0,36,3240.0,90.0,94.7,36.0,36,,35.0,0,,1,0.69,29.0,71.0,-42.0,-1.17,1.83,32.4,65.9,-33.5,-0.93,0.88,2.0,1.0,0.0,2.0,11.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,39.0,6.0,1.0,85.7
Rômulo,it ITA,"MF,DF",30.0,35.2,3.0,27.0,6.0,22.2,0.77,0.17,0.04,0.17,22.5,5.0,2.0,2.0,3.9,2.3,0.09,-0.9,-1.3,1168.0,1593.0,73.3,18297.0,6196.0,649.0,748.0,86.8,389.0,516.0,75.4,84.0,208.0,40.4,5.0,3.6,3.0,1.4,50.0,99.0,33.0,21.0,121.0,1593.0,1347.0,240.0,56.0,2.0,12.0,193.0,116.0,60.0,18.0,35.0,0.0,1168.0,6.0,63.0,86.0,2.44,55.0,14.0,9.0,1.0,7.0,0.0,9.0,0.26,6.0,2.0,1.0,0.0,0.0,0.0,58.0,44.0,23.0,29.0,6.0,13.0,54.0,24.1,41.0,29.0,2.0,27.0,43.0,101.0,41.0,0.0,1907.0,62.0,456.0,918.0,594.0,38.0,1905.0,87.0,58.0,66.7,29.0,33.3,973.0,9175.0,5286.0,149.0,104.0,11.0,62.0,42.0,1177.0,151.0,37,3168.0,86.0,92.6,35.2,36,,32.0,1,,0,0.59,26.0,73.0,-47.0,-1.34,-0.98,29.6,66.0,-36.4,-1.03,-0.78,7.0,0.0,0.0,30.0,30.0,4.0,193.0,43.0,44.0,0.0,0.0,0.0,220.0,8.0,27.0,22.9
Antonio Caracciolo,it ITA,DF,27.0,31.7,2.0,16.0,2.0,12.5,0.5,0.06,0.13,1.0,14.1,0.0,0.0,0.0,1.6,1.6,0.1,0.4,0.4,785.0,981.0,80.0,16277.0,5677.0,234.0,258.0,90.7,419.0,477.0,87.8,126.0,218.0,57.8,4.0,1.0,0.6,3.0,4.0,23.0,1.0,0.0,33.0,981.0,944.0,33.0,28.0,1.0,14.0,5.0,5.0,0.0,0.0,0.0,0.0,785.0,4.0,7.0,15.0,0.47,8.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,34.0,41.0,8.0,3.0,17.0,30.0,56.7,13.0,64.0,44.0,20.0,39.0,91.0,203.0,0.0,1377.0,291.0,902.0,430.0,51.0,26.0,1377.0,9.0,9.0,100.0,0.0,0.0,557.0,2773.0,1275.0,2.0,3.0,3.0,12.0,3.0,718.0,8.0,33,2857.0,87.0,83.5,31.7,32,,31.0,1,,4,0.73,27.0,64.0,-37.0,-1.17,0.59,28.4,58.1,-29.8,-0.94,0.24,6.0,0.0,0.0,21.0,3.0,2.0,5.0,39.0,34.0,0.0,2.0,0.0,101.0,48.0,39.0,55.2
Mohamed Fares,dz ALG,"DF,MF",21.0,28.9,0.0,33.0,5.0,15.2,1.14,0.17,0.0,0.0,21.7,0.0,0.0,0.0,1.8,1.8,0.06,-1.8,-1.8,784.0,1177.0,66.6,13024.0,4796.0,413.0,505.0,81.8,274.0,390.0,70.3,73.0,205.0,35.6,1.0,1.7,1.6,-0.7,18.0,61.0,7.0,5.0,72.0,1177.0,1000.0,168.0,17.0,2.0,13.0,81.0,147.0,2.0,0.0,1.0,0.0,784.0,9.0,39.0,49.0,1.69,30.0,2.0,9.0,2.0,4.0,2.0,2.0,0.07,1.0,0.0,0.0,0.0,0.0,1.0,50.0,33.0,29.0,17.0,4.0,16.0,42.0,38.1,26.0,24.0,5.0,19.0,50.0,100.0,132.0,2.0,1596.0,106.0,518.0,745.0,363.0,39.0,1596.0,66.0,34.0,51.5,32.0,48.5,705.0,4960.0,2471.0,66.0,46.0,10.0,67.0,31.0,905.0,98.0,30,2604.0,87.0,76.1,28.9,29,,27.0,1,,1,0.7,25.0,57.0,-32.0,-1.11,0.66,28.4,50.9,-22.5,-0.78,0.83,12.0,0.0,0.0,67.0,20.0,1.0,81.0,50.0,33.0,0.0,1.0,1.0,148.0,62.0,66.0,48.4
Alex Ferrari,it ITA,DF,23.0,23.7,1.0,8.0,1.0,12.5,0.34,0.04,0.13,1.0,21.8,0.0,0.0,0.0,0.8,0.8,0.1,0.2,0.2,759.0,1026.0,74.0,13228.0,5760.0,346.0,412.0,84.0,324.0,402.0,80.6,70.0,146.0,47.9,0.0,0.2,0.3,-0.2,5.0,53.0,6.0,2.0,61.0,1026.0,834.0,189.0,37.0,0.0,7.0,18.0,152.0,0.0,0.0,0.0,0.0,759.0,3.0,34.0,23.0,0.97,13.0,4.0,4.0,0.0,1.0,1.0,4.0,0.17,4.0,0.0,0.0,0.0,0.0,0.0,73.0,54.0,42.0,23.0,8.0,36.0,67.0,53.7,31.0,41.0,15.0,26.0,47.0,120.0,117.0,4.0,1338.0,142.0,630.0,536.0,187.0,10.0,1338.0,33.0,19.0,57.6,14.0,42.4,549.0,3363.0,1712.0,39.0,24.0,4.0,24.0,14.0,656.0,32.0,25,2136.0,85.0,62.5,23.7,25,,22.0,0,,1,0.72,19.0,47.0,-28.0,-1.18,0.22,18.9,43.7,-24.8,-1.04,-0.18,5.0,0.0,0.0,19.0,25.0,0.0,18.0,47.0,54.0,0.0,0.0,0.0,115.0,52.0,41.0,55.9
Daniele Verde,it ITA,"FW,MF",21.0,21.7,2.0,37.0,11.0,29.7,1.7,0.51,0.05,0.18,27.0,7.0,0.0,0.0,2.3,2.3,0.06,-0.3,-0.3,467.0,705.0,66.2,7855.0,3166.0,238.0,300.0,79.3,159.0,234.0,67.9,50.0,122.0,41.0,2.0,2.0,1.5,0.0,22.0,45.0,32.0,17.0,68.0,705.0,597.0,103.0,18.0,1.0,8.0,106.0,48.0,30.0,2.0,17.0,0.0,467.0,5.0,21.0,50.0,2.3,31.0,12.0,2.0,2.0,2.0,1.0,5.0,0.23,4.0,1.0,0.0,0.0,0.0,0.0,10.0,9.0,8.0,1.0,1.0,6.0,20.0,30.0,14.0,8.0,0.0,8.0,30.0,40.0,19.0,0.0,861.0,24.0,184.0,371.0,327.0,18.0,861.0,36.0,26.0,72.2,10.0,27.8,407.0,3628.0,1910.0,64.0,40.0,8.0,33.0,16.0,535.0,114.0,30,1954.0,65.0,57.1,21.7,22,,10.0,8,,6,0.63,18.0,48.0,-30.0,-1.38,-0.28,18.1,42.1,-23.9,-1.1,-0.29,0.0,0.0,0.0,2.0,12.0,7.0,106.0,30.0,9.0,0.0,0.0,0.0,97.0,0.0,5.0,0.0
Alessio Cerci,it ITA,FW,30.0,18.2,3.0,41.0,12.0,29.3,2.26,0.66,0.05,0.17,20.0,4.0,1.0,1.0,3.3,2.5,0.06,-0.3,-0.5,314.0,493.0,63.7,4854.0,1369.0,171.0,217.0,78.8,101.0,161.0,62.7,26.0,67.0,38.8,1.0,4.1,2.3,-3.1,25.0,18.0,19.0,4.0,42.0,493.0,426.0,63.0,17.0,4.0,6.0,67.0,18.0,22.0,11.0,5.0,1.0,314.0,4.0,25.0,56.0,3.08,28.0,7.0,7.0,6.0,7.0,1.0,10.0,0.55,5.0,0.0,0.0,2.0,3.0,0.0,15.0,10.0,7.0,3.0,5.0,4.0,16.0,25.0,12.0,4.0,0.0,4.0,4.0,19.0,8.0,0.0,639.0,7.0,54.0,268.0,337.0,61.0,638.0,47.0,27.0,57.4,20.0,42.6,428.0,3949.0,2110.0,76.0,56.0,23.0,33.0,41.0,495.0,141.0,24,1635.0,68.0,47.8,18.2,22,,7.0,2,,1,0.63,17.0,34.0,-17.0,-0.94,0.63,19.5,27.3,-7.7,-0.43,1.06,1.0,0.0,0.0,20.0,25.0,26.0,67.0,4.0,10.0,2.0,0.0,0.0,57.0,18.0,46.0,28.1
Marcel Büchel,li LIE,MF,26.0,18.8,0.0,9.0,2.0,22.2,0.48,0.11,0.0,0.0,29.2,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,647.0,849.0,76.2,11239.0,2434.0,289.0,345.0,83.8,254.0,301.0,84.4,72.0,146.0,49.3,0.0,0.4,0.5,-0.4,12.0,43.0,4.0,1.0,60.0,849.0,819.0,25.0,16.0,2.0,14.0,16.0,1.0,8.0,0.0,6.0,2.0,647.0,5.0,16.0,29.0,1.54,23.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,21.0,15.0,21.0,1.0,13.0,48.0,27.1,35.0,35.0,6.0,29.0,45.0,82.0,46.0,1.0,1065.0,69.0,292.0,638.0,148.0,1.0,1065.0,24.0,17.0,70.8,7.0,29.2,463.0,2089.0,778.0,4.0,10.0,0.0,27.0,20.0,641.0,7.0,23,1696.0,74.0,49.6,18.8,20,,13.0,3,,6,0.78,17.0,35.0,-18.0,-0.96,0.61,16.4,36.3,-19.9,-1.05,-0.15,9.0,0.0,0.0,45.0,19.0,0.0,16.0,45.0,21.0,0.0,0.0,0.0,118.0,48.0,32.0,60.0
Samuel Souprayen,fr FRA,DF,28.0,17.6,0.0,5.0,0.0,0.0,0.28,0.0,0.0,,25.1,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,693.0,850.0,81.5,10952.0,4095.0,361.0,389.0,92.8,252.0,305.0,82.6,56.0,118.0,47.5,0.0,0.4,0.5,-0.4,7.0,42.0,8.0,3.0,59.0,850.0,710.0,137.0,20.0,1.0,4.0,13.0,117.0,0.0,0.0,0.0,0.0,693.0,3.0,12.0,14.0,0.8,11.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,19.0,25.0,3.0,1.0,12.0,19.0,63.2,7.0,18.0,9.0,9.0,22.0,51.0,67.0,1.0,1016.0,84.0,426.0,479.0,121.0,4.0,1016.0,15.0,9.0,60.0,6.0,40.0,393.0,2229.0,1161.0,12.0,17.0,0.0,11.0,9.0,550.0,21.0,22,1582.0,72.0,46.3,17.6,19,,14.0,3,,15,0.59,8.0,37.0,-29.0,-1.65,-0.72,13.4,34.0,-20.6,-1.17,-0.36,2.0,2.0,1.0,19.0,14.0,0.0,13.0,22.0,19.0,0.0,1.0,1.0,95.0,22.0,22.0,50.0
Mattia Valoti,it ITA,"MF,FW",23.0,17.5,3.0,21.0,9.0,42.9,1.2,0.51,0.14,0.33,14.4,0.0,0.0,0.0,3.6,3.6,0.17,-0.6,-0.6,431.0,620.0,69.5,7404.0,2170.0,234.0,300.0,78.0,121.0,181.0,66.9,56.0,92.0,60.9,0.0,0.8,0.7,-0.8,11.0,41.0,4.0,1.0,56.0,620.0,590.0,24.0,14.0,0.0,20.0,15.0,9.0,1.0,1.0,0.0,0.0,431.0,6.0,19.0,29.0,1.66,21.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,41.0,21.0,35.0,6.0,11.0,53.0,20.8,42.0,25.0,3.0,22.0,41.0,103.0,37.0,1.0,831.0,41.0,187.0,471.0,184.0,36.0,831.0,17.0,15.0,88.2,2.0,11.8,373.0,1985.0,850.0,13.0,14.0,6.0,29.0,18.0,494.0,48.0,26,1577.0,61.0,46.1,17.5,18,,9.0,8,,5,0.85,13.0,32.0,-19.0,-1.08,0.33,17.0,31.7,-14.7,-0.84,0.25,9.0,0.0,0.0,44.0,41.0,0.0,15.0,41.0,41.0,0.0,1.0,0.0,86.0,58.0,34.0,63.0
