player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Francesco Acerbi,it ITA,DF,29.0,38.0,0.0,15.0,2.0,13.3,0.39,0.05,0.0,0.0,18.0,0.0,0.0,0.0,1.0,1.0,0.07,-1.0,-1.0,1391.0,1650.0,84.3,30718.0,10405.0,349.0,387.0,90.2,782.0,876.0,89.3,249.0,360.0,69.2,0.0,0.7,0.8,-0.7,10.0,106.0,2.0,1.0,141.0,1650.0,1529.0,118.0,89.0,2.0,24.0,12.0,28.0,0.0,0.0,0.0,0.0,1391.0,3.0,9.0,30.0,0.79,28.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,32.0,26.0,22.0,3.0,22.0,36.0,61.1,14.0,42.0,21.0,21.0,88.0,139.0,255.0,1.0,2124.0,299.0,1076.0,954.0,135.0,21.0,2124.0,23.0,17.0,73.9,6.0,26.1,918.0,5957.0,2979.0,35.0,38.0,0.0,26.0,9.0,1044.0,14.0,38,3420.0,90.0,100.0,38.0,38,,38.0,0,,0,1.13,29.0,59.0,-30.0,-0.79,,46.3,48.9,-2.6,-0.07,,4.0,0.0,0.0,31.0,32.0,1.0,12.0,88.0,32.0,0.0,1.0,1.0,260.0,103.0,40.0,72.0
Andrea Consigli,it ITA,GK,30.0,36.8,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,761.0,1114.0,68.3,26777.0,20638.0,61.0,61.0,100.0,280.0,283.0,98.9,420.0,765.0,54.9,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,1114.0,660.0,449.0,153.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,761.0,5.0,0.0,6.0,0.16,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,27.0,6.0,1221.0,1050.0,1214.0,7.0,0.0,0.0,1221.0,0.0,0.0,,0.0,,548.0,3559.0,2406.0,0.0,1.0,0.0,0.0,0.0,368.0,0.0,37,3316.0,90.0,97.0,36.8,37,,36.0,0,,1,1.16,29.0,58.0,-29.0,-0.79,0.08,45.0,47.5,-2.5,-0.07,0.04,2.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,11.0,1.0,91.7
Simone Missiroli,it ITA,MF,31.0,32.4,1.0,24.0,7.0,29.2,0.74,0.22,0.04,0.14,14.5,0.0,0.0,0.0,2.4,2.4,0.1,-1.4,-1.4,930.0,1267.0,73.4,16116.0,5343.0,414.0,532.0,77.8,422.0,542.0,77.9,74.0,130.0,56.9,1.0,2.6,2.5,-1.6,32.0,122.0,14.0,5.0,164.0,1267.0,1246.0,17.0,8.0,11.0,1.0,20.0,9.0,0.0,0.0,0.0,0.0,930.0,4.0,30.0,76.0,2.34,63.0,0.0,3.0,4.0,3.0,3.0,5.0,0.15,3.0,0.0,1.0,0.0,1.0,0.0,62.0,37.0,25.0,31.0,6.0,14.0,72.0,19.4,58.0,46.0,8.0,38.0,67.0,129.0,70.0,0.0,1603.0,78.0,336.0,920.0,382.0,45.0,1603.0,35.0,23.0,65.7,12.0,34.3,768.0,4843.0,2251.0,47.0,45.0,2.0,30.0,24.0,979.0,103.0,35,2918.0,83.0,85.3,32.4,33,,25.0,2,,2,1.14,25.0,44.0,-19.0,-0.59,1.39,41.1,39.7,1.4,0.04,0.75,4.0,0.0,0.0,34.0,46.0,3.0,20.0,67.0,37.0,0.0,0.0,0.0,194.0,129.0,84.0,60.6
Matteo Politano,it ITA,FW,23.0,31.2,10.0,100.0,34.0,34.0,3.2,1.09,0.1,0.29,20.2,6.0,0.0,2.0,9.4,7.8,0.08,0.6,2.2,720.0,1105.0,65.2,12213.0,3584.0,348.0,442.0,78.7,287.0,406.0,70.7,65.0,173.0,37.6,4.0,6.9,5.9,-2.9,62.0,60.0,41.0,13.0,102.0,1105.0,970.0,127.0,23.0,13.0,5.0,183.0,30.0,64.0,25.0,27.0,3.0,720.0,8.0,60.0,147.0,4.7,91.0,18.0,15.0,15.0,8.0,0.0,11.0,0.35,7.0,0.0,3.0,0.0,1.0,0.0,23.0,16.0,8.0,10.0,5.0,3.0,32.0,9.4,29.0,13.0,2.0,11.0,14.0,37.0,13.0,0.0,1463.0,11.0,113.0,485.0,903.0,106.0,1461.0,124.0,70.0,56.5,54.0,43.5,972.0,9066.0,4066.0,146.0,110.0,45.0,76.0,71.0,1080.0,314.0,36,2812.0,78.0,82.2,31.2,33,,15.0,3,,2,1.19,23.0,49.0,-26.0,-0.83,-0.24,39.0,39.8,-0.8,-0.03,0.24,1.0,0.0,0.0,21.0,55.0,10.0,183.0,14.0,16.0,1.0,0.0,0.0,130.0,12.0,50.0,19.4
Francesco Magnanelli,it ITA,MF,32.0,27.7,0.0,12.0,1.0,8.3,0.43,0.04,0.0,0.0,25.8,0.0,0.0,0.0,0.4,0.3,0.03,-0.4,-0.3,1377.0,1691.0,81.4,28835.0,8157.0,446.0,506.0,88.1,665.0,761.0,87.4,248.0,377.0,65.8,0.0,1.8,1.8,-1.8,36.0,158.0,24.0,2.0,191.0,1691.0,1502.0,180.0,142.0,11.0,32.0,36.0,1.0,19.0,10.0,8.0,0.0,1377.0,9.0,13.0,96.0,3.47,73.0,15.0,1.0,0.0,3.0,4.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,56.0,38.0,30.0,20.0,6.0,20.0,65.0,30.8,45.0,26.0,7.0,19.0,58.0,114.0,78.0,2.0,1954.0,118.0,424.0,1229.0,324.0,6.0,1954.0,16.0,11.0,68.8,5.0,31.3,904.0,4264.0,1795.0,11.0,18.0,0.0,18.0,28.0,1115.0,28.0,32,2494.0,78.0,72.9,27.7,30,,18.0,2,,3,1.13,17.0,39.0,-22.0,-0.79,-0.02,33.7,32.4,1.4,0.05,0.43,11.0,4.0,2.0,39.0,69.0,0.0,36.0,58.0,38.0,0.0,0.0,0.0,263.0,35.0,20.0,63.6
Domenico Berardi,it ITA,FW,22.0,25.5,4.0,81.0,23.0,28.4,3.18,0.9,0.02,0.09,22.6,5.0,2.0,4.0,8.9,5.8,0.07,-4.9,-3.8,642.0,986.0,65.1,11339.0,3272.0,269.0,352.0,76.4,286.0,408.0,70.1,63.0,151.0,41.7,2.0,3.7,4.0,-1.7,52.0,49.0,31.0,7.0,113.0,986.0,890.0,94.0,20.0,16.0,8.0,120.0,9.0,64.0,38.0,17.0,0.0,642.0,2.0,50.0,128.0,5.02,84.0,19.0,8.0,9.0,6.0,2.0,10.0,0.39,5.0,3.0,1.0,1.0,0.0,0.0,31.0,17.0,9.0,16.0,6.0,11.0,65.0,16.9,54.0,23.0,0.0,23.0,17.0,48.0,14.0,1.0,1255.0,18.0,106.0,451.0,729.0,81.0,1251.0,58.0,36.0,62.1,22.0,37.9,743.0,4933.0,2242.0,69.0,47.0,21.0,51.0,38.0,919.0,237.0,31,2296.0,74.0,67.1,25.5,29,,12.0,2,,0,1.13,17.0,37.0,-20.0,-0.78,0.02,30.1,30.6,-0.5,-0.02,0.14,8.0,1.0,0.0,42.0,48.0,21.0,120.0,17.0,17.0,0.0,0.0,0.0,116.0,16.0,34.0,32.0
Federico Peluso,it ITA,DF,33.0,28.8,1.0,11.0,2.0,18.2,0.38,0.07,0.09,0.5,9.7,0.0,0.0,0.0,1.0,0.9,0.08,0.0,0.1,823.0,1170.0,70.3,16767.0,8739.0,268.0,326.0,82.2,450.0,556.0,80.9,102.0,255.0,40.0,1.0,0.9,0.8,0.1,12.0,93.0,15.0,11.0,112.0,1170.0,922.0,241.0,28.0,2.0,5.0,56.0,212.0,0.0,0.0,0.0,0.0,823.0,7.0,28.0,26.0,0.91,19.0,6.0,0.0,1.0,0.0,0.0,2.0,0.07,1.0,0.0,0.0,1.0,0.0,0.0,46.0,34.0,29.0,13.0,4.0,14.0,26.0,53.8,12.0,39.0,13.0,26.0,40.0,86.0,132.0,1.0,1469.0,130.0,590.0,649.0,239.0,19.0,1469.0,8.0,4.0,50.0,4.0,50.0,569.0,3047.0,1602.0,26.0,14.0,1.0,18.0,10.0,749.0,54.0,31,2594.0,84.0,75.8,28.8,28,,26.0,3,,4,1.1,22.0,41.0,-19.0,-0.66,0.54,36.6,35.7,0.9,0.03,0.4,10.0,0.0,0.0,33.0,18.0,1.0,56.0,40.0,34.0,0.0,1.0,0.0,95.0,53.0,26.0,67.1
Alfred Duncan,gh GHA,MF,24.0,21.6,0.0,40.0,9.0,22.5,1.85,0.42,0.0,0.0,23.1,0.0,0.0,0.0,2.0,2.0,0.05,-2.0,-2.0,556.0,803.0,69.2,10521.0,3957.0,238.0,296.0,80.4,231.0,311.0,74.3,76.0,139.0,54.7,2.0,2.4,2.0,-0.4,34.0,91.0,22.0,6.0,125.0,803.0,763.0,31.0,5.0,3.0,11.0,74.0,12.0,14.0,1.0,10.0,1.0,556.0,9.0,43.0,65.0,3.0,53.0,1.0,4.0,5.0,1.0,1.0,4.0,0.18,4.0,0.0,0.0,0.0,0.0,0.0,39.0,29.0,16.0,18.0,5.0,15.0,52.0,28.8,37.0,32.0,2.0,30.0,19.0,58.0,29.0,1.0,1041.0,40.0,208.0,487.0,366.0,40.0,1041.0,51.0,34.0,66.7,17.0,33.3,618.0,3408.0,1815.0,43.0,29.0,8.0,35.0,57.0,683.0,105.0,26,1947.0,75.0,56.9,21.6,23,,12.0,3,,6,1.27,14.0,30.0,-16.0,-0.74,0.12,28.1,26.2,2.0,0.09,0.37,4.0,0.0,0.0,40.0,16.0,4.0,74.0,19.0,29.0,0.0,0.0,0.0,144.0,14.0,23.0,37.8
Pol Lirola,es ESP,"DF,FW",19.0,22.5,0.0,7.0,2.0,28.6,0.31,0.09,0.0,0.0,25.0,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,648.0,947.0,68.4,11790.0,5507.0,303.0,359.0,84.4,272.0,358.0,76.0,62.0,182.0,34.1,2.0,1.4,1.1,0.6,18.0,73.0,14.0,9.0,70.0,947.0,766.0,176.0,8.0,2.0,4.0,84.0,168.0,0.0,0.0,0.0,0.0,648.0,5.0,41.0,30.0,1.33,26.0,0.0,3.0,0.0,1.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,34.0,21.0,26.0,6.0,2.0,20.0,35.0,57.1,15.0,11.0,4.0,7.0,28.0,62.0,88.0,1.0,1164.0,84.0,378.0,490.0,317.0,19.0,1164.0,54.0,33.0,61.1,21.0,38.9,562.0,4302.0,2655.0,67.0,41.0,7.0,19.0,13.0,623.0,92.0,24,2025.0,84.0,59.2,22.5,22,,22.0,2,,6,1.0,17.0,37.0,-20.0,-0.89,-0.24,27.8,29.7,-1.9,-0.09,-0.04,2.0,0.0,0.0,8.0,15.0,4.0,84.0,28.0,21.0,0.0,0.0,0.0,113.0,17.0,19.0,47.2
Paolo Cannavaro,it ITA,DF,36.0,16.0,0.0,5.0,0.0,0.0,0.31,0.0,0.0,,16.3,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,434.0,558.0,77.8,9017.0,4038.0,145.0,165.0,87.9,226.0,254.0,89.0,61.0,131.0,46.6,0.0,0.1,0.2,-0.1,3.0,37.0,1.0,0.0,49.0,558.0,515.0,40.0,39.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,434.0,3.0,2.0,10.0,0.62,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,11.0,5.0,1.0,8.0,20.0,40.0,12.0,17.0,13.0,4.0,27.0,44.0,94.0,1.0,728.0,96.0,386.0,319.0,26.0,10.0,728.0,1.0,1.0,100.0,0.0,0.0,285.0,1462.0,828.0,6.0,0.0,0.0,2.0,2.0,399.0,3.0,19,1443.0,76.0,42.2,16.0,16,,16.0,3,,0,1.11,9.0,28.0,-19.0,-1.19,-0.68,20.3,23.9,-3.6,-0.22,-0.27,3.0,0.0,0.0,16.0,9.0,1.0,2.0,27.0,9.0,0.0,0.0,0.0,46.0,26.0,8.0,76.5
