player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Alessio Cragno,it ITA,GK,24.0,38.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,831.0,1259.0,66.0,28867.0,25225.0,142.0,142.0,100.0,279.0,287.0,97.2,403.0,814.0,49.5,0.0,0.0,0.1,0.0,1.0,15.0,2.0,0.0,0.0,1259.0,750.0,503.0,133.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,831.0,6.0,1.0,6.0,0.16,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,19.0,1.0,1388.0,1202.0,1386.0,2.0,0.0,0.0,1388.0,0.0,0.0,,0.0,,593.0,3988.0,3052.0,0.0,1.0,1.0,2.0,0.0,456.0,0.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.08,36.0,54.0,-18.0,-0.47,,42.1,62.1,-20.0,-0.53,,1.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,39.0,13.0,1.0,92.9
Nicolò Barella,it ITA,MF,21.0,34.5,1.0,53.0,12.0,22.6,1.54,0.35,0.02,0.08,24.1,2.0,0.0,1.0,2.6,1.8,0.03,-1.6,-0.8,1518.0,1923.0,78.9,24926.0,6737.0,788.0,893.0,88.2,498.0,604.0,82.5,160.0,270.0,59.3,3.0,3.1,4.0,-0.1,43.0,154.0,44.0,13.0,206.0,1923.0,1812.0,108.0,37.0,6.0,22.0,92.0,18.0,28.0,12.0,10.0,2.0,1518.0,3.0,46.0,114.0,3.3,89.0,7.0,3.0,5.0,7.0,3.0,9.0,0.26,7.0,0.0,0.0,1.0,0.0,1.0,99.0,65.0,38.0,41.0,20.0,30.0,82.0,36.6,52.0,61.0,2.0,59.0,38.0,137.0,27.0,0.0,2423.0,43.0,363.0,1395.0,707.0,58.0,2422.0,67.0,42.0,62.7,25.0,37.3,1472.0,8731.0,4219.0,112.0,86.0,21.0,113.0,63.0,1683.0,139.0,35,3107.0,89.0,90.8,34.5,35,89.0,30,0,,0,1.06,32.0,50.0,-18.0,-0.52,-0.52,36.6,56.8,-20.2,-0.58,-0.63,10.0,2.0,2.0,60.0,82.0,3.0,92.0,38.0,65.0,0.0,2.0,0.0,253.0,19.0,47.0,28.8
Artur Ioniță,md MDA,MF,27.0,33.0,3.0,36.0,11.0,30.6,1.09,0.33,0.08,0.27,18.0,0.0,0.0,0.0,3.7,3.7,0.1,-0.7,-0.7,947.0,1156.0,81.9,13493.0,2612.0,529.0,605.0,87.4,283.0,339.0,83.5,56.0,78.0,71.8,2.0,1.3,1.1,0.7,18.0,57.0,11.0,5.0,67.0,1156.0,1136.0,19.0,6.0,1.0,13.0,26.0,6.0,0.0,0.0,0.0,0.0,947.0,1.0,31.0,45.0,1.36,39.0,1.0,1.0,1.0,2.0,1.0,5.0,0.15,3.0,0.0,1.0,0.0,1.0,0.0,67.0,38.0,23.0,31.0,13.0,16.0,57.0,28.1,41.0,40.0,5.0,35.0,27.0,94.0,30.0,0.0,1466.0,53.0,245.0,855.0,389.0,50.0,1466.0,30.0,17.0,56.7,13.0,43.3,705.0,3863.0,1734.0,42.0,43.0,1.0,38.0,40.0,964.0,80.0,37,2968.0,80.0,86.8,33.0,34,83.0,19,3,47.0,0,1.11,33.0,48.0,-15.0,-0.45,0.14,36.1,51.1,-15.1,-0.46,0.52,4.0,1.0,0.0,67.0,13.0,2.0,26.0,27.0,38.0,1.0,0.0,0.0,145.0,91.0,76.0,54.5
Leonardo Pavoletti,it ITA,FW,29.0,30.4,16.0,84.0,33.0,39.3,2.77,1.09,0.19,0.48,13.1,0.0,0.0,0.0,11.3,11.3,0.13,4.7,4.7,585.0,853.0,68.6,7001.0,908.0,334.0,450.0,74.2,133.0,217.0,61.3,23.0,42.0,54.8,1.0,1.6,1.1,-0.6,25.0,29.0,11.0,0.0,40.0,853.0,846.0,5.0,1.0,0.0,4.0,9.0,2.0,0.0,0.0,0.0,0.0,585.0,2.0,17.0,59.0,1.94,45.0,0.0,1.0,10.0,3.0,0.0,4.0,0.13,2.0,0.0,1.0,1.0,0.0,0.0,32.0,21.0,6.0,17.0,9.0,6.0,16.0,37.5,10.0,12.0,3.0,9.0,7.0,39.0,26.0,0.0,1161.0,27.0,94.0,579.0,495.0,138.0,1161.0,14.0,9.0,64.3,5.0,35.7,497.0,1502.0,292.0,5.0,11.0,4.0,72.0,33.0,939.0,191.0,32,2734.0,85.0,79.9,30.4,31,87.0,26,1,29.0,2,1.16,30.0,40.0,-10.0,-0.33,0.72,34.9,46.4,-11.5,-0.38,0.74,6.0,0.0,0.0,80.0,34.0,23.0,9.0,7.0,21.0,0.0,0.0,0.0,88.0,230.0,141.0,62.0
João Pedro,it ITA,"FW,MF",26.0,28.4,7.0,60.0,17.0,28.3,2.11,0.6,0.08,0.29,17.8,5.0,2.0,2.0,8.5,6.9,0.12,-1.5,-1.9,566.0,793.0,71.4,8694.0,1649.0,298.0,364.0,81.9,175.0,238.0,73.5,49.0,91.0,53.8,2.0,3.5,3.7,-1.5,33.0,28.0,19.0,3.0,51.0,793.0,699.0,92.0,16.0,5.0,10.0,55.0,3.0,33.0,23.0,10.0,0.0,566.0,2.0,25.0,82.0,2.89,51.0,12.0,3.0,8.0,7.0,1.0,6.0,0.21,2.0,1.0,0.0,1.0,2.0,0.0,17.0,12.0,4.0,8.0,5.0,4.0,11.0,36.4,7.0,14.0,5.0,9.0,6.0,23.0,14.0,0.0,1063.0,24.0,83.0,472.0,520.0,102.0,1061.0,51.0,19.0,37.3,32.0,62.7,605.0,3130.0,1215.0,32.0,34.0,16.0,56.0,42.0,788.0,216.0,34,2555.0,75.0,74.7,28.4,30,80.0,11,4,38.0,0,1.09,27.0,44.0,-17.0,-0.6,-0.49,32.7,48.9,-16.2,-0.57,-0.17,5.0,1.0,1.0,48.0,53.0,9.0,55.0,6.0,12.0,1.0,0.0,0.0,79.0,68.0,86.0,44.2
Fabio Pisacane,it ITA,DF,32.0,25.2,1.0,9.0,1.0,11.1,0.36,0.04,0.11,1.0,10.6,0.0,0.0,0.0,0.8,0.8,0.09,0.2,0.2,973.0,1166.0,83.4,18444.0,5900.0,329.0,369.0,89.2,501.0,562.0,89.1,113.0,181.0,62.4,1.0,1.2,0.8,-0.2,6.0,25.0,1.0,1.0,44.0,1166.0,1113.0,50.0,22.0,0.0,8.0,4.0,28.0,0.0,0.0,0.0,0.0,973.0,3.0,9.0,11.0,0.44,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,33.0,17.0,22.0,8.0,3.0,18.0,31.0,58.1,13.0,36.0,23.0,13.0,23.0,56.0,108.0,0.0,1432.0,167.0,730.0,645.0,59.0,17.0,1432.0,8.0,2.0,25.0,6.0,75.0,767.0,3917.0,1833.0,5.0,4.0,0.0,14.0,6.0,815.0,4.0,27,2266.0,84.0,66.3,25.2,24,90.0,22,3,38.0,10,0.96,22.0,37.0,-15.0,-0.6,-0.36,28.5,42.1,-13.6,-0.54,-0.04,6.0,0.0,0.0,27.0,19.0,0.0,4.0,23.0,17.0,0.0,0.0,0.0,163.0,48.0,52.0,48.0
Darijo Srna,hr CRO,DF,36.0,23.2,0.0,10.0,1.0,10.0,0.43,0.04,0.0,0.0,24.0,2.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,1234.0,1631.0,75.7,22249.0,10167.0,523.0,583.0,89.7,532.0,660.0,80.6,141.0,278.0,50.7,3.0,4.0,4.1,-1.0,45.0,104.0,46.0,26.0,130.0,1631.0,1306.0,316.0,42.0,2.0,11.0,159.0,241.0,33.0,1.0,29.0,0.0,1234.0,9.0,51.0,79.0,3.41,50.0,21.0,2.0,1.0,4.0,1.0,8.0,0.35,5.0,3.0,0.0,0.0,0.0,0.0,24.0,16.0,6.0,13.0,5.0,9.0,14.0,64.3,5.0,24.0,5.0,19.0,18.0,42.0,66.0,0.0,1817.0,77.0,340.0,995.0,491.0,5.0,1817.0,15.0,11.0,73.3,4.0,26.7,892.0,4091.0,2022.0,44.0,33.0,2.0,21.0,12.0,1158.0,85.0,26,2087.0,80.0,61.0,23.2,24,86.0,19,2,18.0,7,1.04,20.0,34.0,-14.0,-0.6,-0.33,23.0,40.3,-17.3,-0.75,-0.57,5.0,1.0,0.0,23.0,72.0,0.0,159.0,18.0,16.0,0.0,1.0,0.0,100.0,29.0,28.0,50.9
Luca Ceppitelli,it ITA,DF,28.0,22.8,1.0,15.0,4.0,26.7,0.66,0.18,0.07,0.25,9.7,0.0,0.0,0.0,2.4,2.4,0.16,-1.4,-1.4,999.0,1210.0,82.6,19897.0,7388.0,339.0,383.0,88.5,483.0,531.0,91.0,152.0,249.0,61.0,1.0,0.9,0.8,0.1,2.0,49.0,1.0,0.0,69.0,1210.0,1174.0,34.0,32.0,0.0,22.0,3.0,2.0,0.0,0.0,0.0,0.0,999.0,2.0,7.0,10.0,0.44,8.0,0.0,0.0,1.0,0.0,1.0,2.0,0.09,1.0,0.0,0.0,1.0,0.0,0.0,40.0,24.0,28.0,11.0,1.0,13.0,22.0,59.1,9.0,34.0,24.0,10.0,20.0,60.0,111.0,2.0,1450.0,185.0,738.0,687.0,33.0,20.0,1450.0,5.0,3.0,60.0,2.0,40.0,730.0,3591.0,2318.0,10.0,3.0,0.0,4.0,3.0,887.0,1.0,24,2051.0,85.0,60.0,22.8,24,85.0,21,0,,1,1.21,22.0,33.0,-11.0,-0.48,-0.02,25.7,39.1,-13.4,-0.59,-0.15,6.0,2.0,0.0,21.0,15.0,0.0,3.0,20.0,24.0,0.0,1.0,1.0,139.0,59.0,40.0,59.6
Simone Padoin,it ITA,"DF,MF",34.0,21.3,0.0,3.0,2.0,66.7,0.14,0.09,0.0,0.0,16.9,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,813.0,1052.0,77.3,13780.0,5303.0,358.0,389.0,92.0,332.0,442.0,75.1,83.0,154.0,53.9,2.0,1.1,1.2,0.9,15.0,61.0,21.0,14.0,80.0,1052.0,853.0,195.0,19.0,0.0,4.0,53.0,176.0,0.0,0.0,0.0,0.0,813.0,4.0,16.0,45.0,2.11,33.0,6.0,2.0,1.0,3.0,0.0,4.0,0.19,4.0,0.0,0.0,0.0,0.0,0.0,34.0,25.0,12.0,18.0,4.0,14.0,33.0,42.4,19.0,18.0,5.0,13.0,14.0,48.0,54.0,0.0,1208.0,77.0,350.0,602.0,259.0,10.0,1208.0,16.0,8.0,50.0,8.0,50.0,548.0,3212.0,1709.0,58.0,31.0,2.0,16.0,9.0,687.0,55.0,30,1915.0,64.0,56.0,21.3,22,82.0,15,8,14.0,7,1.2,20.0,33.0,-13.0,-0.61,-0.31,25.6,35.1,-9.5,-0.45,0.18,2.0,0.0,0.0,17.0,24.0,0.0,53.0,14.0,25.0,0.0,0.0,0.0,110.0,15.0,19.0,44.1
Luca Cigarini,it ITA,MF,32.0,18.7,0.0,19.0,2.0,10.5,1.02,0.11,0.0,0.0,30.7,2.0,0.0,0.0,0.6,0.6,0.03,-0.6,-0.6,1064.0,1375.0,77.4,19096.0,7123.0,504.0,558.0,90.3,381.0,468.0,81.4,139.0,275.0,50.5,2.0,2.9,3.6,-0.9,31.0,134.0,19.0,3.0,149.0,1375.0,1214.0,154.0,98.0,5.0,11.0,74.0,1.0,52.0,15.0,33.0,1.0,1064.0,7.0,13.0,60.0,3.21,29.0,26.0,1.0,4.0,0.0,0.0,6.0,0.32,4.0,2.0,0.0,0.0,0.0,0.0,54.0,33.0,27.0,22.0,5.0,28.0,63.0,44.4,35.0,28.0,5.0,23.0,26.0,80.0,41.0,0.0,1565.0,62.0,338.0,987.0,250.0,3.0,1565.0,10.0,10.0,100.0,0.0,0.0,731.0,2858.0,1696.0,24.0,25.0,2.0,11.0,14.0,953.0,7.0,25,1682.0,67.0,49.2,18.7,20,80.0,9,5,16.0,12,1.2,19.0,25.0,-6.0,-0.32,0.3,19.3,29.7,-10.4,-0.56,-0.06,9.0,0.0,0.0,33.0,18.0,0.0,74.0,26.0,33.0,0.0,0.0,0.0,150.0,16.0,16.0,50.0
