player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Stefano Sorrentino,it ITA,GK,39.0,31.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,596.0,901.0,66.1,19916.0,16287.0,37.0,38.0,97.4,229.0,237.0,96.6,329.0,623.0,52.8,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,901.0,469.0,430.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.0,2.0,0.0,4.0,0.13,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,3.0,4.0,10.0,1.0,988.0,859.0,974.0,14.0,0.0,0.0,988.0,0.0,0.0,,0.0,,356.0,2579.0,1783.0,0.0,0.0,0.0,0.0,0.0,289.0,0.0,31,2789.0,90.0,81.5,31.0,31,90.0,30,0,,0,0.45,21.0,60.0,-39.0,-1.26,0.31,32.1,48.5,-16.3,-0.53,0.61,2.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,21.0,2.0,0.0,100.0
Mattia Bani,it ITA,DF,24.0,29.0,0.0,13.0,3.0,23.1,0.45,0.1,0.0,0.0,12.5,0.0,0.0,0.0,1.0,1.0,0.08,-1.0,-1.0,1026.0,1278.0,80.3,20395.0,8223.0,346.0,394.0,87.8,514.0,583.0,88.2,145.0,252.0,57.5,0.0,0.8,0.3,-0.8,4.0,53.0,3.0,1.0,63.0,1278.0,1204.0,65.0,38.0,0.0,23.0,5.0,27.0,0.0,0.0,0.0,0.0,1026.0,9.0,11.0,14.0,0.48,12.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,40.0,46.0,21.0,0.0,27.0,40.0,67.5,13.0,51.0,35.0,16.0,57.0,124.0,162.0,2.0,1647.0,236.0,976.0,631.0,53.0,21.0,1647.0,2.0,1.0,50.0,1.0,50.0,781.0,3467.0,1997.0,4.0,6.0,1.0,14.0,7.0,927.0,11.0,30,2610.0,87.0,76.3,29.0,29,89.0,26,1,38.0,3,0.6,19.0,48.0,-29.0,-1.0,1.33,28.1,44.7,-16.5,-0.57,0.29,8.0,1.0,1.0,31.0,34.0,2.0,5.0,57.0,40.0,0.0,1.0,1.0,132.0,90.0,46.0,66.2
Federico Barba,it ITA,DF,24.0,27.6,0.0,9.0,3.0,33.3,0.33,0.11,0.0,0.0,16.2,0.0,0.0,0.0,0.8,0.8,0.09,-0.8,-0.8,1007.0,1280.0,78.7,18800.0,7708.0,400.0,451.0,88.7,467.0,555.0,84.1,119.0,229.0,52.0,0.0,1.6,1.2,-1.6,11.0,80.0,18.0,4.0,106.0,1280.0,1101.0,173.0,46.0,0.0,25.0,26.0,127.0,0.0,0.0,0.0,0.0,1007.0,6.0,15.0,25.0,0.91,19.0,2.0,1.0,2.0,0.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,30.0,14.0,21.0,9.0,0.0,8.0,21.0,38.1,13.0,29.0,15.0,14.0,65.0,95.0,129.0,0.0,1567.0,146.0,707.0,730.0,147.0,12.0,1567.0,7.0,3.0,42.9,4.0,57.1,696.0,3366.0,2067.0,30.0,14.0,1.0,9.0,4.0,820.0,34.0,30,2483.0,83.0,72.6,27.6,29,85.0,26,1,21.0,2,0.63,17.0,48.0,-31.0,-1.12,0.7,28.0,40.3,-12.3,-0.44,0.71,6.0,2.0,1.0,36.0,11.0,1.0,26.0,65.0,14.0,0.0,1.0,0.0,150.0,53.0,32.0,62.4
Mariusz Stępiński,pl POL,FW,23.0,27.5,6.0,61.0,16.0,26.2,2.22,0.58,0.1,0.38,14.6,0.0,0.0,0.0,7.8,7.8,0.13,-1.8,-1.8,419.0,568.0,73.8,5536.0,860.0,252.0,306.0,82.4,105.0,141.0,74.5,22.0,34.0,64.7,2.0,1.6,1.3,0.4,30.0,24.0,14.0,3.0,39.0,568.0,525.0,42.0,1.0,0.0,2.0,17.0,5.0,0.0,0.0,0.0,0.0,419.0,1.0,27.0,64.0,2.33,51.0,0.0,4.0,4.0,5.0,0.0,3.0,0.11,2.0,0.0,0.0,0.0,1.0,0.0,18.0,13.0,1.0,11.0,6.0,1.0,17.0,5.9,16.0,10.0,2.0,8.0,5.0,23.0,20.0,0.0,859.0,23.0,68.0,421.0,376.0,104.0,859.0,22.0,10.0,45.5,12.0,54.5,563.0,2529.0,713.0,23.0,22.0,9.0,102.0,63.0,684.0,178.0,35,2476.0,71.0,72.4,27.5,27,84.0,18,8,27.0,2,0.51,20.0,59.0,-39.0,-1.42,-0.37,25.8,43.6,-17.8,-0.65,-0.03,5.0,0.0,0.0,60.0,55.0,23.0,17.0,5.0,13.0,1.0,0.0,0.0,66.0,47.0,123.0,27.6
Fabio Depaoli,it ITA,DF,21.0,27.4,0.0,12.0,3.0,25.0,0.44,0.11,0.0,0.0,16.1,0.0,0.0,0.0,1.5,1.5,0.13,-1.5,-1.5,868.0,1208.0,71.9,15220.0,6761.0,398.0,465.0,85.6,373.0,497.0,75.1,84.0,176.0,47.7,4.0,3.7,2.0,0.3,32.0,55.0,40.0,20.0,97.0,1208.0,940.0,263.0,21.0,1.0,10.0,102.0,241.0,1.0,0.0,0.0,0.0,868.0,5.0,36.0,57.0,2.08,47.0,5.0,0.0,3.0,2.0,0.0,4.0,0.15,4.0,0.0,0.0,0.0,0.0,0.0,74.0,43.0,37.0,32.0,5.0,34.0,67.0,50.7,33.0,42.0,16.0,26.0,35.0,109.0,99.0,3.0,1551.0,110.0,477.0,689.0,400.0,23.0,1551.0,29.0,14.0,48.3,15.0,51.7,700.0,3778.0,2210.0,63.0,47.0,5.0,37.0,17.0,798.0,110.0,33,2468.0,75.0,72.2,27.4,27,84.0,21,6,33.0,1,0.52,21.0,55.0,-34.0,-1.24,0.27,25.1,45.7,-20.6,-0.75,-0.41,12.0,2.0,2.0,50.0,23.0,1.0,102.0,35.0,43.0,0.0,0.0,0.0,127.0,31.0,40.0,43.7
Përparim Hetemaj,fi FIN,MF,31.0,24.0,2.0,12.0,4.0,33.3,0.5,0.17,0.17,0.5,23.8,0.0,0.0,0.0,0.5,0.5,0.05,1.5,1.5,745.0,966.0,77.1,11636.0,3299.0,372.0,420.0,88.6,274.0,332.0,82.5,55.0,122.0,45.1,0.0,1.1,1.2,-1.1,14.0,73.0,16.0,9.0,93.0,966.0,932.0,30.0,18.0,1.0,11.0,57.0,9.0,2.0,0.0,0.0,0.0,745.0,4.0,35.0,39.0,1.63,34.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,27.0,27.0,23.0,3.0,20.0,68.0,29.4,48.0,25.0,1.0,24.0,30.0,83.0,24.0,2.0,1214.0,38.0,240.0,703.0,280.0,13.0,1214.0,35.0,19.0,54.3,16.0,45.7,718.0,4123.0,1773.0,40.0,35.0,4.0,42.0,26.0,827.0,73.0,30,2156.0,72.0,63.0,24.0,25,79.0,15,5,38.0,5,0.6,22.0,43.0,-21.0,-0.88,1.19,24.2,37.5,-13.3,-0.55,0.23,9.0,0.0,0.0,57.0,69.0,1.0,57.0,30.0,27.0,0.0,0.0,0.0,143.0,19.0,44.0,30.2
Nicola Rigoni,it ITA,MF,27.0,21.7,0.0,21.0,5.0,23.8,0.97,0.23,0.0,0.0,19.4,0.0,0.0,0.0,1.6,1.6,0.08,-1.6,-1.6,722.0,908.0,79.5,12127.0,4964.0,334.0,390.0,85.6,303.0,360.0,84.2,58.0,111.0,52.3,1.0,0.3,0.5,0.7,8.0,105.0,3.0,0.0,106.0,908.0,869.0,36.0,28.0,0.0,8.0,9.0,6.0,0.0,0.0,0.0,0.0,722.0,3.0,12.0,31.0,1.43,27.0,0.0,1.0,1.0,2.0,0.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0,43.0,25.0,22.0,15.0,6.0,22.0,51.0,43.1,29.0,20.0,5.0,15.0,23.0,66.0,45.0,1.0,1092.0,67.0,263.0,700.0,134.0,16.0,1092.0,4.0,2.0,50.0,2.0,50.0,504.0,1755.0,870.0,10.0,10.0,1.0,12.0,10.0,663.0,18.0,24,1951.0,81.0,57.0,21.7,23,84.0,15,1,14.0,7,0.42,15.0,48.0,-33.0,-1.52,-0.48,21.3,36.8,-15.6,-0.72,-0.18,9.0,1.0,1.0,47.0,18.0,1.0,9.0,23.0,25.0,0.0,0.0,0.0,133.0,45.0,36.0,55.6
Emanuele Giaccherini,it ITA,"MF,FW",33.0,22.3,3.0,31.0,10.0,32.3,1.39,0.45,0.06,0.2,22.2,3.0,1.0,2.0,3.0,1.4,0.05,0.0,0.6,796.0,1104.0,72.1,13257.0,3461.0,387.0,450.0,86.0,284.0,377.0,75.3,87.0,177.0,49.2,1.0,3.6,3.6,-2.6,44.0,75.0,22.0,8.0,106.0,1104.0,959.0,142.0,40.0,2.0,9.0,127.0,12.0,67.0,26.0,24.0,1.0,796.0,3.0,44.0,94.0,4.21,57.0,26.0,2.0,4.0,5.0,0.0,6.0,0.27,2.0,2.0,0.0,1.0,1.0,0.0,14.0,8.0,5.0,7.0,2.0,6.0,31.0,19.4,25.0,21.0,2.0,19.0,16.0,30.0,10.0,2.0,1313.0,18.0,144.0,623.0,558.0,49.0,1311.0,43.0,26.0,60.5,17.0,39.5,773.0,4627.0,2272.0,76.0,52.0,16.0,48.0,48.0,933.0,193.0,26,2009.0,77.0,58.7,22.3,22,87.0,19,4,22.0,1,0.38,15.0,50.0,-35.0,-1.57,-0.61,24.6,36.6,-12.0,-0.54,0.25,8.0,0.0,0.0,19.0,47.0,5.0,127.0,16.0,8.0,1.0,0.0,1.0,134.0,12.0,29.0,29.3
Luca Rossettini,it ITA,DF,33.0,20.3,0.0,4.0,3.0,75.0,0.2,0.15,0.0,0.0,15.2,0.0,0.0,0.0,0.5,0.5,0.13,-0.5,-0.5,687.0,811.0,84.7,14698.0,5418.0,169.0,184.0,91.8,405.0,452.0,89.6,105.0,157.0,66.9,0.0,0.3,0.2,-0.3,1.0,21.0,2.0,0.0,30.0,811.0,787.0,21.0,18.0,0.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,687.0,3.0,3.0,4.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,26.0,17.0,18.0,8.0,0.0,15.0,20.0,75.0,5.0,23.0,15.0,8.0,35.0,61.0,114.0,0.0,1018.0,149.0,642.0,359.0,23.0,5.0,1018.0,0.0,0.0,,0.0,,507.0,2240.0,1032.0,3.0,3.0,2.0,1.0,4.0,581.0,4.0,21,1823.0,87.0,53.3,20.3,20,90.0,20,1,23.0,7,0.52,18.0,44.0,-26.0,-1.28,0.07,22.3,37.3,-15.0,-0.74,-0.22,5.0,0.0,0.0,15.0,8.0,0.0,1.0,35.0,17.0,0.0,0.0,0.0,94.0,38.0,35.0,52.1
Ivan Radovanović,rs SRB,MF,29.0,19.0,0.0,30.0,1.0,3.3,1.58,0.05,0.0,0.0,30.8,2.0,0.0,0.0,0.7,0.7,0.02,-0.7,-0.7,876.0,1028.0,85.2,18465.0,5720.0,326.0,365.0,89.3,353.0,396.0,89.1,181.0,238.0,76.1,0.0,0.5,0.4,-0.5,9.0,105.0,6.0,0.0,110.0,1028.0,978.0,47.0,45.0,2.0,32.0,4.0,0.0,0.0,0.0,0.0,0.0,876.0,3.0,3.0,29.0,1.53,26.0,1.0,1.0,1.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,27.0,22.0,20.0,7.0,0.0,11.0,31.0,35.5,20.0,19.0,7.0,12.0,26.0,53.0,36.0,0.0,1186.0,49.0,303.0,784.0,110.0,2.0,1186.0,7.0,7.0,100.0,0.0,0.0,631.0,2891.0,1531.0,11.0,16.0,0.0,11.0,7.0,785.0,2.0,19,1706.0,90.0,49.9,19.0,19,90.0,18,0,,0,0.53,13.0,37.0,-24.0,-1.27,0.1,18.9,32.2,-13.4,-0.7,-0.13,6.0,0.0,0.0,20.0,13.0,1.0,4.0,26.0,22.0,0.0,0.0,0.0,137.0,22.0,20.0,52.4
