player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Francesco Caputo,it ITA,FW,30.0,38.0,16.0,90.0,39.0,43.3,2.37,1.03,0.14,0.33,14.3,0.0,3.0,6.0,17.6,12.9,0.14,-1.6,0.1,666.0,883.0,75.4,8520.0,1205.0,418.0,518.0,80.7,154.0,197.0,78.2,31.0,41.0,75.6,3.0,5.2,3.9,-2.2,44.0,23.0,23.0,1.0,51.0,883.0,826.0,48.0,3.0,2.0,6.0,15.0,10.0,0.0,0.0,0.0,0.0,666.0,9.0,28.0,103.0,2.71,79.0,0.0,7.0,14.0,3.0,0.0,14.0,0.37,9.0,0.0,1.0,2.0,2.0,0.0,13.0,9.0,2.0,4.0,7.0,3.0,10.0,30.0,7.0,11.0,1.0,10.0,2.0,15.0,11.0,0.0,1187.0,16.0,46.0,386.0,763.0,249.0,1181.0,41.0,12.0,29.3,29.0,70.7,809.0,4046.0,1703.0,87.0,30.0,55.0,94.0,48.0,959.0,358.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.0,51.0,70.0,-19.0,-0.5,,52.4,63.6,-11.3,-0.3,,3.0,0.0,0.0,28.0,35.0,31.0,15.0,2.0,9.0,2.0,0.0,0.0,79.0,24.0,56.0,30.0
Giovanni Di Lorenzo,it ITA,"DF,FW",24.0,37.0,5.0,21.0,9.0,42.9,0.57,0.24,0.24,0.56,13.2,0.0,0.0,0.0,3.6,3.3,0.16,1.4,1.7,1681.0,2186.0,76.9,25450.0,10834.0,941.0,1055.0,89.2,574.0,748.0,76.7,106.0,218.0,48.6,3.0,5.3,5.9,-2.3,39.0,151.0,71.0,14.0,241.0,2186.0,1862.0,316.0,38.0,4.0,6.0,124.0,278.0,0.0,0.0,0.0,0.0,1681.0,8.0,69.0,82.0,2.22,66.0,5.0,6.0,3.0,2.0,0.0,12.0,0.32,9.0,0.0,2.0,1.0,0.0,0.0,66.0,43.0,38.0,23.0,5.0,24.0,44.0,54.5,20.0,34.0,13.0,21.0,36.0,102.0,93.0,3.0,2563.0,140.0,593.0,1161.0,835.0,69.0,2563.0,62.0,28.0,45.2,34.0,54.8,1510.0,7345.0,4149.0,83.0,72.0,12.0,41.0,44.0,1728.0,219.0,37,3330.0,90.0,97.4,37.0,37,90.0,37,0,,0,1.03,51.0,69.0,-18.0,-0.49,0.51,51.8,62.5,-10.7,-0.29,0.29,8.0,0.0,0.0,46.0,54.0,2.0,124.0,36.0,43.0,0.0,0.0,0.0,189.0,37.0,36.0,50.7
Matías Silvestre,ar ARG,DF,33.0,34.0,2.0,11.0,5.0,45.5,0.32,0.15,0.18,0.4,9.0,0.0,0.0,0.0,1.5,1.5,0.14,0.5,0.5,1267.0,1504.0,84.2,27608.0,9439.0,353.0,393.0,89.8,677.0,743.0,91.1,230.0,342.0,67.3,0.0,0.3,0.2,-0.3,6.0,65.0,1.0,0.0,68.0,1504.0,1438.0,66.0,62.0,0.0,16.0,3.0,4.0,0.0,0.0,0.0,0.0,1267.0,0.0,14.0,10.0,0.29,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,17.0,22.0,5.0,4.0,17.0,26.0,65.4,9.0,29.0,24.0,5.0,21.0,52.0,165.0,0.0,1784.0,236.0,917.0,832.0,44.0,26.0,1784.0,1.0,1.0,100.0,0.0,0.0,1024.0,5162.0,2586.0,4.0,5.0,1.0,5.0,3.0,1160.0,2.0,34,3060.0,90.0,89.5,34.0,34,90.0,34,0,,0,1.09,48.0,62.0,-14.0,-0.41,0.84,49.6,53.7,-4.1,-0.12,1.67,6.0,0.0,0.0,22.0,21.0,1.0,3.0,21.0,17.0,0.0,0.0,1.0,111.0,87.0,44.0,66.4
Rade Krunić,ba BIH,MF,24.0,30.8,5.0,53.0,16.0,30.2,1.72,0.52,0.09,0.31,18.6,0.0,0.0,0.0,5.1,5.1,0.1,-0.1,-0.1,1066.0,1339.0,79.6,16055.0,4442.0,586.0,677.0,86.6,369.0,441.0,83.7,62.0,95.0,65.3,7.0,6.2,5.2,0.8,51.0,113.0,44.0,1.0,180.0,1339.0,1296.0,35.0,12.0,8.0,13.0,19.0,14.0,2.0,0.0,1.0,0.0,1066.0,8.0,35.0,117.0,3.8,90.0,1.0,11.0,6.0,8.0,1.0,13.0,0.42,10.0,0.0,2.0,1.0,0.0,0.0,38.0,23.0,21.0,14.0,3.0,14.0,41.0,34.1,27.0,35.0,12.0,23.0,24.0,62.0,32.0,0.0,1702.0,60.0,260.0,779.0,690.0,101.0,1702.0,76.0,47.0,61.8,29.0,38.2,1121.0,7981.0,4178.0,130.0,104.0,22.0,70.0,38.0,1296.0,191.0,33,2772.0,84.0,81.1,30.8,33,84.0,21,0,,0,1.03,38.0,55.0,-17.0,-0.55,-0.27,41.2,52.1,-10.9,-0.35,-0.31,7.0,1.0,0.0,47.0,76.0,0.0,19.0,24.0,23.0,0.0,0.0,0.0,151.0,50.0,84.0,37.3
Ismaël Bennacer,dz ALG,MF,20.0,32.9,0.0,19.0,5.0,26.3,0.58,0.15,0.0,0.0,27.1,4.0,0.0,0.0,0.6,0.6,0.03,-0.6,-0.6,1666.0,1989.0,83.8,30690.0,9263.0,695.0,774.0,89.8,705.0,808.0,87.3,222.0,319.0,69.6,5.0,3.1,2.4,1.9,32.0,169.0,21.0,1.0,199.0,1989.0,1795.0,189.0,89.0,4.0,28.0,75.0,7.0,67.0,28.0,18.0,3.0,1666.0,5.0,28.0,74.0,2.25,54.0,15.0,2.0,0.0,3.0,0.0,11.0,0.33,8.0,2.0,1.0,0.0,0.0,0.0,94.0,57.0,43.0,41.0,10.0,32.0,75.0,42.7,43.0,38.0,9.0,29.0,57.0,151.0,34.0,0.0,2347.0,75.0,524.0,1419.0,442.0,10.0,2347.0,85.0,66.0,77.6,19.0,22.4,1401.0,7995.0,3699.0,49.0,51.0,8.0,54.0,44.0,1452.0,57.0,37,2961.0,80.0,86.6,32.9,32,88.0,28,5,27.0,0,1.0,44.0,60.0,-16.0,-0.49,0.1,45.2,57.3,-12.0,-0.37,-0.52,7.0,0.0,0.0,46.0,59.0,0.0,75.0,57.0,57.0,0.0,1.0,0.0,312.0,32.0,29.0,52.5
Freddie Veseli,al ALB,DF,25.0,28.2,0.0,5.0,0.0,0.0,0.18,0.0,0.0,,19.0,0.0,0.0,0.0,0.5,0.5,0.09,-0.5,-0.5,1120.0,1327.0,84.4,20931.0,5590.0,400.0,433.0,92.4,592.0,662.0,89.4,120.0,195.0,61.5,0.0,0.4,0.7,-0.4,6.0,67.0,10.0,4.0,86.0,1327.0,1178.0,145.0,35.0,1.0,11.0,21.0,103.0,7.0,3.0,2.0,0.0,1120.0,4.0,16.0,19.0,0.67,17.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,21.0,16.0,15.0,3.0,19.0,27.0,70.4,8.0,28.0,17.0,11.0,30.0,64.0,99.0,1.0,1557.0,135.0,605.0,786.0,185.0,8.0,1557.0,9.0,5.0,55.6,4.0,44.4,829.0,4861.0,3125.0,48.0,36.0,1.0,10.0,7.0,965.0,33.0,31,2539.0,82.0,74.2,28.2,28,90.0,28,3,6.0,5,1.06,35.0,53.0,-18.0,-0.64,-0.54,37.2,46.8,-9.5,-0.34,-0.16,4.0,0.0,0.0,37.0,9.0,2.0,21.0,30.0,21.0,0.0,1.0,0.0,125.0,12.0,24.0,33.3
Hamed Junior Traorè,ci CIV,MF,18.0,25.1,2.0,44.0,12.0,27.3,1.75,0.48,0.05,0.17,21.9,0.0,0.0,0.0,2.9,2.9,0.07,-0.9,-0.9,782.0,1007.0,77.7,12932.0,3837.0,407.0,460.0,88.5,292.0,363.0,80.4,62.0,107.0,57.9,2.0,2.9,2.5,-0.9,25.0,86.0,28.0,2.0,136.0,1007.0,963.0,37.0,8.0,6.0,14.0,20.0,22.0,5.0,0.0,2.0,0.0,782.0,7.0,31.0,71.0,2.83,52.0,1.0,9.0,5.0,1.0,3.0,4.0,0.16,4.0,0.0,0.0,0.0,0.0,0.0,67.0,38.0,26.0,32.0,9.0,27.0,72.0,37.5,45.0,29.0,4.0,25.0,30.0,97.0,17.0,0.0,1292.0,31.0,200.0,689.0,441.0,46.0,1292.0,70.0,43.0,61.4,27.0,38.6,826.0,5841.0,3301.0,87.0,64.0,12.0,46.0,48.0,878.0,93.0,32,2259.0,71.0,66.1,25.1,26,83.0,13,6,16.0,6,0.94,37.0,50.0,-13.0,-0.52,-0.05,35.2,48.8,-13.7,-0.54,-0.73,4.0,0.0,0.0,37.0,22.0,7.0,20.0,30.0,38.0,0.0,0.0,0.0,158.0,15.0,37.0,28.8
Domenico Maietta,it ITA,DF,35.0,19.0,0.0,7.0,2.0,28.6,0.37,0.11,0.0,0.0,27.1,0.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3,850.0,1006.0,84.5,16765.0,7006.0,327.0,347.0,94.2,396.0,434.0,91.2,116.0,194.0,59.8,0.0,0.2,0.5,-0.2,4.0,74.0,6.0,1.0,77.0,1006.0,932.0,70.0,37.0,0.0,28.0,7.0,33.0,0.0,0.0,0.0,0.0,850.0,4.0,9.0,17.0,0.89,12.0,0.0,3.0,0.0,0.0,2.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,33.0,15.0,22.0,10.0,1.0,16.0,36.0,44.4,20.0,19.0,14.0,5.0,24.0,57.0,78.0,2.0,1168.0,103.0,517.0,610.0,55.0,4.0,1168.0,9.0,7.0,77.8,2.0,22.2,655.0,3559.0,2346.0,18.0,20.0,1.0,7.0,1.0,745.0,4.0,21,1714.0,82.0,50.1,19.0,21,82.0,15,0,,7,1.05,26.0,36.0,-10.0,-0.53,-0.05,27.2,31.1,-3.9,-0.21,0.18,5.0,0.0,0.0,18.0,4.0,1.0,7.0,24.0,15.0,0.0,2.0,0.0,106.0,30.0,18.0,62.5
Afriyie Acquah,gh GHA,MF,26.0,16.8,2.0,22.0,7.0,31.8,1.31,0.42,0.09,0.29,20.8,0.0,0.0,0.0,1.4,1.4,0.07,0.6,0.6,580.0,738.0,78.6,8818.0,2290.0,319.0,355.0,89.9,218.0,266.0,82.0,30.0,62.0,48.4,0.0,0.8,0.8,-0.8,11.0,66.0,12.0,3.0,91.0,738.0,723.0,11.0,3.0,2.0,4.0,34.0,8.0,0.0,0.0,0.0,0.0,580.0,4.0,28.0,44.0,2.62,34.0,0.0,4.0,4.0,2.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,27.0,9.0,9.0,12.0,6.0,4.0,11.0,36.4,7.0,11.0,1.0,10.0,12.0,39.0,16.0,0.0,901.0,22.0,132.0,474.0,315.0,29.0,901.0,35.0,27.0,77.1,8.0,22.9,623.0,4409.0,2387.0,58.0,45.0,9.0,32.0,21.0,690.0,76.0,28,1510.0,54.0,44.2,16.8,19,73.0,5,9,14.0,6,1.11,20.0,29.0,-9.0,-0.54,-0.07,18.4,25.2,-6.8,-0.41,-0.2,4.0,0.0,0.0,27.0,32.0,1.0,34.0,12.0,9.0,0.0,0.0,0.0,88.0,22.0,28.0,44.0
Ivan Provedel,it ITA,GK,24.0,16.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,358.0,485.0,73.8,10639.0,7942.0,36.0,36.0,100.0,178.0,183.0,97.3,143.0,263.0,54.4,0.0,0.1,0.0,-0.1,3.0,7.0,0.0,0.0,0.0,485.0,293.0,191.0,68.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0,1.0,1.0,4.0,0.25,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,530.0,501.0,529.0,1.0,0.0,0.0,530.0,0.0,0.0,,0.0,,239.0,1670.0,1267.0,0.0,0.0,0.0,1.0,0.0,153.0,0.0,16,1440.0,90.0,42.1,16.0,16,90.0,16,0,,22,1.0,24.0,36.0,-12.0,-0.75,-0.43,21.1,26.3,-5.3,-0.33,-0.06,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,1.0,0.0,100.0
