player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Marco Sportiello,it ITA,GK,26.0,35.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,841.0,1230.0,68.4,25442.0,18562.0,83.0,83.0,100.0,457.0,464.0,98.5,298.0,672.0,44.3,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1230.0,748.0,475.0,134.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,841.0,7.0,0.0,8.0,0.23,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0.0,1.0,8.0,2.0,1316.0,1136.0,1309.0,7.0,0.0,0.0,1316.0,0.0,0.0,,0.0,,620.0,3629.0,2549.0,0.0,0.0,0.0,0.0,0.0,404.0,0.0,35,3150.0,90.0,92.1,35.0,35,90.0,35,0,,0,0.69,28.0,64.0,-36.0,-1.03,0.3,34.1,58.2,-24.1,-0.69,-1.04,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,6.0,2.0,75.0
Raman Chibsah,gh GHA,MF,25.0,29.1,1.0,32.0,9.0,28.1,1.1,0.31,0.03,0.11,19.2,0.0,0.0,0.0,3.3,3.3,0.1,-2.3,-2.3,739.0,905.0,81.7,12123.0,3636.0,383.0,435.0,88.0,280.0,324.0,86.4,59.0,84.0,70.2,0.0,0.6,0.6,-0.6,20.0,69.0,7.0,3.0,116.0,905.0,895.0,10.0,5.0,2.0,11.0,19.0,4.0,0.0,0.0,0.0,0.0,739.0,0.0,28.0,51.0,1.75,41.0,0.0,5.0,4.0,1.0,0.0,2.0,0.07,1.0,0.0,0.0,1.0,0.0,0.0,46.0,27.0,25.0,19.0,2.0,16.0,54.0,29.6,38.0,45.0,10.0,35.0,32.0,78.0,28.0,1.0,1245.0,54.0,295.0,743.0,249.0,33.0,1245.0,82.0,52.0,63.4,30.0,36.6,746.0,4412.0,2524.0,45.0,37.0,1.0,57.0,52.0,790.0,58.0,32,2622.0,82.0,76.7,29.1,30,86.0,24,2,16.0,2,0.75,22.0,56.0,-34.0,-1.17,-0.49,26.3,50.0,-23.7,-0.81,-0.89,5.0,0.0,0.0,46.0,29.0,6.0,19.0,32.0,27.0,0.0,1.0,0.0,185.0,20.0,37.0,35.1
Edoardo Goldaniga,it ITA,DF,24.0,29.0,1.0,13.0,2.0,15.4,0.45,0.07,0.08,0.5,14.0,0.0,0.0,0.0,2.0,2.0,0.15,-1.0,-1.0,842.0,1160.0,72.6,15880.0,8252.0,340.0,396.0,85.9,376.0,476.0,79.0,108.0,246.0,43.9,1.0,0.8,0.7,0.2,7.0,73.0,7.0,4.0,87.0,1160.0,971.0,184.0,49.0,0.0,12.0,21.0,135.0,0.0,0.0,0.0,0.0,842.0,5.0,15.0,31.0,1.07,20.0,4.0,0.0,1.0,5.0,1.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,43.0,28.0,34.0,7.0,2.0,19.0,32.0,59.4,13.0,29.0,16.0,13.0,57.0,100.0,119.0,0.0,1447.0,141.0,701.0,638.0,120.0,20.0,1447.0,10.0,7.0,70.0,3.0,30.0,568.0,2816.0,1735.0,19.0,16.0,0.0,14.0,7.0,731.0,21.0,29,2610.0,90.0,76.3,29.0,29,90.0,29,0,,8,0.59,21.0,56.0,-35.0,-1.21,-0.65,27.6,49.6,-22.0,-0.76,-0.64,6.0,0.0,0.0,46.0,36.0,4.0,21.0,57.0,28.0,0.0,0.0,0.0,107.0,65.0,38.0,63.1
Camillo Ciano,it ITA,"FW,MF",28.0,27.3,7.0,74.0,21.0,28.4,2.71,0.77,0.07,0.24,25.9,21.0,2.0,3.0,6.9,4.6,0.06,0.1,0.4,596.0,991.0,60.1,10651.0,3512.0,295.0,360.0,81.9,178.0,283.0,62.9,96.0,239.0,40.2,4.0,7.0,4.9,-3.0,58.0,62.0,37.0,18.0,101.0,991.0,760.0,222.0,71.0,4.0,19.0,229.0,9.0,91.0,45.0,37.0,2.0,596.0,9.0,49.0,126.0,4.62,64.0,32.0,5.0,5.0,20.0,0.0,6.0,0.22,1.0,3.0,0.0,0.0,2.0,0.0,33.0,15.0,12.0,10.0,11.0,8.0,50.0,16.0,42.0,28.0,4.0,24.0,8.0,41.0,16.0,0.0,1325.0,21.0,131.0,553.0,663.0,38.0,1322.0,49.0,18.0,36.7,31.0,63.3,734.0,3678.0,1653.0,59.0,48.0,6.0,69.0,63.0,850.0,213.0,33,2454.0,74.0,71.8,27.3,28,83.0,15,5,23.0,1,0.64,23.0,47.0,-24.0,-0.88,0.61,30.0,41.7,-11.7,-0.43,0.63,12.0,0.0,0.0,69.0,89.0,17.0,229.0,8.0,15.0,2.0,0.0,0.0,132.0,19.0,83.0,18.6
Marco Capuano,it ITA,DF,26.0,25.6,0.0,7.0,0.0,0.0,0.27,0.0,0.0,,14.0,0.0,0.0,0.0,0.5,0.5,0.08,-0.5,-0.5,986.0,1188.0,83.0,16355.0,7464.0,479.0,516.0,92.8,430.0,489.0,87.9,65.0,149.0,43.6,0.0,0.4,0.4,-0.4,6.0,52.0,5.0,1.0,90.0,1188.0,1126.0,58.0,41.0,0.0,3.0,2.0,17.0,0.0,0.0,0.0,0.0,986.0,4.0,14.0,14.0,0.55,11.0,0.0,0.0,2.0,1.0,0.0,1.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,53.0,33.0,37.0,15.0,1.0,26.0,46.0,56.5,20.0,44.0,31.0,13.0,34.0,87.0,101.0,2.0,1457.0,170.0,749.0,665.0,53.0,11.0,1457.0,4.0,2.0,50.0,2.0,50.0,706.0,3261.0,1987.0,20.0,12.0,0.0,13.0,6.0,862.0,5.0,27,2307.0,85.0,67.5,25.6,27,85.0,21,0,,7,0.78,23.0,42.0,-19.0,-0.74,0.96,24.5,41.6,-17.1,-0.67,-0.19,5.0,1.0,0.0,20.0,11.0,0.0,2.0,34.0,33.0,0.0,0.0,0.0,135.0,61.0,49.0,55.5
Andrea Beghetto,it ITA,DF,23.0,24.7,0.0,23.0,3.0,13.0,0.93,0.12,0.0,0.0,23.3,2.0,0.0,0.0,1.0,1.0,0.04,-1.0,-1.0,705.0,1138.0,62.0,13091.0,5641.0,313.0,371.0,84.4,281.0,440.0,63.9,100.0,244.0,41.0,3.0,4.0,3.2,-1.0,55.0,45.0,49.0,44.0,57.0,1138.0,912.0,225.0,15.0,1.0,5.0,218.0,185.0,25.0,8.0,14.0,0.0,705.0,1.0,60.0,81.0,3.27,63.0,14.0,1.0,1.0,1.0,1.0,8.0,0.32,5.0,2.0,1.0,0.0,0.0,0.0,26.0,14.0,13.0,10.0,3.0,15.0,25.0,60.0,10.0,20.0,4.0,16.0,17.0,43.0,59.0,0.0,1336.0,66.0,406.0,499.0,440.0,28.0,1336.0,21.0,7.0,33.3,14.0,66.7,618.0,2704.0,1527.0,34.0,34.0,6.0,17.0,10.0,749.0,141.0,27,2226.0,82.0,65.1,24.7,25,87.0,22,2,21.0,11,0.85,20.0,37.0,-17.0,-0.69,1.05,24.6,36.0,-11.4,-0.46,0.42,3.0,0.0,0.0,24.0,15.0,2.0,218.0,17.0,14.0,0.0,0.0,0.0,119.0,5.0,11.0,31.3
Francesco Zampano,it ITA,"DF,MF",24.0,23.4,0.0,15.0,4.0,26.7,0.64,0.17,0.0,0.0,19.4,0.0,0.0,0.0,0.8,0.8,0.05,-0.8,-0.8,663.0,932.0,71.1,9734.0,3841.0,402.0,469.0,85.7,210.0,297.0,70.7,34.0,91.0,37.4,1.0,1.0,1.3,0.0,15.0,36.0,15.0,8.0,59.0,932.0,754.0,172.0,7.0,0.0,4.0,81.0,164.0,1.0,0.0,0.0,0.0,663.0,6.0,39.0,43.0,1.84,31.0,10.0,0.0,0.0,2.0,0.0,2.0,0.09,1.0,1.0,0.0,0.0,0.0,0.0,35.0,25.0,23.0,9.0,3.0,15.0,31.0,48.4,16.0,24.0,4.0,20.0,13.0,48.0,48.0,0.0,1144.0,56.0,328.0,463.0,361.0,34.0,1144.0,35.0,10.0,28.6,25.0,71.4,578.0,3693.0,2290.0,62.0,42.0,10.0,26.0,17.0,643.0,118.0,27,2102.0,78.0,61.5,23.4,24,86.0,19,3,15.0,9,0.63,17.0,45.0,-28.0,-1.2,-0.38,23.0,38.0,-15.0,-0.64,-0.09,1.0,0.0,0.0,31.0,25.0,5.0,81.0,13.0,25.0,0.0,1.0,0.0,112.0,15.0,14.0,51.7
Raffaele Maiello,it ITA,MF,27.0,22.7,0.0,10.0,2.0,20.0,0.44,0.09,0.0,0.0,24.6,0.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4,996.0,1247.0,79.9,20206.0,5556.0,396.0,444.0,89.2,415.0,483.0,85.9,175.0,268.0,65.3,0.0,1.6,1.2,-1.6,19.0,87.0,14.0,2.0,129.0,1247.0,1140.0,96.0,70.0,1.0,38.0,29.0,4.0,17.0,3.0,6.0,1.0,996.0,11.0,22.0,52.0,2.29,39.0,8.0,1.0,1.0,2.0,1.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,42.0,27.0,30.0,8.0,4.0,16.0,27.0,59.3,11.0,23.0,10.0,13.0,30.0,72.0,41.0,0.0,1459.0,61.0,424.0,875.0,180.0,6.0,1459.0,24.0,20.0,83.3,4.0,16.7,711.0,3686.0,1880.0,30.0,16.0,2.0,24.0,18.0,888.0,21.0,29,2043.0,70.0,59.7,22.7,22,82.0,13,7,35.0,5,0.83,18.0,33.0,-15.0,-0.66,0.97,22.7,34.0,-11.2,-0.49,0.28,4.0,0.0,0.0,11.0,39.0,0.0,29.0,30.0,27.0,0.0,0.0,0.0,183.0,11.0,13.0,45.8
Bartosz Salamon,pl POL,DF,27.0,19.2,0.0,11.0,2.0,18.2,0.57,0.1,0.0,0.0,13.1,0.0,0.0,0.0,0.8,0.8,0.08,-0.8,-0.8,635.0,776.0,81.8,13984.0,4757.0,148.0,173.0,85.5,380.0,416.0,91.3,101.0,170.0,59.4,0.0,0.0,0.3,0.0,1.0,36.0,9.0,0.0,38.0,776.0,735.0,38.0,37.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,635.0,3.0,3.0,15.0,0.78,14.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,17.0,10.0,12.0,5.0,0.0,6.0,14.0,42.9,8.0,27.0,19.0,8.0,27.0,44.0,143.0,1.0,1024.0,174.0,599.0,408.0,23.0,14.0,1024.0,2.0,2.0,100.0,0.0,0.0,435.0,2057.0,1082.0,5.0,4.0,1.0,3.0,2.0,522.0,2.0,20,1725.0,86.0,50.4,19.2,19,90.0,19,1,15.0,11,0.75,16.0,32.0,-16.0,-0.83,0.44,20.4,31.1,-10.7,-0.56,0.1,3.0,0.0,0.0,20.0,8.0,0.0,0.0,27.0,10.0,0.0,0.0,0.0,95.0,44.0,35.0,55.7
Lorenzo Ariaudo,it ITA,DF,29.0,18.7,0.0,6.0,2.0,33.3,0.32,0.11,0.0,0.0,7.0,0.0,0.0,0.0,0.9,0.9,0.15,-0.9,-0.9,528.0,639.0,82.6,10727.0,4113.0,146.0,165.0,88.5,303.0,339.0,89.4,71.0,121.0,58.7,0.0,0.3,0.2,-0.3,4.0,29.0,1.0,0.0,36.0,639.0,592.0,45.0,44.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,528.0,2.0,3.0,14.0,0.75,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,14.0,15.0,4.0,1.0,6.0,10.0,60.0,4.0,31.0,20.0,11.0,14.0,34.0,103.0,0.0,823.0,149.0,491.0,322.0,16.0,13.0,823.0,3.0,3.0,100.0,0.0,0.0,413.0,2524.0,1518.0,9.0,3.0,1.0,2.0,1.0,455.0,1.0,19,1682.0,89.0,49.2,18.7,19,89.0,17,0,,10,0.58,13.0,33.0,-20.0,-1.07,-0.03,18.9,28.4,-9.6,-0.51,0.19,2.0,0.0,0.0,15.0,22.0,1.0,1.0,14.0,14.0,0.0,0.0,1.0,62.0,47.0,29.0,61.8
