player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Domenico Criscito,it ITA,DF,31.0,34.1,2.0,30.0,5.0,16.7,0.88,0.15,0.03,0.2,28.3,5.0,1.0,1.0,1.8,1.1,0.04,0.2,-0.1,1282.0,1794.0,71.5,24628.0,10963.0,527.0,594.0,88.7,534.0,693.0,77.1,188.0,413.0,45.5,4.0,4.8,4.2,-0.8,48.0,144.0,49.0,15.0,181.0,1794.0,1489.0,299.0,91.0,3.0,28.0,162.0,178.0,30.0,0.0,29.0,0.0,1282.0,6.0,35.0,88.0,2.58,58.0,19.0,0.0,4.0,3.0,4.0,8.0,0.23,7.0,1.0,0.0,0.0,0.0,0.0,111.0,75.0,64.0,36.0,11.0,57.0,83.0,68.7,26.0,40.0,11.0,29.0,70.0,181.0,142.0,0.0,2198.0,182.0,691.0,987.0,560.0,19.0,2197.0,31.0,20.0,64.5,11.0,35.5,988.0,5343.0,3416.0,72.0,71.0,4.0,18.0,10.0,1122.0,67.0,35,3070.0,88.0,89.8,34.1,35,88.0,34,0,,0,1.09,36.0,44.0,-8.0,-0.23,2.34,42.9,44.1,-1.2,-0.04,1.29,12.0,1.0,0.0,47.0,49.0,2.0,162.0,70.0,75.0,0.0,1.0,0.0,221.0,44.0,38.0,53.7
Christian Kouamé,ci CIV,FW,20.0,34.1,4.0,87.0,25.0,28.7,2.55,0.73,0.05,0.16,16.7,0.0,0.0,0.0,8.0,8.0,0.09,-4.0,-4.0,617.0,953.0,64.7,8179.0,1705.0,397.0,561.0,70.8,139.0,205.0,67.8,34.0,50.0,68.0,5.0,5.3,3.8,-0.3,48.0,40.0,25.0,6.0,67.0,953.0,924.0,25.0,2.0,2.0,6.0,28.0,14.0,1.0,0.0,0.0,0.0,617.0,4.0,34.0,110.0,3.23,83.0,0.0,8.0,6.0,12.0,1.0,9.0,0.26,7.0,0.0,0.0,0.0,1.0,1.0,31.0,22.0,8.0,16.0,7.0,2.0,13.0,15.4,11.0,23.0,3.0,20.0,25.0,56.0,28.0,0.0,1386.0,30.0,134.0,527.0,746.0,173.0,1386.0,83.0,43.0,51.8,40.0,48.2,829.0,4641.0,2110.0,74.0,50.0,22.0,102.0,80.0,1084.0,271.0,38,3066.0,81.0,89.6,34.1,33,86.0,24,5,44.0,0,1.0,35.0,53.0,-18.0,-0.53,-0.53,42.2,50.2,-8.0,-0.24,-0.65,4.0,0.0,0.0,36.0,82.0,18.0,28.0,25.0,22.0,0.0,0.0,0.0,126.0,195.0,171.0,53.3
Ionuț Radu,ro ROU,GK,21.0,33.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,478.0,960.0,49.8,19841.0,17574.0,47.0,47.0,100.0,133.0,136.0,97.8,297.0,771.0,38.5,0.0,0.1,0.2,-0.1,3.0,43.0,4.0,0.0,0.0,960.0,542.0,413.0,119.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,478.0,5.0,0.0,10.0,0.3,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,11.0,4.0,1033.0,848.0,1029.0,4.0,0.0,0.0,1033.0,3.0,3.0,100.0,0.0,0.0,439.0,3270.0,2566.0,0.0,0.0,0.0,1.0,0.0,303.0,0.0,33,2970.0,90.0,86.8,33.0,33,90.0,33,0,,4,0.97,32.0,46.0,-14.0,-0.42,0.38,41.7,44.7,-3.0,-0.09,0.59,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,13.0,2.0,86.7
Davide Biraschi,it ITA,DF,24.0,31.6,0.0,11.0,1.0,9.1,0.35,0.03,0.0,0.0,26.9,0.0,0.0,0.0,0.4,0.4,0.03,-0.4,-0.4,840.0,1293.0,65.0,15490.0,7441.0,368.0,432.0,85.2,351.0,513.0,68.4,103.0,278.0,37.1,0.0,1.0,1.2,-1.0,9.0,113.0,18.0,7.0,125.0,1293.0,1106.0,176.0,44.0,1.0,2.0,51.0,132.0,0.0,0.0,0.0,0.0,840.0,11.0,33.0,43.0,1.36,25.0,3.0,4.0,1.0,6.0,4.0,4.0,0.13,4.0,0.0,0.0,0.0,0.0,0.0,58.0,38.0,37.0,19.0,2.0,25.0,42.0,59.5,17.0,32.0,13.0,19.0,64.0,122.0,107.0,1.0,1645.0,116.0,596.0,876.0,211.0,5.0,1645.0,65.0,46.0,70.8,19.0,29.2,777.0,5060.0,3026.0,54.0,46.0,2.0,24.0,18.0,807.0,18.0,34,2841.0,84.0,83.1,31.6,32,87.0,27,2,37.0,3,1.03,34.0,48.0,-14.0,-0.44,0.18,37.4,44.7,-7.4,-0.23,-0.39,3.0,1.0,0.0,37.0,31.0,0.0,51.0,64.0,38.0,0.0,1.0,1.0,190.0,61.0,51.0,54.5
Darko Lazović,rs SRB,"DF,FW",27.0,28.2,3.0,38.0,9.0,23.7,1.35,0.32,0.08,0.33,19.8,3.0,0.0,0.0,2.2,2.2,0.06,0.8,0.8,736.0,1066.0,69.0,11874.0,5206.0,388.0,453.0,85.7,259.0,383.0,67.6,68.0,158.0,43.0,4.0,3.9,4.5,0.1,46.0,66.0,45.0,14.0,104.0,1066.0,877.0,184.0,20.0,2.0,2.0,126.0,142.0,22.0,1.0,18.0,0.0,736.0,5.0,30.0,103.0,3.65,64.0,15.0,12.0,6.0,3.0,3.0,8.0,0.28,5.0,1.0,2.0,0.0,0.0,0.0,28.0,17.0,13.0,8.0,7.0,14.0,31.0,45.2,17.0,21.0,6.0,15.0,20.0,48.0,33.0,0.0,1318.0,43.0,253.0,504.0,584.0,80.0,1318.0,75.0,36.0,48.0,39.0,52.0,701.0,5714.0,3413.0,120.0,75.0,34.0,40.0,17.0,780.0,169.0,33,2542.0,77.0,74.3,28.2,30,81.0,19,3,34.0,2,1.06,28.0,43.0,-15.0,-0.53,-0.22,33.6,41.7,-8.1,-0.29,-0.46,2.0,0.0,0.0,15.0,14.0,2.0,126.0,20.0,17.0,0.0,0.0,0.0,126.0,16.0,21.0,43.2
Cristian Romero,ar ARG,DF,20.0,26.0,2.0,20.0,7.0,35.0,0.77,0.27,0.1,0.29,12.7,0.0,0.0,0.0,1.9,1.9,0.1,0.1,0.1,660.0,821.0,80.4,13430.0,4657.0,192.0,209.0,91.9,361.0,417.0,86.6,98.0,160.0,61.3,2.0,0.5,0.5,1.5,3.0,33.0,1.0,0.0,38.0,821.0,770.0,46.0,43.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,660.0,5.0,7.0,14.0,0.54,11.0,1.0,0.0,1.0,1.0,0.0,3.0,0.12,1.0,0.0,0.0,1.0,1.0,0.0,61.0,35.0,38.0,18.0,5.0,27.0,40.0,67.5,13.0,49.0,27.0,22.0,37.0,98.0,128.0,1.0,1148.0,170.0,608.0,499.0,52.0,28.0,1148.0,16.0,15.0,93.8,1.0,6.3,521.0,2785.0,1508.0,7.0,3.0,1.0,16.0,5.0,516.0,6.0,27,2336.0,87.0,68.3,26.0,27,87.0,24,0,,0,0.85,23.0,35.0,-12.0,-0.46,0.04,32.9,35.9,-2.9,-0.11,0.17,12.0,2.0,1.0,37.0,21.0,0.0,0.0,37.0,35.0,1.0,2.0,0.0,147.0,60.0,56.0,51.7
Daniel Bessa,it ITA,MF,25.0,27.1,1.0,31.0,14.0,45.2,1.14,0.52,0.03,0.07,19.7,1.0,0.0,0.0,3.6,3.6,0.12,-2.6,-2.6,897.0,1109.0,80.9,13786.0,3660.0,470.0,512.0,91.8,295.0,351.0,84.0,72.0,131.0,55.0,3.0,2.7,3.3,0.3,39.0,66.0,34.0,6.0,122.0,1109.0,1030.0,75.0,15.0,5.0,8.0,56.0,14.0,29.0,12.0,7.0,0.0,897.0,4.0,33.0,88.0,3.25,68.0,10.0,2.0,3.0,2.0,3.0,7.0,0.26,4.0,1.0,0.0,1.0,1.0,0.0,60.0,35.0,28.0,23.0,9.0,11.0,39.0,28.2,28.0,30.0,4.0,26.0,19.0,79.0,16.0,1.0,1338.0,16.0,206.0,583.0,579.0,55.0,1338.0,24.0,16.0,66.7,8.0,33.3,812.0,5115.0,2743.0,81.0,68.0,12.0,45.0,31.0,873.0,142.0,34,2441.0,72.0,71.4,27.1,25,87.0,15,9,30.0,3,0.88,26.0,38.0,-12.0,-0.44,0.11,33.4,37.9,-4.5,-0.17,0.01,8.0,0.0,0.0,55.0,18.0,4.0,56.0,19.0,35.0,1.0,0.0,0.0,164.0,15.0,32.0,31.9
Ervin Zukanović,ba BIH,DF,31.0,21.8,0.0,19.0,6.0,31.6,0.87,0.28,0.0,0.0,18.0,3.0,0.0,0.0,1.5,1.5,0.08,-1.5,-1.5,859.0,1030.0,83.4,15486.0,5191.0,361.0,383.0,94.3,391.0,445.0,87.9,86.0,161.0,53.4,0.0,0.4,0.8,-0.4,8.0,70.0,10.0,6.0,58.0,1030.0,989.0,37.0,25.0,0.0,4.0,25.0,12.0,0.0,0.0,0.0,0.0,859.0,4.0,6.0,27.0,1.24,23.0,1.0,0.0,1.0,0.0,2.0,3.0,0.14,2.0,0.0,0.0,0.0,0.0,1.0,28.0,16.0,20.0,7.0,1.0,17.0,30.0,56.7,13.0,17.0,9.0,8.0,19.0,47.0,96.0,0.0,1226.0,124.0,495.0,627.0,113.0,22.0,1226.0,4.0,2.0,50.0,2.0,50.0,656.0,3149.0,1804.0,11.0,12.0,1.0,3.0,6.0,750.0,13.0,25,1960.0,78.0,57.3,21.8,22,87.0,20,3,15.0,10,1.08,21.0,34.0,-13.0,-0.6,-0.29,28.0,27.2,0.8,0.04,0.48,5.0,0.0,0.0,21.0,12.0,0.0,25.0,19.0,16.0,0.0,0.0,0.0,130.0,50.0,28.0,64.1
Krzysztof Piątek,pl POL,FW,23.0,17.7,13.0,75.0,29.0,38.7,4.24,1.64,0.15,0.38,15.0,1.0,2.0,2.0,9.1,7.6,0.1,3.9,3.4,222.0,315.0,70.5,3325.0,552.0,117.0,146.0,80.1,71.0,99.0,71.7,18.0,28.0,64.3,0.0,1.4,0.4,-1.4,15.0,14.0,8.0,0.0,30.0,315.0,287.0,26.0,0.0,3.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,222.0,2.0,9.0,42.0,2.37,25.0,0.0,3.0,8.0,6.0,0.0,2.0,0.11,1.0,0.0,0.0,0.0,1.0,0.0,9.0,4.0,2.0,5.0,2.0,1.0,15.0,6.7,14.0,18.0,3.0,15.0,3.0,12.0,19.0,0.0,545.0,22.0,46.0,198.0,307.0,98.0,543.0,16.0,8.0,50.0,8.0,50.0,339.0,1770.0,699.0,28.0,17.0,10.0,49.0,23.0,413.0,107.0,19,1593.0,84.0,46.6,17.7,18,86.0,16,1,40.0,0,1.05,24.0,29.0,-5.0,-0.28,0.36,21.0,26.5,-5.4,-0.31,-0.26,5.0,0.0,0.0,31.0,35.0,11.0,8.0,3.0,4.0,1.0,0.0,0.0,46.0,42.0,67.0,38.5
Rômulo,it ITA,"MF,FW",31.0,15.0,1.0,12.0,2.0,16.7,0.8,0.13,0.0,0.0,21.7,1.0,1.0,1.0,1.7,0.9,0.07,-0.7,-0.9,484.0,682.0,71.0,7396.0,2589.0,274.0,317.0,86.4,137.0,205.0,66.8,47.0,102.0,46.1,2.0,2.0,2.0,0.0,24.0,36.0,14.0,6.0,43.0,682.0,545.0,137.0,32.0,0.0,3.0,103.0,69.0,36.0,1.0,34.0,0.0,484.0,0.0,23.0,44.0,2.93,23.0,14.0,3.0,3.0,0.0,1.0,3.0,0.2,2.0,1.0,0.0,0.0,0.0,0.0,26.0,18.0,9.0,10.0,7.0,7.0,17.0,41.2,10.0,16.0,3.0,13.0,18.0,44.0,20.0,0.0,807.0,26.0,148.0,362.0,305.0,15.0,806.0,28.0,17.0,60.7,11.0,39.3,403.0,3092.0,1449.0,52.0,37.0,4.0,19.0,5.0,466.0,50.0,17,1351.0,79.0,39.5,15.0,17,79.0,10,0,,3,1.29,23.0,25.0,-2.0,-0.13,0.56,18.4,23.2,-4.8,-0.32,-0.25,1.0,1.0,1.0,19.0,18.0,3.0,103.0,18.0,18.0,0.0,0.0,0.0,83.0,4.0,6.0,40.0
