player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Cristiano Ronaldo,pt POR,FW,33.0,29.9,21.0,171.0,62.0,36.3,5.73,2.08,0.09,0.26,18.6,16.0,5.0,6.0,22.2,17.5,0.1,-1.2,-1.5,915.0,1114.0,82.1,12868.0,2096.0,554.0,628.0,88.2,256.0,311.0,82.3,53.0,75.0,70.7,8.0,4.6,3.5,3.4,47.0,51.0,39.0,14.0,130.0,1114.0,1066.0,46.0,12.0,3.0,8.0,58.0,24.0,4.0,0.0,0.0,0.0,915.0,2.0,31.0,145.0,4.85,92.0,2.0,10.0,23.0,17.0,1.0,14.0,0.47,8.0,0.0,1.0,4.0,1.0,0.0,10.0,7.0,5.0,4.0,1.0,1.0,11.0,9.1,10.0,7.0,2.0,5.0,6.0,16.0,32.0,0.0,1494.0,37.0,79.0,540.0,893.0,196.0,1488.0,85.0,45.0,52.9,40.0,47.1,1033.0,7485.0,3945.0,145.0,106.0,48.0,54.0,39.0,1274.0,358.0,31,2688.0,87.0,78.6,29.9,30,89.0,28,1,26.0,1,2.52,59.0,20.0,39.0,1.31,1.18,50.6,28.7,22.0,0.74,0.37,3.0,0.0,0.0,19.0,50.0,29.0,58.0,6.0,7.0,0.0,0.0,0.0,67.0,32.0,41.0,43.8
Blaise Matuidi,fr FRA,MF,31.0,26.9,3.0,19.0,6.0,31.6,0.71,0.22,0.16,0.5,14.5,0.0,0.0,0.0,1.4,1.4,0.07,1.6,1.6,1091.0,1278.0,85.4,17135.0,4552.0,575.0,629.0,91.4,394.0,451.0,87.4,82.0,109.0,75.2,2.0,1.7,1.3,0.3,23.0,117.0,16.0,3.0,157.0,1278.0,1247.0,28.0,15.0,2.0,8.0,34.0,13.0,0.0,0.0,0.0,0.0,1091.0,3.0,24.0,66.0,2.46,56.0,0.0,1.0,3.0,4.0,2.0,8.0,0.3,6.0,0.0,0.0,1.0,1.0,0.0,59.0,33.0,25.0,21.0,13.0,20.0,36.0,55.6,16.0,33.0,8.0,25.0,26.0,85.0,21.0,1.0,1523.0,29.0,242.0,926.0,363.0,56.0,1523.0,31.0,20.0,64.5,11.0,35.5,922.0,3210.0,1404.0,23.0,26.0,4.0,39.0,18.0,1127.0,118.0,31,2418.0,78.0,70.7,26.9,29,83.0,17,2,13.0,4,2.58,50.0,17.0,33.0,1.23,0.6,43.2,24.5,18.7,0.7,0.14,5.0,0.0,0.0,34.0,25.0,7.0,34.0,26.0,33.0,0.0,0.0,0.0,141.0,24.0,36.0,40.0
Wojciech Szczęsny,pl POL,GK,28.0,28.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,613.0,745.0,82.3,18498.0,12751.0,55.0,55.0,100.0,313.0,315.0,99.4,243.0,370.0,65.7,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,745.0,490.0,252.0,47.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,613.0,3.0,0.0,3.0,0.11,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,2.0,791.0,703.0,786.0,5.0,0.0,0.0,791.0,0.0,0.0,,0.0,,403.0,2313.0,1437.0,0.0,1.0,1.0,0.0,1.0,306.0,0.0,28,2520.0,90.0,73.7,28.0,28,90.0,28,0,,10,2.54,55.0,20.0,35.0,1.25,0.75,48.1,26.6,21.6,0.77,0.43,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,42.0,2.0,0.0,100.0
Alex Sandro,br BRA,DF,27.0,26.5,1.0,22.0,8.0,36.4,0.83,0.3,0.05,0.13,15.0,0.0,0.0,0.0,1.5,1.5,0.07,-0.5,-0.5,1531.0,1898.0,80.7,25867.0,7764.0,723.0,799.0,90.5,646.0,761.0,84.9,130.0,229.0,56.8,2.0,2.4,3.2,-0.4,36.0,125.0,39.0,15.0,163.0,1898.0,1675.0,211.0,26.0,2.0,19.0,116.0,185.0,0.0,0.0,0.0,0.0,1531.0,12.0,48.0,77.0,2.9,69.0,2.0,2.0,1.0,2.0,1.0,6.0,0.23,5.0,0.0,0.0,0.0,0.0,1.0,68.0,45.0,28.0,33.0,7.0,21.0,36.0,58.3,15.0,32.0,8.0,24.0,38.0,106.0,71.0,0.0,2215.0,95.0,495.0,1091.0,645.0,45.0,2215.0,56.0,29.0,51.8,27.0,48.2,1334.0,7251.0,4204.0,104.0,84.0,8.0,34.0,25.0,1522.0,163.0,31,2387.0,77.0,69.8,26.5,28,84.0,21,3,11.0,2,2.55,50.0,19.0,31.0,1.17,0.38,46.0,25.5,20.4,0.77,0.37,7.0,0.0,0.0,49.0,49.0,2.0,116.0,38.0,45.0,0.0,1.0,0.0,163.0,55.0,38.0,59.1
Leonardo Bonucci,it ITA,DF,31.0,27.5,3.0,15.0,4.0,26.7,0.55,0.15,0.2,0.75,16.6,0.0,0.0,0.0,2.1,2.1,0.14,0.9,0.9,1403.0,1628.0,86.2,30689.0,12766.0,373.0,393.0,94.9,774.0,839.0,92.3,245.0,365.0,67.1,0.0,0.8,1.1,-0.8,8.0,125.0,15.0,2.0,101.0,1628.0,1538.0,84.0,82.0,3.0,28.0,5.0,2.0,0.0,0.0,0.0,0.0,1403.0,6.0,6.0,24.0,0.87,22.0,0.0,1.0,1.0,0.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,11.0,6.0,1.0,10.0,13.0,76.9,3.0,32.0,21.0,11.0,38.0,56.0,88.0,3.0,1854.0,174.0,755.0,1056.0,50.0,18.0,1854.0,3.0,3.0,100.0,0.0,0.0,1125.0,4808.0,2901.0,6.0,8.0,2.0,9.0,2.0,1296.0,4.0,29,2472.0,85.0,72.3,27.5,27,88.0,26,2,46.0,6,2.45,50.0,21.0,29.0,1.06,0.01,42.8,26.7,16.0,0.58,-0.27,2.0,0.0,0.0,14.0,23.0,2.0,5.0,38.0,9.0,0.0,0.0,0.0,118.0,43.0,53.0,44.8
Miralem Pjanić,ba BIH,MF,28.0,25.3,2.0,29.0,8.0,27.6,1.14,0.32,0.07,0.25,23.6,5.0,0.0,0.0,1.2,1.2,0.04,0.8,0.8,1825.0,2074.0,88.0,34365.0,9554.0,752.0,791.0,95.1,740.0,797.0,92.8,275.0,386.0,71.2,6.0,5.9,5.2,0.1,72.0,194.0,29.0,4.0,202.0,2074.0,1828.0,239.0,119.0,11.0,32.0,123.0,5.0,102.0,48.0,32.0,1.0,1825.0,7.0,19.0,121.0,4.78,73.0,43.0,0.0,2.0,1.0,2.0,10.0,0.39,3.0,5.0,0.0,1.0,0.0,1.0,41.0,20.0,15.0,18.0,8.0,16.0,59.0,27.1,43.0,34.0,6.0,28.0,36.0,77.0,19.0,2.0,2280.0,43.0,385.0,1338.0,572.0,17.0,2280.0,16.0,11.0,68.8,5.0,31.3,1313.0,5572.0,2651.0,30.0,30.0,2.0,25.0,15.0,1615.0,19.0,31,2280.0,74.0,66.7,25.3,27,81.0,15,4,22.0,3,2.42,46.0,17.0,29.0,1.14,0.28,42.9,21.7,21.2,0.84,0.54,6.0,1.0,1.0,37.0,21.0,0.0,123.0,36.0,20.0,0.0,0.0,0.0,172.0,12.0,25.0,32.4
Paulo Dybala,ar ARG,"FW,MF",24.0,23.7,5.0,63.0,20.0,31.7,2.65,0.84,0.06,0.2,20.9,4.0,1.0,1.0,5.0,4.2,0.07,0.0,-0.2,1090.0,1288.0,84.6,19753.0,3812.0,489.0,523.0,93.5,378.0,427.0,88.5,167.0,223.0,74.9,4.0,3.8,3.5,0.2,50.0,92.0,31.0,6.0,143.0,1288.0,1129.0,147.0,27.0,7.0,50.0,85.0,22.0,58.0,18.0,19.0,2.0,1090.0,12.0,33.0,115.0,4.84,70.0,20.0,12.0,4.0,9.0,0.0,15.0,0.63,10.0,0.0,2.0,1.0,2.0,0.0,17.0,8.0,3.0,9.0,5.0,7.0,23.0,30.4,16.0,20.0,2.0,18.0,14.0,31.0,1.0,0.0,1571.0,4.0,110.0,812.0,674.0,69.0,1570.0,90.0,49.0,54.4,41.0,45.6,1087.0,6549.0,2603.0,69.0,57.0,16.0,71.0,43.0,1243.0,154.0,30,2137.0,71.0,62.5,23.7,24,85.0,18,6,16.0,3,2.4,42.0,21.0,21.0,0.88,-0.45,37.1,22.0,15.1,0.64,-0.05,2.0,0.0,0.0,18.0,66.0,5.0,85.0,14.0,8.0,2.0,0.0,0.0,128.0,4.0,16.0,20.0
Mario Mandžukić,hr CRO,FW,32.0,22.4,9.0,31.0,17.0,54.8,1.39,0.76,0.29,0.53,10.0,0.0,0.0,0.0,6.4,6.4,0.21,2.6,2.6,432.0,616.0,70.1,5720.0,1336.0,258.0,324.0,79.6,120.0,173.0,69.4,15.0,27.0,55.6,6.0,3.7,3.8,2.3,30.0,17.0,18.0,4.0,50.0,616.0,599.0,17.0,3.0,0.0,3.0,20.0,13.0,0.0,0.0,0.0,0.0,432.0,0.0,17.0,56.0,2.5,46.0,0.0,0.0,5.0,4.0,1.0,10.0,0.45,7.0,0.0,0.0,1.0,1.0,1.0,34.0,25.0,13.0,15.0,6.0,9.0,18.0,50.0,9.0,17.0,5.0,12.0,13.0,47.0,22.0,0.0,802.0,31.0,104.0,312.0,389.0,98.0,802.0,8.0,5.0,62.5,3.0,37.5,400.0,1460.0,615.0,18.0,15.0,1.0,27.0,20.0,576.0,145.0,25,2014.0,81.0,58.9,22.4,23,85.0,15,2,29.0,2,2.56,44.0,12.0,32.0,1.43,0.92,37.7,20.5,17.2,0.77,0.27,4.0,0.0,0.0,35.0,34.0,8.0,20.0,13.0,25.0,1.0,0.0,0.0,62.0,67.0,53.0,55.8
Giorgio Chiellini,it ITA,DF,33.0,22.1,1.0,13.0,4.0,30.8,0.59,0.18,0.08,0.25,13.4,0.0,0.0,0.0,1.5,1.5,0.12,-0.5,-0.5,1145.0,1358.0,84.3,23805.0,8322.0,343.0,371.0,92.5,607.0,676.0,89.8,181.0,276.0,65.6,1.0,0.5,0.4,0.5,8.0,89.0,5.0,3.0,91.0,1358.0,1316.0,38.0,26.0,0.0,15.0,6.0,12.0,0.0,0.0,0.0,0.0,1145.0,4.0,12.0,28.0,1.27,25.0,0.0,0.0,2.0,1.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,24.0,13.0,20.0,2.0,2.0,5.0,8.0,62.5,3.0,22.0,15.0,7.0,30.0,54.0,96.0,1.0,1575.0,163.0,672.0,838.0,75.0,21.0,1575.0,5.0,4.0,80.0,1.0,20.0,900.0,4544.0,2640.0,21.0,13.0,1.0,9.0,9.0,1079.0,6.0,25,1991.0,80.0,58.2,22.1,22,88.0,20,3,19.0,9,2.52,41.0,13.0,28.0,1.27,0.51,39.2,21.4,17.8,0.8,0.35,3.0,0.0,0.0,14.0,21.0,1.0,6.0,30.0,13.0,0.0,0.0,0.0,114.0,50.0,22.0,69.4
João Cancelo,pt POR,DF,24.0,21.9,1.0,25.0,7.0,28.0,1.14,0.32,0.04,0.14,22.3,0.0,0.0,0.0,1.7,1.7,0.07,-0.7,-0.7,1251.0,1524.0,82.1,20512.0,6099.0,667.0,733.0,91.0,460.0,561.0,82.0,99.0,165.0,60.0,3.0,4.0,4.7,-1.0,34.0,87.0,45.0,18.0,143.0,1524.0,1334.0,188.0,21.0,3.0,21.0,109.0,155.0,12.0,6.0,4.0,0.0,1251.0,2.0,22.0,84.0,3.84,66.0,1.0,6.0,6.0,2.0,3.0,9.0,0.41,5.0,0.0,0.0,3.0,1.0,0.0,43.0,28.0,18.0,18.0,7.0,27.0,49.0,55.1,22.0,14.0,4.0,10.0,15.0,58.0,48.0,0.0,1755.0,51.0,402.0,816.0,561.0,44.0,1755.0,85.0,61.0,71.8,24.0,28.2,1145.0,7157.0,4548.0,109.0,65.0,22.0,34.0,22.0,1207.0,152.0,25,1968.0,79.0,57.5,21.9,22,87.0,20,3,16.0,7,2.24,44.0,17.0,27.0,1.23,0.43,34.3,21.4,12.9,0.59,-0.16,6.0,0.0,0.0,32.0,24.0,0.0,109.0,15.0,28.0,1.0,1.0,0.0,140.0,21.0,32.0,39.6
