player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Gianluigi Donnarumma,it ITA,GK,19.0,34.3,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,977.0,1173.0,83.3,25291.0,18286.0,167.0,168.0,99.4,524.0,534.0,98.1,281.0,466.0,60.3,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1173.0,800.0,373.0,72.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,977.0,0.0,0.0,8.0,0.23,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,1.0,2.0,13.0,3.0,1248.0,1136.0,1244.0,4.0,0.0,0.0,1248.0,0.0,0.0,,0.0,,648.0,3410.0,2355.0,0.0,0.0,0.0,0.0,1.0,516.0,0.0,36,3090.0,86.0,90.4,34.3,36,86.0,34,0,,0,1.81,50.0,31.0,19.0,0.55,0.55,42.6,36.5,6.1,0.18,-0.24,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,39.0,12.0,0.0,100.0
Ricardo Rodríguez,ch SUI,DF,25.0,33.9,0.0,27.0,6.0,22.2,0.8,0.18,0.0,0.0,28.3,0.0,0.0,0.0,0.6,0.6,0.02,-0.6,-0.6,1845.0,2192.0,84.2,31787.0,10817.0,947.0,1003.0,94.4,664.0,773.0,85.9,199.0,328.0,60.7,3.0,1.4,1.7,1.6,21.0,150.0,33.0,14.0,177.0,2192.0,1861.0,323.0,51.0,1.0,43.0,86.0,264.0,8.0,0.0,8.0,0.0,1845.0,8.0,41.0,60.0,1.77,53.0,3.0,2.0,0.0,1.0,1.0,5.0,0.15,4.0,0.0,1.0,0.0,0.0,0.0,57.0,32.0,34.0,21.0,2.0,32.0,39.0,82.1,7.0,25.0,5.0,20.0,38.0,95.0,98.0,0.0,2479.0,118.0,793.0,1320.0,392.0,10.0,2479.0,14.0,12.0,85.7,2.0,14.3,1608.0,8598.0,4879.0,86.0,67.0,4.0,15.0,18.0,1644.0,81.0,35,3047.0,87.0,89.1,33.9,35,87.0,30,0,,2,1.8,49.0,32.0,17.0,0.5,0.02,41.9,36.6,5.2,0.15,-0.42,5.0,0.0,0.0,24.0,19.0,1.0,86.0,38.0,32.0,0.0,0.0,0.0,174.0,41.0,35.0,53.9
Suso,es ESP,"FW,MF",24.0,33.5,7.0,95.0,40.0,42.1,2.83,1.19,0.07,0.18,23.0,7.0,0.0,0.0,4.2,4.2,0.04,2.8,2.8,1329.0,1774.0,74.9,22974.0,6835.0,708.0,806.0,87.8,431.0,590.0,73.1,154.0,274.0,56.2,10.0,9.9,8.8,0.1,96.0,140.0,103.0,36.0,215.0,1774.0,1607.0,163.0,43.0,9.0,53.0,229.0,34.0,86.0,53.0,1.0,1.0,1329.0,4.0,49.0,196.0,5.84,150.0,17.0,18.0,3.0,7.0,1.0,18.0,0.54,15.0,1.0,1.0,1.0,0.0,0.0,28.0,18.0,10.0,14.0,4.0,10.0,41.0,24.4,31.0,26.0,1.0,25.0,16.0,44.0,3.0,0.0,2074.0,5.0,162.0,825.0,1105.0,107.0,2074.0,98.0,66.0,67.3,32.0,32.7,1566.0,9628.0,4735.0,138.0,100.0,46.0,62.0,64.0,1694.0,368.0,35,3018.0,86.0,88.2,33.5,35,86.0,22,0,,1,1.8,51.0,33.0,18.0,0.54,0.31,42.6,36.5,6.1,0.18,-0.17,9.0,1.0,1.0,31.0,81.0,6.0,229.0,16.0,18.0,0.0,0.0,0.0,129.0,4.0,17.0,19.0
Franck Kessié,ci CIV,MF,21.0,33.5,7.0,49.0,12.0,24.5,1.46,0.36,0.08,0.33,19.0,0.0,3.0,3.0,7.5,5.2,0.11,-0.5,-1.2,1484.0,1733.0,85.6,23158.0,5873.0,821.0,887.0,92.6,545.0,617.0,88.3,85.0,142.0,59.9,2.0,2.3,2.9,-0.3,43.0,136.0,34.0,4.0,191.0,1733.0,1691.0,37.0,22.0,7.0,10.0,28.0,11.0,4.0,0.0,0.0,0.0,1484.0,5.0,30.0,112.0,3.34,99.0,2.0,4.0,5.0,0.0,2.0,6.0,0.18,6.0,0.0,0.0,0.0,0.0,0.0,42.0,27.0,16.0,20.0,6.0,18.0,38.0,47.4,20.0,35.0,10.0,25.0,27.0,69.0,53.0,2.0,2090.0,83.0,359.0,1172.0,592.0,93.0,2087.0,63.0,44.0,69.8,19.0,30.2,1400.0,7414.0,3621.0,72.0,62.0,20.0,70.0,40.0,1558.0,159.0,34,3018.0,89.0,88.2,33.5,34,89.0,31,0,,1,1.88,51.0,32.0,19.0,0.57,0.57,43.1,35.6,7.5,0.22,0.19,8.0,0.0,0.0,48.0,30.0,3.0,28.0,27.0,27.0,0.0,1.0,0.0,211.0,38.0,39.0,49.4
Hakan Çalhanoğlu,tr TUR,"MF,FW",24.0,32.0,3.0,102.0,25.0,24.5,3.18,0.78,0.03,0.12,23.2,11.0,0.0,0.0,5.2,5.2,0.05,-2.2,-2.2,1504.0,1888.0,79.7,25663.0,6614.0,793.0,881.0,90.0,483.0,589.0,82.0,177.0,309.0,57.3,6.0,6.2,5.5,-0.2,84.0,132.0,38.0,2.0,210.0,1888.0,1710.0,173.0,55.0,5.0,54.0,152.0,21.0,96.0,49.0,24.0,0.0,1504.0,5.0,36.0,161.0,5.02,118.0,23.0,4.0,10.0,4.0,2.0,13.0,0.41,8.0,2.0,0.0,2.0,1.0,0.0,52.0,31.0,27.0,16.0,9.0,23.0,46.0,50.0,23.0,27.0,5.0,22.0,28.0,80.0,19.0,0.0,2240.0,32.0,311.0,1057.0,897.0,82.0,2240.0,48.0,32.0,66.7,16.0,33.3,1510.0,8769.0,4615.0,126.0,94.0,22.0,69.0,35.0,1651.0,196.0,36,2884.0,80.0,84.3,32.0,34,84.0,19,2,19.0,0,1.81,43.0,25.0,18.0,0.56,0.39,40.8,35.1,5.7,0.18,-0.15,3.0,0.0,0.0,29.0,38.0,4.0,152.0,28.0,31.0,0.0,0.0,0.0,172.0,21.0,27.0,43.8
Alessio Romagnoli,it ITA,DF,23.0,31.6,2.0,11.0,4.0,36.4,0.35,0.13,0.18,0.5,14.6,0.0,0.0,0.0,0.9,0.9,0.08,1.1,1.1,1615.0,1776.0,90.9,30490.0,10433.0,576.0,612.0,94.1,873.0,925.0,94.4,154.0,209.0,73.7,0.0,0.2,0.4,-0.2,6.0,50.0,1.0,1.0,86.0,1776.0,1717.0,55.0,50.0,0.0,13.0,2.0,5.0,0.0,0.0,0.0,0.0,1615.0,4.0,8.0,20.0,0.63,17.0,0.0,0.0,2.0,0.0,1.0,3.0,0.09,2.0,0.0,0.0,1.0,0.0,0.0,34.0,19.0,26.0,6.0,2.0,16.0,19.0,84.2,3.0,48.0,32.0,16.0,37.0,71.0,173.0,1.0,2109.0,257.0,1083.0,993.0,36.0,17.0,2109.0,1.0,1.0,100.0,0.0,0.0,1282.0,5982.0,3075.0,11.0,2.0,0.0,12.0,3.0,1455.0,3.0,32,2847.0,89.0,83.2,31.6,32,89.0,30,0,,0,1.69,44.0,32.0,12.0,0.38,-0.72,39.7,34.1,5.6,0.18,-0.14,6.0,1.0,0.0,20.0,14.0,4.0,2.0,37.0,19.0,0.0,0.0,1.0,127.0,71.0,33.0,68.3
Mateo Musacchio,ar ARG,DF,27.0,29.0,1.0,12.0,3.0,25.0,0.41,0.1,0.08,0.33,8.8,0.0,0.0,0.0,2.0,2.0,0.17,-1.0,-1.0,1576.0,1752.0,90.0,29654.0,11025.0,565.0,605.0,93.4,867.0,913.0,95.0,138.0,212.0,65.1,0.0,0.4,0.4,-0.4,8.0,86.0,7.0,1.0,116.0,1752.0,1670.0,80.0,72.0,0.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,1576.0,2.0,11.0,20.0,0.69,18.0,0.0,0.0,1.0,1.0,0.0,1.0,0.03,0.0,0.0,0.0,0.0,1.0,0.0,41.0,22.0,30.0,8.0,3.0,19.0,27.0,70.4,8.0,26.0,19.0,7.0,29.0,70.0,114.0,0.0,1996.0,187.0,1035.0,922.0,50.0,20.0,1996.0,5.0,3.0,60.0,2.0,40.0,1329.0,6985.0,4484.0,11.0,10.0,0.0,7.0,7.0,1454.0,4.0,29,2610.0,90.0,76.3,29.0,29,90.0,29,0,,5,1.9,48.0,29.0,19.0,0.66,0.66,40.4,33.4,7.0,0.24,0.18,2.0,0.0,0.0,27.0,17.0,2.0,1.0,29.0,22.0,1.0,1.0,0.0,120.0,27.0,42.0,39.1
Tiemoué Bakayoko,fr FRA,MF,23.0,25.6,1.0,25.0,6.0,24.0,0.98,0.23,0.04,0.17,17.5,0.0,0.0,0.0,1.7,1.7,0.07,-0.7,-0.7,1151.0,1335.0,86.2,18367.0,5725.0,584.0,655.0,89.2,461.0,514.0,89.7,73.0,97.0,75.3,1.0,1.6,1.6,-0.6,25.0,115.0,14.0,1.0,156.0,1335.0,1310.0,21.0,21.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1151.0,4.0,11.0,76.0,2.97,60.0,0.0,5.0,1.0,5.0,5.0,7.0,0.27,6.0,0.0,0.0,0.0,0.0,1.0,69.0,43.0,22.0,40.0,7.0,26.0,62.0,41.9,36.0,34.0,5.0,29.0,50.0,119.0,42.0,2.0,1679.0,74.0,358.0,1089.0,256.0,30.0,1679.0,84.0,60.0,71.4,24.0,28.6,1071.0,5565.0,2908.0,49.0,54.0,5.0,55.0,42.0,1126.0,45.0,31,2301.0,74.0,67.3,25.6,26,85.0,21,5,19.0,6,1.61,30.0,23.0,7.0,0.27,-0.69,29.5,30.2,-0.7,-0.03,-0.69,6.0,1.0,1.0,44.0,71.0,0.0,2.0,50.0,43.0,0.0,0.0,0.0,177.0,70.0,45.0,60.9
Davide Calabria,it ITA,DF,21.0,21.7,1.0,10.0,2.0,20.0,0.46,0.09,0.1,0.5,21.5,0.0,0.0,0.0,0.4,0.4,0.04,0.6,0.6,1200.0,1486.0,80.8,18984.0,7055.0,657.0,704.0,93.3,436.0,536.0,81.3,80.0,173.0,46.2,2.0,2.0,1.5,0.0,20.0,109.0,20.0,13.0,123.0,1486.0,1274.0,203.0,23.0,1.0,8.0,65.0,179.0,1.0,0.0,0.0,0.0,1200.0,9.0,32.0,48.0,2.21,42.0,1.0,2.0,1.0,1.0,1.0,5.0,0.23,5.0,0.0,0.0,0.0,0.0,0.0,79.0,51.0,58.0,16.0,5.0,37.0,67.0,55.2,30.0,33.0,1.0,32.0,32.0,111.0,78.0,1.0,1769.0,78.0,578.0,850.0,360.0,18.0,1769.0,33.0,12.0,36.4,21.0,63.6,991.0,4710.0,2898.0,58.0,45.0,4.0,26.0,15.0,1123.0,124.0,26,1950.0,75.0,57.0,21.7,22,85.0,15,4,20.0,4,1.54,27.0,20.0,7.0,0.32,-0.41,24.5,25.6,-1.1,-0.05,-0.58,5.0,0.0,0.0,14.0,18.0,1.0,65.0,32.0,51.0,0.0,0.0,0.0,133.0,12.0,18.0,40.0
Krzysztof Piątek,pl POL,FW,23.0,15.3,9.0,41.0,21.0,51.2,2.69,1.38,0.22,0.43,12.7,0.0,0.0,0.0,6.9,6.9,0.18,2.1,2.1,191.0,250.0,76.4,2619.0,335.0,120.0,145.0,82.8,48.0,64.0,75.0,11.0,16.0,68.8,0.0,1.2,0.6,-1.2,14.0,7.0,7.0,1.0,16.0,250.0,221.0,28.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,191.0,1.0,6.0,36.0,2.36,22.0,0.0,2.0,5.0,7.0,0.0,3.0,0.2,0.0,0.0,0.0,1.0,2.0,0.0,8.0,6.0,2.0,1.0,5.0,3.0,10.0,30.0,7.0,7.0,2.0,5.0,1.0,9.0,15.0,0.0,403.0,15.0,31.0,159.0,214.0,68.0,403.0,14.0,8.0,57.1,6.0,42.9,277.0,1015.0,289.0,12.0,5.0,9.0,47.0,23.0,321.0,107.0,18,1373.0,76.0,40.1,15.3,16,83.0,8,2,25.0,0,1.89,27.0,15.0,12.0,0.79,0.48,19.3,19.0,0.3,0.02,-0.3,0.0,0.0,0.0,29.0,21.0,12.0,4.0,1.0,6.0,1.0,0.0,0.0,28.0,25.0,40.0,38.5
