player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Kalidou Koulibaly,sn SEN,DF,27.0,34.8,2.0,19.0,7.0,36.8,0.55,0.2,0.11,0.29,11.2,0.0,0.0,0.0,2.4,2.4,0.12,-0.4,-0.4,2239.0,2533.0,88.4,39509.0,16760.0,983.0,1052.0,93.4,993.0,1080.0,91.9,214.0,325.0,65.8,2.0,0.3,0.6,1.7,8.0,175.0,9.0,0.0,191.0,2533.0,2454.0,75.0,66.0,2.0,34.0,5.0,9.0,0.0,0.0,0.0,0.0,2239.0,4.0,15.0,41.0,1.18,34.0,1.0,0.0,2.0,1.0,3.0,5.0,0.14,4.0,0.0,0.0,0.0,0.0,1.0,61.0,40.0,37.0,22.0,2.0,19.0,36.0,52.8,17.0,55.0,33.0,22.0,40.0,101.0,144.0,0.0,2902.0,221.0,1054.0,1758.0,117.0,32.0,2902.0,20.0,11.0,55.0,9.0,45.0,1956.0,10351.0,6642.0,53.0,39.0,2.0,17.0,9.0,2082.0,15.0,35,3132.0,89.0,91.6,34.8,35,89.0,33,0,,0,2.09,67.0,29.0,38.0,1.09,1.09,55.4,34.8,20.7,0.59,-0.3,10.0,1.0,1.0,49.0,17.0,1.0,5.0,40.0,40.0,0.0,0.0,0.0,249.0,75.0,53.0,58.6
Piotr Zieliński,pl POL,MF,24.0,31.9,6.0,80.0,27.0,33.8,2.5,0.85,0.08,0.22,22.1,0.0,0.0,0.0,5.5,5.5,0.07,0.5,0.5,1789.0,2025.0,88.3,26487.0,6730.0,1033.0,1098.0,94.1,535.0,604.0,88.6,127.0,171.0,74.3,2.0,4.8,3.7,-2.8,59.0,185.0,39.0,3.0,249.0,2025.0,1978.0,42.0,17.0,6.0,31.0,36.0,12.0,12.0,3.0,0.0,0.0,1789.0,5.0,31.0,133.0,4.16,119.0,4.0,2.0,5.0,2.0,1.0,9.0,0.28,8.0,0.0,0.0,1.0,0.0,0.0,41.0,25.0,11.0,20.0,10.0,13.0,34.0,38.2,21.0,30.0,4.0,26.0,20.0,61.0,18.0,0.0,2330.0,30.0,243.0,1296.0,825.0,84.0,2330.0,53.0,36.0,67.9,17.0,32.1,1689.0,10118.0,5638.0,134.0,133.0,16.0,50.0,38.0,1884.0,197.0,36,2875.0,80.0,84.1,31.9,33,85.0,23,3,22.0,1,2.08,57.0,30.0,27.0,0.85,-0.97,51.1,29.4,21.7,0.68,0.38,6.0,0.0,0.0,27.0,29.0,3.0,36.0,20.0,25.0,0.0,0.0,0.0,189.0,16.0,31.0,34.0
José Callejón,es ESP,"MF,FW",31.0,29.4,3.0,61.0,16.0,26.2,2.07,0.54,0.05,0.19,17.1,1.0,0.0,0.0,5.7,5.7,0.09,-2.7,-2.7,1359.0,1681.0,80.8,21179.0,4538.0,730.0,804.0,90.8,441.0,547.0,80.6,112.0,201.0,55.7,10.0,8.3,7.4,1.7,72.0,80.0,52.0,20.0,135.0,1681.0,1544.0,134.0,17.0,2.0,17.0,158.0,32.0,84.0,8.0,56.0,1.0,1359.0,3.0,32.0,125.0,4.25,103.0,11.0,2.0,7.0,2.0,0.0,19.0,0.65,13.0,1.0,0.0,4.0,1.0,0.0,34.0,18.0,12.0,14.0,8.0,18.0,57.0,31.6,39.0,34.0,5.0,29.0,22.0,56.0,11.0,0.0,1921.0,28.0,238.0,863.0,832.0,116.0,1921.0,29.0,15.0,51.7,14.0,48.3,1190.0,4884.0,2778.0,54.0,66.0,11.0,27.0,19.0,1440.0,247.0,34,2650.0,78.0,77.5,29.4,29,87.0,22,5,24.0,4,2.12,59.0,28.0,31.0,1.05,0.23,48.3,32.2,16.2,0.55,-0.31,1.0,0.0,0.0,15.0,48.0,18.0,158.0,22.0,18.0,0.0,0.0,0.0,160.0,9.0,32.0,22.0
Allan,br BRA,MF,27.0,29.1,1.0,25.0,2.0,8.0,0.86,0.07,0.04,0.5,25.4,0.0,0.0,0.0,1.0,1.0,0.04,0.0,0.0,1979.0,2231.0,88.7,31900.0,9338.0,1018.0,1089.0,93.5,733.0,795.0,92.2,165.0,211.0,78.2,3.0,2.5,2.9,0.5,34.0,255.0,30.0,4.0,236.0,2231.0,2107.0,110.0,70.0,7.0,13.0,14.0,18.0,0.0,0.0,0.0,0.0,1979.0,14.0,32.0,88.0,3.03,75.0,0.0,7.0,2.0,2.0,2.0,10.0,0.34,9.0,0.0,1.0,0.0,0.0,0.0,106.0,70.0,39.0,55.0,12.0,36.0,107.0,33.6,71.0,55.0,13.0,42.0,36.0,142.0,28.0,0.0,2582.0,70.0,466.0,1711.0,439.0,26.0,2582.0,64.0,41.0,64.1,23.0,35.9,1757.0,8379.0,4562.0,49.0,66.0,14.0,34.0,42.0,1876.0,45.0,33,2616.0,79.0,76.5,29.1,28,88.0,26,5,30.0,0,2.09,57.0,29.0,28.0,0.96,-0.16,45.8,30.5,15.3,0.53,-0.4,10.0,0.0,0.0,50.0,62.0,0.0,14.0,36.0,70.0,0.0,0.0,0.0,275.0,13.0,16.0,44.8
Arkadiusz Milik,pl POL,FW,24.0,26.6,17.0,111.0,51.0,45.9,4.17,1.92,0.15,0.33,15.3,7.0,0.0,0.0,13.9,13.9,0.13,3.1,3.1,491.0,604.0,81.3,6527.0,964.0,297.0,347.0,85.6,131.0,150.0,87.3,23.0,28.0,82.1,3.0,3.0,1.9,0.0,37.0,26.0,20.0,1.0,57.0,604.0,568.0,28.0,5.0,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,491.0,8.0,7.0,70.0,2.63,56.0,0.0,1.0,9.0,2.0,2.0,6.0,0.23,4.0,0.0,0.0,1.0,1.0,0.0,19.0,9.0,1.0,8.0,10.0,1.0,20.0,5.0,19.0,7.0,2.0,5.0,3.0,22.0,15.0,0.0,856.0,19.0,43.0,330.0,493.0,131.0,856.0,17.0,8.0,47.1,9.0,52.9,539.0,2092.0,872.0,30.0,28.0,10.0,45.0,22.0,692.0,169.0,35,2396.0,68.0,70.1,26.6,27,82.0,17,8,24.0,3,2.0,55.0,25.0,30.0,1.13,0.42,42.1,27.0,15.2,0.57,-0.17,4.0,0.0,0.0,43.0,27.0,16.0,5.0,3.0,9.0,0.0,0.0,0.0,47.0,43.0,67.0,39.1
Elseid Hysaj,al ALB,DF,24.0,23.4,0.0,13.0,1.0,7.7,0.56,0.04,0.0,0.0,21.1,0.0,0.0,0.0,0.6,0.6,0.04,-0.6,-0.6,1516.0,1771.0,85.6,21542.0,6427.0,891.0,959.0,92.9,475.0,543.0,87.5,70.0,134.0,52.2,2.0,0.6,1.2,1.4,15.0,87.0,16.0,1.0,123.0,1771.0,1574.0,194.0,17.0,0.0,12.0,31.0,177.0,0.0,0.0,0.0,0.0,1516.0,3.0,34.0,38.0,1.62,35.0,1.0,1.0,0.0,0.0,1.0,3.0,0.13,3.0,0.0,0.0,0.0,0.0,0.0,40.0,28.0,22.0,15.0,3.0,25.0,49.0,51.0,24.0,11.0,3.0,8.0,24.0,64.0,51.0,0.0,1980.0,62.0,522.0,1094.0,380.0,25.0,1980.0,33.0,18.0,54.5,15.0,45.5,1219.0,6369.0,3615.0,67.0,55.0,8.0,26.0,21.0,1363.0,98.0,27,2107.0,78.0,61.6,23.4,24,87.0,19,3,7.0,11,2.19,45.0,21.0,24.0,1.03,0.07,41.2,21.3,19.8,0.85,0.59,4.0,0.0,0.0,23.0,19.0,1.0,31.0,24.0,28.0,0.0,0.0,0.0,155.0,28.0,24.0,53.8
Lorenzo Insigne,it ITA,"FW,MF",27.0,23.0,10.0,118.0,36.0,30.5,5.12,1.56,0.08,0.25,21.7,10.0,1.0,2.0,9.9,8.3,0.07,0.1,0.7,1087.0,1314.0,82.7,16524.0,3283.0,630.0,694.0,90.8,289.0,344.0,84.0,108.0,164.0,65.9,6.0,4.7,4.0,1.3,64.0,78.0,42.0,3.0,133.0,1314.0,1236.0,70.0,13.0,8.0,17.0,57.0,17.0,32.0,20.0,1.0,0.0,1087.0,8.0,23.0,133.0,5.77,109.0,7.0,2.0,11.0,4.0,0.0,12.0,0.52,12.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,5.0,6.0,3.0,6.0,18.0,33.3,12.0,7.0,0.0,7.0,8.0,22.0,3.0,0.0,1572.0,8.0,77.0,679.0,827.0,107.0,1570.0,48.0,26.0,54.2,22.0,45.8,1182.0,5749.0,2798.0,76.0,69.0,21.0,45.0,27.0,1345.0,258.0,28,2073.0,74.0,60.6,23.0,24,82.0,13,4,25.0,1,1.96,38.0,21.0,17.0,0.74,-0.67,36.3,21.3,15.0,0.65,0.08,6.0,1.0,0.0,7.0,15.0,17.0,57.0,8.0,4.0,0.0,0.0,0.0,71.0,3.0,7.0,30.0
Dries Mertens,be BEL,FW,31.0,25.0,16.0,88.0,38.0,43.2,3.52,1.52,0.17,0.39,17.6,4.0,1.0,1.0,10.7,9.9,0.11,5.3,5.1,697.0,942.0,74.0,9626.0,2367.0,410.0,486.0,84.4,188.0,257.0,73.2,40.0,79.0,50.6,11.0,8.0,5.0,3.0,68.0,53.0,37.0,4.0,96.0,942.0,865.0,68.0,4.0,10.0,0.0,75.0,10.0,44.0,18.0,12.0,0.0,697.0,9.0,24.0,122.0,4.88,87.0,12.0,9.0,6.0,5.0,3.0,15.0,0.6,9.0,2.0,1.0,2.0,1.0,0.0,19.0,11.0,2.0,7.0,10.0,1.0,21.0,4.8,20.0,7.0,0.0,7.0,13.0,32.0,3.0,0.0,1167.0,3.0,45.0,421.0,706.0,151.0,1166.0,38.0,18.0,47.4,20.0,52.6,816.0,3481.0,2012.0,71.0,54.0,35.0,44.0,28.0,954.0,261.0,35,2252.0,64.0,65.8,25.0,23,82.0,13,12,31.0,2,2.0,55.0,19.0,36.0,1.44,1.28,41.8,23.6,18.2,0.73,0.31,1.0,0.0,0.0,32.0,28.0,13.0,75.0,13.0,11.0,0.0,0.0,0.0,66.0,6.0,16.0,27.3
Fabián Ruiz Peña,es ESP,MF,22.0,22.1,5.0,51.0,14.0,27.5,2.3,0.63,0.1,0.36,22.0,0.0,0.0,0.0,3.1,3.1,0.06,1.9,1.9,1639.0,1849.0,88.6,26159.0,6442.0,863.0,929.0,92.9,552.0,599.0,92.2,156.0,194.0,80.4,4.0,4.1,3.6,-0.1,62.0,179.0,40.0,9.0,204.0,1849.0,1800.0,45.0,22.0,6.0,16.0,29.0,17.0,2.0,0.0,0.0,0.0,1639.0,4.0,33.0,128.0,5.78,107.0,0.0,12.0,4.0,1.0,4.0,9.0,0.41,5.0,0.0,3.0,0.0,0.0,1.0,54.0,33.0,22.0,25.0,7.0,20.0,46.0,43.5,26.0,23.0,4.0,19.0,21.0,75.0,29.0,2.0,2085.0,40.0,262.0,1277.0,568.0,59.0,2085.0,51.0,36.0,70.6,15.0,29.4,1539.0,7154.0,3804.0,70.0,72.0,17.0,27.0,29.0,1682.0,116.0,27,1992.0,74.0,58.2,22.1,20,86.0,15,7,39.0,8,1.96,41.0,19.0,22.0,0.99,-0.01,37.5,24.2,13.3,0.6,-0.04,3.0,1.0,1.0,11.0,22.0,2.0,29.0,21.0,33.0,0.0,0.0,0.0,153.0,13.0,22.0,37.1
Kévin Malcuit,ma MAR,DF,27.0,20.1,0.0,12.0,3.0,25.0,0.6,0.15,0.0,0.0,22.0,0.0,0.0,0.0,0.4,0.4,0.03,-0.4,-0.4,1033.0,1256.0,82.2,15219.0,4304.0,608.0,661.0,92.0,325.0,399.0,81.5,62.0,107.0,57.9,2.0,2.0,1.8,0.0,22.0,43.0,27.0,14.0,88.0,1256.0,1066.0,188.0,20.0,1.0,2.0,97.0,168.0,0.0,0.0,0.0,0.0,1033.0,2.0,34.0,47.0,2.34,38.0,1.0,5.0,2.0,1.0,0.0,3.0,0.15,3.0,0.0,0.0,0.0,0.0,0.0,43.0,31.0,23.0,14.0,6.0,23.0,36.0,63.9,13.0,18.0,4.0,14.0,44.0,87.0,67.0,0.0,1541.0,73.0,424.0,713.0,419.0,28.0,1541.0,63.0,34.0,54.0,29.0,46.0,940.0,5364.0,2876.0,82.0,65.0,14.0,38.0,20.0,949.0,138.0,24,1805.0,75.0,52.8,20.1,20,86.0,15,4,21.0,14,1.96,42.0,19.0,23.0,1.15,0.31,30.7,22.6,8.2,0.41,-0.45,3.0,0.0,0.0,24.0,22.0,3.0,97.0,44.0,31.0,0.0,0.0,0.0,129.0,18.0,30.0,37.5
