player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Simone Iacoponi,it ITA,DF,31.0,37.2,0.0,10.0,1.0,10.0,0.27,0.03,0.0,0.0,17.6,0.0,0.0,0.0,0.7,0.7,0.07,-0.7,-0.7,1040.0,1434.0,72.5,18733.0,7102.0,454.0,500.0,90.8,445.0,570.0,78.1,118.0,274.0,43.1,0.0,0.7,0.7,-0.7,11.0,62.0,7.0,1.0,89.0,1434.0,1143.0,288.0,29.0,0.0,17.0,30.0,259.0,0.0,0.0,0.0,0.0,1040.0,3.0,55.0,22.0,0.59,17.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,43.0,50.0,11.0,1.0,27.0,47.0,57.4,20.0,40.0,26.0,14.0,37.0,99.0,178.0,3.0,1838.0,205.0,813.0,815.0,220.0,16.0,1838.0,30.0,12.0,40.0,18.0,60.0,834.0,3530.0,1533.0,14.0,12.0,0.0,31.0,12.0,903.0,44.0,38,3346.0,88.0,97.8,37.2,38,88.0,34,0,,0,1.08,39.0,58.0,-19.0,-0.51,0.71,39.0,62.5,-23.5,-0.63,1.35,4.0,0.0,0.0,34.0,30.0,0.0,30.0,37.0,43.0,0.0,1.0,0.0,151.0,55.0,59.0,48.2
Luigi Sepe,it ITA,GK,27.0,37.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,778.0,1229.0,63.3,28178.0,22587.0,71.0,72.0,98.6,306.0,310.0,98.7,400.0,835.0,47.9,0.0,0.1,0.1,-0.1,1.0,20.0,0.0,0.0,0.0,1229.0,621.0,597.0,131.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,778.0,11.0,0.0,5.0,0.14,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,3.0,4.0,21.0,3.0,1341.0,1225.0,1337.0,5.0,0.0,0.0,1341.0,0.0,0.0,,0.0,,500.0,3077.0,2542.0,0.0,0.0,0.0,2.0,0.0,317.0,0.0,37,3330.0,90.0,97.4,37.0,37,90.0,37,0,,1,1.11,40.0,59.0,-19.0,-0.51,0.49,39.2,63.7,-24.5,-0.66,-0.05,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,31.0,12.0,2.0,85.7
Riccardo Gagliolo,se SWE,DF,28.0,33.8,0.0,21.0,3.0,14.3,0.62,0.09,0.0,0.0,15.4,0.0,0.0,0.0,1.4,1.4,0.07,-1.4,-1.4,1014.0,1378.0,73.6,19286.0,8986.0,375.0,449.0,83.5,513.0,634.0,80.9,114.0,237.0,48.1,2.0,2.4,0.9,-0.4,17.0,68.0,14.0,3.0,109.0,1378.0,1184.0,186.0,36.0,2.0,8.0,18.0,150.0,0.0,0.0,0.0,0.0,1014.0,8.0,29.0,37.0,1.09,30.0,2.0,0.0,3.0,1.0,1.0,7.0,0.21,4.0,2.0,0.0,1.0,0.0,0.0,69.0,45.0,52.0,15.0,2.0,33.0,68.0,48.5,35.0,60.0,33.0,27.0,66.0,135.0,213.0,2.0,1854.0,288.0,941.0,755.0,177.0,24.0,1854.0,9.0,5.0,55.6,4.0,44.4,863.0,3920.0,2419.0,16.0,18.0,0.0,24.0,7.0,896.0,27.0,34,3045.0,90.0,89.0,33.8,34,90.0,33,0,,1,1.15,35.0,51.0,-16.0,-0.47,0.49,36.1,58.3,-22.2,-0.66,0.04,7.0,0.0,0.0,32.0,41.0,0.0,18.0,66.0,45.0,0.0,2.0,2.0,183.0,42.0,38.0,52.5
Bruno Alves,pt POR,DF,36.0,32.5,4.0,16.0,5.0,31.3,0.49,0.15,0.25,0.8,20.4,8.0,0.0,0.0,2.2,2.2,0.14,1.8,1.8,962.0,1245.0,77.3,22775.0,9654.0,221.0,260.0,85.0,505.0,592.0,85.3,232.0,360.0,64.4,1.0,1.0,1.1,0.0,10.0,57.0,3.0,2.0,72.0,1245.0,1155.0,77.0,74.0,1.0,22.0,17.0,0.0,0.0,0.0,0.0,0.0,962.0,13.0,7.0,24.0,0.74,18.0,3.0,1.0,1.0,0.0,1.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,11.0,4.0,0.0,4.0,7.0,57.1,3.0,36.0,28.0,8.0,29.0,44.0,210.0,0.0,1564.0,277.0,898.0,601.0,75.0,28.0,1564.0,3.0,3.0,100.0,0.0,0.0,739.0,4057.0,2384.0,4.0,4.0,0.0,6.0,1.0,811.0,5.0,33,2922.0,89.0,85.4,32.5,33,89.0,31,0,,0,1.0,36.0,56.0,-20.0,-0.62,-0.62,34.5,57.7,-23.2,-0.71,-0.37,9.0,1.0,1.0,31.0,12.0,0.0,17.0,29.0,8.0,0.0,1.0,1.0,129.0,102.0,38.0,72.9
Antonino Barillà,it ITA,MF,30.0,29.1,3.0,19.0,8.0,42.1,0.65,0.28,0.16,0.38,19.1,0.0,0.0,0.0,3.0,3.0,0.16,0.0,0.0,569.0,821.0,69.3,8704.0,3192.0,324.0,390.0,83.1,165.0,234.0,70.5,51.0,117.0,43.6,2.0,1.9,1.1,0.1,20.0,89.0,12.0,2.0,93.0,821.0,801.0,9.0,2.0,0.0,0.0,39.0,3.0,4.0,3.0,1.0,0.0,569.0,11.0,38.0,47.0,1.62,35.0,2.0,1.0,2.0,4.0,3.0,4.0,0.14,3.0,0.0,1.0,0.0,0.0,0.0,64.0,36.0,40.0,17.0,7.0,19.0,53.0,35.8,34.0,40.0,13.0,27.0,36.0,100.0,50.0,1.0,1131.0,68.0,333.0,549.0,269.0,22.0,1131.0,32.0,14.0,43.8,17.0,53.1,638.0,2916.0,1415.0,30.0,30.0,3.0,38.0,27.0,697.0,84.0,31,2618.0,84.0,76.5,29.1,30,87.0,23,1,16.0,3,1.19,33.0,40.0,-7.0,-0.24,1.22,31.5,49.9,-18.4,-0.63,0.12,10.0,0.0,0.0,67.0,32.0,3.0,39.0,36.0,36.0,1.0,0.0,0.0,151.0,22.0,42.0,34.4
Gervinho,ci CIV,FW,31.0,25.6,11.0,44.0,19.0,43.2,1.72,0.74,0.25,0.58,15.5,0.0,0.0,0.0,7.4,7.4,0.17,3.6,3.6,423.0,522.0,81.0,5601.0,1378.0,266.0,307.0,86.6,130.0,150.0,86.7,8.0,14.0,57.1,2.0,3.7,2.3,-1.7,22.0,32.0,21.0,1.0,53.0,522.0,510.0,11.0,2.0,4.0,1.0,8.0,4.0,3.0,0.0,0.0,0.0,423.0,1.0,25.0,70.0,2.74,33.0,0.0,22.0,7.0,8.0,0.0,12.0,0.47,4.0,0.0,5.0,2.0,1.0,0.0,19.0,12.0,11.0,5.0,3.0,5.0,13.0,38.5,8.0,7.0,0.0,7.0,10.0,29.0,2.0,0.0,802.0,2.0,110.0,329.0,389.0,96.0,802.0,121.0,64.0,52.9,56.0,46.3,614.0,5812.0,2982.0,107.0,88.0,53.0,75.0,55.0,616.0,126.0,30,2304.0,77.0,67.4,25.6,27,83.0,18,3,22.0,1,1.17,31.0,42.0,-11.0,-0.43,0.3,29.8,43.1,-13.3,-0.52,0.44,3.0,0.0,0.0,11.0,32.0,15.0,8.0,10.0,12.0,1.0,0.0,0.0,115.0,0.0,7.0,0.0
Roberto Inglese,it ITA,FW,26.0,21.8,9.0,45.0,19.0,42.2,2.06,0.87,0.16,0.37,14.0,2.0,2.0,2.0,8.2,6.7,0.15,0.8,0.3,260.0,402.0,64.7,3555.0,637.0,164.0,212.0,77.4,69.0,106.0,65.1,12.0,27.0,44.4,0.0,1.5,0.7,-1.5,13.0,11.0,8.0,2.0,24.0,402.0,338.0,59.0,0.0,0.0,3.0,15.0,1.0,0.0,0.0,0.0,0.0,260.0,5.0,22.0,37.0,1.7,24.0,0.0,5.0,4.0,3.0,1.0,4.0,0.18,0.0,0.0,0.0,3.0,1.0,0.0,20.0,14.0,7.0,7.0,6.0,1.0,13.0,7.7,12.0,26.0,2.0,24.0,6.0,26.0,27.0,0.0,679.0,32.0,102.0,300.0,287.0,89.0,677.0,37.0,21.0,56.8,16.0,43.2,403.0,2198.0,585.0,29.0,14.0,16.0,85.0,54.0,467.0,99.0,25,1965.0,79.0,57.5,21.8,23,84.0,17,2,21.0,0,1.08,26.0,37.0,-11.0,-0.5,0.05,24.6,37.6,-13.1,-0.6,0.15,3.0,0.0,0.0,55.0,33.0,30.0,15.0,6.0,14.0,1.0,0.0,0.0,66.0,61.0,82.0,42.7
Luca Rigoni,it ITA,MF,33.0,19.6,2.0,16.0,5.0,31.3,0.82,0.26,0.13,0.4,12.4,0.0,0.0,0.0,3.0,3.0,0.18,-1.0,-1.0,432.0,546.0,79.1,7624.0,2652.0,183.0,221.0,82.8,191.0,231.0,82.7,45.0,66.0,68.2,1.0,0.6,0.4,0.4,10.0,44.0,8.0,1.0,65.0,546.0,534.0,10.0,8.0,0.0,4.0,7.0,2.0,0.0,0.0,0.0,0.0,432.0,2.0,9.0,22.0,1.12,19.0,0.0,0.0,2.0,0.0,1.0,2.0,0.1,1.0,0.0,0.0,1.0,0.0,0.0,42.0,25.0,25.0,15.0,2.0,9.0,26.0,34.6,17.0,19.0,2.0,17.0,18.0,60.0,39.0,0.0,732.0,64.0,254.0,367.0,123.0,28.0,732.0,16.0,7.0,43.8,9.0,56.3,374.0,1942.0,946.0,17.0,12.0,3.0,15.0,16.0,408.0,36.0,23,1761.0,77.0,51.5,19.6,20,85.0,15,3,21.0,10,1.13,17.0,32.0,-15.0,-0.77,-0.5,18.5,33.5,-15.0,-0.77,-0.22,5.0,0.0,0.0,24.0,18.0,0.0,7.0,18.0,25.0,0.0,0.0,0.0,109.0,19.0,31.0,38.0
Luca Siligardi,it ITA,FW,30.0,18.2,1.0,37.0,7.0,18.9,2.03,0.38,0.03,0.14,23.9,1.0,0.0,0.0,2.2,2.2,0.06,-1.2,-1.2,325.0,523.0,62.1,5316.0,1781.0,175.0,226.0,77.4,91.0,152.0,59.9,40.0,82.0,48.8,2.0,2.2,1.6,-0.2,18.0,32.0,11.0,7.0,34.0,523.0,471.0,44.0,12.0,2.0,12.0,69.0,5.0,23.0,13.0,8.0,0.0,325.0,8.0,23.0,55.0,3.02,25.0,12.0,8.0,4.0,5.0,1.0,7.0,0.38,2.0,2.0,0.0,0.0,3.0,0.0,30.0,20.0,10.0,13.0,7.0,8.0,23.0,34.8,15.0,19.0,3.0,16.0,15.0,45.0,11.0,0.0,738.0,18.0,128.0,309.0,313.0,34.0,738.0,62.0,35.0,56.5,27.0,43.5,460.0,3118.0,1162.0,40.0,26.0,7.0,40.0,42.0,490.0,99.0,29,1639.0,57.0,47.9,18.2,19,74.0,4,10,24.0,4,0.9,23.0,27.0,-4.0,-0.22,0.59,20.1,27.6,-7.5,-0.41,0.47,2.0,0.0,0.0,12.0,25.0,2.0,69.0,15.0,20.0,2.0,0.0,0.0,95.0,14.0,27.0,34.1
Alessandro Bastoni,it ITA,DF,19.0,18.8,1.0,3.0,2.0,66.7,0.16,0.11,0.33,0.5,12.1,0.0,0.0,0.0,0.6,0.6,0.19,0.4,0.4,514.0,638.0,80.6,10544.0,3520.0,168.0,187.0,89.8,258.0,298.0,86.6,83.0,134.0,61.9,0.0,0.4,0.5,-0.4,1.0,36.0,3.0,0.0,32.0,638.0,592.0,42.0,37.0,3.0,13.0,3.0,5.0,0.0,0.0,0.0,0.0,514.0,4.0,6.0,4.0,0.21,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12.0,20.0,5.0,0.0,6.0,15.0,40.0,9.0,26.0,18.0,8.0,22.0,47.0,96.0,0.0,843.0,133.0,465.0,365.0,24.0,6.0,843.0,7.0,5.0,71.4,2.0,28.6,453.0,2368.0,1282.0,7.0,9.0,4.0,3.0,2.0,449.0,1.0,24,1690.0,70.0,49.4,18.8,18,89.0,17,6,13.0,9,1.21,22.0,31.0,-9.0,-0.48,0.09,21.6,33.9,-12.2,-0.65,0.02,2.0,0.0,0.0,16.0,19.0,0.0,3.0,22.0,12.0,0.0,1.0,0.0,69.0,37.0,42.0,46.8
