player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Andrea Petagna,it ITA,FW,23.0,33.7,16.0,83.0,35.0,42.2,2.46,1.04,0.12,0.29,16.6,1.0,6.0,6.0,13.5,8.7,0.11,2.5,1.3,600.0,776.0,77.3,9670.0,1525.0,307.0,357.0,86.0,184.0,228.0,80.7,69.0,98.0,70.4,1.0,2.2,1.9,-1.2,28.0,41.0,19.0,7.0,68.0,776.0,729.0,44.0,5.0,0.0,19.0,33.0,13.0,3.0,0.0,0.0,0.0,600.0,3.0,31.0,84.0,2.5,65.0,1.0,7.0,4.0,6.0,1.0,8.0,0.24,7.0,0.0,0.0,0.0,1.0,0.0,15.0,6.0,5.0,5.0,5.0,2.0,9.0,22.2,7.0,23.0,8.0,15.0,4.0,19.0,15.0,0.0,1113.0,25.0,84.0,482.0,574.0,136.0,1107.0,68.0,30.0,44.1,36.0,52.9,825.0,5381.0,1877.0,84.0,48.0,37.0,82.0,87.0,921.0,202.0,36,3031.0,84.0,88.6,33.7,35,86.0,21,1,20.0,1,1.14,42.0,51.0,-9.0,-0.27,0.43,40.6,44.8,-4.2,-0.13,0.6,8.0,0.0,0.0,44.0,46.0,6.0,33.0,4.0,6.0,1.0,0.0,0.0,78.0,37.0,64.0,36.6
Manuel Lazzari,it ITA,DF,24.0,31.5,0.0,34.0,5.0,14.7,1.08,0.16,0.0,0.0,20.2,0.0,0.0,0.0,1.4,1.4,0.04,-1.4,-1.4,1092.0,1463.0,74.6,15322.0,4727.0,696.0,789.0,88.2,286.0,384.0,74.5,61.0,146.0,41.8,8.0,5.9,5.0,2.1,55.0,56.0,68.0,57.0,68.0,1463.0,1260.0,201.0,9.0,0.0,7.0,242.0,192.0,0.0,0.0,0.0,0.0,1092.0,2.0,73.0,110.0,3.49,89.0,3.0,8.0,2.0,7.0,1.0,15.0,0.48,11.0,1.0,1.0,1.0,1.0,0.0,29.0,17.0,16.0,10.0,3.0,13.0,24.0,54.2,11.0,26.0,5.0,21.0,20.0,49.0,51.0,1.0,1812.0,64.0,351.0,721.0,776.0,65.0,1812.0,118.0,64.0,54.2,54.0,45.8,1201.0,10569.0,6455.0,239.0,140.0,42.0,60.0,42.0,1260.0,234.0,33,2835.0,86.0,82.9,31.5,33,86.0,26,0,,0,1.24,38.0,43.0,-5.0,-0.16,0.92,37.3,41.0,-3.6,-0.11,0.46,7.0,0.0,0.0,28.0,61.0,0.0,242.0,20.0,17.0,1.0,0.0,0.0,142.0,9.0,21.0,30.0
Simone Missiroli,it ITA,MF,32.0,30.5,0.0,15.0,1.0,6.7,0.49,0.03,0.0,0.0,21.4,0.0,0.0,0.0,0.6,0.6,0.04,-0.6,-0.6,1254.0,1521.0,82.4,20169.0,5907.0,634.0,721.0,87.9,494.0,575.0,85.9,81.0,121.0,66.9,0.0,1.3,1.7,-1.3,27.0,124.0,19.0,6.0,171.0,1521.0,1481.0,38.0,31.0,0.0,4.0,14.0,7.0,0.0,0.0,0.0,0.0,1254.0,2.0,36.0,68.0,2.23,57.0,0.0,3.0,2.0,3.0,3.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,58.0,43.0,31.0,22.0,5.0,25.0,49.0,51.0,24.0,44.0,11.0,33.0,46.0,104.0,46.0,0.0,1808.0,77.0,362.0,1089.0,393.0,16.0,1808.0,32.0,20.0,62.5,12.0,37.5,1051.0,6179.0,3276.0,71.0,75.0,1.0,29.0,25.0,1243.0,72.0,34,2741.0,81.0,80.1,30.5,33,82.0,23,1,26.0,1,1.24,35.0,40.0,-5.0,-0.16,0.76,35.4,38.2,-2.8,-0.09,0.51,9.0,0.0,0.0,30.0,55.0,0.0,14.0,46.0,43.0,0.0,0.0,0.0,191.0,67.0,64.0,51.1
Mohamed Fares,dz ALG,DF,22.0,32.8,3.0,57.0,17.0,29.8,1.74,0.52,0.05,0.18,21.4,1.0,0.0,0.0,2.9,2.9,0.05,0.1,0.1,1099.0,1491.0,73.7,16208.0,5376.0,641.0,727.0,88.2,322.0,449.0,71.7,69.0,173.0,39.9,0.0,2.6,2.0,-2.6,38.0,44.0,33.0,21.0,96.0,1491.0,1252.0,234.0,12.0,1.0,9.0,160.0,202.0,20.0,7.0,1.0,0.0,1099.0,5.0,47.0,80.0,2.44,59.0,4.0,4.0,7.0,3.0,3.0,3.0,0.09,0.0,1.0,1.0,1.0,0.0,0.0,63.0,43.0,37.0,18.0,8.0,25.0,54.0,46.3,29.0,48.0,4.0,44.0,54.0,117.0,83.0,2.0,1940.0,95.0,564.0,773.0,633.0,52.0,1940.0,63.0,35.0,55.6,28.0,44.4,1026.0,7258.0,4110.0,101.0,71.0,10.0,52.0,39.0,1128.0,171.0,35,2949.0,84.0,86.2,32.8,32,90.0,31,3,26.0,0,1.11,34.0,45.0,-11.0,-0.34,-0.14,37.7,42.3,-4.5,-0.14,0.4,12.0,0.0,0.0,51.0,40.0,0.0,160.0,54.0,43.0,0.0,1.0,0.0,153.0,41.0,34.0,54.7
Jasmin Kurtić,si SVN,MF,29.0,28.4,6.0,64.0,12.0,18.8,2.25,0.42,0.09,0.5,22.0,9.0,0.0,0.0,3.9,3.9,0.06,2.1,2.1,1101.0,1381.0,79.7,17815.0,3946.0,585.0,643.0,91.0,343.0,426.0,80.5,115.0,199.0,57.8,5.0,3.1,2.8,1.9,36.0,76.0,14.0,8.0,112.0,1381.0,1263.0,116.0,46.0,1.0,23.0,142.0,16.0,54.0,28.0,23.0,0.0,1101.0,2.0,34.0,89.0,3.13,48.0,23.0,4.0,5.0,9.0,0.0,12.0,0.42,5.0,4.0,1.0,1.0,1.0,0.0,35.0,20.0,19.0,13.0,3.0,13.0,41.0,31.7,28.0,30.0,3.0,27.0,20.0,55.0,52.0,0.0,1658.0,56.0,270.0,867.0,540.0,52.0,1658.0,35.0,24.0,68.6,11.0,31.4,1027.0,6065.0,3326.0,103.0,74.0,13.0,30.0,21.0,1214.0,111.0,30,2557.0,85.0,74.8,28.4,29,87.0,24,1,37.0,0,1.17,35.0,41.0,-6.0,-0.21,0.41,29.7,38.9,-9.2,-0.32,-0.52,9.0,0.0,0.0,36.0,55.0,0.0,142.0,20.0,20.0,0.0,0.0,0.0,118.0,63.0,77.0,45.0
Thiago Cionek,pl POL,DF,32.0,28.2,0.0,16.0,1.0,6.3,0.57,0.04,0.0,0.0,12.0,0.0,0.0,0.0,1.4,1.4,0.09,-1.4,-1.4,1312.0,1626.0,80.7,21900.0,10049.0,634.0,690.0,91.9,528.0,638.0,82.8,113.0,220.0,51.4,3.0,1.5,0.9,1.5,17.0,103.0,17.0,8.0,118.0,1626.0,1429.0,197.0,66.0,1.0,8.0,18.0,131.0,0.0,0.0,0.0,0.0,1312.0,0.0,34.0,40.0,1.42,34.0,1.0,0.0,3.0,2.0,0.0,5.0,0.18,4.0,0.0,0.0,0.0,1.0,0.0,75.0,44.0,46.0,25.0,4.0,29.0,56.0,51.8,27.0,34.0,22.0,12.0,55.0,130.0,144.0,0.0,1988.0,178.0,926.0,875.0,206.0,23.0,1988.0,12.0,4.0,33.3,8.0,66.7,1065.0,5883.0,3751.0,57.0,40.0,3.0,21.0,13.0,1156.0,28.0,31,2542.0,82.0,74.3,28.2,29,86.0,22,2,26.0,3,1.16,35.0,42.0,-7.0,-0.25,0.26,32.0,37.0,-5.1,-0.18,0.05,12.0,2.0,0.0,52.0,37.0,1.0,18.0,55.0,44.0,1.0,2.0,0.0,177.0,61.0,52.0,54.0
Felipe dal Belo,br BRA,DF,34.0,26.2,3.0,14.0,8.0,57.1,0.53,0.3,0.21,0.38,8.9,0.0,0.0,0.0,2.6,2.6,0.19,0.4,0.4,1086.0,1284.0,84.6,18779.0,8313.0,506.0,539.0,93.9,444.0,505.0,87.9,108.0,192.0,56.3,2.0,1.1,0.8,0.9,8.0,66.0,3.0,1.0,67.0,1284.0,1174.0,105.0,65.0,0.0,9.0,10.0,40.0,0.0,0.0,0.0,0.0,1086.0,5.0,8.0,26.0,0.99,21.0,2.0,0.0,2.0,1.0,0.0,3.0,0.11,2.0,0.0,0.0,1.0,0.0,0.0,36.0,25.0,21.0,13.0,2.0,16.0,32.0,50.0,16.0,29.0,18.0,11.0,17.0,53.0,88.0,1.0,1494.0,144.0,684.0,735.0,84.0,23.0,1494.0,6.0,6.0,100.0,0.0,0.0,823.0,3446.0,2264.0,15.0,13.0,0.0,7.0,2.0,982.0,6.0,30,2361.0,79.0,69.0,26.2,27,85.0,21,3,23.0,5,1.1,26.0,36.0,-10.0,-0.38,-0.21,30.9,33.0,-2.0,-0.08,0.37,13.0,0.0,0.0,34.0,13.0,0.0,10.0,17.0,25.0,1.0,1.0,0.0,95.0,50.0,31.0,61.7
Francesco Vicari,it ITA,DF,23.0,25.9,2.0,8.0,4.0,50.0,0.31,0.15,0.25,0.5,11.7,0.0,0.0,0.0,0.5,0.5,0.06,1.5,1.5,897.0,1017.0,88.2,17456.0,7778.0,322.0,345.0,93.3,449.0,487.0,92.2,115.0,164.0,70.1,1.0,0.3,0.5,0.7,2.0,34.0,2.0,0.0,56.0,1017.0,956.0,61.0,57.0,1.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,897.0,0.0,6.0,11.0,0.42,10.0,0.0,0.0,0.0,0.0,1.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,28.0,24.0,21.0,7.0,0.0,18.0,28.0,64.3,10.0,31.0,24.0,7.0,34.0,62.0,139.0,1.0,1271.0,208.0,716.0,536.0,25.0,14.0,1271.0,1.0,0.0,0.0,1.0,100.0,606.0,2573.0,1704.0,9.0,5.0,3.0,1.0,4.0,736.0,0.0,28,2335.0,83.0,68.3,25.9,26,86.0,21,2,47.0,7,1.18,30.0,37.0,-7.0,-0.27,0.14,28.9,35.1,-6.2,-0.24,-0.14,6.0,0.0,0.0,14.0,11.0,0.0,2.0,34.0,24.0,0.0,0.0,0.0,121.0,48.0,37.0,56.5
Kevin Bonifazi,it ITA,DF,22.0,25.6,2.0,11.0,3.0,27.3,0.43,0.12,0.18,0.67,19.5,0.0,0.0,0.0,0.6,0.6,0.06,1.4,1.4,1075.0,1231.0,87.3,18340.0,6527.0,498.0,519.0,96.0,481.0,533.0,90.2,84.0,146.0,57.5,1.0,0.3,0.4,0.7,7.0,78.0,8.0,1.0,92.0,1231.0,1162.0,68.0,51.0,0.0,10.0,6.0,17.0,0.0,0.0,0.0,0.0,1075.0,1.0,10.0,25.0,0.98,22.0,0.0,1.0,1.0,1.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,40.0,24.0,31.0,8.0,1.0,15.0,33.0,45.5,18.0,38.0,21.0,17.0,36.0,76.0,79.0,0.0,1498.0,188.0,743.0,662.0,109.0,12.0,1498.0,29.0,23.0,79.3,6.0,20.7,899.0,5550.0,3420.0,42.0,36.0,0.0,23.0,19.0,919.0,8.0,27,2301.0,85.0,67.3,25.6,26,88.0,23,1,22.0,7,1.07,34.0,39.0,-5.0,-0.2,0.37,29.1,36.1,-7.0,-0.28,-0.25,2.0,0.0,0.0,20.0,19.0,0.0,6.0,36.0,24.0,0.0,0.0,0.0,170.0,43.0,34.0,55.8
Mirco Antenucci,it ITA,FW,33.0,23.7,5.0,48.0,16.0,33.3,2.03,0.68,0.08,0.25,18.7,1.0,1.0,2.0,6.6,5.0,0.1,-1.6,-1.0,410.0,541.0,75.8,5440.0,1025.0,252.0,299.0,84.3,114.0,153.0,74.5,14.0,21.0,66.7,0.0,1.6,1.0,-1.6,23.0,31.0,11.0,2.0,50.0,541.0,498.0,43.0,2.0,0.0,1.0,29.0,4.0,1.0,0.0,0.0,0.0,410.0,0.0,20.0,64.0,2.7,46.0,0.0,3.0,6.0,7.0,2.0,5.0,0.21,3.0,0.0,1.0,0.0,1.0,0.0,11.0,9.0,5.0,1.0,5.0,1.0,10.0,10.0,9.0,14.0,0.0,14.0,5.0,16.0,5.0,0.0,764.0,4.0,46.0,330.0,398.0,73.0,762.0,42.0,20.0,47.6,22.0,52.4,557.0,2886.0,996.0,41.0,26.0,14.0,77.0,45.0,611.0,172.0,35,2133.0,61.0,62.4,23.7,22,88.0,19,13,15.0,3,1.0,26.0,35.0,-9.0,-0.38,-0.17,27.8,35.0,-7.2,-0.31,-0.3,0.0,0.0,0.0,29.0,37.0,17.0,29.0,5.0,9.0,0.0,0.0,0.0,54.0,34.0,41.0,45.3
