player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Fabio Quagliarella,it ITA,FW,35.0,35.5,26.0,131.0,47.0,35.9,3.69,1.32,0.13,0.36,19.3,10.0,9.0,10.0,21.9,14.7,0.11,4.1,2.3,598.0,899.0,66.5,8560.0,1791.0,337.0,443.0,76.1,188.0,277.0,67.9,36.0,79.0,45.6,8.0,4.5,3.6,3.5,37.0,40.0,31.0,4.0,66.0,899.0,812.0,83.0,2.0,1.0,14.0,34.0,6.0,0.0,0.0,0.0,0.0,598.0,4.0,37.0,97.0,2.73,66.0,1.0,3.0,18.0,9.0,0.0,19.0,0.53,15.0,0.0,1.0,3.0,0.0,0.0,14.0,8.0,6.0,4.0,4.0,2.0,15.0,13.3,13.0,32.0,1.0,31.0,8.0,22.0,17.0,0.0,1298.0,21.0,92.0,533.0,683.0,177.0,1288.0,36.0,19.0,52.8,17.0,47.2,770.0,3224.0,761.0,24.0,17.0,11.0,91.0,50.0,976.0,298.0,37,3199.0,86.0,93.5,35.5,37,86.0,25,0,,1,1.43,55.0,45.0,10.0,0.28,0.69,45.8,50.8,-5.1,-0.14,-0.36,1.0,0.0,0.0,32.0,58.0,37.0,34.0,8.0,8.0,0.0,0.0,0.0,87.0,23.0,55.0,29.5
Emil Audero,it ITA,GK,21.0,36.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,868.0,1161.0,74.8,21390.0,14960.0,207.0,208.0,99.5,437.0,443.0,98.6,220.0,500.0,44.0,0.0,0.1,0.0,-0.1,2.0,1.0,0.0,0.0,0.0,1161.0,773.0,384.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.0,4.0,1.0,6.0,0.17,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,1.0,5.0,21.0,4.0,1253.0,1153.0,1247.0,6.0,0.0,0.0,1253.0,0.0,0.0,,0.0,,621.0,2902.0,1941.0,0.0,0.0,0.0,2.0,0.0,480.0,0.0,36,3240.0,90.0,94.7,36.0,36,90.0,36,0,,2,1.36,58.0,51.0,7.0,0.19,-0.81,48.9,53.8,-4.8,-0.13,-0.29,4.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,63.0,9.0,0.0,100.0
Nicola Murru,it ITA,DF,23.0,32.6,0.0,16.0,1.0,6.3,0.49,0.03,0.0,0.0,27.4,0.0,0.0,0.0,0.4,0.4,0.03,-0.4,-0.4,1499.0,2017.0,74.3,25472.0,11154.0,687.0,773.0,88.9,646.0,839.0,77.0,135.0,293.0,46.1,5.0,3.5,2.6,1.5,31.0,162.0,42.0,24.0,203.0,2017.0,1677.0,329.0,47.0,0.0,8.0,112.0,281.0,1.0,0.0,1.0,0.0,1499.0,11.0,50.0,58.0,1.78,50.0,5.0,1.0,1.0,0.0,1.0,7.0,0.21,6.0,0.0,0.0,1.0,0.0,0.0,83.0,59.0,42.0,25.0,16.0,41.0,54.0,75.9,13.0,50.0,22.0,28.0,41.0,124.0,99.0,0.0,2359.0,125.0,713.0,1218.0,451.0,21.0,2359.0,32.0,16.0,50.0,16.0,50.0,1259.0,6134.0,3703.0,66.0,49.0,5.0,21.0,25.0,1398.0,113.0,35,2934.0,84.0,85.8,32.6,34,86.0,29,1,3.0,0,1.4,53.0,47.0,6.0,0.18,-0.37,46.3,50.2,-3.9,-0.12,-0.02,9.0,0.0,0.0,35.0,32.0,1.0,112.0,41.0,59.0,0.0,1.0,0.0,194.0,41.0,35.0,53.9
Dennis Praet,be BEL,MF,24.0,32.1,2.0,34.0,12.0,35.3,1.06,0.37,0.06,0.17,22.6,0.0,0.0,0.0,2.3,2.3,0.07,-0.3,-0.3,1556.0,1868.0,83.3,23139.0,6816.0,905.0,1000.0,90.5,484.0,567.0,85.4,104.0,175.0,59.4,3.0,5.0,4.4,-2.0,37.0,157.0,40.0,11.0,183.0,1868.0,1777.0,85.0,28.0,5.0,8.0,107.0,19.0,38.0,19.0,6.0,0.0,1556.0,6.0,47.0,94.0,2.93,74.0,7.0,4.0,2.0,5.0,2.0,6.0,0.19,6.0,0.0,0.0,0.0,0.0,0.0,62.0,44.0,30.0,25.0,7.0,27.0,51.0,52.9,24.0,33.0,4.0,29.0,36.0,98.0,31.0,0.0,2183.0,62.0,372.0,1142.0,692.0,67.0,2183.0,63.0,38.0,60.3,25.0,39.7,1244.0,6168.0,3026.0,70.0,56.0,9.0,42.0,49.0,1569.0,189.0,34,2890.0,85.0,84.5,32.1,33,86.0,27,1,36.0,0,1.38,50.0,39.0,11.0,0.34,0.68,43.0,43.8,-0.8,-0.03,0.6,6.0,0.0,0.0,25.0,40.0,1.0,107.0,36.0,44.0,1.0,0.0,0.0,201.0,20.0,17.0,54.1
Joachim Andersen,dk DEN,DF,22.0,32.0,0.0,13.0,5.0,38.5,0.41,0.16,0.0,0.0,15.3,0.0,0.0,0.0,1.0,1.0,0.08,-1.0,-1.0,1804.0,2036.0,88.6,36128.0,13003.0,598.0,644.0,92.9,937.0,1000.0,93.7,254.0,359.0,70.8,1.0,0.7,0.5,0.3,8.0,139.0,5.0,0.0,154.0,2036.0,1939.0,93.0,90.0,0.0,33.0,1.0,3.0,0.0,0.0,0.0,0.0,1804.0,4.0,10.0,27.0,0.84,23.0,1.0,0.0,2.0,0.0,1.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,40.0,27.0,31.0,8.0,1.0,19.0,31.0,61.3,12.0,30.0,15.0,15.0,35.0,75.0,147.0,1.0,2328.0,277.0,1033.0,1260.0,52.0,17.0,2328.0,16.0,15.0,93.8,1.0,6.3,1363.0,8170.0,5150.0,25.0,12.0,1.0,10.0,6.0,1585.0,3.0,32,2880.0,90.0,84.2,32.0,32,90.0,32,0,,1,1.5,52.0,42.0,10.0,0.31,0.48,41.3,46.2,-5.0,-0.16,-0.24,7.0,0.0,0.0,31.0,13.0,0.0,1.0,35.0,27.0,0.0,2.0,0.0,159.0,74.0,60.0,55.2
Albin Ekdal,se SWE,MF,29.0,29.4,0.0,15.0,1.0,6.7,0.51,0.03,0.0,0.0,22.5,0.0,0.0,0.0,0.9,0.9,0.06,-0.9,-0.9,1428.0,1654.0,86.3,21772.0,6350.0,782.0,842.0,92.9,507.0,590.0,85.9,90.0,127.0,70.9,0.0,1.0,1.3,-1.0,18.0,132.0,9.0,1.0,129.0,1654.0,1587.0,65.0,64.0,1.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,1428.0,2.0,24.0,56.0,1.9,43.0,2.0,4.0,3.0,2.0,2.0,4.0,0.14,1.0,0.0,1.0,1.0,1.0,0.0,61.0,39.0,16.0,38.0,7.0,37.0,68.0,54.4,31.0,42.0,12.0,30.0,53.0,114.0,62.0,1.0,1978.0,108.0,450.0,1310.0,242.0,14.0,1978.0,42.0,35.0,83.3,7.0,16.7,1067.0,5945.0,2947.0,39.0,51.0,3.0,27.0,31.0,1345.0,25.0,32,2646.0,83.0,77.4,29.4,30,87.0,22,2,25.0,2,1.38,47.0,38.0,9.0,0.31,0.31,40.6,43.3,-2.6,-0.09,0.13,6.0,0.0,0.0,46.0,68.0,1.0,3.0,53.0,39.0,0.0,0.0,0.0,213.0,56.0,42.0,57.1
Karol Linetty,pl POL,MF,23.0,27.9,3.0,34.0,13.0,38.2,1.22,0.47,0.09,0.23,22.6,0.0,0.0,0.0,2.1,2.1,0.06,0.9,0.9,1073.0,1288.0,83.3,15308.0,4180.0,652.0,740.0,88.1,317.0,376.0,84.3,57.0,81.0,70.4,3.0,2.8,2.2,0.2,30.0,88.0,36.0,4.0,118.0,1288.0,1255.0,30.0,12.0,7.0,13.0,16.0,18.0,0.0,0.0,0.0,0.0,1073.0,3.0,33.0,75.0,2.69,60.0,0.0,2.0,3.0,6.0,4.0,9.0,0.32,8.0,0.0,0.0,0.0,1.0,0.0,72.0,48.0,26.0,32.0,14.0,15.0,69.0,21.7,54.0,39.0,4.0,35.0,25.0,97.0,17.0,0.0,1597.0,33.0,269.0,888.0,464.0,46.0,1597.0,42.0,19.0,45.2,23.0,54.8,933.0,4733.0,2962.0,76.0,56.0,8.0,60.0,34.0,1137.0,113.0,32,2507.0,78.0,73.3,27.9,30,80.0,16,2,53.0,3,1.44,45.0,35.0,10.0,0.36,0.46,34.8,38.9,-4.1,-0.15,-0.11,11.0,0.0,0.0,45.0,51.0,1.0,16.0,25.0,48.0,0.0,0.0,0.0,173.0,21.0,35.0,37.5
Grégoire Defrel,mq MTQ,"FW,MF",27.0,26.0,11.0,47.0,23.0,48.9,1.81,0.88,0.23,0.48,15.7,0.0,0.0,0.0,8.1,8.1,0.17,2.9,2.9,662.0,799.0,82.9,7468.0,1233.0,472.0,522.0,90.4,104.0,136.0,76.5,20.0,37.0,54.1,3.0,2.6,2.9,0.4,25.0,29.0,22.0,2.0,51.0,799.0,784.0,11.0,0.0,5.0,1.0,18.0,3.0,4.0,4.0,0.0,0.0,662.0,4.0,20.0,82.0,3.15,64.0,1.0,4.0,5.0,6.0,2.0,10.0,0.38,7.0,0.0,2.0,0.0,1.0,0.0,40.0,29.0,10.0,16.0,14.0,9.0,21.0,42.9,12.0,15.0,0.0,15.0,3.0,43.0,9.0,0.0,1041.0,11.0,85.0,414.0,551.0,89.0,1041.0,53.0,28.0,52.8,25.0,47.2,704.0,3637.0,1433.0,44.0,40.0,15.0,59.0,51.0,813.0,246.0,36,2339.0,65.0,68.4,26.0,26,81.0,14,10,24.0,2,1.44,42.0,33.0,9.0,0.35,0.35,38.0,35.7,2.3,0.09,0.66,2.0,0.0,0.0,38.0,33.0,8.0,18.0,3.0,29.0,2.0,0.0,0.0,98.0,21.0,29.0,42.0
Bartosz Bereszyński,pl POL,DF,26.0,24.4,0.0,9.0,2.0,22.2,0.37,0.08,0.0,0.0,23.7,0.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3,1298.0,1580.0,82.2,18512.0,7514.0,789.0,865.0,91.2,395.0,477.0,82.8,64.0,128.0,50.0,2.0,0.7,1.4,1.3,11.0,113.0,16.0,7.0,150.0,1580.0,1328.0,250.0,43.0,2.0,0.0,53.0,207.0,0.0,0.0,0.0,0.0,1298.0,2.0,38.0,33.0,1.35,31.0,1.0,0.0,0.0,1.0,0.0,4.0,0.16,4.0,0.0,0.0,0.0,0.0,0.0,46.0,30.0,27.0,15.0,4.0,24.0,51.0,47.1,27.0,22.0,7.0,15.0,31.0,77.0,76.0,0.0,1805.0,82.0,490.0,916.0,412.0,13.0,1805.0,37.0,23.0,62.2,14.0,37.8,958.0,4533.0,2521.0,51.0,30.0,1.0,20.0,19.0,1152.0,97.0,27,2200.0,81.0,64.3,24.4,24,90.0,22,3,17.0,6,1.44,40.0,33.0,7.0,0.29,0.14,29.2,36.1,-6.9,-0.28,-0.45,6.0,1.0,1.0,25.0,30.0,0.0,53.0,31.0,30.0,0.0,0.0,0.0,131.0,15.0,19.0,44.1
Omar Colley,gm GAM,DF,25.0,19.6,0.0,7.0,1.0,14.3,0.36,0.05,0.0,0.0,10.9,0.0,0.0,0.0,0.6,0.6,0.08,-0.6,-0.6,975.0,1111.0,87.8,18056.0,6239.0,333.0,357.0,93.3,529.0,582.0,90.9,86.0,131.0,65.6,0.0,0.2,0.1,-0.2,4.0,34.0,0.0,0.0,41.0,1111.0,1060.0,49.0,48.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,975.0,2.0,6.0,7.0,0.36,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,12.0,6.0,0.0,12.0,13.0,92.3,1.0,24.0,16.0,8.0,22.0,40.0,102.0,0.0,1308.0,176.0,660.0,628.0,32.0,18.0,1308.0,5.0,5.0,100.0,0.0,0.0,766.0,3786.0,2033.0,4.0,5.0,1.0,5.0,4.0,837.0,3.0,21,1762.0,84.0,51.5,19.6,21,84.0,18,0,,16,1.48,32.0,24.0,8.0,0.41,0.35,30.2,26.6,3.5,0.18,0.62,1.0,1.0,1.0,17.0,6.0,2.0,2.0,22.0,11.0,0.0,1.0,0.0,102.0,47.0,40.0,54.0
