player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Andrea Consigli,it ITA,GK,31.0,35.7,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,863.0,1178.0,73.3,23675.0,16091.0,144.0,144.0,100.0,407.0,415.0,98.1,305.0,607.0,50.2,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1178.0,754.0,419.0,133.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,863.0,5.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,15.0,6.0,1280.0,1080.0,1274.0,6.0,0.0,0.0,1280.0,0.0,0.0,,0.0,,621.0,3411.0,2194.0,0.0,0.0,0.0,2.0,0.0,476.0,0.0,36,3213.0,89.0,93.9,35.7,36,89.0,35,0,,1,1.17,51.0,56.0,-5.0,-0.14,0.73,46.4,53.8,-7.4,-0.21,0.45,2.0,1.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,7.0,2.0,77.8
Pol Lirola,es ESP,"DF,MF",20.0,33.1,2.0,17.0,3.0,17.6,0.51,0.09,0.12,0.67,21.0,0.0,0.0,0.0,1.6,1.6,0.09,0.4,0.4,1355.0,1778.0,76.2,20827.0,8151.0,722.0,815.0,88.6,504.0,651.0,77.4,80.0,173.0,46.2,6.0,6.3,4.6,-0.3,40.0,102.0,33.0,22.0,129.0,1778.0,1472.0,299.0,33.0,1.0,12.0,125.0,266.0,0.0,0.0,0.0,0.0,1355.0,7.0,67.0,74.0,2.24,65.0,2.0,3.0,2.0,0.0,2.0,8.0,0.24,7.0,0.0,0.0,1.0,0.0,0.0,35.0,22.0,19.0,11.0,5.0,21.0,34.0,61.8,13.0,25.0,5.0,20.0,32.0,67.0,89.0,0.0,2052.0,116.0,552.0,944.0,583.0,63.0,2052.0,71.0,41.0,57.7,30.0,42.3,1102.0,7001.0,4369.0,120.0,69.0,20.0,31.0,28.0,1268.0,202.0,35,2975.0,85.0,87.0,33.1,32,90.0,30,3,36.0,3,1.17,47.0,53.0,-6.0,-0.18,0.02,42.3,49.2,-7.0,-0.21,0.18,2.0,0.0,0.0,15.0,10.0,3.0,125.0,32.0,22.0,0.0,0.0,2.0,164.0,18.0,24.0,42.9
Domenico Berardi,it ITA,"FW,MF",23.0,31.9,8.0,125.0,30.0,24.0,3.91,0.94,0.06,0.23,22.9,13.0,1.0,1.0,8.9,8.1,0.07,-0.9,-1.1,948.0,1321.0,71.8,14648.0,3920.0,537.0,632.0,85.0,309.0,417.0,74.1,72.0,154.0,46.8,4.0,4.5,3.8,-0.5,59.0,71.0,57.0,10.0,141.0,1321.0,1227.0,89.0,24.0,10.0,6.0,120.0,5.0,59.0,13.0,39.0,1.0,948.0,5.0,56.0,144.0,4.51,96.0,13.0,12.0,11.0,9.0,3.0,13.0,0.41,8.0,3.0,0.0,1.0,1.0,0.0,38.0,21.0,16.0,9.0,13.0,15.0,73.0,20.5,58.0,31.0,2.0,29.0,27.0,65.0,24.0,0.0,1753.0,28.0,193.0,667.0,923.0,97.0,1752.0,94.0,46.0,48.9,48.0,51.1,1120.0,6933.0,3446.0,106.0,85.0,31.0,78.0,51.0,1278.0,310.0,35,2875.0,82.0,84.1,31.9,32,86.0,26,3,36.0,1,1.11,45.0,46.0,-1.0,-0.03,0.96,42.4,45.3,-2.9,-0.09,0.9,5.0,1.0,0.0,65.0,92.0,11.0,120.0,27.0,21.0,0.0,0.0,0.0,159.0,23.0,34.0,40.4
Gian Marco Ferrari,it ITA,DF,26.0,31.0,4.0,23.0,8.0,34.8,0.74,0.26,0.17,0.5,11.1,0.0,0.0,0.0,2.2,2.2,0.1,1.8,1.8,1647.0,1914.0,86.1,30409.0,11935.0,612.0,675.0,90.7,888.0,983.0,90.3,134.0,212.0,63.2,0.0,0.2,0.5,-0.2,5.0,135.0,7.0,1.0,143.0,1914.0,1795.0,112.0,94.0,0.0,15.0,11.0,18.0,0.0,0.0,0.0,0.0,1647.0,7.0,14.0,26.0,0.84,22.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,23.0,27.0,12.0,2.0,12.0,16.0,75.0,4.0,36.0,20.0,16.0,36.0,77.0,97.0,1.0,2176.0,189.0,959.0,1136.0,96.0,28.0,2176.0,5.0,4.0,80.0,1.0,20.0,1314.0,7045.0,4672.0,35.0,16.0,0.0,14.0,5.0,1524.0,12.0,31,2790.0,90.0,81.6,31.0,31,90.0,31,0,,6,1.19,45.0,45.0,0.0,0.0,1.0,38.7,45.1,-6.4,-0.21,0.15,9.0,0.0,0.0,38.0,25.0,0.0,11.0,36.0,23.0,0.0,1.0,0.0,136.0,61.0,29.0,67.8
Rogério,br BRA,"DF,MF",20.0,29.7,1.0,14.0,5.0,35.7,0.47,0.17,0.07,0.2,17.6,0.0,0.0,0.0,2.4,2.4,0.17,-1.4,-1.4,1369.0,1743.0,78.5,21885.0,7593.0,728.0,800.0,91.0,503.0,623.0,80.7,104.0,208.0,50.0,2.0,2.3,1.5,-0.3,19.0,75.0,18.0,13.0,102.0,1743.0,1417.0,321.0,29.0,0.0,20.0,108.0,292.0,0.0,0.0,0.0,0.0,1369.0,5.0,55.0,34.0,1.15,28.0,4.0,0.0,1.0,1.0,0.0,3.0,0.1,1.0,0.0,0.0,1.0,1.0,0.0,55.0,38.0,35.0,13.0,7.0,30.0,55.0,54.5,25.0,32.0,7.0,25.0,37.0,92.0,109.0,1.0,2078.0,106.0,668.0,918.0,512.0,32.0,2078.0,41.0,20.0,48.8,21.0,51.2,1107.0,5973.0,2994.0,76.0,42.0,12.0,38.0,21.0,1226.0,125.0,33,2672.0,81.0,78.1,29.7,29,89.0,27,4,21.0,2,1.24,41.0,48.0,-7.0,-0.24,-0.24,39.8,42.1,-2.3,-0.08,0.71,9.0,1.0,0.0,28.0,27.0,2.0,108.0,37.0,38.0,0.0,0.0,0.0,152.0,26.0,46.0,36.1
Stefano Sensi,it ITA,MF,22.0,21.9,2.0,36.0,7.0,19.4,1.64,0.32,0.06,0.29,23.1,5.0,0.0,0.0,1.9,1.9,0.05,0.1,0.1,1240.0,1454.0,85.3,21831.0,5954.0,565.0,615.0,91.9,495.0,553.0,89.5,137.0,215.0,63.7,4.0,5.6,3.8,-1.6,52.0,149.0,11.0,2.0,133.0,1454.0,1308.0,140.0,63.0,6.0,12.0,97.0,4.0,69.0,28.0,41.0,0.0,1240.0,6.0,8.0,107.0,4.88,75.0,23.0,2.0,2.0,2.0,3.0,7.0,0.32,5.0,1.0,0.0,0.0,1.0,0.0,36.0,20.0,15.0,18.0,3.0,6.0,30.0,20.0,24.0,36.0,7.0,29.0,33.0,69.0,17.0,0.0,1683.0,30.0,270.0,972.0,461.0,19.0,1683.0,35.0,19.0,54.3,16.0,45.7,1055.0,5272.0,2772.0,35.0,52.0,3.0,33.0,27.0,1214.0,73.0,28,1972.0,70.0,57.7,21.9,23,81.0,11,5,24.0,7,1.04,29.0,40.0,-11.0,-0.5,-0.75,26.3,32.7,-6.4,-0.29,-0.13,8.0,0.0,0.0,25.0,68.0,1.0,97.0,33.0,20.0,1.0,0.0,0.0,153.0,11.0,15.0,42.3
Mehdi Bourabia,ma MAR,MF,26.0,22.3,1.0,34.0,6.0,17.6,1.52,0.27,0.03,0.17,21.7,2.0,0.0,0.0,2.3,2.3,0.07,-1.3,-1.3,873.0,1079.0,80.9,12197.0,3045.0,524.0,579.0,90.5,251.0,310.0,81.0,50.0,88.0,56.8,0.0,2.7,1.5,-2.7,27.0,71.0,11.0,3.0,91.0,1079.0,1029.0,48.0,19.0,2.0,1.0,46.0,7.0,21.0,4.0,16.0,1.0,873.0,2.0,37.0,57.0,2.55,45.0,3.0,2.0,7.0,0.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,51.0,28.0,23.0,21.0,7.0,15.0,46.0,32.6,31.0,28.0,5.0,23.0,33.0,84.0,32.0,0.0,1369.0,45.0,255.0,726.0,407.0,40.0,1369.0,52.0,33.0,63.5,19.0,36.5,750.0,3398.0,1558.0,24.0,36.0,4.0,45.0,37.0,910.0,70.0,32,2010.0,63.0,58.8,22.3,21,82.0,15,11,27.0,2,1.13,28.0,32.0,-4.0,-0.18,0.01,31.5,31.9,-0.5,-0.02,0.52,8.0,1.0,1.0,43.0,24.0,1.0,46.0,33.0,28.0,0.0,1.0,0.0,130.0,47.0,39.0,54.7
Francesco Magnanelli,it ITA,MF,33.0,20.7,0.0,9.0,0.0,0.0,0.44,0.0,0.0,,27.8,0.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3,1165.0,1320.0,88.3,19940.0,5370.0,554.0,595.0,93.1,483.0,531.0,91.0,104.0,152.0,68.4,0.0,0.2,0.6,-0.2,6.0,123.0,5.0,0.0,114.0,1320.0,1259.0,59.0,59.0,2.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,1165.0,2.0,7.0,40.0,1.94,38.0,1.0,1.0,0.0,0.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,52.0,33.0,29.0,22.0,1.0,22.0,49.0,44.9,27.0,18.0,5.0,13.0,24.0,76.0,38.0,2.0,1491.0,81.0,389.0,946.0,165.0,0.0,1491.0,11.0,7.0,63.6,4.0,36.4,801.0,3250.0,1451.0,12.0,12.0,0.0,10.0,6.0,1047.0,13.0,26,1859.0,72.0,54.4,20.7,21,85.0,16,5,13.0,10,1.15,27.0,26.0,1.0,0.05,0.51,25.9,32.1,-6.2,-0.3,-0.14,4.0,1.0,1.0,37.0,39.0,0.0,2.0,24.0,33.0,0.0,2.0,0.0,142.0,16.0,22.0,42.1
Alfred Duncan,gh GHA,MF,25.0,20.5,4.0,25.0,9.0,36.0,1.22,0.44,0.16,0.44,22.0,0.0,0.0,0.0,1.1,1.1,0.05,2.9,2.9,680.0,854.0,79.6,11147.0,3041.0,345.0,408.0,84.6,255.0,298.0,85.6,57.0,99.0,57.6,4.0,2.8,1.8,1.2,32.0,62.0,24.0,4.0,109.0,854.0,832.0,18.0,8.0,10.0,8.0,25.0,9.0,1.0,1.0,0.0,0.0,680.0,4.0,17.0,63.0,3.07,56.0,0.0,4.0,3.0,0.0,0.0,8.0,0.39,6.0,0.0,1.0,1.0,0.0,0.0,33.0,21.0,15.0,15.0,3.0,19.0,48.0,39.6,29.0,20.0,6.0,14.0,15.0,48.0,18.0,0.0,1040.0,26.0,196.0,582.0,278.0,26.0,1040.0,34.0,19.0,55.9,15.0,44.1,620.0,3161.0,1623.0,45.0,32.0,9.0,25.0,31.0,765.0,59.0,26,1848.0,71.0,54.0,20.5,21,84.0,14,5,17.0,3,1.35,32.0,35.0,-3.0,-0.15,0.08,24.2,34.9,-10.7,-0.52,-0.63,7.0,1.0,0.0,37.0,22.0,3.0,25.0,15.0,21.0,0.0,0.0,0.0,113.0,15.0,30.0,33.3
Manuel Locatelli,it ITA,MF,20.0,20.5,2.0,31.0,6.0,19.4,1.51,0.29,0.06,0.33,23.1,0.0,0.0,0.0,2.5,2.5,0.08,-0.5,-0.5,1047.0,1228.0,85.3,16804.0,4975.0,552.0,600.0,92.0,379.0,437.0,86.7,88.0,136.0,64.7,4.0,3.5,3.3,0.5,41.0,101.0,18.0,1.0,130.0,1228.0,1167.0,56.0,27.0,8.0,13.0,36.0,5.0,20.0,11.0,9.0,0.0,1047.0,5.0,16.0,86.0,4.19,64.0,9.0,2.0,6.0,3.0,2.0,5.0,0.24,2.0,2.0,0.0,1.0,0.0,0.0,44.0,28.0,19.0,15.0,10.0,13.0,29.0,44.8,16.0,21.0,3.0,18.0,27.0,71.0,33.0,1.0,1467.0,58.0,286.0,805.0,390.0,35.0,1467.0,30.0,21.0,70.0,9.0,30.0,875.0,3510.0,1736.0,36.0,32.0,5.0,41.0,25.0,1074.0,80.0,29,1847.0,64.0,54.0,20.5,21,81.0,11,8,19.0,8,1.0,31.0,35.0,-4.0,-0.19,-0.02,27.2,30.3,-3.1,-0.15,0.18,7.0,0.0,0.0,35.0,29.0,0.0,36.0,27.0,28.0,0.0,1.0,0.0,139.0,22.0,33.0,40.0
