player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Papu Gómez,ar ARG,"MF,FW",31.0,31.6,7.0,95.0,41.0,43.2,3.01,1.3,0.07,0.17,20.1,2.0,0.0,0.0,7.8,7.8,0.08,-0.8,-0.8,1566.0,1995.0,78.5,26018.0,8167.0,773.0,864.0,89.5,583.0,727.0,80.2,143.0,277.0,51.6,16.0,9.9,9.3,6.1,101.0,153.0,95.0,18.0,276.0,1995.0,1755.0,231.0,57.0,15.0,17.0,233.0,35.0,134.0,49.0,74.0,0.0,1566.0,9.0,25.0,199.0,6.3,127.0,38.0,10.0,9.0,12.0,3.0,29.0,0.92,18.0,4.0,2.0,2.0,3.0,0.0,27.0,13.0,5.0,13.0,9.0,13.0,45.0,28.9,32.0,24.0,0.0,24.0,17.0,44.0,6.0,1.0,2312.0,12.0,178.0,1038.0,1138.0,117.0,2312.0,107.0,63.0,58.9,44.0,41.1,1722.0,12785.0,7606.0,241.0,192.0,51.0,57.0,41.0,1806.0,203.0,36,2842.0,79.0,83.1,31.6,34,82.0,14.0,2,33.0,1,2.08,83.0,38.0,45.0,1.43,0.65,67.2,34.9,32.2,1.02,-0.53,2.0,0.0,0.0,19.0,75.0,3.0,233.0,17.0,13.0,0.0,0.0,0.0,164.0,4.0,17.0,19.0
Pierluigi Gollini,it ITA,GK,24.0,32.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,738.0,975.0,75.7,23121.0,16476.0,89.0,89.0,100.0,317.0,323.0,98.1,332.0,562.0,59.1,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,975.0,689.0,285.0,77.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,738.0,1.0,0.0,10.0,0.31,8.0,2.0,0.0,0.0,0.0,0.0,1.0,0.03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,1043.0,873.0,1040.0,3.0,0.0,0.0,1043.0,0.0,0.0,,0.0,,592.0,3177.0,1959.0,0.0,0.0,0.0,0.0,0.0,409.0,0.0,33,2884.0,87.0,84.3,32.0,33,87.0,32.0,0,,5,2.0,81.0,42.0,39.0,1.22,-0.63,70.1,37.5,32.6,1.02,-0.6,3.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,4.0,3.0,57.1
Berat Djimsiti,al ALB,DF,26.0,30.9,2.0,21.0,5.0,23.8,0.68,0.16,0.1,0.4,10.3,0.0,0.0,0.0,2.0,2.0,0.1,0.0,0.0,1615.0,1876.0,86.1,26127.0,8416.0,798.0,862.0,92.6,612.0,706.0,86.7,129.0,192.0,67.2,1.0,1.1,0.7,-0.1,12.0,83.0,5.0,0.0,93.0,1876.0,1763.0,111.0,57.0,0.0,20.0,3.0,54.0,0.0,0.0,0.0,0.0,1615.0,2.0,17.0,31.0,1.0,28.0,0.0,0.0,3.0,0.0,0.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,42.0,23.0,17.0,23.0,2.0,22.0,39.0,56.4,17.0,21.0,14.0,7.0,49.0,91.0,92.0,0.0,2155.0,121.0,832.0,1119.0,217.0,39.0,2155.0,11.0,8.0,72.7,2.0,18.2,1263.0,4955.0,2441.0,13.0,28.0,0.0,17.0,7.0,1384.0,36.0,34,2783.0,82.0,81.4,30.9,32,84.0,24.0,2,45.0,3,2.0,77.0,38.0,39.0,1.26,-0.29,66.1,31.6,34.5,1.12,0.03,5.0,0.0,0.0,32.0,37.0,0.0,3.0,49.0,23.0,0.0,1.0,0.0,199.0,104.0,45.0,69.8
Robin Gosens,de GER,DF,25.0,29.1,9.0,52.0,19.0,36.5,1.79,0.65,0.17,0.47,14.9,0.0,0.0,0.0,5.9,5.9,0.11,3.1,3.1,1158.0,1508.0,76.8,16627.0,5974.0,672.0,779.0,86.3,352.0,473.0,74.4,72.0,138.0,52.2,7.0,3.8,3.3,3.2,40.0,85.0,45.0,13.0,125.0,1508.0,1353.0,153.0,12.0,1.0,6.0,74.0,140.0,0.0,0.0,0.0,0.0,1158.0,2.0,34.0,84.0,2.89,65.0,4.0,3.0,5.0,3.0,4.0,13.0,0.45,11.0,0.0,0.0,1.0,0.0,1.0,53.0,27.0,19.0,26.0,8.0,23.0,51.0,45.1,28.0,38.0,10.0,28.0,39.0,92.0,40.0,0.0,1842.0,46.0,375.0,812.0,669.0,109.0,1842.0,41.0,17.0,41.5,24.0,58.5,1036.0,4741.0,2756.0,90.0,55.0,19.0,39.0,11.0,1228.0,198.0,34,2617.0,77.0,76.5,29.1,31,82.0,17.0,3,20.0,3,2.06,78.0,36.0,42.0,1.44,0.55,64.5,30.7,33.8,1.16,0.22,3.0,0.0,0.0,30.0,38.0,6.0,74.0,39.0,27.0,0.0,0.0,0.0,148.0,47.0,23.0,67.1
Mario Pašalić,hr CRO,MF,24.0,26.9,9.0,58.0,17.0,29.3,2.16,0.63,0.16,0.53,12.7,0.0,0.0,0.0,9.5,9.5,0.16,-0.5,-0.5,1246.0,1426.0,87.4,22144.0,5011.0,564.0,643.0,87.7,488.0,535.0,91.2,155.0,174.0,89.1,5.0,3.9,2.8,1.1,42.0,118.0,28.0,2.0,176.0,1426.0,1393.0,28.0,20.0,0.0,15.0,13.0,4.0,1.0,0.0,0.0,0.0,1246.0,5.0,13.0,82.0,3.05,71.0,0.0,2.0,8.0,0.0,1.0,11.0,0.41,8.0,0.0,1.0,2.0,0.0,0.0,47.0,21.0,17.0,18.0,12.0,16.0,52.0,30.8,36.0,27.0,7.0,20.0,27.0,74.0,22.0,2.0,1712.0,41.0,257.0,973.0,497.0,101.0,1712.0,36.0,21.0,58.3,15.0,41.7,1164.0,5535.0,2328.0,50.0,39.0,9.0,44.0,24.0,1300.0,88.0,35,2417.0,69.0,70.7,26.9,30,76.0,16.0,5,25.0,2,1.97,66.0,35.0,31.0,1.15,-0.55,56.2,28.3,27.9,1.04,-0.25,6.0,0.0,0.0,34.0,24.0,1.0,13.0,27.0,21.0,0.0,0.0,1.0,156.0,45.0,51.0,46.9
Marten de Roon,nl NED,"MF,DF",28.0,30.2,2.0,31.0,5.0,16.1,1.03,0.17,0.06,0.4,23.1,0.0,0.0,0.0,1.2,1.2,0.04,0.8,0.8,1764.0,2046.0,86.2,29347.0,9022.0,867.0,948.0,91.5,704.0,769.0,91.5,144.0,226.0,63.7,5.0,1.8,1.7,3.2,34.0,175.0,25.0,6.0,211.0,2046.0,1973.0,67.0,43.0,0.0,21.0,19.0,24.0,0.0,0.0,0.0,0.0,1764.0,6.0,28.0,76.0,2.51,70.0,2.0,0.0,1.0,1.0,2.0,10.0,0.33,10.0,0.0,0.0,0.0,0.0,0.0,77.0,43.0,36.0,29.0,12.0,34.0,75.0,45.3,41.0,32.0,8.0,24.0,46.0,123.0,45.0,0.0,2332.0,81.0,485.0,1406.0,452.0,17.0,2332.0,16.0,9.0,56.3,7.0,43.8,1434.0,5909.0,2885.0,36.0,37.0,0.0,21.0,9.0,1630.0,46.0,35,2721.0,78.0,79.6,30.2,29,87.0,27.0,6,31.0,1,2.06,82.0,41.0,41.0,1.36,0.2,69.1,34.6,34.5,1.14,0.15,12.0,0.0,0.0,60.0,20.0,1.0,19.0,46.0,43.0,0.0,2.0,1.0,187.0,47.0,32.0,59.5
Rafael Tolói,it ITA,DF,28.0,29.0,2.0,27.0,9.0,33.3,0.93,0.31,0.07,0.22,14.0,0.0,0.0,0.0,3.1,3.1,0.12,-1.1,-1.1,1374.0,1704.0,80.6,24569.0,9862.0,573.0,639.0,89.7,617.0,721.0,85.6,142.0,248.0,57.3,6.0,2.3,1.6,3.7,17.0,131.0,10.0,0.0,166.0,1704.0,1625.0,72.0,37.0,1.0,13.0,13.0,35.0,0.0,0.0,0.0,0.0,1374.0,7.0,34.0,53.0,1.83,43.0,4.0,0.0,4.0,1.0,1.0,10.0,0.35,7.0,0.0,0.0,1.0,1.0,1.0,56.0,29.0,28.0,23.0,5.0,33.0,76.0,43.4,43.0,31.0,17.0,14.0,45.0,101.0,80.0,0.0,1989.0,144.0,692.0,1061.0,246.0,41.0,1989.0,17.0,10.0,58.8,7.0,41.2,1235.0,5947.0,3431.0,36.0,34.0,3.0,16.0,8.0,1291.0,38.0,33,2608.0,79.0,76.3,29.0,29,88.0,27.0,4,11.0,2,1.97,67.0,39.0,28.0,0.97,-1.47,62.3,30.6,31.7,1.09,-0.07,11.0,0.0,0.0,36.0,17.0,2.0,13.0,45.0,29.0,1.0,0.0,0.0,210.0,49.0,37.0,57.0
José Luis Palomino,ar ARG,DF,29.0,27.6,2.0,16.0,3.0,18.8,0.58,0.11,0.13,0.67,10.9,0.0,0.0,0.0,3.2,3.2,0.2,-1.2,-1.2,1162.0,1384.0,84.0,21602.0,7273.0,411.0,462.0,89.0,594.0,652.0,91.1,126.0,200.0,63.0,1.0,1.4,1.2,-0.4,6.0,60.0,6.0,3.0,77.0,1384.0,1286.0,93.0,66.0,0.0,5.0,7.0,27.0,0.0,0.0,0.0,0.0,1162.0,5.0,16.0,22.0,0.8,19.0,1.0,1.0,1.0,0.0,0.0,3.0,0.11,2.0,0.0,1.0,0.0,0.0,0.0,81.0,44.0,46.0,33.0,2.0,28.0,54.0,51.9,26.0,39.0,14.0,25.0,61.0,142.0,74.0,2.0,1707.0,162.0,774.0,883.0,69.0,23.0,1707.0,8.0,7.0,87.5,1.0,12.5,875.0,4360.0,1725.0,9.0,4.0,1.0,20.0,4.0,901.0,8.0,30,2480.0,83.0,72.5,27.6,28,86.0,24.0,2,32.0,5,2.07,68.0,34.0,34.0,1.23,-0.3,61.6,31.5,30.2,1.1,-0.06,5.0,0.0,0.0,48.0,19.0,1.0,7.0,61.0,44.0,0.0,1.0,1.0,199.0,83.0,43.0,65.9
Remo Freuler,ch SUI,MF,27.0,26.0,2.0,19.0,7.0,36.8,0.73,0.27,0.11,0.29,18.4,0.0,0.0,0.0,1.6,1.6,0.1,0.4,0.4,1449.0,1664.0,87.1,21945.0,6079.0,775.0,842.0,92.0,549.0,614.0,89.4,66.0,108.0,61.1,2.0,2.5,2.1,-0.5,26.0,147.0,30.0,3.0,172.0,1664.0,1565.0,99.0,74.0,1.0,6.0,30.0,21.0,4.0,0.0,0.0,0.0,1449.0,0.0,23.0,73.0,2.81,61.0,3.0,2.0,3.0,2.0,2.0,9.0,0.35,5.0,0.0,1.0,2.0,0.0,1.0,51.0,30.0,18.0,25.0,8.0,22.0,63.0,34.9,41.0,41.0,6.0,35.0,28.0,79.0,26.0,0.0,1914.0,44.0,314.0,1120.0,495.0,40.0,1914.0,26.0,14.0,53.8,11.0,42.3,1214.0,6279.0,3258.0,54.0,48.0,5.0,33.0,19.0,1332.0,60.0,31,2337.0,75.0,68.3,26.0,28,81.0,18.0,3,27.0,7,2.13,65.0,31.0,34.0,1.31,-0.02,54.5,30.2,24.3,0.94,-0.56,3.0,0.0,0.0,40.0,34.0,0.0,30.0,28.0,30.0,0.0,0.0,0.0,161.0,14.0,25.0,35.9
Hans Hateboer,nl NED,DF,25.0,26.2,0.0,19.0,3.0,15.8,0.73,0.11,0.0,0.0,13.1,0.0,0.0,0.0,2.3,2.3,0.12,-2.3,-2.3,1195.0,1438.0,83.1,15396.0,4652.0,761.0,827.0,92.0,310.0,393.0,78.9,43.0,68.0,63.2,4.0,4.5,3.4,-0.5,44.0,45.0,27.0,21.0,70.0,1438.0,1223.0,213.0,16.0,0.0,5.0,76.0,196.0,1.0,1.0,0.0,0.0,1195.0,2.0,43.0,95.0,3.63,82.0,7.0,3.0,3.0,0.0,0.0,11.0,0.42,10.0,1.0,0.0,0.0,0.0,0.0,36.0,23.0,20.0,9.0,7.0,18.0,38.0,47.4,20.0,22.0,7.0,15.0,10.0,46.0,32.0,1.0,1655.0,46.0,301.0,716.0,646.0,69.0,1655.0,26.0,11.0,42.3,15.0,57.7,974.0,4925.0,2946.0,81.0,49.0,14.0,28.0,18.0,1152.0,216.0,32,2356.0,74.0,68.9,26.2,25,87.0,22.0,7,27.0,4,2.03,71.0,34.0,37.0,1.41,0.31,62.5,29.3,33.2,1.27,0.5,10.0,0.0,0.0,44.0,18.0,7.0,76.0,10.0,23.0,0.0,1.0,0.0,89.0,30.0,27.0,52.6
