player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Stefano Sabelli,it ITA,DF,26.0,35.2,0.0,13.0,4.0,30.8,0.37,0.11,0.0,0.0,23.8,2.0,0.0,0.0,0.5,0.5,0.04,-0.5,-0.5,1412.0,1971.0,71.6,24219.0,12117.0,663.0,758.0,87.5,578.0,765.0,75.6,128.0,315.0,40.6,3.0,4.3,4.5,-1.3,41.0,155.0,50.0,19.0,215.0,1971.0,1518.0,442.0,63.0,2.0,19.0,89.0,378.0,1.0,0.0,1.0,0.0,1412.0,11.0,46.0,72.0,2.05,52.0,7.0,2.0,1.0,9.0,1.0,4.0,0.11,3.0,0.0,0.0,0.0,1.0,0.0,83.0,44.0,51.0,28.0,4.0,50.0,106.0,47.2,56.0,40.0,13.0,27.0,58.0,141.0,107.0,0.0,2394.0,137.0,834.0,1062.0,528.0,20.0,2394.0,41.0,26.0,63.4,15.0,36.6,1110.0,6651.0,4647.0,103.0,78.0,2.0,46.0,13.0,1268.0,89.0,36,3168.0,88.0,92.6,35.2,36,88.0,34.0,0,,1,0.69,31.0,68.0,-37.0,-1.05,1.45,39.9,68.4,-28.5,-0.81,0.14,5.0,0.0,0.0,34.0,79.0,0.0,89.0,58.0,44.0,0.0,0.0,1.0,205.0,34.0,24.0,58.6
Sandro Tonali,it ITA,MF,19.0,33.5,1.0,29.0,7.0,24.1,0.87,0.21,0.03,0.14,28.4,10.0,0.0,0.0,1.2,1.2,0.04,-0.2,-0.2,1110.0,1565.0,70.9,22165.0,8343.0,424.0,507.0,83.6,431.0,556.0,77.5,217.0,396.0,54.8,7.0,6.3,5.7,0.7,68.0,143.0,25.0,8.0,181.0,1565.0,1209.0,344.0,177.0,2.0,29.0,185.0,3.0,129.0,35.0,68.0,0.0,1110.0,12.0,26.0,135.0,4.03,59.0,58.0,5.0,3.0,9.0,1.0,11.0,0.33,3.0,7.0,0.0,0.0,0.0,1.0,39.0,25.0,16.0,20.0,3.0,16.0,55.0,29.1,39.0,36.0,14.0,22.0,41.0,80.0,42.0,0.0,1868.0,95.0,428.0,1043.0,429.0,14.0,1868.0,50.0,39.0,78.0,11.0,22.0,876.0,5159.0,2805.0,45.0,38.0,6.0,50.0,32.0,998.0,38.0,35,3014.0,86.0,88.1,33.5,34,88.0,28.0,1,34.0,0,0.71,32.0,61.0,-29.0,-0.87,2.46,38.8,64.5,-25.7,-0.77,0.44,9.0,0.0,0.0,42.0,60.0,0.0,185.0,41.0,25.0,0.0,1.0,0.0,226.0,10.0,16.0,38.5
Jesse Joronen,fi FIN,GK,26.0,29.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,586.0,855.0,68.5,17057.0,12351.0,120.0,120.0,100.0,258.0,263.0,98.1,205.0,466.0,44.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,855.0,437.0,417.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0,1.0,2.0,4.0,0.14,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.03,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,6.0,9.0,22.0,0.0,963.0,841.0,961.0,2.0,0.0,0.0,963.0,0.0,0.0,,0.0,,380.0,2799.0,2021.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0,29,2610.0,90.0,76.3,29.0,29,90.0,29.0,0,,2,0.72,27.0,59.0,-32.0,-1.1,0.23,29.8,57.6,-27.9,-0.96,-0.59,1.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,18.0,7.0,1.0,87.5
Aleš Matějů,cz CZE,DF,23.0,28.3,0.0,6.0,4.0,66.7,0.21,0.14,0.0,0.0,14.5,0.0,0.0,0.0,0.4,0.4,0.06,-0.4,-0.4,939.0,1158.0,81.1,16054.0,6493.0,437.0,508.0,86.0,380.0,446.0,85.2,92.0,149.0,61.7,1.0,0.9,1.1,0.1,9.0,47.0,10.0,4.0,80.0,1158.0,1006.0,150.0,30.0,0.0,17.0,16.0,120.0,0.0,0.0,0.0,0.0,939.0,2.0,19.0,21.0,0.74,15.0,3.0,0.0,0.0,2.0,1.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,48.0,27.0,33.0,9.0,6.0,23.0,45.0,51.1,22.0,41.0,24.0,17.0,37.0,85.0,109.0,3.0,1447.0,201.0,729.0,592.0,141.0,15.0,1447.0,15.0,15.0,100.0,0.0,0.0,697.0,4199.0,2367.0,25.0,16.0,0.0,18.0,9.0,749.0,30.0,31,2548.0,82.0,74.5,28.3,28,87.0,25.0,3,36.0,3,0.65,29.0,55.0,-26.0,-0.92,0.94,34.3,51.6,-17.4,-0.61,0.81,10.0,1.0,1.0,46.0,29.0,1.0,16.0,37.0,27.0,0.0,3.0,1.0,149.0,47.0,36.0,56.6
Jhon Chancellor,ve VEN,DF,27.0,24.9,3.0,13.0,3.0,23.1,0.52,0.12,0.23,1.0,8.1,0.0,0.0,0.0,2.4,2.4,0.18,0.6,0.6,751.0,878.0,85.5,15064.0,5117.0,228.0,258.0,88.4,410.0,452.0,90.7,104.0,137.0,75.9,0.0,0.0,0.1,0.0,0.0,7.0,1.0,0.0,30.0,878.0,846.0,27.0,27.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,751.0,5.0,10.0,8.0,0.32,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,14.0,22.0,8.0,0.0,11.0,22.0,50.0,11.0,34.0,29.0,5.0,34.0,64.0,145.0,3.0,1173.0,259.0,739.0,409.0,30.0,22.0,1173.0,6.0,5.0,83.3,1.0,16.7,573.0,3062.0,1424.0,1.0,2.0,0.0,13.0,4.0,641.0,1.0,26,2244.0,86.0,65.6,24.9,26,86.0,24.0,0,,4,0.62,22.0,49.0,-27.0,-1.08,0.22,26.9,47.5,-20.6,-0.83,-0.02,3.0,0.0,0.0,21.0,7.0,3.0,0.0,34.0,14.0,0.0,0.0,1.0,103.0,61.0,41.0,59.8
Dimitri Bisoli,it ITA,MF,25.0,23.9,1.0,25.0,9.0,36.0,1.05,0.38,0.04,0.11,13.3,0.0,0.0,0.0,2.3,2.3,0.09,-1.3,-1.3,494.0,785.0,62.9,7145.0,3352.0,281.0,347.0,81.0,150.0,246.0,61.0,27.0,75.0,36.0,1.0,2.2,2.7,-1.2,20.0,55.0,28.0,11.0,93.0,785.0,751.0,25.0,1.0,1.0,6.0,64.0,20.0,0.0,0.0,0.0,0.0,494.0,9.0,36.0,47.0,1.97,35.0,0.0,4.0,3.0,4.0,1.0,3.0,0.13,2.0,0.0,0.0,0.0,1.0,0.0,64.0,35.0,34.0,20.0,10.0,30.0,49.0,61.2,19.0,41.0,7.0,34.0,25.0,89.0,49.0,0.0,1092.0,62.0,269.0,459.0,377.0,63.0,1092.0,29.0,20.0,69.0,9.0,31.0,528.0,2483.0,1250.0,30.0,27.0,5.0,40.0,34.0,623.0,127.0,25,2152.0,86.0,62.9,23.9,24,89.0,21.0,1,27.0,0,0.6,20.0,44.0,-24.0,-1.0,0.42,26.6,40.4,-13.8,-0.58,0.65,6.0,0.0,0.0,38.0,46.0,6.0,64.0,25.0,35.0,0.0,0.0,0.0,143.0,28.0,37.0,43.1
Daniele Dessena,it ITA,MF,32.0,20.8,2.0,18.0,5.0,27.8,0.87,0.24,0.11,0.4,15.1,0.0,0.0,0.0,1.9,1.9,0.11,0.1,0.1,545.0,690.0,79.0,9073.0,2830.0,270.0,304.0,88.8,205.0,244.0,84.0,46.0,96.0,47.9,0.0,0.3,0.5,-0.3,3.0,64.0,10.0,2.0,96.0,690.0,668.0,20.0,7.0,2.0,10.0,19.0,9.0,0.0,0.0,0.0,0.0,545.0,2.0,12.0,25.0,1.2,21.0,0.0,0.0,2.0,2.0,0.0,3.0,0.14,1.0,0.0,0.0,0.0,2.0,0.0,21.0,11.0,5.0,14.0,2.0,6.0,25.0,24.0,19.0,11.0,1.0,10.0,11.0,32.0,21.0,0.0,849.0,27.0,160.0,530.0,171.0,24.0,849.0,23.0,12.0,52.2,11.0,47.8,484.0,2630.0,1247.0,21.0,14.0,2.0,30.0,20.0,556.0,44.0,24,1869.0,78.0,54.6,20.8,22,81.0,13.0,2,45.0,0,0.63,22.0,40.0,-18.0,-0.87,0.64,23.4,39.3,-16.0,-0.77,0.11,7.0,1.0,1.0,26.0,20.0,0.0,19.0,11.0,11.0,2.0,1.0,0.0,98.0,22.0,30.0,42.3
Ernesto Torregrossa,ve VEN,FW,27.0,20.5,7.0,61.0,21.0,34.4,2.98,1.02,0.08,0.24,17.1,1.0,2.0,2.0,8.1,6.6,0.11,-1.1,-1.6,313.0,493.0,63.5,4393.0,1047.0,181.0,254.0,71.3,66.0,106.0,62.3,29.0,48.0,60.4,3.0,2.9,1.7,0.1,20.0,22.0,16.0,0.0,45.0,493.0,470.0,20.0,8.0,5.0,11.0,13.0,3.0,1.0,0.0,0.0,0.0,313.0,3.0,19.0,69.0,3.37,39.0,4.0,4.0,10.0,12.0,0.0,10.0,0.49,6.0,0.0,0.0,4.0,0.0,0.0,17.0,7.0,5.0,10.0,2.0,6.0,22.0,27.3,16.0,10.0,2.0,8.0,5.0,22.0,22.0,0.0,796.0,26.0,60.0,340.0,403.0,93.0,794.0,60.0,31.0,51.7,29.0,48.3,540.0,3055.0,1143.0,36.0,28.0,15.0,80.0,42.0,668.0,154.0,25,1844.0,74.0,53.9,20.5,22,79.0,11.0,3,38.0,0,0.68,21.0,46.0,-25.0,-1.22,-0.14,26.6,42.7,-16.2,-0.79,0.07,8.0,0.0,0.0,49.0,82.0,16.0,13.0,5.0,7.0,0.0,0.0,0.0,47.0,60.0,93.0,39.2
Andrea Cistana,it ITA,DF,22.0,20.4,1.0,6.0,2.0,33.3,0.29,0.1,0.17,0.5,11.6,0.0,0.0,0.0,0.4,0.4,0.07,0.6,0.6,694.0,829.0,83.7,13986.0,5108.0,197.0,221.0,89.1,392.0,429.0,91.4,93.0,141.0,66.0,0.0,0.4,0.3,-0.4,3.0,28.0,4.0,0.0,42.0,829.0,779.0,49.0,43.0,1.0,5.0,4.0,6.0,0.0,0.0,0.0,0.0,694.0,1.0,11.0,8.0,0.39,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,13.0,7.0,0.0,6.0,17.0,35.3,11.0,38.0,34.0,4.0,33.0,53.0,96.0,1.0,1058.0,198.0,596.0,427.0,42.0,16.0,1058.0,3.0,2.0,66.7,1.0,33.3,499.0,3232.0,2130.0,14.0,3.0,0.0,8.0,1.0,593.0,4.0,21,1838.0,88.0,53.7,20.4,21,88.0,20.0,0,,2,0.62,17.0,35.0,-18.0,-0.88,0.6,22.1,36.2,-14.1,-0.69,0.28,7.0,1.0,0.0,24.0,14.0,1.0,4.0,33.0,8.0,0.0,2.0,0.0,89.0,47.0,46.0,50.5
Alfredo Donnarumma,it ITA,FW,28.0,18.7,7.0,40.0,13.0,32.5,2.14,0.69,0.13,0.38,16.4,0.0,2.0,2.0,6.8,5.2,0.13,0.2,-0.2,296.0,437.0,67.7,4290.0,996.0,152.0,207.0,73.4,92.0,121.0,76.0,17.0,29.0,58.6,2.0,0.9,1.3,1.1,14.0,29.0,14.0,0.0,52.0,437.0,399.0,35.0,0.0,1.0,4.0,7.0,3.0,0.0,0.0,0.0,0.0,296.0,3.0,20.0,48.0,2.56,34.0,0.0,3.0,3.0,5.0,3.0,5.0,0.27,4.0,0.0,0.0,0.0,1.0,0.0,17.0,9.0,3.0,9.0,5.0,6.0,18.0,33.3,12.0,7.0,0.0,7.0,5.0,22.0,1.0,0.0,585.0,1.0,33.0,271.0,289.0,102.0,583.0,21.0,11.0,52.4,10.0,47.6,352.0,1561.0,718.0,28.0,19.0,14.0,36.0,28.0,444.0,129.0,31,1684.0,54.0,49.2,18.7,20,75.0,9.0,11,17.0,4,0.71,19.0,43.0,-24.0,-1.28,-0.25,21.8,34.7,-12.9,-0.69,0.26,1.0,0.0,0.0,18.0,34.0,11.0,7.0,5.0,9.0,0.0,0.0,0.0,45.0,12.0,37.0,24.5
