player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
João Pedro,it ITA,"FW,MF",27.0,35.0,18.0,81.0,32.0,39.5,2.31,0.91,0.17,0.44,16.1,3.0,4.0,6.0,13.7,8.9,0.11,4.3,5.1,624.0,829.0,75.3,11171.0,1926.0,308.0,381.0,80.8,219.0,282.0,77.7,77.0,102.0,75.5,4.0,3.2,2.1,0.8,34.0,46.0,18.0,2.0,65.0,829.0,788.0,37.0,6.0,5.0,14.0,15.0,13.0,4.0,1.0,3.0,0.0,624.0,4.0,20.0,78.0,2.23,56.0,2.0,3.0,8.0,8.0,1.0,12.0,0.34,8.0,0.0,1.0,2.0,1.0,0.0,17.0,11.0,5.0,7.0,5.0,4.0,24.0,16.7,20.0,35.0,8.0,27.0,9.0,26.0,39.0,0.0,1210.0,47.0,149.0,559.0,518.0,137.0,1205.0,52.0,25.0,48.1,27.0,51.9,673.0,3606.0,1498.0,49.0,39.0,12.0,87.0,36.0,892.0,196.0,36,3151.0,88.0,92.1,35.0,35,89.0,29.0,1,45.0,0,1.25,51.0,49.0,2.0,0.06,2.06,39.9,54.3,-14.4,-0.41,0.52,6.0,0.0,0.0,47.0,76.0,9.0,15.0,9.0,11.0,1.0,1.0,0.0,102.0,77.0,97.0,44.3
Giovanni Simeone,ar ARG,FW,24.0,32.5,12.0,87.0,30.0,34.5,2.68,0.92,0.14,0.4,15.1,0.0,0.0,0.0,11.8,11.8,0.14,0.2,0.2,324.0,484.0,66.9,4455.0,624.0,207.0,275.0,75.3,96.0,139.0,69.1,11.0,19.0,57.9,3.0,2.3,1.7,0.7,18.0,5.0,13.0,2.0,19.0,484.0,430.0,54.0,0.0,3.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,324.0,0.0,22.0,40.0,1.23,22.0,0.0,7.0,5.0,5.0,1.0,4.0,0.12,2.0,0.0,0.0,0.0,1.0,1.0,24.0,13.0,9.0,10.0,5.0,5.0,32.0,15.6,27.0,24.0,7.0,17.0,11.0,35.0,16.0,1.0,887.0,21.0,73.0,390.0,437.0,126.0,887.0,65.0,32.0,49.2,33.0,50.8,543.0,3183.0,981.0,41.0,27.0,20.0,112.0,50.0,637.0,189.0,37,2924.0,79.0,85.5,32.5,34,83.0,18.0,3,38.0,0,1.22,44.0,41.0,3.0,0.09,1.36,37.3,45.6,-8.3,-0.26,1.36,4.0,0.0,0.0,55.0,52.0,23.0,16.0,11.0,13.0,1.0,0.0,0.0,55.0,45.0,133.0,25.3
Nahitan Nández,uy URU,"MF,DF",23.0,32.2,2.0,26.0,9.0,34.6,0.81,0.28,0.08,0.22,18.9,0.0,0.0,0.0,1.7,1.7,0.06,0.3,0.3,1003.0,1349.0,74.4,16705.0,5277.0,514.0,589.0,87.3,362.0,473.0,76.5,97.0,184.0,52.7,3.0,4.4,3.8,-1.4,36.0,98.0,44.0,18.0,134.0,1349.0,1273.0,71.0,15.0,2.0,14.0,113.0,56.0,0.0,0.0,0.0,0.0,1003.0,5.0,36.0,96.0,2.98,76.0,3.0,9.0,2.0,5.0,1.0,7.0,0.22,6.0,0.0,1.0,0.0,0.0,0.0,58.0,38.0,37.0,17.0,4.0,25.0,69.0,36.2,44.0,30.0,1.0,29.0,25.0,83.0,26.0,0.0,1659.0,42.0,308.0,777.0,603.0,60.0,1659.0,75.0,39.0,52.0,36.0,48.0,1002.0,6204.0,3112.0,83.0,72.0,15.0,44.0,40.0,1135.0,189.0,35,2898.0,83.0,84.7,32.2,32,87.0,26.0,3,33.0,0,1.2,40.0,46.0,-6.0,-0.19,-0.53,36.1,50.1,-14.0,-0.43,0.12,14.0,0.0,0.0,46.0,48.0,7.0,113.0,25.0,38.0,0.0,0.0,0.0,171.0,25.0,66.0,27.5
Fabio Pisacane,it ITA,DF,33.0,27.1,1.0,7.0,1.0,14.3,0.26,0.04,0.14,1.0,10.8,0.0,0.0,0.0,0.6,0.6,0.09,0.4,0.4,971.0,1107.0,87.7,19388.0,6460.0,284.0,306.0,92.8,555.0,607.0,91.4,125.0,174.0,71.8,0.0,0.2,0.2,-0.2,4.0,21.0,3.0,0.0,50.0,1107.0,1066.0,41.0,22.0,0.0,4.0,9.0,18.0,0.0,0.0,0.0,0.0,971.0,0.0,5.0,14.0,0.52,13.0,0.0,1.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,32.0,21.0,22.0,10.0,0.0,21.0,37.0,56.8,16.0,36.0,28.0,8.0,27.0,59.0,110.0,2.0,1370.0,228.0,820.0,495.0,64.0,11.0,1370.0,10.0,5.0,50.0,5.0,50.0,753.0,4187.0,1996.0,13.0,12.0,0.0,19.0,3.0,824.0,9.0,30,2442.0,81.0,71.4,27.1,28,86.0,22.0,2,17.0,5,1.2,41.0,42.0,-1.0,-0.04,0.24,29.0,41.0,-12.0,-0.44,0.03,8.0,1.0,1.0,33.0,23.0,2.0,9.0,27.0,21.0,0.0,1.0,0.0,150.0,51.0,51.0,50.0
Marko Rog,hr CRO,MF,24.0,25.7,1.0,30.0,8.0,26.7,1.17,0.31,0.03,0.13,24.5,1.0,0.0,0.0,1.9,1.9,0.06,-0.9,-0.9,990.0,1185.0,83.5,15818.0,4053.0,518.0,575.0,90.1,376.0,428.0,87.9,70.0,109.0,64.2,1.0,2.1,1.3,-1.1,30.0,96.0,9.0,3.0,119.0,1185.0,1109.0,70.0,36.0,3.0,12.0,42.0,4.0,28.0,13.0,12.0,0.0,990.0,6.0,25.0,83.0,3.22,55.0,7.0,7.0,6.0,6.0,2.0,8.0,0.31,6.0,0.0,0.0,2.0,0.0,0.0,69.0,47.0,31.0,29.0,9.0,22.0,84.0,26.2,62.0,40.0,12.0,28.0,22.0,91.0,23.0,0.0,1486.0,36.0,302.0,810.0,399.0,30.0,1486.0,82.0,53.0,64.6,29.0,35.4,823.0,5296.0,3117.0,82.0,75.0,8.0,41.0,37.0,953.0,78.0,30,2317.0,77.0,67.7,25.7,28,82.0,14.0,2,12.0,1,1.43,42.0,41.0,1.0,0.04,0.45,27.6,39.5,-11.9,-0.46,-0.02,10.0,0.0,0.0,61.0,43.0,0.0,42.0,22.0,47.0,0.0,1.0,0.0,162.0,19.0,17.0,52.8
Ragnar Klavan,ee EST,DF,33.0,26.2,0.0,4.0,0.0,0.0,0.15,0.0,0.0,,18.3,0.0,0.0,0.0,0.2,0.2,0.06,-0.2,-0.2,1086.0,1222.0,88.9,21605.0,8054.0,339.0,355.0,95.5,612.0,655.0,93.4,128.0,187.0,68.4,0.0,1.1,0.4,-1.1,5.0,63.0,1.0,0.0,77.0,1222.0,1182.0,38.0,33.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,1086.0,2.0,6.0,11.0,0.42,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,16.0,20.0,9.0,0.0,14.0,28.0,50.0,14.0,29.0,19.0,10.0,25.0,54.0,118.0,1.0,1461.0,234.0,830.0,606.0,30.0,6.0,1461.0,4.0,4.0,100.0,0.0,0.0,817.0,5165.0,3097.0,16.0,9.0,0.0,8.0,3.0,972.0,2.0,31,2354.0,76.0,68.8,26.2,26,88.0,24.0,5,11.0,3,1.16,35.0,41.0,-6.0,-0.23,-0.4,30.7,43.1,-12.3,-0.47,-0.06,4.0,0.0,0.0,24.0,6.0,0.0,0.0,25.0,16.0,0.0,0.0,1.0,103.0,27.0,31.0,46.6
Radja Nainggolan,be BEL,MF,31.0,23.0,6.0,65.0,20.0,30.8,2.82,0.87,0.09,0.3,26.0,4.0,0.0,0.0,2.9,2.9,0.04,3.1,3.1,859.0,1139.0,75.4,18078.0,4380.0,301.0,366.0,82.2,369.0,454.0,81.3,175.0,251.0,69.7,7.0,6.3,4.6,0.7,49.0,106.0,41.0,13.0,157.0,1139.0,1068.0,61.0,24.0,6.0,33.0,82.0,11.0,16.0,4.0,10.0,0.0,859.0,10.0,27.0,91.0,3.95,74.0,5.0,5.0,6.0,0.0,1.0,10.0,0.43,7.0,0.0,1.0,2.0,0.0,0.0,30.0,18.0,9.0,12.0,9.0,9.0,29.0,31.0,20.0,25.0,6.0,19.0,13.0,43.0,30.0,0.0,1420.0,42.0,189.0,728.0,526.0,37.0,1420.0,64.0,39.0,60.9,25.0,39.1,821.0,5096.0,2326.0,62.0,57.0,10.0,51.0,43.0,1016.0,98.0,26,2071.0,80.0,60.6,23.0,25,82.0,13.0,1,23.0,0,1.12,36.0,34.0,2.0,0.09,0.49,28.6,36.7,-8.2,-0.35,0.25,5.0,0.0,0.0,20.0,29.0,0.0,82.0,13.0,18.0,0.0,0.0,0.0,135.0,15.0,23.0,39.5
Luca Pellegrini,it ITA,DF,20.0,21.2,0.0,14.0,5.0,35.7,0.66,0.24,0.0,0.0,22.9,1.0,0.0,0.0,0.8,0.8,0.06,-0.8,-0.8,775.0,1087.0,71.3,13586.0,5255.0,352.0,406.0,86.7,350.0,455.0,76.9,62.0,166.0,37.3,5.0,2.4,2.1,2.6,22.0,46.0,27.0,15.0,62.0,1087.0,879.0,205.0,20.0,0.0,10.0,114.0,184.0,1.0,1.0,0.0,0.0,775.0,3.0,36.0,52.0,2.45,39.0,5.0,4.0,1.0,3.0,0.0,9.0,0.42,7.0,1.0,0.0,0.0,1.0,0.0,31.0,15.0,20.0,7.0,4.0,15.0,38.0,39.5,23.0,19.0,2.0,17.0,21.0,52.0,45.0,2.0,1313.0,67.0,408.0,529.0,391.0,24.0,1313.0,50.0,30.0,60.0,20.0,40.0,665.0,4378.0,2552.0,63.0,52.0,10.0,36.0,22.0,769.0,99.0,24,1908.0,80.0,55.8,21.2,22,84.0,15.0,2,35.0,3,1.33,34.0,37.0,-3.0,-0.14,-0.08,25.4,30.0,-4.5,-0.21,0.54,10.0,0.0,0.0,32.0,22.0,0.0,114.0,21.0,15.0,1.0,1.0,0.0,122.0,18.0,19.0,48.6
Artur Ioniță,md MDA,MF,28.0,21.1,0.0,17.0,3.0,17.6,0.81,0.14,0.0,0.0,20.0,0.0,0.0,0.0,1.3,1.3,0.08,-1.3,-1.3,580.0,688.0,84.3,8737.0,2255.0,316.0,347.0,91.1,209.0,247.0,84.6,29.0,46.0,63.0,2.0,1.0,0.9,1.0,19.0,48.0,4.0,3.0,53.0,688.0,660.0,27.0,15.0,0.0,1.0,22.0,11.0,0.0,0.0,0.0,0.0,580.0,1.0,11.0,31.0,1.47,26.0,1.0,1.0,1.0,2.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,38.0,23.0,12.0,22.0,4.0,12.0,37.0,32.4,25.0,32.0,10.0,22.0,18.0,56.0,24.0,2.0,879.0,43.0,188.0,490.0,211.0,24.0,879.0,16.0,13.0,81.3,3.0,18.8,433.0,2486.0,1298.0,32.0,31.0,0.0,10.0,18.0,531.0,50.0,34,1897.0,56.0,55.5,21.1,21,80.0,10.0,13,16.0,3,1.18,20.0,31.0,-11.0,-0.52,-0.94,20.6,36.4,-15.9,-0.75,-0.68,6.0,0.0,0.0,45.0,14.0,1.0,22.0,18.0,23.0,0.0,0.0,0.0,103.0,39.0,59.0,39.8
Luca Cigarini,it ITA,MF,33.0,17.8,0.0,7.0,1.0,14.3,0.39,0.06,0.0,0.0,23.4,2.0,0.0,0.0,0.4,0.4,0.05,-0.4,-0.4,991.0,1240.0,79.9,18590.0,7328.0,423.0,461.0,91.8,419.0,481.0,87.1,136.0,265.0,51.3,4.0,3.1,2.3,0.9,43.0,139.0,11.0,1.0,144.0,1240.0,1072.0,165.0,104.0,1.0,12.0,83.0,1.0,60.0,22.0,25.0,1.0,991.0,3.0,7.0,74.0,4.17,49.0,22.0,0.0,0.0,2.0,1.0,11.0,0.62,8.0,2.0,0.0,0.0,1.0,0.0,37.0,20.0,23.0,13.0,1.0,16.0,40.0,40.0,24.0,28.0,10.0,18.0,20.0,57.0,29.0,0.0,1395.0,59.0,341.0,807.0,258.0,5.0,1395.0,8.0,7.0,87.5,1.0,12.5,671.0,2737.0,1528.0,17.0,18.0,2.0,18.0,9.0,899.0,23.0,22,1598.0,73.0,46.7,17.8,19,82.0,10.0,3,14.0,8,1.32,31.0,30.0,1.0,0.06,0.3,21.8,27.2,-5.4,-0.3,0.28,8.0,1.0,1.0,37.0,28.0,0.0,83.0,20.0,20.0,0.0,0.0,0.0,137.0,9.0,10.0,47.4
