player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Darko Lazović,rs SRB,DF,28.0,36.0,3.0,36.0,17.0,47.2,1.0,0.47,0.08,0.18,17.4,1.0,0.0,0.0,2.3,2.3,0.06,0.7,0.7,1229.0,1665.0,73.8,18145.0,7214.0,732.0,843.0,86.8,397.0,549.0,72.3,64.0,150.0,42.7,7.0,8.5,7.6,-1.5,54.0,67.0,78.0,18.0,172.0,1665.0,1342.0,313.0,9.0,1.0,2.0,135.0,288.0,16.0,14.0,1.0,0.0,1229.0,10.0,49.0,112.0,3.11,85.0,7.0,14.0,5.0,1.0,0.0,18.0,0.5,14.0,0.0,3.0,1.0,0.0,0.0,26.0,16.0,14.0,8.0,4.0,14.0,27.0,51.9,13.0,15.0,4.0,11.0,23.0,49.0,53.0,0.0,1962.0,85.0,358.0,851.0,764.0,106.0,1962.0,84.0,37.0,44.0,47.0,56.0,999.0,6307.0,3937.0,143.0,69.0,54.0,40.0,18.0,1219.0,321.0,38,3239.0,85.0,94.7,36.0,37,86.0,28.0,1,45.0,0,1.29,43.0,48.0,-5.0,-0.14,-0.64,47.2,48.4,-1.2,-0.03,0.98,4.0,0.0,0.0,11.0,15.0,20.0,135.0,23.0,16.0,0.0,1.0,0.0,184.0,20.0,24.0,45.5
Davide Faraoni,it ITA,DF,27.0,35.9,5.0,42.0,14.0,33.3,1.17,0.39,0.12,0.36,17.7,0.0,0.0,0.0,4.2,4.2,0.1,0.8,0.8,1214.0,1718.0,70.7,21204.0,8884.0,562.0,656.0,85.7,483.0,680.0,71.0,136.0,263.0,51.7,3.0,3.6,2.9,-0.6,33.0,98.0,58.0,18.0,149.0,1718.0,1391.0,321.0,23.0,1.0,9.0,130.0,290.0,8.0,0.0,8.0,0.0,1214.0,6.0,40.0,67.0,1.87,48.0,9.0,3.0,5.0,2.0,0.0,4.0,0.11,3.0,1.0,0.0,0.0,0.0,0.0,67.0,37.0,43.0,19.0,5.0,30.0,67.0,44.8,37.0,50.0,15.0,35.0,36.0,103.0,115.0,0.0,2166.0,175.0,563.0,960.0,659.0,62.0,2166.0,58.0,28.0,48.3,29.0,50.0,1006.0,4082.0,2098.0,47.0,45.0,7.0,44.0,15.0,1157.0,164.0,36,3228.0,90.0,94.4,35.9,36,90.0,35.0,0,,0,1.33,43.0,44.0,-1.0,-0.03,1.38,47.6,49.8,-2.2,-0.06,0.38,6.0,0.0,0.0,31.0,40.0,4.0,130.0,36.0,37.0,0.0,1.0,0.0,242.0,34.0,48.0,41.5
Amir Rrahmani,xk KVX,DF,25.0,35.9,0.0,43.0,13.0,30.2,1.2,0.36,0.0,0.0,13.7,0.0,0.0,0.0,3.5,3.5,0.08,-3.5,-3.5,1233.0,1555.0,79.3,22315.0,7979.0,490.0,556.0,88.1,599.0,705.0,85.0,121.0,231.0,52.4,1.0,0.9,0.5,0.1,15.0,95.0,3.0,0.0,127.0,1555.0,1472.0,78.0,35.0,1.0,5.0,15.0,43.0,0.0,0.0,0.0,0.0,1233.0,5.0,16.0,33.0,0.92,24.0,0.0,3.0,6.0,0.0,0.0,4.0,0.11,1.0,0.0,1.0,2.0,0.0,0.0,50.0,31.0,26.0,19.0,5.0,26.0,46.0,56.5,20.0,50.0,31.0,19.0,30.0,80.0,151.0,1.0,1942.0,240.0,847.0,925.0,184.0,58.0,1942.0,19.0,11.0,57.9,8.0,42.1,952.0,4632.0,2716.0,38.0,33.0,6.0,16.0,14.0,1095.0,27.0,36,3228.0,90.0,94.4,35.9,36,90.0,35.0,0,,1,1.28,43.0,49.0,-6.0,-0.17,-1.1,47.3,50.6,-3.4,-0.09,-0.17,5.0,0.0,0.0,50.0,17.0,1.0,15.0,30.0,31.0,0.0,0.0,0.0,213.0,114.0,42.0,73.1
Marco Silvestri,it ITA,GK,28.0,35.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,451.0,984.0,45.8,16255.0,14163.0,58.0,60.0,96.7,160.0,162.0,98.8,233.0,757.0,30.8,0.0,0.0,0.1,0.0,1.0,19.0,0.0,0.0,0.0,984.0,564.0,416.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.0,4.0,0.0,2.0,0.06,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,4.0,5.0,11.0,1.0,1091.0,1002.0,1091.0,1.0,0.0,0.0,1091.0,1.0,1.0,100.0,0.0,0.0,420.0,2622.0,1966.0,0.0,1.0,1.0,0.0,0.0,329.0,0.0,35,3150.0,90.0,92.1,35.0,35,90.0,35.0,0,,3,1.31,43.0,43.0,0.0,0.0,1.33,45.7,50.0,-4.2,-0.12,-0.47,2.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,48.0,9.0,0.0,100.0
Sofyan Amrabat,ma MAR,MF,22.0,32.4,1.0,18.0,6.0,33.3,0.55,0.18,0.0,0.0,22.7,0.0,1.0,1.0,2.0,1.3,0.07,-1.0,-1.3,1510.0,1738.0,86.9,28019.0,6557.0,578.0,645.0,89.6,713.0,774.0,92.1,170.0,223.0,76.2,1.0,2.4,2.0,-1.4,29.0,153.0,29.0,9.0,199.0,1738.0,1638.0,91.0,82.0,6.0,27.0,25.0,9.0,0.0,0.0,0.0,0.0,1510.0,9.0,16.0,81.0,2.5,72.0,1.0,4.0,0.0,3.0,1.0,7.0,0.22,6.0,0.0,0.0,0.0,1.0,0.0,58.0,36.0,26.0,21.0,11.0,26.0,55.0,47.3,29.0,29.0,10.0,19.0,31.0,89.0,15.0,1.0,2062.0,54.0,355.0,1357.0,395.0,22.0,2061.0,103.0,75.0,72.8,28.0,27.2,1388.0,10322.0,4827.0,84.0,67.0,5.0,57.0,56.0,1421.0,52.0,34,2919.0,86.0,85.4,32.4,33,87.0,22.0,1,42.0,0,1.29,40.0,46.0,-6.0,-0.18,-0.54,41.9,44.2,-2.2,-0.07,0.1,10.0,2.0,0.0,63.0,60.0,0.0,25.0,31.0,36.0,1.0,0.0,0.0,219.0,20.0,42.0,32.3
Miguel Veloso,pt POR,MF,33.0,31.2,3.0,36.0,7.0,19.4,1.15,0.22,0.08,0.43,26.8,10.0,0.0,0.0,2.1,2.1,0.06,0.9,0.9,1364.0,1793.0,76.1,24291.0,8281.0,594.0,670.0,88.7,561.0,678.0,82.7,158.0,334.0,47.3,4.0,4.9,4.3,-0.9,58.0,187.0,30.0,8.0,215.0,1793.0,1522.0,262.0,127.0,5.0,10.0,191.0,9.0,126.0,57.0,64.0,0.0,1364.0,9.0,31.0,110.0,3.52,67.0,33.0,3.0,6.0,0.0,1.0,7.0,0.22,4.0,3.0,0.0,0.0,0.0,0.0,52.0,29.0,20.0,28.0,4.0,18.0,60.0,30.0,42.0,36.0,12.0,24.0,32.0,84.0,46.0,1.0,2071.0,86.0,347.0,1265.0,482.0,11.0,2071.0,33.0,29.0,87.9,4.0,12.1,1013.0,6504.0,3346.0,71.0,48.0,3.0,26.0,15.0,1125.0,35.0,34,2811.0,83.0,82.2,31.2,32,86.0,25.0,2,33.0,0,1.35,36.0,38.0,-2.0,-0.06,0.23,40.2,43.2,-3.0,-0.1,-0.08,6.0,0.0,0.0,35.0,15.0,0.0,191.0,32.0,29.0,0.0,0.0,0.0,241.0,52.0,40.0,56.5
Koray Günter,de GER,DF,24.0,30.4,0.0,6.0,1.0,16.7,0.2,0.03,0.0,0.0,13.8,0.0,0.0,0.0,0.4,0.4,0.06,-0.4,-0.4,1178.0,1383.0,85.2,22377.0,8937.0,430.0,484.0,88.8,598.0,659.0,90.7,128.0,196.0,65.3,0.0,0.2,0.2,-0.2,2.0,57.0,4.0,1.0,86.0,1383.0,1332.0,47.0,40.0,0.0,10.0,2.0,7.0,0.0,0.0,0.0,0.0,1178.0,4.0,4.0,14.0,0.46,12.0,0.0,0.0,0.0,1.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,39.0,25.0,22.0,15.0,2.0,19.0,29.0,65.5,10.0,45.0,39.0,6.0,55.0,94.0,131.0,1.0,1708.0,207.0,832.0,846.0,38.0,16.0,1708.0,7.0,7.0,100.0,0.0,0.0,809.0,3267.0,1635.0,7.0,2.0,0.0,13.0,4.0,923.0,5.0,32,2733.0,85.0,79.9,30.4,31,88.0,28.0,1,4.0,4,1.25,37.0,41.0,-4.0,-0.13,-0.13,42.0,43.3,-1.3,-0.04,0.2,7.0,0.0,0.0,43.0,12.0,0.0,2.0,55.0,25.0,0.0,3.0,0.0,190.0,90.0,73.0,55.2
Matteo Pessina,it ITA,MF,22.0,27.7,7.0,30.0,12.0,40.0,1.08,0.43,0.23,0.58,15.7,0.0,0.0,0.0,4.9,4.9,0.16,2.1,2.1,1041.0,1344.0,77.5,15835.0,4776.0,554.0,654.0,84.7,366.0,457.0,80.1,66.0,101.0,65.3,0.0,1.7,2.2,-1.7,22.0,112.0,25.0,4.0,171.0,1344.0,1284.0,52.0,37.0,2.0,5.0,31.0,7.0,1.0,0.0,1.0,0.0,1041.0,8.0,28.0,59.0,2.13,47.0,2.0,1.0,4.0,5.0,0.0,3.0,0.11,2.0,0.0,1.0,0.0,0.0,0.0,35.0,21.0,9.0,20.0,6.0,12.0,33.0,36.4,21.0,28.0,8.0,20.0,25.0,60.0,40.0,2.0,1643.0,57.0,263.0,952.0,452.0,76.0,1643.0,45.0,25.0,55.6,20.0,44.4,992.0,4897.0,2436.0,48.0,54.0,9.0,60.0,32.0,1148.0,140.0,35,2489.0,71.0,72.8,27.7,27,85.0,21.0,8,25.0,0,1.29,38.0,38.0,0.0,0.0,0.39,39.4,39.6,-0.2,-0.01,0.29,7.0,0.0,0.0,34.0,53.0,6.0,31.0,25.0,21.0,0.0,0.0,0.0,166.0,78.0,124.0,38.6
Mattia Zaccagni,it ITA,"MF,FW",24.0,23.5,2.0,27.0,8.0,29.6,1.15,0.34,0.07,0.25,16.3,0.0,0.0,0.0,4.0,4.0,0.15,-2.0,-2.0,556.0,782.0,71.1,7623.0,2172.0,316.0,396.0,79.8,152.0,198.0,76.8,32.0,66.0,48.5,5.0,4.1,2.8,0.9,33.0,52.0,24.0,2.0,89.0,782.0,744.0,32.0,8.0,1.0,4.0,46.0,9.0,4.0,0.0,4.0,0.0,556.0,6.0,24.0,74.0,3.15,58.0,1.0,5.0,5.0,5.0,0.0,11.0,0.47,8.0,0.0,0.0,0.0,3.0,0.0,20.0,11.0,10.0,5.0,5.0,3.0,15.0,20.0,12.0,14.0,3.0,11.0,20.0,40.0,21.0,0.0,1024.0,24.0,137.0,436.0,472.0,76.0,1024.0,88.0,62.0,70.5,26.0,29.5,716.0,5256.0,2734.0,98.0,61.0,22.0,51.0,29.0,773.0,225.0,34,2114.0,62.0,61.8,23.5,26,72.0,7.0,8,30.0,2,1.24,22.0,32.0,-10.0,-0.43,-0.84,29.7,35.4,-5.7,-0.24,-0.42,5.0,0.0,0.0,33.0,80.0,11.0,46.0,20.0,11.0,3.0,0.0,0.0,93.0,30.0,45.0,40.0
Marash Kumbulla,al ALB,DF,19.0,21.7,1.0,9.0,4.0,44.4,0.42,0.18,0.11,0.25,7.4,0.0,0.0,0.0,1.7,1.7,0.19,-0.7,-0.7,773.0,922.0,83.8,13977.0,5740.0,301.0,340.0,88.5,383.0,423.0,90.5,64.0,103.0,62.1,0.0,0.1,0.1,-0.1,2.0,39.0,0.0,0.0,58.0,922.0,892.0,23.0,20.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,773.0,7.0,8.0,12.0,0.55,10.0,0.0,0.0,1.0,1.0,0.0,2.0,0.09,0.0,0.0,0.0,1.0,1.0,0.0,40.0,24.0,21.0,17.0,2.0,19.0,36.0,52.8,17.0,33.0,24.0,9.0,50.0,90.0,86.0,3.0,1167.0,143.0,548.0,579.0,51.0,13.0,1167.0,4.0,2.0,50.0,2.0,50.0,617.0,2501.0,1292.0,10.0,11.0,1.0,11.0,4.0,699.0,14.0,25,1950.0,78.0,57.0,21.7,25,78.0,16.0,0,,3,1.44,22.0,22.0,0.0,0.0,0.24,26.9,29.3,-2.4,-0.11,-0.07,7.0,1.0,1.0,47.0,24.0,1.0,1.0,50.0,24.0,0.0,0.0,0.0,104.0,65.0,36.0,64.4
