player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Samir Handanović,si SVN,GK,35.0,35.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,985.0,1124.0,87.6,24085.0,15446.0,217.0,218.0,99.5,516.0,523.0,98.7,251.0,378.0,66.4,0.0,0.1,0.0,-0.1,2.0,5.0,0.0,0.0,0.0,1124.0,792.0,328.0,61.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,985.0,4.0,0.0,4.0,0.11,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,3.0,1174.0,1064.0,1172.0,2.0,0.0,0.0,1174.0,1.0,1.0,100.0,0.0,0.0,578.0,3186.0,2359.0,0.0,0.0,0.0,0.0,0.0,531.0,0.0,35,3150.0,90.0,92.1,35.0,35,90.0,35.0,0,,3,2.17,74.0,32.0,42.0,1.2,0.2,64.3,36.0,28.3,0.81,0.68,2.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,36.0,6.0,0.0,100.0
Romelu Lukaku,be BEL,FW,26.0,33.1,23.0,93.0,41.0,44.1,2.81,1.24,0.18,0.41,14.9,1.0,6.0,6.0,19.0,14.3,0.15,4.0,2.7,554.0,807.0,68.6,7224.0,1429.0,338.0,455.0,74.3,118.0,177.0,66.7,33.0,44.0,75.0,2.0,4.5,3.1,-2.5,53.0,33.0,26.0,4.0,76.0,807.0,752.0,47.0,0.0,3.0,9.0,24.0,0.0,0.0,0.0,0.0,0.0,554.0,8.0,24.0,115.0,3.47,94.0,0.0,11.0,9.0,1.0,0.0,13.0,0.39,10.0,0.0,1.0,2.0,0.0,0.0,13.0,7.0,4.0,7.0,2.0,3.0,10.0,30.0,7.0,14.0,6.0,8.0,1.0,14.0,28.0,0.0,1116.0,31.0,50.0,467.0,609.0,204.0,1110.0,38.0,21.0,55.3,17.0,44.7,617.0,3027.0,1395.0,48.0,35.0,30.0,70.0,67.0,895.0,289.0,36,2979.0,83.0,87.1,33.1,33,88.0,25.0,3,27.0,0,2.11,67.0,31.0,36.0,1.09,-0.75,58.5,35.6,22.8,0.69,-0.51,2.0,0.0,0.0,47.0,20.0,23.0,24.0,1.0,7.0,0.0,0.0,0.0,52.0,92.0,70.0,56.8
Stefan de Vrij,nl NED,DF,27.0,31.4,4.0,20.0,6.0,30.0,0.64,0.19,0.2,0.67,12.0,0.0,0.0,0.0,2.0,2.0,0.1,2.0,2.0,1530.0,1670.0,91.6,32543.0,10307.0,332.0,357.0,93.0,961.0,1002.0,95.9,215.0,270.0,79.6,3.0,0.7,0.7,2.3,10.0,70.0,7.0,0.0,94.0,1670.0,1629.0,37.0,35.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,1530.0,4.0,8.0,27.0,0.86,22.0,1.0,0.0,3.0,0.0,1.0,4.0,0.13,4.0,0.0,0.0,0.0,0.0,0.0,33.0,18.0,20.0,12.0,1.0,14.0,27.0,51.9,13.0,34.0,24.0,10.0,52.0,85.0,121.0,1.0,1964.0,227.0,922.0,1001.0,49.0,23.0,1964.0,9.0,8.0,88.9,1.0,11.1,1144.0,7555.0,4483.0,21.0,12.0,0.0,9.0,0.0,1308.0,0.0,34,2830.0,83.0,82.7,31.4,32,86.0,30.0,2,32.0,3,2.06,61.0,32.0,29.0,0.92,-1.52,55.3,36.1,19.3,0.61,-0.83,5.0,0.0,0.0,36.0,9.0,0.0,0.0,52.0,18.0,0.0,1.0,0.0,174.0,62.0,44.0,58.5
Marcelo Brozović,hr CRO,MF,26.0,30.0,3.0,55.0,16.0,29.1,1.83,0.53,0.05,0.19,22.6,2.0,0.0,0.0,3.2,3.2,0.06,-0.2,-0.2,1885.0,2149.0,87.7,35689.0,9424.0,766.0,836.0,91.6,805.0,879.0,91.6,271.0,339.0,79.9,6.0,2.8,2.6,3.2,39.0,191.0,40.0,4.0,240.0,2149.0,2022.0,114.0,80.0,2.0,29.0,49.0,7.0,25.0,11.0,4.0,0.0,1885.0,13.0,23.0,107.0,3.56,91.0,5.0,2.0,8.0,0.0,1.0,14.0,0.47,14.0,0.0,0.0,0.0,0.0,0.0,67.0,35.0,26.0,31.0,10.0,19.0,71.0,26.8,52.0,26.0,9.0,17.0,46.0,113.0,46.0,2.0,2481.0,90.0,540.0,1491.0,476.0,30.0,2481.0,35.0,27.0,77.1,8.0,22.9,1417.0,7625.0,3162.0,47.0,40.0,5.0,38.0,20.0,1772.0,40.0,32,2701.0,84.0,79.0,30.0,30,88.0,26.0,2,24.0,1,2.13,63.0,29.0,34.0,1.13,-0.24,50.0,33.5,16.5,0.55,-0.97,9.0,0.0,0.0,44.0,20.0,1.0,49.0,46.0,35.0,0.0,0.0,0.0,188.0,21.0,21.0,50.0
Milan Škriniar,sk SVK,DF,24.0,29.2,0.0,13.0,4.0,30.8,0.45,0.14,0.0,0.0,16.8,0.0,0.0,0.0,1.0,1.0,0.07,-1.0,-1.0,1862.0,2023.0,92.0,33156.0,12259.0,770.0,812.0,94.8,885.0,932.0,95.0,165.0,217.0,76.0,0.0,0.5,0.8,-0.5,8.0,127.0,16.0,0.0,152.0,2023.0,1947.0,71.0,51.0,0.0,37.0,0.0,20.0,0.0,0.0,0.0,0.0,1862.0,5.0,4.0,33.0,1.13,24.0,1.0,1.0,3.0,2.0,2.0,2.0,0.07,0.0,0.0,0.0,1.0,1.0,0.0,39.0,20.0,24.0,14.0,1.0,14.0,33.0,42.4,19.0,19.0,11.0,8.0,28.0,67.0,85.0,1.0,2238.0,214.0,997.0,1138.0,119.0,14.0,2238.0,9.0,7.0,77.8,2.0,22.2,1322.0,5721.0,3054.0,32.0,19.0,1.0,11.0,10.0,1688.0,13.0,32,2627.0,82.0,76.8,29.2,30,87.0,27.0,2,15.0,2,2.22,61.0,30.0,31.0,1.06,-0.53,52.4,30.9,21.5,0.74,-0.08,9.0,1.0,1.0,52.0,27.0,0.0,0.0,28.0,20.0,1.0,0.0,1.0,163.0,34.0,35.0,49.3
Lautaro Martínez,ar ARG,FW,21.0,27.2,14.0,122.0,41.0,33.6,4.48,1.5,0.1,0.29,15.9,1.0,2.0,3.0,14.6,12.3,0.1,-0.6,-0.3,305.0,504.0,60.5,4345.0,1113.0,167.0,241.0,69.3,83.0,136.0,61.0,26.0,39.0,66.7,3.0,2.5,1.9,0.5,30.0,25.0,17.0,0.0,59.0,504.0,480.0,18.0,1.0,1.0,5.0,16.0,3.0,1.0,0.0,0.0,0.0,305.0,6.0,13.0,92.0,3.38,49.0,2.0,12.0,16.0,11.0,2.0,15.0,0.55,6.0,0.0,3.0,3.0,3.0,0.0,22.0,7.0,2.0,8.0,12.0,4.0,34.0,11.8,30.0,30.0,2.0,28.0,15.0,37.0,11.0,0.0,941.0,13.0,45.0,321.0,591.0,220.0,938.0,84.0,39.0,46.4,45.0,53.6,543.0,2832.0,1372.0,59.0,38.0,30.0,102.0,45.0,708.0,222.0,35,2452.0,70.0,71.7,27.2,29,80.0,9.0,6,23.0,0,2.09,55.0,28.0,27.0,0.99,-0.68,47.8,28.2,19.6,0.72,-0.13,8.0,1.0,0.0,54.0,75.0,22.0,16.0,15.0,7.0,2.0,0.0,0.0,76.0,35.0,71.0,33.0
Antonio Candreva,it ITA,DF,32.0,22.1,5.0,42.0,14.0,33.3,1.9,0.63,0.12,0.36,21.7,0.0,0.0,0.0,2.3,2.3,0.05,2.7,2.7,1041.0,1368.0,76.1,19184.0,6030.0,496.0,550.0,90.2,399.0,516.0,77.3,130.0,229.0,56.8,7.0,5.3,5.0,1.7,47.0,72.0,59.0,27.0,104.0,1368.0,1140.0,219.0,10.0,0.0,37.0,178.0,177.0,32.0,3.0,24.0,0.0,1041.0,9.0,40.0,89.0,4.02,65.0,13.0,3.0,5.0,3.0,0.0,12.0,0.54,8.0,2.0,0.0,2.0,0.0,0.0,11.0,6.0,9.0,1.0,1.0,7.0,29.0,24.1,22.0,26.0,10.0,16.0,14.0,25.0,33.0,1.0,1553.0,53.0,326.0,608.0,630.0,57.0,1553.0,21.0,10.0,47.6,11.0,52.4,855.0,5145.0,2728.0,80.0,39.0,17.0,30.0,9.0,1060.0,221.0,32,1993.0,62.0,58.3,22.1,24,77.0,9.0,8,18.0,4,2.22,51.0,26.0,25.0,1.13,-0.13,41.0,25.4,15.6,0.71,-0.12,5.0,0.0,0.0,15.0,20.0,13.0,178.0,14.0,6.0,1.0,0.0,0.0,108.0,5.0,4.0,55.6
Nicolò Barella,it ITA,MF,22.0,22.4,1.0,24.0,5.0,20.8,1.07,0.22,0.04,0.2,21.0,0.0,0.0,0.0,2.1,2.1,0.09,-1.1,-1.1,1007.0,1237.0,81.4,17609.0,5724.0,460.0,518.0,88.8,381.0,446.0,85.4,124.0,166.0,74.7,4.0,1.7,2.3,2.3,23.0,124.0,30.0,6.0,183.0,1237.0,1214.0,16.0,10.0,1.0,19.0,38.0,5.0,1.0,0.0,0.0,0.0,1007.0,7.0,30.0,61.0,2.73,50.0,1.0,3.0,2.0,5.0,0.0,5.0,0.22,4.0,0.0,0.0,0.0,1.0,0.0,36.0,21.0,14.0,15.0,7.0,8.0,37.0,21.6,29.0,20.0,5.0,15.0,14.0,50.0,14.0,0.0,1462.0,27.0,246.0,850.0,391.0,31.0,1462.0,54.0,36.0,66.7,18.0,33.3,882.0,4821.0,2402.0,47.0,36.0,8.0,37.0,23.0,1092.0,98.0,27,2013.0,75.0,58.9,22.4,23,83.0,17.0,4,27.0,1,2.3,45.0,21.0,24.0,1.07,-0.27,40.9,24.1,16.7,0.75,-0.02,11.0,0.0,0.0,39.0,37.0,2.0,38.0,14.0,21.0,1.0,0.0,0.0,147.0,19.0,23.0,45.2
Alessandro Bastoni,it ITA,DF,20.0,21.3,2.0,8.0,4.0,50.0,0.37,0.19,0.25,0.5,10.1,0.0,0.0,0.0,1.3,1.3,0.16,0.7,0.7,1278.0,1460.0,87.5,23424.0,7663.0,514.0,537.0,95.7,605.0,656.0,92.2,137.0,206.0,66.5,0.0,0.7,0.8,-0.7,12.0,88.0,8.0,2.0,107.0,1460.0,1368.0,85.0,63.0,1.0,27.0,20.0,22.0,0.0,0.0,0.0,0.0,1278.0,7.0,17.0,36.0,1.69,29.0,1.0,2.0,3.0,0.0,1.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,32.0,17.0,14.0,11.0,7.0,15.0,24.0,62.5,9.0,18.0,9.0,9.0,26.0,58.0,54.0,0.0,1637.0,168.0,642.0,875.0,145.0,15.0,1637.0,14.0,11.0,78.6,3.0,21.4,1001.0,5652.0,3824.0,50.0,30.0,4.0,13.0,7.0,1173.0,24.0,25,1921.0,77.0,56.2,21.3,21,87.0,16.0,4,25.0,11,2.0,51.0,23.0,28.0,1.31,0.29,41.9,22.8,19.1,0.89,0.31,9.0,1.0,1.0,37.0,28.0,0.0,20.0,26.0,17.0,0.0,1.0,0.0,135.0,43.0,25.0,63.2
Roberto Gagliardini,it ITA,MF,25.0,20.0,4.0,34.0,15.0,44.1,1.7,0.75,0.12,0.27,16.2,0.0,0.0,0.0,4.7,4.6,0.14,-0.7,-0.6,796.0,941.0,84.6,13068.0,3786.0,377.0,430.0,87.7,329.0,362.0,90.9,58.0,86.0,67.4,2.0,1.6,1.9,0.4,19.0,109.0,25.0,4.0,144.0,941.0,921.0,19.0,10.0,3.0,19.0,10.0,8.0,1.0,0.0,0.0,0.0,796.0,1.0,15.0,63.0,3.16,50.0,1.0,0.0,5.0,3.0,4.0,4.0,0.2,3.0,0.0,0.0,0.0,1.0,0.0,38.0,19.0,12.0,18.0,8.0,14.0,41.0,34.1,27.0,28.0,8.0,20.0,30.0,68.0,20.0,1.0,1178.0,48.0,207.0,639.0,342.0,66.0,1178.0,18.0,9.0,50.0,9.0,50.0,641.0,3984.0,2203.0,55.0,42.0,7.0,27.0,15.0,826.0,73.0,24,1797.0,75.0,52.5,20.0,21,82.0,11.0,3,27.0,4,2.25,48.0,23.0,25.0,1.25,0.14,38.5,22.2,16.3,0.82,0.13,5.0,0.0,0.0,34.0,24.0,4.0,10.0,30.0,19.0,1.0,0.0,0.0,71.0,27.0,14.0,65.9
