player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Fabio Lucioni,it ITA,DF,31.0,34.8,3.0,14.0,4.0,28.6,0.4,0.11,0.21,0.75,13.0,0.0,0.0,0.0,1.7,1.7,0.12,1.3,1.3,1349.0,1598.0,84.4,31293.0,12846.0,281.0,315.0,89.2,808.0,871.0,92.8,253.0,383.0,66.1,0.0,0.1,0.3,-0.1,3.0,65.0,4.0,0.0,82.0,1598.0,1502.0,92.0,84.0,0.0,45.0,4.0,8.0,0.0,0.0,0.0,0.0,1349.0,4.0,10.0,14.0,0.4,11.0,1.0,0.0,2.0,0.0,0.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,29.0,13.0,20.0,9.0,0.0,14.0,32.0,43.8,18.0,48.0,38.0,10.0,36.0,65.0,169.0,5.0,1942.0,432.0,1160.0,761.0,42.0,17.0,1942.0,11.0,8.0,72.7,3.0,27.3,1070.0,5548.0,3093.0,7.0,6.0,0.0,9.0,3.0,1209.0,3.0,36,3132.0,87.0,91.6,34.8,36,87.0,34.0,0,,0,0.97,51.0,75.0,-24.0,-0.69,2.12,51.0,75.0,-24.0,-0.69,1.43,8.0,1.0,0.0,20.0,15.0,0.0,4.0,36.0,13.0,0.0,2.0,1.0,184.0,61.0,48.0,56.0
Gabriel,br BRA,GK,26.0,33.3,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,755.0,978.0,77.2,19124.0,14040.0,220.0,222.0,99.1,304.0,308.0,98.7,224.0,434.0,51.6,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,978.0,556.0,416.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755.0,6.0,1.0,2.0,0.06,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,3.0,66.7,1.0,0.0,0.0,0.0,0.0,2.0,11.0,10.0,1108.0,1014.0,1103.0,6.0,0.0,0.0,1108.0,0.0,0.0,,0.0,,483.0,2769.0,2050.0,0.0,0.0,0.0,0.0,0.0,292.0,0.0,34,2997.0,88.0,87.6,33.3,34,88.0,33.0,0,,2,0.76,43.0,76.0,-33.0,-0.99,-0.99,48.0,74.1,-26.1,-0.78,0.22,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,32.0,10.0,1.0,90.9
Marco Mancosu,it ITA,"MF,FW",30.0,27.1,14.0,73.0,22.0,30.1,2.69,0.81,0.07,0.23,21.4,10.0,9.0,11.0,15.5,6.9,0.09,-1.5,-1.9,658.0,882.0,74.6,10085.0,2724.0,364.0,443.0,82.2,204.0,261.0,78.2,53.0,95.0,55.8,2.0,2.9,3.2,-0.9,31.0,59.0,22.0,6.0,95.0,882.0,857.0,22.0,9.0,2.0,6.0,45.0,6.0,4.0,1.0,0.0,0.0,658.0,3.0,26.0,73.0,2.69,61.0,0.0,4.0,4.0,4.0,0.0,5.0,0.18,3.0,0.0,1.0,0.0,1.0,0.0,32.0,18.0,11.0,16.0,5.0,10.0,46.0,21.7,36.0,34.0,9.0,25.0,16.0,48.0,15.0,1.0,1166.0,29.0,191.0,554.0,439.0,102.0,1156.0,32.0,19.0,59.4,13.0,40.6,692.0,4013.0,2222.0,61.0,45.0,15.0,55.0,21.0,847.0,148.0,33,2440.0,74.0,71.3,27.1,28,83.0,19.0,5,24.0,1,0.82,36.0,64.0,-28.0,-1.03,-0.57,39.1,62.3,-23.2,-0.86,-0.16,3.0,0.0,0.0,22.0,18.0,9.0,45.0,16.0,18.0,2.0,0.0,0.0,100.0,19.0,36.0,34.5
Luca Rossettini,it ITA,DF,34.0,25.1,0.0,4.0,0.0,0.0,0.16,0.0,0.0,,25.6,1.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,905.0,1065.0,85.0,19738.0,7373.0,212.0,237.0,89.5,533.0,584.0,91.3,153.0,224.0,68.3,2.0,0.9,0.8,1.1,4.0,28.0,4.0,0.0,41.0,1065.0,1012.0,50.0,46.0,0.0,18.0,1.0,3.0,0.0,0.0,0.0,0.0,905.0,3.0,2.0,8.0,0.32,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,25.0,14.0,18.0,7.0,0.0,17.0,34.0,50.0,17.0,31.0,22.0,9.0,35.0,60.0,126.0,1.0,1307.0,285.0,824.0,474.0,18.0,6.0,1307.0,2.0,2.0,100.0,0.0,0.0,624.0,2779.0,1419.0,4.0,6.0,1.0,1.0,2.0,809.0,0.0,26,2261.0,87.0,66.1,25.1,25,89.0,24.0,1,45.0,2,0.92,30.0,57.0,-27.0,-1.07,-0.61,29.6,61.3,-31.8,-1.27,-1.34,5.0,0.0,0.0,17.0,8.0,0.0,1.0,35.0,14.0,0.0,1.0,0.0,103.0,40.0,29.0,58.0
Jacopo Petriccione,it ITA,MF,24.0,23.8,0.0,18.0,7.0,38.9,0.76,0.29,0.0,0.0,26.2,0.0,0.0,0.0,0.5,0.5,0.03,-0.5,-0.5,1104.0,1287.0,85.8,21405.0,6515.0,445.0,496.0,89.7,456.0,506.0,90.1,186.0,246.0,75.6,5.0,2.1,1.9,2.9,41.0,112.0,32.0,9.0,150.0,1287.0,1157.0,125.0,58.0,0.0,21.0,60.0,6.0,52.0,2.0,9.0,1.0,1104.0,5.0,12.0,98.0,4.13,76.0,19.0,0.0,0.0,2.0,1.0,7.0,0.29,6.0,1.0,0.0,0.0,0.0,0.0,38.0,20.0,29.0,9.0,0.0,15.0,57.0,26.3,42.0,20.0,7.0,13.0,28.0,66.0,25.0,2.0,1474.0,67.0,370.0,790.0,330.0,12.0,1474.0,27.0,19.0,70.4,8.0,29.6,888.0,4597.0,2520.0,33.0,27.0,1.0,19.0,17.0,1007.0,45.0,31,2138.0,69.0,62.5,23.8,24,79.0,14.0,7,34.0,4,0.84,32.0,48.0,-16.0,-0.67,0.52,34.0,49.8,-15.7,-0.66,0.4,10.0,0.0,0.0,28.0,29.0,0.0,60.0,28.0,20.0,0.0,1.0,0.0,122.0,6.0,18.0,25.0
Marco Calderoni,it ITA,DF,30.0,22.9,3.0,23.0,5.0,21.7,1.0,0.22,0.13,0.6,25.8,0.0,0.0,0.0,0.7,0.7,0.03,2.3,2.3,816.0,1122.0,72.7,14178.0,5191.0,390.0,440.0,88.6,335.0,422.0,79.4,74.0,177.0,41.8,2.0,2.4,2.1,-0.4,20.0,47.0,29.0,19.0,59.0,1122.0,892.0,225.0,32.0,0.0,5.0,100.0,170.0,23.0,0.0,13.0,0.0,816.0,5.0,55.0,41.0,1.79,30.0,7.0,1.0,2.0,1.0,0.0,4.0,0.17,2.0,1.0,0.0,1.0,0.0,0.0,38.0,25.0,22.0,13.0,3.0,20.0,39.0,51.3,19.0,27.0,10.0,17.0,37.0,75.0,54.0,1.0,1357.0,88.0,461.0,556.0,352.0,25.0,1357.0,13.0,8.0,61.5,5.0,38.5,703.0,3133.0,1628.0,39.0,33.0,3.0,27.0,9.0,791.0,97.0,26,2064.0,79.0,60.4,22.9,24,85.0,19.0,2,11.0,3,0.92,32.0,59.0,-27.0,-1.18,-0.78,32.5,56.9,-24.4,-1.06,-0.64,7.0,0.0,0.0,29.0,37.0,2.0,100.0,37.0,25.0,0.0,1.0,0.0,118.0,10.0,15.0,40.0
Filippo Falco,it ITA,"FW,MF",27.0,22.4,4.0,57.0,22.0,38.6,2.55,0.98,0.07,0.18,21.9,5.0,0.0,0.0,2.8,2.8,0.05,1.2,1.2,818.0,1023.0,80.0,13292.0,3563.0,439.0,480.0,91.5,263.0,333.0,79.0,90.0,140.0,64.3,6.0,4.5,4.8,1.5,53.0,58.0,52.0,22.0,139.0,1023.0,887.0,132.0,44.0,1.0,5.0,127.0,8.0,42.0,7.0,1.0,0.0,818.0,4.0,28.0,140.0,6.26,89.0,22.0,16.0,8.0,5.0,0.0,14.0,0.63,6.0,5.0,1.0,2.0,0.0,0.0,13.0,7.0,4.0,5.0,4.0,5.0,18.0,27.8,13.0,11.0,1.0,10.0,2.0,15.0,1.0,0.0,1224.0,3.0,92.0,511.0,643.0,57.0,1224.0,84.0,60.0,71.4,24.0,28.6,900.0,6225.0,3215.0,120.0,90.0,28.0,35.0,35.0,959.0,169.0,30,2014.0,67.0,58.9,22.4,24,75.0,12.0,6,35.0,2,1.0,32.0,43.0,-11.0,-0.49,0.92,32.5,45.7,-13.2,-0.59,0.54,0.0,0.0,0.0,13.0,84.0,7.0,127.0,2.0,7.0,0.0,0.0,0.0,90.0,4.0,17.0,19.0
Panagiotis Tachtsidis,gr GRE,MF,28.0,22.3,0.0,27.0,7.0,25.9,1.21,0.31,0.0,0.0,25.7,0.0,0.0,0.0,0.8,0.8,0.03,-0.8,-0.8,926.0,1186.0,78.1,18370.0,6984.0,388.0,452.0,85.8,367.0,441.0,83.2,156.0,232.0,67.2,2.0,2.0,1.7,0.0,24.0,120.0,30.0,5.0,144.0,1186.0,1114.0,66.0,60.0,1.0,30.0,28.0,4.0,2.0,0.0,0.0,0.0,926.0,6.0,27.0,68.0,3.06,55.0,4.0,0.0,3.0,4.0,2.0,6.0,0.27,5.0,0.0,0.0,0.0,0.0,1.0,52.0,27.0,26.0,20.0,6.0,20.0,56.0,35.7,36.0,27.0,11.0,16.0,35.0,87.0,32.0,2.0,1420.0,64.0,403.0,813.0,224.0,8.0,1420.0,26.0,19.0,73.1,7.0,26.9,750.0,4159.0,2374.0,40.0,22.0,0.0,29.0,17.0,901.0,18.0,28,2003.0,72.0,58.6,22.3,24,80.0,17.0,4,22.0,5,0.61,23.0,53.0,-30.0,-1.35,-1.16,30.2,49.6,-19.4,-0.87,-0.15,7.0,1.0,1.0,41.0,29.0,0.0,28.0,35.0,27.0,0.0,2.0,0.0,150.0,42.0,22.0,65.6
Andrea Rispoli,it ITA,DF,30.0,21.2,0.0,12.0,3.0,25.0,0.57,0.14,0.0,0.0,22.8,0.0,0.0,0.0,1.2,1.2,0.1,-1.2,-1.2,843.0,1111.0,75.9,14441.0,6433.0,406.0,450.0,90.2,344.0,440.0,78.2,77.0,159.0,48.4,0.0,1.3,1.5,-1.3,16.0,53.0,22.0,17.0,73.0,1111.0,949.0,156.0,21.0,0.0,5.0,89.0,131.0,4.0,0.0,0.0,0.0,843.0,6.0,27.0,44.0,2.08,38.0,5.0,0.0,0.0,1.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,24.0,18.0,14.0,9.0,1.0,15.0,30.0,50.0,15.0,28.0,7.0,21.0,32.0,56.0,62.0,1.0,1318.0,99.0,452.0,555.0,325.0,20.0,1318.0,11.0,5.0,45.5,6.0,54.5,686.0,4196.0,2344.0,63.0,44.0,4.0,14.0,4.0,813.0,98.0,28,1909.0,68.0,55.8,21.2,20,87.0,16.0,8,21.0,9,0.96,27.0,45.0,-18.0,-0.85,0.04,29.1,49.1,-20.0,-0.94,-0.3,6.0,0.0,0.0,22.0,13.0,1.0,89.0,32.0,18.0,0.0,0.0,0.0,115.0,22.0,15.0,59.5
Gianluca Lapadula,pe PER,FW,29.0,19.8,11.0,59.0,22.0,37.3,2.98,1.11,0.15,0.41,14.2,0.0,2.0,2.0,9.8,8.2,0.14,1.2,0.8,243.0,329.0,73.9,3380.0,460.0,151.0,189.0,79.9,69.0,88.0,78.4,13.0,18.0,72.2,0.0,1.5,1.3,-1.5,22.0,13.0,1.0,0.0,22.0,329.0,273.0,54.0,1.0,1.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,243.0,2.0,7.0,52.0,2.62,33.0,0.0,6.0,4.0,9.0,0.0,7.0,0.35,2.0,0.0,2.0,1.0,2.0,0.0,15.0,8.0,6.0,8.0,1.0,5.0,16.0,31.3,11.0,2.0,0.0,2.0,1.0,16.0,14.0,0.0,548.0,17.0,48.0,251.0,252.0,111.0,546.0,28.0,17.0,60.7,11.0,39.3,345.0,1454.0,546.0,19.0,13.0,5.0,52.0,36.0,418.0,126.0,25,1784.0,71.0,52.2,19.8,20,81.0,13.0,5,33.0,1,0.96,30.0,47.0,-17.0,-0.86,0.02,30.1,46.7,-16.6,-0.84,-0.06,8.0,1.0,0.0,43.0,58.0,24.0,10.0,1.0,8.0,1.0,0.0,0.0,45.0,53.0,70.0,43.1
