player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Luigi Sepe,it ITA,GK,28.0,34.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,860.0,1132.0,76.0,24858.0,19382.0,195.0,195.0,100.0,277.0,279.0,99.3,346.0,612.0,56.5,0.0,0.7,0.1,-0.7,2.0,25.0,0.0,0.0,0.0,1132.0,697.0,431.0,104.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,860.0,4.0,0.0,9.0,0.26,7.0,2.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,1213.0,1091.0,1208.0,5.0,0.0,0.0,1213.0,0.0,0.0,,0.0,,585.0,3033.0,2318.0,0.0,0.0,0.0,0.0,0.0,435.0,0.0,34,3060.0,90.0,89.5,34.0,34,90.0,34.0,0,,0,1.32,53.0,53.0,0.0,0.0,0.25,43.0,57.4,-14.3,-0.42,-0.04,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,7.0,1.0,87.5
Simone Iacoponi,it ITA,DF,32.0,33.9,2.0,10.0,2.0,20.0,0.29,0.06,0.2,1.0,9.5,0.0,0.0,0.0,1.3,1.3,0.13,0.7,0.7,1197.0,1413.0,84.7,27652.0,10015.0,267.0,286.0,93.4,680.0,722.0,94.2,245.0,369.0,66.4,0.0,0.2,0.4,-0.2,3.0,60.0,1.0,0.0,64.0,1413.0,1301.0,108.0,85.0,2.0,28.0,1.0,22.0,0.0,0.0,0.0,0.0,1197.0,4.0,16.0,22.0,0.65,17.0,2.0,0.0,1.0,1.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,49.0,25.0,36.0,12.0,1.0,26.0,42.0,61.9,16.0,37.0,29.0,8.0,35.0,84.0,140.0,2.0,1738.0,350.0,1013.0,682.0,48.0,20.0,1738.0,9.0,4.0,44.4,5.0,55.6,1010.0,5365.0,3133.0,10.0,7.0,1.0,13.0,6.0,1063.0,7.0,36,3053.0,85.0,89.3,33.9,34,89.0,32.0,2,12.0,1,1.28,48.0,50.0,-2.0,-0.06,-0.3,41.6,56.9,-15.4,-0.45,-0.33,7.0,0.0,0.0,35.0,36.0,1.0,1.0,35.0,25.0,0.0,2.0,0.0,151.0,48.0,67.0,41.7
Dejan Kulusevski,se SWE,"FW,MF",19.0,32.6,10.0,61.0,25.0,41.0,1.87,0.77,0.15,0.36,16.9,0.0,1.0,1.0,6.7,5.9,0.1,3.3,3.1,865.0,1138.0,76.0,12281.0,3476.0,490.0,586.0,83.6,277.0,343.0,80.8,47.0,93.0,50.5,8.0,8.6,5.0,-0.6,77.0,65.0,46.0,6.0,128.0,1138.0,1065.0,66.0,9.0,7.0,3.0,63.0,9.0,19.0,13.0,0.0,0.0,865.0,7.0,32.0,147.0,4.52,116.0,3.0,16.0,7.0,5.0,0.0,16.0,0.49,10.0,0.0,3.0,2.0,1.0,0.0,41.0,21.0,10.0,24.0,7.0,19.0,64.0,29.7,45.0,25.0,1.0,24.0,23.0,64.0,17.0,0.0,1605.0,24.0,217.0,711.0,729.0,159.0,1604.0,131.0,76.0,58.0,55.0,42.0,1091.0,8750.0,4602.0,164.0,98.0,58.0,127.0,82.0,1118.0,237.0,36,2930.0,81.0,85.7,32.6,33,86.0,23.0,3,36.0,0,1.25,51.0,51.0,0.0,0.0,0.18,42.0,53.9,-11.9,-0.37,0.36,3.0,0.0,0.0,53.0,38.0,6.0,63.0,23.0,21.0,1.0,0.0,0.0,189.0,10.0,25.0,28.6
Bruno Alves,pt POR,DF,37.0,29.7,0.0,24.0,1.0,4.2,0.81,0.03,0.0,0.0,20.0,10.0,0.0,0.0,1.3,1.3,0.05,-1.3,-1.3,1107.0,1347.0,82.2,28167.0,11376.0,181.0,224.0,80.8,602.0,673.0,89.5,314.0,420.0,74.8,0.0,0.5,0.5,-0.5,7.0,74.0,4.0,1.0,99.0,1347.0,1253.0,90.0,82.0,0.0,45.0,13.0,2.0,0.0,0.0,0.0,0.0,1107.0,4.0,7.0,26.0,0.88,19.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,11.0,12.0,5.0,0.0,8.0,13.0,61.5,5.0,30.0,21.0,9.0,25.0,42.0,150.0,2.0,1625.0,280.0,878.0,666.0,86.0,34.0,1625.0,1.0,1.0,100.0,0.0,0.0,922.0,4801.0,2509.0,6.0,4.0,0.0,6.0,4.0,987.0,11.0,33,2671.0,81.0,78.1,29.7,31,85.0,27.0,2,14.0,0,1.33,39.0,44.0,-5.0,-0.17,-0.65,35.8,52.6,-16.8,-0.57,-0.68,4.0,0.0,0.0,24.0,12.0,1.0,13.0,25.0,11.0,0.0,2.0,0.0,116.0,84.0,21.0,80.0
Riccardo Gagliolo,se SWE,DF,29.0,28.9,3.0,31.0,8.0,25.8,1.07,0.28,0.1,0.38,18.6,0.0,0.0,0.0,2.8,2.8,0.09,0.2,0.2,1013.0,1366.0,74.2,19528.0,8738.0,390.0,442.0,88.2,470.0,617.0,76.2,141.0,248.0,56.9,2.0,2.3,1.5,-0.3,21.0,105.0,22.0,10.0,131.0,1366.0,1136.0,226.0,28.0,0.0,11.0,51.0,198.0,0.0,0.0,0.0,0.0,1013.0,4.0,23.0,54.0,1.87,41.0,6.0,1.0,3.0,2.0,1.0,9.0,0.31,6.0,2.0,0.0,1.0,0.0,0.0,57.0,32.0,37.0,12.0,8.0,30.0,60.0,50.0,30.0,35.0,18.0,17.0,53.0,110.0,100.0,0.0,1683.0,146.0,630.0,760.0,303.0,39.0,1683.0,23.0,16.0,69.6,7.0,30.4,850.0,4128.0,2505.0,53.0,23.0,6.0,20.0,7.0,928.0,59.0,32,2604.0,81.0,76.1,28.9,31,84.0,22.0,1,8.0,3,1.34,48.0,41.0,7.0,0.24,1.12,37.3,46.2,-8.9,-0.31,0.46,7.0,0.0,0.0,32.0,38.0,2.0,51.0,53.0,32.0,0.0,2.0,0.0,139.0,17.0,24.0,41.5
Matteo Darmian,it ITA,DF,29.0,29.8,1.0,8.0,2.0,25.0,0.27,0.07,0.13,0.5,14.7,0.0,0.0,0.0,0.8,0.8,0.1,0.2,0.2,1199.0,1523.0,78.7,20701.0,8358.0,580.0,638.0,90.9,475.0,583.0,81.5,122.0,219.0,55.7,1.0,0.9,1.1,0.1,12.0,88.0,10.0,4.0,130.0,1523.0,1216.0,302.0,26.0,0.0,9.0,45.0,276.0,0.0,0.0,0.0,0.0,1199.0,5.0,27.0,42.0,1.41,30.0,7.0,1.0,1.0,3.0,0.0,5.0,0.17,5.0,0.0,0.0,0.0,0.0,0.0,81.0,42.0,48.0,30.0,3.0,40.0,83.0,48.2,43.0,38.0,16.0,22.0,25.0,106.0,78.0,1.0,1830.0,114.0,659.0,837.0,346.0,29.0,1830.0,23.0,10.0,43.5,13.0,56.5,928.0,3901.0,2253.0,36.0,30.0,6.0,22.0,13.0,1007.0,95.0,33,2685.0,81.0,78.5,29.8,30,88.0,27.0,3,14.0,0,1.3,42.0,45.0,-3.0,-0.1,-0.35,37.1,50.9,-13.8,-0.46,-0.21,6.0,0.0,0.0,38.0,45.0,3.0,45.0,25.0,42.0,0.0,1.0,0.0,148.0,38.0,35.0,52.1
Hernani,br BRA,MF,25.0,26.9,0.0,35.0,8.0,22.9,1.3,0.3,0.0,0.0,26.7,8.0,0.0,0.0,1.3,1.3,0.04,-1.3,-1.3,762.0,1057.0,72.1,14975.0,4563.0,311.0,370.0,84.1,290.0,371.0,78.2,138.0,236.0,58.5,4.0,2.4,1.7,1.6,29.0,83.0,16.0,5.0,104.0,1057.0,939.0,113.0,52.0,1.0,26.0,103.0,5.0,55.0,30.0,16.0,0.0,762.0,5.0,26.0,69.0,2.57,43.0,18.0,2.0,1.0,2.0,3.0,11.0,0.41,8.0,2.0,0.0,0.0,0.0,1.0,61.0,31.0,25.0,31.0,5.0,30.0,112.0,26.8,82.0,53.0,11.0,42.0,50.0,111.0,51.0,1.0,1408.0,79.0,358.0,689.0,381.0,24.0,1408.0,55.0,34.0,61.8,21.0,38.2,703.0,4260.0,1899.0,40.0,41.0,7.0,29.0,21.0,782.0,62.0,32,2419.0,76.0,70.7,26.9,27,84.0,19.0,5,29.0,0,1.31,38.0,40.0,-2.0,-0.07,-0.16,31.1,45.8,-14.7,-0.55,-0.44,10.0,0.0,0.0,46.0,18.0,4.0,103.0,50.0,31.0,0.0,0.0,0.0,153.0,36.0,27.0,57.1
Gervinho,ci CIV,FW,32.0,25.2,7.0,56.0,22.0,39.3,2.22,0.87,0.13,0.32,15.7,0.0,0.0,1.0,9.4,8.6,0.15,-2.4,-1.6,399.0,508.0,78.5,5567.0,1288.0,245.0,289.0,84.8,136.0,162.0,84.0,10.0,21.0,47.6,4.0,2.7,2.3,1.3,24.0,21.0,31.0,1.0,68.0,508.0,486.0,19.0,1.0,0.0,0.0,13.0,5.0,3.0,0.0,0.0,0.0,399.0,3.0,15.0,76.0,3.01,51.0,0.0,21.0,2.0,2.0,0.0,13.0,0.52,10.0,0.0,3.0,0.0,0.0,0.0,12.0,6.0,5.0,6.0,1.0,6.0,17.0,35.3,11.0,4.0,0.0,4.0,5.0,17.0,3.0,0.0,748.0,3.0,69.0,269.0,427.0,117.0,747.0,92.0,50.0,54.3,40.0,43.5,559.0,5121.0,2677.0,107.0,66.0,55.0,74.0,39.0,591.0,166.0,31,2270.0,73.0,66.4,25.2,27,81.0,13.0,4,22.0,1,1.39,34.0,33.0,1.0,0.04,0.2,32.2,38.1,-5.9,-0.23,0.55,3.0,0.0,0.0,10.0,13.0,18.0,13.0,5.0,6.0,0.0,0.0,0.0,67.0,0.0,5.0,0.0
Juraj Kucka,sk SVK,"MF,FW",32.0,21.5,6.0,46.0,10.0,21.7,2.14,0.47,0.09,0.4,21.5,3.0,2.0,2.0,4.8,3.3,0.07,1.2,0.7,495.0,723.0,68.5,7712.0,2569.0,269.0,352.0,76.4,151.0,211.0,71.6,43.0,84.0,51.2,3.0,2.9,1.3,0.1,19.0,37.0,12.0,3.0,63.0,723.0,699.0,18.0,4.0,3.0,10.0,27.0,10.0,0.0,0.0,0.0,0.0,495.0,6.0,12.0,53.0,2.47,38.0,0.0,3.0,5.0,5.0,2.0,9.0,0.42,4.0,0.0,2.0,2.0,1.0,0.0,43.0,22.0,21.0,16.0,6.0,14.0,61.0,23.0,47.0,21.0,4.0,17.0,29.0,72.0,36.0,0.0,1018.0,64.0,216.0,498.0,322.0,52.0,1016.0,46.0,26.0,56.5,20.0,43.5,569.0,2765.0,1294.0,27.0,37.0,5.0,44.0,31.0,683.0,91.0,26,1932.0,74.0,56.5,21.5,22,83.0,16.0,4,24.0,1,1.31,29.0,28.0,1.0,0.05,0.17,24.6,33.7,-9.1,-0.42,-0.02,5.0,1.0,0.0,51.0,55.0,3.0,27.0,29.0,22.0,1.0,0.0,0.0,129.0,80.0,73.0,52.3
Antonino Barillà,it ITA,MF,31.0,18.8,1.0,17.0,3.0,17.6,0.91,0.16,0.06,0.33,20.2,0.0,0.0,0.0,1.6,1.6,0.1,-0.6,-0.6,399.0,523.0,76.3,6384.0,1825.0,206.0,236.0,87.3,143.0,177.0,80.8,32.0,66.0,48.5,2.0,2.0,1.5,0.0,15.0,29.0,7.0,6.0,44.0,523.0,505.0,15.0,3.0,1.0,1.0,25.0,2.0,7.0,3.0,2.0,0.0,399.0,3.0,14.0,23.0,1.23,17.0,2.0,0.0,2.0,2.0,0.0,3.0,0.16,3.0,0.0,0.0,0.0,0.0,0.0,43.0,31.0,22.0,19.0,2.0,16.0,45.0,35.6,29.0,26.0,8.0,18.0,17.0,60.0,32.0,0.0,733.0,43.0,204.0,380.0,159.0,24.0,733.0,15.0,5.0,33.3,10.0,66.7,385.0,1777.0,893.0,15.0,15.0,1.0,25.0,10.0,444.0,38.0,26,1688.0,65.0,49.4,18.8,20,78.0,9.0,6,22.0,8,1.42,28.0,30.0,-2.0,-0.11,-0.16,23.1,30.2,-7.0,-0.38,0.08,6.0,0.0,0.0,38.0,22.0,3.0,25.0,17.0,31.0,0.0,0.0,0.0,80.0,17.0,15.0,53.1
