player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Salvatore Sirigu,it ITA,GK,32.0,36.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,825.0,1158.0,71.2,25979.0,19519.0,102.0,104.0,98.1,345.0,356.0,96.9,376.0,693.0,54.3,0.0,0.1,0.1,-0.1,2.0,9.0,0.0,0.0,0.0,1158.0,687.0,469.0,136.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,825.0,2.0,1.0,7.0,0.19,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,12.0,0.0,1271.0,1076.0,1266.0,5.0,0.0,0.0,1271.0,1.0,1.0,100.0,0.0,0.0,557.0,2865.0,1927.0,0.0,0.0,0.0,1.0,0.0,459.0,0.0,36,3240.0,90.0,94.7,36.0,36,90.0,36.0,0,,2,1.08,43.0,64.0,-21.0,-0.58,-0.08,42.0,57.7,-15.7,-0.44,-0.31,4.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,38.0,2.0,0.0,100.0
Andrea Belotti,it ITA,FW,25.0,33.4,16.0,96.0,33.0,34.4,2.87,0.99,0.09,0.27,17.2,5.0,7.0,8.0,16.7,10.5,0.11,-0.7,-1.5,495.0,759.0,65.2,6879.0,1560.0,307.0,403.0,76.2,120.0,175.0,68.6,34.0,61.0,55.7,3.0,4.6,3.2,-1.6,41.0,43.0,23.0,5.0,67.0,759.0,706.0,51.0,3.0,0.0,10.0,47.0,2.0,0.0,0.0,0.0,0.0,495.0,2.0,49.0,98.0,2.93,62.0,1.0,8.0,9.0,18.0,0.0,9.0,0.27,5.0,0.0,0.0,3.0,1.0,0.0,29.0,16.0,7.0,17.0,5.0,5.0,31.0,16.1,26.0,23.0,5.0,18.0,5.0,34.0,20.0,1.0,1171.0,26.0,76.0,505.0,611.0,196.0,1163.0,82.0,47.0,57.3,35.0,42.7,735.0,5289.0,3037.0,132.0,88.0,48.0,94.0,61.0,932.0,243.0,36,3008.0,84.0,88.0,33.4,34,87.0,30.0,2,17.0,0,0.94,38.0,60.0,-22.0,-0.66,-0.66,39.5,52.8,-13.2,-0.4,0.21,4.0,0.0,0.0,64.0,103.0,22.0,47.0,5.0,16.0,1.0,0.0,1.0,78.0,108.0,107.0,50.2
Tomás Rincón,ve VEN,MF,31.0,30.0,1.0,16.0,7.0,43.8,0.53,0.23,0.06,0.14,21.1,0.0,0.0,0.0,1.0,1.0,0.06,0.0,0.0,1052.0,1297.0,81.1,19179.0,5971.0,481.0,537.0,89.6,408.0,483.0,84.5,136.0,208.0,65.4,3.0,1.5,1.2,1.5,28.0,117.0,22.0,6.0,148.0,1297.0,1202.0,91.0,53.0,0.0,26.0,23.0,38.0,0.0,0.0,0.0,0.0,1052.0,4.0,18.0,52.0,1.73,48.0,1.0,0.0,0.0,2.0,1.0,4.0,0.13,4.0,0.0,0.0,0.0,0.0,0.0,56.0,25.0,23.0,25.0,8.0,23.0,65.0,35.4,42.0,20.0,3.0,17.0,36.0,92.0,62.0,0.0,1601.0,77.0,370.0,937.0,317.0,19.0,1601.0,43.0,30.0,69.8,13.0,30.2,802.0,4434.0,2475.0,68.0,42.0,9.0,40.0,27.0,980.0,34.0,32,2702.0,84.0,79.0,30.0,31,87.0,25.0,1,12.0,2,1.16,41.0,43.0,-2.0,-0.07,2.44,37.7,44.1,-6.4,-0.21,0.99,10.0,0.0,0.0,68.0,48.0,1.0,23.0,36.0,25.0,0.0,0.0,0.0,179.0,54.0,21.0,72.0
Nicolas Nkoulou,cm CMR,DF,29.0,29.9,1.0,10.0,3.0,30.0,0.33,0.1,0.1,0.33,9.7,0.0,0.0,0.0,1.6,1.6,0.16,-0.6,-0.6,1057.0,1187.0,89.0,20878.0,6624.0,320.0,353.0,90.7,604.0,643.0,93.9,116.0,158.0,73.4,0.0,0.0,0.1,0.0,2.0,17.0,0.0,0.0,23.0,1187.0,1129.0,53.0,51.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1057.0,5.0,5.0,12.0,0.4,9.0,1.0,0.0,1.0,0.0,1.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,34.0,24.0,21.0,11.0,2.0,16.0,22.0,72.7,6.0,40.0,18.0,22.0,70.0,104.0,138.0,2.0,1513.0,243.0,927.0,577.0,22.0,13.0,1513.0,10.0,10.0,100.0,0.0,0.0,707.0,2670.0,873.0,2.0,5.0,0.0,12.0,10.0,810.0,0.0,31,2692.0,87.0,78.7,29.9,30,89.0,29.0,1,15.0,2,1.0,36.0,53.0,-17.0,-0.57,0.05,35.9,47.0,-11.1,-0.37,0.24,6.0,1.0,1.0,37.0,25.0,0.0,0.0,70.0,24.0,0.0,3.0,0.0,214.0,53.0,36.0,59.6
Armando Izzo,it ITA,DF,27.0,29.8,1.0,12.0,4.0,33.3,0.4,0.13,0.08,0.25,10.3,0.0,0.0,0.0,1.7,1.7,0.14,-0.7,-0.7,1115.0,1419.0,78.6,20808.0,7364.0,430.0,500.0,86.0,522.0,615.0,84.9,143.0,250.0,57.2,0.0,1.5,1.3,-1.5,16.0,73.0,16.0,8.0,111.0,1419.0,1336.0,78.0,69.0,0.0,12.0,16.0,9.0,0.0,0.0,0.0,0.0,1115.0,5.0,17.0,36.0,1.21,29.0,0.0,1.0,1.0,3.0,2.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,42.0,24.0,24.0,14.0,4.0,17.0,35.0,48.6,18.0,44.0,29.0,15.0,71.0,113.0,121.0,1.0,1741.0,201.0,729.0,850.0,180.0,37.0,1741.0,13.0,10.0,76.9,3.0,23.1,908.0,4893.0,2727.0,34.0,31.0,3.0,12.0,6.0,1029.0,28.0,31,2686.0,87.0,78.5,29.8,30,89.0,27.0,1,30.0,1,1.16,38.0,51.0,-13.0,-0.44,0.67,36.9,47.7,-10.7,-0.36,0.28,7.0,2.0,1.0,48.0,35.0,1.0,16.0,71.0,24.0,0.0,1.0,0.0,178.0,76.0,38.0,66.7
Lorenzo De Silvestri,it ITA,DF,31.0,24.9,0.0,22.0,5.0,22.7,0.88,0.2,0.0,0.0,12.5,0.0,0.0,0.0,2.3,2.3,0.11,-2.3,-2.3,698.0,965.0,72.3,10861.0,4319.0,383.0,449.0,85.3,256.0,354.0,72.3,42.0,97.0,43.3,0.0,2.0,1.7,-2.0,19.0,43.0,21.0,16.0,82.0,965.0,781.0,180.0,6.0,0.0,2.0,81.0,174.0,0.0,0.0,0.0,0.0,698.0,4.0,32.0,35.0,1.4,28.0,3.0,1.0,1.0,2.0,0.0,4.0,0.16,3.0,0.0,0.0,1.0,0.0,0.0,15.0,8.0,4.0,7.0,4.0,11.0,27.0,40.7,16.0,20.0,7.0,13.0,19.0,34.0,72.0,0.0,1181.0,87.0,288.0,505.0,394.0,59.0,1181.0,9.0,4.0,44.4,5.0,55.6,529.0,2908.0,1488.0,49.0,24.0,4.0,25.0,14.0,712.0,138.0,29,2243.0,77.0,65.6,24.9,28,80.0,19.0,1,13.0,5,1.24,28.0,47.0,-19.0,-0.76,-0.53,26.9,39.0,-12.1,-0.49,-0.19,2.0,0.0,0.0,34.0,15.0,7.0,81.0,19.0,8.0,0.0,1.0,0.0,89.0,59.0,33.0,64.1
Gleison Bremer,br BRA,DF,22.0,25.2,3.0,14.0,6.0,42.9,0.56,0.24,0.21,0.5,11.3,0.0,0.0,0.0,1.7,1.7,0.12,1.3,1.3,914.0,1137.0,80.4,17853.0,6264.0,325.0,379.0,85.8,463.0,523.0,88.5,114.0,193.0,59.1,1.0,0.4,0.3,0.6,5.0,33.0,4.0,1.0,57.0,1137.0,1103.0,34.0,31.0,1.0,21.0,1.0,3.0,0.0,0.0,0.0,0.0,914.0,0.0,17.0,19.0,0.75,14.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,36.0,37.0,20.0,6.0,20.0,34.0,58.8,14.0,48.0,22.0,26.0,74.0,137.0,118.0,1.0,1507.0,172.0,792.0,657.0,73.0,26.0,1507.0,21.0,15.0,71.4,6.0,28.6,803.0,3903.0,2098.0,16.0,7.0,1.0,17.0,8.0,828.0,3.0,27,2270.0,84.0,66.4,25.2,27,84.0,21.0,0,,9,1.07,35.0,42.0,-7.0,-0.28,0.9,31.3,37.0,-5.8,-0.23,0.57,6.0,2.0,2.0,33.0,20.0,2.0,1.0,74.0,36.0,0.0,3.0,0.0,174.0,75.0,64.0,54.0
Simone Verdi,it ITA,"MF,FW",27.0,23.0,2.0,53.0,18.0,34.0,2.3,0.78,0.04,0.11,22.7,11.0,0.0,0.0,3.7,3.7,0.07,-1.7,-1.7,633.0,909.0,69.6,11666.0,3626.0,308.0,364.0,84.6,178.0,259.0,68.7,114.0,211.0,54.0,6.0,3.9,3.8,2.1,47.0,77.0,31.0,12.0,90.0,909.0,749.0,156.0,44.0,5.0,16.0,151.0,7.0,80.0,32.0,16.0,1.0,633.0,4.0,29.0,101.0,4.39,57.0,29.0,3.0,8.0,4.0,0.0,13.0,0.56,5.0,5.0,0.0,3.0,0.0,0.0,19.0,10.0,4.0,12.0,3.0,9.0,38.0,23.7,29.0,14.0,0.0,14.0,7.0,26.0,1.0,0.0,1142.0,9.0,123.0,514.0,527.0,49.0,1142.0,80.0,50.0,62.5,30.0,37.5,667.0,4332.0,2096.0,58.0,46.0,12.0,49.0,29.0,762.0,117.0,33,2073.0,63.0,60.6,23.0,26,73.0,5.0,7,26.0,0,0.91,30.0,41.0,-11.0,-0.48,0.26,28.4,38.5,-10.1,-0.44,-0.04,4.0,0.0,0.0,22.0,45.0,2.0,151.0,7.0,10.0,0.0,0.0,0.0,118.0,15.0,17.0,46.9
Soualiho Meïté,fr FRA,MF,25.0,24.5,0.0,23.0,3.0,13.0,0.94,0.12,0.0,0.0,23.7,0.0,0.0,0.0,1.2,1.2,0.05,-1.2,-1.2,753.0,919.0,81.9,13051.0,3318.0,352.0,424.0,83.0,293.0,323.0,90.7,84.0,110.0,76.4,2.0,1.7,1.4,0.3,22.0,80.0,25.0,8.0,113.0,919.0,887.0,25.0,14.0,1.0,13.0,16.0,1.0,3.0,0.0,0.0,0.0,753.0,7.0,15.0,55.0,2.25,48.0,1.0,1.0,2.0,1.0,2.0,4.0,0.16,3.0,0.0,0.0,1.0,0.0,0.0,32.0,18.0,14.0,13.0,5.0,12.0,35.0,34.3,23.0,31.0,6.0,25.0,24.0,56.0,36.0,0.0,1191.0,55.0,240.0,670.0,311.0,36.0,1191.0,80.0,62.0,77.5,18.0,22.5,673.0,3949.0,2315.0,59.0,37.0,4.0,45.0,35.0,780.0,40.0,33,2201.0,67.0,64.4,24.5,23,87.0,20.0,10,19.0,4,1.06,32.0,52.0,-20.0,-0.82,-0.67,30.7,41.3,-10.5,-0.43,-0.03,5.0,0.0,0.0,34.0,35.0,1.0,16.0,24.0,18.0,0.0,1.0,0.0,139.0,59.0,42.0,58.4
Álex Berenguer,es ESP,"MF,DF",24.0,20.3,6.0,40.0,14.0,35.0,1.97,0.69,0.15,0.43,17.8,0.0,0.0,0.0,4.0,4.0,0.1,2.0,2.0,582.0,791.0,73.6,8736.0,2533.0,347.0,394.0,88.1,155.0,219.0,70.8,50.0,109.0,45.9,2.0,4.0,3.2,-2.0,35.0,42.0,30.0,5.0,77.0,791.0,685.0,104.0,29.0,4.0,4.0,69.0,42.0,30.0,8.0,8.0,0.0,582.0,2.0,21.0,85.0,4.2,49.0,13.0,10.0,6.0,6.0,1.0,8.0,0.39,5.0,1.0,2.0,0.0,0.0,0.0,20.0,6.0,6.0,13.0,1.0,8.0,33.0,24.2,25.0,17.0,1.0,16.0,18.0,38.0,17.0,0.0,1061.0,21.0,153.0,452.0,481.0,67.0,1061.0,104.0,65.0,62.5,39.0,37.5,672.0,4983.0,2827.0,97.0,58.0,24.0,55.0,48.0,736.0,121.0,29,1823.0,63.0,53.3,20.3,21,79.0,8.0,8,21.0,7,1.1,28.0,36.0,-8.0,-0.39,0.39,24.6,30.3,-5.8,-0.29,0.29,4.0,0.0,0.0,28.0,40.0,8.0,69.0,18.0,6.0,0.0,0.0,0.0,106.0,15.0,43.0,25.9
