player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Juan Musso,ar ARG,GK,25.0,38.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,895.0,1174.0,76.2,24334.0,17295.0,199.0,200.0,99.5,369.0,374.0,98.7,318.0,585.0,54.4,0.0,0.1,0.0,-0.1,2.0,8.0,0.0,0.0,0.0,1174.0,721.0,449.0,91.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,4.0,2.0,4.0,0.11,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,18.0,2.0,1288.0,1124.0,1283.0,5.0,1.0,1.0,1288.0,1.0,1.0,100.0,0.0,0.0,616.0,3851.0,2665.0,0.0,0.0,0.0,2.0,0.0,409.0,0.0,38,3420.0,90.0,100.0,38.0,38,90.0,38.0,0,,0,1.18,37.0,51.0,-14.0,-0.37,,41.6,53.4,-11.8,-0.31,,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,66.0,3.0,0.0,100.0
Rodrigo De Paul,ar ARG,MF,25.0,31.4,7.0,85.0,29.0,34.1,2.71,0.92,0.08,0.24,22.1,3.0,0.0,0.0,5.1,5.1,0.06,1.9,1.9,1357.0,1837.0,73.9,25313.0,7196.0,589.0,685.0,86.0,505.0,653.0,77.3,208.0,367.0,56.7,6.0,9.4,7.2,-3.4,77.0,142.0,63.0,20.0,227.0,1837.0,1596.0,231.0,90.0,7.0,41.0,240.0,23.0,117.0,39.0,39.0,0.0,1357.0,10.0,44.0,165.0,5.26,104.0,33.0,9.0,7.0,6.0,6.0,17.0,0.54,6.0,4.0,2.0,2.0,1.0,2.0,61.0,31.0,31.0,26.0,4.0,27.0,65.0,41.5,38.0,38.0,3.0,35.0,29.0,90.0,8.0,1.0,2241.0,20.0,314.0,1084.0,892.0,89.0,2241.0,92.0,62.0,67.4,30.0,32.6,1459.0,10499.0,6029.0,176.0,132.0,32.0,70.0,48.0,1562.0,183.0,34,2822.0,83.0,82.5,31.4,33,85.0,26.0,1,20.0,0,1.21,32.0,43.0,-11.0,-0.35,0.1,35.3,44.9,-9.6,-0.31,0.03,5.0,1.0,0.0,33.0,76.0,2.0,240.0,29.0,31.0,0.0,0.0,0.0,220.0,1.0,9.0,10.0
Jens Stryger Larsen,dk DEN,DF,28.0,31.0,1.0,12.0,3.0,25.0,0.39,0.1,0.08,0.33,14.7,0.0,0.0,0.0,1.3,1.3,0.1,-0.3,-0.3,1223.0,1640.0,74.6,18462.0,8380.0,710.0,794.0,89.4,393.0,553.0,71.1,75.0,182.0,41.2,3.0,2.0,2.6,1.0,24.0,88.0,46.0,28.0,128.0,1640.0,1361.0,271.0,8.0,1.0,3.0,119.0,263.0,0.0,0.0,0.0,0.0,1223.0,8.0,39.0,55.0,1.77,50.0,3.0,2.0,0.0,0.0,0.0,4.0,0.13,4.0,0.0,0.0,0.0,0.0,0.0,27.0,19.0,15.0,9.0,3.0,17.0,30.0,56.7,13.0,20.0,5.0,15.0,20.0,47.0,52.0,0.0,1832.0,80.0,450.0,857.0,534.0,30.0,1832.0,22.0,16.0,72.7,6.0,27.3,1002.0,4571.0,2416.0,56.0,44.0,6.0,29.0,14.0,1175.0,145.0,33,2789.0,85.0,81.5,31.0,32,86.0,24.0,1,22.0,0,1.18,27.0,32.0,-5.0,-0.16,1.12,33.7,38.3,-4.7,-0.15,0.86,5.0,0.0,0.0,9.0,5.0,1.0,119.0,20.0,19.0,0.0,0.0,0.0,134.0,12.0,23.0,34.3
Ken Sema,se SWE,"DF,MF",25.0,27.3,2.0,17.0,4.0,23.5,0.62,0.15,0.12,0.5,21.7,1.0,0.0,0.0,0.6,0.6,0.04,1.4,1.4,757.0,1056.0,71.7,11284.0,4631.0,443.0,492.0,90.0,242.0,339.0,71.4,45.0,120.0,37.5,1.0,3.9,3.9,-2.9,39.0,33.0,45.0,32.0,66.0,1056.0,844.0,206.0,13.0,0.0,3.0,163.0,162.0,31.0,8.0,12.0,0.0,757.0,6.0,52.0,79.0,2.9,55.0,10.0,8.0,4.0,2.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,59.0,41.0,43.0,15.0,1.0,36.0,68.0,52.9,32.0,26.0,6.0,20.0,17.0,76.0,41.0,1.0,1353.0,62.0,383.0,482.0,506.0,44.0,1353.0,84.0,51.0,60.7,32.0,38.1,749.0,4637.0,2428.0,82.0,50.0,22.0,42.0,27.0,783.0,164.0,32,2453.0,77.0,71.7,27.3,30,81.0,15.0,2,6.0,1,1.19,22.0,33.0,-11.0,-0.4,-0.12,29.7,36.4,-6.7,-0.24,0.23,6.0,0.0,0.0,32.0,17.0,4.0,163.0,17.0,41.0,0.0,1.0,0.0,122.0,15.0,15.0,50.0
William Troost-Ekong,ng NGA,DF,25.0,28.6,0.0,6.0,0.0,0.0,0.21,0.0,0.0,,15.1,0.0,0.0,0.0,0.8,0.8,0.13,-0.8,-0.8,862.0,1058.0,81.5,18287.0,8082.0,207.0,245.0,84.5,519.0,570.0,91.1,127.0,219.0,58.0,0.0,0.1,0.4,-0.1,3.0,44.0,4.0,0.0,52.0,1058.0,1024.0,33.0,32.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,862.0,1.0,4.0,12.0,0.42,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,19.0,25.0,12.0,0.0,10.0,18.0,55.6,8.0,41.0,29.0,12.0,31.0,68.0,135.0,2.0,1334.0,256.0,775.0,545.0,21.0,11.0,1334.0,4.0,4.0,100.0,0.0,0.0,754.0,4737.0,2800.0,10.0,5.0,1.0,6.0,6.0,792.0,1.0,30,2576.0,86.0,75.3,28.6,29,89.0,27.0,1,2.0,6,1.17,29.0,43.0,-14.0,-0.49,-0.49,31.1,41.8,-10.8,-0.38,-0.27,5.0,0.0,0.0,18.0,8.0,0.0,1.0,31.0,19.0,0.0,2.0,0.0,123.0,46.0,31.0,59.7
Kevin Lasagna,it ITA,FW,26.0,28.5,10.0,79.0,34.0,43.0,2.77,1.19,0.13,0.29,15.1,1.0,0.0,0.0,10.6,10.6,0.13,-0.6,-0.6,325.0,480.0,67.7,4266.0,608.0,200.0,262.0,76.3,87.0,119.0,73.1,13.0,31.0,41.9,1.0,2.5,1.5,-1.5,23.0,17.0,17.0,1.0,38.0,480.0,442.0,35.0,0.0,0.0,3.0,19.0,2.0,0.0,0.0,0.0,0.0,325.0,3.0,17.0,58.0,2.03,42.0,0.0,3.0,5.0,8.0,0.0,4.0,0.14,2.0,0.0,2.0,0.0,0.0,0.0,27.0,14.0,7.0,13.0,7.0,6.0,31.0,19.4,25.0,23.0,1.0,22.0,10.0,37.0,18.0,1.0,811.0,25.0,84.0,326.0,420.0,145.0,811.0,35.0,12.0,34.3,23.0,65.7,448.0,2762.0,1402.0,66.0,36.0,35.0,79.0,28.0,525.0,139.0,36,2569.0,71.0,75.1,28.5,28,84.0,16.0,8,29.0,1,1.17,27.0,39.0,-12.0,-0.42,-0.21,31.1,39.8,-8.7,-0.31,0.02,1.0,0.0,0.0,46.0,33.0,15.0,19.0,10.0,14.0,0.0,0.0,0.0,78.0,45.0,79.0,36.3
Stefano Okaka,it ITA,FW,29.0,26.8,8.0,57.0,14.0,24.6,2.12,0.52,0.14,0.57,13.2,0.0,0.0,0.0,7.7,7.7,0.14,0.3,0.3,463.0,610.0,75.9,6116.0,1115.0,305.0,372.0,82.0,110.0,141.0,78.0,23.0,30.0,76.7,2.0,1.9,1.6,0.1,25.0,34.0,14.0,0.0,46.0,610.0,577.0,31.0,2.0,2.0,2.0,7.0,4.0,0.0,0.0,0.0,0.0,463.0,2.0,23.0,71.0,2.64,50.0,0.0,8.0,8.0,3.0,2.0,7.0,0.26,5.0,0.0,0.0,1.0,0.0,1.0,19.0,11.0,6.0,8.0,5.0,7.0,27.0,25.9,20.0,23.0,2.0,21.0,8.0,27.0,28.0,0.0,939.0,35.0,82.0,489.0,385.0,116.0,939.0,67.0,43.0,64.2,24.0,35.8,646.0,4001.0,1613.0,61.0,42.0,23.0,87.0,69.0,757.0,168.0,33,2415.0,73.0,70.6,26.8,28,81.0,15.0,5,28.0,0,1.27,26.0,33.0,-7.0,-0.26,0.37,31.5,37.5,-6.0,-0.22,0.29,10.0,0.0,0.0,69.0,66.0,21.0,7.0,8.0,11.0,0.0,0.0,0.0,70.0,70.0,96.0,42.2
Bram Nuytinck,nl NED,DF,29.0,24.7,0.0,6.0,0.0,0.0,0.24,0.0,0.0,,10.7,0.0,0.0,0.0,0.5,0.5,0.09,-0.5,-0.5,1102.0,1308.0,84.3,20315.0,8462.0,425.0,459.0,92.6,553.0,618.0,89.5,106.0,198.0,53.5,0.0,1.0,0.4,-1.0,7.0,95.0,3.0,0.0,91.0,1308.0,1258.0,46.0,32.0,0.0,13.0,6.0,14.0,0.0,0.0,0.0,0.0,1102.0,4.0,6.0,19.0,0.77,16.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,32.0,30.0,13.0,3.0,17.0,27.0,63.0,10.0,50.0,32.0,18.0,27.0,73.0,96.0,1.0,1550.0,198.0,769.0,735.0,60.0,14.0,1550.0,5.0,3.0,60.0,2.0,40.0,965.0,4547.0,2771.0,20.0,13.0,2.0,4.0,1.0,1018.0,5.0,26,2225.0,86.0,65.1,24.7,26,86.0,22.0,0,,10,1.23,29.0,31.0,-2.0,-0.08,0.82,29.5,31.0,-1.5,-0.06,0.72,2.0,0.0,0.0,20.0,9.0,0.0,6.0,27.0,32.0,0.0,1.0,0.0,131.0,35.0,39.0,47.3
Seko Fofana,ci CIV,MF,24.0,25.0,3.0,46.0,13.0,28.3,1.84,0.52,0.07,0.23,23.0,0.0,0.0,0.0,3.4,3.4,0.07,-0.4,-0.4,922.0,1070.0,86.2,14728.0,3001.0,483.0,535.0,90.3,312.0,344.0,90.7,81.0,106.0,76.4,7.0,3.7,1.9,3.3,49.0,65.0,26.0,3.0,102.0,1070.0,1056.0,10.0,3.0,4.0,14.0,21.0,7.0,0.0,0.0,0.0,0.0,922.0,4.0,21.0,93.0,3.72,73.0,1.0,11.0,4.0,4.0,0.0,9.0,0.36,7.0,0.0,2.0,0.0,0.0,0.0,17.0,12.0,8.0,8.0,1.0,9.0,35.0,25.7,26.0,20.0,1.0,19.0,17.0,34.0,19.0,0.0,1297.0,24.0,212.0,714.0,411.0,49.0,1297.0,98.0,71.0,72.4,27.0,27.6,911.0,5894.0,2903.0,71.0,55.0,14.0,38.0,31.0,976.0,123.0,32,2249.0,70.0,65.8,25.0,24,84.0,14.0,8,29.0,6,1.13,25.0,30.0,-5.0,-0.2,0.49,27.5,29.1,-1.7,-0.07,0.71,4.0,0.0,0.0,20.0,20.0,0.0,21.0,17.0,12.0,0.0,0.0,0.0,160.0,7.0,17.0,29.2
Rodrigo Becão,br BRA,DF,23.0,24.6,1.0,7.0,2.0,28.6,0.28,0.08,0.14,0.5,15.0,0.0,0.0,0.0,0.6,0.6,0.09,0.4,0.4,878.0,1036.0,84.7,16103.0,6335.0,364.0,394.0,92.4,408.0,458.0,89.1,92.0,147.0,62.6,1.0,0.6,0.2,0.4,2.0,51.0,1.0,0.0,59.0,1036.0,987.0,47.0,41.0,0.0,12.0,5.0,6.0,0.0,0.0,0.0,0.0,878.0,2.0,11.0,9.0,0.37,7.0,0.0,0.0,1.0,0.0,1.0,1.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,56.0,25.0,34.0,19.0,3.0,26.0,46.0,56.5,20.0,40.0,20.0,20.0,45.0,101.0,77.0,0.0,1307.0,178.0,659.0,605.0,53.0,16.0,1307.0,4.0,1.0,25.0,3.0,75.0,749.0,3367.0,2051.0,12.0,7.0,2.0,13.0,6.0,815.0,9.0,29,2213.0,76.0,64.7,24.6,24,88.0,21.0,5,19.0,6,1.17,23.0,34.0,-11.0,-0.45,-0.22,25.0,38.6,-13.6,-0.55,-0.69,8.0,0.0,0.0,44.0,27.0,1.0,5.0,45.0,25.0,0.0,2.0,0.0,96.0,61.0,23.0,72.6
