player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Marten de Roon,nl NED,MF,29.0,33.6,1.0,17.0,3.0,17.6,0.51,0.09,0.06,0.33,26.2,0.0,0.0,0.0,0.6,0.6,0.04,0.4,0.4,1865.0,2205.0,84.6,34012.0,11402.0,783.0,873.0,89.7,872.0,964.0,90.5,191.0,286.0,66.8,1.0,0.9,1.8,0.1,19.0,264.0,21.0,2.0,245.0,2205.0,2114.0,80.0,65.0,0.0,20.0,16.0,15.0,0.0,0.0,0.0,0.0,1865.0,11.0,20.0,70.0,2.09,66.0,2.0,0.0,0.0,0.0,2.0,7.0,0.21,6.0,0.0,0.0,0.0,0.0,1.0,80.0,48.0,30.0,36.0,14.0,36.0,84.0,42.9,48.0,44.0,9.0,35.0,69.0,149.0,40.0,0.0,2491.0,74.0,540.0,1527.0,439.0,13.0,2491.0,16.0,12.0,75.0,4.0,25.0,1412.0,5755.0,3080.0,37.0,42.0,5.0,17.0,10.0,1627.0,34.0,35,3021.0,86.0,88.3,33.6,33,89.0,31,2,40.0,0,2.03,78.0,42.0,36.0,1.07,-0.51,65.4,36.7,28.7,0.86,-0.26,8.0,1.0,0.0,65.0,23.0,0.0,16.0,69.0,48.0,0.0,0.0,0.0,258.0,65.0,44.0,59.6
Remo Freuler,ch SUI,MF,28.0,30.1,2.0,20.0,6.0,30.0,0.66,0.2,0.1,0.33,16.6,0.0,0.0,0.0,1.9,1.9,0.09,0.1,0.1,1876.0,2122.0,88.4,30938.0,10005.0,891.0,968.0,92.0,815.0,898.0,90.8,124.0,170.0,72.9,3.0,3.3,3.5,-0.3,30.0,254.0,41.0,5.0,242.0,2122.0,2030.0,89.0,66.0,2.0,18.0,19.0,21.0,2.0,0.0,0.0,0.0,1876.0,3.0,25.0,89.0,2.95,73.0,3.0,4.0,3.0,4.0,2.0,14.0,0.46,12.0,0.0,1.0,0.0,0.0,1.0,63.0,39.0,17.0,38.0,8.0,32.0,76.0,42.1,44.0,52.0,4.0,48.0,39.0,102.0,27.0,2.0,2431.0,48.0,432.0,1429.0,593.0,49.0,2431.0,55.0,39.0,70.9,16.0,29.1,1454.0,7558.0,3917.0,73.0,69.0,9.0,51.0,30.0,1709.0,67.0,34,2712.0,80.0,79.3,30.1,32,84.0,21,2,14.0,4,2.24,72.0,27.0,45.0,1.49,1.75,58.0,28.7,29.3,0.97,0.41,5.0,0.0,0.0,38.0,31.0,1.0,19.0,39.0,39.0,0.0,0.0,0.0,258.0,17.0,24.0,41.5
Robin Gosens,de GER,DF,26.0,28.0,11.0,52.0,21.0,40.4,1.85,0.75,0.21,0.52,12.3,0.0,0.0,0.0,8.4,8.4,0.16,2.6,2.6,1320.0,1638.0,80.6,19206.0,7040.0,802.0,913.0,87.8,431.0,523.0,82.4,51.0,104.0,49.0,6.0,3.6,3.9,2.4,29.0,96.0,35.0,12.0,134.0,1638.0,1429.0,207.0,13.0,0.0,8.0,62.0,194.0,0.0,0.0,0.0,0.0,1320.0,2.0,34.0,79.0,2.82,65.0,2.0,3.0,4.0,2.0,3.0,13.0,0.46,12.0,1.0,0.0,0.0,0.0,0.0,46.0,35.0,20.0,15.0,11.0,17.0,41.0,41.5,24.0,50.0,7.0,43.0,41.0,87.0,34.0,0.0,1955.0,55.0,415.0,878.0,678.0,109.0,1955.0,40.0,26.0,65.0,14.0,35.0,1054.0,4608.0,2592.0,71.0,57.0,16.0,41.0,16.0,1301.0,204.0,32,2523.0,79.0,73.8,28.0,30,82.0,12,2,39.0,0,2.13,71.0,33.0,38.0,1.36,0.85,54.0,28.7,25.3,0.9,0.06,9.0,1.0,1.0,50.0,26.0,9.0,62.0,41.0,35.0,0.0,2.0,1.0,167.0,36.0,20.0,64.3
Cristian Romero,ar ARG,DF,22.0,28.3,2.0,14.0,7.0,50.0,0.5,0.25,0.14,0.29,11.1,0.0,0.0,0.0,1.3,1.3,0.09,0.7,0.7,1134.0,1315.0,86.2,21761.0,7481.0,372.0,441.0,84.4,631.0,677.0,93.2,117.0,146.0,80.1,2.0,0.8,0.4,1.2,9.0,54.0,7.0,0.0,71.0,1315.0,1261.0,53.0,47.0,1.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,1134.0,1.0,17.0,28.0,0.99,21.0,0.0,1.0,2.0,2.0,2.0,5.0,0.18,3.0,0.0,1.0,0.0,1.0,0.0,63.0,32.0,41.0,19.0,3.0,27.0,49.0,55.1,22.0,31.0,13.0,18.0,96.0,159.0,71.0,2.0,1662.0,153.0,764.0,817.0,100.0,29.0,1662.0,14.0,7.0,50.0,7.0,50.0,863.0,4722.0,1995.0,26.0,18.0,0.0,16.0,7.0,818.0,8.0,31,2545.0,82.0,74.4,28.3,29,85.0,24,2,41.0,3,2.19,69.0,35.0,34.0,1.2,0.28,56.3,30.0,26.3,0.93,0.18,10.0,0.0,0.0,70.0,32.0,0.0,0.0,96.0,32.0,1.0,0.0,0.0,237.0,112.0,50.0,69.1
Rafael Tolói,it ITA,DF,29.0,28.2,2.0,29.0,8.0,27.6,1.03,0.28,0.07,0.25,12.9,0.0,0.0,0.0,3.3,3.3,0.11,-1.3,-1.3,1394.0,1698.0,82.1,24390.0,8805.0,669.0,718.0,93.2,564.0,662.0,85.2,140.0,243.0,57.6,0.0,1.2,1.5,-1.2,15.0,160.0,18.0,5.0,157.0,1698.0,1606.0,88.0,37.0,1.0,15.0,30.0,51.0,0.0,0.0,0.0,0.0,1394.0,4.0,36.0,45.0,1.6,37.0,1.0,1.0,2.0,2.0,2.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,51.0,23.0,21.0,26.0,4.0,26.0,48.0,54.2,22.0,37.0,7.0,30.0,33.0,84.0,66.0,0.0,1959.0,103.0,616.0,990.0,374.0,52.0,1959.0,16.0,8.0,50.0,8.0,50.0,1092.0,4863.0,2823.0,40.0,36.0,3.0,22.0,13.0,1317.0,77.0,31,2537.0,82.0,74.2,28.2,29,85.0,23,2,32.0,1,1.9,63.0,36.0,27.0,0.96,-0.67,54.3,30.4,23.9,0.85,-0.15,9.0,0.0,0.0,38.0,15.0,1.0,30.0,33.0,23.0,0.0,2.0,0.0,190.0,46.0,28.0,62.2
Duván Zapata,co COL,FW,29.0,26.4,15.0,98.0,38.0,38.8,3.71,1.44,0.14,0.37,13.6,0.0,1.0,1.0,15.2,14.4,0.15,-0.2,-0.4,614.0,817.0,75.2,8101.0,976.0,394.0,465.0,84.7,163.0,210.0,77.6,25.0,43.0,58.1,9.0,5.4,5.4,3.6,42.0,16.0,23.0,3.0,48.0,817.0,758.0,56.0,1.0,0.0,5.0,48.0,5.0,0.0,0.0,0.0,0.0,614.0,3.0,41.0,105.0,3.97,80.0,1.0,6.0,10.0,8.0,0.0,15.0,0.57,13.0,0.0,0.0,0.0,2.0,0.0,12.0,5.0,2.0,3.0,7.0,4.0,13.0,30.8,9.0,19.0,5.0,14.0,6.0,18.0,19.0,0.0,1214.0,24.0,57.0,374.0,798.0,221.0,1213.0,85.0,34.0,40.0,51.0,60.0,836.0,4620.0,1892.0,88.0,46.0,56.0,114.0,65.0,1009.0,329.0,37,2379.0,64.0,69.6,26.4,29,73.0,3,8,34.0,0,2.03,60.0,33.0,27.0,1.02,-0.36,50.4,29.7,20.7,0.78,-0.34,0.0,0.0,0.0,29.0,49.0,21.0,48.0,6.0,5.0,1.0,0.0,0.0,69.0,48.0,52.0,48.0
Berat Djimsiti,al ALB,DF,27.0,29.2,0.0,20.0,1.0,5.0,0.69,0.03,0.0,0.0,11.2,0.0,0.0,0.0,1.7,1.7,0.09,-1.7,-1.7,1568.0,1798.0,87.2,25553.0,8946.0,777.0,845.0,92.0,634.0,706.0,89.8,113.0,166.0,68.1,3.0,2.3,2.5,0.7,21.0,135.0,23.0,2.0,150.0,1798.0,1706.0,91.0,40.0,0.0,10.0,9.0,51.0,0.0,0.0,0.0,0.0,1568.0,1.0,17.0,40.0,1.37,32.0,2.0,1.0,5.0,0.0,0.0,7.0,0.24,4.0,1.0,0.0,2.0,0.0,0.0,41.0,29.0,27.0,12.0,2.0,17.0,34.0,50.0,17.0,34.0,20.0,14.0,62.0,103.0,89.0,1.0,2093.0,161.0,737.0,1051.0,318.0,49.0,2093.0,13.0,10.0,76.9,3.0,23.1,1209.0,5954.0,3254.0,42.0,52.0,5.0,25.0,9.0,1367.0,51.0,33,2625.0,80.0,76.8,29.2,28,86.0,23,5,42.0,2,2.03,69.0,34.0,35.0,1.2,0.29,57.6,31.5,26.1,0.89,0.04,8.0,0.0,0.0,31.0,26.0,1.0,9.0,62.0,29.0,0.0,0.0,0.0,192.0,76.0,31.0,71.0
José Luis Palomino,ar ARG,DF,30.0,27.0,1.0,4.0,1.0,25.0,0.15,0.04,0.25,1.0,25.9,0.0,0.0,0.0,0.3,0.3,0.07,0.7,0.7,1273.0,1554.0,81.9,23856.0,8941.0,462.0,523.0,88.3,655.0,739.0,88.6,134.0,242.0,55.4,2.0,0.8,0.6,1.2,9.0,93.0,2.0,0.0,136.0,1554.0,1470.0,79.0,60.0,0.0,4.0,14.0,19.0,0.0,0.0,0.0,0.0,1273.0,5.0,15.0,16.0,0.59,15.0,0.0,0.0,0.0,0.0,1.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,67.0,33.0,41.0,19.0,7.0,24.0,48.0,50.0,24.0,30.0,16.0,14.0,79.0,146.0,60.0,2.0,1831.0,153.0,836.0,914.0,97.0,17.0,1831.0,2.0,2.0,100.0,0.0,0.0,982.0,4780.0,2169.0,16.0,12.0,2.0,13.0,5.0,1026.0,14.0,36,2428.0,67.0,71.0,27.0,25,88.0,23,11,21.0,1,2.06,61.0,35.0,26.0,0.96,-0.58,52.0,30.4,21.7,0.8,-0.29,3.0,0.0,0.0,48.0,16.0,2.0,14.0,79.0,33.0,0.0,1.0,0.0,222.0,59.0,45.0,56.7
Pierluigi Gollini,it ITA,GK,25.0,24.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,511.0,669.0,76.4,15171.0,10270.0,57.0,58.0,98.3,249.0,253.0,98.4,203.0,352.0,57.7,0.0,0.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,669.0,511.0,155.0,39.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,511.0,3.0,2.0,4.0,0.17,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.04,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,1.0,2.0,11.0,0.0,717.0,575.0,712.0,5.0,0.0,0.0,717.0,1.0,1.0,100.0,0.0,0.0,434.0,2072.0,1207.0,0.0,0.0,0.0,1.0,0.0,367.0,0.0,25,2156.0,86.0,63.0,24.0,25,86.0,23,0,,7,2.0,55.0,26.0,29.0,1.21,0.21,47.4,26.6,20.8,0.87,-0.04,0.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48.0,5.0,0.0,100.0
Ruslan Malinovskyi,ua UKR,"MF,FW",27.0,20.8,8.0,66.0,20.0,30.3,3.17,0.96,0.11,0.35,22.1,12.0,1.0,1.0,5.6,4.9,0.07,2.4,2.1,840.0,1128.0,74.5,15502.0,5075.0,371.0,440.0,84.3,330.0,425.0,77.6,111.0,190.0,58.4,12.0,10.2,6.7,1.8,78.0,89.0,58.0,7.0,151.0,1128.0,1010.0,112.0,20.0,8.0,23.0,122.0,6.0,85.0,40.0,44.0,0.0,840.0,6.0,25.0,133.0,6.38,91.0,24.0,7.0,4.0,7.0,0.0,19.0,0.91,17.0,2.0,0.0,0.0,0.0,0.0,19.0,8.0,2.0,13.0,4.0,8.0,23.0,34.8,15.0,16.0,1.0,15.0,2.0,21.0,4.0,0.0,1396.0,6.0,85.0,549.0,782.0,69.0,1395.0,88.0,51.0,58.0,37.0,42.0,938.0,5426.0,2622.0,90.0,59.0,23.0,64.0,47.0,1086.0,178.0,36,1876.0,52.0,54.9,20.8,22,72.0,3,14,22.0,0,2.14,55.0,21.0,34.0,1.63,1.11,42.6,22.6,20.1,0.96,0.17,3.0,0.0,0.0,46.0,53.0,1.0,122.0,2.0,8.0,0.0,0.0,0.0,121.0,29.0,31.0,48.3
