player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Lorenzo Montipò,it ITA,GK,24.0,37.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,803.0,1242.0,64.7,24351.0,17210.0,141.0,142.0,99.3,294.0,307.0,95.8,362.0,780.0,46.4,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,1242.0,788.0,449.0,178.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,803.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,16.0,3.0,1338.0,1090.0,1334.0,4.0,0.0,0.0,1338.0,0.0,0.0,,0.0,,607.0,3296.0,1790.0,0.0,0.0,0.0,1.0,0.0,523.0,0.0,37,3330.0,90.0,97.4,37.0,37,90.0,37,0,,0,0.86,39.0,74.0,-35.0,-0.95,-0.95,40.2,63.1,-22.9,-0.62,0.15,3.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,31.0,9.0,2.0,81.8
Kamil Glik,pl POL,DF,32.0,35.6,2.0,29.0,11.0,37.9,0.81,0.31,0.07,0.18,11.6,0.0,0.0,0.0,3.4,3.4,0.12,-1.4,-1.4,1148.0,1301.0,88.2,23627.0,7644.0,308.0,345.0,89.3,663.0,709.0,93.5,154.0,214.0,72.0,1.0,0.7,0.5,0.3,4.0,37.0,0.0,0.0,67.0,1301.0,1233.0,65.0,57.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,1148.0,3.0,0.0,18.0,0.51,14.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,24.0,33.0,10.0,1.0,25.0,53.0,47.2,28.0,37.0,31.0,6.0,62.0,106.0,153.0,0.0,1663.0,290.0,1022.0,586.0,64.0,46.0,1663.0,4.0,2.0,50.0,2.0,50.0,789.0,3341.0,1663.0,3.0,6.0,0.0,14.0,4.0,944.0,7.0,36,3206.0,89.0,93.7,35.6,36,89.0,35,0,,0,0.83,39.0,73.0,-34.0,-0.95,-0.53,39.8,59.8,-20.0,-0.56,0.98,10.0,1.0,1.0,32.0,21.0,0.0,1.0,62.0,24.0,0.0,0.0,1.0,137.0,87.0,55.0,61.3
Artur Ioniță,md MDA,MF,29.0,31.5,2.0,23.0,7.0,30.4,0.73,0.22,0.09,0.29,19.9,0.0,0.0,0.0,1.7,1.7,0.07,0.3,0.3,574.0,754.0,76.1,8316.0,2105.0,326.0,383.0,85.1,184.0,231.0,79.7,28.0,52.0,53.8,0.0,0.9,0.7,-0.9,13.0,44.0,12.0,3.0,64.0,754.0,738.0,12.0,9.0,0.0,4.0,25.0,3.0,0.0,0.0,0.0,0.0,574.0,4.0,25.0,28.0,0.89,24.0,0.0,1.0,0.0,2.0,1.0,4.0,0.13,3.0,0.0,0.0,0.0,1.0,0.0,47.0,22.0,11.0,31.0,5.0,17.0,63.0,27.0,46.0,38.0,14.0,24.0,19.0,66.0,28.0,0.0,1017.0,45.0,217.0,577.0,239.0,28.0,1017.0,25.0,17.0,68.0,8.0,32.0,465.0,2359.0,1132.0,30.0,24.0,1.0,27.0,22.0,562.0,54.0,36,2835.0,79.0,82.9,31.5,34,81.0,20,2,34.0,0,0.86,34.0,64.0,-30.0,-0.95,-0.18,33.2,55.1,-21.9,-0.7,-0.43,6.0,0.0,0.0,59.0,23.0,1.0,25.0,19.0,22.0,2.0,0.0,0.0,125.0,65.0,91.0,41.7
Federico Barba,it ITA,DF,26.0,29.5,0.0,13.0,3.0,23.1,0.44,0.1,0.0,0.0,14.4,0.0,0.0,0.0,0.8,0.8,0.06,-0.8,-0.8,1095.0,1396.0,78.4,19174.0,7531.0,465.0,527.0,88.2,496.0,606.0,81.8,101.0,198.0,51.0,2.0,1.4,1.3,0.6,13.0,56.0,14.0,4.0,80.0,1396.0,1152.0,240.0,61.0,0.0,4.0,38.0,171.0,0.0,0.0,0.0,0.0,1095.0,4.0,23.0,29.0,0.98,23.0,2.0,0.0,3.0,1.0,0.0,4.0,0.14,3.0,0.0,0.0,1.0,0.0,0.0,31.0,16.0,22.0,8.0,1.0,21.0,35.0,60.0,14.0,39.0,18.0,21.0,48.0,79.0,94.0,4.0,1672.0,154.0,817.0,669.0,201.0,25.0,1672.0,8.0,5.0,62.5,3.0,37.5,760.0,3883.0,2099.0,23.0,22.0,1.0,14.0,6.0,891.0,26.0,32,2659.0,83.0,77.7,29.5,31,85.0,26,1,16.0,0,0.84,30.0,55.0,-25.0,-0.85,0.34,31.7,46.1,-14.4,-0.49,0.61,8.0,0.0,0.0,27.0,10.0,1.0,38.0,48.0,16.0,0.0,0.0,1.0,116.0,22.0,30.0,42.3
Gianluca Lapadula,pe PER,FW,30.0,28.5,8.0,75.0,28.0,37.3,2.63,0.98,0.11,0.29,16.1,5.0,0.0,1.0,9.7,8.8,0.12,-1.7,-0.8,320.0,470.0,68.1,4204.0,895.0,194.0,256.0,75.8,88.0,123.0,71.5,13.0,19.0,68.4,2.0,3.7,1.9,-1.7,33.0,12.0,11.0,1.0,44.0,470.0,426.0,44.0,0.0,1.0,2.0,14.0,1.0,0.0,0.0,0.0,0.0,320.0,0.0,17.0,72.0,2.53,50.0,1.0,3.0,7.0,9.0,2.0,8.0,0.28,4.0,0.0,0.0,1.0,3.0,0.0,22.0,12.0,3.0,13.0,6.0,6.0,25.0,24.0,19.0,18.0,3.0,15.0,5.0,27.0,16.0,0.0,742.0,22.0,50.0,296.0,411.0,160.0,741.0,22.0,16.0,72.7,6.0,27.3,396.0,2131.0,1041.0,42.0,27.0,22.0,64.0,37.0,542.0,169.0,37,2563.0,69.0,74.9,28.5,29,79.0,10,8,32.0,1,0.86,30.0,51.0,-21.0,-0.74,0.73,33.0,45.3,-12.3,-0.43,0.76,2.0,0.0,0.0,48.0,68.0,34.0,14.0,5.0,12.0,3.0,0.0,0.0,55.0,34.0,88.0,27.9
Përparim Hetemaj,fi FIN,MF,33.0,24.6,0.0,12.0,3.0,25.0,0.49,0.12,0.0,0.0,20.1,0.0,0.0,0.0,0.6,0.6,0.05,-0.6,-0.6,656.0,869.0,75.5,10388.0,3115.0,338.0,402.0,84.1,248.0,306.0,81.0,45.0,96.0,46.9,2.0,1.4,1.6,0.6,14.0,46.0,20.0,6.0,88.0,869.0,842.0,26.0,14.0,0.0,6.0,43.0,12.0,0.0,0.0,0.0,0.0,656.0,1.0,21.0,32.0,1.3,29.0,0.0,1.0,0.0,2.0,0.0,3.0,0.12,3.0,0.0,0.0,0.0,0.0,0.0,44.0,27.0,21.0,18.0,5.0,26.0,61.0,42.6,35.0,41.0,5.0,36.0,22.0,66.0,24.0,1.0,1122.0,27.0,271.0,610.0,258.0,22.0,1122.0,34.0,18.0,52.9,16.0,47.1,605.0,3061.0,1300.0,27.0,23.0,1.0,35.0,28.0,701.0,52.0,31,2212.0,71.0,64.7,24.6,27,79.0,14,4,18.0,6,0.94,24.0,44.0,-20.0,-0.81,0.3,22.6,34.7,-12.2,-0.5,0.36,5.0,0.0,0.0,41.0,78.0,1.0,43.0,22.0,27.0,0.0,0.0,0.0,158.0,14.0,28.0,33.3
Pasquale Schiattarella,it ITA,MF,33.0,25.0,1.0,11.0,6.0,54.5,0.44,0.24,0.09,0.17,15.6,0.0,0.0,0.0,0.7,0.7,0.07,0.3,0.3,1091.0,1353.0,80.6,19050.0,6549.0,471.0,524.0,89.9,461.0,544.0,84.7,108.0,186.0,58.1,1.0,2.2,1.4,-1.2,25.0,131.0,24.0,2.0,144.0,1353.0,1250.0,91.0,85.0,3.0,11.0,6.0,5.0,0.0,0.0,0.0,0.0,1091.0,12.0,18.0,57.0,2.28,47.0,2.0,2.0,3.0,1.0,2.0,4.0,0.16,3.0,0.0,0.0,1.0,0.0,0.0,37.0,22.0,25.0,12.0,0.0,19.0,47.0,40.4,28.0,19.0,5.0,14.0,32.0,69.0,29.0,2.0,1535.0,65.0,401.0,967.0,182.0,9.0,1535.0,17.0,15.0,88.2,2.0,11.8,851.0,3855.0,2095.0,24.0,21.0,2.0,19.0,11.0,1011.0,9.0,29,2247.0,77.0,65.7,25.0,26,83.0,18,3,27.0,2,0.79,27.0,52.0,-25.0,-1.0,-0.23,27.3,44.5,-17.2,-0.69,-0.19,13.0,1.0,0.0,36.0,54.0,1.0,6.0,32.0,22.0,0.0,0.0,0.0,172.0,12.0,8.0,60.0
Riccardo Improta,it ITA,"DF,MF",26.0,25.9,1.0,35.0,6.0,17.1,1.35,0.23,0.03,0.17,19.0,0.0,0.0,0.0,2.0,2.0,0.06,-1.0,-1.0,658.0,936.0,70.3,10025.0,4208.0,362.0,428.0,84.6,213.0,291.0,73.2,51.0,116.0,44.0,0.0,2.4,2.6,-2.4,21.0,66.0,33.0,18.0,81.0,936.0,853.0,80.0,8.0,0.0,2.0,77.0,71.0,0.0,0.0,0.0,0.0,658.0,3.0,46.0,60.0,2.31,50.0,2.0,2.0,4.0,2.0,0.0,4.0,0.15,4.0,0.0,0.0,0.0,0.0,0.0,39.0,23.0,25.0,8.0,6.0,21.0,45.0,46.7,24.0,23.0,4.0,19.0,28.0,67.0,47.0,0.0,1205.0,70.0,297.0,499.0,423.0,53.0,1205.0,38.0,24.0,63.2,14.0,36.8,665.0,4020.0,2200.0,58.0,50.0,10.0,35.0,19.0,788.0,139.0,34,2335.0,69.0,68.3,25.9,23,85.0,15,11,34.0,1,0.91,26.0,50.0,-24.0,-0.93,-0.01,29.8,40.9,-11.1,-0.43,0.61,7.0,0.0,0.0,23.0,55.0,2.0,77.0,28.0,23.0,0.0,0.0,1.0,121.0,49.0,49.0,50.0
Gianluca Caprari,it ITA,"MF,FW",27.0,20.7,5.0,47.0,15.0,31.9,2.27,0.72,0.11,0.33,21.7,8.0,0.0,1.0,4.0,3.2,0.07,1.0,1.8,507.0,711.0,71.3,8148.0,2103.0,259.0,309.0,83.8,170.0,225.0,75.6,50.0,119.0,42.0,6.0,3.0,2.3,3.0,35.0,38.0,22.0,5.0,65.0,711.0,568.0,140.0,33.0,2.0,5.0,106.0,10.0,70.0,23.0,39.0,0.0,507.0,3.0,19.0,85.0,4.1,36.0,18.0,12.0,10.0,7.0,2.0,9.0,0.43,4.0,4.0,0.0,0.0,0.0,1.0,16.0,11.0,5.0,5.0,6.0,6.0,31.0,19.4,25.0,19.0,1.0,18.0,18.0,34.0,8.0,0.0,1000.0,8.0,129.0,418.0,477.0,74.0,999.0,95.0,52.0,54.7,43.0,45.3,582.0,4354.0,1809.0,65.0,40.0,34.0,71.0,50.0,642.0,130.0,30,1865.0,62.0,54.5,20.7,23,73.0,2,7,27.0,2,0.93,23.0,36.0,-13.0,-0.63,0.65,22.4,34.0,-11.6,-0.56,0.14,4.0,1.0,0.0,23.0,55.0,8.0,106.0,18.0,11.0,1.0,0.0,0.0,129.0,3.0,30.0,9.1
Alessandro Tuia,it ITA,DF,30.0,19.6,1.0,8.0,1.0,12.5,0.41,0.05,0.13,1.0,12.0,1.0,0.0,0.0,0.8,0.8,0.1,0.2,0.2,626.0,809.0,77.4,12975.0,5152.0,189.0,214.0,88.3,340.0,396.0,85.9,91.0,173.0,52.6,0.0,0.3,0.2,-0.3,3.0,38.0,3.0,0.0,44.0,809.0,732.0,72.0,29.0,1.0,7.0,3.0,42.0,0.0,0.0,0.0,0.0,626.0,5.0,8.0,7.0,0.36,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,17.0,34.0,4.0,1.0,15.0,25.0,60.0,10.0,22.0,10.0,12.0,36.0,75.0,91.0,1.0,1030.0,148.0,580.0,419.0,36.0,12.0,1030.0,4.0,3.0,75.0,1.0,25.0,490.0,2413.0,1375.0,4.0,2.0,0.0,9.0,4.0,595.0,2.0,27,1765.0,65.0,51.6,19.6,19,78.0,8,8,34.0,3,1.04,20.0,34.0,-14.0,-0.71,0.43,22.4,29.1,-6.7,-0.34,0.58,6.0,0.0,0.0,26.0,10.0,0.0,3.0,36.0,17.0,0.0,2.0,0.0,61.0,29.0,20.0,59.2
