player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Alex Cordaz,it ITA,GK,37.0,36.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1045.0,1441.0,72.5,27128.0,20701.0,263.0,266.0,98.9,447.0,467.0,95.7,330.0,699.0,47.2,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,1.0,1441.0,1021.0,419.0,113.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1045.0,1.0,2.0,3.0,0.08,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,7.0,2.0,1529.0,1287.0,1521.0,8.0,0.0,0.0,1529.0,1.0,1.0,100.0,0.0,0.0,841.0,4267.0,2352.0,0.0,0.0,0.0,1.0,0.0,720.0,0.0,36,3240.0,90.0,94.7,36.0,36,90.0,36,0,,1,0.58,44.0,91.0,-47.0,-1.31,-1.31,36.8,68.7,-31.9,-0.89,-1.59,1.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0,4.0,0.0,100.0
Junior Messias,br BRA,"MF,FW",29.0,35.7,9.0,98.0,31.0,31.6,2.74,0.87,0.09,0.29,21.8,9.0,0.0,0.0,7.6,7.6,0.08,1.4,1.4,871.0,1214.0,71.7,14046.0,3935.0,459.0,548.0,83.8,297.0,395.0,75.2,80.0,177.0,45.2,4.0,2.6,3.2,1.4,32.0,79.0,34.0,7.0,135.0,1214.0,1100.0,105.0,40.0,1.0,9.0,123.0,15.0,44.0,29.0,4.0,0.0,871.0,9.0,21.0,112.0,3.14,49.0,10.0,21.0,17.0,11.0,4.0,16.0,0.45,5.0,2.0,1.0,4.0,1.0,3.0,60.0,35.0,26.0,24.0,10.0,22.0,70.0,31.4,48.0,32.0,12.0,20.0,35.0,95.0,40.0,0.0,1743.0,72.0,277.0,796.0,717.0,96.0,1743.0,163.0,105.0,64.4,57.0,35.0,1077.0,8824.0,5105.0,166.0,115.0,30.0,110.0,58.0,1218.0,213.0,36,3215.0,89.0,94.0,35.7,36,89.0,32,0,,0,0.61,44.0,86.0,-42.0,-1.18,1.02,38.4,66.4,-28.0,-0.78,0.31,6.0,0.0,0.0,34.0,93.0,5.0,123.0,35.0,35.0,1.0,0.0,0.0,166.0,34.0,65.0,34.3
Simeon Nwankwo,ng NGA,FW,28.0,32.7,20.0,55.0,24.0,43.6,1.68,0.73,0.22,0.5,12.6,0.0,8.0,8.0,19.1,12.8,0.23,0.9,-0.8,534.0,698.0,76.5,7483.0,1066.0,324.0,392.0,82.7,159.0,194.0,82.0,21.0,33.0,63.6,2.0,1.1,1.0,0.9,27.0,29.0,5.0,0.0,50.0,698.0,600.0,97.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,534.0,1.0,24.0,53.0,1.62,42.0,0.0,5.0,3.0,3.0,0.0,5.0,0.15,4.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,2.0,6.0,1.0,3.0,22.0,13.6,19.0,21.0,5.0,16.0,6.0,15.0,51.0,0.0,1078.0,64.0,104.0,597.0,381.0,121.0,1070.0,57.0,36.0,63.2,21.0,36.8,529.0,1863.0,623.0,22.0,12.0,10.0,122.0,74.0,745.0,175.0,38,2943.0,77.0,86.1,32.7,31,89.0,26,7,26.0,0,0.61,38.0,73.0,-35.0,-1.07,1.19,35.9,59.1,-23.2,-0.71,0.67,1.0,0.0,0.0,50.0,44.0,23.0,3.0,6.0,2.0,0.0,0.0,0.0,64.0,61.0,98.0,38.4
Pedro Pereira,pt POR,DF,22.0,28.3,0.0,14.0,5.0,35.7,0.49,0.18,0.0,0.0,21.7,2.0,0.0,0.0,0.7,0.7,0.05,-0.7,-0.7,673.0,910.0,74.0,10701.0,3382.0,349.0,407.0,85.7,248.0,329.0,75.4,53.0,94.0,56.4,4.0,3.4,3.3,0.6,21.0,27.0,23.0,12.0,44.0,910.0,743.0,164.0,1.0,1.0,4.0,71.0,163.0,0.0,0.0,0.0,0.0,673.0,3.0,41.0,36.0,1.27,31.0,1.0,1.0,0.0,2.0,1.0,6.0,0.21,6.0,0.0,0.0,0.0,0.0,0.0,50.0,32.0,29.0,17.0,4.0,21.0,40.0,52.5,19.0,33.0,11.0,22.0,19.0,69.0,61.0,0.0,1200.0,90.0,311.0,494.0,408.0,36.0,1200.0,34.0,13.0,38.2,21.0,61.8,554.0,2678.0,1301.0,32.0,21.0,6.0,38.0,32.0,643.0,142.0,35,2549.0,73.0,74.5,28.3,29,80.0,15,6,39.0,1,0.66,34.0,61.0,-27.0,-0.95,1.11,28.4,52.2,-23.8,-0.84,-0.15,6.0,0.0,0.0,33.0,18.0,5.0,71.0,19.0,32.0,0.0,1.0,0.0,127.0,27.0,40.0,40.3
Salvatore Molina,it ITA,"MF,DF",28.0,25.7,1.0,15.0,5.0,33.3,0.58,0.19,0.07,0.2,21.5,0.0,0.0,0.0,0.7,0.7,0.05,0.3,0.3,842.0,1082.0,77.8,14821.0,4433.0,405.0,448.0,90.4,329.0,401.0,82.0,93.0,172.0,54.1,4.0,2.3,2.1,1.7,23.0,59.0,32.0,17.0,97.0,1082.0,993.0,84.0,10.0,0.0,8.0,71.0,67.0,7.0,5.0,0.0,0.0,842.0,5.0,25.0,46.0,1.79,37.0,3.0,3.0,1.0,2.0,0.0,6.0,0.23,6.0,0.0,0.0,0.0,0.0,0.0,39.0,22.0,18.0,14.0,7.0,29.0,45.0,64.4,16.0,30.0,8.0,22.0,17.0,56.0,41.0,0.0,1326.0,84.0,402.0,605.0,334.0,21.0,1326.0,44.0,25.0,56.8,19.0,43.2,758.0,4143.0,1790.0,34.0,27.0,5.0,36.0,30.0,869.0,87.0,29,2315.0,80.0,67.7,25.7,28,82.0,18,1,27.0,0,0.66,35.0,63.0,-28.0,-1.09,0.46,30.5,46.7,-16.2,-0.63,0.53,1.0,0.0,0.0,23.0,39.0,2.0,71.0,17.0,22.0,0.0,0.0,1.0,161.0,21.0,18.0,53.8
Arkadiusz Reca,pl POL,DF,25.0,25.7,2.0,30.0,7.0,23.3,1.17,0.27,0.07,0.29,19.9,0.0,0.0,0.0,1.5,1.5,0.05,0.5,0.5,718.0,1029.0,69.8,11934.0,4025.0,356.0,431.0,82.6,289.0,405.0,71.4,50.0,105.0,47.6,3.0,3.1,2.2,-0.1,26.0,35.0,25.0,11.0,66.0,1029.0,847.0,177.0,8.0,0.0,12.0,81.0,168.0,0.0,0.0,0.0,0.0,718.0,5.0,41.0,55.0,2.14,35.0,3.0,10.0,0.0,6.0,1.0,13.0,0.51,3.0,2.0,4.0,0.0,4.0,0.0,34.0,16.0,15.0,11.0,8.0,10.0,45.0,22.2,35.0,30.0,3.0,27.0,50.0,84.0,64.0,0.0,1338.0,102.0,423.0,514.0,423.0,68.0,1338.0,63.0,37.0,58.7,26.0,41.3,696.0,4890.0,2631.0,85.0,40.0,22.0,48.0,14.0,719.0,170.0,30,2313.0,77.0,67.6,25.7,28,81.0,20,2,23.0,0,0.5,32.0,57.0,-25.0,-0.97,0.82,26.9,43.2,-16.4,-0.64,0.51,7.0,0.0,0.0,34.0,25.0,5.0,81.0,50.0,16.0,4.0,0.0,0.0,159.0,34.0,36.0,48.6
Vladimir Golemić,si SVN,DF,29.0,26.0,2.0,5.0,2.0,40.0,0.19,0.08,0.2,0.5,11.3,0.0,1.0,1.0,1.2,0.4,0.09,0.8,0.6,1116.0,1311.0,85.1,21371.0,8884.0,387.0,427.0,90.6,610.0,664.0,91.9,109.0,190.0,57.4,0.0,0.5,0.4,-0.5,6.0,44.0,3.0,0.0,59.0,1311.0,1212.0,96.0,83.0,0.0,10.0,2.0,13.0,0.0,0.0,0.0,0.0,1116.0,3.0,9.0,17.0,0.65,16.0,1.0,0.0,0.0,0.0,0.0,3.0,0.12,2.0,1.0,0.0,0.0,0.0,0.0,33.0,16.0,17.0,13.0,3.0,14.0,19.0,73.7,5.0,38.0,26.0,12.0,40.0,73.0,97.0,2.0,1554.0,233.0,955.0,565.0,41.0,14.0,1553.0,5.0,4.0,80.0,1.0,20.0,813.0,3547.0,1723.0,9.0,4.0,0.0,11.0,5.0,962.0,5.0,30,2341.0,78.0,68.5,26.0,26,87.0,24,4,19.0,6,0.5,34.0,73.0,-39.0,-1.5,-0.83,30.0,52.3,-22.3,-0.86,-0.18,4.0,1.0,0.0,30.0,8.0,0.0,2.0,40.0,16.0,0.0,2.0,0.0,112.0,45.0,42.0,51.7
Lisandro Magallán,ar ARG,DF,26.0,24.2,1.0,8.0,2.0,25.0,0.33,0.08,0.13,0.5,8.5,0.0,0.0,0.0,1.2,1.2,0.15,-0.2,-0.2,903.0,1109.0,81.4,16685.0,7382.0,350.0,411.0,85.2,456.0,522.0,87.4,86.0,137.0,62.8,2.0,0.4,0.3,1.6,9.0,70.0,5.0,0.0,70.0,1109.0,1033.0,74.0,35.0,0.0,8.0,1.0,39.0,0.0,0.0,0.0,0.0,903.0,2.0,18.0,20.0,0.82,16.0,1.0,0.0,2.0,1.0,0.0,3.0,0.12,3.0,0.0,0.0,0.0,0.0,0.0,54.0,31.0,28.0,24.0,2.0,17.0,42.0,40.5,25.0,29.0,15.0,14.0,44.0,98.0,78.0,1.0,1359.0,135.0,701.0,596.0,69.0,12.0,1359.0,9.0,7.0,77.8,2.0,22.2,674.0,2967.0,1535.0,12.0,2.0,1.0,17.0,5.0,774.0,3.0,28,2181.0,78.0,63.8,24.2,25,83.0,19,3,34.0,8,0.75,30.0,61.0,-31.0,-1.28,-0.12,25.9,46.3,-20.5,-0.84,-0.12,10.0,0.0,0.0,65.0,13.0,0.0,1.0,44.0,31.0,0.0,1.0,0.0,141.0,43.0,26.0,62.3
Sebastiano Luperto,it ITA,DF,23.0,20.9,0.0,5.0,1.0,20.0,0.24,0.05,0.0,0.0,20.1,0.0,0.0,0.0,0.3,0.3,0.06,-0.3,-0.3,836.0,1024.0,81.6,15124.0,6124.0,328.0,350.0,93.7,446.0,505.0,88.3,56.0,139.0,40.3,0.0,0.2,0.2,-0.2,6.0,49.0,0.0,0.0,69.0,1024.0,965.0,57.0,43.0,0.0,8.0,1.0,12.0,0.0,0.0,0.0,0.0,836.0,2.0,13.0,11.0,0.53,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,20.0,28.0,8.0,2.0,16.0,27.0,59.3,11.0,17.0,7.0,10.0,27.0,65.0,74.0,1.0,1197.0,177.0,665.0,496.0,45.0,11.0,1197.0,5.0,5.0,100.0,0.0,0.0,673.0,2983.0,1661.0,14.0,7.0,0.0,11.0,2.0,758.0,3.0,23,1879.0,82.0,54.9,20.9,22,85.0,15,1,11.0,8,0.61,28.0,54.0,-26.0,-1.25,-0.02,20.8,41.1,-20.3,-0.97,-0.38,5.0,1.0,1.0,28.0,19.0,0.0,1.0,27.0,20.0,0.0,0.0,0.0,113.0,26.0,22.0,54.2
Niccolò Zanellato,it ITA,MF,22.0,18.2,1.0,5.0,1.0,20.0,0.27,0.05,0.2,1.0,21.8,0.0,0.0,0.0,0.4,0.4,0.08,0.6,0.6,607.0,764.0,79.5,11180.0,2751.0,238.0,290.0,82.1,295.0,337.0,87.5,62.0,95.0,65.3,1.0,1.2,1.2,-0.2,9.0,48.0,10.0,3.0,65.0,764.0,734.0,27.0,18.0,1.0,5.0,9.0,1.0,8.0,1.0,0.0,0.0,607.0,3.0,13.0,24.0,1.32,21.0,2.0,0.0,0.0,1.0,0.0,3.0,0.16,3.0,0.0,0.0,0.0,0.0,0.0,24.0,14.0,16.0,6.0,2.0,13.0,36.0,36.1,23.0,19.0,5.0,14.0,16.0,40.0,12.0,2.0,882.0,40.0,221.0,525.0,150.0,9.0,882.0,20.0,15.0,75.0,5.0,25.0,463.0,1700.0,687.0,9.0,8.0,0.0,17.0,11.0,609.0,27.0,27,1637.0,61.0,47.9,18.2,18,80.0,8,9,22.0,9,0.78,27.0,54.0,-27.0,-1.48,-0.47,18.0,36.7,-18.7,-1.03,-0.43,3.0,0.0,0.0,30.0,34.0,0.0,9.0,16.0,14.0,0.0,0.0,0.0,102.0,19.0,21.0,47.5
Luca Marrone,it ITA,DF,30.0,17.6,0.0,4.0,2.0,50.0,0.23,0.11,0.0,0.0,7.2,0.0,0.0,0.0,0.4,0.4,0.11,-0.4,-0.4,891.0,1018.0,87.5,17532.0,6431.0,276.0,295.0,93.6,524.0,564.0,92.9,86.0,146.0,58.9,0.0,0.0,0.1,0.0,0.0,20.0,1.0,0.0,33.0,1018.0,961.0,57.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891.0,0.0,5.0,4.0,0.23,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,18.0,16.0,9.0,0.0,13.0,21.0,61.9,8.0,22.0,11.0,11.0,26.0,51.0,56.0,1.0,1169.0,215.0,717.0,443.0,11.0,5.0,1169.0,2.0,1.0,50.0,1.0,50.0,707.0,3139.0,1509.0,4.0,2.0,0.0,5.0,1.0,780.0,0.0,21,1588.0,76.0,46.4,17.6,18,85.0,16,3,19.0,10,0.52,14.0,39.0,-25.0,-1.42,-0.34,16.0,29.5,-13.5,-0.77,0.07,8.0,0.0,0.0,36.0,10.0,0.0,0.0,26.0,18.0,0.0,1.0,1.0,105.0,20.0,22.0,47.6
Koffi Djidji,ci CIV,DF,27.0,16.9,1.0,4.0,2.0,50.0,0.24,0.12,0.25,0.5,10.8,0.0,0.0,0.0,0.3,0.3,0.07,0.7,0.7,606.0,757.0,80.1,10623.0,4354.0,259.0,289.0,89.6,286.0,330.0,86.7,49.0,105.0,46.7,0.0,0.2,0.1,-0.2,4.0,42.0,2.0,0.0,56.0,757.0,679.0,76.0,22.0,0.0,4.0,5.0,54.0,0.0,0.0,0.0,0.0,606.0,2.0,11.0,9.0,0.53,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,39.0,28.0,30.0,8.0,1.0,10.0,20.0,50.0,10.0,35.0,20.0,15.0,28.0,67.0,73.0,0.0,963.0,116.0,478.0,441.0,49.0,5.0,963.0,11.0,7.0,63.6,4.0,36.4,485.0,2393.0,1383.0,17.0,13.0,0.0,13.0,10.0,538.0,15.0,20,1524.0,76.0,44.6,16.9,16,90.0,15,4,22.0,8,0.55,23.0,38.0,-15.0,-0.89,0.63,20.5,30.3,-9.8,-0.58,0.4,4.0,0.0,0.0,22.0,2.0,1.0,5.0,28.0,28.0,0.0,0.0,0.0,85.0,27.0,22.0,55.1
Ahmad Benali,ly LBY,MF,28.0,13.5,0.0,10.0,4.0,40.0,0.74,0.3,0.0,0.0,17.9,0.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6,662.0,788.0,84.0,10717.0,3005.0,323.0,363.0,89.0,267.0,300.0,89.0,48.0,74.0,64.9,1.0,1.2,1.3,-0.2,14.0,55.0,10.0,1.0,67.0,788.0,736.0,50.0,23.0,0.0,3.0,28.0,8.0,19.0,6.0,9.0,0.0,662.0,2.0,13.0,31.0,2.3,22.0,4.0,2.0,0.0,2.0,1.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,19.0,11.0,10.0,9.0,0.0,11.0,38.0,28.9,27.0,15.0,2.0,13.0,6.0,25.0,15.0,0.0,899.0,40.0,241.0,488.0,178.0,28.0,899.0,20.0,9.0,45.0,11.0,55.0,512.0,2501.0,1091.0,24.0,20.0,5.0,22.0,11.0,638.0,48.0,18,1214.0,67.0,35.5,13.5,15,77.0,9,3,20.0,0,0.5,11.0,28.0,-17.0,-1.26,-0.04,12.5,24.4,-11.9,-0.88,-0.13,2.0,0.0,0.0,12.0,16.0,1.0,28.0,6.0,11.0,0.0,0.0,0.0,94.0,10.0,4.0,71.4
