player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Mattia Perin,it ITA,GK,27.0,32.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,752.0,1161.0,64.8,21463.0,15399.0,159.0,160.0,99.4,288.0,293.0,98.3,295.0,693.0,42.6,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,1.0,1161.0,763.0,394.0,119.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,4.0,1.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,1223.0,1061.0,1214.0,10.0,0.0,0.0,1223.0,0.0,0.0,,0.0,,675.0,3919.0,2346.0,0.0,0.0,0.0,1.0,1.0,490.0,0.0,32,2879.0,90.0,84.2,32.0,32,90.0,31,0,,2,1.19,41.0,44.0,-3.0,-0.09,1.24,31.7,48.6,-16.9,-0.53,0.27,1.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,38.0,9.0,1.0,90.0
Andrea Masiello,it ITA,DF,34.0,28.5,0.0,5.0,0.0,0.0,0.18,0.0,0.0,,16.4,0.0,0.0,0.0,0.5,0.5,0.09,-0.5,-0.5,1185.0,1422.0,83.3,21754.0,8970.0,493.0,540.0,91.3,528.0,597.0,88.4,136.0,238.0,57.1,0.0,0.4,0.4,-0.4,7.0,75.0,10.0,3.0,99.0,1422.0,1359.0,58.0,43.0,0.0,30.0,8.0,15.0,0.0,0.0,0.0,0.0,1185.0,5.0,4.0,19.0,0.67,17.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,22.0,29.0,6.0,3.0,23.0,48.0,47.9,25.0,32.0,13.0,19.0,53.0,91.0,107.0,3.0,1670.0,197.0,825.0,772.0,81.0,11.0,1670.0,1.0,1.0,100.0,0.0,0.0,924.0,3408.0,1799.0,9.0,13.0,1.0,5.0,4.0,1045.0,13.0,30,2563.0,85.0,74.9,28.5,30,85.0,25,0,,5,1.13,36.0,43.0,-7.0,-0.25,0.17,28.4,44.7,-16.3,-0.57,0.0,6.0,0.0,0.0,15.0,12.0,1.0,8.0,53.0,22.0,0.0,1.0,0.0,156.0,40.0,34.0,54.1
Milan Badelj,hr CRO,MF,31.0,26.8,1.0,17.0,4.0,23.5,0.64,0.15,0.06,0.25,25.3,0.0,0.0,0.0,0.8,0.8,0.05,0.2,0.2,1295.0,1597.0,81.1,23532.0,7988.0,597.0,674.0,88.6,492.0,585.0,84.1,182.0,261.0,69.7,4.0,2.7,1.6,1.3,29.0,149.0,25.0,2.0,170.0,1597.0,1520.0,70.0,54.0,3.0,26.0,15.0,3.0,2.0,1.0,1.0,0.0,1295.0,7.0,25.0,62.0,2.32,55.0,1.0,0.0,1.0,3.0,2.0,8.0,0.3,7.0,0.0,0.0,0.0,1.0,0.0,56.0,27.0,27.0,22.0,7.0,26.0,84.0,31.0,58.0,51.0,10.0,41.0,87.0,143.0,45.0,1.0,1905.0,78.0,478.0,1177.0,273.0,13.0,1905.0,46.0,36.0,78.3,10.0,21.7,1036.0,4111.0,1845.0,23.0,26.0,1.0,31.0,22.0,1193.0,25.0,30,2408.0,80.0,70.4,26.8,29,83.0,21,1,10.0,5,1.2,35.0,35.0,0.0,0.0,0.98,29.7,36.8,-7.1,-0.27,1.03,7.0,0.0,0.0,34.0,32.0,1.0,15.0,87.0,27.0,1.0,0.0,0.0,228.0,16.0,12.0,57.1
Ivan Radovanović,rs SRB,"DF,MF",31.0,24.8,0.0,6.0,1.0,16.7,0.24,0.04,0.0,0.0,18.6,1.0,0.0,0.0,0.4,0.4,0.07,-0.4,-0.4,968.0,1140.0,84.9,20153.0,6983.0,288.0,320.0,90.0,529.0,577.0,91.7,141.0,215.0,65.6,0.0,0.3,0.2,-0.3,3.0,45.0,0.0,0.0,55.0,1140.0,1103.0,36.0,33.0,0.0,8.0,4.0,0.0,2.0,2.0,0.0,0.0,968.0,1.0,7.0,12.0,0.48,7.0,2.0,0.0,2.0,0.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,18.0,15.0,13.0,5.0,0.0,12.0,31.0,38.7,19.0,39.0,21.0,18.0,37.0,55.0,114.0,2.0,1391.0,217.0,755.0,612.0,37.0,4.0,1391.0,10.0,8.0,80.0,2.0,20.0,806.0,3968.0,2002.0,4.0,4.0,0.0,7.0,2.0,851.0,4.0,33,2232.0,68.0,65.3,24.8,24,85.0,19,9,23.0,4,1.18,29.0,33.0,-4.0,-0.16,0.37,23.1,38.3,-15.2,-0.61,-0.12,6.0,0.0,0.0,28.0,25.0,0.0,4.0,37.0,15.0,0.0,2.0,0.0,156.0,54.0,45.0,54.5
Davide Zappacosta,it ITA,DF,28.0,22.7,4.0,41.0,13.0,31.7,1.8,0.57,0.1,0.31,20.0,0.0,0.0,0.0,2.6,2.6,0.06,1.4,1.4,859.0,1090.0,78.8,12506.0,3644.0,500.0,551.0,90.7,278.0,345.0,80.6,43.0,94.0,45.7,2.0,1.4,1.0,0.6,12.0,25.0,17.0,9.0,38.0,1090.0,870.0,216.0,9.0,0.0,2.0,83.0,204.0,3.0,1.0,1.0,0.0,859.0,4.0,44.0,50.0,2.22,29.0,2.0,10.0,8.0,1.0,0.0,11.0,0.49,4.0,0.0,3.0,4.0,0.0,0.0,33.0,16.0,15.0,13.0,5.0,15.0,30.0,50.0,15.0,17.0,1.0,16.0,18.0,51.0,41.0,0.0,1375.0,59.0,337.0,524.0,529.0,67.0,1375.0,77.0,32.0,41.6,45.0,58.4,780.0,5219.0,2700.0,88.0,47.0,29.0,42.0,22.0,835.0,166.0,25,2045.0,82.0,59.8,22.7,23,87.0,18,2,22.0,2,1.52,32.0,30.0,2.0,0.09,0.94,25.2,34.5,-9.3,-0.41,0.39,3.0,0.0,0.0,23.0,19.0,8.0,83.0,18.0,16.0,0.0,0.0,0.0,119.0,14.0,11.0,56.0
Miha Zajc,si SVN,MF,26.0,20.7,1.0,19.0,4.0,21.1,0.92,0.19,0.05,0.25,18.9,3.0,0.0,0.0,1.8,1.8,0.09,-0.8,-0.8,851.0,1071.0,79.5,13795.0,2984.0,425.0,464.0,91.6,297.0,367.0,80.9,77.0,140.0,55.0,3.0,2.1,2.2,0.9,19.0,63.0,17.0,2.0,96.0,1071.0,973.0,88.0,28.0,1.0,6.0,77.0,2.0,56.0,18.0,28.0,0.0,851.0,10.0,18.0,49.0,2.37,29.0,12.0,4.0,3.0,0.0,1.0,4.0,0.19,3.0,1.0,0.0,0.0,0.0,0.0,22.0,14.0,9.0,10.0,3.0,13.0,39.0,33.3,26.0,30.0,4.0,26.0,27.0,49.0,19.0,0.0,1300.0,24.0,219.0,735.0,365.0,34.0,1300.0,46.0,27.0,58.7,19.0,41.3,772.0,4106.0,1921.0,42.0,31.0,7.0,49.0,20.0,892.0,42.0,31,1863.0,60.0,54.5,20.7,22,73.0,6,9,29.0,6,1.16,24.0,29.0,-5.0,-0.24,0.11,21.3,32.6,-11.3,-0.55,0.05,4.0,0.0,0.0,27.0,27.0,3.0,77.0,27.0,14.0,0.0,0.0,0.0,107.0,18.0,26.0,40.9
Mattia Destro,it ITA,FW,29.0,17.8,11.0,37.0,22.0,59.5,2.07,1.23,0.3,0.5,12.1,0.0,0.0,0.0,6.2,6.2,0.17,4.8,4.8,187.0,275.0,68.0,2422.0,442.0,118.0,160.0,73.8,37.0,59.0,62.7,10.0,17.0,58.8,1.0,0.5,0.4,0.5,7.0,10.0,3.0,1.0,13.0,275.0,249.0,26.0,0.0,1.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,187.0,0.0,7.0,17.0,0.95,9.0,0.0,4.0,2.0,1.0,1.0,2.0,0.11,2.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,3.0,3.0,2.0,9.0,22.2,7.0,11.0,0.0,11.0,4.0,10.0,8.0,0.0,456.0,10.0,37.0,236.0,191.0,79.0,456.0,52.0,24.0,46.2,28.0,53.8,280.0,1254.0,502.0,22.0,11.0,12.0,44.0,20.0,346.0,76.0,29,1606.0,55.0,47.0,17.8,22,70.0,3,7,9.0,6,1.1,27.0,31.0,-4.0,-0.22,0.12,18.8,27.6,-8.8,-0.5,0.14,5.0,0.0,0.0,39.0,37.0,22.0,4.0,4.0,3.0,0.0,0.0,0.0,40.0,34.0,61.0,35.8
Domenico Criscito,it ITA,DF,33.0,19.2,1.0,5.0,1.0,20.0,0.26,0.05,0.0,0.0,29.2,0.0,1.0,1.0,0.9,0.1,0.03,0.1,-0.1,872.0,1086.0,80.3,16300.0,6632.0,353.0,390.0,90.5,395.0,454.0,87.0,106.0,199.0,53.3,0.0,0.4,0.8,-0.4,6.0,89.0,12.0,4.0,83.0,1086.0,995.0,82.0,48.0,0.0,5.0,27.0,33.0,1.0,0.0,1.0,0.0,872.0,9.0,9.0,20.0,1.04,18.0,1.0,0.0,1.0,0.0,0.0,1.0,0.05,0.0,0.0,0.0,1.0,0.0,0.0,43.0,22.0,29.0,11.0,3.0,22.0,39.0,56.4,17.0,27.0,14.0,13.0,44.0,87.0,51.0,0.0,1279.0,120.0,521.0,639.0,132.0,6.0,1278.0,8.0,4.0,50.0,4.0,50.0,681.0,3551.0,2217.0,39.0,19.0,0.0,10.0,4.0,792.0,18.0,23,1726.0,75.0,50.5,19.2,20,83.0,17,3,19.0,2,1.43,26.0,22.0,4.0,0.21,1.01,20.8,27.1,-6.2,-0.32,0.5,6.0,0.0,0.0,23.0,26.0,0.0,27.0,44.0,22.0,0.0,1.0,0.0,110.0,20.0,26.0,43.5
Edoardo Goldaniga,it ITA,DF,26.0,20.6,0.0,7.0,0.0,0.0,0.34,0.0,0.0,,13.4,0.0,0.0,0.0,0.5,0.5,0.07,-0.5,-0.5,650.0,893.0,72.8,11817.0,5294.0,286.0,327.0,87.5,289.0,380.0,76.1,69.0,154.0,44.8,1.0,0.8,0.7,0.2,7.0,61.0,13.0,7.0,68.0,893.0,791.0,98.0,19.0,1.0,5.0,33.0,79.0,0.0,0.0,0.0,0.0,650.0,4.0,13.0,13.0,0.63,13.0,0.0,0.0,0.0,0.0,0.0,3.0,0.15,3.0,0.0,0.0,0.0,0.0,0.0,28.0,18.0,21.0,7.0,0.0,14.0,23.0,60.9,9.0,17.0,7.0,10.0,38.0,66.0,62.0,1.0,1075.0,99.0,476.0,477.0,133.0,16.0,1075.0,11.0,6.0,54.5,5.0,45.5,586.0,2874.0,1472.0,21.0,25.0,3.0,10.0,3.0,638.0,41.0,25,1857.0,74.0,54.3,20.6,19,87.0,17,6,35.0,11,0.92,23.0,35.0,-12.0,-0.58,-0.64,19.6,36.0,-16.4,-0.79,-0.48,8.0,0.0,0.0,30.0,24.0,1.0,33.0,38.0,18.0,0.0,0.0,0.0,75.0,25.0,36.0,41.0
Kevin Strootman,nl NED,MF,30.0,14.6,0.0,6.0,2.0,33.3,0.41,0.14,0.0,0.0,17.9,0.0,0.0,0.0,0.5,0.5,0.09,-0.5,-0.5,683.0,849.0,80.4,10853.0,3015.0,354.0,402.0,88.1,256.0,298.0,85.9,53.0,98.0,54.1,4.0,2.7,1.4,1.3,23.0,61.0,17.0,4.0,78.0,849.0,781.0,61.0,32.0,2.0,2.0,39.0,11.0,18.0,5.0,7.0,0.0,683.0,7.0,13.0,36.0,2.47,32.0,3.0,0.0,0.0,0.0,1.0,4.0,0.27,3.0,0.0,0.0,0.0,0.0,1.0,30.0,18.0,13.0,15.0,2.0,14.0,32.0,43.8,18.0,35.0,3.0,32.0,25.0,55.0,18.0,0.0,1003.0,24.0,199.0,618.0,196.0,13.0,1003.0,14.0,9.0,64.3,5.0,35.7,590.0,2118.0,1036.0,15.0,15.0,3.0,16.0,10.0,675.0,28.0,18,1314.0,73.0,38.4,14.6,18,73.0,2,0,,1,1.56,20.0,15.0,5.0,0.34,1.03,14.7,20.2,-5.6,-0.38,0.31,7.0,0.0,0.0,25.0,13.0,1.0,39.0,25.0,18.0,0.0,0.0,0.0,89.0,15.0,15.0,50.0
