player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Gianluca Mancini,it ITA,DF,24.0,31.7,4.0,28.0,11.0,39.3,0.88,0.35,0.14,0.36,13.7,0.0,0.0,0.0,2.7,2.7,0.1,1.3,1.3,1731.0,1967.0,88.0,32631.0,9987.0,654.0,701.0,93.3,872.0,938.0,93.0,189.0,284.0,66.5,2.0,0.8,0.9,1.2,7.0,137.0,13.0,2.0,150.0,1967.0,1890.0,76.0,59.0,0.0,12.0,14.0,17.0,0.0,0.0,0.0,0.0,1731.0,1.0,16.0,28.0,0.91,25.0,0.0,0.0,3.0,0.0,0.0,5.0,0.16,5.0,0.0,0.0,0.0,0.0,0.0,50.0,29.0,29.0,19.0,2.0,18.0,31.0,58.1,13.0,38.0,18.0,20.0,72.0,122.0,77.0,3.0,2261.0,179.0,850.0,1247.0,184.0,31.0,2261.0,19.0,15.0,78.9,4.0,21.1,1289.0,6436.0,3821.0,42.0,28.0,2.0,11.0,8.0,1629.0,27.0,33,2852.0,86.0,83.4,31.7,33,86.0,30,0,,1,1.58,52.0,44.0,8.0,0.25,-0.06,52.7,37.6,15.1,0.49,-0.13,10.0,0.0,0.0,67.0,26.0,1.0,14.0,72.0,29.0,0.0,1.0,0.0,181.0,55.0,33.0,62.5
Henrikh Mkhitaryan,am ARM,"MF,FW",31.0,30.5,13.0,81.0,33.0,40.7,2.66,1.08,0.15,0.36,17.3,1.0,1.0,1.0,10.9,10.1,0.13,2.1,1.9,893.0,1180.0,75.7,13683.0,3609.0,479.0,575.0,83.3,322.0,395.0,81.5,56.0,95.0,58.9,10.0,7.6,5.4,2.4,48.0,62.0,46.0,6.0,138.0,1180.0,1146.0,27.0,7.0,13.0,7.0,53.0,16.0,4.0,2.0,1.0,0.0,893.0,7.0,49.0,117.0,3.97,93.0,1.0,10.0,8.0,5.0,0.0,17.0,0.58,14.0,0.0,1.0,1.0,1.0,0.0,58.0,24.0,13.0,27.0,18.0,13.0,62.0,21.0,49.0,34.0,0.0,34.0,39.0,97.0,10.0,0.0,1515.0,14.0,154.0,697.0,695.0,140.0,1514.0,85.0,48.0,56.5,37.0,43.5,811.0,5628.0,3343.0,103.0,79.0,41.0,49.0,23.0,1107.0,225.0,34,2745.0,81.0,80.3,30.5,30,87.0,25,4,33.0,0,1.71,57.0,43.0,14.0,0.46,0.99,53.6,33.9,19.7,0.67,0.67,2.0,0.0,0.0,36.0,46.0,10.0,53.0,39.0,24.0,1.0,0.0,0.0,150.0,13.0,27.0,32.5
Lorenzo Pellegrini,it ITA,MF,24.0,28.9,7.0,69.0,26.0,37.7,2.39,0.9,0.09,0.23,20.6,10.0,1.0,1.0,5.6,4.8,0.07,1.4,1.2,1089.0,1429.0,76.2,19495.0,5567.0,520.0,595.0,87.4,403.0,492.0,81.9,144.0,265.0,54.3,6.0,8.0,6.0,-2.0,61.0,121.0,41.0,8.0,147.0,1429.0,1203.0,219.0,58.0,10.0,6.0,171.0,7.0,132.0,52.0,62.0,0.0,1089.0,7.0,30.0,127.0,4.54,65.0,37.0,4.0,15.0,3.0,3.0,13.0,0.46,6.0,5.0,0.0,2.0,0.0,0.0,40.0,24.0,13.0,20.0,7.0,21.0,60.0,35.0,39.0,37.0,2.0,35.0,42.0,82.0,23.0,1.0,1772.0,33.0,211.0,930.0,654.0,61.0,1771.0,67.0,40.0,59.7,27.0,40.3,963.0,6507.0,3163.0,87.0,62.0,12.0,65.0,21.0,1177.0,149.0,34,2598.0,76.0,76.0,28.9,30,84.0,15,4,21.0,0,1.79,53.0,40.0,13.0,0.45,0.78,49.4,32.7,16.7,0.6,0.3,10.0,0.0,0.0,43.0,51.0,6.0,171.0,42.0,24.0,0.0,1.0,0.0,139.0,21.0,27.0,43.8
Rick Karsdorp,nl NED,DF,25.0,28.3,1.0,13.0,4.0,30.8,0.46,0.14,0.08,0.25,15.4,0.0,0.0,0.0,1.0,1.0,0.08,0.0,0.0,1070.0,1298.0,82.4,18576.0,4636.0,462.0,523.0,88.3,516.0,588.0,87.8,75.0,132.0,56.8,6.0,5.1,3.0,0.9,24.0,62.0,35.0,8.0,97.0,1298.0,1106.0,190.0,11.0,2.0,4.0,55.0,179.0,0.0,0.0,0.0,0.0,1070.0,2.0,29.0,43.0,1.56,38.0,0.0,2.0,3.0,0.0,0.0,8.0,0.29,7.0,0.0,1.0,0.0,0.0,0.0,36.0,23.0,19.0,12.0,5.0,21.0,48.0,43.8,27.0,18.0,1.0,17.0,30.0,66.0,32.0,0.0,1462.0,57.0,377.0,678.0,425.0,40.0,1462.0,23.0,18.0,78.3,5.0,21.7,737.0,3711.0,1559.0,32.0,26.0,5.0,19.0,12.0,932.0,150.0,34,2544.0,75.0,74.4,28.3,28,86.0,19,6,23.0,1,1.62,51.0,39.0,12.0,0.42,0.63,46.6,29.2,17.4,0.63,0.42,2.0,0.0,0.0,36.0,13.0,3.0,55.0,30.0,23.0,0.0,0.0,0.0,141.0,6.0,21.0,22.2
Roger Ibanez,br BRA,DF,21.0,26.6,0.0,16.0,4.0,25.0,0.6,0.15,0.0,0.0,15.7,0.0,0.0,0.0,1.2,1.2,0.08,-1.2,-1.2,1434.0,1649.0,87.0,27017.0,9121.0,539.0,589.0,91.5,732.0,786.0,93.1,148.0,229.0,64.6,2.0,1.5,0.5,0.5,11.0,104.0,3.0,0.0,104.0,1649.0,1565.0,82.0,73.0,2.0,19.0,5.0,6.0,0.0,0.0,0.0,0.0,1434.0,2.0,10.0,29.0,1.13,20.0,1.0,2.0,2.0,0.0,4.0,5.0,0.19,5.0,0.0,0.0,0.0,0.0,0.0,59.0,37.0,28.0,25.0,6.0,25.0,45.0,55.6,20.0,38.0,17.0,21.0,68.0,127.0,78.0,3.0,1960.0,175.0,801.0,1094.0,87.0,20.0,1960.0,23.0,16.0,69.6,7.0,30.4,1130.0,6858.0,3963.0,40.0,26.0,5.0,21.0,8.0,1290.0,9.0,30,2398.0,80.0,70.1,26.6,28,84.0,22,2,28.0,1,1.77,48.0,39.0,9.0,0.34,0.25,48.7,30.8,17.9,0.7,0.56,7.0,1.0,1.0,53.0,30.0,0.0,5.0,68.0,37.0,0.0,1.0,1.0,187.0,56.0,36.0,60.9
Leonardo Spinazzola,it ITA,DF,27.0,23.6,2.0,22.0,6.0,27.3,0.93,0.25,0.09,0.33,17.6,0.0,0.0,0.0,1.7,1.7,0.09,0.3,0.3,957.0,1227.0,78.0,16192.0,4598.0,485.0,569.0,85.2,358.0,431.0,83.1,93.0,157.0,59.2,4.0,5.0,3.7,-1.0,33.0,74.0,45.0,21.0,105.0,1227.0,1079.0,145.0,12.0,2.0,13.0,103.0,133.0,0.0,0.0,0.0,0.0,957.0,3.0,33.0,71.0,3.14,55.0,2.0,12.0,1.0,1.0,0.0,9.0,0.4,8.0,0.0,1.0,0.0,0.0,0.0,12.0,6.0,3.0,9.0,0.0,8.0,20.0,40.0,12.0,16.0,1.0,15.0,25.0,37.0,31.0,0.0,1473.0,52.0,308.0,609.0,583.0,70.0,1473.0,120.0,53.0,44.2,67.0,55.8,872.0,7802.0,4473.0,147.0,86.0,33.0,30.0,8.0,967.0,174.0,27,2124.0,79.0,62.1,23.6,25,83.0,18,2,25.0,0,1.56,41.0,35.0,6.0,0.25,-0.02,40.9,26.0,14.9,0.66,0.35,0.0,0.0,0.0,8.0,11.0,2.0,103.0,25.0,6.0,0.0,0.0,1.0,107.0,10.0,1.0,90.9
Jordan Veretout,fr FRA,MF,27.0,22.8,10.0,35.0,14.0,40.0,1.53,0.61,0.14,0.36,20.6,2.0,5.0,5.0,8.1,4.1,0.13,1.9,0.9,1071.0,1268.0,84.5,20540.0,5885.0,408.0,451.0,90.5,508.0,563.0,90.2,140.0,209.0,67.0,2.0,2.6,2.4,-0.6,25.0,124.0,9.0,1.0,144.0,1268.0,1181.0,82.0,31.0,1.0,12.0,68.0,4.0,44.0,29.0,12.0,0.0,1071.0,5.0,16.0,68.0,3.12,47.0,12.0,1.0,1.0,1.0,6.0,11.0,0.5,9.0,1.0,0.0,1.0,0.0,0.0,20.0,12.0,8.0,12.0,0.0,9.0,33.0,27.3,24.0,14.0,3.0,11.0,14.0,34.0,21.0,3.0,1417.0,34.0,228.0,886.0,323.0,34.0,1412.0,18.0,10.0,55.6,8.0,44.4,769.0,4193.0,2273.0,45.0,33.0,10.0,19.0,9.0,1052.0,56.0,29,2053.0,71.0,60.0,22.8,25,79.0,11,4,17.0,0,1.76,44.0,32.0,12.0,0.53,0.66,41.4,26.1,15.3,0.7,0.43,4.0,0.0,0.0,32.0,11.0,2.0,68.0,14.0,12.0,0.0,1.0,0.0,113.0,12.0,13.0,48.0
Bryan Cristante,it ITA,"DF,MF",25.0,23.9,1.0,28.0,8.0,28.6,1.17,0.33,0.04,0.13,19.0,1.0,0.0,0.0,2.4,2.4,0.08,-1.4,-1.4,1224.0,1481.0,82.6,25163.0,9483.0,394.0,445.0,88.5,630.0,679.0,92.8,186.0,304.0,61.2,3.0,1.3,1.6,1.7,16.0,112.0,21.0,3.0,142.0,1481.0,1420.0,52.0,48.0,5.0,13.0,12.0,3.0,1.0,0.0,0.0,1.0,1224.0,9.0,18.0,41.0,1.79,35.0,0.0,1.0,4.0,0.0,1.0,8.0,0.35,7.0,0.0,0.0,0.0,0.0,1.0,27.0,20.0,10.0,14.0,3.0,10.0,28.0,35.7,18.0,21.0,7.0,14.0,40.0,67.0,61.0,1.0,1694.0,148.0,611.0,926.0,170.0,22.0,1694.0,27.0,23.0,85.2,4.0,14.8,1016.0,5818.0,3200.0,24.0,21.0,1.0,19.0,5.0,1252.0,33.0,34,2155.0,63.0,63.0,23.9,22,86.0,17,12,21.0,1,1.59,45.0,32.0,13.0,0.54,0.76,41.7,27.7,14.0,0.61,0.24,8.0,0.0,0.0,31.0,13.0,4.0,12.0,40.0,20.0,0.0,0.0,1.0,141.0,30.0,30.0,50.0
Gonzalo Villar,es ESP,MF,22.0,20.7,0.0,10.0,1.0,10.0,0.48,0.05,0.0,0.0,22.3,0.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4,1173.0,1307.0,89.7,19861.0,5490.0,514.0,563.0,91.3,552.0,589.0,93.7,80.0,101.0,79.2,1.0,0.7,1.3,0.3,8.0,116.0,14.0,3.0,122.0,1307.0,1257.0,47.0,46.0,2.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0,1173.0,3.0,8.0,36.0,1.75,31.0,1.0,0.0,1.0,2.0,1.0,3.0,0.15,3.0,0.0,0.0,0.0,0.0,0.0,44.0,18.0,14.0,24.0,6.0,18.0,61.0,29.5,43.0,25.0,3.0,22.0,22.0,66.0,14.0,1.0,1491.0,29.0,288.0,965.0,256.0,18.0,1491.0,48.0,39.0,81.3,9.0,18.8,935.0,4975.0,2600.0,50.0,36.0,8.0,26.0,15.0,1123.0,27.0,33,1859.0,56.0,54.4,20.7,21,79.0,8,12,17.0,3,1.55,37.0,29.0,8.0,0.39,0.27,35.1,24.8,10.3,0.5,-0.04,7.0,0.0,0.0,51.0,49.0,0.0,7.0,22.0,18.0,0.0,1.0,0.0,124.0,26.0,19.0,57.8
Edin Džeko,ba BIH,FW,34.0,20.3,7.0,69.0,24.0,34.8,3.4,1.18,0.1,0.29,13.1,0.0,0.0,1.0,13.2,12.4,0.18,-6.2,-5.4,338.0,512.0,66.0,5191.0,1244.0,197.0,264.0,74.6,96.0,135.0,71.1,26.0,39.0,66.7,3.0,2.2,1.8,0.8,29.0,23.0,19.0,0.0,53.0,512.0,464.0,42.0,0.0,0.0,8.0,16.0,3.0,0.0,0.0,0.0,0.0,338.0,6.0,23.0,64.0,3.16,46.0,0.0,4.0,7.0,6.0,1.0,8.0,0.39,6.0,0.0,1.0,0.0,1.0,0.0,8.0,6.0,2.0,3.0,3.0,3.0,9.0,33.3,6.0,9.0,4.0,5.0,1.0,9.0,11.0,0.0,731.0,15.0,29.0,325.0,386.0,131.0,730.0,55.0,27.0,49.1,28.0,50.9,353.0,2316.0,1062.0,50.0,29.0,24.0,56.0,31.0,589.0,174.0,27,1824.0,68.0,53.3,20.3,20,84.0,9,7,20.0,4,1.41,32.0,33.0,-1.0,-0.05,-0.67,35.0,24.3,10.7,0.53,0.02,2.0,0.0,0.0,25.0,37.0,10.0,16.0,1.0,6.0,1.0,0.0,0.0,28.0,82.0,54.0,60.3
