player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Emmanuel Gyasi,gh GHA,FW,26.0,31.7,4.0,29.0,15.0,51.7,0.92,0.47,0.14,0.27,12.3,0.0,0.0,0.0,5.1,5.1,0.18,-1.1,-1.1,775.0,942.0,82.3,10199.0,1546.0,495.0,551.0,89.8,205.0,253.0,81.0,29.0,45.0,64.4,6.0,4.1,2.9,1.9,27.0,23.0,29.0,4.0,69.0,942.0,931.0,8.0,1.0,1.0,4.0,30.0,4.0,1.0,0.0,0.0,0.0,775.0,3.0,23.0,65.0,2.05,56.0,0.0,4.0,3.0,2.0,0.0,10.0,0.32,9.0,0.0,1.0,0.0,0.0,0.0,30.0,16.0,16.0,10.0,4.0,9.0,31.0,29.0,22.0,13.0,2.0,11.0,14.0,44.0,8.0,0.0,1196.0,14.0,131.0,511.0,573.0,103.0,1196.0,69.0,41.0,59.4,28.0,40.6,781.0,4144.0,1795.0,70.0,37.0,39.0,75.0,44.0,955.0,250.0,37,2851.0,77.0,83.4,31.7,32,84.0,21,5,31.0,1,0.97,36.0,57.0,-21.0,-0.66,-0.82,36.1,51.6,-15.5,-0.49,-0.01,4.0,0.0,0.0,65.0,52.0,28.0,30.0,14.0,16.0,1.0,0.0,0.0,134.0,27.0,51.0,34.6
Ivan Provedel,it ITA,GK,26.0,29.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1042.0,1404.0,74.2,29950.0,19305.0,138.0,140.0,98.6,469.0,482.0,97.3,430.0,774.0,55.6,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1404.0,1146.0,255.0,98.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1042.0,3.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,6.0,33.3,4.0,0.0,0.0,0.0,2.0,4.0,20.0,1.0,1491.0,1185.0,1482.0,9.0,0.0,0.0,1491.0,1.0,1.0,100.0,0.0,0.0,944.0,4169.0,2180.0,0.0,0.0,0.0,3.0,0.0,906.0,0.0,29,2610.0,90.0,76.3,29.0,29,90.0,29,0,,2,0.97,38.0,55.0,-17.0,-0.59,-0.25,35.0,48.2,-13.2,-0.45,0.14,1.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,60.0,5.0,1.0,83.3
Matteo Ricci,it ITA,MF,26.0,24.8,0.0,21.0,5.0,23.8,0.85,0.2,0.0,0.0,27.1,3.0,0.0,0.0,1.0,1.0,0.05,-1.0,-1.0,1418.0,1667.0,85.1,29578.0,9592.0,454.0,504.0,90.1,702.0,772.0,90.9,243.0,341.0,71.3,2.0,1.6,2.3,0.4,22.0,178.0,26.0,4.0,185.0,1667.0,1541.0,121.0,107.0,4.0,24.0,32.0,1.0,13.0,1.0,9.0,0.0,1418.0,5.0,18.0,50.0,2.02,41.0,6.0,0.0,1.0,1.0,1.0,4.0,0.16,4.0,0.0,0.0,0.0,0.0,0.0,40.0,23.0,14.0,24.0,2.0,27.0,52.0,51.9,25.0,24.0,4.0,20.0,34.0,74.0,13.0,0.0,1841.0,45.0,379.0,1175.0,309.0,12.0,1841.0,18.0,11.0,61.1,7.0,38.9,1048.0,4197.0,1918.0,26.0,28.0,3.0,19.0,12.0,1288.0,21.0,29,2229.0,77.0,65.2,24.8,26,83.0,18,3,25.0,3,1.03,28.0,51.0,-23.0,-0.93,-1.16,25.3,41.8,-16.5,-0.67,-0.51,5.0,0.0,0.0,27.0,29.0,0.0,32.0,34.0,23.0,0.0,0.0,0.0,188.0,15.0,12.0,55.6
Giulio Maggiore,it ITA,MF,22.0,24.6,3.0,38.0,14.0,36.8,1.54,0.57,0.08,0.21,16.4,0.0,0.0,0.0,4.7,4.7,0.13,-1.7,-1.7,565.0,817.0,69.2,8648.0,2457.0,297.0,375.0,79.2,198.0,276.0,71.7,40.0,86.0,46.5,1.0,1.9,1.6,-0.9,13.0,58.0,13.0,0.0,77.0,817.0,795.0,17.0,4.0,5.0,5.0,19.0,13.0,0.0,0.0,0.0,0.0,565.0,5.0,22.0,35.0,1.42,25.0,0.0,1.0,4.0,3.0,2.0,4.0,0.16,3.0,0.0,0.0,1.0,0.0,0.0,61.0,36.0,26.0,28.0,7.0,21.0,53.0,39.6,32.0,33.0,6.0,27.0,19.0,80.0,25.0,1.0,1111.0,31.0,191.0,580.0,358.0,76.0,1111.0,40.0,18.0,45.0,22.0,55.0,624.0,2851.0,1363.0,38.0,26.0,14.0,55.0,14.0,719.0,94.0,33,2214.0,67.0,64.7,24.6,26,78.0,8,7,26.0,0,1.03,32.0,42.0,-10.0,-0.41,0.34,29.6,39.6,-10.0,-0.41,0.23,3.0,0.0,0.0,58.0,41.0,4.0,19.0,19.0,36.0,0.0,0.0,0.0,132.0,31.0,33.0,48.4
Claudio Terzi,it ITA,DF,36.0,20.8,1.0,5.0,2.0,40.0,0.24,0.1,0.2,0.5,10.0,0.0,0.0,0.0,0.4,0.4,0.09,0.6,0.6,1125.0,1348.0,83.5,24797.0,9399.0,349.0,371.0,94.1,527.0,584.0,90.2,238.0,349.0,68.2,1.0,0.5,0.4,0.5,5.0,109.0,5.0,0.0,83.0,1348.0,1247.0,86.0,83.0,0.0,32.0,4.0,3.0,0.0,0.0,0.0,0.0,1125.0,15.0,9.0,13.0,0.63,10.0,1.0,1.0,1.0,0.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,34.0,21.0,19.0,14.0,1.0,19.0,28.0,67.9,9.0,23.0,12.0,11.0,35.0,69.0,55.0,1.0,1515.0,119.0,700.0,765.0,61.0,10.0,1515.0,4.0,3.0,75.0,1.0,25.0,943.0,5850.0,3287.0,20.0,18.0,0.0,5.0,3.0,1007.0,1.0,25,1869.0,75.0,54.6,20.8,22,82.0,15,3,24.0,7,1.2,30.0,38.0,-8.0,-0.39,0.31,24.7,35.8,-11.1,-0.53,-0.1,9.0,1.0,1.0,24.0,16.0,2.0,4.0,35.0,21.0,0.0,2.0,0.0,112.0,35.0,35.0,50.0
M'Bala Nzola,ao ANG,FW,23.0,21.1,11.0,41.0,14.0,34.1,1.95,0.66,0.17,0.5,14.2,0.0,4.0,4.0,9.3,6.2,0.15,1.7,0.8,388.0,464.0,83.6,5607.0,516.0,225.0,262.0,85.9,112.0,125.0,89.6,24.0,26.0,92.3,3.0,2.1,1.4,0.9,22.0,15.0,5.0,0.0,25.0,464.0,405.0,57.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,388.0,2.0,9.0,44.0,2.09,32.0,0.0,4.0,7.0,1.0,0.0,5.0,0.24,2.0,0.0,0.0,3.0,0.0,0.0,12.0,5.0,2.0,6.0,4.0,4.0,7.0,57.1,3.0,15.0,1.0,14.0,3.0,15.0,20.0,0.0,728.0,21.0,41.0,337.0,359.0,95.0,724.0,43.0,27.0,62.8,16.0,37.2,415.0,2208.0,780.0,26.0,23.0,13.0,83.0,41.0,536.0,119.0,25,1896.0,76.0,55.4,21.1,21,85.0,14,4,26.0,0,1.08,31.0,38.0,-7.0,-0.33,0.44,26.3,37.2,-10.9,-0.52,-0.07,5.0,0.0,0.0,55.0,27.0,26.0,2.0,3.0,5.0,0.0,1.0,0.0,54.0,41.0,84.0,32.8
Martin Erlic,hr CRO,DF,22.0,20.0,3.0,10.0,3.0,30.0,0.5,0.15,0.3,1.0,12.3,0.0,0.0,0.0,1.2,1.2,0.12,1.8,1.8,911.0,1075.0,84.7,19933.0,5357.0,222.0,262.0,84.7,526.0,580.0,90.7,156.0,215.0,72.6,1.0,0.2,0.6,0.8,1.0,57.0,3.0,1.0,58.0,1075.0,1011.0,62.0,57.0,0.0,13.0,2.0,5.0,0.0,0.0,0.0,0.0,911.0,2.0,4.0,7.0,0.35,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,23.0,14.0,16.0,6.0,1.0,11.0,20.0,55.0,9.0,22.0,16.0,6.0,41.0,64.0,71.0,2.0,1267.0,139.0,644.0,603.0,32.0,16.0,1267.0,5.0,3.0,60.0,2.0,40.0,724.0,3742.0,1897.0,15.0,7.0,0.0,9.0,1.0,756.0,2.0,27,1798.0,67.0,52.6,20.0,19,89.0,17,8,14.0,6,1.19,27.0,37.0,-10.0,-0.5,0.05,27.1,34.2,-7.1,-0.35,0.28,6.0,0.0,0.0,37.0,12.0,0.0,2.0,41.0,14.0,0.0,0.0,0.0,100.0,44.0,36.0,55.0
Nahuel Estévez,ar ARG,MF,24.0,19.6,0.0,24.0,8.0,33.3,1.22,0.41,0.0,0.0,19.7,2.0,0.0,0.0,1.9,1.9,0.08,-1.9,-1.9,679.0,923.0,73.6,12104.0,3248.0,302.0,361.0,83.7,270.0,335.0,80.6,85.0,169.0,50.3,3.0,2.8,1.6,0.2,27.0,69.0,25.0,8.0,101.0,923.0,848.0,67.0,26.0,0.0,9.0,91.0,8.0,33.0,0.0,24.0,0.0,679.0,8.0,23.0,55.0,2.8,39.0,10.0,0.0,6.0,0.0,0.0,9.0,0.46,4.0,2.0,0.0,3.0,0.0,0.0,13.0,5.0,4.0,6.0,3.0,5.0,32.0,15.6,27.0,23.0,5.0,18.0,20.0,33.0,22.0,1.0,1093.0,30.0,139.0,582.0,390.0,34.0,1093.0,19.0,11.0,57.9,8.0,42.1,602.0,2898.0,1364.0,32.0,30.0,4.0,31.0,13.0,746.0,80.0,27,1768.0,65.0,51.7,19.6,19,80.0,7,8,30.0,2,0.85,24.0,39.0,-15.0,-0.76,-0.49,24.0,30.8,-6.8,-0.34,0.3,7.0,0.0,0.0,33.0,22.0,0.0,91.0,20.0,5.0,0.0,0.0,0.0,116.0,13.0,18.0,41.9
Julian Chabot,de GER,DF,22.0,18.4,1.0,9.0,3.0,33.3,0.49,0.16,0.11,0.33,11.1,0.0,0.0,0.0,0.7,0.7,0.08,0.3,0.3,917.0,1082.0,84.8,19285.0,5922.0,278.0,313.0,88.8,494.0,542.0,91.1,136.0,204.0,66.7,1.0,0.5,0.3,0.5,6.0,51.0,1.0,0.0,57.0,1082.0,1011.0,65.0,57.0,0.0,23.0,2.0,8.0,0.0,0.0,0.0,0.0,917.0,6.0,4.0,13.0,0.71,9.0,0.0,1.0,2.0,1.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,48.0,34.0,28.0,16.0,4.0,23.0,37.0,62.2,14.0,25.0,13.0,12.0,37.0,85.0,43.0,1.0,1268.0,91.0,596.0,653.0,32.0,12.0,1268.0,11.0,11.0,100.0,0.0,0.0,763.0,3970.0,2198.0,11.0,9.0,2.0,11.0,4.0,813.0,4.0,25,1655.0,66.0,48.4,18.4,19,83.0,14,6,15.0,8,0.76,22.0,35.0,-13.0,-0.71,-0.35,21.2,30.9,-9.6,-0.52,-0.07,11.0,1.0,1.0,32.0,32.0,0.0,2.0,37.0,34.0,0.0,1.0,0.0,82.0,57.0,33.0,63.3
Luca Vignali,it ITA,DF,24.0,17.7,0.0,4.0,1.0,25.0,0.23,0.06,0.0,0.0,21.1,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,922.0,1167.0,79.0,16707.0,4628.0,384.0,441.0,87.1,404.0,476.0,84.9,115.0,193.0,59.6,0.0,0.7,0.8,-0.7,10.0,48.0,16.0,7.0,69.0,1167.0,987.0,177.0,21.0,1.0,7.0,34.0,153.0,2.0,0.0,0.0,0.0,922.0,3.0,18.0,22.0,1.25,17.0,0.0,0.0,1.0,3.0,1.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,19.0,9.0,10.0,6.0,3.0,7.0,25.0,28.0,18.0,13.0,5.0,8.0,22.0,41.0,25.0,0.0,1318.0,53.0,470.0,569.0,289.0,13.0,1318.0,15.0,6.0,40.0,9.0,60.0,729.0,3399.0,1655.0,30.0,19.0,2.0,29.0,4.0,808.0,57.0,21,1590.0,76.0,46.5,17.7,19,80.0,12,2,33.0,13,1.0,19.0,32.0,-13.0,-0.74,-0.39,20.6,30.4,-9.8,-0.55,-0.12,4.0,1.0,0.0,17.0,21.0,1.0,34.0,22.0,9.0,0.0,0.0,0.0,115.0,30.0,15.0,66.7
