player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Rodrigo De Paul,ar ARG,MF,26.0,35.6,9.0,79.0,19.0,24.1,2.22,0.53,0.08,0.32,25.5,10.0,3.0,3.0,6.2,3.8,0.05,2.8,2.2,1549.0,2134.0,72.6,30867.0,10628.0,597.0,707.0,84.4,639.0,817.0,78.2,267.0,475.0,56.2,9.0,11.2,10.3,-2.2,82.0,210.0,86.0,24.0,308.0,2134.0,1813.0,300.0,176.0,12.0,38.0,262.0,13.0,111.0,31.0,65.0,0.0,1549.0,21.0,38.0,180.0,5.06,104.0,37.0,15.0,9.0,13.0,2.0,18.0,0.51,12.0,1.0,2.0,2.0,1.0,0.0,41.0,24.0,17.0,22.0,2.0,15.0,60.0,25.0,45.0,32.0,1.0,31.0,17.0,58.0,20.0,1.0,2548.0,21.0,351.0,1257.0,996.0,59.0,2545.0,182.0,122.0,67.0,60.0,33.0,1675.0,12061.0,6259.0,167.0,142.0,21.0,93.0,56.0,1855.0,135.0,36,3201.0,89.0,93.6,35.6,36,89.0,33,0,,0,1.03,39.0,56.0,-17.0,-0.48,-0.89,41.8,48.9,-7.0,-0.2,-0.28,5.0,2.0,1.0,33.0,125.0,1.0,262.0,17.0,24.0,0.0,1.0,0.0,208.0,5.0,11.0,31.3
Juan Musso,ar ARG,GK,26.0,35.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,769.0,1017.0,75.6,20946.0,14856.0,170.0,170.0,100.0,336.0,342.0,98.2,253.0,492.0,51.4,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1017.0,674.0,340.0,85.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,769.0,3.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,1.0,1093.0,958.0,1086.0,7.0,1.0,1.0,1093.0,1.0,1.0,100.0,0.0,0.0,600.0,3560.0,2172.0,0.0,1.0,1.0,0.0,0.0,400.0,0.0,35,3147.0,90.0,92.0,35.0,35,90.0,34,0,,0,1.06,36.0,51.0,-15.0,-0.43,-0.1,41.4,48.5,-7.0,-0.2,-0.27,5.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,43.0,8.0,0.0,100.0
Roberto Pereyra,ar ARG,"MF,FW",29.0,32.5,5.0,27.0,6.0,22.2,0.83,0.18,0.15,0.67,17.8,0.0,1.0,1.0,4.0,3.2,0.12,1.0,0.8,1070.0,1262.0,84.8,15452.0,3828.0,616.0,673.0,91.5,334.0,381.0,87.7,62.0,88.0,70.5,7.0,4.0,3.0,3.0,45.0,94.0,36.0,3.0,134.0,1262.0,1197.0,58.0,17.0,0.0,6.0,37.0,16.0,18.0,5.0,3.0,0.0,1070.0,7.0,28.0,86.0,2.65,72.0,3.0,3.0,2.0,6.0,0.0,10.0,0.31,8.0,0.0,0.0,0.0,2.0,0.0,18.0,11.0,7.0,8.0,3.0,7.0,23.0,30.4,16.0,24.0,5.0,19.0,27.0,45.0,24.0,0.0,1591.0,44.0,220.0,729.0,666.0,105.0,1590.0,86.0,36.0,41.9,50.0,58.1,1058.0,6534.0,3108.0,106.0,71.0,27.0,80.0,50.0,1171.0,193.0,34,2925.0,86.0,85.5,32.5,34,86.0,23,0,,0,1.09,36.0,49.0,-13.0,-0.4,0.15,39.4,46.0,-6.6,-0.2,-0.16,8.0,0.0,0.0,38.0,59.0,7.0,37.0,27.0,11.0,1.0,0.0,0.0,156.0,5.0,10.0,33.3
Rodrigo Becão,br BRA,DF,24.0,30.9,1.0,10.0,3.0,30.0,0.32,0.1,0.1,0.33,10.3,0.0,0.0,0.0,1.3,1.3,0.13,-0.3,-0.3,1173.0,1371.0,85.6,20394.0,7572.0,498.0,547.0,91.0,553.0,612.0,90.4,96.0,158.0,60.8,0.0,0.3,0.3,-0.3,7.0,80.0,5.0,1.0,98.0,1371.0,1313.0,54.0,49.0,0.0,5.0,13.0,5.0,0.0,0.0,0.0,0.0,1173.0,4.0,19.0,25.0,0.81,21.0,0.0,0.0,1.0,1.0,2.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,59.0,33.0,36.0,20.0,3.0,27.0,49.0,55.1,22.0,48.0,27.0,21.0,68.0,127.0,94.0,2.0,1693.0,215.0,789.0,789.0,125.0,26.0,1693.0,4.0,3.0,75.0,1.0,25.0,949.0,4693.0,3033.0,22.0,19.0,1.0,12.0,9.0,1074.0,22.0,35,2780.0,79.0,81.3,30.9,32,85.0,26,3,18.0,2,1.06,33.0,46.0,-13.0,-0.42,0.0,37.6,40.9,-3.3,-0.11,0.4,5.0,0.0,0.0,50.0,47.0,0.0,13.0,68.0,33.0,0.0,1.0,0.0,142.0,61.0,36.0,62.9
Jens Stryger Larsen,dk DEN,DF,29.0,29.3,2.0,23.0,12.0,52.2,0.78,0.41,0.09,0.17,18.5,0.0,0.0,0.0,3.0,3.0,0.13,-1.0,-1.0,1022.0,1314.0,77.8,15641.0,6484.0,591.0,657.0,90.0,334.0,437.0,76.4,67.0,149.0,45.0,0.0,1.3,1.4,-1.3,10.0,78.0,20.0,5.0,107.0,1314.0,1120.0,191.0,10.0,1.0,3.0,60.0,180.0,1.0,0.0,1.0,0.0,1022.0,3.0,26.0,33.0,1.13,27.0,0.0,3.0,1.0,1.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,17.0,11.0,14.0,3.0,0.0,8.0,25.0,32.0,17.0,26.0,11.0,15.0,24.0,41.0,65.0,0.0,1548.0,103.0,463.0,682.0,408.0,31.0,1548.0,23.0,14.0,60.9,9.0,39.1,873.0,3924.0,1950.0,43.0,25.0,2.0,32.0,19.0,975.0,113.0,33,2638.0,80.0,77.1,29.3,30,86.0,19,3,21.0,0,1.12,33.0,43.0,-10.0,-0.34,0.35,33.3,44.1,-10.8,-0.37,-0.83,0.0,0.0,0.0,12.0,13.0,4.0,60.0,24.0,11.0,0.0,1.0,0.0,131.0,22.0,32.0,40.7
Kevin Bonifazi,it ITA,DF,24.0,27.4,0.0,17.0,0.0,0.0,0.62,0.0,0.0,,14.8,0.0,0.0,0.0,1.4,1.4,0.08,-1.4,-1.4,1204.0,1360.0,88.5,22919.0,9010.0,412.0,450.0,91.6,652.0,681.0,95.7,117.0,184.0,63.6,0.0,0.2,0.4,-0.2,2.0,59.0,3.0,0.0,58.0,1360.0,1287.0,71.0,64.0,0.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,1204.0,2.0,9.0,15.0,0.55,11.0,1.0,1.0,1.0,1.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,32.0,21.0,24.0,6.0,2.0,8.0,23.0,34.8,15.0,33.0,20.0,13.0,50.0,82.0,85.0,1.0,1613.0,262.0,872.0,678.0,74.0,22.0,1613.0,16.0,13.0,81.3,3.0,18.8,1020.0,5282.0,2586.0,15.0,14.0,2.0,19.0,3.0,1047.0,5.0,30,2469.0,82.0,72.2,27.4,28,88.0,22,2,9.0,4,0.97,31.0,44.0,-13.0,-0.47,-0.19,30.4,42.9,-12.6,-0.46,-1.0,4.0,0.0,0.0,26.0,14.0,0.0,4.0,50.0,21.0,0.0,2.0,0.0,164.0,41.0,24.0,63.1
Tolgay Arslan,de GER,MF,29.0,20.2,3.0,22.0,6.0,27.3,1.09,0.3,0.14,0.5,21.5,0.0,0.0,0.0,0.9,0.9,0.04,2.1,2.1,749.0,890.0,84.2,12827.0,2917.0,341.0,380.0,89.7,325.0,363.0,89.5,62.0,97.0,63.9,0.0,0.4,0.9,-0.4,9.0,73.0,12.0,2.0,80.0,890.0,853.0,31.0,26.0,1.0,10.0,13.0,3.0,2.0,1.0,1.0,0.0,749.0,6.0,12.0,35.0,1.73,26.0,1.0,2.0,1.0,4.0,1.0,2.0,0.1,1.0,0.0,1.0,0.0,0.0,0.0,52.0,32.0,24.0,24.0,4.0,25.0,54.0,46.3,29.0,22.0,2.0,20.0,22.0,74.0,15.0,1.0,1095.0,23.0,227.0,652.0,234.0,19.0,1095.0,48.0,34.0,70.8,14.0,29.2,665.0,3971.0,2354.0,48.0,45.0,6.0,22.0,22.0,734.0,37.0,30,1818.0,61.0,53.2,20.2,25,69.0,3,5,19.0,3,1.2,23.0,20.0,3.0,0.15,1.22,25.7,24.5,1.3,0.06,0.52,9.0,0.0,0.0,38.0,45.0,0.0,13.0,22.0,32.0,0.0,1.0,0.0,139.0,11.0,9.0,55.0
Samir Santos,br BRA,DF,25.0,24.6,1.0,11.0,3.0,27.3,0.45,0.12,0.09,0.33,11.1,0.0,0.0,0.0,1.3,1.3,0.12,-0.3,-0.3,1132.0,1317.0,86.0,18965.0,7117.0,527.0,558.0,94.4,519.0,583.0,89.0,69.0,131.0,52.7,0.0,0.6,0.6,-0.6,9.0,75.0,5.0,3.0,88.0,1317.0,1196.0,114.0,42.0,0.0,5.0,18.0,72.0,0.0,0.0,0.0,0.0,1132.0,7.0,14.0,25.0,1.02,18.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,23.0,26.0,12.0,2.0,13.0,29.0,44.8,16.0,33.0,17.0,16.0,58.0,98.0,60.0,1.0,1562.0,116.0,642.0,791.0,139.0,22.0,1562.0,8.0,6.0,75.0,2.0,25.0,896.0,3762.0,2064.0,24.0,24.0,1.0,11.0,14.0,1038.0,23.0,30,2216.0,74.0,64.8,24.6,24,88.0,20,6,18.0,6,0.93,25.0,41.0,-16.0,-0.65,-0.65,33.0,29.5,3.6,0.15,0.92,6.0,0.0,0.0,39.0,36.0,3.0,18.0,58.0,23.0,0.0,0.0,0.0,97.0,49.0,32.0,60.5
Walace,br BRA,MF,25.0,22.8,0.0,17.0,4.0,23.5,0.74,0.18,0.0,0.0,24.3,0.0,0.0,0.0,0.7,0.7,0.04,-0.7,-0.7,1027.0,1165.0,88.2,18080.0,4710.0,452.0,484.0,93.4,432.0,464.0,93.1,103.0,135.0,76.3,0.0,0.3,0.6,-0.3,9.0,99.0,6.0,1.0,95.0,1165.0,1128.0,32.0,25.0,0.0,9.0,2.0,7.0,0.0,0.0,0.0,0.0,1027.0,5.0,22.0,27.0,1.18,22.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,23.0,28.0,19.0,3.0,21.0,60.0,35.0,39.0,36.0,3.0,33.0,34.0,84.0,23.0,0.0,1431.0,56.0,403.0,866.0,174.0,12.0,1431.0,33.0,24.0,72.7,9.0,27.3,801.0,3645.0,1671.0,17.0,13.0,2.0,40.0,16.0,936.0,16.0,30,2055.0,69.0,60.1,22.8,23,81.0,13,7,26.0,1,1.07,24.0,36.0,-12.0,-0.53,-0.26,24.6,36.6,-12.0,-0.52,-0.86,4.0,0.0,0.0,31.0,26.0,1.0,2.0,34.0,23.0,0.0,0.0,0.0,179.0,13.0,14.0,48.1
Marvin Zeegelaar,nl NED,DF,29.0,19.3,1.0,9.0,1.0,11.1,0.47,0.05,0.11,1.0,14.8,0.0,0.0,0.0,1.6,1.6,0.18,-0.6,-0.6,585.0,771.0,75.9,8962.0,3167.0,316.0,378.0,83.6,219.0,274.0,79.9,32.0,73.0,43.8,0.0,0.9,1.0,-0.9,9.0,36.0,12.0,7.0,70.0,771.0,675.0,93.0,6.0,0.0,1.0,45.0,87.0,0.0,0.0,0.0,0.0,585.0,3.0,16.0,30.0,1.55,20.0,0.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,18.0,23.0,16.0,1.0,20.0,39.0,51.3,19.0,21.0,9.0,12.0,24.0,64.0,43.0,0.0,975.0,60.0,266.0,431.0,289.0,29.0,975.0,33.0,21.0,63.6,12.0,36.4,497.0,2473.0,1148.0,35.0,20.0,4.0,27.0,15.0,586.0,88.0,24,1740.0,73.0,50.9,19.3,23,75.0,7,1,19.0,13,0.96,16.0,29.0,-13.0,-0.67,-0.51,20.6,23.5,-2.9,-0.15,0.06,6.0,0.0,0.0,39.0,6.0,4.0,45.0,24.0,18.0,0.0,1.0,0.0,68.0,33.0,28.0,54.1
