player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Cristiano Biraghi,it ITA,DF,28.0,35.0,4.0,36.0,16.0,44.4,1.03,0.46,0.08,0.19,25.4,14.0,1.0,2.0,3.1,1.5,0.04,0.9,1.5,2080.0,2600.0,80.0,39364.0,14210.0,846.0,918.0,92.2,942.0,1095.0,86.0,263.0,480.0,54.8,1.0,6.1,7.6,-5.1,72.0,145.0,64.0,38.0,171.0,2600.0,2017.0,575.0,130.0,0.0,34.0,278.0,324.0,121.0,18.0,82.0,0.0,2080.0,8.0,55.0,126.0,3.59,64.0,55.0,0.0,6.0,1.0,0.0,8.0,0.23,5.0,3.0,0.0,0.0,0.0,0.0,37.0,24.0,17.0,15.0,5.0,22.0,53.0,41.5,31.0,28.0,10.0,18.0,19.0,56.0,31.0,1.0,2799.0,72.0,837.0,1122.0,862.0,46.0,2797.0,26.0,12.0,46.2,14.0,53.8,1460.0,6283.0,3246.0,61.0,52.0,8.0,25.0,6.0,1793.0,177.0,37,3153.0,85.0,92.2,35.0,37,85.0,25,0,,0,1.65,56.0,49.0,7.0,0.2,-0.14,57.1,39.0,18.1,0.52,0.09,5.0,1.0,1.0,28.0,38.0,7.0,278.0,19.0,24.0,0.0,0.0,1.0,173.0,4.0,16.0,20.0
Nikola Milenković,rs SRB,DF,23.0,32.5,1.0,23.0,9.0,39.1,0.71,0.28,0.04,0.11,16.3,0.0,0.0,0.0,2.1,2.1,0.09,-1.1,-1.1,1877.0,2098.0,89.5,38438.0,11989.0,545.0,607.0,89.8,1076.0,1137.0,94.6,243.0,316.0,76.9,0.0,0.2,0.5,-0.2,2.0,120.0,3.0,0.0,114.0,2098.0,2019.0,78.0,73.0,0.0,38.0,2.0,5.0,0.0,0.0,0.0,0.0,1877.0,1.0,12.0,17.0,0.52,14.0,0.0,0.0,3.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,54.0,32.0,31.0,20.0,3.0,29.0,34.0,85.3,5.0,30.0,15.0,15.0,39.0,93.0,94.0,0.0,2373.0,227.0,1171.0,1137.0,86.0,28.0,2373.0,2.0,2.0,100.0,0.0,0.0,1412.0,5908.0,3240.0,13.0,11.0,1.0,11.0,4.0,1634.0,8.0,34,2926.0,86.0,85.6,32.5,34,86.0,29,0,,2,1.56,46.0,41.0,5.0,0.15,-0.39,50.0,32.9,17.1,0.53,0.11,10.0,1.0,1.0,48.0,21.0,0.0,2.0,39.0,32.0,0.0,1.0,0.0,172.0,98.0,32.0,75.4
Pietro Terracciano,it ITA,GK,31.0,31.8,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1217.0,1531.0,79.5,33515.0,20979.0,204.0,207.0,98.6,557.0,565.0,98.6,454.0,750.0,60.5,0.0,0.0,0.1,0.0,1.0,23.0,1.0,0.0,1.0,1531.0,1250.0,276.0,106.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1217.0,5.0,3.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,20.0,1.0,1596.0,1283.0,1586.0,11.0,0.0,0.0,1596.0,2.0,1.0,50.0,1.0,50.0,1022.0,4983.0,2868.0,0.0,0.0,0.0,0.0,0.0,1032.0,0.0,32,2862.0,89.0,83.7,31.8,31,90.0,31,1,72.0,5,1.66,52.0,43.0,9.0,0.28,0.44,52.9,33.1,19.8,0.62,0.68,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,44.0,13.0,2.0,86.7
Giacomo Bonaventura,it ITA,MF,31.0,25.2,4.0,46.0,14.0,30.4,1.83,0.56,0.09,0.29,17.9,1.0,0.0,0.0,4.7,4.7,0.11,-0.7,-0.7,999.0,1206.0,82.8,16878.0,3407.0,491.0,547.0,89.8,393.0,465.0,84.5,93.0,133.0,69.9,4.0,2.3,2.1,1.7,33.0,87.0,22.0,1.0,131.0,1206.0,1153.0,47.0,21.0,7.0,14.0,36.0,4.0,17.0,0.0,12.0,0.0,999.0,6.0,18.0,83.0,3.3,69.0,1.0,3.0,5.0,5.0,0.0,13.0,0.52,9.0,0.0,0.0,2.0,2.0,0.0,33.0,17.0,12.0,16.0,5.0,21.0,46.0,45.7,25.0,20.0,2.0,18.0,14.0,47.0,9.0,1.0,1419.0,19.0,213.0,736.0,490.0,73.0,1419.0,47.0,30.0,63.8,17.0,36.2,838.0,5099.0,2799.0,76.0,65.0,18.0,37.0,19.0,1087.0,94.0,31,2266.0,73.0,66.3,25.2,28,78.0,10,3,28.0,1,1.55,44.0,31.0,13.0,0.52,0.91,40.0,25.0,14.9,0.59,0.25,8.0,1.0,1.0,31.0,49.0,2.0,36.0,14.0,17.0,2.0,0.0,0.0,141.0,16.0,16.0,50.0
Nicolás González,ar ARG,FW,23.0,26.2,7.0,69.0,19.0,27.5,2.63,0.73,0.06,0.21,16.3,0.0,3.0,3.0,10.1,7.7,0.11,-3.1,-3.7,693.0,940.0,73.7,12669.0,2404.0,326.0,411.0,79.3,260.0,329.0,79.0,95.0,126.0,75.4,6.0,4.2,4.8,1.8,37.0,46.0,32.0,9.0,91.0,940.0,897.0,37.0,6.0,3.0,26.0,64.0,27.0,3.0,2.0,0.0,0.0,693.0,6.0,27.0,95.0,3.63,58.0,2.0,7.0,10.0,17.0,1.0,14.0,0.53,6.0,0.0,1.0,1.0,5.0,1.0,21.0,16.0,6.0,8.0,7.0,9.0,28.0,32.1,19.0,26.0,2.0,24.0,21.0,42.0,4.0,1.0,1313.0,7.0,111.0,572.0,657.0,137.0,1310.0,115.0,57.0,49.6,57.0,49.6,867.0,6278.0,2785.0,97.0,80.0,37.0,97.0,39.0,1055.0,210.0,33,2357.0,71.0,68.9,26.2,26,84.0,14,7,24.0,1,1.61,42.0,36.0,6.0,0.23,0.06,42.6,26.3,16.3,0.62,0.36,4.0,1.0,1.0,30.0,97.0,5.0,64.0,21.0,16.0,3.0,0.0,0.0,95.0,66.0,59.0,52.8
Lucas Torreira,uy URU,MF,25.0,24.4,5.0,29.0,13.0,44.8,1.19,0.53,0.17,0.38,14.2,2.0,0.0,0.0,5.3,5.0,0.19,-0.3,0.0,1193.0,1368.0,87.2,22757.0,5765.0,432.0,481.0,89.8,590.0,646.0,91.3,149.0,194.0,76.8,1.0,2.1,1.7,-1.1,23.0,112.0,24.0,0.0,125.0,1368.0,1275.0,90.0,86.0,5.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,1193.0,3.0,12.0,60.0,2.46,51.0,1.0,0.0,2.0,4.0,2.0,6.0,0.25,3.0,0.0,0.0,1.0,1.0,1.0,37.0,29.0,13.0,21.0,3.0,18.0,40.0,45.0,22.0,18.0,1.0,17.0,26.0,63.0,18.0,0.0,1549.0,37.0,318.0,975.0,261.0,35.0,1549.0,13.0,6.0,46.2,7.0,53.8,832.0,3144.0,1249.0,10.0,11.0,3.0,24.0,8.0,1051.0,30.0,31,2195.0,71.0,64.2,24.4,26,81.0,12,5,20.0,3,1.52,42.0,32.0,10.0,0.41,0.56,45.3,23.9,21.4,0.88,1.02,10.0,1.0,1.0,38.0,44.0,2.0,6.0,26.0,29.0,1.0,0.0,0.0,153.0,18.0,26.0,40.9
Igor,br BRA,DF,23.0,24.9,0.0,7.0,1.0,14.3,0.28,0.04,0.0,0.0,12.5,0.0,0.0,0.0,0.4,0.4,0.06,-0.4,-0.4,1550.0,1688.0,91.8,31777.0,9782.0,445.0,480.0,92.7,906.0,945.0,95.9,192.0,236.0,81.4,0.0,0.9,0.8,-0.9,6.0,89.0,1.0,0.0,95.0,1688.0,1629.0,59.0,50.0,1.0,17.0,2.0,9.0,0.0,0.0,0.0,0.0,1550.0,0.0,9.0,19.0,0.76,16.0,0.0,0.0,2.0,0.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,53.0,31.0,34.0,16.0,3.0,30.0,40.0,75.0,10.0,37.0,19.0,18.0,31.0,84.0,46.0,4.0,1905.0,134.0,947.0,935.0,39.0,15.0,1905.0,12.0,12.0,100.0,0.0,0.0,1206.0,6111.0,3553.0,20.0,8.0,0.0,18.0,3.0,1350.0,1.0,30,2242.0,75.0,65.6,24.9,23,90.0,22,7,25.0,8,1.77,41.0,30.0,11.0,0.44,0.67,39.8,26.2,13.5,0.54,0.1,3.0,0.0,0.0,28.0,5.0,0.0,2.0,31.0,31.0,0.0,1.0,0.0,169.0,46.0,41.0,52.9
Alfred Duncan,gh GHA,MF,28.0,21.5,2.0,11.0,3.0,27.3,0.51,0.14,0.18,0.67,18.5,0.0,0.0,0.0,0.9,0.9,0.08,1.1,1.1,740.0,947.0,78.1,14309.0,4015.0,304.0,361.0,84.2,298.0,365.0,81.6,121.0,160.0,75.6,2.0,2.0,1.7,0.0,26.0,101.0,27.0,9.0,129.0,947.0,918.0,23.0,11.0,4.0,20.0,44.0,9.0,3.0,1.0,0.0,0.0,740.0,6.0,26.0,50.0,2.33,45.0,1.0,0.0,2.0,1.0,1.0,4.0,0.19,4.0,0.0,0.0,0.0,0.0,0.0,34.0,19.0,13.0,16.0,5.0,11.0,32.0,34.4,21.0,32.0,3.0,29.0,10.0,44.0,7.0,0.0,1103.0,18.0,168.0,645.0,311.0,29.0,1103.0,23.0,13.0,56.5,10.0,43.5,685.0,3131.0,1559.0,29.0,27.0,6.0,26.0,16.0,808.0,71.0,33,1931.0,59.0,56.5,21.5,21,76.0,5,12,29.0,5,1.76,30.0,25.0,5.0,0.23,0.05,28.9,20.1,8.8,0.41,-0.23,3.0,0.0,0.0,22.0,13.0,0.0,44.0,10.0,19.0,0.0,0.0,0.0,92.0,9.0,17.0,34.6
Dušan Vlahović,rs SRB,FW,21.0,20.6,17.0,69.0,27.0,39.1,3.34,1.31,0.17,0.44,17.2,5.0,5.0,6.0,12.9,8.2,0.12,4.1,3.8,270.0,395.0,68.4,4563.0,783.0,129.0,172.0,75.0,103.0,146.0,70.5,30.0,38.0,78.9,2.0,1.8,2.5,0.2,20.0,15.0,12.0,3.0,40.0,395.0,353.0,41.0,1.0,7.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,270.0,1.0,18.0,54.0,2.62,33.0,0.0,6.0,8.0,7.0,0.0,11.0,0.53,5.0,0.0,1.0,5.0,0.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,11.0,18.2,9.0,6.0,2.0,4.0,1.0,6.0,16.0,0.0,641.0,21.0,36.0,292.0,319.0,115.0,635.0,37.0,20.0,54.1,17.0,45.9,374.0,1474.0,473.0,18.0,13.0,11.0,82.0,42.0,534.0,138.0,21,1857.0,88.0,54.3,20.6,21,88.0,17,0,,0,1.67,39.0,28.0,11.0,0.53,0.71,32.4,22.4,10.0,0.49,-0.05,2.0,0.0,0.0,19.0,49.0,19.0,16.0,1.0,0.0,0.0,0.0,0.0,37.0,40.0,33.0,54.8
Lorenzo Venuti,it ITA,DF,26.0,17.5,0.0,7.0,1.0,14.3,0.4,0.06,0.0,0.0,23.1,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,909.0,1046.0,86.9,16156.0,4826.0,395.0,426.0,92.7,414.0,464.0,89.2,87.0,126.0,69.0,0.0,0.3,0.9,-0.3,8.0,67.0,10.0,3.0,68.0,1046.0,911.0,134.0,22.0,0.0,6.0,29.0,112.0,0.0,0.0,0.0,0.0,909.0,1.0,12.0,19.0,1.09,16.0,0.0,0.0,1.0,1.0,1.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,13.0,10.0,2.0,14.0,24.0,58.3,10.0,13.0,4.0,9.0,5.0,30.0,27.0,0.0,1165.0,40.0,386.0,558.0,230.0,10.0,1165.0,7.0,4.0,57.1,3.0,42.9,660.0,2894.0,1512.0,28.0,21.0,2.0,19.0,9.0,826.0,53.0,23,1571.0,68.0,45.9,17.5,20,77.0,11,3,14.0,12,1.87,26.0,21.0,5.0,0.29,0.14,25.2,15.3,9.9,0.56,0.1,4.0,0.0,0.0,15.0,32.0,0.0,29.0,5.0,10.0,0.0,0.0,1.0,76.0,9.0,8.0,52.9
