player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Pietro Ceccaroni,it ITA,DF,25.0,34.7,2.0,19.0,6.0,31.6,0.55,0.17,0.11,0.33,11.1,0.0,0.0,0.0,2.3,2.3,0.12,-0.3,-0.3,1414.0,1720.0,82.2,25815.0,11157.0,563.0,622.0,90.5,712.0,802.0,88.8,125.0,241.0,51.9,1.0,0.8,0.4,0.2,6.0,82.0,4.0,2.0,87.0,1720.0,1614.0,105.0,59.0,0.0,1.0,12.0,44.0,0.0,0.0,0.0,0.0,1414.0,1.0,29.0,17.0,0.49,12.0,0.0,0.0,5.0,0.0,0.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,55.0,31.0,33.0,18.0,4.0,25.0,36.0,69.4,11.0,45.0,32.0,13.0,30.0,85.0,143.0,0.0,2068.0,389.0,1311.0,650.0,117.0,26.0,2068.0,12.0,5.0,41.7,7.0,58.3,1157.0,6279.0,3804.0,37.0,17.0,1.0,15.0,4.0,1300.0,12.0,35,3122.0,89.0,91.3,34.7,35,89.0,34,0,,1,0.66,31.0,63.0,-32.0,-0.92,-0.02,35.3,66.3,-30.9,-0.89,0.43,7.0,1.0,0.0,26.0,26.0,0.0,12.0,30.0,31.0,0.0,3.0,0.0,194.0,38.0,31.0,55.1
Mattia Caldara,it ITA,DF,27.0,30.0,1.0,16.0,7.0,43.8,0.53,0.23,0.06,0.14,14.5,0.0,0.0,0.0,1.8,1.8,0.11,-0.8,-0.8,951.0,1167.0,81.5,18979.0,7330.0,350.0,390.0,89.7,441.0,512.0,86.1,148.0,237.0,62.4,0.0,0.1,0.2,-0.1,3.0,52.0,1.0,0.0,63.0,1167.0,1110.0,53.0,42.0,0.0,8.0,2.0,8.0,0.0,0.0,0.0,0.0,951.0,4.0,6.0,20.0,0.67,9.0,1.0,0.0,5.0,4.0,1.0,2.0,0.07,0.0,0.0,0.0,1.0,1.0,0.0,48.0,28.0,30.0,15.0,3.0,20.0,34.0,58.8,14.0,49.0,37.0,12.0,62.0,110.0,147.0,1.0,1529.0,306.0,935.0,538.0,72.0,23.0,1529.0,7.0,3.0,42.9,4.0,57.1,770.0,3699.0,1932.0,15.0,7.0,0.0,12.0,4.0,808.0,5.0,31,2704.0,87.0,79.1,30.0,30,90.0,30,1,4.0,5,0.81,27.0,52.0,-25.0,-0.83,0.42,27.2,56.2,-29.0,-0.97,-0.17,9.0,0.0,0.0,28.0,22.0,3.0,2.0,62.0,28.0,1.0,1.0,0.0,170.0,49.0,51.0,49.0
Ethan Ampadu,wls WAL,"MF,DF",20.0,25.4,0.0,7.0,1.0,14.3,0.28,0.04,0.0,0.0,20.2,0.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3,867.0,1165.0,74.4,15853.0,6627.0,385.0,445.0,86.5,359.0,443.0,81.0,103.0,209.0,49.3,3.0,1.6,1.5,1.4,15.0,96.0,12.0,7.0,112.0,1165.0,1037.0,123.0,41.0,4.0,10.0,20.0,80.0,0.0,0.0,0.0,0.0,867.0,5.0,26.0,45.0,1.77,39.0,4.0,1.0,0.0,0.0,1.0,6.0,0.24,5.0,1.0,0.0,0.0,0.0,0.0,67.0,43.0,37.0,27.0,3.0,24.0,58.0,41.4,34.0,49.0,19.0,30.0,51.0,118.0,76.0,0.0,1472.0,125.0,587.0,706.0,194.0,12.0,1472.0,17.0,13.0,76.5,4.0,23.5,712.0,3664.0,1759.0,26.0,23.0,3.0,19.0,10.0,767.0,23.0,29,2282.0,79.0,66.7,25.4,26,84.0,18,3,34.0,0,0.69,20.0,44.0,-24.0,-0.95,-0.08,22.2,47.5,-25.3,-1.0,-0.2,13.0,2.0,1.0,46.0,27.0,0.0,20.0,51.0,43.0,0.0,0.0,0.0,157.0,66.0,33.0,66.7
Mattia Aramu,it ITA,"MF,FW",26.0,23.3,7.0,55.0,15.0,27.3,2.36,0.64,0.07,0.27,24.5,17.0,3.0,4.0,6.8,3.6,0.07,0.2,0.4,524.0,795.0,65.9,8928.0,2978.0,255.0,303.0,84.2,190.0,267.0,71.2,57.0,151.0,37.7,5.0,4.5,4.9,0.5,35.0,39.0,28.0,13.0,79.0,795.0,603.0,184.0,43.0,6.0,6.0,144.0,21.0,66.0,33.0,28.0,0.0,524.0,8.0,24.0,75.0,3.21,31.0,22.0,2.0,5.0,15.0,0.0,11.0,0.47,7.0,1.0,0.0,0.0,3.0,0.0,20.0,15.0,5.0,9.0,6.0,8.0,33.0,24.2,25.0,20.0,2.0,18.0,8.0,28.0,19.0,0.0,1042.0,22.0,103.0,438.0,514.0,36.0,1038.0,38.0,17.0,44.7,21.0,55.3,580.0,2939.0,1312.0,39.0,22.0,5.0,43.0,24.0,650.0,117.0,32,2100.0,66.0,61.4,23.3,25,75.0,7,7,31.0,0,0.81,24.0,39.0,-15.0,-0.64,0.72,24.8,39.9,-15.1,-0.65,0.74,6.0,0.0,0.0,29.0,81.0,7.0,144.0,8.0,15.0,1.0,1.0,0.0,91.0,11.0,27.0,28.9
Ridgeciano Haps,sr SUR,DF,28.0,22.8,1.0,11.0,2.0,18.2,0.48,0.09,0.09,0.5,22.9,0.0,0.0,0.0,0.5,0.5,0.04,0.5,0.5,638.0,858.0,74.4,10727.0,4400.0,310.0,354.0,87.6,249.0,326.0,76.4,59.0,112.0,52.7,1.0,0.6,0.5,0.4,13.0,37.0,10.0,6.0,59.0,858.0,683.0,172.0,3.0,0.0,3.0,34.0,169.0,0.0,0.0,0.0,0.0,638.0,3.0,24.0,31.0,1.36,22.0,3.0,2.0,0.0,4.0,0.0,2.0,0.09,1.0,1.0,0.0,0.0,0.0,0.0,36.0,20.0,26.0,4.0,6.0,11.0,21.0,52.4,10.0,34.0,12.0,22.0,29.0,65.0,57.0,1.0,1120.0,94.0,453.0,442.0,233.0,15.0,1120.0,22.0,16.0,72.7,6.0,27.3,522.0,2761.0,1421.0,30.0,35.0,2.0,34.0,4.0,534.0,69.0,25,2056.0,82.0,60.1,22.8,24,85.0,18,1,25.0,3,0.8,16.0,39.0,-23.0,-1.01,-0.22,20.7,45.4,-24.8,-1.08,-0.38,6.0,0.0,0.0,22.0,43.0,2.0,34.0,29.0,20.0,1.0,1.0,0.0,124.0,24.0,20.0,54.5
David Okereke,ng NGA,"FW,MF",23.0,22.8,7.0,40.0,19.0,47.5,1.75,0.83,0.18,0.37,15.6,0.0,0.0,0.0,5.0,5.0,0.12,2.0,2.0,319.0,463.0,68.9,4844.0,1016.0,180.0,231.0,77.9,96.0,136.0,70.6,27.0,43.0,62.8,0.0,1.0,1.4,-1.0,13.0,17.0,18.0,4.0,43.0,463.0,449.0,9.0,0.0,1.0,2.0,27.0,4.0,0.0,0.0,0.0,0.0,319.0,5.0,13.0,43.0,1.88,29.0,0.0,6.0,2.0,4.0,2.0,7.0,0.31,4.0,0.0,1.0,0.0,2.0,0.0,16.0,10.0,4.0,9.0,3.0,3.0,20.0,15.0,17.0,19.0,3.0,16.0,10.0,26.0,20.0,0.0,693.0,27.0,84.0,280.0,345.0,82.0,693.0,50.0,26.0,52.0,24.0,48.0,419.0,3006.0,1477.0,60.0,31.0,25.0,53.0,29.0,495.0,137.0,32,2053.0,64.0,60.0,22.8,24,76.0,8,8,28.0,0,0.72,19.0,40.0,-21.0,-0.92,0.0,19.0,43.5,-24.5,-1.07,-0.36,5.0,1.0,0.0,30.0,32.0,9.0,27.0,10.0,10.0,1.0,0.0,0.0,73.0,33.0,59.0,35.9
Thomas Henry,fr FRA,FW,26.0,23.5,9.0,51.0,24.0,47.1,2.17,1.02,0.18,0.38,13.3,0.0,0.0,0.0,6.8,6.8,0.13,2.2,2.2,263.0,434.0,60.6,3781.0,651.0,152.0,230.0,66.1,69.0,109.0,63.3,21.0,28.0,75.0,2.0,3.8,2.3,-1.8,20.0,21.0,8.0,1.0,31.0,434.0,408.0,20.0,0.0,3.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,263.0,6.0,18.0,41.0,1.74,31.0,0.0,0.0,2.0,8.0,0.0,6.0,0.26,4.0,0.0,0.0,2.0,0.0,0.0,9.0,4.0,2.0,3.0,4.0,5.0,13.0,38.5,8.0,11.0,5.0,6.0,2.0,11.0,25.0,0.0,716.0,34.0,59.0,352.0,311.0,97.0,716.0,38.0,12.0,31.6,26.0,68.4,427.0,1798.0,588.0,20.0,12.0,9.0,91.0,35.0,605.0,99.0,33,2115.0,64.0,61.8,23.5,23,81.0,9,10,26.0,0,0.76,25.0,48.0,-23.0,-0.98,-0.15,24.0,46.6,-22.5,-0.96,-0.07,6.0,1.0,1.0,50.0,69.0,14.0,5.0,2.0,4.0,0.0,0.0,2.0,38.0,90.0,78.0,53.6
Gianluca Busio,us USA,MF,19.0,21.7,1.0,14.0,5.0,35.7,0.65,0.23,0.07,0.2,20.3,1.0,0.0,0.0,0.9,0.9,0.07,0.1,0.1,733.0,896.0,81.8,13150.0,3223.0,330.0,371.0,88.9,305.0,341.0,89.4,84.0,128.0,65.6,1.0,1.4,1.1,-0.4,16.0,69.0,10.0,2.0,79.0,896.0,841.0,50.0,25.0,2.0,11.0,38.0,4.0,19.0,7.0,11.0,0.0,733.0,5.0,21.0,40.0,1.85,26.0,9.0,0.0,1.0,3.0,1.0,3.0,0.14,2.0,1.0,0.0,0.0,0.0,0.0,53.0,28.0,27.0,20.0,6.0,28.0,63.0,44.4,35.0,45.0,13.0,32.0,21.0,74.0,30.0,1.0,1145.0,63.0,337.0,621.0,194.0,18.0,1145.0,21.0,11.0,52.4,10.0,47.6,644.0,3199.0,1580.0,26.0,23.0,3.0,33.0,15.0,717.0,44.0,29,1950.0,67.0,57.0,21.7,23,78.0,10,6,26.0,5,0.72,15.0,37.0,-22.0,-1.02,-0.22,18.0,38.0,-20.0,-0.92,0.01,8.0,0.0,0.0,31.0,17.0,0.0,38.0,21.0,28.0,0.0,0.0,0.0,99.0,31.0,33.0,48.4
Domen Črnigoj,si SVN,MF,25.0,20.9,3.0,32.0,12.0,37.5,1.53,0.57,0.09,0.25,22.4,0.0,0.0,0.0,2.2,2.2,0.07,0.8,0.8,494.0,677.0,73.0,8105.0,2645.0,260.0,309.0,84.1,169.0,224.0,75.4,51.0,82.0,62.2,1.0,0.8,1.2,0.2,10.0,37.0,12.0,4.0,69.0,677.0,650.0,25.0,4.0,0.0,3.0,30.0,21.0,0.0,0.0,0.0,0.0,494.0,2.0,31.0,35.0,1.68,28.0,0.0,2.0,3.0,1.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,21.0,13.0,7.0,11.0,3.0,11.0,29.0,37.9,18.0,27.0,8.0,19.0,24.0,45.0,42.0,0.0,938.0,60.0,246.0,440.0,269.0,34.0,938.0,38.0,18.0,47.4,20.0,52.6,496.0,2766.0,1169.0,34.0,22.0,9.0,41.0,17.0,569.0,66.0,34,1881.0,55.0,55.0,20.9,22,70.0,4,12,29.0,1,0.71,20.0,40.0,-20.0,-0.96,-0.08,19.6,36.6,-17.0,-0.81,0.26,3.0,0.0,0.0,26.0,12.0,1.0,30.0,24.0,13.0,0.0,1.0,0.0,106.0,25.0,43.0,36.8
Dennis Johnsen,no NOR,"FW,MF",23.0,16.1,1.0,14.0,5.0,35.7,0.87,0.31,0.07,0.2,16.5,0.0,0.0,0.0,2.3,2.3,0.16,-1.3,-1.3,188.0,321.0,58.6,3161.0,1045.0,95.0,145.0,65.5,57.0,86.0,66.3,23.0,40.0,57.5,2.0,2.8,2.1,-0.8,24.0,15.0,20.0,8.0,31.0,321.0,319.0,2.0,0.0,0.0,7.0,42.0,1.0,1.0,1.0,0.0,0.0,188.0,0.0,21.0,32.0,1.97,28.0,0.0,2.0,1.0,1.0,0.0,3.0,0.18,3.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,8.0,4.0,2.0,6.0,18.0,33.3,12.0,14.0,1.0,13.0,5.0,19.0,3.0,0.0,508.0,8.0,75.0,176.0,271.0,59.0,508.0,66.0,20.0,30.3,46.0,69.7,346.0,2237.0,1077.0,36.0,23.0,19.0,61.0,23.0,369.0,140.0,26,1445.0,56.0,42.3,16.1,17,69.0,3,9,30.0,3,0.73,13.0,27.0,-14.0,-0.87,0.08,15.6,28.8,-13.3,-0.82,0.2,2.0,0.0,0.0,9.0,12.0,13.0,42.0,5.0,10.0,0.0,0.0,0.0,62.0,5.0,20.0,20.0
