player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Emanuele Valeri,it ITA,DF,24-183,30.9,2.0,40.0,6.0,15.0,1.29,0.19,0.05,0.33,21.5,3.0,0.0,0.0,2.2,2.2,0.05,-0.2,-0.2,753.0,1258.0,59.9,13771.0,6184.0,330.0,407.0,81.1,303.0,492.0,61.6,96.0,258.0,37.2,3.0,4.6,3.8,-1.6,53.0,66.0,52.0,32.0,90.0,1258.0,940.0,309.0,24.0,4.0,20.0,147.0,272.0,13.0,0.0,12.0,0.0,753.0,9.0,44.0,94.0,3.04,67.0,15.0,2.0,1.0,8.0,1.0,5.0,0.16,3.0,2.0,0.0,0.0,0.0,0.0,54.0,27.0,29.0,21.0,4.0,29.0,69.0,42.0,40.0,17.0,3.0,14.0,22.0,76.0,44.0,1.0,1610.0,64.0,418.0,642.0,584.0,56.0,1610.0,71.0,18.0,25.4,40.0,56.3,805.0,5645.0,3186.0,111.0,58.0,20.0,64.0,26.0,838.0,158.0,37,2785.0,75.0,81.4,30.9,31,84.0,21,6,33.0,0,0.73,32.0,53.0,-21.0,-0.68,1.02,33.0,52.2,-19.2,-0.62,0.54,3.0,0.0,0.0,27.0,37.0,5.0,147.0,22.0,27.0,0.0,0.0,0.0,190.0,13.0,26.0,33.3
Charles Pickel,ch SUI,MF,26-024,27.6,1.0,23.0,7.0,30.4,0.83,0.25,0.04,0.14,15.9,0.0,0.0,0.0,1.6,1.6,0.07,-0.6,-0.6,756.0,978.0,77.3,12014.0,3464.0,379.0,459.0,82.6,308.0,369.0,83.5,46.0,85.0,54.1,0.0,1.2,1.1,-1.2,20.0,80.0,15.0,1.0,104.0,978.0,940.0,34.0,10.0,0.0,0.0,11.0,14.0,0.0,0.0,0.0,0.0,756.0,4.0,21.0,52.0,1.89,49.0,1.0,0.0,2.0,0.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,55.0,23.0,25.0,26.0,4.0,32.0,57.0,56.1,25.0,37.0,5.0,32.0,24.0,79.0,36.0,1.0,1261.0,50.0,270.0,715.0,288.0,44.0,1261.0,18.0,4.0,22.2,10.0,55.6,584.0,2332.0,1067.0,18.0,21.0,1.0,34.0,18.0,691.0,61.0,33,2483.0,75.0,72.6,27.6,30,81.0,16,3,22.0,2,0.73,26.0,46.0,-20.0,-0.72,0.52,28.6,44.3,-15.7,-0.57,0.54,8.0,1.0,0.0,34.0,18.0,4.0,11.0,24.0,23.0,0.0,0.0,0.0,163.0,47.0,76.0,38.2
Soualiho Meïté,fr FRA,MF,29-083,26.3,0.0,17.0,3.0,17.6,0.65,0.11,0.0,0.0,24.4,0.0,0.0,0.0,0.5,0.5,0.03,-0.5,-0.5,863.0,1026.0,84.1,14666.0,3741.0,423.0,476.0,88.9,340.0,380.0,89.5,80.0,125.0,64.0,2.0,0.7,0.5,1.3,14.0,77.0,18.0,3.0,82.0,1026.0,993.0,28.0,23.0,3.0,7.0,9.0,2.0,0.0,0.0,0.0,0.0,863.0,5.0,11.0,45.0,1.71,38.0,1.0,3.0,0.0,1.0,2.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,47.0,31.0,25.0,15.0,7.0,22.0,46.0,47.8,24.0,27.0,6.0,21.0,27.0,74.0,36.0,0.0,1282.0,72.0,363.0,759.0,176.0,13.0,1282.0,60.0,28.0,46.7,18.0,30.0,719.0,3526.0,1612.0,26.0,20.0,4.0,30.0,30.0,811.0,22.0,31,2366.0,76.0,69.2,26.3,28,82.0,19,3,21.0,1,0.84,24.0,47.0,-23.0,-0.87,-0.02,26.0,45.8,-19.8,-0.75,-0.11,5.0,0.0,0.0,27.0,47.0,0.0,9.0,27.0,31.0,0.0,0.0,0.0,174.0,28.0,17.0,62.2
Marco Carnesecchi,it ITA,GK,22-342,27.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,565.0,954.0,59.2,18072.0,14248.0,99.0,100.0,99.0,231.0,237.0,97.5,229.0,605.0,37.9,1.0,0.2,0.1,0.8,2.0,33.0,1.0,0.0,0.0,954.0,648.0,300.0,97.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,6.0,0.0,9.0,0.33,6.0,3.0,0.0,0.0,0.0,0.0,2.0,0.07,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,2.0,1036.0,906.0,1036.0,0.0,0.0,0.0,1036.0,0.0,0.0,,0.0,,568.0,2965.0,1600.0,0.0,0.0,0.0,0.0,0.0,407.0,0.0,27,2430.0,90.0,71.1,27.0,27,90.0,27,0,,4,0.78,25.0,47.0,-22.0,-0.81,0.19,28.1,44.3,-16.2,-0.6,0.42,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,5.0,2.0,71.4
Leonardo Sernicola,it ITA,DF,25-313,25.7,2.0,25.0,5.0,20.0,0.97,0.19,0.08,0.4,21.3,0.0,0.0,0.0,1.3,1.3,0.05,0.7,0.7,615.0,945.0,65.1,10638.0,4546.0,293.0,352.0,83.2,239.0,389.0,61.4,64.0,143.0,44.8,2.0,2.3,2.2,-0.3,25.0,50.0,29.0,21.0,62.0,945.0,737.0,203.0,12.0,2.0,6.0,118.0,179.0,12.0,0.0,11.0,0.0,615.0,5.0,25.0,55.0,2.14,40.0,5.0,1.0,3.0,5.0,1.0,4.0,0.16,3.0,0.0,0.0,0.0,1.0,0.0,45.0,33.0,25.0,13.0,7.0,29.0,43.0,67.4,14.0,23.0,6.0,17.0,38.0,83.0,55.0,0.0,1220.0,67.0,352.0,498.0,387.0,24.0,1220.0,57.0,24.0,42.1,22.0,38.6,592.0,3716.0,2045.0,60.0,45.0,5.0,28.0,21.0,610.0,95.0,32,2316.0,72.0,67.7,25.7,27,82.0,18,5,22.0,4,0.78,25.0,50.0,-25.0,-0.97,-0.32,27.7,45.5,-17.8,-0.69,0.09,11.0,0.0,0.0,40.0,43.0,3.0,118.0,38.0,33.0,0.0,1.0,0.0,136.0,29.0,21.0,58.0
David Okereke,ng NGA,"FW,MF",25-283,25.2,7.0,60.0,20.0,33.3,2.38,0.79,0.1,0.3,17.2,0.0,1.0,1.0,5.9,5.2,0.09,1.1,0.8,353.0,504.0,70.0,5730.0,1348.0,188.0,245.0,76.7,117.0,147.0,79.6,34.0,50.0,68.0,0.0,1.1,1.1,-1.1,21.0,31.0,24.0,5.0,70.0,504.0,485.0,14.0,1.0,3.0,5.0,22.0,7.0,0.0,0.0,0.0,0.0,353.0,5.0,25.0,73.0,2.9,42.0,1.0,11.0,7.0,10.0,2.0,6.0,0.24,0.0,0.0,3.0,1.0,2.0,0.0,12.0,8.0,4.0,5.0,3.0,3.0,16.0,18.8,13.0,23.0,3.0,20.0,10.0,22.0,12.0,0.0,788.0,20.0,65.0,325.0,412.0,91.0,787.0,83.0,39.0,47.0,35.0,42.2,471.0,3128.0,1554.0,56.0,45.0,17.0,63.0,35.0,581.0,144.0,33,2266.0,69.0,66.3,25.2,25,79.0,9,8,36.0,2,0.73,23.0,41.0,-18.0,-0.71,0.45,27.3,43.8,-16.5,-0.66,0.19,4.0,0.0,0.0,21.0,33.0,9.0,22.0,10.0,8.0,3.0,1.0,0.0,60.0,49.0,85.0,36.6
Matteo Bianchetti,it ITA,DF,30-083,23.7,1.0,7.0,4.0,57.1,0.3,0.17,0.14,0.25,10.9,0.0,0.0,0.0,0.8,0.8,0.11,0.2,0.2,729.0,935.0,78.0,14388.0,6137.0,242.0,281.0,86.1,400.0,455.0,87.9,79.0,171.0,46.2,0.0,0.5,0.5,-0.5,5.0,49.0,8.0,2.0,47.0,935.0,870.0,61.0,44.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,729.0,4.0,8.0,16.0,0.68,11.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,19.0,21.0,9.0,2.0,20.0,32.0,62.5,12.0,31.0,17.0,14.0,20.0,52.0,111.0,0.0,1169.0,188.0,692.0,447.0,37.0,13.0,1169.0,3.0,2.0,66.7,1.0,33.3,552.0,2612.0,1377.0,6.0,2.0,0.0,6.0,3.0,586.0,4.0,25,2132.0,85.0,62.3,23.7,22,89.0,20,3,59.0,9,0.6,26.0,47.0,-21.0,-0.89,-0.05,25.9,42.9,-17.0,-0.72,0.0,5.0,0.0,0.0,18.0,10.0,0.0,3.0,20.0,19.0,0.0,1.0,0.0,137.0,63.0,40.0,61.2
Luka Lochoshvili,ge GEO,DF,25-010,20.4,1.0,8.0,2.0,25.0,0.39,0.1,0.13,0.5,16.3,0.0,0.0,0.0,0.6,0.6,0.08,0.4,0.4,627.0,791.0,79.3,11677.0,4375.0,236.0,259.0,91.1,343.0,386.0,88.9,46.0,125.0,36.8,2.0,1.1,0.2,0.9,5.0,43.0,3.0,1.0,70.0,791.0,756.0,33.0,27.0,0.0,2.0,6.0,5.0,0.0,0.0,0.0,0.0,627.0,2.0,7.0,14.0,0.68,10.0,0.0,1.0,2.0,0.0,1.0,2.0,0.1,1.0,0.0,0.0,1.0,0.0,0.0,45.0,19.0,30.0,11.0,4.0,22.0,31.0,71.0,9.0,31.0,10.0,21.0,22.0,67.0,89.0,0.0,1019.0,133.0,561.0,414.0,54.0,9.0,1019.0,9.0,6.0,66.7,3.0,33.3,544.0,2851.0,1642.0,17.0,14.0,0.0,11.0,5.0,589.0,5.0,25,1839.0,74.0,53.8,20.4,22,79.0,9,3,31.0,7,0.72,21.0,33.0,-12.0,-0.59,0.61,21.1,32.2,-11.1,-0.54,0.39,4.0,0.0,0.0,27.0,9.0,1.0,6.0,22.0,19.0,0.0,1.0,0.0,88.0,38.0,32.0,54.3
Johan Vásquez,mx MEX,DF,24-229,20.1,1.0,12.0,1.0,8.3,0.6,0.05,0.08,1.0,12.3,0.0,0.0,0.0,0.7,0.7,0.06,0.3,0.3,632.0,810.0,78.0,11163.0,4435.0,257.0,298.0,86.2,318.0,366.0,86.9,46.0,114.0,40.4,0.0,0.3,0.3,-0.3,6.0,39.0,4.0,1.0,48.0,810.0,739.0,69.0,33.0,1.0,1.0,4.0,29.0,0.0,0.0,0.0,0.0,632.0,2.0,14.0,20.0,0.99,17.0,0.0,0.0,0.0,3.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,41.0,26.0,34.0,7.0,0.0,18.0,39.0,46.2,21.0,27.0,20.0,7.0,45.0,86.0,93.0,1.0,1060.0,161.0,587.0,401.0,82.0,23.0,1060.0,14.0,11.0,78.6,3.0,21.4,505.0,2403.0,1311.0,18.0,11.0,1.0,14.0,6.0,543.0,12.0,25,1813.0,73.0,53.0,20.1,19,89.0,18,6,21.0,9,0.76,19.0,36.0,-17.0,-0.84,0.05,19.9,35.0,-15.1,-0.75,-0.06,7.0,0.0,0.0,21.0,19.0,0.0,4.0,45.0,26.0,0.0,0.0,0.0,129.0,35.0,44.0,44.3
Cyriel Dessers,ng NGA,FW,28-182,17.6,6.0,49.0,12.0,24.5,2.78,0.68,0.12,0.5,13.6,0.0,0.0,1.0,7.1,6.4,0.13,-1.1,-0.4,180.0,280.0,64.3,2509.0,437.0,107.0,153.0,69.9,58.0,81.0,71.6,7.0,14.0,50.0,1.0,1.6,1.5,-0.6,23.0,11.0,8.0,1.0,27.0,280.0,250.0,29.0,0.0,1.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,180.0,1.0,9.0,44.0,2.49,28.0,2.0,5.0,5.0,3.0,1.0,2.0,0.11,1.0,0.0,1.0,0.0,0.0,0.0,11.0,4.0,4.0,4.0,3.0,2.0,6.0,33.3,4.0,14.0,2.0,12.0,3.0,14.0,5.0,0.0,466.0,8.0,18.0,162.0,289.0,115.0,465.0,36.0,13.0,36.1,22.0,61.1,268.0,1302.0,530.0,21.0,10.0,24.0,61.0,21.0,340.0,110.0,26,1587.0,61.0,46.4,17.6,19,74.0,7,7,27.0,2,0.5,15.0,36.0,-21.0,-1.19,-0.6,18.4,33.3,-14.9,-0.84,-0.23,3.0,0.0,0.0,34.0,14.0,24.0,8.0,3.0,4.0,0.0,0.0,0.0,30.0,16.0,48.0,25.0
