player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Cristiano Biraghi,it ITA,DF,30-280,28.3,2.0,24.0,5.0,20.8,0.85,0.18,0.08,0.4,27.4,15.0,0.0,1.0,1.8,1.1,0.04,0.2,0.9,1433.0,1994.0,71.9,27338.0,10270.0,603.0,677.0,89.1,614.0,783.0,78.4,196.0,456.0,43.0,4.0,5.5,5.8,-1.5,82.0,114.0,35.0,23.0,161.0,1994.0,1440.0,548.0,94.0,0.0,27.0,300.0,292.0,162.0,71.0,63.0,0.0,1433.0,6.0,37.0,132.0,4.66,59.0,68.0,1.0,3.0,0.0,1.0,6.0,0.21,3.0,3.0,0.0,0.0,0.0,0.0,65.0,38.0,29.0,29.0,7.0,32.0,65.0,49.2,33.0,32.0,7.0,25.0,14.0,79.0,42.0,1.0,2213.0,72.0,534.0,904.0,793.0,26.0,2212.0,20.0,7.0,35.0,9.0,45.0,1011.0,4803.0,2798.0,69.0,51.0,10.0,16.0,6.0,1214.0,113.0,33,2551.0,77.0,74.6,28.3,30,84.0,21,3,14.0,5,1.55,37.0,35.0,2.0,0.07,-0.76,39.2,34.4,4.8,0.17,-0.55,1.0,0.0,0.0,29.0,38.0,1.0,300.0,14.0,38.0,0.0,0.0,1.0,137.0,19.0,25.0,43.2
Pietro Terracciano,it ITA,GK,33-092,29.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,816.0,1072.0,76.1,23589.0,16226.0,130.0,133.0,97.7,358.0,365.0,98.1,324.0,566.0,57.2,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1072.0,796.0,273.0,75.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,816.0,3.0,1.0,4.0,0.14,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,3.0,66.7,1.0,0.0,0.0,0.0,1.0,3.0,14.0,0.0,1135.0,893.0,1125.0,10.0,0.0,0.0,1135.0,1.0,1.0,100.0,0.0,0.0,602.0,3154.0,1984.0,0.0,0.0,0.0,1.0,0.0,612.0,0.0,29,2610.0,90.0,76.3,29.0,29,90.0,29,0,,8,1.21,35.0,38.0,-3.0,-0.1,-1.55,41.6,34.2,7.4,0.26,-0.22,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,51.0,6.0,0.0,100.0
Dodô,br BRA,DF,24-203,25.9,1.0,11.0,4.0,36.4,0.42,0.15,0.09,0.25,20.5,0.0,0.0,0.0,0.7,0.7,0.06,0.3,0.3,1222.0,1504.0,81.3,21567.0,6692.0,535.0,596.0,89.8,548.0,657.0,83.4,117.0,191.0,61.3,3.0,2.2,2.0,0.8,28.0,93.0,29.0,10.0,141.0,1504.0,1272.0,229.0,21.0,2.0,8.0,61.0,208.0,0.0,0.0,0.0,0.0,1222.0,3.0,28.0,65.0,2.51,58.0,2.0,1.0,2.0,1.0,1.0,5.0,0.19,5.0,0.0,0.0,0.0,0.0,0.0,40.0,22.0,20.0,14.0,6.0,22.0,46.0,47.8,24.0,26.0,2.0,24.0,25.0,65.0,37.0,0.0,1719.0,52.0,464.0,813.0,462.0,24.0,1719.0,62.0,34.0,54.8,21.0,33.9,1028.0,6650.0,3625.0,72.0,58.0,7.0,35.0,15.0,1083.0,104.0,33,2331.0,71.0,68.2,25.9,28,78.0,16,5,29.0,2,1.58,38.0,28.0,10.0,0.39,0.39,38.6,29.3,9.2,0.36,0.16,5.0,1.0,1.0,28.0,40.0,0.0,61.0,25.0,22.0,0.0,1.0,0.0,184.0,19.0,13.0,59.4
Lucas Martínez Quarta,ar ARG,DF,27-029,24.1,1.0,27.0,10.0,37.0,1.12,0.41,0.04,0.1,13.9,0.0,0.0,0.0,2.5,2.5,0.09,-1.5,-1.5,1245.0,1524.0,81.7,27128.0,10926.0,357.0,402.0,88.8,664.0,741.0,89.6,213.0,340.0,62.6,1.0,0.6,0.7,0.4,8.0,119.0,5.0,1.0,119.0,1524.0,1460.0,61.0,54.0,0.0,38.0,4.0,7.0,0.0,0.0,0.0,0.0,1245.0,3.0,12.0,28.0,1.16,21.0,2.0,0.0,4.0,0.0,1.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,80.0,48.0,44.0,32.0,4.0,42.0,61.0,68.9,19.0,41.0,19.0,22.0,48.0,128.0,78.0,1.0,1835.0,139.0,854.0,890.0,111.0,35.0,1835.0,16.0,12.0,75.0,3.0,18.8,1088.0,6689.0,3255.0,19.0,25.0,1.0,11.0,6.0,1131.0,6.0,27,2171.0,80.0,63.5,24.1,25,84.0,20,2,41.0,8,1.48,33.0,31.0,2.0,0.08,-0.49,33.4,28.3,5.1,0.21,-0.26,6.0,0.0,0.0,21.0,25.0,1.0,4.0,48.0,48.0,0.0,0.0,0.0,167.0,76.0,36.0,67.9
Jonathan Ikone,fr FRA,FW,25-037,22.3,4.0,51.0,9.0,17.6,2.29,0.4,0.08,0.44,16.6,0.0,0.0,0.0,4.1,4.1,0.08,-0.1,-0.1,546.0,669.0,81.6,9216.0,1810.0,283.0,314.0,90.1,193.0,235.0,82.1,55.0,71.0,77.5,4.0,3.7,3.5,0.3,29.0,24.0,27.0,3.0,67.0,669.0,638.0,29.0,7.0,2.0,10.0,24.0,21.0,0.0,0.0,0.0,0.0,546.0,2.0,19.0,67.0,3.01,50.0,0.0,11.0,3.0,3.0,0.0,14.0,0.63,9.0,0.0,3.0,0.0,2.0,0.0,16.0,8.0,5.0,6.0,5.0,5.0,14.0,35.7,9.0,18.0,1.0,17.0,4.0,20.0,3.0,0.0,921.0,7.0,78.0,372.0,490.0,109.0,921.0,90.0,48.0,53.3,30.0,33.3,654.0,5072.0,2366.0,83.0,45.0,50.0,61.0,47.0,714.0,178.0,33,2007.0,61.0,58.7,22.3,24,74.0,10,9,26.0,5,1.52,30.0,23.0,7.0,0.31,0.12,33.5,24.5,9.0,0.4,0.23,4.0,0.0,0.0,28.0,25.0,5.0,24.0,4.0,8.0,1.0,0.0,0.0,86.0,14.0,28.0,33.3
Sofyan Amrabat,ma MAR,MF,26-291,22.2,0.0,13.0,4.0,30.8,0.59,0.18,0.0,0.0,26.6,0.0,0.0,0.0,0.5,0.5,0.04,-0.5,-0.5,1323.0,1490.0,88.8,26717.0,7147.0,450.0,504.0,89.3,636.0,677.0,93.9,217.0,258.0,84.1,1.0,1.1,1.6,-0.1,12.0,158.0,23.0,10.0,176.0,1490.0,1396.0,91.0,80.0,1.0,22.0,26.0,9.0,1.0,0.0,0.0,0.0,1323.0,3.0,25.0,44.0,1.98,38.0,0.0,0.0,0.0,2.0,4.0,4.0,0.18,3.0,0.0,0.0,0.0,0.0,1.0,39.0,24.0,15.0,17.0,7.0,16.0,29.0,55.2,13.0,23.0,5.0,18.0,21.0,60.0,18.0,2.0,1641.0,45.0,298.0,1106.0,256.0,6.0,1641.0,17.0,12.0,70.6,4.0,23.5,1054.0,6108.0,2876.0,36.0,28.0,1.0,20.0,16.0,1196.0,24.0,29,1998.0,69.0,58.4,22.2,24,79.0,11,5,23.0,4,1.41,29.0,27.0,2.0,0.09,-0.42,30.5,25.7,4.8,0.22,-0.22,11.0,0.0,0.0,54.0,28.0,0.0,26.0,21.0,24.0,0.0,2.0,0.0,157.0,11.0,13.0,45.8
Nikola Milenković,rs SRB,DF,25-239,23.7,2.0,19.0,5.0,26.3,0.8,0.21,0.11,0.4,9.4,0.0,0.0,0.0,1.9,1.9,0.1,0.1,0.1,1107.0,1292.0,85.7,21399.0,6777.0,397.0,443.0,89.6,570.0,634.0,89.9,129.0,182.0,70.9,1.0,0.5,0.9,0.5,6.0,62.0,3.0,0.0,78.0,1292.0,1245.0,43.0,38.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,1107.0,4.0,9.0,24.0,1.01,21.0,0.0,0.0,3.0,0.0,0.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,40.0,25.0,20.0,17.0,3.0,18.0,27.0,66.7,9.0,27.0,14.0,13.0,22.0,62.0,72.0,0.0,1520.0,143.0,743.0,710.0,74.0,35.0,1520.0,0.0,0.0,,0.0,,816.0,3547.0,1782.0,9.0,10.0,0.0,7.0,0.0,902.0,3.0,27,2137.0,79.0,62.5,23.7,23,86.0,21,4,39.0,9,1.48,34.0,27.0,7.0,0.29,0.08,35.4,27.0,8.5,0.36,0.13,4.0,0.0,0.0,39.0,21.0,0.0,0.0,22.0,25.0,0.0,0.0,1.0,127.0,73.0,30.0,70.9
Igor,br BRA,DF,25-121,22.9,0.0,7.0,0.0,0.0,0.31,0.0,0.0,,12.4,0.0,0.0,0.0,0.5,0.5,0.08,-0.5,-0.5,1165.0,1324.0,88.0,23901.0,7556.0,322.0,343.0,93.9,686.0,733.0,93.6,144.0,213.0,67.6,0.0,0.2,0.2,-0.2,3.0,77.0,2.0,0.0,76.0,1324.0,1256.0,67.0,57.0,1.0,12.0,1.0,10.0,0.0,0.0,0.0,0.0,1165.0,1.0,12.0,19.0,0.83,16.0,0.0,2.0,0.0,0.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,43.0,29.0,21.0,18.0,4.0,20.0,27.0,74.1,7.0,33.0,14.0,19.0,25.0,68.0,56.0,2.0,1522.0,122.0,668.0,820.0,46.0,12.0,1522.0,13.0,9.0,69.2,2.0,15.4,901.0,5350.0,3206.0,19.0,13.0,0.0,9.0,11.0,973.0,2.0,27,2057.0,76.0,60.1,22.9,23,84.0,18,4,31.0,7,1.33,26.0,24.0,2.0,0.09,-0.44,33.0,26.7,6.3,0.28,-0.08,10.0,1.0,1.0,29.0,13.0,0.0,1.0,25.0,29.0,0.0,0.0,0.0,157.0,38.0,28.0,57.6
Rolando Mandragora,it ITA,MF,25-344,21.7,2.0,37.0,5.0,13.5,1.71,0.23,0.05,0.4,22.9,2.0,0.0,0.0,1.5,1.5,0.04,0.5,0.5,790.0,984.0,80.3,15068.0,4733.0,311.0,356.0,87.4,354.0,400.0,88.5,100.0,167.0,59.9,4.0,4.9,4.1,-0.9,34.0,115.0,18.0,6.0,142.0,984.0,886.0,95.0,52.0,1.0,17.0,74.0,6.0,36.0,16.0,15.0,0.0,790.0,3.0,17.0,87.0,4.02,59.0,19.0,0.0,6.0,2.0,1.0,8.0,0.37,5.0,1.0,0.0,1.0,1.0,0.0,42.0,24.0,12.0,22.0,8.0,23.0,52.0,44.2,29.0,25.0,3.0,22.0,16.0,58.0,21.0,0.0,1190.0,33.0,175.0,670.0,356.0,37.0,1190.0,16.0,5.0,31.3,9.0,56.3,598.0,2489.0,1243.0,18.0,25.0,3.0,13.0,8.0,720.0,59.0,29,1949.0,67.0,57.0,21.7,22,82.0,11,7,21.0,5,1.55,29.0,22.0,7.0,0.32,0.14,32.8,23.3,9.5,0.44,0.31,8.0,0.0,0.0,31.0,18.0,1.0,74.0,16.0,24.0,0.0,0.0,0.0,121.0,35.0,23.0,60.3
Christian Kouamé,ci CIV,FW,25-184,20.7,4.0,42.0,13.0,31.0,2.03,0.63,0.1,0.31,13.8,1.0,0.0,0.0,5.3,5.3,0.13,-1.3,-1.3,468.0,661.0,70.8,6983.0,1648.0,275.0,348.0,79.0,134.0,194.0,69.1,32.0,55.0,58.2,4.0,3.7,2.8,0.3,39.0,29.0,31.0,10.0,54.0,661.0,628.0,31.0,2.0,1.0,6.0,49.0,21.0,2.0,0.0,0.0,0.0,468.0,2.0,15.0,83.0,4.01,67.0,0.0,4.0,5.0,7.0,0.0,8.0,0.39,6.0,0.0,1.0,1.0,0.0,0.0,27.0,18.0,8.0,10.0,9.0,7.0,14.0,50.0,7.0,15.0,3.0,12.0,12.0,39.0,8.0,0.0,942.0,8.0,74.0,324.0,559.0,111.0,942.0,66.0,21.0,31.8,36.0,54.5,564.0,2844.0,1302.0,50.0,32.0,24.0,80.0,42.0,703.0,203.0,28,1865.0,67.0,54.5,20.7,22,79.0,10,6,21.0,10,1.39,27.0,27.0,0.0,0.0,-0.58,30.6,22.0,8.6,0.42,0.24,5.0,0.0,0.0,32.0,56.0,7.0,49.0,12.0,18.0,1.0,0.0,0.0,91.0,62.0,52.0,54.4
